1.-1t	多俾亚传
1.16t	托彼特对兄弟的仁爱
1.16	在厄乃默撒年间，我对同族的兄弟常大方施舍。
1.17	我把我的食物分送给饥饿的人，把我的衣服施舍给裸体的人；我若看见同族的尸体，被抛在尼尼微城墙外，我便一一埋葬。
1.18	当散乃黑黎布因说了诅咒的亵语，在上天大主惩罚他之日，由犹太逃回之后，无论杀了谁我都予以埋葬，因为他在盛怒之下，杀了许多以色列子民，我便把他们的尸体收藏起来，予以埋葬。因此散乃黑黎布寻找尸首，一个也没有找到。
1.19	有一个尼尼微人前去报告君王说是我埋葬了，我便隐藏起来。当我听说君王知道了我的下落，正在追捕我来处死时，我很害怕，就逃跑了。
1.20	但是我所有的一切财产，除了我的妻子亚纳和我的儿子多俾亚外，都毫不留情地没收了去，归入王库。
1.21	然而还没有过四十天，他的两个儿子把他杀死，逃到阿辣辣特山里去了。他另一个儿子厄撒哈冬继位为王，并且任命我的兄弟阿纳耳的儿子阿希加总理他全国的财务，有权掌管一切事务。
1.22	那时阿希加为我求情，我才得以回到尼尼微，因为阿希加曾在亚述王散乃黑黎布执政时作过酒正，又掌过指玺，当过家宰和财政等职，而厄撒哈冬又重用他；他是我的侄子，又是我的血亲。
	
	
2.0t	第二章(14)
	
2.1t	托彼特的德行
2.1	厄撒哈冬为王时，我回了家，我的妻子亚纳和我的儿子多俾亚也归还了给我。在我们的五旬节日即七七节日，他们为我预备了盛筵，我便坐下准备进膳。
2.2	在给我预备桌子，摆上丰盛的食品时，我对我的儿子说：「孩子你去，在掳到尼尼微的同族兄弟中，寻找一个全心怀念上主的穷人，领他来与我们一同进膳。孩子，我等你回来。」
2.3	多俾亚便出去在同族兄弟中寻找一个穷人，他回来时说：「父亲！我对他说「孩子！我在这里。」他接着说「父亲我看见了我们同族的一个人被杀，扔在市场上，他是刚才在那里被绞死的。」
2.4	我立刻跳起来，离开了筵席，连什么都没有尝，就去把他从大街上抬回来，放在一间小屋里，等到太阳西落以后再去埋葬。
2.5	我回来沐浴之后，悲伤着吃了些食物；
2.6	于是记起了亚毛斯先知对贝特耳发的预言说：你们的庆节将变为悲哀，你们的一切歌曲将变为伤叹。我便哭起来。
2.7	太阳西落以后，我去掘了坟把他埋葬了。
2.8	我的邻居讥讽说：「他还不怕！他以前为了这事曾被通缉处死，以致必须逃命。看他又埋葬死人。」
	
2.9t	双目失明
2.9	当夜，我沐浴之后，便进了我的庭院，靠着庭院的墙睡下了。当时因为天热，我的脸没有盖上，
2.10	也没有看见小鸟在我上面的墙上，它们的热粪落到我的眼里，即起了一层白膜；我去求医诊治，但是愈给我敷药，我的眼睛愈被白膜所遮蔽，以致完全失明。四年之久，我甚么也看不见。我的众兄弟都为我悲伤，阿希加养了我两年，直到他去厄蓝为止。
	
2.11t	清廉之德
2.11	那时，我的妻子亚纳去作各种女工，
2.12	她把做好的工作交给雇主，雇主便付给她工钱；到「狄斯托」月七日她把布匹剪下，交给雇主，雇主便付给她全部工资，并且还送给她一只小山羊吃。
2.13	但是小羊一到了我的家里，便开始叫起来；我便叫她来，对她说：「这只小山羊是那里来的？是不是偷来的？你应该把它还给原主，因为我们不可以吃偷来的东西。」
2.14	她对我说：「这是在工资以外送给我的。」但是我仍不相信，命她归还原主；我且为了这事替她害羞。但是她回答我说：「你的施舍在那里？你的善行在那里？看，人都知道你得到了什么报酬！」
	
	
3.0t	第三章(17)
	
3.1t	托彼特的祈祷
3.1	我心中悲伤至极，痛哭流泪，开始呻吟祈求说：
3.2	「上主你是公义的，你的一切作为都公正，你的一切措施都慈爱忠诚，你审判万世。
3.3	上主！现在求你顾念我，看护我，不要因我和我的祖先在你面前所犯的罪恶和愚昧而惩罚我。
3.4	因为他们没有遵守你的诫命所以你使我们遭遇劫掠、俘掳、死亡，使我们流亡到一切外邦人中，受他们的讽刺、嘲笑、诅咒。
3.5	如今，你因我和我祖先的罪行而加给我的种种刑罚，都是针对事实的，因为我们没有遵守你的诫命，在你面前没有忠诚行事。
3.6	如今，请你按你的圣意对待我罢！请你收去我的灵魂，使我从地面上消逝，化为灰土，因为死比生为我更好！因为我听见了虚伪的辱骂，我心中很是忧伤。上主请你救我脱离这种苦难，领我进入永远的安所罢！上主！求你不要转面不顾我，因为死了比活着看见这许多苦难，为我更好。这样，我再也听不见辱骂之声了！」
	
3.7t	撒辣的忧苦与祈祷
3.7	同日，在玛待厄克巴塔纳城里，辣古耳的女儿撒辣听到了她父亲的一个使女的辱骂，
3.8	因为她已嫁过七个丈夫而恶魔阿斯摩太在他们按礼俗与她合房以前，就一一杀死。使女对她说：「是你杀了你的丈夫，你已嫁过七个丈夫，但是你连他们中的一个姓氏都没有得到。
3.9	你为什么因为你丈夫死了，就责打我们呢？你也跟他们去罢！巴不得我们永远见不到你有子女！」
3.10	当日她心中十分忧伤，流泪痛苦，便走上她父亲的楼台想要悬梁自尽。但她转念一想说道：「决不能让人讥讽我的父亲说：你只有一个爱女，但是她为了许多苦难而自缢了；这样，我必使我老年的父亲悲惨地进入阴间了！还是苦求上主使我死去，总比我自缢为我更好；这样我一生再也听不到辱骂了。」
3.11	那时她便向窗户伸开双手祈祷说：「慈悲的天主！你是可颂扬的，你的圣名是永可赞颂的，愿你的一切造物永远赞颂你！
3.12	现在，我向你仰面举目，
3.13	请你发言，命我脱离现世，使我再听不到辱骂之声罢！
3.14	主你知道我是清白的，我从没有受到男子的玷污。
3.15	我在流徙之地，从没有玷污过我的名和我父亲的名。我是我父亲的独生女，他没有别的儿子来继承，他也没有近支的兄弟或近亲，可以让我嫁给他为妻。我的七个丈夫业已死去，我为什么还活着呢？假使你不愿叫我死去，那么，上主请你垂顾可怜我，使我再不听见辱骂罢！」
	
3.16t	二人的祈祷蒙垂允
3.16	那时，二人的祈祷在荣耀的天主前都获得垂允。
3.17	所以天主打发辣法耳来医治他们二人：给托彼特除去了他眼中的白膜，使他再亲眼见到天主的光芒；将辣古耳的女儿撒辣嫁给托彼特的儿子多俾亚为妻，把恶魔阿斯摩太从她身上赶出去，因为多俾亚比那一切愿意娶她的人，更有权利占有她。那时托彼特正从庭院回到屋里，而辣古耳的女儿撒辣也正从楼台上下来。
	
	
4.0t	第四章(21)
	
4.1t	托彼特给儿子的训示
4.1	那日，托彼特想起了他在玛待辣杰斯，存放在加贝罗那里的银子来，
4.2	便自言自语说：「哎，我已求了死，为什么不把我的儿子多俾亚叫来，在我死前，给他说明这项银子的事呢？」
4.3	他遂叫他儿子多俾亚来到他跟前，对他说：「孩子！我若死了，你要好好安葬我；要孝敬你母亲，在她一生的日子里不可离开她，要履行她喜欢的事，在一切事上不可使她伤心。
4.4	孩子！你要记住：你在母胎时，她为你经历过种种危险；她死后，你要把她葬在我旁边与我埋在一个坟墓里。
4.5	孩子！你要一生想念上主，不可随意犯罪，违犯他的诫命你要一生行义，不可走邪僻的路，
4.6	因为你若作正直的事，你的事业必顺利成功。
4.7	你当用你的财产救济一切行义的人。施舍时你的眼不可鄙视；对一切穷人不要转面不顾，这样天主也总不会转面不顾你。
4.8	若你多有，就该多施舍；若你少有，也不要怕少施舍。
4.9	因为这样作，是为你自己积蓄困厄时日的宝藏，
4.10	因为施舍能救人脱免死亡，防止人陷于黑暗，
4.11	因为，为一切施舍的人，施舍在至高者台前是一项悦意的礼品。
4.12	孩子！你应戒绝一切淫行，尤其应从你祖先的后裔中娶妻，不可娶那不是你宗祖支派的外邦女子为妻，因为我们是先知的后裔。孩子，记住！我们的祖先诺厄、亚巴郎、依撒格、雅各伯，开始都是从自己兄弟中娶妻，因此他们在自己的儿女身上得了祝福，他们的后裔也将继承福地。
4.13	孩子！现在你要爱你的兄弟，内心不可轻视你的兄弟和你同族的儿女，而不从他们中娶妻，因为骄傲必使人败坏不睦，好闲必使人穷困破产，因为好闲是饥饿之母。
4.14	一切劳工者的工资，不可在你那里过夜，要立即付清。你若侍奉天主，他必报答你。孩子！在一切的事情上要谨慎，在一切的举止上，要表示你受过好教育。
4.15	你厌恶的事不可对别人做；喝酒不要喝醉；醉酒不可在你的路上与你同行。
4.16	该把你的食物施与饥饿的人，把你的衣服分给裸体的人。凡是富余的，都要用来施行哀矜；在行哀矜的时候，你的眼不可鄙视。
4.17	把你的酒和食物倒在义人的坟墓上，也不可施与恶人。
4.18	应向一切有智慧的人求教，不要轻视任何有益的忠告。
4.19	你该时时赞美上主天主，求他使你的道路正直，使你的前途与计划顺遂，因为一切的人都没有善意唯有上主能赏赐各种恩惠，他愿举扬的就举扬，他愿压伏的就把他压伏到阴府的底层。孩子！现今，你要牢记这些劝言，总不可在你心中消失。
4.20	孩子！现在我还要告诉你：我曾把十塔冷通银子，寄存在住在玛待辣杰斯城的加彼黎的儿子加贝罗那里。
4.21	」
	
	
5.0t	第五章(23)
	
5.1t	多俾亚准备起程
5.1	那时多俾亚回答他父亲托彼特说：「父亲！凡你命我的，我必遵行；
5.2	但是他不认识我，我也不认识他，我怎能向他索回这项银子呢？我拿什么凭据给他，使他认识我，相信我，而把银子交给我呢？再一说，我也不认识往玛待去的路。」
5.3	那时，托彼特回答他的儿子多俾亚说：「他给我写了契据，我也给他写了契据，且分成了两分，我们各执一分。我把那分与银子放在一起，请想这钱存在他那里，至今已有二十年了。孩子！现在你去找一个忠实的人与你同去，你回来时，我们要给他报酬。趁我还活着，你去从他那里取回这项银子。」
5.4	多俾亚便出去寻找一个能与他同去玛待，并且熟识路途的人。他一出门，遇见辣法耳天使站在他面前；但是他不知道他是天主的使者，
5.5	便向他说：「朋友！你是那里的？天使对他说：「我是你的同胞以色列的子民，我到这里来找工作。」多俾亚对他说：「你认识往玛待去的路吗？」
5.6	天使对他说：「是，我多次到过那里，全条路程我都很熟悉，并且许多次我到玛待去的时候，在我们的同胞加贝罗那里借宿，他住在玛侍的辣杰斯厄克巴塔纳与辣杰斯相隔两天的路程；辣杰斯在山区，厄克巴塔纳在平原。」
5.7	多俾亚对他说：「朋友！请你等我进去报告我父亲，因为我正需要你与我同去，我要给你报酬。」
5.8	天使对他说：「好！我等你但不可太久。」
5.9	多俾亚便进去，告诉他父亲托彼特说：「我从我的同胞以色列子民中找到了一个人。」托彼特对他说：「孩子！你叫那个人到我这里来，我好知道他是那一家族，那一支派的人，与你同去是否可靠。」
	
5.10t	与天使同行
5.10	多俾亚出去叫他说：「朋友！我父亲叫你。」他便进去，托彼特先向他请安；天使对他说：「祝你快乐！」托彼特回答说：「我这个眼睛失明，看不见天日的人，常躺在黑暗之中，象永远看不见光明的死人一样，还有什么快乐呢？我象是生活在死人中，只能听见人讲话，却看不见他们。」天使对他说：「放心！天主快要医好你。放心罢！」托彼特对他说「我的儿子多俾亚要到玛待去，你能领导他，与他同去吗？老兄我要给你报酬。」天使回答说：「我可以与他同去，全条路程我都熟悉，我多次到过玛待，那里的平原山地我都去过，那里的一切道路，我都熟悉。」
5.11	托彼特对他说：「老兄！你是那一家族，那一支派的？老兄！请你告诉我！」
5.12	他说：「你为什么需要知道我是那一支派的呢？」托彼特对他说：「我愿意知道清楚一切。老兄你是谁家的儿子？你叫什么名子？」
5.13	天使对他说：我是你同胞中的大阿纳尼雅的儿子阿匝黎雅。
5.14	托彼特对他说：老兄！欢迎，欢迎！老兄！你不要因我想知道清楚你的家族而见怪！很幸运你是我的同胞，又是出自良善尊贵的家庭，我认识大舍默雅的两个儿子，阿纳尼雅和纳堂，他们曾与我一同去过耶路撒冷，在那里一同朝拜过上主；虽然我们的同胞已走人歧途，他们却没有失去正道；你的兄弟们都是好人，你又是出自良好的家族，你来的正巧。」
5.15	又说：「每天我要给你一「达玛」作报酬，又给你一切所需，完全和我的儿子一样。
5.16	你同我儿一同去罢！若你们平安回来，我还要多给你报酬。
5.17	他们就如此接洽好了。天使对他说：「我与他一同去，你不要害怕。我们平安去，也要平安回到你这里来，因为道上很太平。托彼特对他说：「老兄！祝你一路平安！」他便唤他的儿子说：「孩子！你去预备路上所需的一切，与你的兄弟一同去罢！孩子！愿天上的天主使你们一路平安，保护你们在那里平安，也领你们平安回到我跟前来！愿他的天使与你们同行，救助你们！」多俾亚便预备路上所需要的一切；临动身时，口亲了他。
	
5.18t	亚纳的悲伤
5.18	他的母亲亚纳哭着对托彼特说：「你为什么打发孩子出外呢？他不是我们的扶手杖，常在我们面前出入吗？
5.19	钱又加不上钱，宁愿失去那笔钱，而使我们的儿子安全。
5.20	其实，上主赐予我们的生活，为我们己足够。
5.21	他对她说：「妹妹！你不要挂心！我们的儿子平安去，也必平安回到我们跟前来。在他平安回到你跟前的那一天，你要亲眼看见他。
5.22	妹妹！你不要挂虑，也不要为他们担心，因为良善的天使陪伴着他，他的旅途必定顺利，也必会平安回来。」
5.23	于是她就止泪不哭了。
	
	
6.0t	第六章(19)
	
6.1t	河畔捕鱼
6.1	少年人出门以后，天使陪伴着他，他的狗也随着出去，与他们同行；他们二人取道前行，第一夜宿在底格里斯河畔。
6.2	当少年人下到底格里斯河边去洗脚时，忽然从水里跳出一条大鱼，要吞噬少年人的脚，他便喊叫起来。
6.3	天使对少年人说：「用力捉住这条鱼罢！」少年人就用力捉住了那条鱼，拖到岸上。
6.4	天使对他说：剖开这条鱼挖出它的胆、心和肝来，保存着，把脏腑等都抛掉，因为胆、心和肝能作良好的药材。
6.5	少年人便把鱼剖开、取出胆心和肝来；然后烤了几块鱼肉吃了，又腌起几块存着。
6.6	二人又一起向前行，直到来近玛待。
6.7	少年人问天使说「阿匝黎雅兄！鱼的心肝和胆可作什么药材？」
6.8	他回答说：「鱼的心肝若在魔鬼或恶神缠身的男女面前焚化成烟，一切恶魔都要从他身上逃走，永不再住在他内；
6.9	至于鱼胆，若敷在患白膜的人的眼上，再向眼上的白膜一吹，眼便会痊愈。」
	
6.10t	讨论婚事
6.10	他们进了玛待，离厄克巴塔纳已近，
6.11	辣法耳对少年人说：「多俾亚弟弟！」他答说：「我在这里。」天使对他说：「今夜我们应住在辣古耳的家里，他是你的亲戚，他有一个女儿名叫撒辣。
6.12	除了撒辣独女外，没有别的儿女，你与他的亲属关系比别人更近，所以你有权利娶她为妻，并继承她父亲所有的一切。这女孩又明智，又勇敢，又美丽绝伦，她的父亲又是好人。」
6.13	他又说：「老弟！你听我的话罢！娶她是你的权利；今夜我要向她父亲提及这女孩，使他们将她许配与你为妻；我们从辣杰斯回来时，你就娶她为妻。我深知辣古耳决不能拒绝你，而许配与别人，因为他知道你比任何人更有权利娶她的女儿；不然按梅瑟的规定，他应受死刑。老弟！现今你听我的话罢！今晚我们就提起这女孩的事，希望能把她许配与你；当我们从辣杰斯回来的时候，我们带着她，领她与我们一起回到你的家里去。」
6.14	那时，多俾亚回答辣法说：「阿匝黎亚兄！我听说她已经嫁过七个丈夫，但是夜间他们都一一死在洞房里；当他们正接近她时，便死去了。我还听见人说是恶魔杀死了他们。
6.15	现今我很害怕，因为恶魔并不危害她，只杀害愿意接近她的人；而我又是我父亲的独子，我怕我一旦死去，我必使我的父母因哀哭我而进入坟墓里去，他们也再没有别的儿子去埋葬他们。」
6.16	天使对他说：「你不记得你父亲命你从你宗族中娶妻的命令吗！所以老弟如今请你听从我！不要理会这个恶魔，你娶她罢！我知道今天晚上她必许配与你为妻。
6.17	但是你进入洞房以后，当拿出鱼肝和鱼心来，放在香炉的火炭上，接着便会发出一种气味，恶魔一闻到必定逃走，永不再出现在她左右。
6.18	当你要与她结合时，你们二人先要醒寤祈祷，求天上的大主可怜救助你们，不要害怕，因为从永远她就命定配与你了；你要救她，她要与你一同生活。并且我预料她将为你生子养女，他们对你就象兄弟一般。所以你不必忧虑！」
6.19	多俾亚听了辣法耳的话，知道她是出自自己宗族后裔的姊妹，便十分爱她，心里也起了恋慕之情。
	
	
7.0t	第七章(17)
	
7.1t	二人到辣古耳家
7.1	当他们进入厄克巴塔纳时，多俾亚对天使说：「阿匝黎雅兄！请领我一直到我们的同胞辣古耳那里去！」天使便领他到了辣古耳的家；他们看见他正坐在庭院门口，便先向他请安。他对他们说：「兄弟，欢迎！欢迎！祝你们安好！」随后领他们进了自己的家。
7.2	辣古耳对妻子厄得纳说：「这个少年人多么相似我的兄弟托彼特呀！」
7.3	厄得纳于是问他们说：「兄弟，你们是那里的？」他们回答说：「我们是被掳到尼尼微的纳斐塔里的后裔。」
7.4	她又问说：「你们认识我们的兄弟托彼特吗？」他们回答说：「我们认识。」
7.5	她又问说：「他好吗？」他们回答说：「他好，还活着。」多惮亚说：「他是我的父亲。」
7.6	辣古耳便跳起来，口亲他，哭着对他说：「孩子，正直良善的父亲的儿子，愿你获得祝福！」但当他听说托彼特已双目失明，便很难过说：「啊！一个正直好施的人，成了一个瞎子，多么可怜啊！」于是他抱着他亲人多俾亚的脖子，哭起来了。
7.7	他的妻子厄得纳和他们的女儿撒辣也都哭了。
7.8	随后杀了羊群里的一只公羊，亲热地款待他们。
	
7.9t	多俾亚与撒辣成婚
7.9	沐浴洁身以后当入席用饭时，多俾亚对辣法耳说：「阿匝黎雅兄！请你向辣古耳请求，把我的妹妹撒辣许配给我！」
7.10	辣古耳听了这话便对少年人说：「今晚你吃喝快乐罢！亲家，因为除你以外，没有别人有权利娶我的女儿撒辣；同样，除你以外我也没有权利把她嫁给别人，因为你是我的至亲。但是孩子，我必须把真情告诉你：
7.11	我已把她嫁过我们同胞中七个人，但是他们都在当夜正接近她时死去了。但是孩子现今你吃喝罢！上主必要在你们中行事。」
7.12	多俾亚说：「若你不决定我的事，我在这里也不吃，也不喝。」辣古耳对他说：「好！我决定按照梅瑟书上所规定的，把她嫁与你；她嫁与你也是上天命定的，所以你娶你的妹妹罢！从今以后，你是他的哥哥，她是你的妹妹。从今天起，她永远归干你。孩子！盼望天上的大主今夜赐与你们幸福，在你们身上施行仁慈与平安！」
7.13	接着辣古耳叫了自己的女儿撒辣来；她来到他跟前他，便握着她的手，递给多惮亚说：「按照梅瑟书上的法律与规定，你娶她为妻罢！她已归你所有，你领她平安到你父亲那里去，天上的大主必使你们平安顺遂！」
7.14	于是又叫撒辣的母亲拿出书券来，写了婚书，并写下他们怎么按照梅瑟法律的规定，把她嫁给他为妻，并盖上印。此后，他们便开始吃喝。
7.15	辣古耳唤自己妻子厄得纳说：妹妹，请你准备另一间房子，领她进去罢！」
7.16	她便照所吩咐的到房里去准备席榻，然后领她进去。这时她竟为她的女儿痛哭起来，随后擦干眼泪向她说：
7.17	「女儿，你放心！愿天上的大主使你变忧为喜。女儿，你放心罢！]她遂上去了
	
	
8.0t	第八章(21)
	
8.1t	二人祈祷成婚
8.1	吃喝完毕以后，他们要睡觉去，便领少年人进了那间小房。
8.2	那时多俾亚想起辣法耳的话，便从袋中拿出所存的鱼肝和鱼心，放在香炉的火炭上。
8.3	鱼的气味制伏了恶魔，使他逃往埃及的内陆去。辣法耳也追去，把他捆在那里，倏忽间就回来了。
8.4	人们出去以后，他们俩关上了房门，多俾亚便从床上坐起来，对她说：「妹妹，起来！我们一同祈铸，祈求我们的上主，在我们身上施行任慈和保佑。
8.5	她便起来，于是一起开始祈祷，祈求上主保佑他们；他便开始祈祷说：「我们祖宗的天主，你是应受赞美的！你的名号是世世代代应受颂扬的。诸天及你的一切造物，都应赞颂你于无穷之世。
8.6	是你造了亚当，是你造了厄娃作他的妻子，作他的辅助要给他造个相称的助手。
8.7	上主，现在我娶我这个妹妹并不是由于情欲，而是出自纯正的意向。求你怜悯我和她，赐我们白头偕老！」
8.8	他们互相答说：「阿们！阿们！」随后便睡了一夜。
	
8.10t	辣古耳的忧虑
8.10	那时，辣古耳也起来，便叫他的仆人同他一起出去掘坟，因为他说：恐怕他死了，我们又要受到讥笑与辱骂。
8.11	他们掘完了坟墓，辣古耳回了家，叫了妻子来，
8.12	说：「你打发一个女仆进去看看他是死是活，假如他死了，我们马上埋了他，不让外人知道。」
8.13	她遂打发女仆去，女仆拿着灯，开了门进去，看见他们还在一起安睡。
8.14	女仆便出来，报告说：「他还活着，没有什么不好。
8.15	他们便赞美天上的大主说：「天主你应受一切纯洁和神圣的赞扬！愿众人永远赞美你！
8.16	你是应受赞扬的，因为你使我快慰，没有让我预料的事发生，却按你的大慈大悲恩待了我们。
8.17	你是应受赞扬的，因为你怜悯了这两个独子独女。主啊！赐予他们慈惠和保佑，使他们一生满享快乐慈惠罢！」
8.18	随后，吩咐仆人在天亮以前把坟墓填平。
	
8.19t	举行婚筵
8.19	他又吩咐他的妻子预备很多食物；他自己走到家畜群里，牵出两头牛和四只羊来，命人宰杀了，开始准备一连十四天的婚筵。
8.20	随后，他叫了多俾亚来向地宣誓说：「这十四天的婚筵未完结以前，你不可离开这里，你要在我这里住下吃喝，好抚慰我女儿破碎了的心灵。
8.21	"凡我所有的,你立刻可带去一半，平安回到你父亲那里。那另一半待我和我妻子死后，也是你们的。孩子放心罢！我是你的父亲，厄得纳是你的母亲。从现在起我们永远是你的，也是你妹妹的。孩子，放心罢。"
	
	
9.0t	第九章(6)
	
9.1t	辣法耳往加贝罗家
9.1	那时，多俾亚叫了辣法耳来，对他说：
9.2	「阿匝黎雅兄！请你带上四个仆人两匹骆驼到辣杰斯，往加贝罗那里去，把契据交给他，好把银子索回来；并请他与你同来参与婚礼。
9.3	你知道我父亲在计算着日期，若我耽误了一天，必使他十分挂心。
9.4	你也看见辣古耳发了什么誓，因此，我不能反抗他的誓约。」
9.5	辣法耳于是带了四个仆人，两匹骆驼，往玛待辣杰斯去了，住在加贝罗的家里，把契据交给了他，并且把托彼特的儿子多俾亚娶妻，和请他参与婚礼的事，也报告了给他。他便起来，给他按原数数了几个尚封着口的袋子，放在骆驼上，
9.6	清旱一起动身，前来参与婚礼。当他们进到辣古耳家时，看见多俾亚，正在坐席。多俾亚便跳起来，向他请安。加贝罗不禁哭起来了，祝福他说：「善良无比的人啊！你是善良无比和正义好施的人的儿子，愿上主赐予你、你的妻子和你的岳父岳母天上的降福！愿天主受赞扬！因为我看见了肖似我表弟托彼特的多俾亚。」
	
	
10.0t	第十章(14)
	
10.1t	多俾亚父母的挂心
10.1	托彼特天天计算日期：需要多少天前去，多少天回来。但是，当日期满了，他的儿子还未回来时，
10.2	便说：「莫非他在那边被人留住了？或是加贝罗死了，没有人把银子还给他？」
10.3	便忧闷起来。
10.4	他的妻子亚纳说：「我的孩子已死了，已不在人间了！」于是哭了起来，哀悼儿子说：
10.5	「儿啊！可苦了我！你是我眼中的光，我竟把你放走了！」
10.6	托彼特对她说：「妹妹，住声，不要忧虑！他必定平安。他们在那里一定有了什么不凑巧的事！但是，与他同去的人是个忠实的人，又是我们的同族兄弟，你不必为他忧伤，他快回来了！」
10.7	她答说：「给我住嘴！别骗我啦！我的孩子已经死了！」她每天出去向她儿子去的路上四处观望，也不吃饭，太阳落了，她才回家；终夜饮泣痛哭不能入睡。
	
10.8t	多俾亚与撒辣回家
10.8	辣古耳誓许为自己的女儿所设的十四天婚筵，日期满了，多俾亚便进去对他说：「让我回去罢！因为我知道，我的父母一定不相信再能见我了。所以，岳父！如今我求你让我回去，到我父亲那里去，我已经给你说了，我是怎样离开了他的。」
10.9	但是辣古耳向多俾亚说：「住下罢！孩子！住在我这里罢！我打发送信的到你父亲托彼特那里，把你的消息告诉他。」多俾亚回答说：「不必！还是让我离开这里，回到我父亲那里去罢！」
10.10	辣古耳遂起来，把多俾亚的妻子撒辣交给他，又把他所有的家产：仆人、婢女、牛、羊、驴、骆驼、衣服、金钱和家具，送给他一半。
10.11	"然后遣送他们平安离去,辞别他说：「孩子，祝你平安！祝你一路平安！愿天上的大主降福你和你的妻子撒辣！希望我未死之前，能看见你们的子女！」"
10.12	又对他的女儿撒辣说：「你到你公公的家去要孝顺你的公婆，因为从今以后他们便是你的父母，就如他们生了你一般。女儿，你平安去罢！盼望我话着的时候，常能听到你的好消息。」他遂口亲了他们，送他们离去。
10.13	厄得纳又向多俾亚说：「亲爱的孩子和兄弟！愿上主护送你回去！巴不得我生时，在未死之前能看见你和我女儿撒辣的子女，好使我在上主面前得到慰藉。我把我的女儿托付给你，你一生不要使她难受。孩子平安去罢！从今以后，我是你的母亲，撒辣是你的妹妹，盼望我们一生一世，都一样顺利才好！」她口亲了他们二人，便送他们平安离去。
10.14	多俾亚便平安喜欢地赞美着使他一路顺遂的天地的主宰，万有的君王，离开了辣古耳：他也祝福辣古耳和他的妻子厄得纳说：「愿上主赐我一生能幸福地孝敬你们。」
	
	
11.0t	第十一章(19)
	
11.1t	重聚的喜乐
11.1	当他们走近面对尼尼微的加色陵时，辣法耳对多俾亚说：
11.2	「吾弟，你知道我们怎样离开了你父亲；
11.3	所以我们要在你的妻子前面快些走，这样他们来到时，我们已准备好了房屋。
11.4	他们二人于是一起前行。辣法耳又对他说：「你要随手带着鱼胆。」那只小狗也在他和多俾亚的后面，跟着同行。
11.5	那时亚纳正坐着，向儿子回来必经之路上观望，
11.6	待她发觉是她儿子回来时，便对孩子的父亲说：「看，你的儿子和与他同去的人回来了！」
11.7	当多俾亚快要走到他父亲前时，辣法耳对他说：「我知道他的眼睛必将复明；
11.8	你要把鱼胆敷在他的眼睛上；这药要把白翳聚在一起，使白翳从他眼中脱落，这样你父亲便得复明，重见天日。
11.9	那时，亚纳跑过来，抱着她儿子的颈项说：孩子！我看见了你，现今我可以死了。」两人都哭了起来。
	
11.10t	托彼特复明
11.10	托彼特也起来，踉跄地走出了庭院的大门。
