1:-1t	前编 太古史(1-11)
3:5	因为天主知道，你们那天吃了这果子，你们的眼就会开了，将如同天主一样知道善恶。」
3:6	女人看那棵果树实在好吃好看，令人羡慕，且能增加智慧，遂摘下一个果子吃了，又给了她的男人一个，他也吃了。
3:7	于是二人的眼立即开了，发觉自己赤身露体，遂用无花果树叶，编了个裙子围身。
3:8	当亚当和他的妻子听见了上主天主趁晚凉在乐园中散步的声音，就躲藏在乐园的树林中，怕见上主天主的面。
3:9	上主天主呼唤亚当对他说：「你在那里？」
3:10	他答说：「我在乐园中听到了你的声音，就害怕起来，因为我赤身露体，遂躲藏了。」
3:11	天主说：「谁告诉了你，赤身露体？莫非你吃了我禁止你吃的果子？」
3:12	亚当说：「是你给作伴的那个女人给了我那树上的果子，我才吃了。」
3:13	上主天主遂对女人说：「你为什么作了这事？」女人答说：「是蛇哄骗了我，我才吃了。」 
	
3:14t	处罚与预许
	
3:14	上主天主对蛇说：「因你做了这事，你在一切畜牲和野兽中，是可咒骂的；你要用肚子爬行，毕生日日吃土。
3:15	我要把仇恨放在你和女人，你的后裔和她的后裔之间，她的后裔要踏碎你的头颅，你要伤害他的脚跟。」
3:16	后对女人说：「我要增加你怀孕的苦楚，在痛苦中生子；你要依恋你的丈夫，也要受他的管辖。」
3:17	后对亚当说：「因为你听了你妻子的话，吃了我禁止你吃的果子，为了你的缘故，地成了可咒骂的；你一生日日劳苦才能得到吃食。
3:18	地要给你生出荆棘和蒺藜，你要吃田间的蔬菜；
3:19	你必须汗流满面，才有饭吃，直到你归于土中，因为你是由土来的；你既是灰土，你还要归于灰土。」 
	
3:20t	被逐出乐园
	
3:20	亚当给自己的妻子起名叫厄娃，因为她是众生的母亲。
3:21	上主天主为亚当和他的妻子做了件皮衣，给他们穿上；
3:22	然后上主天主说：「看，人已相似我们中的一个，知道了善恶；如今不要让他伸手再摘取生命树上的果子，吃了活到永远。」
3:23	上主天主遂把他赶出伊甸乐园，叫他耕种他所由出的土地。
3:24	天主将亚当逐出了以后，就在伊甸乐园的东面，派了「革鲁宾」和刀光四射的火剑，防守到生命树去的路。
	
4:0t	第四章
	
4:1t	杀弟之罪
	
4:1	亚当认识了自己的妻子厄娃，厄娃怀了孕，生了加音说：「我赖上主获得了一个人。」
4:2	以后她生了加音的弟弟亚伯尔；亚伯尔牧羊，加音耕田。
4:3	有一天，加音把田地的出产作祭品献给天主；
4:4	同时亚伯尔献上自己羊群中最肥美而又是首生的羊；上主惠顾了亚伯尔和他的祭品，
4:5	却没有惠顾加音和他的祭品；因此加音大怒，垂头丧气。
4:6	上主对加音说：「你为什么发怒？为什么垂头丧气？
4:7	你若做得好，岂不也可仰起头来？你若做得不好，罪恶就伏在你门前，企图对付你，但你应制服它。」
4:8	事后加音对他弟弟亚伯尔说：「我们到田间去! 」当他们在田间的时候，加音就袭击了弟弟亚伯尔，将他杀死。
4:9	上主对加音说：「你弟弟亚伯尔在那里？」他答说：「我不知道，难道我是看守我弟弟的人？」
4:10	上主说：「你作什么事？听! 你弟弟的血由地上向我喊冤。
4:11	你现在是地上所咒骂的人，地张开口由你手中接收了你弟弟的血，
4:12	从此你即使耕种，地也不会给你出产；你在地上要成个流离失所的人。」
4:13	加音对上主说：「我的罪罚太重，无法承担。
4:14	看你今天将我由这地面上驱逐，我该躲避你的面，在地上成了个流离失所的人；那么凡遇见我的，必要杀我。」
4:15	上主对他说：「决不这样，凡杀加音的人，一定要受七倍的罚。」上主遂给加音一个记号，以免遇见他的人击杀他。
4:16	加音就离开上主的面，住在伊甸东方的诺得地方。 
	
4:17t	加音的后代
	
4:17	加音认识了自己的妻子，她怀了孕，生了哈诺客。加音建筑了一座城，即以他儿子的名字，给这城起名叫「哈诺客。」
4:18	哈诺客生了依辣得；依辣得生了默胡雅耳；默胡雅耳生了默突沙耳；默突沙耳生了拉默客。
4:19	拉默客娶了两个妻子：一个名叫阿达，一个名叫漆拉。
4:20	阿达生了雅巴耳，他是住在帐幕内畜牧者的始组。
4:21	他的弟弟名叫犹巴耳，他是所有弹琴吹箫者的始祖。
4:22	同时漆拉也生了突巴耳加音，他是制造各种铜铁器具的匠人。突巴耳加音有个姊妹名叫纳阿玛拉。
4:23	拉默客对自己的妻子说：「阿达和漆拉倾听我的声音，拉默客的妻子，静聆我的言语：因我受伤，杀了一成年；因我受损，杀了一青年；
4:24	杀加音的受罚是七倍，杀拉默客的是七十七倍。」 
	
4:25t	舍特的子孙
	
4:25	亚当又认识了自己的妻子，她生了个儿子，给他起名叫舍特说：「天主又赐给了我一个儿子，代替加音杀了的亚伯尔。」
4:26	舍特也生了一个儿子，给他起名叫厄诺士。那时人才开始呼求上主的名。
	
5:0t	第五章
	
5:1t	洪水前亚当的后代
	
5:1	以下是亚当后裔的族谱：当天主造人的时候，是按天主的肖像造的，
5:2	造了一男一女，且在造他们的那一天，祝福了他们，称他们为「人。」
5:3	亚当一百三十岁时，生了一个儿子，也像自己的模样和肖像，给他起名叫舍特。
5:4	亚当生舍特后，还活了八百年，生了其他的儿女。
5:5	亚当共活了九百三十岁死了。
5:6	舍特一百零五岁时，生了厄诺士。
5:7	舍特生厄诺士后，还活了八百零七年，生了其他的儿女。
5:8	舍特共活了九百一十二岁死了。
5:9	厄诺士九十岁时生了刻南。
5:10	厄诺士生刻南后，还活了八百一十五年，生了其他的儿女。
5:11	厄诺士共活了九百零五岁死了。
5:12	刻南七十岁时，生了玛拉肋耳。
5:13	刻南生玛拉肋耳后，还活了八百四十年，生了其他的儿女。
5:14	刻南共活了九百一十岁死了。
5:15	玛拉肋耳六十五岁时，生了耶勒得。
5:16	玛拉肋耳生耶勒得后，还活了八百三十年，生了其他的儿女。
5:17	玛拉肋耳共活了八百九十五岁死了。
5:18	耶勒得一百六十二岁时，生了哈诺客。
5:19	耶勒得生哈诺客后，还活了八百年，生了其他的儿女。
5:20	耶勒得共活了九百六十二岁死了。
5:21	哈诺客六十五岁时，生了默突舍拉。 哈诺客常与天主往来。
5:22	哈诺客生默突舍拉后，还活了三百年，生了其他的儿女。
5:23	哈诺客共活了三百六十五岁。
5:24	哈诺客时与天主往来，然后就不见了，因为天主将他提去。
5:25	默突舍拉一百八十七岁时，生了拉默客。
5:26	默突舍拉生了拉默客后，还活了七百八十二年，生了其他的儿女。
5:27	默突舍拉共活了九百六十九岁死了。
5:28	拉默客一百八十二岁时，生了一个儿子，
5:29	给他起名叫诺厄说：「这孩子要使我们在上主诅咒的地上，在我们做的工作和劳苦上，获得欣慰! 」
5:30	拉默客生诺厄后，还活了五百九十五年，生了其他的儿女。
5:31	拉默客共活了七百七十七岁死了。
5:32	诺厄五百岁时，生了闪、含、和耶斐特。
	
6:0t	第六章
	
6:1t	人类的败坏
	
6:1	当人在地上开始繁殖，生养女儿时，
6:2	天主的儿子见人的女儿美丽，就随意选取，作为妻子。
6:3	上主于是说：「因为人既属于血肉，我的神不能常在他内；他的寿数只可到一百二十岁。」
6:4	当天主的儿子与人的儿女结合生子时，在地上已有一些巨人，（以后也有，）他们就是古代的英雄，著名的人物。 
	
6:5t	上主决意消灭世界
	
6:5	上主见人在地上的罪恶重大，人心天天所思念的无非是邪恶；
6:6	上主遂后悔在地上造了人，心中很是悲痛。
6:7	上主于是说：「我要将我所造的人，连人带野兽、爬虫和天空的飞鸟，都由地面上消灭，因为我后悔造了他们。」
6:8	惟有诺厄在上主眼中蒙受恩爱。 
	
6:9t	诺厄建造方舟
	
6:9	以下是诺厄的小史：诺厄是他同时代惟一正义齐全的人，常同天主往来。
6:10	他生了三个儿子：就是闪、含、和耶斐特。
6:11	大地已在天主面前败坏，到处充满了强暴。
6:12	天主见大地已败坏，因为凡有血肉的人，品行在地上全败坏了，
6:13	天主遂对诺厄说：「我已决定要结果一切有血肉的人，因为他们使大地充满了强暴，我要将他们由大地上消灭。
6:14	你要用柏木造一只方舟，舟内建造一些舱房，内外都涂上沥青。
6:15	你要这样建造：方舟要有三百肘长，五十肘宽，三十肘高。
6:16	方舟上层四面做上窗户，高一肘，门要安在侧面；方舟要分为上中下三层。
6:17	看我要使洪水在地上泛滥，消灭天下一切有生气的血肉；凡地上所有的都要灭亡。
6:18	但我要与你立约，你以及你的儿子、妻子和儿媳，要与你一同进入方舟。
6:19	你要由一切有血肉的生物中，各带一对，即一公一母，进入方舟，与你一同生活；
6:20	各种飞鸟、各种牲畜、地上所有的各种爬虫，皆取一对同你进去，得以保存生命。
6:21	此外，你还应带上各种吃用的食物，贮存起来，作你和他们的食物。」
6:22	诺厄全照办了；天主怎样吩咐了他，他就怎样做了。
	
7:0t	第七章
	
7:1t	洪水灭世
	
7:1	上主对诺厄说：「你和你全家进入方舟，因为在这一世代，我看只有你在我面前正义。
7:2	由一切洁净牲畜中，各取公母七对；由那些不洁净的牲畜中，各取公母一对；
7:3	由天空的飞鸟中，也各取公母七对；好在全地面上传种。
7:4	因为还有七天，我要在地上降雨四十天四十夜，消灭我在地面上所造的一切生物。」
7:5	诺厄全照上主吩咐他的做了。
7:6	当洪水在地上泛滥时，诺厄已六百岁。
7:7	诺厄和他的儿子，他的妻子和他的儿媳，同他进了方舟，为躲避洪水。
7:8	洁净的牲畜和不洁净的牲畜，飞鸟和各种在地上爬行的动物，
7:9	一对一对地同诺厄进了方舟；都是一公一母，照天主对他所吩咐的。
7:10	七天一过，洪水就在地上泛滥。
7:11	诺厄六百岁那一年，二月十七日那天，所有深渊的泉水都冒出，天上的水闸都开放了；
7:12	大雨在地上下了四十天四十夜。
7:13	正在这一天，诺厄和他的儿子闪、含、耶斐特，他的妻子和他的三个儿媳，一同进了方舟。
7:14	他们八口和所有的野兽、各种牲畜、各种在地上爬行的爬虫、各种飞禽，
7:15	一切有生气有血肉的，都一对一对地同诺厄进了方舟。
7:16	凡有血肉的，都是一公一母地进了方舟，如天主对诺厄所吩咐的。随后上主关了门。
7:17	洪水在地上泛滥了四十天；水不断增涨，浮起了方舟，方舟遂由地面上升起。
7:18	洪水汹涌，在地上猛涨，方舟漂浮在水面上。
7:19	洪水在地上一再猛涨，天下所有的高山也都没了顶；
7:20	洪水高出淹没的群山十有五肘。
7:21	凡地上行动而有血肉的生物：飞禽、牲畜、野兽，在地上爬行的爬虫，以及所有的人全灭亡了；
7:22	凡在旱地上以鼻呼吸的生灵都死了。
7:23	这样，天主消灭了在地面上的一切生物，由人以至于牲畜、爬虫以及天空中的飞鸟，这一切都由地上消灭了，只剩下诺厄和同他在方舟内的人物。
7:24	洪水在地上泛滥了一百五十天。
	
8:0t	第八章
	
8:1t	洪水退落
	
8:1	天主想起了诺厄和同他在方舟内的一切野兽和牲畜，遂使风吹过大地，水渐渐退落；
8:2	深渊的泉源和天上的水闸已关闭，雨也由天上停止降落，
8:3	于是水逐渐由地上退去；过了一百五十天，水就低落了。
8:4	七月十七日，方舟停在阿辣辣特山上。
8:5	洪水继续减退，直到十月；十月一日，许多山顶都露出来。
8:6	过了四十天，诺厄开了在方舟上做的窗户，
8:7	放了一只乌鸦；乌鸦飞去又飞回，直到地上的水都乾了。
8:8	诺厄等待了七天，又放出了一只鸽子，看看水是否已由地面退尽。
8:9	但是，因为全地面上还有水，鸽子找不著落脚的地方，遂飞回方舟；诺厄伸手将它接入方舟内。
8:10	再等了七天，他由方舟中又放出一只鸽子，
8:11	傍晚时，那只鸽子飞回他那里，看，嘴里衔著一根绿的橄榄树枝；诺厄于是知道，水已由地上退去。
8:12	诺厄又等了七天再放出一只鸽子；这只鸽子没有回来。 
	
8:13t	诺厄出方舟
	
8:13	诺厄六百零一岁，正月初一，地上的水都乾了，诺厄就撤开方舟的顶观望，看见地面已乾。
8:14	二月二十七日，大地全乾了。
8:15	天主于是吩咐诺厄说：「
8:16	你和你的妻子、儿子及儿媳，同你由方舟出来；
8:17	所有同你在方舟内的有血肉的生物：飞禽、牲畜和各种地上的爬虫，你都带出来，叫他们在地上滋生，在地上生育繁殖。」
8:18	诺厄遂同他的儿子、妻子及儿媳出来；
8:19	所有的爬虫、飞禽和地上所有的动物，各依其类出了方舟。
8:20	诺厄给上主筑了一座祭坛，拿各种洁净的牲畜和洁净的飞禽，献在祭坛上，作为全燔祭。
8:21	上主闻到了馨香，心里说：「我再不为人的缘故咒骂大地，因为人心的思念从小就邪恶；我也再不照我所作的打击一切生物了，
8:22	只愿大地存在之日，稼穑寒暑，冬夏昼夜，循环不息。」
	
9:0t	第九章
	
9:1t	人类复兴
	
9:1	天主祝福诺厄和他的儿子们说：「你们要滋生繁殖，充满大地。
9:2	地上的各种野兽，天空的各种飞鸟，地上的各种爬虫和水中的各种游鱼，都要对你们表示惊恐畏惧：这一切都已交在你们手中。
9:3	凡有生命的动物，都可作你们的食物；我将这一切赐给你们，有如以前赐给你们蔬菜一样；
9:4	凡有生命，带血的肉，你们不可吃；
9:5	并且，我要追讨害你们生命的血债：向一切野兽追讨，向人，向为弟兄的人，追讨人命。
9:6	凡流人血的，他的血也要为人所流，因为人是照天主的肖像造的。
9:7	你们要生育繁殖，在地上滋生繁衍。」 
	
9:8t	天主与诺厄立约
	
9:8	天主对诺厄和他的儿子们说：「
9:9	看，我现在与你们和你们未来的后裔立约，
9:10	并与同你们在一起的一切生物：飞鸟、牲畜和一切地上野兽，即凡由方舟出来的一切地上生物立约。
9:11	我与你们立约：凡有血肉的，以后决不再受洪水湮灭，再没有洪水来毁灭大地。」
9:12	天主说：「这是我在我与你们以及同你们在一起的一切生物之间，立约的永远标记：
9:13	我把虹霓放在云间，作我与大地之间立约的标记。
9:14	几时我兴云遮盖大地，云中要出现虹霓，
9:15	那时我便想起我与你们以及各种属血肉的生物之间所立的盟约：这样水就不会再成为洪水，毁灭一切血肉的生物。
9:16	几时虹霓在云间出现，我一看见，就想起在天主与地上各种属血肉的生物之间所立的永远盟约。」
9:17	天主对诺厄说：「这就是我在我与地上一切有血肉的生物之间，所立的盟约的标记。」 
	
9:18t	诺厄的诅咒与祝福
	
9:18	诺厄的儿子由方舟出来的，有闪、含、和耶斐特。含是客纳罕的父亲。
9:19	这三人是诺厄的儿子；人类就由这三人分布天下。
9:20	诺厄原是农夫，遂开始种植葡萄园。
9:21	一天他喝酒喝醉了，就在自己的帐幕内脱去了衣服。
9:22	客纳罕的父亲含看见了父亲赤身露体，遂去告诉外面的两个兄弟。
9:23	闪和耶斐特二人于是拿了件外衣，搭在肩上，倒退著走进去，盖上父亲的裸体。他们的脸背著，没有看见父亲的裸体。
9:24	诺厄醒了后，知道了小儿对他作的事，
9:25	就说：「客纳罕是可咒骂的，给兄弟当最下贱的奴隶。」
9:26	又说：「上主，闪的天主，应受赞美，客纳罕应作他的奴隶。
9:27	愿天主扩展耶斐特，使他住在闪的帐幕内；客纳罕应作他的奴隶。」
9:28	洪水以后，诺厄又活了三百五十年。
9:29	诺厄共活了九百五十岁死了。
	
10:0t	第十章
	
10:1t	诺厄三子的后裔
	
10:1	以下是诺厄的儿子闪、含、和耶斐特的后裔。洪水以后，他们都生了子孙。
10:2	耶斐特的子孙：哥默尔、玛哥格、玛待、雅汪、突巴耳、默舍客和提辣斯。
10:3	哥默尔的子孙：阿市革纳次、黎法特和托加尔玛。
10:4	雅汪的子孙：厄里沙、塔尔史士、基廷和多丹。
10:5	那些分布于岛上的民族，就是出于这些人：以上这些人按疆域、语言、宗族和国籍，都属耶斐特的子孙。
10:6	含的子孙：雇士、米兹辣殷、普特、和客纳罕。
10:7	雇士的子孙：色巴、哈威拉、撒贝达、辣阿玛和撒贝特加。辣阿玛的子孙：舍巴和德丹。
10:8	雇士生尼默洛得，他是世上第一个强人。
10:9	他在上主面前是个有本领的猎人，为此有句俗话说：「如在上主面前，有本领的猎人尼默洛得。」
10:10	他开始建国于巴比伦、厄勒客和阿加得，都在史纳尔地域。
10:11	他由那地方去了亚述，建设了尼尼微、勒曷波特城、
10:12	加拉和在尼尼微与加拉之间的勒森（尼尼微即是那大城。）
10:13	米兹辣殷生路丁人、阿纳明人、肋哈宾人、纳斐突歆人、
10:14	帕特洛斯人、加斯路人和加非托尔人。培肋舍特人即出自此族。
10:15	客纳罕生长子漆冬，以后生赫特、
10:16	耶步斯人、阿摩黎人、基尔加士人、
10:17	希威人、阿尔克人、息尼人、
10:18	阿尔瓦得人、责玛黎人、和哈玛特人；此后，客纳罕的宗族分散了，
10:19	以致客纳罕人的边疆，自漆冬经过革辣尔直到迦萨，又经过索多玛、哈摩辣、阿德玛和责波殷，直到肋沙。
10:20	以上这些人按疆域、语言、宗族和国籍，都属含的子孙。
10:21	耶斐特的长兄，即厄贝尔所有子孙的祖先闪，也生了儿子。
10:22	闪的子孙：厄蓝、亚述、阿帕革沙得、路得和阿兰。
10:23	阿兰的子孙：伍兹、胡耳、革特尔和玛士。
10:24	阿帕革沙得生舍拉；舍拉生厄贝尔。
10:25	厄贝尔生了两个儿子：一个名叫培肋格，因为在他的时代世界分裂了；他的兄弟名叫约刻堂。
10:26	约刻堂生阿耳摩达得、舍肋夫、哈匝玛委特、耶辣、
10:27	哈多兰、乌匝耳、狄刻拉、
10:28	敖巴耳、阿彼玛耳、舍巴、
10:29	敖非尔、哈威拉和约巴布：以上都是约刻堂的子孙。
10:30	他们居住的地域，从默沙经过色法尔直到东面的山地：
10:31	以上这些人按疆域、语言、宗族和国籍，都属闪的子孙：
10:32	以上这些人按他们的出身和国籍，都是诺厄子孙的家族；洪水以后，地上的民族都是由他们分出来的。
	
11:0t	第十一章
	
11:1t	巴贝耳塔
	
11:1	当时全世界只有一种语言和一样的话。
11:2	当人们由东方迁移的时候，在史纳尔地方找到了一块平原，就在那里住下了。
11:3	他们彼此说：「来，我们做砖，用火烧透。」他们遂拿砖当石，拿沥青代灰泥。
11:4	然后彼此说：「来，让我们建造一城一塔，塔顶摩天，好给我们作记念，免得我们在全地面上分散了! 」
11:5	上主遂下来，要看看世人所造的城和塔。
11:6	上主说：「看，他们都是一个民族，都说一样的语言。他们如今就开始做这事；以后他们所想做的，就没有不成功的了。
11:7	来，我们下去，混乱他们的语言，使他们彼此语言不通。」
11:8	于是上主将他们分散到全地面，他们遂停止建造那城。
11:9	为此人称那地为「巴贝耳，」因为上主在那里混乱了全地的语言，且从那里将他们分散到全地面。 
	
11:10t	闪族的家谱
	
11:10	以下是闪的后裔：洪水后两年，闪正一百岁，生了阿帕革沙得；
11:11	生阿帕革沙得后，闪还活了五百年，也生了其他的儿女。
11:12	阿帕革沙得三十五岁时，生了舍拉；
11:13	生舍拉后，阿帕革沙得还活了四百零三年，也生了其他的儿女。
11:14	舍拉三十岁时，生了厄贝尔；
11:15	生厄贝尔后，舍拉还活了四百零三年，也生了其他的儿女。
11:16	厄贝尔三十四岁时生了培肋格；
11:17	生培肋格后，厄贝尔还活了四百三十年，也生了其他的儿女。
11:18	培肋格三十岁时，生了勒伍；
11:19	生勒伍后，培肋格还活了二百零九年，也生了其他的儿女。
11:20	勒伍三十二岁时，生了色鲁格；
11:21	生色鲁格后，勒伍还活了二百零七年，也生了其他的儿女。
11:22	色鲁格三十岁时，生了纳曷尔；
11:23	生纳曷尔后，色鲁格还活了二百年，也生了其他的儿女。
11:24	纳曷尔活到二十九岁时，生特辣黑；
11:25	生特辣黑后，纳曷尔还活了一百一十九年，也生了其他的儿女。
11:26	特辣黑七十岁时，生了亚巴郎、纳曷尔和哈郎。 
	
11:27t	特辣黑的后裔
	
11:27	以下是特辣黑的后裔：特辣黑生了亚巴郎、纳曷尔和哈郎；哈郎生了罗特。
11:28	哈郎在他的出生地，加色丁人的乌尔，死在他父亲特辣黑面前。
11:29	亚巴郎和纳曷尔都娶了妻子：亚巴郎的妻子名叫撒辣依；纳曷尔的妻子名叫米耳加，她是哈郎的女儿；哈郎是米耳加和依色加的父亲。
11:30	撒辣依不生育，没有子女。
11:31	特辣黑带了自己的儿子亚巴郎和孙子，即哈郎的儿子罗特，并儿媳，即亚巴郎的妻子撒辣依，一同由加色丁的乌尔出发，往客纳罕地去；他们到了哈兰，就在那里住下了。
11:32	特辣黑死于哈兰，享寿二百零五岁。
	
12:-1t	后编 圣祖史(12-50)
	
12:0t	第十二章
	
12:1t	亚巴郎蒙召
	
12:1	上主对亚巴郎说：「离开你的故乡、你的家族和父家，往我指给你的地方去。
12:2	我要使你成为一个大民族，我必祝福你，使你成名，成为一个福源。
12:3	我要祝福那祝福你的人，咒骂那咒骂你的人；地上万民都要因你获得祝福。」
12:4	亚巴郎遂照上主的吩咐起了身，罗特也同他一起走了。亚巴郎离开哈兰时，已七十五岁。
12:5	他带了妻子撒辣依、他兄弟的儿子罗特和他在哈兰积蓄的财物，获得的仆婢，一同往客纳罕地去，终于到了客纳罕地。
12:6	亚巴郎经过那地，直到了舍根地摩勒橡树区；当时客纳罕人尚住在那地方。
12:7	上主显现给亚巴郎说：「我要将这地方赐给你的后裔。」亚巴郎就在那里给显现于他的上主，筑了一座祭坛。
12:8	从那里又迁移到贝特耳东面山区，在那里搭了帐幕，西有贝特耳，东有哈依；他在那里又为上主筑了一座祭坛，呼求上主的名。
12:9	以后亚巴郎渐渐移往乃革布区。 
	
12:10t	亚巴郎去埃及
	
12:10	其时那地方起了饥荒，亚巴郎遂下到埃及，寄居在那里，因为那地方饥荒十分严重。
12:11	当他要进埃及时，对妻子撒辣依说：「我知道你是个貌美的女人；
12:12	埃及人见了你，必要说：这是他的妻子；他们定要杀我，让你活著。
12:13	所以请你说：你是我的妹妹，这样我因了你而必获优待，赖你的情面，保全我的生命。」
12:14	果然，当亚巴郎一到了埃及，埃及人就注意了这女人实在美丽。
12:15	法郎的朝臣也看见了她，就在法郎前赞她美丽；这女人就被带入法郎的宫中。
12:16	亚巴郎因了她果然蒙了优待，得了些牛羊、公驴、仆婢、母驴和骆驼。
12:17	但是，上主为了亚巴郎的妻子撒辣依的事，降下大难打击了法郎和他全家。
12:18	法郎遂叫亚巴郎来说：「你对我作的是什么事？为什么你没有告诉我，她是你的妻子？
12:19	为什么你说：她是我的妹妹，以致我娶了她做我的妻子？现在你的妻子在这里，你带她去罢! 」
12:20	法郎于是吩咐人送走了亚巴郎和他的妻子以及他所有的一切。
	
13:0t	第十三章
	
13:1t	亚巴郎回贝特耳
	
13:1	亚巴郎带了妻子和他所有的一切，与罗特一同由埃及上来，往乃革布去。
13:2	亚巴郎有许多牲畜和金银。
13:3	他由乃革布逐渐往贝特耳移动帐幕，到了先前他在贝特耳与哈依之间，支搭帐幕的地方，
13:4	亦即他先前筑了祭坛，呼求上主之名的地方。 
	
13:5t	亚巴郎与罗特分离
	
13:5	与亚巴郎同行的罗特，也有羊群、牛群和帐幕，
13:6	那地方容不下他们住在一起，因为他们的产业太多，无法住在一起。
13:7	牧放亚巴郎牲畜的人与牧放罗特牲畜的人，时常发生口角－－当时客纳罕人和培黎齐人尚住在那里。
