1.-1t	训道篇
8.10	有时我看见恶人被抬去安葬，而行义的人却反离开圣地，而在城中被人遗忘：这也是虚幻。
8.11	因为惩恶的定案未有迅速执行，世人因此充满了行恶的偏向。
8.12	恶人虽百次行恶，仍享长寿，姑且不论；但我确实知道，那敬畏天主的人，因他们在天主前起敬起畏，必得幸福；
8.13	而恶人必得不到幸福，他的时日如影，决不能久长，因为他不敬畏天主。
8.14	在世上还有一件虚幻的事：就是义人所遭遇的，反如恶人所应得的；而恶人所遭遇的，反如义人所应得的；我遂说：这也是虚幻。
8.15	为此，我称赞快乐，因为在太阳下，人除了吃喝行乐外，别无幸福；因为这是人在天主赏他在太阳下的一生岁月内，从他的劳苦中，所获得的幸福。
8.16	当我专心追求智慧，观察人在世上，连黑夜白日都不能闭目安眠所行的工作时，
8.17	我面对天主的一切作为，发觉人决不能知道在太阳下所发生的一切事。人虽然努力研究，终归无法得知；纵然有智者以为知道了，仍是一无所知。
	
	
9.0t	第九章(18)
	
9.1t	智愚善恶命运则一
9.1	我留心考察这一切，终于看出：义人、智者和他们的行为，都在天主手里；是爱是恨，人不知道；二者都能来到他们身上。
9.2	无论是义人，是恶人，是好人，是坏人，是洁净的人，是不洁净的人，是献祭的人，是不献祭的人，都有同样的命运；好人与罪人一样，妄发誓的与怕发誓的也一样。
9.3	太阳之下所发生的一切事中，最不幸的是众人都有同样的命运；更有甚者，世人的心都充满邪恶，有生之日，心怀狂妄，以后与死者相聚。
9.4	的确，谁尚与活人有联系，还怀有希望，因为一只活狗胜过一只死狮。
9.5	活着的人至少自知必死，而死了的人却一无所知；他们再得不到报酬，因为连他们的记念也被人遗忘。
9.6	他们的爱好，他们的憎恨，他们的热诚，皆已消失；在太阳下所发生的一切事，永远再没有他们的分。
	
9.7t	及时行乐
9.7	你倒不如去快乐地吃你的饭，开怀畅饮你的酒，因为天主早已嘉纳你所作的工作。
9.8	你的衣服常要洁白，你头上总不缺少香液。
9.9	在天主赐你在太阳下的一生虚幻岁月中，同你的爱妻共享人生之乐：这原是你在太阳下，一生从劳苦中所应得的一分。
9.10	你手能做什么，就努力去做，因为在你所要去的阴府内，没有工作，没有计划，没有学问，没有智慧。
	
9.11t	命运不济
9.11	我又在太阳下看见：善跑的不得竞赛，勇将不得参战，智者得不到食物，明白人得不到财富，博学者得不到宠幸，因为他们都遭遇了不幸的时运。
9.12	因为人不知道自己的时期，当凶险猝然而至的时候，人子为不幸的时运所获，就像鱼被网捕住，又像鸟被圈套套住。
9.13	在太阳下我又得了一个智慧的经验，依我看来，大有意义：
9.14	有座小城，里面居民不多；有位大王来攻打此城，把城围住，周围筑了高垒。
9.15	那时，城中有个贫贱却具有智慧的人，他用自己的智慧，救了本城：可是人们却忘了这贫贱的人。
9.16	于是我说：智慧远胜过武力；然而贫贱人的智慧却被人轻忽，他的话却没有人聆听。
9.17	智者温和的言语，比王者在愚人中的吶喊，更受欢迎。
9.18	智慧胜于武器；一个错误能破坏许多好事。
	
	
10.0t	第十章(20)
	
10.1t	昏愚之害
10.1	一个死苍蝇能败坏一碗制香膏者的香膏；一点愚昧也能败坏智能和尊荣。
10.2	智慧人的心倾向右，愚人的心偏向左。
10.3	愚人连在走路时，也是无知，并称众人皆胡涂。
10.4	若当权者向你生气，你不可离弃岗位，因为心平气和能避免大错。
10.5	我在太阳下见了一件不幸的事，似乎是出于掌权者的错误：
10.6	愚人占居高位，贵人屈居下位。
10.7	我看见仆人骑马，而王侯反像仆人一样步行。
10.8	挖掘陷阱的必自陷其中，拆毁墙壁的必被蛇咬伤；
10.9	开凿石头的必为石压伤，砍伐树木的必遭遇危险。
10.10	铁器钝了，如不将刃磨快，必费许多气力；成功是智慧的效能。
10.11	行法术之前，就已被蛇咬伤，法术于行法术的人，就没有好处。
10.12	智者口中的语言，为人有益；愚人的口舌却自招灭亡：
10.13	他口中的语言，开始是愚昧，最后却是残忍的狂语。
10.14	愚人只知多言：「将来的事怎样，人不知道；人身后的事，有谁来告诉他﹖」
10.15	以愚人劳碌感到烦恼，因为连怎样进城，他也不知道。
	
10.16t	节制与明智
10.16	邦国，你的君王若是一个幼童，你的长官若清晨宴饮，你就有祸了!
10.17	邦国，你的君王若出身显贵，你的长官若宴饮有时，只求养身，不为快乐，那你就有福了。
10.18	屋顶坍塌，由于怠惰；房屋滴漏，由于手懒。
10.19	设宴是为欢乐，酒可使生活愉快；钱能应付一切。
10.20	在床塌上，不要诅咒君王；在卧室内，不要咒骂长官，因为空中的飞鸟能传音，有翅翼的能传话。
	
	
11.0t	第十一章(10)
	
11.1t	信赖与明智
11.1	把你的粮食拋到水面，多日后你必有所获。
11.2	将你的家产分作七分八分，因为你不知道世上要发生什么灾祸。
11.3	云一满了，雨就倾住于地。树倒向南或倒向北，一倒在那里，就躺在那里。
11.4	观察风向的，必不撒种；研究云象的，必不收割，
11.5	就如你不知道生气如何进入孕妇胎中的骨骼里，同样你也不知道天主所创造的一切化工。
11.6	你早上撒种，晚上也不要住手，因为你不知道：是早上撒的，或是晚上撒的长的好，或是早晚两种都同样好。
	
11.7t	莫负青春
11.7	光明实在可爱，看见太阳实在令眼愉悦。
11.8	人无论活了多大年纪，尽可享受各种福乐；但他应想到黑暗的日子还多，所发生的事，尽属虚幻。
11.9	少年人，在你青春时应行乐；在你少壮的时日，应心神愉快；随你心所欲，你眼所悦的去行，但应知道：天主必要就你所行的一切审判你。
11.10	扫除你心中的烦恼，驱除你身上的痛苦，因为青春和少年都是虚幻。
	
	
12.0t	第十二章(14)
	
12.1t	及早纪念造主
12.1	在你年轻的时日，在灾祸的日子来到之前，即在你说的那些「没有欢乐」的日子来到之前，你应记念你的造主；
12.2	不要等到太阳、光体、月亮、星辰失光，雨后云彩再来；
12.3	因为那时，看门者战栗，大力士屈伏，推磨的妇女因为少而停工，眺望窗外的女人面目昏黑，
12.4	两扇街门快关闭，磨声低微，雀鸟息声，歌女低吟，
12.5	怕上高处，行路危险，杏子被弃，蚱蜢被嫌，续随子失去效力，因为人要回永远的家乡，哀悼的人徘徊街头；
12.6	那时银链将断，金灯将碎，水罐将破于泉旁，轮子将烂于井边，
12.7	灰尘将归于原来的土中，生气将归于天主，因为原是天主所赐。
12.8	训道者说：虚而又虚，万事皆虚。
	
12.9t	结论
12.9	训道者不但是智者，而且教人获得知识，在沉思推究之后，编撰了许多格言。
12.10	训道者费神寻找适当的语句，忠诚地写下了真理之言。
12.11	智者的话好似锥子，收集的言论，好象钉牢的钉子：二者都是一位牧者所赐。
12.12	除此之外，我儿，不必再找别的书籍，书不论写多少，总没有止境；用功过度，必使身体疲倦。
12.13	总而言之：「你应敬畏天主，遵守他的诫命，因为这是人人的义务。」
12.14	诚然天主对一切行为，连最隐秘的，不论好坏，都要一一审判。
	
