1:-2t	哥罗森书	
2:20	既然你们与基督已同死于世俗的原理，为什么还如生活在世俗中一样，受人指点：	
2:21	「不可拿，不可尝，不可摸，」	
2:22	拘泥于人的规定和教训呢？──其实这一切，一经使用，便败坏了。	
2:23	这些教规既基于随从私意的敬礼、谦卑和苦身克己，徒有智慧之名，并没有什么价值，只为满足肉欲而已。	
		
		
3:-1t	相称于基督的生活	
		
3:0t	第三章	
		
3:1t	信友生活的理想与实践　	
3:1 	你们既然与基督一同复活了，就该追求天上的事，在那里有基督坐在天主的右边。	
3:2 	你们该思念天上的事，不该思念地上的事，	
3:3 	因为你们已经死了，你们的生命已与基督一同藏在天主内了；	
3:4 	当基督，我们的生命显现时，那时，你们也要与衪一同出现在光荣之中。	
3:5 	为此，你们要致死属于地上的肢体，致死淫乱、不洁、邪情、恶欲和无异于偶像崇拜的贪婪，	
3:6 	为了这一切，天主的义怒才降在悖逆之子身上；	
3:7 	当你们生活在其中时，你们也曾一度在其中行动过，	
3:8 	但是现在你们却该戒绝这一切：忿怒、暴戾、恶意、诟骂和出于你们口中的秽言。	
3:9 	不要彼此说谎；你们原已脱去了旧人和他的作为，	
3:10	且穿上了新人，这新人既是照创造他者的肖像而更新，为获得知识的；	
3:11	在这一点上，已没有希腊人或犹太人，受割损的或未受割损的，野蛮人、叔提雅人、奴隶、自由人的分别，而只有是一切并在一切内的基督。	
3:12	为此，你们该如天主所拣选的，所爱的圣者，穿上怜悯的心肠、仁慈、谦卑、良善和含忍；	
3:13	如有人对某人有什么怨恨的事，要彼此担待，互相宽恕；就如主怎样宽恕了你们，你们也要怎样宽恕人。	
3:14	在这一切以上，尤该有爱德，因为爱德是全德的联系。	
3:15	还要叫基督的平安，在你们心中作主；你们所以蒙召存于一个身体内，也是为此，所以你们该有感恩之心。	
3:16	要让基督的话充分地存在你们内，以各种智慧彼此教导规劝，以圣咏、诗词和属神的歌曲在你们心内，怀着感恩之情，歌颂天主。	
3:17	你们无论作什么，在言语上或在行为上，一切都该因主耶稣的名而作，借着他感谢天主圣父。	
		
3:18t	家庭的职责　	
3:18	作妻子的，应该服从丈夫，如在主内所当行的。	
3:19	作丈夫的，应该爱妻子，不要苦待她们。	
3:20	作子女的，应该事事听从父母，因为这是主所喜悦的。	
3:21	作父母的，不要激怒你们的子女，免得他们灰心丧志。	
3:22	作奴隶的，应该事事听从肉身的主人，且不要只当着眼前服事，像是取悦于人，而是要以诚心，出于敬畏主。	
3:23	你们无论作什么，都要从心里去作，如同是为主，而不是为人，	
3:24	因为你们该知道，你们要由主领取产业作为报酬；你们服事主基督罢！	
3:25	因为凡行不义的，必要得他所行不义的报应；天主决不看情面。	
		
		
4:0t	第四章	
4:1 	作主人的，要以正义公平对待奴仆，因为该知道，你们在天上也有一位主子。	
		
4:2t	祈祷与为人　	
4:2 	你们要恒心祈祷，在祈祷中要醒寤，要谢恩；	
4:3 	同时，也要为我们祈祷，求天主给我们大开传道之门，好叫我能以宣讲基督的奥秘──我就是为此带上了锁链──	
4:4 	好叫我能照我该说的，把这奥秘传扬出去。	
4:5 	与外人来往要有智慧，要把握时机。	
4:6 	你们的言谈常要温和，像调和上了盐；要知道应如何答复每个人。	
		
4:7tt	结　论	
		
4:7t	介绍送信人　	
4:7 	关于我的一切，有我们亲爱的弟兄，忠信的服务者及在主内的同仆提希苛，告诉你们。	
4:8 	我打发他到你们那里去，就是为把我们的事报告给你们，并为安慰你们的心。	
4:9 	和他同去的．还有忠信亲爱的弟兄敖乃息摩，他原是你们的同乡；他们会把这里的一切事报告给你们。	
		
4:10t	问安与祝福　	
4:10	我的囚伴阿黎斯塔苛问候你们，巴尔纳伯的表弟马尔谷也问候你们──关于他，你们已获得了指示；如果他到了你们那里，你们要接待他──	
4:11	还有号称犹斯托的耶稣，也问候你们；受割损的人中，只有这些人对天主的国是合作的人，他们这样的人才是我的安慰。	
4:12	你们的同乡，基督耶稣的奴仆厄帕夫辣问候你们，他在祈祷中常为你们苦求，为使你们能坚定不移，在天主所愿意的一切事上，作成全兼诚服的人。	
4:13	我实在能给他作证：他为你们和在劳狄刻雅及耶辣颇里的人受了许多辛苦。	
4:14	亲爱的医生路加和德玛斯问候你们。	
4:15	请你们问候劳狄刻雅的弟兄，也问候宁法和她的家里的教会。	
4:16	几时你们宣读了这封信，务要使这封信也在劳狄刻雅人的教会内宣读；至于那由劳狄刻雅转来的信，你们也要宣读。	
4:17	请你们告诉阿尔希颇：「要留心你在主内所接受的职分，务要善尽此职！」	
4:18	我保禄亲笔问候；你们要念及我的锁链！愿恩宠与你们同在!	
		
