1.-2t	列王纪上
1.28	鞑味回答说：「快给我召巴特，舍巴来！」她便进来立在君王面前。
1.29	君王起誓说：「救我脱离各种患难的上主永在！
1.30	我既然曾指著上主以色列的天主向你起誓说：你的儿子撒罗满必要继我为王，代我坐上我的宝座：今天我就要这样作。」
1.31	巴特舍巴遂俯伏在地，叩拜君王说：「愿我主大王鞑味万岁！」
	
1.32t	撒罗满登极为王
	
1.32	鞑味王接著说：「将司祭匝多克、先知纳堂、约雅鞑的儿子贝纳雅，给我召来。」他们都来到君王面前。
1.33	君王对他们说：「率领你们主子的仆人，立刻叫我儿撒罗满骑上我自己的骡子，护送他下到基红去。
1.34	司祭匝多克和先知纳堂要在那里给他傅油，立他为以色列王。你们要吹号欢呼说：撒罗满王万岁！
1.35	以后，你们跟他上来，他要来坐在我的宝座，继位为王，因为我已钦定他作以色列和犹大的领袖。」
1.36	约雅达的儿子贝纳雅回答君王说：「但愿如此！愿我主大王的上主天主，如此照准！
1.37	上主如何与我主大王同在，也愿他与撒罗满同在！使他的王位高于我主君王达味的王位。」
1.38	于是司祭匝多克、先知纳堂、约雅达的儿子贝纳雅、革勒提人和培肋提人下去，叫撒罗满骑上达味王的骡子，护送他到了基红。
1.39	司祭匝多克从会幕里取过油角来，给撒罗满傅了油，人们立即吹号，众百姓一起欢呼说：「撒罗满王万岁！」
1.40	以后，所有的人民拥护他上去，吹着笛子，尽情欢乐，以致大地也因他们的欢呼声而震动。
	
1.41t	阿多尼雅的党羽瓦解
	
1.41	阿多尼雅和他所请的一切客人欢宴刚完，都听见了这声音；约阿布一听见号声，便问说：「为什么城中这样鼓噪？」
1.42	他正说话的时候，司祭厄贝雅塔尔的儿子约纳堂来了，阿多尼雅说：「进来，你是个英雄好汉，想必带来了好消息！」
1.43	约纳堂回答阿多尼雅说：「不！我们的主上达味王已立撒罗满为王了。
1.44	君王派司祭匝多克、先知纳堂、约雅达的儿子贝纳雅、革勒提人和培肋提人，护送他下去，叫他骑上了君王的骡子。
1.45	司祭匝多克和先知纳堂已在基红给他傅了油，立他为王。现在他们正从那里欢呼上来，震动了全城：这就是你们听到的喧嚷声。
1.46	撒罗满现已坐上了君王的宝座，
1.47	君王的臣仆都来祝贺我们的主上达味王说：愿你的天主使撒罗满的名声比你的名声更荣耀，使他的王位比你的王位更兴隆！君王就伏在床上下拜，
1.48	且说：上主以色列的天主应受赞美！因为今天他指派了一个人坐上了我的宝座，我也亲自眼看见了。」
1.49	阿多尼雅请来的客人都害了怕，起来各自走了。
1.50	阿多尼雅也害怕撒罗满，遂起来跑到上主的会幕内，抱住祭坛的角。
1.51	有人告诉撒罗满说：「看，阿多尼雅害怕撒罗满王，抱住祭坛的角说：撒罗满王先得向我起誓：决不用刀杀死他的仆人。」
1.52	撒罗满说：「如果他肯做一个忠义的人，他的一根头发也不会落在地上；但如果发现他有什么不对，必死无疑。」
1.53	撒罗满王遂派人去，叫他从祭坛上下来；他便前来，俯伏在撒罗满王前。撒罗满对他说：「你回家去罢！」
	
2.0t	第二章
	
2.1t	达味王的遗嘱
	
2.1	达味死的日子已经近了，便嘱咐自己的儿子撒罗满说：「
2.2	我现在要走世人应走的路，你要作英勇有为的大丈夫，
2.3	恪守上主你天主的典章，履行他的道路，遵守他的规律、诫命、法令和制度，如梅瑟法律上所记载的：这样无论你做什么，无论你往何处去，必然顺利；
2.4	上主也必履行他关于我所说的话，说：如果你的子孙固守他们的道路，真能全心全意在我面前行走，那么，你的后代就决不缺坐上以色列宝座的人。
2.5	此外，你也知道责鲁雅的儿子约阿布对我所做的事，对以色列军队的两个统帅，乃尔的儿子阿贝乃尔和耶特尔的儿子阿玛撒所做的事；他在升平时，杀了他们，像在战争时杀人，使我腰间的带子和脚上的鞋染了无辜的血。
2.6	你要凭你的明智行事，不要让他平安无事，白头下入阴府。
2.7	至于基肋阿得人巴尔齐来人的子孙，你却应该厚待他们，使他们列入你席上的食客，因为当我逃避你哥哥阿贝沙隆时，他们是怎样的照顾了我。
2.8	看，在你身旁还有巴胡陵地的本雅明人革辣的儿子史米，在我去玛哈纳殷那一天，他恶毒地咒骂了我；但是，后来他又下到约旦河来迎接我，当时我指著上主对他起誓说：我决不用刀处决你。
2.9	现在，你可不要把他看作无罪的人，你既然明智，就该知道怎样对付他，使他白发染血，下入阴府。」
	
2.10t	达味逝世撒罗满即位
	
2.10	达味与自己的列祖同眠，葬在达味城。
2.11	达味作以色列王四十年：在赫贝龙作王七年，在耶路撒冷作王三十三年。
2.12	撒罗满于是坐上了他父亲达味的宝座，他的王国恨是巩固。
	
2.13t	阿多尼雅自招杀身之祸
	
2.13	哈基特的儿子阿多尼雅来见撒罗满的母亲巴特舍巴，她问说：「你来这里平安吗？」阿多尼雅回答说：「平安。」
2.14	继而又说：「我有句话对你说。」巴特舍巴说：「请说罢！」
2.15	他说：「你知道王国原该归于我，全以色列都期待我为王。无奈王国反而归于我的弟弟；当然，归他是由于上主。
2.16	现在，我要求你一件事，请你不要拒绝我！」巴特舍巴对他说：「说罢！」
2.17	阿多尼雅说：「我求你向撒罗满说：将叔能的女子阿彼沙格给我为妻，因为他决不会拒绝你的请求。」
2.18	巴特舍巴说：「好！我要为你请求君王。」
2.19	巴特舍巴于是去见撒罗满王，为阿多尼雅请求。君王遂起身迎接她，向她俯首致敬，然后坐在宝座上；又叫人为君王的母亲另预备了一个座位，她便坐在君王的右边。
2.20	巴特舍巴说：「我要求你一件小事，请你不要拒绝我！」君王对她说：「母亲！你求罢！我决不拒绝。」
2.21	巴特舍巴说：「请你将叔能的女子给你哥哥阿多尼雅为妻。」
2.22	撒罗满回答母亲说：「你为什么为阿多尼雅要求叔能的女子阿彼沙格呢？你为他要求王国罢！因为他是我的哥哥，何况厄贝雅塔尔司祭和责鲁雅的儿子约阿布又都拥护他。」
2.23	撒罗满王便指著上主起誓说：「如果阿多尼雅说了这话，而不丧失性命，愿上主严厉惩罚我，并加倍地惩罚我！
2.24	上主支持我，使我坐上了我父亲达味的宝座，照他所应许的，给我建立了王室，现在，我指著永生的上主起誓：阿多尼雅今天必该处死！」
2.25	撒罗满王便派约雅达的儿子贝纳雅去杀了阿多尼雅；阿多尼雅便死了。
	
2.26t	厄贝雅塔尔被革职
	
2.26	此后，君王对于厄贝雅塔尔司祭说：「你回阿纳托特，往你的庄田去罢！你原是该死的人，但今天我不杀你，因为你曾在我父亲达味面前，抬过吾主上主的约柜，与我父亲同受过一切艰苦。」
2.27	这样，撒罗满罢免了厄贝雅塔尔作上主的司祭，应验了上主昔日在史罗指著厄里家族所说的话。
	
2.28t	约阿布被处决
	
2.28	约阿布既然支持阿多尼雅，而没有支持撒罗满，他听到了这消息，便跑到上主的会幕里，抱住祭坛的角。
2.29	有人报告撒罗满王说：「约阿布逃到上主的会幕里，站在祭坛旁。」撒罗满就吩咐约雅达的儿子贝纳雅说：「你去，将他杀死！」
2.30	贝纳雅便到上主的会幕内，对约阿布说：「君王这样吩咐：你出来罢！」他回答说：「我不出去，我宁愿死在这里。」贝纳雅回来向君王覆命说：「约阿布这样说了，这样回答了我。」
2.31	君王对他说：「你就照他所说的去做：将他杀死埋掉，今天你即应从我身上，由我父家除去约阿布所流的无辜之血。
2.32	上主必要使他所流的血归到他头上，因为他曾杀死了两个比他更正义，更慈善的人。他用刀杀死了乃尔的儿子，以色列军队的统帅阿贝乃尔，和耶特尔的儿子，犹大军队的统帅阿玛撒，这事我父亲一点都不知道。
2.33	他们的血要永归在约阿布和他子孙的头上；至于达味，他的后裔，他的家族，他的王位，必永远享受遗上主而来的平安！」
2.34	约雅达的儿子贝纳雅就上去，杀了他，把他葬在他旷野中的家园。
2.35	君王遂委任约雅达的儿子贝纳雅，代替约阿布统率军队，又委任匝多克司祭，代替厄贝雅塔尔。
	
2.36t	史米违命处死
	
2.36	君王派人将史米召来，对他说：「你要在耶路撒冷为你建筑一座房屋，住在那里，不可从那里出来，到任何地方去。
2.37	你应当知道：你那一天出来，渡过克德龙溪，你那一天就一定要死；你的血必归在你头上。」
2.38	史米对君王说：「这话很好！我主大王怎样说，你的仆人就怎样做。」史米于是常住在耶路撒冷。
2.39	三年以后，史米的两个仆人逃到玛敖客的儿子，加特的君王阿基士那里去了。有人告诉史米说：「你的仆人在加特。」
2.40	史米便起来，备好自己的驴，往加特阿基士那里，找他的仆人。史米去了，从加特带回了自己的仆人。
2.41	有人告诉撒罗满说：「史米从耶路撒冷去了加特，意回来了。」
2.42	君王便派人将史米召来，对他说：「难道我没有叫你指著上主起誓，预先警告你说：你应当知道：你那一天出去，不论到任何地方，你那一天就一定要死么？你不是也对我说过：这话很好，我听见了么？
2.43	为什么你没有遵守对上主的誓言和我吩咐你的命令？」
2.44	君王又对史米说：「你心里明白你对我父亲达味所做的一切恶事，所以上主要将你的邪恶都归在你头上。
2.45	而撒罗满王却要蒙受祝福，达味的王权要在上主面前，永远坚定不移！」
2.46	于是君王命令约雅达的儿子贝纳雅出去，击杀了史米，史米就死了。于是王国在撒罗满治下才算巩固了。
	
3.0t	第三章
	
3.1t	撒罗满与外族结亲
	
3.1	撒罗满与埃及王法郎结亲，娶了法郎的公主，接她住在达味城，直等到他建完了自己的宫殿、上主的殿及耶路撒冷四周围的城垣。
3.2	百姓仍然在高丘上献祭，因为直到那时，还没有为上主的名建造殿宇。
3.3	撒罗满爱慕上主，遵行他父亲达味的律例，只是仍在高丘上献祭焚香。
	
3.4t	上主显现给撒罗满
	
3.4	撒罗满王去了基贝红，为在那里献祭，因为那是一个最广大的高丘。撒罗满在那里的祭坛上奉献了一千全燔祭。
3.5	撒罗满在基贝红时，夜间上主藉著梦显现给他；天主对他说：「你不拘求什么，我必给你。」
3.6	撒罗满说：「你的仆人，我的父亲达味曾以虔诚、公义及正直的心与你同行，你曾向他表示了伟大的恩德，又为给他保持这伟大的恩德，赐给了他一个儿子，坐在他的宝座上，如同今天一样。
3.7	上主，我的天主，现在你使你的仆人替代我父亲达味为王，但我还太年轻，不知道如何处理国事。
3.8	你的仆人是住在你所选的民族中间，这是一个多得不可统计，不可胜数的大民族。
3.9	为此，求你赐给你的仆人一颗慧心，可统治你的百姓，判断善恶；否则，谁能统治你这样众多的人民呢？」
3.10	因为撒罗满求了这件事，获得了上主的欢心。
3.11	天主于是对他说：「因为你求了这件事，而没有为你自己求长寿，也没有为你自己求富贵，也没有要求你敌人的性命，单单为你自己求了智慧，为能辨明正义。
3.12	我必照你的话作，赏赐你一颗聪明智慧的心，在你以前没有像你的人，在你以后，也不会兴起一个像你的人。
3.13	你没有要求的荣华富贵，我也赏赐你，使你在列王中，一生没有可与你相比的。
3.14	如果你履行我的道路，恪守我的法律和我的命令，一如你父亲达味所行的，我必要延长你的寿命。」
3.15	撒罗满醒来，才知道原是一梦；以后他回了耶路撒冷，立在上主的约柜前，奉献了全燔祭与和平祭，设宴款待了自己所有的臣仆。
	
3.16t	撒罗满断狱如神
	
3.16	有一天，有两个妓女来见君王，立在君王面前。
3.17	一个女人说：「我主，我和这个女人同住一房，在这房里，我靠著她生了一个孩子。
3.18	我生产后第三天，这个女子也生了一个孩子。我们住在一起，在这房里，除我们二人外，再没有别人住在这房里。
3.19	有一夜，这个女子的儿子死了，是因为她睡觉压死的。
3.20	她半夜起来，趁你婢女熟睡时，从我身边抱去我的儿子，放在她怀里，把她死了的儿子，放在我怀里。
3.21	当我清早起来，给孩子喂奶时，发觉孩子死了；及至天亮，我仔细一看，发觉他不是我亲生的儿子。」
3.22	另一个女人说：「不是的，活的是我的儿子，死的是你的儿子。」这个女人说：「不是的，死的是你的儿子，活的是我的儿子。」她们俩就这样在君王面前争论不休。
3.23	君王说：「这一个说：活的是我的儿子，死的是你的儿子；那一个说：不是的，死的是你的儿子，活的是我的儿子。」
3.24	君王吩咐说：「给我拿把刀来！」人就给君王拿来了一把刀。
3.25	君王遂下令说：「把那活孩子劈成两半：一半给这一个，一半给那一个。」
3.26	那活孩子的母亲因为爱子心切，就对君王说：「我主，请把活孩子给那女人罢！千万不要杀他！」那个女人说：「劈开罢！这孩子不归我，也不归你！」
3.27	君王于是宣判说：「将活孩子给这个女人，不要杀他。这个女人实在是他的母亲！」
3.28	全以色列人听了君王所断的案件，便都尊敬君王，因为他们见他断案时，具有天主的智慧。
	
4.0t	第四章
	
4.1t	撒罗满的朝臣
	
4.1	撒罗满王作王统治全以色列。
4.2	以下是他所有的官吏：匝多克的儿子阿匝黎雅作大司祭，
4.3	史沙的两个儿子厄里曷勒夫和阿希雅作书记，阿希路得的儿子约沙特作御史，
4.4	约雅达的儿子贝纳雅统率军队，【匝多克和厄贝雅塔尔为司祭，】
4.5	纳堂的儿子阿匝黎雅为太守之长，纳堂的儿子匝步得为君王的朋友，
4.6	阿希沙尔为家宰，阿贝达的儿子阿多尼兰管理苦役。
	
4.7t	十二太守
	
4.7	撒罗满另立了十二太守管理全以色列，供应君王和王室的食粮；一年之中每人供应一个月。
4.8	他们的名字如下：胡尔的儿子管理厄弗辣因山地；
4.9	德刻尔的儿子管理玛卡兹、沙耳宾、贝特舍默士、阿雅隆及贝特哈南；
4.10	赫达布的儿子管理阿鲁波特、索苛及赫斐尔全地；
4.11	阿彼纳达布的儿子管理多尔全境，他娶了撒落满的女儿塔法特为妻；
4.12	阿希路得的儿子巴阿纳，管理塔纳客、默基多直到约刻默罕外，以及位于依次勒耳下边的全贝特商，曾贝特商直到靠近匝尔堂的阿贝耳默曷拉；
4.13	革贝尔的儿子管理辣摩特基肋阿得，和在基肋阿得地的默纳协的儿子雅依尔的乡村；在巴商阿尔哥布地，所有的六十座设有城墙和铜闩的大城市，也归他管理；
4.14	依多的儿子阿希纳达布管理玛哈纳殷；
4.15	阿希玛兹管理纳斐塔里，他也娶了撒罗满的女儿巴色玛特为妻；
4.16	胡瑟的儿子巴阿纳管理阿协尔和则步隆；
4.17	帕鲁亚的儿童约沙特管理依撒加尔；
4.18	厄拉的儿子史米管理本雅明；
4.19	乌黎的儿子革贝尔管理加得，即昔日属阿摩黎王息红和巴商王敖格的地区。犹大地区另派太守管理。
4.20	当时犹大和以色列人数，像海边的沙粒那么多；他们有吃有喝，非常快乐。
	
5.0t	第五章
	
5.1t	撒罗满的富贵
	
5.1	由大河直至培肋舍特人地和埃及边界诸王国，都在撒罗满统治下；撒罗满一生岁月中，这些王国都向他进贡，表示臣服。
5.2	撒罗满每月所用的食品：细面十「苛尔，」粗面六十「苛尔；」
5.3	肥牛十只，牧放的牛二十只，羊一百只；此外还有鹿、羚羊、□子和肥禽。
5.4	因为他统治大河西岸全境，从提斐撒到迦萨，大河西岸诸王都属他权下，于是四邻边境都相安无事。
5.5	撒罗满一生岁月中，从丹到贝尔舍巴的犹大和以色列人，都各安居在自己的葡萄树和无花果树下。
5.6	撒罗满有四千厩套车的马，并有一万二千匹坐骑。
5.7	那些太守每人各按自己的月份，供应撒罗满王和所有赴撒罗满王宴席的人，而一无所缺。
5.8	每人各按所受的命令，将饲养战马及骏马的大麦和草料，送到所指定的地方。
	
5.9t	撒罗满的智慧
	
5.9	天主赐给了撒罗满绝大的智慧和聪明，心胸宽大，有如海边的沙滩。
5.10	撒罗满的智慧超过所有东方人和埃及人的一切智慧。
5.11	他比所有的人更有智慧：比则辣黑人厄堂，比玛曷耳的儿子赫曼、加耳苛耳和达尔达都更有智慧；他的声誉传遍周围列国。
5.12	他说过三千句箴言，作的诗歌有一千五百首。
5.13	他讲论过草木，从黎巴嫩山上长的香柏，到墙上寄生的牛膝草；也讲论过走兽和飞禽，爬虫和鱼类。
5.14	为此，万民和各国的君王，凡听说撒罗满智慧的，都来听他的智慧。
	
5.15t	准备建筑圣殿
	
5.15	提洛王希兰听说撒罗满受传继父为王，就派自己的仆人去见撒罗满，因为希兰一生常是达味的好友。
5.16	撒罗满也派人去见希兰说：「
5.17	你知道我父亲达味因了四周的战争，在上主没有将敌人置于他脚下以前，不能为上主他的天主的名建造殿宇。
5.18	但是现在，上主我的天主使我四周太平，没有仇敌，也没有灾祸。
5.19	所以我决意要为上主我天主的名建造殿宇，一如上主对握父亲曾说过：你的儿子，即我使他继你坐你宝座的那一位，要为我的名建造殿宇。
5.20	所以现在，请你吩咐人从黎巴嫩给我砍伐香柏木，我的仆人会与你的仆人一起工作，我必照你所说定的，把你仆人的工资全交给你，因为你知道在我们中间，没有像漆冬人那样善于砍伐树木的。」
5.21	希兰听了撒罗满的话，非常高兴说：「上主今日应受赞美，因为他赐给了达味一个有智慧的儿子，统治这个强大的民族。」
5.22	希兰遂派人去见撒罗满说：「你派人来向我说的话，我都听到了；至于香柏木和柏木，我必全照你的心愿去做。
5.23	我仆人把这些木料从黎巴嫩运下海中，编成木筏，由海上转运到你给我指定的地方，我在那里拆开，你在那里接收；但是，你也要成全我的心愿，拿食粮来供应我的宫廷。」
5.24	希兰于是全照撒罗满的要求，供给他香柏木和柏木，
5.25	撒罗满则供给希兰麦子两万「苛尔，」纯油二十「苛尔，」作为他宫廷的食粮。撒罗满年年这样供应希兰。
5.26	上主依照所许的，赐给了撒罗满智慧；希兰与撒罗满之间，彼此和好，二人相互订立了盟约。
	
5.27t	徵调工人
	
5.27	撒罗满王由全以色列中，徵人服役，共徵调了三万；
5.28	每月轮流派一万人上黎巴嫩山：一个月在黎巴嫩山，两个月留在家中；由阿多兰监督劳工。
5.29	撒罗满有七万搬运重物的工人，有八万在山上工作的石匠；
5.30	此外，还有三千三百监管工作的头目，指挥人民工作。
5.31	君王吩咐人开采巨大和贵重的石头，以凿好的石头建筑殿宇的基础。
5.32	撒罗满和希兰的工人，以及革巴耳人都开凿石头，预备木料和石头，建造殿宇。
	
6.0t	第六章
	
6.1t	建造圣殿
	
6.1	以色列子民出离埃及地后四百八十年，撒罗满作以色列王第四年「齐夫」月，【即二月，】开始建造上主的殿。
6.2	撒罗满王为上主所建立的殿，长六十肘，宽二十肘，高三十肘。
6.3	殿堂前的门廊长二十肘，宽与殿的宽度相等，共十肘，在殿堂之前。
6.4	又为殿作了窗户，有窗框和窗棂。
6.5	紧靠殿墙，即围著外殿和内殿的墙，周围建造了分层厢房：
6.6	下层宽五肘，中层宽六肘，第三层宽七肘；使殿周围对面的墙突出，免得梁木插入殿墙内。
6.7	建造殿宇时，始终是采用凿好了的石头，所以在建殿时，全听不到槌子、斧子及任何铁器的响声。
6.8	厢房最下层的门，设在殿的右边，人可从螺旋梯上到中层，由中层上到第三层。
6.9	殿造完了以后，又用香柏木梁和木板，盖上了殿顶。
6.10	殿的四周建立了厢房，每层高五肘，用香柏木梁使之与殿墙相连接。
6.11	又上主的话传于撒罗满说：「
6.12	关于你正在进行建造的这殿，如果你履行我的法律，遵守我的规例，按照我的一切命令行事，我必对你实践我向你父亲达味所说的话，
6.13	必常住在以色列子民中，永不抛弃我的百姓以色列。」
	
6.14t	圣殿内部
	
6.14	撒罗满建殿，终于完成。
6.15	殿内的墙壁全铺上香柏木板，从殿的地面到天花板的橼、梁，全盖上木板；殿内地面都铺上柏木板。
6.16	内殿即至圣所，长二十肘，从地板到天花板都概上香柏木板。
6.17	至圣所前的外殿，长四十肘。
6.18	殿内的香柏木板上，都刻有匏瓜和初开的花：全部都是香柏木，看不到一块石头。
6.19	殿堂内部设又内殿，为安放上主的约柜。
6.20	内殿长二十肘，宽二十肘，高二十肘，全都贴上纯金；他又用香柏木做了一个祭坛，
6.21	放在内殿前，全都包上金。
6.22	整个殿宇都贴上金，贴满了整个殿宇。
6.23	内殿里又用橄榄木作了两个革鲁宾，每个高十肘。
6.24	革鲁宾的一个翅膀长五肘，革鲁宾的另一个翅膀也长五肘，从一个翅膀尖到另一个翅膀尖，共十肘。
6.25	另一个革鲁宾也是十肘两个革鲁宾，有一样的尺寸，有一样的形状。
6.26	一个革鲁宾高十肘，另一个革鲁宾也是如此。
6.27	两个革鲁宾都安放在内殿，革鲁宾的翅膀是伸开的：这个革鲁宾的一个翅膀靠著这边的墙，那个革鲁宾的一个翅膀靠著那边的墙，里面的两个翅膀，在殿中央相接。
6.28	两个革鲁宾全包上金。
6.29	内殿与外殿四周墙壁，都刻有革鲁宾、棕树和花朵初开的形状。
6.30	内殿和外殿的地板，都铺上金。
6.31	内殿的门，是用橄榄木作的，门柱和门框，为五角形。
6.32	橄榄木的两门扇上，刻有革鲁宾、棕树和花朵初开的形像。花上包金，革鲁宾和棕树上贴金。
6.33	外殿的门和门柱也是橄榄木作的，为四角形；
6.34	李扇门都是用柏木作的：这一扇有两叶可以摺叠，那一扇也有两叶可以摺叠。
6.35	门上刻有革鲁宾、棕树和花朵初开的形像，雕刻以后，全贴上金。
6.36	内院的墙，三层是用好的石头，一层是用香柏木建造的。
6.37	第四年，「齐夫」月，奠定了上主殿宇的基础；
6.38	第十一年，「步耳」月【即八月，】上主的殿各部分全依照计划完成；建殿的工作共费时七年。
	
7.0t	第七章
	
7.1t	建造宫室
	
7.1	此后，撒罗满为自己建造宫室，十三年方才完成。
7.2	他建造的，有黎巴嫩林宫，长一百肘，宽五十肘，高三十肘；有三行香柏木柱子，柱子上端有香柏木托梁。
7.3	上面盖上香柏木板；每行十五根柱子，共有四十五根。
7.4	窗户有三排，三排窗户彼此相对。
7.5	门和窗户都是方形；三层窗户都彼此相对。
7.6	又造了有圆柱的大厅，长五十肘，宽三十肘；大厅前面另有一个廊子，廊子前面有柱子和顶盖。
7.7	他又造了一厅，中间设有审判的座位，在那里审案；从地面到梁，都是用香柏木铺盖的。
7.8	厅后的另一院内，有君王住的宫室，建筑式样，完全与审判厅相同；为君王所娶的法郎公主，也建造了与审判厅相同的宫室。
7.9	从外院直到大院的这一切建筑，从地基到屋顶，都是用按尺寸凿好，用锯内外锯平的宝贵石头建造的。
7.10	地基也都是用贵重巨大的石头砌成的，有的十肘长，有的八肘长；
7.11	上面有按尺寸凿好的贵重石头和香柏木。
7.12	大院四周的墙有三层凿好的石头和一层香柏木板；上主的殿宇的内院和殿廊，都包围在内。
	
7.13t	两根铜柱
	
7.13	撒罗满王派人由提洛将希兰接来。
7.14	希兰是纳斐塔里支派一个寡妇的儿子，他父亲是提洛的一个铜匠；他多才多艺，会做一切铜工。他来到撒罗满前，为他做一切工作，
7.15	铸了两根铜柱：一根高十八肘，周径十二肘，四指厚，中空；另一根也是这样。
7.16	制了两个铜铸的智头，安在柱子顶端：一个柱头五肘，另一个柱头也高五肘。
7.17	他又制了两个铜网，为遮护柱子顶端的柱头：这一个柱头有一个铜网，另一个柱头也有一个铜网。
7.18	在网子周围，又制了两行石榴，遮住柱头：两个柱头都是如此。
7.19	柱子顶端上的柱头，刻有百合花形像，四肘高。
7.20	两根柱子顶端上的柱头突起处，网子后面，各有石榴二百个，分行围绕著。
7.21	他将两根柱子竖立在殿廊的前面：给立在右边的柱子，起名叫雅津；给立在左边的柱子，起名叫波阿次：
7.22	这样，柱子的工作就算完成了。
	
7.23t	铜海
	
7.23	他又铸造了一座铜海，圆形，直径十肘，高五肘，周径三十肘。
7.24	铜海边缘下面周围有匏瓜，每肘十个，四面围绕著铜海；匏瓜分成两行，是铸铜海时铸上去的。
7.25	铜海安放在十二只铜牛上；三只向北，三只向西，三只向南，三只向东。铜海安放在牛背上，牛尾朝里。
7.26	铜海厚一掌，边像杯边，形似百合花，可容两千「巴特。」
	
7.27t	盆与盆座
	
7.27	又铸造了十个铜盆座，每个长四肘，宽四肘，高三肘。
7.28	盆座的造法是这样：盆座有镶板，镶板装入框架内，
7.29	在框架中间的镶板上刻有狮子、牛和革鲁宾的形像，在框架上也有雕刻；狮子和牛的形像下，刻有花纹浮雕。
7.30	每个盆座有四个铜轮和铜轴；盆底有四脚作支柱，支柱是铸成的；每边都刻有花纹。
7.31	盆座的口，从座底至口边高一肘半；口成圆形，为安放铜盆之用；在口的边缘上也有雕刻；盆座的镶板是四方形的，而不是圆形的。
7.32	四个轮子是在镶板之下，轮轴与座底相接；轮子高一肘半。
7.33	轮子的制法和车轮的制法一样，轮轴、轮辋、轮辐和轮毂，都是铸成的。
7.34	每个盆座有四根支柱支持四角，支柱与盆座是一块铸成的。
7.35	盆座顶上有一个圆架，高半肘；在座顶上有柄，镶板与座是一块铸成的。
7.36	镶板壁上刻有革鲁宾、狮子和棕树；四周空处另刻有花纹。
7.37	十个盆座都是这样做的：铸法、尺寸和式样完全相同。
7.38	又制了十个铜盆，每个铜盆可容四十「巴特；」每个铜盆高四肘；十个铜盆座上，每个安放一个铜盆。
7.39	他把盆座，五个放在殿的右边，五个放在殿的左边；至于铜海，他放在殿右靠东南方。
	
7.40t	希兰所制物品
	
7.40	希兰又制造了锅、铲和盘：这样，希兰为撒罗满作完了上主殿宇的一切工作：
