1.-1t	友弟德传
3.7	城中的居民，及其附近境内的人民，都带着花冠，跳着舞，敲着鼓，出来迎接他。
3.8	但是，他还是要破坏他们的圣地，砍伐他们的神林，因为他曾受命，要铲除地上所有的神祗，使万国一致崇拜拿步高一人，万民异口同声称他为神。
3.9	随后来到厄斯得隆对面，即犹太平原前的多堂附近，
3.10	安营在革巴与史托颇里之间。在那里驻扎了一个月，为集合自己部队的辎重。
	
	
4.0t	第四章(15)
	
4.1t	以色列人奋起抵抗
4.1	住在犹太的以色列子民听说亚述王拿步高的统帅敖罗斐乃对异民所行的一切，如何抢劫破坏了他们的一切庙宇，
4.2	就万分害怕，为耶路撒冷与上主他们的天主的圣殿十分担心，
4.3	因为他们才从充军之地归来，全犹太人民重新聚合不久，刚把器皿、祭坛、圣殿在经过亵读之后，从新祝圣。
4.4	因此，他们便打发使者撒玛黎雅全境，到科纳贝特曷龙、贝耳玛因、耶里哥、苛巴、爱索辣与撒冷山谷一带，
4.5	嘱咐他们先要占据各高山的山顶，在山上的村庄修筑防御工事，储蓄粮食，准备应战，好在他们的田园才收获不久。
4.6	当时正在耶路撒冷当大司祭的约雅金，给在拜突里雅及位于厄斯得隆前，多堂附近平原对面的拜托默斯坦城的人民，
4.7	写了一封信，吩咐他们应把守上山进入犹太的道路，因为这道路狭隘，只能通过两人，很容易阻止敌人进攻。
4.8	以色列子民就遵照大司祭约雅金，以及位于耶路撒冷全以色列人民的长老院的吩咐办了。
	
4.9t	哀求上主施救
4.9	全以色列人，都热切呼号上主，极力自卑自谦。
4.10	他们和妻子儿女，牲畜旅客，佣工奴婢，都腰里束着苦衣。
4.11	凡住在以色在耶路撒冷的以色列男女及幼童，都俯伏在圣殿前，头上撒灰，在上主面前展开苦衣；
4.12	即是祭坛，也围上苦衣，诚心热切一同呼求以色列的天主，不让敌人来劫掠自己的幼童，掳掠自己的妇女，毁灭自己产业中的城邑，轻蔑污辱自己的圣所，而使异民得意欢腾。
4.13	上主俯听了他们的哀声，怜视了他们的苦难。全犹太和耶路撒冷境内的百姓，在全能上主的圣所前，禁食多日。
4.14	大司祭约雅金，以及一切侍立在上主面前的人，司祭与上主的仆役，都腰束苦衣，奉献恒常的全燔祭，奉献人民许愿和自愿献上的供物，
4.15	在头巾上撒灰，高声呼求上主，眷顾以色列全家。
	
	
5.0t	第五章(24)
	
5.1t	敖罗斐乃征询对策
5.1	那时，有人向亚述军队的统帅敖罗斐乃报告说：「以色列子民已准备应战，封锁山地隘口，在高山上修筑了防御工事，平原中已设下埋伏。」
5.2	他遂勃然大怒，召集所有摩阿布的公侯，阿孟的司令，及沿海一带的长官来，
5.3	对他们说：客纳罕的子民！请告诉我，这山地里住的是什么民族？他们住的是什么城池？部队的人数究有多少？他们的力量和勇气，究在什么事上？作他们的君王，率领他们军队的是谁？
5.4	为什么在西方诸民族中只有他们不屑于前来欢迎我？」
	
5.5t	阿希约尔对以色列人的论断
5.5	于是全阿孟子民的统帅阿希约尔便对他说：「我主！请听你仆人一言，我要向你说明，这住在山地离你不远的民族，是什么情形；你仆人口中所说的，决没有一句虚话。
5.6	这民族原是加尔底亚人的后裔，
5.7	原先侨居在美索不达米亚，因为不愿随从自己祖先所居加尔底亚地的神祗，
5.8	就离弃了自己祖先的途径，而崇拜天上的大主，一位自己所承认的神。所以他们为那里的神祗所驱逐，逃到美索不达米亚，侨居在那里很久。
5.9	后来他们的天主吩咐他们离开侨居的地方，往客纳罕地方去，就住在那里积畜了大批金银和很多家畜。
5.10	后又因客纳罕地方连年饥荒，便下到埃及，居留在那里。直到他们能自养自足；在那里竟成了一个大族，子孙众多，不可胜数。
5.11	但埃及王却苛待他们，逼今他们作做砖的苦工，压迫他们，当作奴隶。
5.12	于是他们向自己的天主哀号。天主就以不治之症，打击了埃及全境；埃及人就将他们赶走。
5.13	天主使红海在他们面前干涸，
5.14	引他们沿着西乃和卡德士巴尔乃亚的路前进，他们将旷野中的居民完全驱逐，
5.15	住在阿摩黎人的境内，以武力消灭了一切赫市朋人，继而渡过约旦河，占领了整个山地，据为己有，
5.16	将客纳罕人、培黎齐人、耶步斯人、舍根人与一切基尔加史人，都由自己的面前赶走，住在那里很久。
5.17	当他们不犯罪得罪自己的天主时，便常享幸福，因为有一位嫉恶的天主，与他们同在。
5.18	但当他们离开天主给他们所指示的道路时，便在战争中受到歼灭，被掳到异乡，他们天主的殿宇也被毁为平地，城市都为敌人所占据。
5.19	可是现在，自从他们归向天主以来，就由散居的地方回来，收复了他们的圣殿的所在地耶路撒冷，住在已变为荒芜的山地。
5.20	主帅！假使这个民族作恶，得罪他们的天主，如果我们发觉他们有这「致命伤」就可上去进攻，必能战胜。
5.21	若是这民族没有什么不法的事，请我主放过他们，免得他们的上主天主庇护他们，使我们在全世界成为人的笑柄。」
	
5.22t	阿希约尔的论断遭驳斥
5.22	阿希约尔一说完这些话，站在营幕周围的众人，怨声四起，敖罗斐乃的军官和一切住在沿海与摩阿布一带的人，都声言要将他碎尸万段：
5.23	「我们不应该怕以色列子民！这个民族决没有勇气和能力，与劲旅相对抗。
5.24	敖罗斐乃主帅！我们应上前进攻，他们必能为你的全军所扑灭。」
	
	
6.0t	第六章(21)
	
6.1	会议厅周围的人怨声一停止，亚述军队总司令敖罗斐乃在，全体外邦民族前，向阿希约尔及一切阿孟子民说：
6.2	你这阿希约尔，你们这些厄弗辣因的佣兵，算得什么？今日竟对我们说预言，劝我们不要攻打以色列民族，说他们的天主会庇护他们！拿步高外，还有谁是天主？他打发他的兵力，要从地面上将他们消灭，这不是他们的天主所能施救的！
6.3	我们当他仆人的，攻打他们就象打一个人，他们决抵抗不住我们马队的威力。
6.4	我们的马队要将他们踏碎，使他们的山岭饮他们的血，他们的平原充满他们的尸首；他们在我们跟前决不能立足，必要完全灭亡：这是全世之主拿步高说的。他既如此说了，他的话决不会落空。
6.5	至于你，阿孟人的佣工阿希约尔！你说这样的话，是存心不良，从今天起直到我向这逃出埃及的民族复了仇，你再不要见我的面。
6.6	当我回来时，我军队的刀剑，我仆从的长枪，要刺穿你的肋膀，你要倒卧在伤亡者中。
6.7	我的仆人如今要送你到山地，将你弃置在一座位于隘道上的城中，
6.8	你暂不会死，直到你与他们同归于尽！
6.9	如果你心里真希望这些城池不陷落，那又何必垂头丧气！我已说了，我的话一句也不会落空！」
	
6.10t	将阿希约尔解往以色列
6.10	敖罗斐乃遂吩咐侍立在营幕内的仆人，捉住阿希约尔送到拜突里雅，交给以色列子民。
6.11	他的仆人就捉住他，领到营外平原，再由平原带到山上，直到拜突里雅城下的水泉旁。
6.12	那在山顶城中的人一见他们就拿起武器，由山顶的城出来，同时所有的弹石射手，向他们抛石，挡住他们上来的路。
6.13	那些人伏在山下，将阿希约尔捆了，抛弃在山麓，然后回到自己主帅那里。
6.14	以色列子民由城中下来，走到他跟前将他解开，带到拜突里雅，引他去见城中首长。
	
6.15t	敖齐雅探询详情
6.15	那时城中首长，有西默盎支派的米加的儿子敖齐雅，还有哥托尼耳的儿子加布黎，默耳基耳的儿子加尔米。
6.16	你们遂召集城里所有的长老；众青年和妇女也都赶来参加集会。阿希约尔站在民众中间，敖齐雅就问他发生了什么事。
6.17	他立即回答，将敖罗斐乃会议中的议案，将自己在亚述子民首领中所说的，以及敖罗斐乃对以色列家族所说的大话，都一一告诉了他们。
6.18	在场的人民于是俯伏在地朝拜天主，呼喊说：
6.19	「上主，天上的大主！你看看他们的骄傲，可怜我们民族所受的苦辱，请你今日眷顾那奉献于你的人民！」
6.20	他们遂安慰阿希约尔，对他大加称赞。
6.21	敖齐雅以后由会场中引他到自己家里，且设宴款待长老。那一夜，他们终夜呼求以色列的天主救助。
	
	
7.0t	第七章(32)
	
7.1t	困围拜突里雅
7.1	次日，敖罗斐乃下令全军和前来与他联盟的队伍，拔营向拜突里雅进发，先占领通往山地的隘口，向以色列子民挑战。
7.2	那天，军队全体出发；作战的队伍有步兵十七万，骑兵一万二千；此外还有辎重队，和随军步行的人，多得不可胜数；
7.3	在靠近拜突里雅的山谷中，在水泉旁安营。营幕绵延，长度由多堂到贝耳玛因，宽度由拜突里雅到厄斯得隆对面的夸孟。
7.4	以色列子民一见如此众多的军队，惊慌非常，都彼此说：「如今他们必将全地面一扫而光，连高山、幽谷、丘陵都担负不了他们的压力。」
7.5	但以色列人还是各自拿着武器，在碉楼上点起烽火，那一整夜留守戒备。
7.6	第二天，敖罗斐乃把全部马队，开到住在拜突里雅的以色列子民面前，
7.7	也探明了通往该城的山路，寻得了水泉，派兵占据把守，然后回到自己部队那里去了。
	
7.8t	拜突里雅水源断绝
7.8	厄撒乌子民的众长官，摩阿布民族的众首领，和沿海一带的司令，都来向敖罗斐乃说：
7.9	「愿我们的主帅听取一个建议，免得你的军队受害。
7.10	以色列这个民族，原不依仗枪矛，惟独依靠所住的高山，因为攀登他们的山顶，并不是一件易事。
7.11	主帅！如今不要同他们列阵交战，如此你的军人一个也不会伤亡。
7.12	你可留在营中，督守你军中所有的人马，只让你的仆役去占领山麓下涌出来的水泉，
7.13	因为凡住在拜突里雅的人，都从那里汲水。他们没有水喝，势必将城交出。同时我们率领我们的军人，上到附近的山顶上安营，监视他们不许一人走出城来。
7.14	他们和妻子儿女必饥渴得衰弱无力，刀剑还未临到身上，他们已躺卧在靠近家门的街道上了。
7.15	这样你可以恶毒地报复他们，因为他们顽抗，没有欢迎你。」
7.16	他们的建议，大得敖罗斐乃和他众官员的欢心。于是下令依照这建议办理。
7.17	摩阿布子民就移营出发，与他们同去的还有五千亚述人，驻扎在山谷中，占据了以色列子民的水渠和水泉。
7.18	厄撒乌的子孙及阿孟子民。也与一万二千亚述人上去，驻扎在多堂对面的山地。又从他们中派遣人，往厄格勒贝耳对面的东南方去，----厄格勒贝耳是在摩客慕尔河旁的雇士附近----其余的亚述军队，驻扎在平原上，遮遍了地面；帐幕和辎重，堆集如山，多得不可胜数。
	
7.19t	民众要求投降
7.19	以色列子民见自己四面受敌，不能逃出，都提心吊胆，遂向上主他们的天主哀号。
7.20	这时，亚述大军，即所有步兵战车、马队、包围他们，已经三十四天了。拜突里雅居民所有的蓄水器都已空了，蓄水池都干了。
7.21	人没有一天可得畅饮，因为水是分配给人喝的。
7.22	他们的幼儿渴的没有气力，妇女和青年渴得发晕倒在城内大街上和门口，再也没有一点力气。
7.23	于是全体民众、青年、妇女和幼童，都聚集在敖齐雅及城中首长那里，大声疾呼，当着众长老说：
7.24	「愿天主在你们与我们之间，施行审判！因为你们不同亚述人说和，使我们遭此大祸。
7.25	如今我们不但没有救援，连天主也将我们交在他们手中，叫我们饥渴而死，都倒毙在他们面前。
7.26	现今你们就叫他们进来把全城交给敖罗斐乃的人民和大军，任凭他们抢掠。
7.27	我们更好当他们的战利品，因为我们虽然身为奴隶，但可保全性命，不至于眼看着我们的幼童夭亡，我们的妻子儿女断送性命。
7.28	我们当着上天下地，因着我们的天主，即因惩罚我们的罪过，及我们祖先过犯的我们祖先的上主，恳求你们设法，别叫天主今日按照这些话来处置我们！」
7.29	集会的民众遂不约而同，都放声痛哭，向上主天主大声哀号。
7.30	敖齐雅遂对他们说：「弟兄们！振作精神，再忍耐五天，也许上主我们的天主，在这个时期内向我们再施行他的仁慈，因为他决不会永远抛弃我们！
7.31	如果过了这日期，仍得不到救援，我就依照你们的话办理。
7.32	遂遣散众人各归本营、城墙和城楼上；妇女幼童一一遣送回家；当时全城陷于沮丧与绝望。
	
	
8.0t	第八章
	
8.1t	友弟德的家世与为人(36)
8.1	在那几天，默辣黎的女儿友弟德也听说了这些事。——默辣黎是敖克斯的儿子，敖克斯是若瑟的儿子，若瑟是敖齐耳的儿子，敖齐耳是厄耳基雅的儿子，厄耳基雅是阿纳尼雅的儿子，阿纳尼雅是基德红的儿子，基德红是辣法因的儿子，辣法因是阿希托布的儿子，阿希托布是厄里雅的儿子，厄里雅是希耳基雅的儿子，希耳基雅是厄里雅布的儿子，厄里雅布是纳塔纳耳的儿子，纳塔纳耳是撒拉米耳的儿子，撒拉米耳是撒辣撒待的儿子，撒辣撒待是西默盎的儿子，西默盎是以色列德儿子。——
8.2	她的丈夫默纳舍与她同支派又同家族，是在收割大麦时死的；
8.3	他在田间监督工人捆麦穗时，不料头部中暑，一病不起，死在回拜突里雅本城；人将他葬在多堂及巴拉孟之间的祖茔里。
8.4	这时友弟德居家守寡，已有三年零四个月。
8.5	她在屋顶上搭了一个帐幕，腰束苦带，身穿寡归衣饰。
8.6	除了安息前日与安息日，月朔前日与月朔，以及以色列家的节期与庆典外，在她居寡期内，天天禁食。
8.7	她的容貌姣美，艳丽悦目。她的丈夫默纳舍留下来不少金银、奴婢、牲畜与田产，她坚守遗业，
8.8	很敬畏天主，所以说她一句坏话的人也没有。
	
8.9t	责斥长老缺乏信赖
8.9	她听说百姓因为缺水，精神颓唐，向首长提出了严重的抗议。友弟德又听说，敖齐雅向他们所说的话，如何向他们发誓，五天以后，必将城池交给亚述人。
8.10	她便打发自己管家的使女，去邀请城里的长老加布黎河加尔米来。
8.11	他们一来到。友弟德就对他们说：「拜突里雅居民的首长，请听我说！你们今天在百姓前说的话，实在不对；同时竟然对天主发誓，说五天以后，上主若不来援救，就将城池交给敌人。
8.12	你们是什么人，今日竟敢试探天主，在人类中竟居天主之上？
8.13	如今你们尽管试验全能的上主罢！可是你们始终一无所知！
8.14	你们既不能探究人的心曲，又不能明悉人明悟中的思念，如何能探究那创造万有的天主，知道他的心思，认清他的旨意？断乎不能！兄弟们，不可触怒上主我们的天主！
8.15	如果他在五天内，不肯前来施救，他仍有权力在他愿意的时日保护我们，或在我们仇敌前将我们消灭。
8.16	你们没有要求保证的权利，而强迫上主，我们的天主，改变旨意，因为天主不同人一样可以受威胁，或如人子一样可以受支配。
8.17	为此，我们只有等待他的救援，呼求他来援助；如果他愿意，必会俯听我们的呼声。
8.18	何况，我们这一代从来没有，且今日我们也没有一支派，一家族，一村庄，一城市，象昔日一样敬拜人造的神像。
8.19	昔日为了这事，我们的祖先曾被刀斩、劫掠，在敌人前，惨遭灭亡。
8.20	如今我们除了恭敬天主外，不认识别的神，所以也盼望他不会忽略我们，及我们同族的任何人。
8.21	如果我们投降，全犹太也必投降，我们的圣所必遭抢掠。对他们受的污辱，上主必向我们追讨血债；
8.22	同胞被屠杀，国土被掠夺，祖业遭废弃，都要归咎于将散居在异民中为奴的我们，我们就成为那主宰我们者的讥笑凌辱的对象了。
8.23	因为我们投降，并不会转祸为福，上主我们的天主，必因此使我们蒙羞受辱。
8.24	兄弟们！如今我们应为同胞做好榜样，因为他们的性命系于我们，圣所、圣殿和祭坛，也赖我们来维护；
8.25	为了这一切，我们要感谢上主，我们的天主，因为他考验我们象考验我们的祖先一样。
8.26	请你们回忆他对亚巴郎所作的，又怎样考验了依撒格；看看雅各伯在叙利亚的美索不达米亚替他舅父放羊时，有了什么遭遇。
8.27	原来他锻炼他们，乃是为考验他们的心；上主也这样鞭责我们，并不是为惩罚，乃是为警戒与他亲近的人。」
	
8.28t	自愿出城营救
8.28	敖齐雅对她说：「你说的这一切都是出于好心，谁也不会反对你的话。
8.29	你的智慧，并不是今天初次才显露出来，而是自你幼年，众百姓就已赏识你的见解，知道你的心怎样良善。
8.30	无奈百姓渴得要命，逼迫我们，要按我们对他们所说的去行，而且还胁迫我们，发了我们不可违犯的誓。
8.31	如今请你为我们祈祷，因为你是虔诚的妇女，上主必降甘霖，注满我们的池沼，使我们不再渴得发晕。」
8.32	友弟德对他们说：「请听我说，我要作一件在我们民族的子孙中万世流芳的事。
8.33	今夜，你们应站在城门口，我要同我的使女出城，在你们所定要把城池交给敌人的日期内，上主会借着我的手，眷顾以色列。
8.34	你们不要侦查我的行动，因为在我要作的事情未完成以前，我不告诉你们。」
8.35	敖齐雅与首长对她说：「你平安去罢！愿上主天主引导你报复我们的敌人！」
8.36	然后他们离开帐幕，回到自己的地方去了。
	
	
9.0t	第九章(14)
	
9.1t	友弟德的哀祷
9.1	友弟德于是俯伏在地，将灰撒在头上，露出所穿的苦衣；其时耶路撒冷的天主圣殿内，正奉献晚香祭。友弟德就大声呼求上主说：
9.2	上主，我祖先西默盎的天主！你曾将刀交在他手里，去报复外方人，因为他们解开了一个处女的腰带，加以玷污；袒露了她的股部，加以羞辱；破坏了她的贞操，加以作贱；虽然你曾说：不要这样作，他们却作了。
9.3	因此，你让他们的首领遭受杀戳，使那因欺骗受染污的床榻，反而受骗，染满了血污；仆役与首领君主与王位，你一律加以打击。
9.4	你又使他们的妻室，遭人抢去，女儿被人俘虏，使你所爱的子民平分那些人的赃物；你的子民为了你的嫉愤而嫉愤，憎恨自己的血液所受的玷污，而哀求了你的援助。天主，我的天主！求你也俯听我这个寡妇！
9.5	是你作了这些过去、将来以及现在的事；是你计划了现在和将来的事；那现在发生的事，也正是你所计划的。
9.6	你所决定的事好象前来说：看，我们在这里。因为你的一切行径，早已准备；你的判决已预先知道。
9.7	亚述人拥有雄厚的军队，自负有骏马，有铁骑，矜夸步兵的武力，自恃坚甲利兵，凭着弓箭和投石器，却不知道你乃是消弭战争的上主。
9.8	上主乃是你的名号！愿你以你的德能击毁他们的势力，用震怒屈服他们的强权，因为他们已决意要亵读你的圣所，要污辱你尊名所居的帐幕，要用斧砍去你祭坛的四角。
9.9	你看他们的骄傲，愿你的震怒，降在他们的头上，赐我这寡妇的手有能力，去完成我所图谋的事！
9.10	愿你用我口舌的巧言花语，去打击他们的奴仆和主人，主帅与官员！愿你用一个女人的手，去减灭他们的威风！
9.11	你的力量，不在乎人多；你的威能，并不靠强力；但你却是谦卑者的天主，弱小者的扶助，无力者的保护，无靠者的依赖，失望者的救主。
9.12	你的确是我祖先的天主，以色列祖业的天主，天地的主宰，水的创造者万有的君王，你俯听我的祈求罢！
9.13	愿你使我巧妙的言辞，去伤害，去杀死那些想出阴谋，破坏你的圣约、圣殿、熙雍山和你子民所占居的家乡的人！
9.14	愿你使你的众民族众支派都知道：你是天主，万能全权的天主；除你以外以色列族没有别的保护者。」
	
	
10.0t	第十章(23)
	
10.1t	友弟德走出重围
10.1	友弟德呼吁以色列的天主，祝告了这一切话以后，
10.2	就由地上起来，叫来自己的使女一同下到她安息日及庆节日所常住的屋里，
10.3	除去所穿的苦衣，脱下寡妇的衣服，洗了澡，涂上贵重的香水梳好头发，系上头巾，穿上丈夫默纳舍在世时自己喜爱穿的锦衣，
10.4	脚踏凉鞋，挂上项链、带上手镯、指环、耳环，以及各种装饰品；打扮得花枝招展，令男人见了，无不注目而视。
10.5	然后拿了一皮囊酒，一瓶油，交给自己的使女；又在一布袋内装满了烘焙的大麦，无花果糕，净面包；将一切物品包在一起，放在使女肩上背着。
10.6	于是二人出发走向拜突里雅城门，正遇见敖齐雅及城中长老加布黎和加尔米在那里等候。
10.7	他们见她容貌大变，服装特异，赞叹她的美丽，对他说：
10.8	「愿我们祖先的天主，使你蒙恩，使以色列子民欢乐，使耶路撒冷显扬！愿他完成你的计划！」
10.9	友弟德遂朝拜了天主，以后向他们说：「请你们下令给我开城门，我要出去，完成你们对我说的事。」长老遂吩咐少年人，照她说的为她开门。
10.10	他们开了城门，友弟德和她的婢女就出去了；城里的人目送她下山；等她转过了山谷，就看不见她了。
	
10.11t	友弟德见敖罗斐乃
10.11	她二人在山谷内一直前行，迎面来了一个亚述的哨兵，
10.12	就捉住她盘问说：「你是那国人，从那里来，往那里去？」她答说：「我是希伯来人。我从他们那里偷跑出来，因为他们快要落在你们口里。
10.13	我来见你们军队的统帅敖罗斐乃，我带有真实情报，要指给他一条路，从这条路进攻，不损一兵一卒，就能占领这山地。」
10.14	那些人听她说话时，都目不转睛的看着她，见了这样美丽的女人都惊讶称奇，对她说：
10.15	「你救了命，因你迅速下来，投奔我们的主帅；如今你到他帐幕里去，我们必有人送你，将你交在他手里。
10.16	若你站在他面前时，你心里不要害怕，只要你按你的话报告，他必定会优待你。」
10.17	人就从队里挑选了一百人，护送她和她的使女到敖罗斐乃的帐幕前。
	
10.18t	倾城国色惊动全营
10.18	一时全营齐集，因为她前来的消息已传遍了各帐幕；人出来将她围住。那时她正站在敖罗斐乃的帐幕外，等着往上传禀她的事。
10.19	人对她的花容玉貌无不赞叹，也因她而赞叹以色列子民，彼此相告说：「这民族既有这样的美人，谁还能轻视？他们中即便只让一个男人生存，也不是好事；任他们自由，他们必能智取全世界。」
10.20	敖罗斐乃的护卫和众仆从出来，领她进入营幕。
10.21	那时敖罗斐乃，正在金玉珠宝装饰的紫帐内的床上休息。
10.22	人们将她的事向他禀告之后，他遂由银灯引导，来到帐幕门口。
10.23	友弟德一来到他和他的侍从面前，他们无不赞赏她的花容玉貌。友弟德遂俯伏在地，向他致敬，侍役们即将她扶起。
	
	
11.0t	第十一章(23)
	
11.1t	友弟德巧言取悦敖罗斐乃
11.1	敖罗斐乃向她说：「女人，放心，不要害怕，因为凡愿意服侍全世界之王拿步高的，我没有加害过。
11.2	现在，你那住在山地的人民，若没有轻视我，我也不会举起我的戈矛攻击他们，这是他们自作自受。
11.3	现在，你告诉我，为什么你逃开他们来到这里？你来若是为救你自己，你可放心！今夜以及将来，你必获得生存！
11.4	因为没有人加害你，反而优待你，如同优待我主拿步高王的臣仆一样。
11.5	友弟德回答说：「愿你听取你奴婢的话，恩准你婢女在你面前说话。我今夜决不向我主说一句谎话。
11.6	你若顺从了你婢女的话，天主必借着你顺利完成你的事业；我主的计划，必不至于失败。
11.7	全世界之王拿步高万岁！他的德能万岁！他打发你来是为谋众生的福利，你不但叫人都服侍他，也叫野兽、家畜和空中的飞鸟，都借着你的威权，因服侍拿步高及他的全家而生存。
11.8	我们早听说你的智慧和雄才大略，全世界都知道你是举世无双，能干多谋，战略如神的人。
11.9	阿希约尔在你会议席上说的话，我们已听到了，因为拜突里雅人救了他，他就将自己在你面前说的话，都告诉了他们。
11.10	所以主帅，不要忽视他的话，反应把那些话记在心里，因为都是真情实话：除非我们的民族犯罪得罪了自己的天主，是不会受罚的，刀剑也无能为力。
11.11	但几时行了越轨的事，就激起自己的天主发怒；现在可巧，他们又犯了罪，丧亡必要临头，所以我主不致谋事不成，出师不利。
11.12	自从他们缺少食粮，饮水不敷以来，就决意要宰杀牲畜。凡天主用法律禁止吃的一切。他们也决定要吃，
11.13	连那些祝圣过的，为给在耶路撒冷于我们天主面前供职的司祭所保留下的初熟麦子，和十分之一的酒油，也决意要动用。这些东西，平民连手触摸，也是不许的。
