1.-2t	伯多禄前书	
2.21	你们原是为此而蒙召的，因为基督也为你们受了苦，给你们留下了榜样，叫你们追随他的足迹。	
2.22	『他没有犯过罪，他口中也从未出过谎言；』	
2.23	他受辱骂，却不还骂；他受虐待，却不报复，只将自己交给那照正义行审判的天主；	
2.24	他在自己的身上，亲自承担了我们的罪过，上了木架，为叫我们死于罪恶，而活于正义；『你们是因他的创伤而获得了痊愈。』	
2.25	你们从前有如迷途的亡羊，如今却被领回，归依你们的灵牧和监督。	
		
		
3.0t	第三章	
		
3.1t	夫妇间应遵守的义务　	
3.1 	同样，你们做妻子的，应当服从自己的丈夫，好叫那些不信从天主话的，为了妻子无言的品行而受感化，	
3.2 	因为他们看见了，你们怀有敬畏的贞洁品行。	
3.3 	你们的装饰不应是外面的发型、金饰，或衣服的装束，	
3.4 	而应是那藏于内心，基于不朽的温柔，和宁静心神的人格：这在天主前纔是宝贵的。	
3.5 	从前那些仰望天主的圣妇，正是这样装饰了自己，服从了自己的丈夫。	
3.6 	就如撒辣听从了亚巴郎，称他为「主」；你们如果行善，不害怕任何恐吓，你们就是她的女儿。	
3.7 	同样，你们作丈夫的，应该凭着信仰的智慧与妻子同居，待她们有如较为脆弱的器皿，尊敬她们，有如与你们共享生命恩宠的继承人：这样你们的祈祷便不会受到阻碍。	
		
3.8t	应以爱德与人相处　	
3.8 	总之，你们都该同心合意，互表同情，友爱弟兄，慈悲为怀，谦逊温和；	
3.9 	总不要以恶报恶，以骂还骂；但要祝福，因为你们原是为继承祝福而蒙召的。	
3.10	所以『凡愿意爱惜生命，和愿意享见幸福日子的，就应谨守口舌，不说坏话，克制嘴唇，不言欺诈；	
3.11	躲避邪恶，努力行善，寻求和平，全心追随，	
3.12	因为上主的双目垂顾正义的人，他的两耳俯听他们的哀声；但上主的威容敌视作恶的人。』	
		
3.-1t	苦难中应有的态度	
		
3.13t	应安心受苦　	
3.13	如果你们热心行善，谁能加害你们呢？	
3.14	但若你们为正义而受苦，纔是有福的。你们不要害怕人们的恐吓，也不要心乱，	
3.15	你们但要在心内尊崇基督为主；若有人询问你们心中所怀希望的理由，你们要时常准备答复，	
3.16	且要以温和、以敬畏之心答复，保持纯洁的良心，好使那些诬告你们在基督内有良好品行的人，在他们诽谤你们的事上，感到羞愧。	
		
3.17t	基督无辜受苦的模范　	
3.17	若天主的旨意要你们因行善而受苦，自然比作恶而受苦更好，	
3.18	因为基督也曾一次为罪而死，且是义人代替不义的人，为将我们领到天主面前；就肉身说，他固然被处死了；但就神魂说，他却复活了。	
3.19	他藉这神魂，曾去给那些在狱中的灵魂宣讲过；	
3.20	这些灵魂从前在诺厄建造方舟的时日，天主耐心期待之时，原是不信的人；当时赖方舟经过水而得救的不多，只有八个生灵。	
3.21	这水所预表的圣洗，如今赖耶稣基督的复活拯救了你们，并不是涤除肉体的污秽，而是向天主要求一纯洁的良心。	
3.22	至于耶稣基督，他升了天，坐在天主的右边，众天使、掌权者和异能者都屈伏在他权下。	
		
		
4.0t	第四章	
		
4.1t	应度圣洁的生活　	
4.1 	基督既然在肉身上受了苦难，你们就应该具备同样的见识，深信凡在肉身上受苦的，便与罪恶断绝了关系；	
4.2 	今后不再顺从人性的情欲，而只随从天主的意愿，在肉身内度其余的时日。	
4.3 	过去的时候，你们实行外教人的欲望，生活在放荡、情欲、酗酒、宴乐、狂饮和违法的偶像崇拜中，这已经够了！	
4.4 	由于你们不再同他们狂奔于淫荡的洪流中，他们便引以为怪，遂诽谤你们；	
4.5 	但他们要向那已准备审判生死者的主交账。	
4.6 	也正是为此，给死者宣讲了这福音：他们虽然肉身方面如同人一样受了惩罚，可是神魂方面却同天主一起生活。	
4.7 	万事的结局已临近了，所以你们应该慎重，应该醒寤祈祷。	
4.8 	最重要的是：你们应该彼此热切相爱，因为爱德遮盖许多罪过；	
4.9 	要彼此款待，而不出怨言。	
4.10	各人应依照自己所领受的神恩，彼此服事，善做天主各种恩宠的管理员。	
4.11	谁若讲道，就该按天主的话讲；谁若服事，就该本着天主所赐的德能服事，好叫天主在一切事上，因耶稣基督而受到光荣：愿光荣和权能归于他，至于无穷之世。阿们。	
		
4.12t	应乐于受苦　	
4.12	亲爱的，你们不要因为在你们中，有试探你们的烈火而惊异，好象遭遇了一件新奇的事；	
4.13	反而要喜欢，因为分受了基督的苦难，这样好使你们在他光荣显现的时候，也能欢喜踊跃。	
4.14	如果你们为了基督的名字，受人辱骂，便是有福的，因为光荣的神，即天主的神，就安息在你们身上。	
4.15	惟愿你们中谁也不要因做凶手，或强盗，或坏人，或做煽乱的人而受苦。	
4.16	但若因为是基督徒而受苦，就不该以此为耻，反要为这名称光荣天主，	
4.17	因为时候已经到了，审判必从天主的家开始；如果先从我们开始，那些不信从天主福音者的结局，又将怎样呢？	
4.18	『如果义人还难以得救，那么恶人和罪人，要有什么结果呢？』	
4.19	故此，凡照天主旨意受苦的人，也要把自己的灵魂托付给忠信的造物主，专务行善。	
		
		
5.-1t	各项劝言	
		
5.0t	第五章	
		
5.1t	司牧与信友间的义务　	
5.1 	所以我这同为长老的，为基督苦难作证的，以及同享那将要显示的光荣的人，劝勉你们中间的众长老：	
5.2 	你们务要牧放天主托付给你们的羊群；尽监督之职，不是出于不得已，而是出于甘心，随天主的圣意；也不是出于贪卑鄙的利益，而是出于情愿；	
5.3 	不是做托你们照管者的主宰，而是做群羊的模范：	
5.4 	这样，当总司牧出现时，你们必领受那不朽的荣冠。	
5.5 	同样，你们青年人，应该服从长老；大家都该穿上谦卑作服装，彼此侍候，因为『天主拒绝骄傲人，却赏赐恩宠于谦逊人。』	
5.6 	为此，你们该屈服在天主大能的手下，这样在适当的时候，他必举扬你们；	
5.7 	将你们的一切挂虑都托给他，因为他必关照你们。	
		
5.8t	最后劝言　	
5.8 	你们要节制，要醒寤，因为，你们的仇敌魔鬼，如同咆哮的狮子巡游，寻找可吞食的人；	
5.9 	应以坚固的信德抵抗他，也该知道：你们在世上的众弟兄，都遭受同样的苦痛。	
5.10	那赐万恩的天主，即在基督内召叫你们进入他永远光荣的天主，在你们受少许苦痛之后，必要亲自使你们更为成全、坚定、强健、稳固。	
5.11	愿光荣与权能归于他，至于无穷之世。阿们。	
		
5.12t	问安与祝福　	
5.12	我借忠信的弟兄息耳瓦诺，给你们写了这封我认为简短的书信，为劝勉你们，并为证明这实在是天主的恩宠：在这恩宠上你们应该站稳。	
5.13	与你们一同被选的巴比伦教会问候你们；我儿马尔谷也问候你们。	
5.14	你们要以爱的亲吻，彼此问候。愿平安与在基督内的你们众人同在。	
		
