1:-2t	智慧篇
5:15	的确，恶人的希望，像被风吹去的糠秕，像被暴风刮去的薄霜，像被风飘散的云烟，像投宿一日即行消逝的旅客记念。
	
5:16t	义人的凯旋
5:16	至于义人却永远生存；在上主那里，有他们的酬报；在至高者那里，有他们的照顾。
5:17	因此，他们要从上主手中，得到荣耀的王位，华丽的冠冕，因为上主要用右手庇护他们，以自己的手臂保卫他们。
5:18	上主必以嫉愤作武器，武装受造之物来报复仇敌；
5:19	必披上正义，当作胸甲：戴上正直的判断，当作钢盔，
5:20	拿上无敌的圣洁，当作盾牌，
5:21	磨尖盛怒有如利刃；整个世界都要跟随他来攻击愚顽的人。
5:22	闪电的火箭，必由张开的云弓射出，奔向靶子；
5:23	由云架中，将射出含怒的冰雹；海水必怒号冲击他们，江河必泛滥淹灭他们；
5:24	全能者向他们一吹气，他们即如为旋风所吹散。不法的事要使全球变成荒域，邪恶要倾覆有权势的座位。
	
	
6:0t	第六章(27)
	
6:1t	请掌权者研究智慧
6:1	【智慧胜于体力，智者胜于勇士。】
6:2	所以，列王!你们要听，且要明白；世上的判官!你们应受教；
6:3	统治群众，因百姓众多而自负者!你们应当倾听：
6:4	你们的权威，是由上主赐予的，高位是来自至高者，他要检查你们的作为，查究你们的心意。
6:5	因为，你们是他王国的公仆，如果你们判案不公，不守法律，不按天主的旨意行事，
6:6	天主必要可怕而迅速地临于你们，对身居高位的，执行严厉的审判。
6:7	因为，卑微的人，还堪怜可恕；有权势的，必受严厉的拷问。
6:8	万有的主宰决不顾情面，也不畏惧权势，因为无论大小，都是他造的；他对一切，都一律加以照顾；
6:9	但对有权势的人必严加审讯。
6:10	所以，各位君侯!我的话是对你们说的，要你们学习智慧，不再失职。
6:11	谁圣善地持守圣善的法律，便是圣善的人；谁学习这些法律，必会寻得辩护。
6:12	所以你们应思慕我的话，珍爱我的话；如此，你们必将深受教益。
	
6:13t	研究智慧的益处
6:13	智慧是光明的，从不暗淡；爱慕她的，很容易看见她；寻觅她的，就可找到她；
6:14	一有追求她的志愿，她必预先显示给他们。
6:15	早起寻求她的，不必费劳，因为必发现她坐在门前。
6:16	思念智慧，是齐全的明哲；为她守夜不寐的，很快就必无顾虑。
6:17	因为，智慧到处寻找配得上自己的人，她在路上亲切地把自己显示出来，很关心地迎接他们。
6:18	智慧的真起点，是切愿受教；
6:19	切愿受教就是爱；爱即在于遵守法律；遵守法律，便是不朽的保证；
6:20	不朽使人亲近天主；
6:21	所以，慕求智慧引人高登王位。
6:22	万民的君候!你们若喜爱王位与王权，就应尊重智慧，好能永居王位。
6:23	【万民的统治者，你们应爱慕智慧的光明!】
	
6:24t	智慧的性质
6:24	我要陈述，什么是智慧，她是怎样有的；我决不向你们隐瞒她的妙理，反而探源索本，将对她的认识公开陈述，决不歪屈真理。
6:25	我决不与使人消沉的嫉妒同行，因为，它与智慧绝无共同之处。
6:26	智慧人众多，世界才有救；君王明达，民生才安定。
6:27	所以，你们应接受我的训言；如此，你们必受教益。
	
	
7:0t	第七章(30)
	
7:1t	生死人人相同
7:1	我也是有死的人，同众人一样；我也是出于用土受造的原祖，在母胎中形成了肉躯，
7:2	十月之久，在母血中凝结，由男精与合梦的欲乐而形成。
7:3	我一出生，便呼吸了公共的空气，落在具有同一命运的地上，哭出了第一声，与众人无异；
7:4	我在襁褓中，受了母亲的抚育和照顾。
7:5	没有一位君王，另有不同的诞生，
7:6	因为，人人进入生命的路，只有一条，去世亦然。
	
7:7t	智慧的高贵
7:7	为此，我曾祈求，天主就赐给了我聪明；我曾呼吁，智慧的神便临于我身。
7:8	我宁要智慧，而不要王权和王位；财富与她相较，分文不值。
7:9	无价的宝石也不能与她相比，因为，一切黄金在她面前，不过只是一粒细沙；白银在她跟前，无异一撮泥土。
7:10	我爱她，胜过爱健康和美色，我以她比光明更为可取，因为，由她而来的光辉，从不暗淡。
7:11	的确，一切美物都伴她而来，在她手中握有数不清的财富。
7:12	为了这一切美物，我极其欢乐，因为，智慧是一切美物的先导；我一向还不知道，智慧竟是一切美物的母亲。
7:13	我诚心地学习了，我也豪爽地分施与人，我绝不隐藏智慧的财富。
7:14	因为智慧是人用之不尽的宝藏；凡占有的人，必获得天主的友爱，赖受教而获得的恩赐，深得天主的欢心。
	
7:15t	智慧的善果
7:15	愿天主使我遵照他的意愿说话，使我的思想配合他的恩赐，因为是他领导智慧，引导智者；
7:16	原来，我们和我们的言论，我们的一切聪明和技巧，都在他手中。
7:17	是他把所有事物的正确知识赐给了我，使我明了世界的构造，和元素的能量，
7:18	时间的始末和中心，冬至夏至的转变，和季节的变更，
7:19	年岁的循环与星辰的位置，
7:20	生物的天性，和野兽的本能，鬼神的力量，和人类的思想，植物的繁杂，和草根的效能。
7:21	所有或隐或明的事，我都知道，因为教导我的，是造万物的技师──智慧。
	
7:22tt	智慧的本体和美德
7:22t	在她内的神，原是聪明的，至圣的，唯一的，多样的，微妙的，敏捷的，精明的，无玷的，率直的，不受损害的，好善的，锐敏的，
7:23	无敌的，施惠的，爱人的，稳固的，坚决的，无虑的，无所不能的，无所不察的，又是洞察所有明达、洁净和精微心灵的。
7:24	实在，智慧比一切活动更为活动；她是如此精纯，能渗透深入一切。
7:25	她是天主威能的气息，是全能者荣耀的真诚流露；因此，任何污秽都不能浸入她内。
7:26	她是永远光明的反映，是天主德能的明镜，是天主美善的肖像。
7:27	她虽是独一的，却无所不能；她虽恒存不变，却常使万物更新。她世世代代，进入圣善的灵魂，使他们成为天主的朋友和先知；
7:28	因为，天主只爱那与智慧同居共处的人。
7:29	实在，智慧比太阳还美丽，压倒一切星座；如与光明相比，她必占优势；
7:30	因为，光明还要让位于黑夜，但是邪恶绝不能战胜智慧。
	
	
8:0t	第八章(21)
8:1	智慧施展威力，从地极直达地极，从容治理万物。
	
8:2t	智慧包罗一切美善
8:2	我爱慕智慧，自幼就寻求她，设法娶她作我的配偶：我实在喜爱她的美丽，
8:3	因她与天主共同生活，更彰显了她出身的尊贵；万有的主宰也喜爱她。
8:4	她实在透彻天主的奥秘，自行决择天主的工程。
8:5	如果财富是今生所极贪求的对像，有什么比创造一切的智慧更为富足﹖
8:6	如果理智指导工作，那么，在万有中有谁比智慧更配作技师﹖
8:7	若有人爱慕正义，应知道：德行是智慧工作的效果，因为她教训人节制、明智、公义和勇敢：在此生没有比这些为人更有裨益。
8:8	若有人希望有丰富的经验，智慧知道往古，推测未来，通晓深言奥意，会解释谜语，预知异迹和奇事，年代和世纪的结局。
	
8:9t	撒罗满渴慕智慧
8:9	为此，我决意娶她与我一同生活，深知她是我顺境中的参谋，是我忧虑与困苦中的安慰。
8:10	我虽然年幼，借着她，我在民众中必获荣耀，必为长老所尊重；
8:11	我在断案时，必断狱机敏，有权势的人见了，都对我表示钦佩。【长官见了，莫不对我惊奇。】
8:12	我沉默，他们就静候；我发言，他们就侧耳静听；我若讲论不绝，他们就用手掩住自己的口。
8:13	借着她，我将永垂不朽，且为我以后的人，留下永恒的记念。
8:14	我要统治万民，列邦都要归顺我。
8:15	可畏的君侯听见我必要恐惧；在民众前，我将显示温良；在战争时，我将显出勇敢。
8:16	回到家中，只有在她身傍，我才获得安息；因为只要与她为伴，便没有苦恼；与她共同生活，便没有悲哀，只有喜乐和愉快。
	
8:17t	智慧是天主的恩赐
8:17	我每一念及这些思想，心里反复思量：不死不灭是在于与智慧亲近，
8:18	纯洁的喜乐是在于与智慧为友，无尽的财富是在于智慧手中的工作；明哲是在于与智慧结交，声誉是在于与智慧交谈；因此，我寻遍方法，好能将她娶到手中。
8:19	我原是个性善的孩子，获得了个善良的灵魂；
8:20	或更好说，因为我善良，我进入了一个无玷的身体内；
8:21	但我知道，天主若不将她赐给我，我不会获得她──连知道这是谁的恩赐，已经是由于智慧──我于是转向上主全心祈求他说：
	
	
9:0t	第九章(19)
	
9:1t	求智慧经文
9:1	「列祖的天主，仁慈的上主!你用你的言语，创作了一切，
9:2	以你的智慧造了人，使他统治你所造的万物，
9:3	吩咐他以圣德和正义，管理世界，以正直的心，施行权力：
9:4	求你赐给我侍立于你座旁的智慧，不要将我从你仆人中开除；
9:5	因为，我是你的仆人，是你婢女的儿子，是病弱短命，对正义与法律绝少认识的人。
9:6	在人子中，即便有人是完人，如果没有出于你的智慧，他实算不了什么。
	
9:7t	"人无智慧,不能悦乐天主"
9:7	你曾选拔我，作你百姓的君王，作你子女的判官。
9:8	你曾命令我，在你的圣山上建造圣殿，在你居住的城邑内修筑祭坛，仿造你起初所备置的圣幕的式样。
9:9	智慧与你同在，她洞悉你的工作；当你创造世界的时候，她已在场，知道你喜悦什么，知道按你的法律，甚么是正当的。
9:10	求你从你的圣天上，遣发智慧，从你荣耀的宝座旁，派遣她来，与我共处同劳，教我知道什么是你喜悦的事。
9:11	因为她知道一切，通达一切，能引导我行事明智，以自己的德能保护我。
9:12	这样，我的工作必蒙悦纳，治理你的百姓可以公正，配坐我父亲的宝座。人无智慧，不能获得救恩。
9:13	有谁能知道天主的计划，有谁能想象上主的意愿﹖
9:14	有死的人的思想，常是不定的，我们人的计谋常是无常的；
9:15	因为，这必腐朽的肉身，重压着灵魂；这属于土的寓所，迫使精神多虑。
9:16	世上的事，我们还难以测度；目前的事，我们还得费力追求；那么，天上的事谁还能探究﹖
9:17	你若不赐予智慧，从高天派遣你的圣神，谁能知道你的旨意﹖
9:18	这样，世人的道路才得修直了，人们才可学习你喜悦的事，
9:19	
	
	
10:-1t	智慧的伟大成就(10-19)
	
10:0t	第十章(21)
	
10:1t	随从与背弃智慧的后果:由亚当至诺厄
10:1	智慧保护了最初受造，世界上唯一的原祖，
10:2	救他脱离了本身的罪过，给了他统治万物的能力。
10:3	但当不义者在愤怒中背弃了智慧，遂怒杀兄弟而自取灭亡。
10:4	因他的缘故，洪水淹没了世界，仍是智慧指引义人，借着贱价的木材，拯救了世界。
	
10:5t	亚巴郎和罗特
10:5	当列国同谋作恶而混乱时，智慧又辨别出义人来，加以保护，使他在天主前无瑕可指；当他痛惜儿子时，又坚强了他。
10:6	当不虔敬的人被毁灭时，智慧救了义人，逃脱了那降在五城的天火；
10:7	为证明他们的邪恶，这块荒地还在冒烟；树木结果，却不成熟；盐柱留在那里，以作那无信的灵魂的纪念碑。
10:8	因为他们离弃了智慧，不但害得自己不认识善事，而且还给世人留下了他们愚妄的纪念，致使他们的过犯一点也不能隐瞒。
	
10:9t	雅各伯和若瑟
10:9	但是，智慧却从困难中拯救了崇拜她的人。
10:10	智慧引导逃避长兄愤怒的义人，走上了正路；将天主的国指示给他。叫他明白神圣的事；在困苦之中使他顺利，令他的勤劳效果丰满。
10:11	有人由于贪婪，窘迫他时，智慧又在旁协助，使他致富。
10:12	智慧保护他脱离仇敌，使他安全，不受暗算；在他博斗时，使他获胜，叫他明了虔敬的能力，高于一切。
10:13	智慧没有离弃被卖的义人，反而救他免于罪恶；
10:14	与他同入坑狱，在缧绁之中，也没有舍弃他，直到令他取得王权，统治欺压他的人们，证明诬谤他的人说的尽是谎言；赏给了他永垂不朽的光荣。
	
10:15t	选民出埃及
10:15	智慧拯救了圣洁的民族，使无瑕可指的种族，脱离压迫他们的异民。
10:16	她进入了上主仆人的灵魂，借异能和奇迹，对抗可畏的君王。
10:17	她酬报了圣徒的劳苦，领他们走上了奇妙的道路：日间作他们的荫凉，夜里作他们的星光；
10:18	领他们走过了红海，引他们穿过了洪涛，
10:19	却淹没了他们的仇敌，又将他们从海底拋出；因此，义人反夺得了不虔敬者的战利品。
10:20	上主!他们遂称颂了你的圣名，同心赞美了你施展卫护的手臂；
10:21	因为，智慧开了哑巴的口，使婴儿的舌伶俐善言。
	
	
11:0t	第十一章(27)
	
11:1t	选民过旷野
11:1	智慧使他们的事业，在圣先知的手下进行顺利：
11:2	他们走过了无人烟的荒野，在无路的荒野，支搭了帐幕；
11:3	与敌军对峙，击退了敌人。
11:4	他们渴时，呼求了你，岩石就给他们流出了清泉，盘石解决了他们的口渴。
	
11:5t	埃及人受罚
11:5	他们的敌人在什么事上受罚，他们就在那种困难中受到爱护。
11:6	【敌人缺少的，以色列人却常有不缺。】
11:7	为惩罚埃及人颁发杀害婴儿的命令，常流的江河，混入了鲜血污泥，
11:8	你却出乎众望，另赐给了以色列人丰富的水；
11:9	他们借着当时的口渴，可以明了你怎样惩罚了他们的仇人。
11:10	以色列人固然受了试探，但这只是出乎仁爱的惩戒，要他们明了不虔敬的人，在天主义怒的审判之下，怎样受了惩罚；
11:11	因为你考验以色列人，自来就像一个规劝的父亲；你审问埃及人，却像一位定罪的严厉君王。
11:12	以色列人不论在的时候，或远去的时候，埃及人都同样遭受痛苦。
11:13	他们因受双重的苦恼夹击，一回忆往事，便呻吟叹息；
11:14	因为当他们一听说自己的刑罚，反成了别人的利益，便知这是上主的作为。
11:15	埃及人以前所拋弃，所放逐，所讥笑的人，在事后反为他们惊奇不已，因为他们的口渴，究竟与义人不同。
11:16	他们因愚昧与邪恶的思想，走入了歧途，崇拜了无灵的爬虫和野兽，你就派遣了成群的无灵的动物，来惩罚他们，
11:17	叫他们知道，人用什么来犯罪，就用什么来罚他。
11:18	因为，你全能的手，既能从无定形的原质中，造出了世界，也不难为他们遣来许多狗熊或猛狮，
11:19	或新造而不知名的残暴猛兽，喷射火焰，放射毒气，两眼闪烁可怕的火星。
11:20	这些猛兽，不但能肆虐将他们消灭，即连他们的恐怖形状，也能把人吓死。
11:21	即使没有它们，因你一口气，埃及人也会死亡，因你正义的追击，他们必为你大能的气息所卷去；但你处置这一切，原有一定的尺度、数目和衡量。
	
11:22t	天主罚人是要人悔悟
11:22	你随时可用你的大能，有谁能抵抗你有力的手臂﹖
11:23	整个世界，在你跟前，宛如天秤上的一粒尘沙，落在地面上的一滴朝露。
11:24	但是，你怜闵众生，因为你是无所不能的，你假装看不见人罪，是为叫罪人悔改。
11:25	的确，你爱一切所有，不恨你所造的；如果你憎恨什么，你必不会造它。
11:26	如果你不愿意，甚么东西能够存在﹖如果你不吩咐，甚么东西能够保全﹖
11:27	爱护众灵的主宰!只有你爱惜万物，因为都是你的。
	
	
12:0t	第十二章(27)
12:1	你那不死不灭的生气在万物之内；
12:2	因此，你逐步地惩罚堕落的人，要他们想起所犯的罪恶，借以警告他们离弃恶事，相信你，上主。
	
12:3t	客纳罕人的恶习
12:3	你憎恨你圣地里的古代居民，
12:4	因为他们操行巫术和邪恶的祭祀，作出了最可憎恶的事。
12:5	这些无情杀害婴儿的人，在这些拜神的歌舞筵会中，吞食人血肉的人，
12:6	这些杀害无能力自卫生灵的父母，你决意要借我们先祖的手，将他们消灭，
12:7	使你以为地上最宝贵的地方，成为天主子民相宜的侨居地。
	
12:8t	天主也给他们忏悔的机会
12:8	但你也拿他们当人对待，先派土蜂作你军队的先锋，逐渐将他们消灭。
12:9	这并不是因为你不能用一场战争，使不虔敬者屈服于义人之下；或用凶猛的野兽，或用严厉的言语，一下将他们歼灭；
12:10	而是因你愿逐渐降罚，给他们一个悔改的机会；并不是你不知道他们的种族不良，生来邪恶，永不会改变心意；
12:11	因为他们从起初，就是被诅咒的后裔。你没有降罚他们的罪行，并非因为你怕谁。
12:12	谁敢对你说：你作了什么﹖谁能反抗你的判断﹖你消灭了你造的民族，谁敢控告你﹖又谁敢起来面对着你，为恶人作辩护﹖
12:13	因为，除你以外，别无照顾万物的神，你应向他指明你的审判，并非不公；
12:14	也没有一个君王或君主，敢为你惩罚的人，对你怒目而视。
	
12:15t	天主待人恩威并用
12:15	你是公义的，你必按照公义处理一切；罚不应罚的，你必认为这与你的权威不合。
12:16	你的权力原是你公义的本源，因为你主宰一切，所以你必能谅解一切。
12:17	为此，如果有人不相信你具有绝对的权威，你就将你的权力显示出来；如果他们知道而仍胆大妄为，你就予以惩罚。
12:18	你虽掌有大权，但施行审判，却很温和，治理我们，极其宽忍，因为，权能乃属于你，只有你愿意，你就能行使。
12:19	你这样作，是为教训你的子民，义人必须怜爱众人；并使你的子女满怀希望，因为人在犯罪之后，你常赐予忏悔的机会。
12:20	你处罚你子女们应处死的敌人，还这样小心温和，给他们时间和机会改恶迁善，
12:21	你审判你的儿子时，岂不更谨慎﹖因为，你曾与他们的列祖起过誓，立过约，应许他们得福利。
12:22	你对我们只是惩戒，对我们的仇人却是千百倍的鞭笞：这是为使我们在审断时，应思念你的仁慈；在受审时，应期望你的哀怜。
	
12:23t	顽固不化堪受重罚
12:23	因此，对那生活愚蠢，行为不义的人，你便用他们敬拜的丑恶之物来折磨他们。
12:24	他们实在深深地误入了歧途，竟认最丑怪，最下贱的禽兽为神，让自己受骗，竟如无知的孩童。
12:25	因此，你对待他们也像无知的孩童，给他们派来的刑罚，也只是戏弄。
12:26	但他们并未因此戏弄的责戒而悔改，所以他们要受相称于天主的重罚。
12:27	埃及人在禽兽的折磨中，有见他们所敬奉为神明的禽兽，成了自己受罚的工具，这才明了，并承认从前所否认的实是真天主；但他们仍不肯悔改，因此，最后的惩罚终于降在他们身上。
	
	
13:0t	第十三章(19)
	
13:1t	崇拜自然实在愚蠢
13:1	凡不认识天主的人，都是真正的愚人，因为，他们未能从看得见的美物，去发现那自有者；注意了工程，却不认识工程师；
13:2	反而认火、风、流动的空气、运转的星辰、洪流的巨涛、天上的光体，为统治世界的神。
13:3	如果有人因这些东西的美丽而着迷，奉之为神；那么，他们就应知道：这些美物的主宰更是美丽，因为，全是美丽的唯一根源所创造的。
13:4	如果有人惊奇这些东西的力量和效能，就应明白：创造这些东西的更有能力；
13:5	因为，从受造物的伟大和美丽，人可以推想到这些东西的创造者。
13:6	不过，这种人的罪尚较轻微，因为，他们寻找天主，也有意找到，却一时误入了迷途：
13:7	这或许是由于他们所见的世物实在美丽，因此在专务研究他的工程时，只追求外表；
13:8	但他们仍然不能推辞无过：
13:9	因为他们既然能知道的如此渊博，甚至能探究宇宙，为什么不能及早发现这些东西的主宰﹖
	
13:10t	偶像的来历
13:10	有些人真是可怜!他们竟将希望寄于死东西上，竟称人的手工、金银和艺术的创作、动物的肖像、或古人雕刻的无用的石为神。
13:11	设想：有个木匠，锯来一棵适用的树木，精巧地剥净树皮，熟练地施展技巧，制成一件日常生活的用具；
13:12	以后用工作剩余的碎木，煮饭充饥；
13:13	后来由那些剩下一无所用的废木中，取出一块弯曲多疤的木头，在闲暇无事时，辛勤地加以雕刻，本着自己熟悉的手艺，按图样将它刻成一个人像，
13:14	或做成一个卑贱的兽像，涂上丹砂，将外皮漆成红色，遮住一切疤痕；
13:15	随后，为它做一个适宜的居所，把它嵌在墙上，用钉子钉住，
13:16	预先加以照顾，免得它掉下来，因为他知道：这件东西是不能自助的，不过只是偶像，需要人来扶助。
13:17	但是，他反不感羞耻地向这无灵之物祷告，祈赐财富、妻室和子嗣；
13:18	向这虚弱的东西，要求健康；向这死物，要求生命；向这无能的东西，要求援助；
13:19	向这有脚不能行的东西，要求旅行；向这有手而毫无动作的东西，要求发财、工作、事业成功的力量。
	
	
14:0t	第十四章(31)
	
14:1t	拜偶像的愚蠢
