1.-1t	厄斯德拉下		
2.13	夜间我出来，经过谷门到了龙泉前，又到了粪门，观察耶路撒冷城墙那里有缺口，并见城门已被火焚毁。		
2.14	以后，又到了泉门，到了王池，但那地方不能骑我的牲口过去，		
2.15	遂在夜间，由山涧攀登而上，视察了城垣，然后转身，由谷门进来，回了家。		
			
2.16t	决议重修城垣		
2.16	我到过那里，或作什么，官员都不知道；直到此时，我也没有告诉过犹太人、司祭、权贵、官员和其它工作人员。		
2.17	于是我向他们说：「你们都清楚我们所处的苦境：耶路撒冷成了废墟，城门为火焚毁。来，让我们重修耶路撒冷的城垣，免得再受人耻笑！」		
2.18	随后，我又向他们报告：我的天主慈善的手怎样扶助了我，以及君王向我说过什么话。他们遂说道：「起来，大家一同修建！」众人勇气倍增，遂着手进行。		
			
2.19t	初遇阻难		
2.19	当曷龙人桑巴拉特、作臣仆的阿孟人托彼雅，和阿剌伯人革笙听说这事，就讥笑我们，侮辱我们说：「你们在那里干什么﹖要背叛君王吗﹖」		
2.20	我答复他们说：「天上的天主必要使我们成功；我们是他的仆役，要动工兴建；至于你们，在耶路撒冷无分无权，也无可留念的事物。」		
			
			
3.0t	第三章(38)		
			
3.1t	修建北垣		
3.1	大司祭厄肋雅史布和他的弟兄司祭们动工，修建羊门；上了门框，安装了门、插关和门闩，一直修到默阿堡，又修到哈纳乃耳堡。		
3.2	在他们旁边，有耶里哥人修理；在他们旁边，有依默黎的儿子匝雇尔修建。		
3.3	色纳阿的子孙修建鱼门；他们上了门框，安装了门、插关和门闩；		
3.4	在他们旁边，有哈科兹的孙子，乌黎雅的儿子默勒摩特修理；在他旁边，有默舍匝贝耳的孙子，贝勒革雅的儿子默叔蓝修理；在他旁边，有巴阿纳的儿子匝多克修理；		
3.5	在他旁边，有特科亚人修理，但是他们中有权势的人，在这工程上，不肯服从主管人。		
			
3.6t	西北垣		
3.6	帕色亚的儿子约雅达和贝索德雅的儿子默叔蓝，修理新市区的城门；他们上了门框，安装了门、插关和门闩。		
3.7	靠着他们，有基贝红人默拉提雅和默洛诺特人雅冬，以及基贝红人和米兹帕人修理，经费出自河西州长。		
3.8	在他们旁边，有金业工会的会员乌齐耳修理；在他旁边，有制药工会的哈纳尼雅修理；他们修理耶路撒冷城墙，直至广场。		
3.9	在他们旁边，有胡尔的儿子勒法雅修理，他是耶路撒冷半市区的区长。		
3.10	在他旁边，有哈鲁玛夫的儿子耶达雅，对着自己的房子修理；在他旁边，有哈沙贝乃雅的儿子哈突士修理。		
3.11	哈陵的儿子玛耳基雅和帕哈特摩阿布的儿子哈叔布，修理下一段，直到炉堡。		
3.12	在他们旁边，有哈罗赫士的儿子，耶路撒冷另一半市区的区长沙隆，和他的女儿们一起修理。		
			
3.13t	西垣与南垣		
3.13	哈农和匝诺亚的居民修理谷门，他们修起来，安上了门、插关和门闩，又修了一千肘长的墙，直到粪门。		
3.14	勒加布的儿子贝特革楞区的区长玛耳基雅，和他的儿子们修理了粪门，安装了门、插关和门闩。		
			
3.15t	东南垣		
3.15	苛耳曷则的儿子，即米兹帕区的区长沙隆，修理了泉门，修起来盖了顶，安装了门、插关和门闩；他又由靠近御苑的史罗亚池，修理城墙，直到由达味城下来的石级前。		
3.16	其后由阿次步克的儿子，即贝特族尔半区的区长乃赫米雅修理，直到达味陵的对面，经人造持池，直到御林军营。		
3.17	其后由肋未人巴尼的儿子勒洪修理；在他旁边，有刻依拉半区的区长哈沙彼雅，为自己的地区修理；		
3.18	其后由他们的兄弟，赫纳达得的儿子彼奴依，即刻依拉另一半区的区长修理；		
3.19	在他旁边，有耶叔亚的儿子厄则尔，即米兹帕的区长，修理另一段，即面对军械库上坡的转角。		
3.20	其后由匝拜的儿子巴鲁客修理另一段，即由转角，直到大司祭厄乐雅史布的府门。		
3.21	其后由哈科兹的孙子，乌黎雅的儿子莫勒摩特修理另一段，即由厄乐雅史布的府门，至厄乐雅史布家的尽头。		
3.22	其后由住在耶里哥平原的司祭修理。		
3.23	其后由本雅名和哈叔布，对着自己的家修理；其后由阿纳尼雅的孙子，玛阿色雅的儿子阿匝黎雅，修理自己家旁的一段；		
3.24	其后由赫纳达得的儿子彼奴依修理另一段，即由阿匝黎雅家至转角。		
3.25	其后由乌斋的儿子帕拉耳修理转角对面，即上王宫监狱广场上那突出的城堡；其后由帕洛士的儿子培达雅修理；		
3.26	直到水门，在转向东，直到突出的城堡前的一段。		
3.27	其后由特科亚人修理从突出的城堡对面，直到敖斐耳墙的另一段。		
			
3.28t	东北垣		
3.28	自马门以上，司祭各对着自己的房屋修理；		
3.29	其后由依默尔的儿子匝多克，对着自己的房屋修理；其后由舍加尼雅的儿子舍玛雅，及东门的守卫修理；		
3.30	其后由舍肋米雅的儿子哈纳尼雅，和匝拉弗的第六子哈农修理另一段；其后由贝勒革雅的儿子默叔蓝，对着自己的住宅修理；		
3.31	其后由金业公会的玛耳机雅修理直到献身者和商人的住宅，面对更门，直到角堡的一段。		
3.32	由城角堡到羊门中间的一段，归金匠和商人修理。		
			
3.33t	敌人的仇视		
3.33	桑巴拉特一听说我们重修城垣，就大发忿怒，十分生气，讥讽犹太人，		
3.34	向他们的同僚即撒玛黎雅的军队说：「这些可怜的犹太人想作什么﹖他们想要修筑城垣吗﹖想要献祭吗﹖想要在一天内完成吗﹖想从那堆灰土中，在立起那些烧过的石头来吗﹖」		
3.35	阿孟托人托彼雅也在旁说到：「让他们修罢！就是上去一只野狗，也能推翻他们修的石墙。」		
			
3.36t	乃赫米雅的祈祷		
3.36	我们的天主，请听！我们是怎样受侮辱！请把这辱骂归到他们的头上，使他们在流亡之地受迫害。		
3.37	不要遮掩他们的罪行，他们的罪孽也不应从你面前抹去，因为他们实在侮辱了修建的人。		
3.38	我们仍继续修建城墙，把整个城墙都联结起来，高底已到一半，因为民众都有心火工作。		
			
			
4.0t	第四章(17)		
			
4.1t	内忧外患		
4.1	当桑巴拉特和托彼雅，以及阿剌伯人、阿孟人和阿市多得人，听说耶路撒冷城垣正在进行修建中，缺口已开始修补，就大发忿怒，		
4.2	都联合起来，图谋来攻打耶路撒冷，扰乱我们。		
4.3	我们一面祈求我们的天主，一面派了卫队，日夜防守。		
4.4	有一个犹太人说：「运夫的力量已耗尽，积土又太多，我们不能再修建城墙了！」		
4.5	我们的仇敌已议决说：「不让他们知道，不让他们看出，我们直冲入他们中间，将他们杀掉，停止那工程。」		
			
4.6t	加倍严防		
4.6	那时，有些靠近他们居住的犹太人，十次前来通知我们说：「他们由所住的各方上来，攻打我们，		
4.7	已在城墙下低处的田野中安了营。」我就按照家族分派了人，带上刀枪和弓。		
4.8	我巡视之后，就起来对权贵、长官和其余的人民说：「对他们，你们不可畏缩！要记住吾主是伟大而可畏的；应为你们的兄弟、儿女、妻子、家庭而作战。」		
4.9	我们的敌人一听说我们得了情报，同时天主也破坏了他们的阴谋，他们遂都撤退；我们也都回到城墙那里，各返自己的工作岗位。		
4.10	从那天起，我的仆人一半做工，一半佩带着刀、矛盾、弓和铠甲，立在全犹大家后边，		
4.11	即在城墙作工的人后边。那些搬运的人，也都武装起来：一手作工，一手拿着武器；		
4.12	修墙的工人，每人腰间都配着刀工作。吹号筒的站在我身旁。		
4.13	我向权贵、长官和其余的人民说：「这工程范围很大，我们在城墙上彼此分离甚远，		
4.14	所以你们无论在什么地方，一听到号声，就立时聚集在我们身旁；我们的天主必为我们战斗。」		
4.15	我们便这样继续工作，由旭日初升，直到星辰出现。		
4.16	同时我又吩咐民众说：「每人和他的仆人，应在耶路撒冷过夜。如此在夜间可为我们守卫，白天可以工作。」		
4.17	至于我和我的兄弟，以及我的仆人和跟随我、护卫我的人，没有一人脱过衣服，各人手中常拿着武器。		
			
			
5.0t	第五章(19)		
			
5.1t	穷人的控诉		
5.1	那时，在人民和他们的妇女中，发生了喊冤的大声音，控告自己的犹太同胞。		
5.2	有人喊说：「我们应以我们的儿女作质，换取食粮，吃饭生活。」		
5.3	另有人喊说：「我们必须典当我们的田地、葡萄园和房屋，为在饥荒之中获得食粮。」		
5.4	还有人喊说：「我们应抵押我们的田地和葡萄园，去借钱给王纳税。		
5.5	然而我们的肉体与我们同胞的肉体一样，我们的孩子与他们的孩子也相同，但我们必须叫我们的儿女去作奴婢，且有些女儿已做了奴婢；我们现下一无所能，因为我们的田地和葡萄园，已属于别人。」		
			
5.6t	处理案件		
5.6	我一听了他们的哀诉和这样的话，很是悲愤。		
5.7	我考虑之后，遂谴责那些权贵和长官，向他们说：「你们每人竟向告自己的同胞索取重利。」为谴责他们，我召集了大会，		
5.8	向他们说：「我们已费尽力量，赎回来了那些被卖给异民作奴隶的犹太同胞，难道你们又要卖你们的同胞，叫我们赎回来吗﹖」他们不出声，也不知如何回答。		
5.9	我接着说：「你们作的这事实在不对！为避免异民-我们仇敌的辱骂，你们岂不应怀着敬畏我们天主的心行事吗﹖		
5.10	我和我的兄弟以及我的仆人，也都借给了他们银钱和食粮。好罢！我们都免除他们这债务罢！		
5.11	今天就应当归还他们的田地、葡萄园、橄榄园和房屋，并归还由借给他们的银钱、食粮、酒、油所获得的重利。」		
5.12	他们答说：「我们都归还给他们，不向他们索求什么；你怎么说；我们就怎么行。」接着我叫了司祭来，令那些人起誓，按这话去行。		
5.13	我又拂拭衣襟说道：「愿天主把一切不守这诺言的人，由他的房舍和他的财产中如此拂拭下去，直到将他拂拭净尽。」全会众都答说：「阿们。」同时又称颂了上主。人民都履行了诺言。		
			
5.14t	乃赫米雅的清廉		
5.14	此外，自从我被任命为犹大省长之日起，即自阿塔薛西斯王二十年至三十二年，十二年之久，我和我的兄弟从未食过省长的俸禄。		
5.15	但是，在我以先的前任省长，苛待民众，每天由民众取四十「协刻耳」银子，作为俸禄，并且他们的臣仆还压迫民众；而我因敬畏天主，并未如此行事。		
5.16	虽然我也从事修建城垣的工程，但并未购置过田产；我的仆人也都聚集在那里工作。		
5.17	有一百五十个犹太人和官员，在我那里吃饭，还有从我们四周异民中，来到我们这里的人。		
5.18	每一天应备办一头牛，六只肥羊和各种飞禽，这些都由我负担；每天又要备置大量的酒；虽然如此，我仍未索求省长的俸禄，服役的事已为这民众够重的了。		
5.19	我的天主！请记念我！记念我为这民众所行的一切，使我蒙福。		
			
			
6.0t	第六章(19)		
			
6.1t	陷害乃赫米雅的阴谋		
6.1	当桑巴拉特、托彼雅、阿剌伯人革笙和我们其它的仇敌，一听说我重修了城墙，已没有破口的地方，──虽然到那时，我还没有在门上按装门扇，──		
6.2	桑巴拉特和革笙，便派人到我这里说：「请来，我们在敖诺平原的一个村镇中会晤。」其实他们是企图谋害我。		
6.3	我遂派使者去答复他们说：「我作的工程浩大，不能前去。我怎能离开工作，到你们那里去，而使工程停顿呢﹖」		
6.4	他们如此连续四次，遣使者到我这里，我也同样答复了他们。		
6.5	随后，桑巴拉特第五次，又同样打发他的臣仆来，手中拿着一封未封的信，		
6.6	信上写着说：「在各民族中传说，而且革笙也证实此说：你和犹太人图谋造反，为此你才重修城墙；据说你还要为王。		
6.7	并且你派定了先知，在耶路撒冷为你宣传说：犹大有了王！现今这些话势必传到君王那里，所以请你来，我们互相商议商议。」		
6.8	我遂派遣使者向他说：「决没有像你所说的那些事，是你心中虚构的。」		
6.9	其实，他们是企图恐吓我们，心想：「如此他们必放弃那工程，不在工作下去。」但我的力量更坚强了。		
			
6.10t	假先知的阴谋		
6.10	有一天，我来到默塔贝耳的孙子，德拉雅的儿子舍玛雅的家里，他正闭门在家，对我说：「我们上天主的殿，到圣所里去会晤，关好圣所的门户，因为他们要来杀你，且今夜要来杀你。」		
6.11	我答说：「像我这样的人，能逃避到圣所中，保全生命吗﹖我决不进去！」		
6.12	我觉察出来，不是天主打发他向我讲这预言，而是托彼雅和桑巴拉特贿赂了他，		
6.13	要他恐吓我，使我那样去作犯罪的事，如此给他们留下一种坏名誉，好借以辱骂我。		
6.14	我的天主！请你按照托彼雅和桑巴拉特之所行，记忆他们！也不要忘却诺阿狄雅女先知和其余的先知，因为他们企图使我恐惧。		
			
6.15t	城墙筑成		
6.15	「厄路耳」月二十五日，城垣完成，共计为时五十二日。		
6.16	我们所有的仇敌一听说这事，我们四周的人民一看见这事，都十分惊异，并承认这工程，是赖我们的天主而完成的。		
			
6.17t	通敌的犹太权贵		
6.17	在此期间，犹大有些有权势的人，给托彼雅寄了许多函件，托彼雅也有复函寄回。		
6.18	因为犹大有许多人，与他宣示为盟，因他原是阿辣黑的儿子，舍加尼亚的女婿，他的儿子约哈南，又取了贝勒革雅的儿子默叔蓝的女儿为妻。		
6.19	他们常在我面前称道他的善行，也将我的事向他报告，托彼雅遂来信恐吓我。		
			
			
7.0t	第七章(72)		
			
7.1t	委任城防守卫		
7.1	当城垣修好之后，我安了门扇，遂委派了守门丁、歌咏员和肋未人。		
7.2	以后，我委派了我的兄弟哈纳尼，和堡垒长哈纳尼雅，管理耶路撒冷，因为哈纳尼雅是一个可信赖、敬畏天主出众的人。		
7.3	我命他们说：「耶路撒冷的门，不到太阳发暖不准开；太阳还未落时，就要关门上闩！守卫当由耶路撒冷的居民中指派，各按自己的班次，各在自己的屋前守卫。」		
			
7.4t	计划移民京师		
7.4	那时城市宽阔广大，但城中居民稀少，房舍还没有建筑。		
7.5	我的天主使我立意，召集有权势的人、官长和民众，要他们来登记。我发现了一册初次由充军归来的人的族谱，上面有这样的记载：		
			
7.6t	初次归国人数名单		
7.6	以下是由被掳充军返回本省的子民的人中，当初被巴比伦王拿步高，掳往巴比伦去的人中，回了耶路撒冷和犹大，各本城的人。		
7.7	他们是同则鲁巴贝耳、耶叔亚、乃赫米雅、色辣雅、辣阿米雅、纳哈玛尼、摩尔德开、彼耳商、米斯帕勒特、彼革外、勒洪和巴阿纳，一起回来的。		
			
7.8t	平民数字		
7.8	以色列民男子的数目如下：帕洛士的子孙，二千一百七十二名；		
7.9	舍法提雅的子孙，三百七十二名；		
7.10	阿辣黑的子孙，六百五十二名；		
7.11	帕哈特摩阿布的子孙，即耶叔亚和约阿布的子孙，二千八百一十八名；		
7.12	厄蓝的子孙，一千二百五十四名；		
7.13	匝突的子孙，八百四十五名；		
7.14	匝开的子孙，七百六十名；		
7.15	彼奴依的子孙，六百四十八名；		
7.16	贝拜的子孙，六百二十八名；		
7.17	阿次加德的子孙，二千三百二十二名；		
7.18	阿多尼干的子孙，六百六十七名；		
7.19	彼革外的子孙，二千零六十七名；		
7.20	阿丁的子孙，六百五十五名；		
7.21	阿特尔的子孙，即希则克雅的子孙，九十八名；		
7.22	哈雄的子孙，三百二十八名；		
7.23	贝宰的子孙，三百二十四名；		
7.24	哈黎夫的子孙，一百一十二名；		
7.25	基贝红的子孙，九十五名；		
7.26	白冷人和纳托法人，共一百八十八名；		
7.27	阿纳托特人，一百二十八名；		
7.28	贝特阿次玛委特人，四十二名；		
7.29	克黎雅特耶阿陵人、革非辣人和贝厄洛特人，共七百四十三名；		
7.30	辣玛人和革巴人，共六百二十一名；		
7.31	米革玛斯人，一百二十二名；		
7.32	贝特耳和哈依人，共一百二十三名；		
7.33	乃波人，五十二名；		
7.34	另一厄蓝的子孙，一千二百五十四名；		
7.35	哈陵的子孙，三百二十名；		
7.36	耶里哥人，三百五十四名；		
7.37	罗得人、哈狄得人和敖诺人，共七百二十一名；		
7.38	色纳阿人，三千九百三十名。		
			
7.39t	司祭人数		
7.39	司祭：有耶达雅的子孙，即耶叔亚的家族，九百七十三名；		
7.40	依默尔的子孙，一千零五十二名；		
7.41	帕市胡尔的子孙，一千二百四十七名；		
7.42	哈陵的子孙，一千零一十七名。		
			
7.43t	肋未人数		
7.43	肋未人：曷达委雅的后裔，耶叔亚和卡德米耳的子孙，七十四名。		
7.44	歌咏员：阿撒夫的子孙，一百四十八名。		
7.45	门丁有沙隆的子孙，阿特尔的子孙，塔耳孟的子孙，阿谷布的子孙，哈提达的子孙，勺拜的子孙，共一百三十八名。		
			
7.46t	献身者		
7.46	献身者：有漆哈的子孙，哈稣法的子孙，塔巴敖特的子孙，		
7.47	刻洛斯的子孙，息阿的子孙，帕冬的子孙，		
7.48	肋巴纳的子孙，哈加巴的子孙，沙耳麦的子孙，		
7.49	哈南的子孙，基德耳的子孙，加哈尔的子孙，		
7.50	勒阿雅的子孙，勒斤的子孙，乃科达的子孙，		
7.51	加仓的子孙，乌匝的子孙，帕色亚的子孙，		
7.52	贝赛的子孙，默乌宁的子孙，乃非心的子孙，		
7.53	巴刻步克的子孙，哈谷法的子孙，哈尔胡尔的子孙，		
7.54	巴兹里特的子孙，默希达的子孙，哈尔沙的子孙，		
7.55	巴尔科斯的子孙，息色辣的子孙，塔玛赫的子孙，		
7.56	乃漆亚的子孙和哈提法的子孙。		
			
7.57t	撒罗满的仆役		
7.57	撒罗满的仆役的子孙：有索泰的子孙，索费勒特的子孙，培黎达的子孙，		
7.58	雅阿拉的子孙，达尔孔的子孙，基德耳的子孙，		
7.59	舍法提雅的子孙，哈提耳的子孙，颇革勒特责巴因的子孙和阿孟的子孙。		
7.60	所有献身者的子孙和撒罗满的仆役的子孙，共计三百九十二名。		
			
7.61t	家世不明者		
7.61	以下这些人，是由特耳默拉、特耳哈尔沙、革鲁布、阿丹和依默尔上来，而不能说出自己的家族和族系，是否出自以色列的：		
7.62	德拉雅的子孙，托彼雅的子孙，和乃科达的子孙，共计六百四十二人。		
7.63	司祭中：有哈巴雅的子孙，哈科兹的子孙和巴尔齐来的子孙。——巴尔齐来娶了基肋阿得人巴尔齐来的女儿为妻，也取了他的名字。		
7.64	他们查考登记的族谱，却没有找到自己的名字，所以他们由司祭中被革除了。		
7.65	省长指令他们，不准他们享用至圣之物，直到有位大司祭，带着乌陵和突明出来解决。		
			
7.66t	总数		
7.66	全会众共计四万二千三百六十人，		
7.67	仆婢七千三百三十七人在外；还有歌咏的男女二百五十四名。		
7.68	此外，还有骆驼四百三十五匹，驴六千七百二十匹。		
			
7.69t	献仪		
7.69	有些族长捐献了一千金「达理克，」盘子五十个，司祭长衣五百三十件，作为基金。		
7.70	另一些族长纳了二万金「达理克，」二千二百银「米乃，」作为建筑的基金。		
7.71	其余名众捐献的，共计二万金「塔理克，」二千银「米乃，」司祭长衣六十七件。		
7.72	司祭、肋未人、门丁、歌咏员、献身者和全以色列，各住在本城内。		
			
7.73t	宣读法律书		
			
7.73	到了七月，当时以色列子民还各在本城里。		
			
8.0t	第八章(18)		
8.1	所有的人民，都一致聚集到水门前的广场上，要求厄斯德拉经师，拿出上主命以色列当遵守的梅瑟法律书来。		
8.2	厄斯德拉司祭便在七月一日，将法律书拿到会众前，及男女和所有能听懂的人面前，		
8.3	在水门前的广场上，从早晨到中午，在男女和所有能听懂的人面前，宣读了法律，所有的人民都侧耳静听法律书。		
8.4	厄斯德拉经师站在为此特备的木台上，他右边站着玛提提雅、舍玛、阿纳雅、乌黎雅、希耳克雅和玛阿色雅；他左边有培达雅、米沙耳、玛耳基雅、哈雄、哈协巴达纳、则加黎雅、和默叔蓝。		
8.5	厄斯德拉在众目注视下展开了书，因他高立在众人以上，他展开书时，众人都立起来。		
8.6	厄斯德拉先赞颂了上主，伟大的天主，全民众举手回答说：「阿们，阿们！」以后跪下，伏首至地，钦崇上主。		
8.7	肋未人耶叔亚、巴尼、舍勒彼雅、雅明、阿谷布、沙贝泰、曷狄雅、玛阿色雅、刻里达、阿匝黎雅、约匝巴得、哈南和培拉雅，为民众讲解法律，民众立在原处不动。		
8.8	厄斯德拉读一段天主的法律书，及做翻译和解释，如此民众可以懂清所诵读的。		
			
8.9t	民众转忧为喜		
8.9	乃赫米雅省长和厄斯德拉司祭兼经师，并教导民众的肋未人，向民众说：「今天是上主你们天主的圣日，你们不可忧愁哭泣！」因为全民众听了法律的话，都在哭泣。		
8.10	为此，乃赫米雅又向他们说：「你们应该去吃肥美的肉，喝甘甜的酒，且赠送一部份，给那些没有预备的人，因为今天是吾主的圣日；你们不可忧愁，因为喜乐于上主，就是你们的力量。」		
8.11	肋未人也安慰民众说：「你们要安静，因为今天是圣日，不应忧愁！」		
8.12	民众遂去吃喝，且赠送一部份给他人，大家异常欢乐，因为都明白了向他们所讲的话。		
			
8.13t	举行帐棚节		
8.13	第二天，全民族的族长和司祭并肋未人，都聚集在厄斯德拉经师身旁，研究法律上的话。		
8.14	发现法律上记载：上主曾借梅瑟，命令以色列子民，在七月的庆节日，应住在帐棚内。		
8.15	他们一听说如此，遂在各城和耶路撒冷，宣布这命令说：「你们上山去，取橄榄树的枝叶、野橄榄树的枝叶、长春树的枝叶、棕树的枝叶，和其它茂盛树的枝叶，照经上所写的，搭造帐棚。」		
8.16	民众就去采了树枝来，在屋顶上，院子里，天主殿宇的庭院内，水门的广场上，和厄弗辣因广场上，搭了帐棚。		
8.17	由充军回来的全会众，都搭造帐了棚，住在帐棚内；从农的儿子若苏厄之日起，直到今日，以色列没有举行过如此的盛事，大家都非常欢乐。		
8.18	从第一日直到最后一日，天天宣读天主的法律书；七天之久过了庆节，第八天按规定举行了盛会。		
			
			
9.0t	第九章(37)		
			
9.1t	民众认罪		
9.1	同月二十四日，以色列子民都聚集起来，守斋禁食，穿粗毛衣，头上顶着灰土。		
9.2	以色列的苗裔，同一切外方人的子孙分开之后，便站起来，坦白承认自己的罪过。和祖先的罪恶。		
9.3	他们各站在自己的地方，三小时之久，诵读他们天主的法律书；又三小时之久，承认了自己的罪过，跪拜了上主，他们的天主。		
9.4	肋未人耶叔亚、彼奴依、卡德米耳、舍巴尼雅、步尼、舍勒彼雅、巴尼、和革纳尼，站在高处，大声呼号上主，他们的天主。		
9.5	随后肋未人耶叔亚、卡德米耳、巴尼、哈沙彼雅、曷狄雅、舍巴尼雅、培塔希雅说道：「起来！你们应赞颂上主我们的天主，从永远直到永远！」众人便赞颂他光荣的圣名，因此名远超一切称颂和赞美。		
			
9.6t	忏悔祷词		
9.6	厄斯德拉祈祷说：「唯独你是上主，是你创造了天，天上的天，和天上的一切军旅，地和地上的一切，海和海中的一切，是你使一切生存；天上的军旅常在你前跪拜。		
9.7	上主，你就是那拣选亚巴郎，领他离开加色丁乌尔，给他起名叫阿贝辣罕的天主。		
9.8	你见他的心对你忠实，就与他立约，把客纳罕人、赫特人、阿摩黎人、培黎齐人、耶步斯人和基尔加士人的土地，赐给了他的后裔；你履行了你的诺言，因为你是正义的。		
9.9	你垂顾了我们祖先在埃及的困苦，俯听了他们在红海旁的呼声，		
9.10	遂对法郎和他所有的臣仆，以及他国内所有的民众，行了奇迹异能，因为你知道，他们怎样任性傲慢地，对待了我们的祖先，因而你获得了大名，直至今日。		
9.11	你在我们祖先面前，分开了海，使他们在海中干地路过，却把追赶他们的人，拋入深渊，有如把一块石头拋入怒潮。		
9.12	日间你用云柱领导，夜间你用火柱光照他们所走的路。		
9.13	你降临西乃山上，从天上向他们施救，赐给了他们公正的条例、真理的法律、美好的规矩及诫命；		
9.14	你令他们知道，你神圣的安息日，借着你的仆人梅瑟，向他们颁布了规矩、诫命和法律。		
9.15	你从天上赐下食物，给他们充饥；使岩石中流出清泉，给他们解渴；命令他们去占领，你曾举手誓许赐与他们的土地。		
9.16	但是他们，我们的祖先，任性妄为，硬着脖子，不肯听从你的命令。		
9.17	他们拒绝听命，忘却了你在他们中间所行的奇迹，硬着脖子，立了首领，要回到埃及去当奴隶。但你是宽大为怀，仁爱慈悲，缓于忿怒，富于慈爱的天主，并未拋弃他们；		
9.18	甚至连他们铸了一个牛犊说：「这是领你出埃及的天主！」犯了亵渎的大罪时，		
9.19	你因你无限的仁慈，也没有将他们拋弃在旷野中；日间在路上领导他们的云柱，夜间为他们光照道路的火柱，仍没有离开他们。		
9.20	你赐下你温和的风，使他们苏醒，并没有将「玛纳」扣住，不给他们充饥，仍赐下了水为他们解渴。		
9.21	四十年之久，你在旷野照顾他们，使他们一无所缺；他们的衣服没有穿破，他们的脚也没有肿胀。		
9.22	你将各国和众民交给了他们，将各个角落分给了他们，他们遂占领了赫市朋王息红，和巴商王敖格的土地。		
9.23	你使他们的子孙繁衍，有如天上的繁星，领他们到你誓许与他们的祖先，要去占领的土地，		
9.24	他们的子孙便去占领了那地方；你使那地方的居民客纳罕人，屈服在他们面前，将他们的君王和地方上的人民，交在他们的手中，任他们随意处置。		
9.25	他们攻取了坚固的城池，和肥沃的土地，夺得了满藏宝物的房舍、掘好的井、葡萄园、橄榄园和丰富的果林；他们都吃得饱满，身体肥胖，安逸享乐，这都是因你无量的慈善。		
9.26	但是，他们竟抗命背叛了你，将你的法律置诸背后，杀了那些警戒他们，劝他们归顺于你的先知；他们竟犯了这亵渎的大罪，		
