1:-2t	厄则克耳	
4:9 	你要拿小麦、大麦、豆子、扁豆、黍米和粗麦，装在一个器皿里，用来为你做一些饼，在你三百九十日侧卧的日子内，就吃这些饼。	
4:10	每天要按分量吃，每日二十「协刻耳，」按时食用。	
4:11	喝水也要有分量，每日喝六分之一「歆」的水，按时而饮。	
4:12	你吃那食物像吃烙的大麦饼，且用人粪在他们眼前烤。」	
4:13	上主说：「以色列子民也要这样在我赶他们所到的异民中，吃不洁之物。」	
4:14	我答说：「哎呀!吾主上主!我从来没有受过玷污；从幼年到现在，没有吃过自然死的，或被撕裂的兽肉；不洁的祭肉从未进过我的口。」	
4:15	他向我说：「好罢!我许你用牛粪代人粪烤你的饼。」	
4:16	他又向我说：「人子!看，我要断绝耶路撒冷的粮源，叫他们怀着焦虑吃配给的饭，怀着恐怖喝限制的水；	
4:17	甚至缺少食粮和水，个个消瘦，因自己的罪恶而归于消灭。」	
		
		
5:0t	第五章(17)	
		
5:1t	剃须发的象征	
5:1 	人子，你拿一把快刀，当理发的剃刀用，剃去你的头发和胡须，然后拿一个天平，分开那些须发。	
5:2 	等被困的日子一满，把三分之一在城内用火烧掉；再拿三分之一在城四周用剑击砍；其它三分之一，要扬在风中，我要拔出剑来追赶他们。	
5:3 	但你要从胡须中取出几根来，系在你的衣服边上，	
5:4 	再从其中取出几根投入火中，让火烧掉；然后你向以色列全家说：	
5:5 	吾主上主这样说：这就是耶路撒冷!我将她安置在万民之中，使万国环绕着她；	
5:6 	但是她违背了我的法令，作恶甚于异民，违背我的法律甚于环绕她的列国，因为她们轻视了我的法令，没有照我的法律行事。	
5:7 	为此，吾主上主这样说：因为你们比环绕你们的异民更为叛逆，没有照我的法律行事；没有遵行我的法令，也没有按照环绕你们异民的法律行事；	
5:8 	因此吾主上主这样说：看，我要亲自对付你；在你中间，在异民眼前实行惩罚。	
5:9 	为了你的一切丑恶，我要对你实习未曾实行过的，将来也不会实行的事；	
5:10	在你境内，为父的要吃自己的儿子，为子的要吃自己的父亲。我必如此在你境内实行惩罚，且把遗民分散到四方。	
5:11	为此我指着我的生命起誓说：──吾主上主的断语──因为你用你的一切可憎和可恶之物玷污了我的圣所，我必将你铲除，我的眼决不怜视，一点也不怜惜。	
5:12	你三分之一的人民要在你境内死于瘟疫，亡于饥荒；另三分之一，在你四周各地丧身刀下；其它三分之一，我要分散到各地。我且拔出剑来追赶他们。	
5:13	这样，我的忿怒纔可以发泄，我的怒火在他们身上纔会平息，得到了报复；当我的愤怒在他们身上发泄时，他们要承认我，上主，在妒火中讲了话。	
5:14	我要使你成为荒野，使你在环绕你的异民前，和所有的过客前，成为辱骂的对象。	
5:15	当我大发愤怒，以严厉的惩罚在你身上施行裁判时，你就成为环绕你的异民凌辱、耻笑、警戒和警骇的对象：这是我上主说的。	
5:16	当我向你们射出饥荒的毒箭──射出毁灭的箭，毁灭你们时──我必使饥荒在你们境内更加严重，断绝你们的粮源。	
5:17	我必使饥荒和猛兽危害你们，掠去你们的子女，并使瘟疫和血案在你境内盛行，还有刀兵来打击你：这是我上主说的。」	
		
		
6:0t	第六章(14)	
		
6:1t	敬拜邪神之地必被消灭	
6:1 	上主的话传给我说：	
6:2 	「人子，你要面对以色列的群山，讲预言攻斥他们，	
6:3 	说以色列的群山，请听吾主上主的话：吾主上主这样对高山、丘陵、山溪、山谷说：看，我要使刀兵临于你们，荡平你们的丘坛；	
6:4 	破坏你们的祭坛，打碎你们的太阳柱，并使你们被杀的人倒在你们的偶像之前。	
6:5 	我还要把以色列尸体放在他们的偶像前，把你们的骨头散在你们的祭坛周围。	
6:6 	在你们居住的地方，城池变为荒野，丘坛遭受破坏，为叫你们的祭坛也成为荒凉，变为废墟，偶像被粉碎，被消灭，太阳柱被打碎，你们所制造的东西都铲除净尽。	
6:7 	被杀的人横卧在你们中间：如此你们要承认我是上主。」	
		
6:8t	遗民蒙恩获救	
6:8 	当我把你们分散到各国时，我还要把一些幸免于刀兵的人，残留在异民中。	
6:9 	你们被掳到异民中的遗民，必要想念我，因为我击碎了他们好淫而背弃我的心，也击碎了他们好淫而随从偶像的眼睛，那时他们必要为了一切邪神所行的事而自怨自艾。	
6:10	如此，他们会承认，我上主说要对他们施行惩罚，并非空话。」	
		
6:11t	哀伤以色列作恶受罚	
6:11	吾主上主这样说：「我要拍手顿足地说：祸哉!以色列家，因了一切丑恶的罪行，她必要亡于刀兵、饥荒和瘟疫：	
6:12	远处的要死于瘟疫，近处的要丧身刀下，剩余而被围困的，要死于饥饿，我必要这样对他们发泄我的怒火。	
6:13	几时被杀的人横卧在他们的祭坛四周，在他们的偶像中间，在各高山，各山顶，在各绿树下，在密茂的樟树下，即在他们给各偶像献香的地方，那时，你们必承认我是上主。	
6:14	我要伸手打击他们，凡他们所居之地，我要使田地变为沙漠和荒野，自旷野直到黎贝拉：这样，他们必承认我是上主。」	
		
		
7:0t	第七章(27)	
		
7:1t	结局已到	
7:1 	上主的话传给我说：	
7:2 	「人子，你要说：吾主上主这样对以色列地域说：结局到了，大地四极的结局到了。	
7:3 	现今你的结局已到：我要向你发泄我的愤怒，按你的行为裁判你，按照你所有的丑行报复你。	
7:4 	我的眼决不怜视你，一点也不顾惜你；反之，我必按照你的行为报复你，使你的丑恶彰显在你中间；这样，你们必承认我是上主。	
7:5 	吾主上主这样说：「看，灾祸，那唯一的灾祸来了。	
7:6 	结局到了，那对付你的结局到了，看，已来到目前。	
7:7 	当地的居民啊!恶运已临于你，时辰已到，恐怖的日子已近，山上再听不到欢呼的声音。	
7:8 	现今我就快要向你发泄我的愤怒，在你身上尽泄我的怒火，要按照你的行为裁判你，按照你所有的丑行报复你。	
7:9 	我的眼决不怜视，一点也不顾惜；反之，我要照你的行为报复你，使你的丑恶彰显在你中间：这样你们必承认我是施罚的天主。」	
		
7:10t	同归于尽	
7:10	看，那日子确已来到，恶运已定，暴行开花，傲慢发芽。	
7:11	残暴兴起，成为作恶的令牌；他们中将一无所存，他们的财富没有了，豪华不见了，光荣一无所留。	
7:12	时辰到了，日子近了；买主不要欢乐，卖主也不要忧愁，因为怒火要降在一切财富上。	
7:13	卖主虽还活着，但不得再赎回他所卖的，因为惩罚一降在一切民众身上，谁也不能再挽回。无人在罪恶中能保全生命。	
		
7:14t	战争的惨状	
7:14	你们吹喇叭，将一切准备便当；但无人出征上阵，因为我的怒火要降在所有人民身上。	
7:15	外有刀兵，内有瘟疫饥荒；凡在乡间的，要丧身刀下；在城中的，要死于瘟疫饥荒。	
7:16	那些侥幸逃亡的，到了山中，必像谷中哀鸣的鸽子，各人悲泣自己的罪恶。	
7:17	人人双手疲惫无力，双膝软弱如水，	
7:18	身穿苦衣，都为恐怖所笼罩；每人面带羞惭，头顶完全剃光。	
7:19	他们将自己的银子丢在街头，金子为他们成了污秽之物；他们的金银，在上主发怒之日，不能拯救他们；金银不能使他们充饥，不能填满他们的肚腹，因为金银是他们犯罪的绊脚石。	
7:20	他们既然把自己华丽的装饰品作为夸耀的东西，做成丑恶的偶像和怪物；	
7:21	所以我要使偶像成为他们的不洁之物，我要把它交于外邦人手中作胜利品，给本地匪徒作为掠物，而予以亵渎。	
7:22	我要转面不看他们，让外人亵渎我的宝藏，让野人侵入而加以亵渎，	
7:23	并用来制造锁链；因为此地充满了血债，城中充满了残暴。	
7:24	为此，我必叫最凶恶的异民来占据他们的房舍，消灭他们傲慢的势力，并使他们的圣所受到亵渎。	
7:25	当恐怖来临时，他们寻求救援，却没有救援。	
7:26	祸上加祸，噩耗接踵而来；那时人向先知要求异像，却毫无所得；司祭失去了教言，长老没有了主意，	
7:27	君王失声痛哭，王侯惊惶失措，当地居民的手颤动无力。我必按他们的行为向他们报复，照他们的功过裁判他们：这样，他们必要承认我是天主。」	
		
		
8:0t	第八章(18)	
		
8:1t	神见耶京的神像	
8:1 	六年六月五日，当我坐在我屋内，犹大的长老门坐在我面前时，吾主上主的手临于我。	
8:2 	我观望，看，有一个形像，形状如人，在他相似腰部的下面，有一团火，在他腰部的上面好象有一道光辉，像发亮的金属。	
8:3 	他伸出一只像手的形状，抓住我的一绺头发，有一种神力把我提到天地之间，在神视中将我提往耶路撒冷去，到了内门的北门门口，在那里供奉着引起上主妒火的偶像。	
8:4 	在那里出现了以色列天主的光荣，相似我在平原所见的异像。	
8:5 	他向我说：「人子，举目向北方看!」我遂举目向北方看；看见在靠近祭坛的北门门口，有那引起上主妒火的偶像。	
8:6 	他又向我说：「人子，你看他们作的是什么﹖以色列家族在这里所行的极其丑恶之事，使我非离开我的圣所不可，但你还要看见更为丑恶的事。」	
		
8:7t	昆虫走兽神像	
8:7 	以后，他引我到外院的大门口，我看见在墙上有一个洞。	
8:8 	他向我说：「人子，把这墙穿一个洞!」我遂在墙上穿了一个洞，出现了一道门。	
8:9 	他又向我说：「你进去看一看他们在那里所做的穷凶极恶的丑行。」	
8:10	我便进去，看见有各种爬虫和走兽的像，都是可憎恶的；还有以色列家的各种偶像，都刻画在四周的墙上。	
8:11	以色列家族的七十长老，沙番的儿子雅匝尼雅也在他们中间，都站在那些像前，每人手中拿着香炉，烧的香烟如浓云，正在上腾。	
8:12	他对我说：「人子，你看见了以色列的长老在黑暗中，每人在藏神像的暗室中所行的事吗﹖他们说：上主看不见我们，上主已离弃了此地。」	
8:13	他又向我说：「你还要看见他们所行的更丑恶的事。」	
		
8:14t	塔慕次神及太阳神	
8:14	以后，他引我到了上主的圣殿朝北的大门口。看，有些妇女坐在那里，哀悼塔慕次。	
8:15	他向我说：「人子，你看见了吗﹖但你还要看见比这更丑恶的事。」	
8:16	以后，他引我到了上主圣殿的内庭院内；看，在上主圣所的门口，在走廊和祭坛中间约有二十五个人，背向上主的圣所，面向东方，他们正在向东方朝拜太阳。	
		
8:17t	惩罚的恐吓	
8:17	他又向我说：「人子，你看见了吗﹖在这里行的这些丑恶之事，为犹大家还不够吗﹖他们还将此地充满了残暴之事，时时惹我忿怒。看，他们还把枝条举到自己鼻子上。	
8:18	我必大发愤怒，我的眼决不怜视，一点也不顾惜；极使他们在我耳旁高声喊叫，我仍不俯听他们。」	
		
		
9:0t	第九章(11)	
		
9:1t	击杀无记号者	
9:1 	以后我听见他高声喊说：「惩罚此城的，快来!每人手中应拿着毁灭的工具。」	
9:2 	看，有六个人从上边朝北的门走来，每人拿着破坏的武器。他们中间有一个人身穿细麻衣，腰间带著书记的墨盒。他们来到，就站在铜祭坛旁。	
9:3 	那停在革鲁宾上的以色列的天主光荣，就由革鲁宾身上升起，来到圣殿的门限上，叫将那身穿细麻衣，腰间带着墨盒的人召来。	
9:4 	上主对他说：「你要走遍此城，即走遍耶路撒冷，凡因城充发生的丑恶之事而悲痛哀号的人，要在他们额上划一个十字记号。」	
9:5 	以后我听见他向其余的人说：「你们也跟着他走遍全城击杀，你们的眼不要怜视，一点也不要顾惜；	
9:6 	把老人、少年、处女、婴儿和妇女都要杀尽灭绝；但凡额上有十字记号的人，不可走近。你们从圣所这里开始。」果然他们就从在圣殿前的长老开始。	
9:7 	以后又向他们说：「你们要玷污这圣殿，使被杀者充塞整个庭院，然后出去!」他们就出去，在城中击杀。	
		
9:8t	先知祈祷未获准	
9:8 	他们去击杀时，只留下我一人。我就伏地掩面呼求说：「哎!吾主上主，你在耶路撒冷发泄你的愤怒，要灭绝以色列的遗民吗﹖」	
9:9 	他回答我说：「以色列和犹大的家族，实在罪大恶极；此地充满了血债，满城都是暴行，他们还说：上主已离弃了此地，上主看不见。	
9:10	因此，我的眼也决不怜视，一点也不顾惜；反而我要把他们的行为，归在他们头上。」	
9:11	看啊，那身穿细麻衣，腰间带着墨盒的人，回来报告说：「我已照你的吩咐的做了。」	
		
		
10:0t	第十章(22)	
		
10:1t	取火炭异像	
10:1 	我观望时，见在革鲁宾头上，穹苍之上，有一块像碧玉的石头，看似宝座，出现在他们上边。	
10:2 	上主问那身穿细麻衣的人说：「你到革鲁宾下边的轮子中间，由革鲁宾中间取一满掬火炭，撒在城上。」他就在我眼前进去了。	
10:3 	当那人进去时，革鲁宾站在圣殿的右边，云彩弥漫了内院。	
10:4 	上主的光荣，由革鲁宾之间升起，停在圣殿的门限上，圣殿内充满了云彩，庭院中也充满了上主光荣的灿烂。	
10:5 	革鲁宾展翅的响声达于外院，像全能的天主讲话的声音。	
10:6 	以后他吩咐那身穿细麻衣的人说：「从轮子中间，从革鲁宾中间取火罢!」那人就前去，站在轮子旁边。	
10:7 	一位革鲁宾由革鲁宾中间伸手，到革鲁宾中间的火上取了火，放在那身穿细麻衣的手中；那人接过去就走了。	
10:8 	我看见革鲁宾在翅膀下的手好象人手。	
10:9 	我观望时，见革鲁宾旁边有四个轮子，每一位革鲁宾旁有一个轮子，轮子的外表光泽有如橄榄玉石。	
10:10	轮子的外表，四个都有同样的形状，好象轮子套在轮子中。	
10:11	转动时可向四面旋转，前行时不必回转。	
10:12	在他们的身体、背、手、翅膀和四个轮子上，布满了眼睛。	
10:13	我所说的轮子名叫「加耳加耳。」	
10:14	每一个革鲁宾有四个形状：第一个形状是牛形，第二个形状是人形，第三个形状是狮形，第四个形状是鹰形。	
10:15	以后革鲁宾上升去了；这是我在革巴尔河岸所见的活物。	
10:16	革鲁宾前行时，轮子也在他们旁边转动；革鲁宾展开翅膀，由地面升起时，轮子也不离他们左右。	
10:17	他们站住，轮子也停下；他们升起，轮子也同他们一起升起，因为轮子内有活物的神力。	
		
10:18t	上主的光荣离开圣殿	
10:18	那时，上主的光荣离开了圣殿的门限，停在革鲁宾上。	
10:19	革鲁宾展开翅膀，在我眼前由地面升起；当他们离去时，轮子也跟着离去。他们停在上主圣殿的东门门口时，以色列的天主的光荣就停在他们上面。	
10:20	这就是我靠近革巴尔河，在以色列的天主下面所见的那些活物，现在我明白他们是革鲁宾。	
10:21	每个有四样形状，每个有四个翅膀，在他们翅膀下有相似人的手。	
10:22	关于他们的形像，和我靠近革巴尔河所见的形像一样，每个朝自己的前面进行。	
		
		
11:0t	第十一章(25)	
		
11:1t	惩罚犹大的首领	
11:1 	以后，神力把我提起，把我带到上主圣殿东面的东门那里。看，在大门口有二十五个人，我看见在他们中有阿组尔的儿子亚匝尼雅和贝纳雅的儿子培拉提雅，他们是民众的首领。	
11:2 	上主向我说：「人子，在这城中图谋不轨，出坏主意的就是这些人。	
11:3 	他们说：房屋不是刚建筑不久吗﹖城是锅，我们是肉。	
11:4 	为此你要发言反对他们；人子，发言罢!」	
11:5 	上主的神临于我，向我说：「你要说：上主这样说：以色列家，你们所说过的话，心中想的什么，我都知道。	
11:6 	你们在此城中杀害了许多人，街市上满了伤亡的人。	
11:7 	为此吾主上主这样说：你们在城内所杀害的人是肉，城是锅，但你们都要由城中赶出去。	
11:8 	你们怕刀剑，我必使刀剑临于你们──吾主上主的断语－－	
11:9 	我要把你们由城中赶出，把你们交于外人手中，在你们身上实行惩罚。	
11:10	你们要丧身刀下；我必要在以色列边境上惩罚你们；如此，你们要承认我是上主。	
11:11	这城为你们决不是锅，你们也决不是其中的肉；我必要在以色列边境上惩罚你们。	
11:12	如此你们必承认我是上主，因为你们没有遵行我的法令，没有实行我的法律，却照你们四邻异民的法律去行。」	
11:13	我正在讲预言的时候，贝纳雅的儿子培拉提雅死了；我遂伏地掩面，高声哀呼说：「哎!吾主上主，你要灭尽以色列的遗民吗﹖」	
		
11:14t	遗民更新	
11:14	上主的话传给我说：	
11:15	「人子，耶路撒冷的居民论及你的同胞兄弟，同你一起被掳的人，即以色列全家族的人，这样说：他们远离了上主，这地应归于我们占有了。	
11:16	为此你应宣讲说：吾主上主这样说：我虽迁移他们，远至异民之中，将他们分散到各国，但在他们所到的地方，我暂时仍是他们的圣所。	
11:17	因此你应宣讲：吾主上主这样说：我要从各民族聚集你们，由你们分散所到的各国中召集你们，把以色列地域再赐给你们。	
11:18	他们一回到那里，必灭绝那里的偶像，铲除那里的一切丑恶的事。	
11:19	我必赐给他们另一颗心，在他们脏腑放上另一种精神；拿走他们铁石的心，给他们换上一颗血肉的心，	
11:20	为使他们遵行我的法令，谨守我的法律，而一一实行：如此他们要作我的百姓，我要作他们的天主。	
11:21	至于那些心中仍随从偶像和丑恶之事的人，我要把他们的行为归在他们的头上──吾主上主的断语。」	
		
11:22t	上主的光荣离开圣城	
11:22	那时革鲁宾展开了翅膀，轮子也随着转动，以色列天主的光荣停在他们之上。	
11:23	上主的光荣由城中升起，停在城东的山上。	
11:24	神力把我提起，在异象中，即在天主的神力中，把我带到加色丁充军的人那里。我所见的异象就在我面前消失了。	
11:25	我遂向充军的人讲述上主给我显示的一切事。	
		
		
12:0t	第十二章(28)	
		
12:1t	充军的象征	
12:1 	上主的话传给我说：	
12:2 	「人子，你是住在叛逆的家族中，他们有眼，却视而不见；有耳，却听而不闻；因为他们是叛逆的家族。	
12:3 	人子，你要白天在他们眼前准备充军的行囊，并在他们眼前从一地迁移到另一地；他们或者能看清自己是叛逆的家族。	
12:4 	你白天在他们眼前把行囊搬出，像搬出充军的行囊；傍晚在他们眼前出发，像充军者出发。	
12:5 	你还要在他们眼前在墙上穿一个洞，由那里走过去。	
12:6 	你当着他们的面，把行囊背在肩上，天黑时出发，并且蒙着脸，看不到地面：因为我要使你作为以色列家族的一个预兆。」	
12:7 	我遂遵命行了：白天我把行囊搬出，有如充军的行囊，傍晚用手在墙上穿了一个洞；到天黑时，当着他们的面，把行囊背在肩上出发。	
		
12:8t	预兆的意义	
12:8 	到了早晨，上主的话传给我说：	
12:9 	「人子，以色列家族，那叛逆的家族不是问你说：你在作什么﹖	
12:10	你要回答他们说：吾主上主这样说：这神谕是有关耶路撒冷的君王和城中的以色列全家族。	
12:11	并且说：我为你们是一个预兆：像我所行过的，也要实现在他们身上：他们要被掳充军异地。	
12:12	君王在他们当中肩上背着重担，在黑夜出发，在墙上要穿一洞，为叫他出去；他要蒙着脸，以致他再不能亲眼看见这地方。	
12:13	我要在他面前设下罗网，他必要陷在我的罗网中而被捉住；然后我他到加色丁人的地方巴比伦，但他一无所见，就死在那里。	
12:14	我还要把他左右的护卫，以及一切军队，分散到四方，并拔出剑来追赶他们。	
12:15	当我把他们驱散到异民中，把他们分散到各国时，他们必承认我是上主。	
12:16	但我在他们中仍保留少数的人，免受刀兵、饥荒和瘟疫之害，为叫他们给他们所到之地的异民，讲述自己的丑恶之事，使那些人也认识我是上主。」	
		
12:17t	预示圣城的饥荒	
12:17	上主的话传给我说：「	
12:18	人子，你要战战兢兢地吃饭，怀着颤栗和惶恐喝水。	
12:19	你应向此地的人民宣讲说：吾主上主论及耶路撒冷的居民和以色列地域这样说：他们要惶恐地吃饭，惊惧地喝水，为了那里的居民所行的残暴，那地方要被洗劫，变为荒芜之地。	
12:20	人烟稠密的城市要变为旷野，那地方必变为沙漠：如此，你们必承认我是上主。」	
		
12:21t	先知所言必要实现	
12:21	上主的话传给我说：「	
12:22	人子，在以色列地域，有人说：日期迟延了，异象落空了。这流言是什么意思﹖	
12:23	为此你应向他们说：吾主上主这样说：我必使这流言停止，以色列必不再说这流言；你该向他们说：日期近了，所有的异象必要实现。	
12:24	在以色列家族内，决不再有虚伪的异象和欺诈的预言。	
12:25	因为是我上主讲话，我讲的话必要实现，不再迟延。叛逆的家族!我说的话必在你们这一代实现──吾主上主的断语。」	
12:26	上主的话传给我说：「	
12:27	人子，以色列家族说：这人所见的异象是指遥远的来日；他说的预言，是指遥远的时期。	
12:28	为此你要向他们说：吾主上主这样说：我说的一切话，不再迟延；我所说的话，必要实现──吾主上主的断语。」	
		
		
13:0t	第十三章(23)	
		
13:1t	攻斥假先知	
13:1 	上主的话传给我说：「	
13:2 	人子，你要斥责那些在以色列讲预言的先知，向那些随心所欲说预言的人说：你们应听上主的话!	
