1:-1t	希伯来书	
3:16	是谁听了而起了叛乱呢﹖岂不是梅瑟从埃及领出来的众人吗﹖	
3:17	四十年之久，天主厌恶了谁呢﹖不是那些犯了罪，而他们的尸首倒在旷野中的人吗﹖	
3:18	他向谁起了誓，不准进入他的安息呢﹖不是向那些背信的人吗﹖	
3:19	于是我们看出：他们不得进入安息，是因了背信的缘故。	
		
		
4:-1t	依恃的心和值得夸耀的希望	
		
4:0t	第四章	
		
4:1t	背信必得不到安息	
4:1 	所以，几时进入他安息的恩许仍然存在，我们就应存戒心，免得你们中有人得不到安息，	
4:2 	因为我们也蒙受了喜讯，有如我们的祖先一样；可是他们所听到的话为他们毫无益处因为他们听的时候没有怀着信德。	
4:3 	所以我们这些信了的人，必得进入安息，就如经上说的：『我在怒中起誓说：他们决不得进入我的安息。』其实天主的化工从创世时已经完成了，	
4:4 	因为圣经某处论及第七日说：『天主在第七天停止了自己的一切工作，开始安息。』	
4:5 	但这里又说：『他们决不得进入我的安息。』	
4:6 	那么，既然这安息还保留着要一些人进入，而那些先听到喜讯的人，因背信没有进入；	
4:7 	因此天主重新指定了一个日子，即一个「今天」，就是在很久以后藉达味所宣示的，如上边说过的：『今天你们如果听从他的声音，不要再心硬了。』	
4:8 	假使若苏厄实在使祖先安息了，此后天主便不会再论及别的一个日子。	
4:9 	由此看来，为天主的百姓，还保留了一个安息的时日。	
4:10	的确，谁进入了天主的安息，他也就停止自已的工作而安息，正如天主停止自已的工作而安息一样。	
4:11	所以我们要努力进入那安息，免得有人照样因背信而跌倒。	
		
4:12t	天主的话所有的德能	
4:12	天主的话确实是生活的，是有效力的，比各种双刃的剑还锐利，直穿入灵魂和神魂，关节与骨髓的分离点，且可辨别心中的感觉和思念。	
4:13	没有一个受造物，在天主面前不是明显的，万物在他眼前都是袒露敞开的，我们必须向他交账。	
		
4:14tt	基督为大司祭	
		
4:14t	大司祭基督同情人的弱点	
4:14	我们既然有一位伟大的，进入了诸天的司祭，天主子耶稣，我们就应坚持所信奉的真道，	
4:15	因为我们所有的，不是一位不能同情我们弱点的大司祭，而是一位在各方面与我们相似，受过试探的，只是没有罪过。	
4:16	所以我们要怀着依恃之心，走近恩宠的宝座，以获得仁慈，寻到恩宠，作及时的扶助。	
		
		
5:-1t	基督为大司祭	
		
5:0t	第五章	
		
5:1t	基督永为大司祭	
5:1 	事实上，每位大司祭是由人间所选拔，奉派为人行关于天主的事，为奉献供物和牺牲，以赎罪过，	
5:2 	好能同情无知和迷途的人，因为他自己也为弱点所纠缠。	
5:3 	因此他怎样为人民奉献赎罪祭，也当怎样为自己奉献。	
5:4 	谁也不得自己擅取这尊位，而应蒙天主召选，有如亚郎一样。	
5:5 	照样，基督也没有自取做大司祭的光荣，而是向他说过：『你是我的儿子，我今日生了你』的那位光荣了他；	
5:6 	他又如在另一处说：『你照默基瑟德的品位，永做司祭。』	
5:7 	当他还在血肉之身时，以大声哀号和眼泪，向那能救他脱离死亡的天主，献上了祈祷和恳求，就因他的虔敬而获得了俯允。	
5:8 	他虽然是天主子，却由所受的苦难，学习了服从，	
5:9 	且在达到完成之后，为一切服从他的人，成了永远救恩的根源，	
5:10	遂蒙天主宣称为按照默基瑟德品位的大司祭。	
		
5:11t	责读者幼稚愚蒙	
5:11	关于这事我们还有许多话要说，但是难以说明，因为你们听不入耳。	
5:12	按时间说，你们本应做导师了，可是你们还需要有人来教导你们天主道理的初级教材；并且成了必须吃奶，而不能吃硬食的人。	
5:13	凡吃奶的，因为还是个婴孩，还不能了解正义的道理；	
5:14	唯独成年人才能吃硬食，因为他们的官能因着练习获得了熟练，能以分辨善恶。	
		
		
6:0t	第六章	
		
6:1t	背信的悲惨结局	
6:1 	因此，让我们搁下论基督的初级教理，而努力向成全的课程迈进；不必再树立基础，就是讲论悔改、死亡的行为、信赖天主、	
6:2 	及各种的洗礼、覆手、死者复活和永远审判的道理。	
6:3 	如果天主准许，我们就这样去作。	
6:4 	的确，那些曾一次被光照，尝过天上的恩赐，成了有分于圣神，	
6:5 	并尝过天主甘美的言语，及未来世代德能的人，	
6:6 	如果背弃了正道，再叫他们自新悔改，是不可能的，因为他们亲自又把天主子钉在十字架上，公开加以凌辱。	
6:7 	就如一块田地，时有雨水降于其上，时受润泽：若出产有益于那种植者的蔬菜，就必蒙受天主的降福；	
6:8 	但若生出荆棘疾藜来，就必被废弃，必要受诅咒，它的结局就是焚烧。	
		
6:9t	应有坚固的望德	
6:9 	可是，亲爱的诸位！我们虽这样说，但对你们，我们确信你们将有更好的表现，更近于救恩，	
6:10	因为天主不是不公义的，甚至于忘掉了你们的善工和爱德，即你们为了他的名，在过去和现在，在服事圣徒的事上所表现的爱德。	
6:11	我们只愿你们每一位表现同样的热心，以达成你们的希望，一直到底。	
6:12	这样，你们不但不会懈怠，而且还会效法那些因信德和耐心而继承恩许的人。	
6:13	当天主应许亚巴郎的时候，因为没有一个比天主大而能指着起誓的，就指着自己起誓，	
6:14	说：『我必多多降福你，使你的后裔繁多。	
6:15	这样亚巴郎因耐心等待，而获得了恩许。	
6:16	人都是指着比自己大的起誓；以起誓作担保，了结一切争端。	
6:17	为此天主愿意向继承恩许的人，充分显示自己不可更改的旨意，就以起誓来自作担保，	
6:18	好叫我们这些寻求避难所的人，因这两种不可更改的事－－在这些事上天主决不会撒谎－－得到一种强有力的鼓励，去抓住那摆在目前的希望。	
6:19	我们拿这希望，当作灵魂的安全而又坚固的锚，深深地拋入帐幔的内部。	
6:20	作前驱的耶稣已为我们进入了那帐幔内部，按照默基瑟德品位做了永远的大司祭。	
		
		
7:0t	第七章	
		
7:1t	默基瑟德超过亚巴郎与肋未	
7:1 	原来这默基瑟德是撒冷王，是至高者天主的司祭；当亚巴郎打败众王回来时，他来迎接，且祝福了他。	
7:2 	亚巴郎就由所有的一切之中，拿出十分之一分给了他；他的名字默基瑟德，第一可称作「正义之王」，他也可称作「撒冷之王」，就是「和平之王」之意。	
7:3 	他无父，无母，无族谱，生无始，寿无终：他好象天主子，永久身为司祭。	
7:4 	你们要想想：这人是多么伟大，连圣祖亚巴郎也由上等的战利品中，取了十分之一献给了他！	
7:5 	那些由肋未子孙中领受司祭职的，固然有命向人民，按法律征收什一之物，即向他们的弟兄，虽然都是出自亚巴郎的腰中；	
7:6 	可是不属于他们世系的那一位，却收了亚巴郎的什一之物，并祝福了那蒙受恩许的。	
7:7 	从来，在下的受在上的祝福，这是无人可反对的。	
7:8 	在这里那些领受什一之物的，是有死的人；但在那里领受什一之物的，却是一位证明了常活着的人。	
7:9 	并且可说：连那领受什一之物的肋未，也借着亚巴郎，交纳了什一之物，	
7:10	因为当默基瑟德迎接亚巴郎的时候，肋未还在祖先的腰中。	
		
7:11t	旧约与肋未司祭职是暂时的	
7:11	那么，如果借着肋未司祭职能有成全──因为选民就是本着这司祭职接受了法律──为什么还须要兴起另一位，按照默基瑟德品位的司祭，而不称为按照亚郎的品位呢﹖	
7:12	如今司祭职一变更，法律也必然变更，	
7:13	因为这里所论到的那一位，原是属于另一支派，由这一支派中，没有一个人曾在祭坛前服务过。	
7:14	显然我们的主是由犹太支派出生的，关于这一支派，梅瑟从未提到司祭的事。	
7:15	既然有另一位司祭，是按照默基瑟德的品级兴起的，那我们所讨论的就更显明了，	
7:16	因为他之成为司祭，并不是按照血统所规定的法则，而是按照不可消灭的生命的德能，	
7:17	因为有圣经给他作证：『你照默基瑟德的品位永做司祭。』	
7:18	先前的诫命之废除，是由于它的弱点和无用，	
7:19	因为法律本来就不能成就什么；可是如今引进了一个更好的希望，因着这希望，我们才能亲近天主。	
		
7:20t	基督的司祭职是永存的	
7:20	再者，耶稣成为司祭是具有天主誓言的，其它的司祭并没有这种誓言就成了司祭。	
7:21	耶稣成为司祭，却具有誓言，因为天主向他说：『上主一发了誓，他决不再反悔；你永为司祭。』	
7:22	如此，耶稣就成了更好的盟约的担保人。	
7:23	再者，肋未人成为司祭的，人数众多，因为死亡阻碍他们长久留任，	
7:24	但是耶稣因永远长存，具有不可消逝的司祭品位。	
7:25	因此，凡由他而接近天主的人，他全能拯救，因为他常活着，为他们转求。	
7:26	这样的大司祭才适合于我们，他是圣善的、无辜的、无玷的、别于罪人的、高于诸天的；	
7:27	他无须像那些大司祭一样，每日要先为自己的罪，后为人民的罪，祭献牺牲；因为他奉献了自己，只一次而为永远完成了这事，	
7:28	因为法律所立为大司祭的人是有弱点的；可是在法律以后，以誓言所立的圣子，却是成全的，直到永远。	
		
		
8:0t	第八章	
		
8:1t	基督为真会慕的司祭	
8:1 	我们所论述的要点即是：我们有这样一位大司祭，他已坐在天上「尊威」的宝座右边，	
8:2 	在圣所，即真会幕里作臣仆；这会幕是上主而不是人所支搭的。	
8:3 	凡大司祭都是为奉献供物和牺牲而立的，因此这一位也必须有所奉献。	
8:4 	假使他在地上，他就不必当司祭，因为已有了按法律奉献供物的司祭。	
8:5 	这些人所行的敬礼，只是天上事物的模型与影子，就如梅瑟要制造会幕时，曾获得神示说：『要留心──上主说──应一一按照在山上指示你的式样去做。』	
		
8:6t	基督为更好盟约的中保	
8:6 	现今耶稣已得了一个更卓绝的职分，因为他作了一个更好的，并建立在更好的恩许之上的盟约的中保，	
8:7 	如果那第一个盟约是没有缺点的，那么，为第二个就没有余地了。	
8:8 	其实天主却指摘以民说：『看，时日将到──上主说──我必要与以色列家和犹大家订立新约，	
8:9 	不像我昔日握住他们的手，领他们出离埃及时，与他们的祖先所订立的盟约一样，因为他们没有恒心守我的盟约，我也就不照管他们了──上主说。	
8:10	这是我在那些时日后，与以色列家订立的盟约──上主说──我要将我的法律放在他们的明悟中，写在他们的心头上；我要做他们的天主，他们要做我的人民。	
8:11	那时，谁也不再教训自己的同乡，谁也不再教训自己的弟兄说：「你要认识上主！」因为不论大小，人人都必认识我。	
8:12	因为我要宽恕他们的过犯，不再记忆他们的罪恶。』	
8:13	一说「新的，」就把先前的，宣布为旧的了；但凡是旧的和老的，都已临近了灭亡。	
		
		
9:0t	第九章	
		
9:1t	基督带自己的血进入天上的圣殿	
9:1 	第一个盟约固然也有行敬礼的规程，和属于世界的圣殿，	
9:2 	因为有支搭好了的帐幕，前边的帐幕称为圣所，里面设有灯台、桌子和供饼；	
9:3 	在第二层帐幔后边，还有一个帐幕，称为至圣所，	
9:4 	里面设有金香坛和周围包金的约柜，柜内有盛「玛纳」的金罐，和亚郎开花的棍杖及约版。	
9:5 	柜上有天主荣耀的「革鲁宾」，遮着赎罪盖：关于这一切，现今不必一一细讲。	
9:6 	这一切既如此安置了，司祭们就常进前边的帐幕去行敬礼；	
9:7 	至于后边的帐幕，惟独大司祭一年一次进去，常带上血，去为自己和为人民的过犯奉献。	
9:8 	圣神藉此指明：几时前边的帐幕还存在，到天上圣殿的道路就还没有打开。	
9:9 	以上所述是现今时期的预表，表示所奉献的供物和牺牲，不能使行敬礼的人，在良心上得到成全，	
9:10	因为这一切都是属于外表礼节的规程，只着重食品、饮料和各样的洗礼，立定为等待改良的时期。	
9:11	可是基督一到，就作了未来鸿恩的大司祭，他经过了那更大、更齐全的，不是人手所造，不属于受造世界的帐幕，	
9:12	不是带着公山羊和牛犊的血，而是带着自己的血，一次而为永远进入了天上的圣殿，获得了永远的救赎。	
9:13	假如公山羊和牛犊的血，以及母牛的灰烬，洒在那些受玷污的人身上，可净化他们得到肉身的洁净，	
9:14	何况基督的血呢？他借着永生的神，已把自己毫无瑕疵的奉献于天主，他的血岂不更能洁净我们的良心，除去死亡的行为，好去事奉生活的天主﹖	
		
9:15t	基督以自己的血订立了新约	
9:15	为此，他作了新约的中保以他的死亡补赎了在先前的盟约之下所有的罪过，好叫那些蒙召的人，获得所应许的永远的产业。	
9:16	凡是遗嘱，必须提供立遗嘱者的死亡，	
9:17	因为有了死亡，遗嘱才能生效，几时立遗嘱者还活着，总不得生效。	
9:18	因此，连先前的盟约也得用血开创。	
9:19	当日梅瑟向全民众按法律宣读了一切诫命之后，就用朱红线和牛膝草，蘸上牛犊和公山羊的血和水，洒在约书和全民众身上，说：	
9:20	『这是天主向你们所命定的盟约的血。』	
9:21	连帐幕和为敬礼用的一切器皿，他也照样洒上了血；	
9:22	并且按照法律，几乎一切都是用血洁净的，若没有流血，就没有赦免。	
9:23	那么，既然连那些天上事物的模型还必须这样洁净，而那天上的本物，自然更须要用比这些更高贵的牺牲，	
9:24	因为基督并非进入了一座人手所造，为实体模型的圣殿，而是进入了上天本境，今后出现在天主面前，为我们转求。	
9:25	他无须再三奉献自己，好象大司祭每年应带着不是自己的血进入圣殿一样，	
9:26	否则，从创世以来，他就必须多次受苦受难了；可是现今，在今世的末期，只出现了一次，以自己作牺牲，除灭了罪过。	
9:27	就如规定人只死一次，这以后就是审判；	
9:28	同样，基督也只一次奉献了自己，为除免大众的罪过；将来他要再次显现，与罪过无关，而是要向那些期待他的人施行救恩。	
		
		
10:0t	第十章	
		
10:1t	旧约的祭献不能赦罪	
10:1 	法律既然只有未来美物的影子，没有那些事物的真相，所以总不能因着每年常献的同样牺牲，使那些愿意亲近天主的人得到成全；	
10:2 	因为，如果那些行敬礼的人，一次而为永远洁净了，良心不再觉得有罪了，祭献岂不就要停止吗﹖	
10:3 	可是，正因这祭献才使人每年想起罪过来，	
10:4 	因为公牛和公山羊的血断不能除免罪过。	
10:5 	为此基督一进入世界便说：『牺牲与素祭，已非你所要，却给我预备了一个身体；	
10:6 	全燔祭和赎罪祭，已非你所喜，	
10:7 	于是我说：看，我已来到！关于我，书卷上已有记载：天主！我来为承行你的旨意。』	
10:8 	前边说：『祭物和素祭，全燔祭和赎罪祭，已非你所要，已非你所喜；』这一切都是按照法律所奉献的；	
10:9 	后边他说：『看，我已来到，为承行你的旨意；』由此可见，他废除了那先前的，为要成立那以后的。	
10:10	我们就是因这旨意，借耶稣基督的身体，一次而为永远的祭献，得到了圣化。	
		
10:11t	仅基督的祭献能赦人罪	
10:11	况且，每一位司祭，都是天天待立着执行敬礼，并屡次奉献总不能除去罪恶的同样牺牲；	
10:12	但是基督只奉献了一次赎罪的牺牲，以后便永远坐在天主右边，	
10:13	从今以后，只等待将他的仇人变作他脚下的踏板。	
10:14	因为他只借一次奉献，就永远使被圣化的人得以成全。	
10:15	圣神也给我们作证，因为他说过，	
10:16	『这是我在那些时日后，与他们订立的盟约──上主说──我要将我的法律放在他们的心中，写在他们的明悟中』这话以后，又说：	
10:17	『他们的罪过和他们的邪恶，我总不再追念。』	
10:18	若这些罪已经赦了，也就用不着赎罪的祭献了。	
		
10:19tt	应坚持信德	
		
10:19t	信望爱为教友生活的根基	
10:19	所以，弟兄们！我们既然怀着大胆的信心，靠着耶稣的宝血得以进入圣殿，	
10:20	即进入由他给我们开创的一条又新又活，通过帐幔，即他肉身的道路；	
10:21	而且我们既然又有一位掌管天主家庭的伟大司祭，	
10:22	我们就应在洗净心灵，脱离邪僻的良心，和用净水洗涤身体以后，怀着真诚的心，以完备的信德去接近天主；	
10:23	也应该坚持所明认的望德，毫不动摇。因为应许的那位是忠信的；	
10:24	也应该彼此关怀，激发爱德，勉励行善，	
10:25	决不离弃我们的集会，就象一些人所习惯行的；反而应彼此劝勉；你们见那日子越近，就越该如此。	
10:26	背信的罪难得赦免因为如果我们认识真理之后，还故意犯背信的罪，就再没有另一个赎罪祭了。	
10:27	只有一种等待审判的怕情，和势将吞灭叛逆者的烈火。	
10:28	谁若废弃梅瑟法律，只要有两三个证人，他就该死，必不得怜恤；	
10:29	那么，你们想一想：那践踏了天主子，那自己借以成圣的盟约的血当作了俗物，而又轻慢了赐恩宠的圣神的人，应当受怎样更厉害的惩罚啊！	
10:30	因为我们知道谁曾说过：『复仇在乎我，我必要报复；』又说：『上主必要审判自己的百姓。』	
10:31	落在永生的天主手中，真是可怕！	
		
10:32t	应赖信德生活	
10:32	请你们回想回想先前的时日，那时你们才蒙光照，就忍受了苦难的严厉打击：	
10:33	一方面，你们当众受嗤笑、凌辱和磨难，另一方面，你们与这样受苦的人作了同伴。	
10:34	的确，你们同情了监禁的人，又欣然忍受了你们的财物被抢掠，因为你们知道：你们已获有更高贵且常存的产业，	
10:35	所以千万不要丧失那使你们可得大赏报的勇敢信心。	
10:36	原来你们所需要的就是坚忍，为使你们承行天主的旨意，而获得那所应许的。	
10:37	『因为还有很短的一会儿，要来的那一位，就要来到，决不迟缓。	
10:38	我的义人靠信德而生活，假使他退缩，他必不会中悦我心。』	
10:39	我们并不是那般退缩以致丧亡的人，而是有信德得以保全灵魂的人。	
		
		
11:-1t	应坚持信德	
		
11:0t	第十一章	
		
11:1t	信德的定义和表率	
11:1 	信德是所希望之事的担保，是未见之事的确证。	
11:2 	因这信德，先人们都曾得了褒扬。	
11:3 	因着信德，我们知道普世是藉天主的话形成的，看得见的是由看不见的化成的。	
11:4 	因着信德，亚伯尔向天主奉献了比加音更高贵的祭品；因这信德，亚伯尔被褒扬为义人，因为有天主为他的供品作证；因这信德，他虽死了，却仍发言。	
11:5 	因着信德，哈诺客被接去了，叫他不见死亡，世人也找不着他了，因为天主已将他接去；原来被接去之前，已有了中悦天主的明证。	
11:6 	没有信德，是不可能中悦天主的，因为凡接近天主的人，应该信他存在，且信他对寻求他的人是赏报者。	
11:7 	因着信德，诺厄对尚未见的事得了启示，怀着敬畏制造了方舟，为救自己的家庭；因着信德，他定了世界的罪，且成了由信德得正义的承继者。	
		
11:8t	从亚巴郎到若瑟	
11:8 	因着信德，亚巴郎一蒙召选，就听命往他将要承受为产业的地方去了：他出走时，还不知道要到那里去。	
11:9 	因着信德，他旅居在所应许的地域，好象是在外邦，与有同样恩许的承继人依撒格和雅各伯寄居在帐幕内，	
11:10	因为他期待着那有坚固基础的城，此城的工程师和建筑者是天主。	
11:11	因着信德，连石女撒辣虽然过了适当的年龄，也蒙受了怀孕生子的能力，因为她相信那应许者是忠信的。	
11:12	为此由一个人，且是由一个已近于死的人，生了子孙，有如天上的星辰那么多，又如海岸上的沙粒那么不可胜数。	
11:13	这些人都怀着信德死了，没有获得所恩许的，只由远处观望，表示欢迎明认自己在世上只是外方人和旅客。	
11:14	的确，那些说这样话的人，表示自己是在寻求一个家乡。	
11:15	如果他们是怀念所离开的家乡，他们还有返回的机会；	
11:16	其实他们如今所渴念的，实是一个更美丽的家乡，即天上的家乡。为此，天主自称为他们的天主，不以他们为羞耻，因为他已给他们预备了一座城。	
11:17	因着信德，亚巴郎在受试探的时候，献上了依撒格，就是那承受了恩许的人，献上了自己的独生子；	
11:18	原来天主曾向他说过：『只有由依撒格所生的，才称为你的后裔。』	
11:19	他想天主也有使人从死者中复活的能力，为此他又把依撒格得了回来以作预像。	
11:20	因着信德，依撒格也关于未来的事祝福了雅各伯和厄撒乌。	
11:21	因着信德，临死的雅各伯祝福了若瑟的每一个儿子，也扶着若瑟的扙头朝拜了天主。	
11:22	因着信德，临终的若瑟提及以色列子民出离埃及的事，并对他自己的骨骸有所吩咐。	
		
11:23t	梅瑟与选民的信德	
11:23	因着信德，梅瑟一诞生就被他的父母隐藏了三个月，因为他们见婴孩俊美，便不怕君王的谕令。	
11:24	因着信德，梅瑟长大以后，拒绝被称为法郎公主的儿子，	
11:25	他宁愿同天主的百姓一起受苦，也不愿有犯罪的暂时享受，	
11:26	因为他以默西亚的耻辱比埃及的宝藏更为宝贵，因为他所注目的是天主的赏报。	
11:27	因着信德，他不害怕君王的愤怒，而离开了埃及，因为他好象看见了那看不见的一位，而坚定不移。	
11:28	因着信德，他举行了逾越节，行了洒血礼，免得那消灭首生者触犯以色列子民的首生者。	
11:29	因着信德，他们渡过了红海，如过旱地；埃及人一尝试，就被淹没了。	
11:30	因着信德，耶利哥城墙，被绕行七天之后，就倒塌了。	
11:31	因着信德，妓女辣哈布平安地接待了侦探，没有同抗命的人一起灭亡。	
		
11:32t	由民长到玛加伯时代	
11:32	此外，我还要说什么呢﹖我的确没有足够的时间再论述基德红、巴辣克、三松、依弗大、达味和撒慕尔以及众先知的事：	
11:33	他们借着信德征服列国，执行正义，得到恩许，杜住狮子的口，	
11:34	熄灭烈火的威力，逃脱利剑，转弱为强，成为战争中的英雄，击溃外国的军队。	
11:35	有些女人得了她们的死者复活，有些人受了酷刑拷打，不愿接受释放，为获得更好的复活；	
11:36	另有些人遭受了凌辱和鞭打，甚至锁押和监禁，	
11:37	被石头砸死，被锯死，被拷问，被利剑杀死，披着绵羊和山羊皮到处流浪，受贫乏，受磨难，受虐待。	
11:38	世界原配不上他们，他们遂在旷野、山岭、山洞和地穴中漂流无定。	
		
11:39t	结论　新旧二约的子民同为一家	
11:39	这一切人虽然因着信德获得了褒扬，但是没有获得所恩许的，	
11:40	因为天主为我们早已预备了一种更好的事，以致若没有我们，他们决得不到成全。	
		
		
12:0t	第十二章	
		
12:1t	基督是我们坚忍的模范	
12:1 	所以，我们既有如此众多如云的证人，围绕着我们，就该卸下各种累赘和纠缠人的罪过，以坚忍的心，跑那摆在我们面前的赛程，	
12:2 	双目常注视着信德的创始者和完成者耶稣：他为那摆在他面前的欢乐，轻视了凌辱，忍受了十字架，而今坐在天主宝座的右边。	
12:3 	你们要常想，他所以忍受罪人对他这样的叛逆，是怕你们灰心丧志。	
12:4 	你们与罪恶争斗，还没有抵抗到流血的地步。	
		
12:5t	天父惩戒的目的	
12:5 	你们竟全忘了天主劝你们，好象劝子女的话说：『我儿，不要轻视上主的惩戒，也不要厌恶他的谴责，	
12:6 	因为上主惩戒他所爱的，鞭打他所接管的每个儿子。』	
12:7 	为接受惩戒，你们应该坚忍，因为天主对待你们，就如对待子女；那有儿子，做父亲的不惩戒他呢﹖	
12:8 	如果你们缺少众人所共受的惩戒，你们就是私生子，而不是儿子。	
12:9 	再者，我们肉身的父亲惩戒我们时，我们尚且表示敬畏；何况灵性的父亲，我们不是更该服从，以得生活吗﹖	
12:10	其实，肉身的父亲只是在短暂的时日内，照他们的心意来施行惩戒，但是天主却是为了我们的好处，为叫我们分沾他的圣善。	
12:11	固然各种惩戒，在当时似乎不是乐事，而是苦事；可是，以后却给那些这样受训练的人，结出义德的和平果实。	
12:12	为此，你们应该伸直痿弱的手和麻木的膝；	
12:13	你们的脚应履行正直的路，叫瘸子不要偏离正道，反叫他能得痊愈。	
		
12:14t	信友对新约的义务	
12:14	你们应设法与众人和平相处，尽力追求圣德；若无圣德，谁也见不到主；	
12:15	又应该慬慎，免得有人疏忽天主的恩宠，免得苦根子长出来，而累及你们，使许多人因此蒙受玷污。	
12:16	谁也不要成为淫乱和亵圣者，如同厄撒乌一样，他为了一餐饭，竟出卖了自己长子的名分。	
12:17	你们知道，后来他纵然愿意承受祝福，也遭到了拒绝；虽流泪苦求，但没有得到翻悔的余地。	
12:18	你们原来并不是走近了那可触摸的山，那里有烈火、浓云、黑暗、暴风、	
12:19	号筒的响声以及说话的声音，当时那些听见的人，都恳求天主不要再给他们说话，	
