1.-1t	玛拉基亚		
2.5 	2:5 我与他订立的盟约，是有关生命及平安的盟，所以我赐给了他生命和平安；同时又是敬畏的盟约，所以他敬畏我，对我的名有所尊敬；		
2.6 	2:6 在他口中有真实教训，在他唇舌上从不见谎言；他心怀虔诚和正直与我来往，使多人远离了罪恶。		
2.7 	2:7 的确，司祭的唇舌应保卫智识，人也应从他的口中得到教训，因为他是万军上主的使者。		
2.8 	2:8 但是，你们却离弃正道，使许多人在法律上跌倒；你们破坏了我和肋未所立的盟约──万军的上主说。		
2.9 	2:9 为此，我也使你们受全体人民的轻贱卑视，因为你们没有遵行我的道，在施教训上观情顾面。		
			
2.10t	人民有关婚姻的罪恶		
2.10	2:10 我们不是共有一个父亲吗﹖不是一个天主造生了我们吗﹖为什么我们彼此欺骗，亵渎我们祖先的盟约﹖		
2.11	2:11 犹大不守信义，在以色列和耶路撒冷行了丑恶的事，因为犹大亵渎了上主所爱的圣所，娶了供奉异邦神祗的女子。		
2.12	2:12 惟愿上主将行这事的人，连证人和监誓人，从雅各伯的会幕中铲除，由向万军的上主奉献祭物的集会中铲除。		
2.13	2:13 其次，你们还行了这件事：你们向上主的祭坛洒尽了眼泪，哭泣呻吟，因为上主不再垂顾你们的祭祀，不再悦纳你们手中的祭品，		
2.14	2:14 而你们还问：「这是为什么﹖」是因为上主是你与你青年时所娶的妻子之间的证人。她虽是你的伴侣，是你结盟的发妻，你竟对她不守信义。		
2.15	2:15 上主不是造了他们成为一体，有一个肉身，一个性命吗﹖为什么要结为一体﹖是为求得天主的子女；所以应关心你们的性命，对你青年结发的妻子不要背信。		
2.16	2:16 上主以色列的天主说：我憎恨休妻，休妻使人在自己的衣服上沾满了不义，万军的上主声明说。所以你们当关心你们的性命，不要不守信义。		
			
2.17t	责斥人民抱怨天主		
2.17	2:17 你们的言谈使上主生厌，你们还问：「我们在什么事上使他生厌﹖」即在你们说：「凡作恶的，在天主眼里都是善的，并且他还喜悦他们，」或说：「公义的天主在那里﹖」的时候。		
			
			
3.0t	第三章(24)		
			
3.1t	盟约的使者		
3.1 	3:1 看！我要派遣我的使者，在我前面预备道路。你们所寻求的主宰，必要忽然进入他的殿内；你们所想望的盟约的使者，看！他来了──万军的上主说。		
3.2 	3:2 但是他来临之日，有谁能支持得住﹖他显现时，有谁能站立得住﹖因为他像炼金者用的炉火，又像漂布者用的卤汁		
3.3 	3:3 他必要坐下，像个溶化和炼净银子的人，炼净肋未的子孙，精炼他们像精炼金银一像，使他们能怀着虔诚，向上主奉献祭品：		
3.4 	3:4 那时，犹大和耶路撒冷所献的祭品，必能悦乐上主，有如昔日和往年。		
3.5 	3:5 那时，我必前来与你们接近，执行审判，迅速作证反对术士、犯奸和发虚誓的人，反对欺压佣工，寡妇和孤儿的人，反对侵害外方人的权利，而不敬畏我的人──万军的上主说。		
3.6 	3:6 是的，我是上主，决不改变；但你们总是雅各伯的子孙！		
			
3.7t	不守法律乃灾祸之因		
3.7 	3:7 自从你们祖先的日子以来你们就离弃了我的法令，而不遵守。现在你们转向我吧!我必转向你们──万军的上主说。你们却说：「我们应怎样转向你呢﹖」		
3.8 	3:8 人岂能欺骗天主﹖可是你们却欺骗了我!你们却说：「我们在什么事上欺骗了你﹖」即在什一文物和应献的祭物上。		
3.9 	3:9 你们全体人民!你们必要遭受严厉的诅咒，因为你们都欺骗了我。		
3.10	3:10 你们应把什一之物送入府库，好使我的殿宇存有食粮。你们就在这事上试试我吧!──万军的上主说──看我是否给你们开启天闸，将祝福倾注在你们身上，直到你们心意满足。		
3.11	3:11 我必要为你们吓走那吞食者，不容它再损害你们的田产，也不让你们田间的葡萄树不结果实──万军的上主说。		
3.12	3:12 万民都要称你们有福，因为你们将成为一片乐土──万军的上主说。		
			
3.13t	上主之日善恶分明		
3.13	3:13 上主说：「你们竟然敢用言语顶撞我。你们却说：「我们在什么话上顶撞了你﹖」		
3.14	3:14 即在你们说：「事奉天主只是徒然!遵守他的诫命，在万军的上主面前，穿苦衣而行，有什么好处﹖		
3.15	3:15 现在我们该称骄傲人有福；作恶的人，居然顺利，试探天主的人居然免罚!」		
3.16	3:16 这是敬畏上主的人彼此谈论的。但上主都加以注意而听见了，并且在他面前的记录簿上，为那些敬畏上主和投靠他名号的人予以记录了。		
3.17	3:17 在我行事的时日──万军的上主说──他们必是属于我的特殊产业，我要怜爱他们，有如人怜爱服事自己的儿子。		
3.18	3:18 你们将要重新看出义人和恶人，服事天主和不服事天主的人的区别。		
3.19	3:19 看，那日子来临，势必如冒火焰的火炉，所有的骄傲人和作恶的人都要成为禾楷；那一天来到，必要将他们烧尽──万军的上主说──不给他们留下根和枝条。		
3.20	3:20 但为你们这些敬畏我名号的人，正义的太阳将要升起，以自己好似箭羽的光芒普施救恩；你们必将出来，蹦蹦跳跳有如出栏的牛犊。		
3.21	3:21 你们要践踏恶人，因为在我行事之日，他们必要如同在你们脚下的尘土──万军的上主说。		
			
3.22t	忠告和应许		
3.22	3:22 你们应记得我仆人梅瑟的法律，即我在曷勒布山，命他传于全以色列的诫命和制度。		
3.23	3:23 看，在上主伟大及可怕的日子来临以前，我必派遣先知厄里亚到你们这里来；		
3.24	3:24 他将使父亲的心转向儿子，使儿子的心转向父亲，免得我来临时，以毁灭律打击这地。		
			
