1.-2t	若望一书	
3.7 	孩子们，万不要让人迷惑你们！那行正义的，就是正义的人，正如那一位是正义的一样。	
3.8 	那犯罪的，是属于魔鬼，因为魔鬼从起初就犯罪：天主子所以显现出来，是为消灭魔鬼的作为。	
3.9 	凡由天主生的，就不犯罪过，因为天主的种子存留在他内，他不能犯罪，因为他是由天主生的。	
3.10	天主的子女和魔鬼的子女在这事上可以认出：就是凡不行正义的和不爱自己弟兄的，就不是出于天主。	
		
3.11t	爱人的命令　	
3.11	原来你们从起初所听的训令就是：我们应彼此相爱；	
3.12	不可像那属于恶者和杀害自己兄弟的加音。加音究竟为什么杀了他？因为他自己的行为是邪恶的，而他兄弟的行为是正义的。	
3.13	弟兄们，如果世界恼恨你们，不必惊奇。	
3.14	我们知道，我们已出死入生了，因为我们爱弟兄们；那不爱的，就存在死亡内。	
3.15	凡恼恨自己弟兄的，便是杀人的；你们也知道：凡杀人的，便没有永远的生命存在他内。	
3.16	我们所以认识了爱，因为那一位为我们舍弃了自己的生命，我们也应当为弟兄们舍弃生命。	
3.17	谁若有今世的财物，看见自己的弟兄有急难，却对他关闭自己怜悯的心肠，天主的爱怎能存在他内？	
3.18	孩子们，我们爱，不可只用言语，也不可只用口舌，而要用行动和事实。	
3.19	在这一点上我们可以认出，我们是出于真理的，并且在他面前可以安心；	
3.20	纵然我们的心责备我们，我们还可以安心，因为天主比我们的心大，他原知道一切。	
3.21	可爱的诸位，假使我们的心不责备我们，在天主前便可放心大胆；	
3.22	那么我们无论求什么，必由他获得，因为我们遵守了他的命令，行了他所喜悦的事。	
3.23	他的命令就是叫我们信他的子耶稣基督的名字，并按照他给我们所出的命令，彼此相爱。	
3.24	那遵守他命令的，就住在他内，天主也住在这人内。我们所以知道他住在我们内，是借他赐给我们的圣神。	
		
		
4.0t	第四章	
		
4.1t	真理的神和欺诈的神　	
4.1 	可爱的诸位，不要凡神就信，但要考验那些神是否出于天主，因为有许多假先知来到了世界上。	
4.2 	你们凭此可认出天主的神：凡明认耶稣为默西亚，且在肉身内降世的神，便是出于天主；	
4.3 	凡否认耶稣的神，就不是出于天主，而是属于假基督的；你们已听说过他要来，现今他已在世界上了。	
4.4 	孩子们，你们出于天主，且已得胜了他们，因为那在你们内的，比那在世界上的更大。	
4.5 	他们属于世界，因此讲论属于世界的事，而世界就听从他们。	
4.6 	我们却是出于天主的；那认识天主的，必听从我们；那不出于天主的，便不听从我们：由此我们可以认出真理的神和欺诈的神来。	
		
4.-1t	天主是爱	
		
4.7t	以爱还爱　	
4.7 	可爱的诸位，我们应该彼此相爱，因为爱是出于天主；凡有爱的，都是生于天主，也认识天主；	
4.8 	那不爱的，也不认识天主，因为天主是爱。	
4.9 	天主对我们的爱在这事上已显出来：就是天主把自己的独生子，打发到世界上来，好使我们借着他得到生命。	
4.10	爱就在于此：不是我们爱了天主，而是他爱了我们，且打发自己的儿子，为我们做赎罪祭。	
4.11	可爱的诸位，既然天主这样爱了我们，我们也应该彼此相爱。	
4.12	从来没有人瞻仰过天主；如果我们彼此相爱，天主就存留在我们内，他的爱在我们内才是圆满的。	
4.13	我们所以知道我们存留在他内，他存留在我们内，就是由于他赐给了我们的圣神。	
4.14	至于我们，我们却曾瞻仰过，并且作证：父打发了子来作世界的救主。	
4.15	谁若明认耶稣是天主子，天主就存在他内，他也存在天主内。	
4.16	我们认识了，且相信了天主对我们所怀的爱。天主是爱，那存留在爱内的，就存留在天主内，天主也存留在他内。	
4.17	我们内的爱得以圆满，即在于此：就是我们可在审判的日子放心大胆，因为那一位怎样，我们在这世界上也怎样。	
4.18	在爱内没有恐惧，反之，圆满的爱把恐惧驱逐于外，因为恐惧内含着惩罚；那恐惧的，在爱内还没有圆满。	
4.19	我们应该爱，因为天主先爱了我们。	
4.20	假使有人说：我爱天主，但他却恼恨自己的弟兄，便是撒谎的；因为那不爱自己所看见的弟兄的，就不能爱自己所看不见的天主。	
4.21	我们从他蒙受了这命令：那爱天主的，也该爱自己的弟兄。	
		
		
5.0t	第五章	
		
5.1t	信德是得胜世界的力量和得永生的根基　	
5.1 	凡信耶稣为默西亚的，是由天主所生的；凡爱生他之父的，也必爱那由他所生的。	
5.2 	几时我们爱天主，又遵行他的诫命，由此知道我们真爱天主的子女。	
5.3 	原来爱天主，就是遵行他的诫命，而他的诫命并不沉重，	
5.4 	因为凡是由天主所生的，必得胜世界；得胜世界的胜利武器，就是我们的信德。	
5.5 	谁是得胜世界的呢？不是那信耶稣为天主子的人吗？	
5.6 	这位就是经过水及血而来的耶稣基督，他不但以水，而且也是以水及血而来的；并且有圣神作证，因为圣神是真理。	
5.7 	原来作证的有三个：	
5.8 	就是圣神，水及血，而这三个是一致的。	
5.9 	人的证据，我们既然接受，但天主的证据更大，因为天主的证据就是他为自己的子作证。	
5.10	那信天主子的，在自己内就怀有这证据；那不信天主的，就是以天主为撒谎者，因为他不信天主为自己的子所作的证。	
5.11	这证据就是天主将永远的生命赐给了我们，而这生命是在自己的子内。	
5.12	那有子的，就有生命；那没有天主子的，就没有生命。	
		
5.13t	结论　信友的崇高地位　	
5.13	我给你们这些信天主子名字的人，写了这些事，是为叫你们知道：你们已获有永远的生命。	
5.14	我们对天主所怀的依恃之心就是：如果我们按他的旨意求什么，他必俯听我们。	
5.15	我们既然知道：我们不拘向他祈求什么，他会俯听我们，我们也知道向他所祈求的，必要得到。	
5.16	谁若看见自己的弟兄犯了不至于死的罪，就应当祈求，天主必赏赐他生命：这是为那些犯不至于死的罪人而说的；然而有的罪却是至于死的罪，为这样的罪，我不说要人祈求。	
5.17	任何的不义都是罪过，但也有不至于死的罪过。	
5.18	我们知道：凡由天主生的，就不犯罪过；而且由天主生的那一位必保全他，那恶者不能侵犯他。	
5.19	我们知道我们属于天主，而全世界却屈服于恶者。	
5.20	我们也知道天主子来了，赐给了我们理智，叫我们认识那真实者；我们确实是在那真实者内，即在他的子耶稣基督内，他即是真实的天主和永远的生命。	
5.21	孩子们，你们要谨慎，远避偶像！	
		
