1.-2t	格林多前书	
3.2 	我给你们喝的是奶，并非饭食，因为那时你们还不能吃，就是如今你们还是不能，	
3.3 	因为你们还是属血肉的人。你们中既有嫉妒和纷争，你们岂不还是属血肉的人，按照俗人的样子行事吗﹖	
3.4 	这人说：「我属保禄」，那人说：「我属阿颇罗」，这样，你们岂不成了俗人吗﹖	
		
3.5t	传道员是天主的仆役　	
3.5 	其实，阿颇罗算什么﹖保禄算什么﹖不过只是仆役，使你们获得信仰，每人照主所指派的而工作：	
3.6 	我栽种，阿颇罗浇灌，然而使之生长的，却是天主。	
3.7 	可见，栽种的不算什么，浇灌的也不算什么，只在那使之生长的天主。	
3.8 	所以栽种的和浇灌的原是一事，不过各人将要按自己的劳苦领受自己的赏报。	
3.9 	我们原是天主主助手，你们是天主的庄田，是天主的建筑物。	
		
3.10t	传道员只应受天主的裁判　	
3.10	按照天主所赐给我的恩宠，我好象一个精明的建筑师，奠定了根基，其他的人在上面建筑；但是各人应该注意怎样在上面建筑，	
3.11	因为除已奠立了的根基，即耶稣基督外，任何人不能再奠立别的根基。	
3.12	人可用金、银、宝石、木、草、禾秸，在这根基上建筑，	
3.13	但各人的工程将来总必显露出来，因为主的日子要把它揭露出来；原来主的日子要在火中出现，这火要试验各人的工程怎样。	
3.14	谁在那根基上所建筑的工程，若存得住，他必要获得赏报；	
3.15	但谁的工程若被焚毁了，他就要受到损失，他自己固然可得救，可是仍像从火中经过的一样。	
		
3.16t	信友是天主的宫殿　	
3.16	你们不知道，你们是天主的宫殿，天主圣神住在你们内吗﹖	
3.17	谁若毁坏天主的宫殿，天主必要毁坏他，因为天主的宫殿是圣的，这宫殿就是你们。	
3.18	谁也不要自欺：你们中若有人在今世自以为是有智慧的人，该变为一个愚妄的人，为成一个有智慧的人，	
3.19	因为这世界的智慧在天主前原是愚昧。经上记载说：『他以智者的计谋捕捉智者；』	
3.20	又说：『上主认透智者的思念，原来都是虚幻。』	
3.21	所以，谁也不可拿人来夸口，因为一切都是你们的：	
3.22	无论是保禄，或是阿颇罗，或是刻法，或是世界，或是生命，或是死亡，或是现在，或是将来，一切都是你们的；	
3.23	你们却是基督的，而基督是天主的。	
		
		
4.0t	第四章	
		
4.1t	宗徒只属天主审断　	
4.1 	这样说来，人当以为我们为基督的服务员和天主奥秘的管理人。	
4.2 	说到管理人，另外要求于衪的，就是要他表现忠信。	
4.3 	至于我，或受你们的审断，或受人间法庭的审断，为我都是极小的事，就连我自己也不审断自己，	
4.4 	因为我虽然自觉良心无愧，但我决不因此就自断为义人；那审断我的只是主。	
4.5 	所以，时候未到，你们什么也不要判断，只等主来，衪要揭发暗中的隐情，且要显露人心的计谋：那时，各人才可由天主那里获得称誉。	
		
4.6t	宗徒在世间的遭遇　	
4.6 	弟兄们，我为了你们的缘故，把这些事贴在我自己和阿颇罗身上，好叫你们跟我们学习「不可越过所记载的，」免得有人自大，高看这个，鄙视那个。	
4.7 	谁使你异于别人呢﹖你有什么不是领受的呢﹖既然是领受的，为什么你还夸耀，好象不是领受的呢﹖	
4.8 	你们已经饱满了，已经富足了，已无需我们，自己可为王了；恨不得你们真为了王，好叫我们与你们一同为王!	
4.9 	我以为天主把我们作宗徒的列在最后的一等，好象被判死刑的人，因为我们成了供世界、天使和世人观赏的一场戏剧。	
4.10	我们为了基督成了愚妄的人，你们在基督内却成了聪明的人；我们软弱，你们却强壮；你们受尊敬，我们受羞辱。	
4.11	直到此时此刻，我们仍是忍饥受渴，衣不蔽体，受人拳打，居无定所，	
4.12	并且亲手劳碌操作。被人咒骂，我们就祝福；被人迫害，我们就忍受；	
4.13	被人诽谤，我们就劝戒；直到现在，我们仍被视为世上的垃圾和人间的废物。	
		
4.14t	劝格林多人效法自己　	
4.14	我写这些话，并不是为叫你们羞愧，而是为劝告你们，就如同劝告我所亲爱的孩子一样，	
4.15	因为你们纵然在基督内有上万的教师，但为父亲的却不多，因为是我在基督耶稣内藉福音生了你们。	
4.16	所以我求你们：你们要效法我!	
4.17	为了这个缘故，我打发弟茂德到你们那里去，他在主内是我亲爱和忠信的孩子，他要使你们想起我在基督内怎样行事，和我到处在各教会内所教导的。	
		
4.-1t	斥罪行	
		
4.18t	预告不久将亲往巡视　	
4.18	有些人以为我不会到你们那里去，就傲慢自大；	
4.19	其实，主若愿意，我必很快就要到你们那里去；并且我所要知道的，并不是那些傲慢自大者的言辞，而是他们的能力，	
4.20	因为天主的国并不在于言辞，而是在于德能。	
4.21	你们愿意怎样呢﹖愿意我带着棍棒到你们那里去呢﹖还是怀着慈爱和温柔的心情到你们那里去呢﹖	
		
		
5.-1t	斥罪行	
		
5.0t	第五章	
		
5.1t	严斥格林多人的乱伦行为　	
5.1 	我确实听说在你们中间有淫乱的事，且是这样的淫乱，连在外教人中也没有过，以至有人竟同自己父亲的妻子姘居。	
5.2 	你们竟还傲慢自大!你们岂不更该悲哀，把行这事的人从你们中间除去吗﹖	
5.3 	至于我，身体虽不在你们那里，但心神却与你们同在，我好象亲自在你们中间一样，因我们的主耶稣的名，已判决了行这样事的人；	
5.4 	当你们聚会时，我的心神也与你们同在，以我们的主耶稣的大能，	
5.5 	将这样的人交与撒殚，摧毁他的肉体，为使他的灵魂在主【耶稣】的日子上可以得救。	
		
5.6t	基督徒应有的圣洁生活　	
5.6 	你们自夸实在不当；你们岂不知道少许的酵母，能使整个面团发酵吗﹖	
5.7 	你们应把旧酵母除净，好使你们成为新和的面团，正如你们原是无酵饼一样，因为我们的逾越节羔羊基督，已被祭杀作了牺牲。	
5.8 	所以我们过节，不可用旧酵母，也不可用奸诈和邪恶的酵母，而只可用纯洁和真诚的无酵饼。	
		
5.9t	应与公开的罪人断绝来往　	
5.9 	我先前在信上给你们写过：不可与淫荡的人交结，	
5.10	这话并不是泛指这世上所有淫荡的人，或贪婪的人，或勒索人的人，或拜偶像的人；若是这样，你们就非出离这世界不可。	
5.11	其实，我写给你们的，是说：若有称为弟兄的，是淫荡的，或贪婪的，或拜偶像的，或辱骂人的，或酗酒的，或勒索人的，你们就不要同他交结；并且同这样的人，连一起吃饭也不可。	
5.12	审断教外的人，关我何事﹖教内的人，岂不该由你们审断吗﹖	
5.13	教外的人，自有天主审断他们。你们务要把那坏人从你们中间铲除!	
		
		
6.0t	第六章	
		
6.1t	信友争讼应在教会内求解决　	
6.1 	你们中间有人与另一人有了争讼，怎么竟敢在不义的人面前起诉，而不在圣者面前呢﹖	
6.2 	你们不知道圣者将要审判世界吗﹖如果世界要受你们审判，难道你们不配审判一些小事吗3 你们不知道我们连天使都要审判吗﹖更何况日常生活的事呢﹖	
6.4 	所以，若你们在日常生活上有了应审判的事，就请那些在教会内受轻视的人来裁判罢!	
6.5 	我说这话，是为叫你羞愧，难道你们中间竟没有一个有智慧的人，能在自己弟兄中间分辨是非，	
6.6 	以致弟兄与弟兄互相控告，且在无信仰的人面前控告﹖	
		
6.7t	行不义的人不得入天国　	
6.7 	你们彼此有诉讼的事，就各方面讲，已是你们的缺点了；那么你们为什么不宁愿受点屈，为什么不宁愿吃点亏﹖	
6.8 	你们反而使人受屈，使人吃亏，况且这还是施于弟兄!	
6.9 	你们岂不知道，不义的人不得承继天主的国吗﹖你们不要自欺：无论是淫荡的、或拜偶像的、犯奸淫的、作娈童的、好男色的、	
6.10	偷窃的、贪婪的、酗酒的、辱骂人的、勒索人的，都不能承继天主的国。	
6.11	你们中从前也有这样的人，但是你们因着『我们的』主耶稣基督之名，并因我们天主的圣神，已经洗净了，已经祝圣了，已经成了义人。	
		
6.12t	信友的身体是基督的妙身和圣神的宫殿　	
6.12	「凡事我都可行，」但不全有益；「凡事我都可行，」但我却不受任何事物的管制。	
6.13	「食物是为肚腹，肚腹是为食物，」但天主把这两样都要废弃；人的身体不是为淫乱，而是为主，主也是为身体。	
6.14	天主既使主复活了，衪也要以自己的能力使我们复活。	
6.15	你们不知道你们的身体是基督的肢体吗﹖我岂可拿基督的肢体作为娼妓的肢体﹖断乎不可!	
6.16	你们岂不知道那与娼妓结合的，便是与她成为一体吗﹖因为经上说：『二人成为一体。』	
6.17	但那与主给合的，便是与衪成为一神。	
6.18	你们务要远避邪淫。人无论犯的是什么罪，都是在身体以外，但是，那犯邪淫的，却是冒犯自己的身体。	
6.19	难道你们不知道，你们的身体是圣神的宫殿，这圣神是你们由天主而得的，住在你们内，而你们已不是属于自己的了吗﹖	
6.20	你们原是用高价买来的，所以务要用你们的身体光荣天主。	
		
		
7.-1t	答所问	
		
7.0t	第七章	
		
7.1t	当怎样度婚姻生活　	
7.1 	论到你们信上所写的事，我认为男人不亲近女人倒好。	
7.2 	可是，为了避免淫乱，男人当各有自己的妻子，女人当各有自己的丈夫。	
7.3 	丈夫对妻子该尽他应尽的义务，妻子对丈夫也是如此。	
7.4 	妻子对自己的身体没有主权，而是丈夫有；同样，丈夫对自己的身体也没有主权，而是妻子有。	
7.5 	你们切不要彼此亏负，除非两相情愿，暂时分房，为专务祈祷；但事后仍要归到一处，免得撒殚因你们不能节制，而诱惑你们。	
7.6 	我说这话，原是出于宽容，并不是出于命令。	
7.7 	我本来愿意众人都如同我一样，可是，每人都有他各自得自天主的恩宠：有人这样，有人那样。	
7.8 	我对那些尚未结婚的人，特别对寡妇说：如果她们能止于现状，像我一样，为她们倒好。	
7.9 	但若她们节制不住，就让她们婚嫁，因为与其欲火中烧，倒不如结婚为妙。	
7.10	至于那些已经结婚的，我命令──其实不是我，而是主命令：妻子不可离开丈夫；	
7.11	若是离开了，就应该持身不嫁，或是仍与丈夫和好；丈夫也不可离弃妻子。	
		
7.12t	信教前的婚姻在一定情形下可以解除　	
7.12	对其余的人，是我说，而不是主说：倘若某弟兄有不信主的妻子，妻子也同意与他同居，就不应该离弃她；	
7.13	倘若某妇人有不信主的丈夫，丈夫也同意与她同居，就不应该离弃丈夫，	
7.14	因为不信主的丈夫因妻子而成了圣洁的，不信主的妻子也因弟兄而成了圣洁的；不然，你们的儿女就是不洁的，其实他们却是圣洁的。	
7.15	但若不信主的一方要离去，就由他离去；在这种情形之下，兄弟或姐妹不必受拘束，天主召叫了我们原是为平安。	
7.16	因为妳这为妻子的，怎么知道妳能救丈夫呢﹖或者，你这为丈夫的，怎么知道你能救妻子呢﹖	
		
7.17t	信友应安于身份　	
7.17	此外，主怎样分给了各人，天主怎样召选了各人，各人就该怎样生活下去：这原是我在各教会内所训示的。	
7.18	有人受割损后蒙召的吗﹖他就不该掩盖割损的记号；有人是未受割损蒙召的吗﹖他就不该受割损。	
7.19	受割损算不得什么，不受割损也算不得什么，只该遵守天主的诫命。	
7.20	各人在什么身份上蒙召，就该安于这身份。	
7.21	你是作奴隶蒙召的吗﹖你不要介意，而且即使你能成为自由人，你也宁要守住你原有的身份，	
7.22	因为作奴隶而在主内蒙召的，就是主所释放的人；同样，那有自由而蒙召的人，就是基督的奴隶。	
7.23	你们是用高价买来的，切不要做人的奴隶。	
7.24	弟兄们，各人在什么身份上蒙召，就在天主前安于这身份罢!	
		
7.25t	宗徒推荐童贞生活　	
7.25	论到童身的人，我没有主的命令，只就我蒙主的仁慈，作为一个忠信的人，说出我的意见：	
7.26	为了现时的急难，依我看来，为人这样倒好。	
7.27	你有妻子的束縳吗﹖不要寻求解脱；你没有妻子的束縳吗﹖不要寻求妻室。	
7.28	但是你若娶妻，你并没有犯罪，童女若出嫁，也没有犯罪；不过这等人要遭受肉身上的痛苦，我却愿意你们免受这些痛苦。	
7.29	弟兄们，我给你们说：时限是短促的，今后有妻子的，要像没有一样；	
7.30	哭泣的，要像不哭泣的；欢乐的，要像不欢乐的；购买的，要像一无所得的；	
7.31	享用这世界的，要像不享用的，因为这世界的局面正在逝去。	
7.32	我愿你们无所挂虑：没有妻子的，所挂虑的是主的事，想怎样悦乐主；	
7.33	娶了妻子的，所挂虑的是世俗的事，想怎样悦乐妻子：这样他的心就分散了。	
7.34	没有丈夫的妇女和童女，所挂虑的是主的事，一心使身心圣洁；至于已出嫁的，所挂虑的是世俗的事，想怎样悦乐丈夫。	
7.35	我说这话，是为你们的益处，并不是要设下圈套陷害你们，而只是为叫你们更齐全，得以不断地专心事主。	
7.36	若有人以为对自己的童女待的不合宜，怕她过了韶华年龄，而事又在必行，他就可以随意办理，让她们成亲，不算犯罪。	
7.37	但是谁若心意坚定，没有不得已的事，而又能随自己的意愿处置，这样心里决定了要保存自己的童女，的确做的好；	
7.38	所以，谁若叫自己的童女出嫁，作得好；谁若不叫她出嫁，作得更好。	
		
7.39t	寡妇的问题　	
7.39	丈夫活着的时候，妻子是被束縳的；但如果丈夫死了，她便自由了，可以随意嫁人，只要是在主内的人。	
7.40	可是，按我的意见，如果她仍能这样守下去，她更为有福：我想我也有天主的圣神。	
		
		
8.0t	第八章	
		
8.1t	爱德比知识更有价值	
8.1 	至论祭邪神的肉，我们知道「我们都有知识。」但知识只会使人傲慢自大，爱德才能立人。	
8.2 	若有人自以为知道什么，这是他还不知道他该怎样知道。	
8.3 	然而，谁若爱天主，这人才为天主所认识。	
		
8.4t	祭肉本无好坏之别　	
8.4 	至论吃祭邪神的肉，我们知道：世上并没有什么邪神；也知道：除了一个天主外，没有什么神。	
8.5 	因为虽然有称为神的，或在天上，或在地下，就如那许多「神」和许多「主」，	
8.6 	可是为我们只有一个天主，就是圣父，万物都出于他，而我们也归于他；也只有一个主，就是耶稣基督，万物借他而有，我们也借他而有。	
		
8.7t	应顾及软弱的弟兄　	
8.7 	不过这种知识不是人人都有的；有些人直到如今因拜惯了邪神，以为所吃的是祭邪神的肉，因为他们的良心软弱，就受了玷污。	
8.8 	其实，食物不能使我们取悦于天主：我们不吃也无损，吃也无益。	
8.9 	但你们要慬慎，免得你们这自由的抉择，成了软弱人的绊脚石。	
8.10	因为，如果有人看见你这有知识的，在邪神庙里坐席，他的良心若是软弱，岂不受到鼓励而去吃祭邪神的肉吗﹖	
8.11	那么，这软弱的人，基督为他而死的弟兄，也就因了你的知识而丧亡!	
8.12	你们这样得罪了弟兄们，伤了他们软弱的良心，就是得罪基督。	
9.13	为此，倘若食物使我的弟兄跌倒，我就永远不吃肉，免得叫我的弟兄跌倒。	
		
		
9.0t	第九章	
		
9.1t	保禄证明自己享有宗徒的权利　	
9.1 	我不是自由的吗﹖我不是宗徒吗﹖我不是见过我们的主耶稣吗﹖你们不是我在主内所建的工程吗﹖	
9.2 	纵然我为别人不是宗徒，为你们我总是，因为你们在主内正是我任宗徒职分的印证。	
9.3 	这也就是我对那些质问我的人的答辨。	
9.4 	难道我们没有取得饮食的权利吗﹖	
9.5 	难道我们没有权利携带一位为姐妹的妇人，如其它的宗徒及主的弟兄并刻法一样吗﹖	
9.6 	或者，惟有我和巴尔纳伯没有不劳作的权利吗﹖	
9.7 	谁当兵而自备粮饷呢﹖谁种植葡萄园而不吃它的出产呢﹖或者，谁牧放羊群而不吃羊群的奶呢﹖	
9.8 	我说这话，难道是按人之常情﹖法律不是也这样说吗﹖	
9.9 	原来梅瑟法律上记载说：『牛在打埸的时候，不可笼住它的嘴。』难道天主所关心的是牛吗﹖	
9.10	岂不是完全为我们说的吗﹖的确是为我们记载的，因为犁地的当怀着希望去犁，打场的也当怀着有份的希望去打场。	
9.11	若是我们给你们散播神圣的恩惠，而收割你们那属物质的东西，还算什么大事﹖	
9.12	如果别人在你们身上尚且分享权利，我们岂不更该吗﹖可是我们没有用过这权利，反倒忍受了一切，免得基督的福音受到妨碍。	
9.13	你们岂不知道为圣事服务的，就靠圣殿生活；供职于祭坛的，就分享祭坛上的物品吗﹖	
9.14	主也这样规定了，传福音的人，应靠福音而生活。	
		
9.15t	放弃权利为传福音　	
9.15	可是，这些权利我一样也没有用过；我写这话，并非要人这样对待我，因为我宁愿死，也不愿让人使我这夸耀落了空。	
9.16	我若传福音，原没有什么可夸耀的，因为这是我不得已的事；我若不传福音，我就有祸了。	
9.17	假使我自愿作这事，便有报酬；若不自愿，可是责任已委托给我。	
9.18	这样看来，我的报酬是什么呢﹖就是传布福音时白白地去传，不享用我在传福音上所有的权利。	
9.19	我原是自由的，不属于任何人；但我却使自己成了众人的奴仆，为赢得更多的人。	
9.20	对犹太人，我就成为犹太人，为赢得犹太人；对于在法律下的人，我虽不在法律下，仍成为在法律下的人，为赢得那在法律下的人；	
9.21	对那些法律以外的人，我就成为法律以外的人，为赢得那些法律以外的人；其实，我并不在天主的法律以外，而是在基督的法律之下。	
9.22	对软弱的人，我就成为软弱的，为赢得那软弱的人；对一切人，我就成为一切，为的是总要救些人。	
9.23	我所行的一切，都是为了福音，为能与人共沾福音的恩许。	
		
9.24t	克己苦身为使自己得救　	
9.24	你们岂不知道在运动埸上赛跑的，固然都跑，但只有一个得奖赏吗﹖你们也应该这样跑，好能得到奖赏。	
9.25	凡比武竞赛的，在一切事上都有节制；他们只是为得到可朽坏的花冠，而我们却是为得到不朽坏的花冠。	
9.26	所以我总是这样跑，不是如同无定向的；我这样打拳，不是如同打空气的；	
9.27	我痛击我身，使它为奴，免得我给别人报捷，自己反而落选。	
		
		
10.0t	第十章	
		
10.1t	以色列人的历史可资鉴戒　	
10.1 	弟兄们，我愿意提醒你们，我们的祖先都曾在云柱下，都从海中走过，	
10.2 	都曾在云中和海中受了洗而归于梅瑟，	
10.3 	都吃过同样的神粮，	
10.4 	都饮过同样的神饮；原来他们所饮的，是来自伴随他们的神盘石：那盘石是基督。	
10.5 	可是，他们中多数不是天主所喜悦的，因而倒毙在旷野里了。	
10.6 	这些事都是我们的鉴戒，为叫我们不贪恋恶事，就如他们贪恋过一样。	
10.7 	你们也不可崇拜邪神，就如他们中有些人敬拜过一样，如同经上记载说：『百姓坐下吃喝，起来玩乐。』	
10.8 	我们也不可淫乱，就如他们中有些人淫乱过，一天内就倒毙了二万三千人。	
10.9 	我们也不可试探主，就如他们中有些人试探过，为蛇所歼灭。	
10.10	你们也不可抱怨，就如他们中有些人抱怨过，为毁灭者所消灭。	
10.11	发生在他们身上的这一切事，都是为给人作鉴戒，并记录了下来，为劝戒我们这些生活在世末的人。	
10.12	所以，凡自以为站得稳的，务要小心，免得跌倒。	
10.13	你们所受的试探，无非是普通人所能受的试探，天主是忠信的，他决不许你们受那超过你们能力的试探；天主如加给人试探，也必开一条出路，叫你们能够承担。	
		
10.14t	凡结合于主的不得再参与教外的祭献　	
10.14	为此，我亲爱的诸位，你们要逃避崇拜邪神的事。	
10.15	我想我是对明白人说话；你们自己审断我所说的罢!	
10.16	我们所祝福的那祝福之杯，岂不是共结合于基督的血吗﹖我们所擘开的饼，岂不是共结合于基督的身体吗﹖	
10.17	因为饼只是一个，我们虽多，只是一个身体，因为我们众人都共享这一个饼。	
10.18	你们且看按血统做以色列的，那些吃祭物的，不是与祭坛有分子的人吗﹖	
10.19	那么，我说什么呢﹖是说祭邪神的肉算得什么吗﹖或是说邪神算得什么吗﹖	
10.20	不是，我说的是：外教人所祭祀的，是祭祀邪魔，而不是祭祀真神。我不愿意你们与邪魔有分子。	
10.21	你们不能喝主的杯，又喝邪魔的杯；你们不能共享主的筵席，又共享邪魔的筵席。	
10.22	难道我们要惹主发怒吗﹖莫非我们比他还强吗﹖	
		
10.23t	吃祭肉的规则　	
10.23	「凡事都可行，」但不全有益；「凡事都可行，」但不全助人建树。	
10.24	人不要只求自己的利益，也该求别人的利益。	
10.25	凡在肉市上买来的，为了良心的缘故，不必查问什么，你们只管吃罢!	
10.26	『因为大地和其中的万物，属于上主。』	
10.27	若有一个无信仰的人宴请你们，你们也愿意去，凡给你们摆上的，为了良心的缘故，不必查问什么，你们只管吃罢!	
10.28	但若有人向你们说：「这是祭过神的肉，」为了那指点的人，和为了良心的原故，你们就不可吃。	
10.29	我说的良心不是自己的，而是他人的良心。那么，我的自由为什么要受他人良心的束缚呢﹖	
10.30	我若以谢恩之心参加，为什么我要因谢恩之物而受人责骂呢﹖	
10.31	所以，你们或吃或喝，或无论作什么，一切都要为光荣天主而作。	
10.32	你们不可成为犹太人，或希腊人，或天主教会跌倒的原因，	
10.33	但要如我一样，在一切事上使众人喜欢，不求我自己的利益，只求大众的利益，为使他们得救。	
		
		
11.0t	第十一章	
11.1 	你们该效法我，如我效法了基督一样。	
		
11.2t	妇女集会时当蒙首帕　	
11.2 	我称赞你们在一切事上记念我，并照我所传授给你们的，持守那些传授。	
11.3 	但我愿意你们知道：男人的头是基督，而女人的头是男人，基督的头却是天主。	
11.4 	凡男人祈祷或说先知话，若蒙着头，就是羞辱自己的头；	
11.5 	但凡女人祈祷或说先知话，若不蒙头，就是羞辱自己的头，因为她跟那剃了头发的完全一样。	
11.6 	女人若不蒙头，就让她剪发罢!但若剪发或剃头为女人算是耻辱，她就该蒙头!	
11.7 	男人当然不该蒙头，因为他是天主的肖像和光荣，而女人却是男人的光荣：	
11.8 	原来不是男人出于女人，而是女人出于男人；	
11.9 	而且男人不是为女人造的，女人乃是为男人造的。	
11.10	为此，女人为了天使的缘故，在头上应该有属于权下的表记，	
11.11	然而在主内，女不可无男，男也不可无女，	
11.12	因为就如女人是出于男人，同样男人也是藉女人而生；但一切都出于天主。	
11.13	你们自己评断罢!女人不蒙头向天主祈祷相宜吗﹖	
11.14	不是本性也教训你们：男人若蓄发，为他就是羞辱，	
11.15	但是女人若蓄发，为她倒是光荣吗﹖因为头发是给她当作首帕的。	
11.16	若有人想强辩，那么他该知道：我们没有这样的风俗，天主的各教会也没有。	
		
11.17t	谴责举行主宴之不恭　	
11.17	我要嘱咐你们，并不称赞你们，因为你们聚会不是为得益，而是为受害。	
11.18	首先，我听说你们聚会时，你们中间有分裂的事，我也有几分相信，	
11.19	因为在你们中间原免不了分党分派的事，好叫那些经得起考验的人，在你们中显出来。	
11.20	你们聚集在一处，并不是为吃主的晚餐，	
11.21	因为你们吃的时候，各人先吃自己的晚餐，甚至有的饥饿，有的却醉饱。	
11.22	难道你们没有家可以吃喝吗﹖或是你们想轻视天主的教会，叫那些没有的人羞惭吗﹖我可给你们说什么﹖要我称赞你们吗﹖在这事上，我决不称赞。	
		
11.23t	主的晚餐是记念主的死　	
11.23	这是我从主所领受的，我也传授给你们了：主耶稣在他被交付的那一夜，拿起饼来；	
11.24	祝谢了，擘开说：「这是我的身体，为你们而舍的，你们应这样行，为记念我。」	
11.25	晚餐后，又同样拿起杯来说：「这杯是用我的血所立的新约，你们每次喝，应这样行，为记念我。」	
11.26	的确，直到主再来，你们每次吃这饼，喝这杯，你们就是宣告主的死亡。	
		
11.27t	冒行圣体晚餐必遭天主降罚　	
11.27	为此，无论谁，若不相称地吃主的饼，或喝主的杯，就是干犯主体和主血的罪人。	
11.28	所以人应省察自己，然后才可以吃这饼，喝这杯。	
11.29	因为那吃喝的人，若不分辨主的身体，就是吃喝自己的罪案。	
11.30	为此，在你们中有许多有病和软弱的人，死的也不少。	
