1.-2t	迦拉达书	
3.1t	成义是由于信德　	
3.1 	无知的迦拉达人啊！被钉在十字架上的耶稣基督，已活现地摆在你们的眼前，谁又迷惑了你们呢﹖	
3.2 	我只愿向你们请教这一点：你们领受了圣神，是由于遵行法律呢﹖还是由于听信福音呢﹖	
3.3 	你们竟这样无知吗﹖你们以圣神开始了，如今又愿以肉身结束吗﹖	
3.4 	你们竟白白受了这么多的苦吗﹖果然是白白地吗﹖	
3.5 	天主赐与你们圣神，并在你们中间施展了德能，是因为你们遵行法律呢﹖还是因为你们听信福音呢﹖	
3.6 	经上这样记载说：『亚巴郎信了天主，天主就以此算为他的正义。』	
3.7 	为此你们该晓得：具有信德的人，才是亚巴郎的子孙。	
3.8 	圣经预见天主将使异民凭信德成义，就向亚巴郎预报福音说：『万民都要因你获得祝福。』	
3.9 	可见那些具有信德的人，与有信德的亚巴郎同蒙祝福。	
		
3.10t	基督废弃了奴隶性的法律　	
3.10	反之，凡是依恃遵行法律的，都应受咒骂，因为经上记载说：『凡不持守律书上所记载的一切，而依照遵行的，是可咒骂的。』	
3.11	所以很明显的，没有一个人能凭法律在天主前成义，因为经上说：『义人因信德而生活。』	
3.12	但是法律并非以信德为本，只说：『遵行法令的，必因此获得生命。』	
3.13	但基督由法律的咒骂中赎出了我们，为我们成了可咒骂的，因为经上记载说：『凡被悬在木架上的，是可咒骂的。』	
3.14	这样天主使亚巴郎所蒙受的降福，在基督耶稣内普及于万民，并使我们能借着信德领受所应许的圣神。	
3.15	弟兄们！就常规来说：连人的遗嘱，如果是正式成立的，谁也不得废除或增订。	
3.16	那么，恩许是向亚巴郎和他的后裔所许诺的，并没有说「后裔们」，好象是向许多人说的，而是向一个人，即「你的后裔」，就是指基督。	
3.17	我是说：天主先前所正式立定的誓约，决不能为四百三十年以后成立的法律所废除，以致使恩许失效。	
3.18	如果承受产业是由于法律，就已不是由于恩许；但天主是由于恩许把产业赐给了亚巴郎。	
3.19	那么，为什么还有法律呢﹖它是为显露过犯而添设的，等他所恩许的后裔来到，它原是借着天使，经过中人的手而立定的。	
3.20	可是如果出于单方，就不需要中人了，而天主是由单方赐与了恩许。	
3.21	那么，法律相反天主的恩许吗﹖绝对不是。如果所立定的法律赐与人生命，正义就的确是出于法律了。	
3.22	但是圣经说过：一切人都被禁锢在罪恶权下，好使恩许借着对基督耶稣的信仰，归于相信的人。	
3.23	在「信仰」尚未来到以前，我们都被禁锢在法律的监守之下，以期待「信仰」的出现。	
4.24	这样，法律就成了我们的启蒙师，领我们归于基督，好使我们由于信仰而成义。	
3.25	但是「信仰」一到，我们就不再处于启蒙师权下了。	
3.26	其实你们众人都借着对基督耶稣的信仰，成了天主的子女，	
3.27	因为你们凡是领了洗归于基督的，就是穿上了基督：	
3.28	不再分犹太人或希腊人，奴隶或自由人，男人或女人，因为你们众人在基督耶稣内已成了一个。	
3.29	如果你们属于基督，那么，你们就是亚巴郎的后裔，就是按照恩许作承继的人。	
		
		
4.0t	第四章	
		
4.1t	宠爱使人为天主的子女　	
4.1 	再说：承继人几时还是孩童，虽然他是一切家业的主人，却与奴隶没有分别，	
4.2 	仍属于监护人和代理人的权下，直到父亲预定的期限。	
4.3 	同样，当我们以前还作孩童的时候，我们是隶属于今世的蒙学权下；	
4.4 	但时期一满，天主就派遣了自己的儿子来，生于女人，生于法律之下，	
4.5 	为把在法律之下的人赎出来，使我们获得义子的地位。	
4.6 	为证实你们确实是天主的子女，天主派遣了自己儿子的圣神，到我们心内喊说：「阿爸，父啊！」	
4.7 	所以你已不再是奴隶，而是儿子了；如果是儿子，赖天主的恩宠，也成了承继人。	
		
4.8t	接受法律是再愿为奴　	
4.8 	当你们还不认识天主的时候，服事了一些本来不是神的神；	
4.9 	但如今你们认识了天主，更好说为天主所认识；那么，你们怎么又再回到那无能无用的蒙学里去，情愿再作他们的奴隶呢﹖	
4.10	你们竟又谨守某日、某月、某时、某年！	
4.11	我真为你们担心，怕我白白地为你们辛苦了。	
		
4.12t	劝迦拉达人不要受人愚弄　	
4.12	弟兄们！我恳求你们要象我一样，因为我曾一度也象你们一样。你们一点也没有亏负过我。	
4.13	你们知道：当我初次给你们宣讲福音时，正当我身患重病，	
4.14	虽然我的病势为你们是个试探，你们却没有轻看我，也没有厌弃我，反接待我有如一位天主的天使，有如基督耶稣。	
4.15	那么，你们当日所庆幸的在那里呢﹖我敢为你们作证：如若可能，你们那时也会把你们的眼睛挖出来给我。	
4.16	那么，只因我给你们说实话，就成了你们的仇人吗﹖	
4.17	那些人对你们表示关心，并不怀好意；他们只是愿意使你们与我隔绝，好叫你们也关心他们。	
4.18	受人关心固然是好的，但应怀好意，且该常常如此，并不单是我在你们中间的时候。	
4.19	我的孩子们！我愿为你们再受产痛，直到基督在你们内形成为止。	
4.20	恨不得我现今就在你们跟前，改变我的声调，因为我对你们实在放心不下。	
		
4.21t	基督徒才是自由的子女　	
4.21	你们愿意属于法律的，请告诉我：你们没有听见法律说什么吗﹖	
4.22	法律曾记载说：亚巴郎有两个儿子：一个生于婢女，一个生于自由的妇人。	
4.23	那生于婢女的，是按常例而生的；但那生于自由妇人的，却是因恩许而生的。	
4.24	这都含有寓意：那两个妇人是代表两个盟约：一是出于西乃山，生子为奴，那即是哈加尔──	
4.25	西乃山是在阿剌伯──这哈加尔相当于现在的耶路撒冷，因为耶路撒冷与她的子女同为奴隶。	
4.26	然而那属于天上的耶路撒冷却是自由的，她就是我们的母亲：	
4.27	诚如经上记载说：『不生育的石女，喜乐罢！未经产痛的女人，欢呼高唱罢！因为被弃者的子女比有夫者的子女还多。』	
4.28	弟兄们！你们象依撒格一样，是恩许的子女。	
4.29	但是，先前那按常例而生的怎样迫害了那按神恩而生的，如今还是这样。	
4.30	然而经上说了什么？『你将婢女和她的儿子赶走，因为婢女的儿子不能与自由妇人的儿子，一同承受家业。』	
4.31	所以，弟兄们，我们不是婢女的子女，而是自由妇人的子女。	
		
		
5.-1t	基督徒的正当生活	
		
5.0t	第五章	
		
5.1t	恩许的自由决不可放弃　	
5.1 	基督解救了我们，是为使我们获得自由；所以你们要站稳，不可再让奴隶的轭束缚住你们。	
5.2 	请注意，我保禄告诉你们：若你们还愿意受割损，基督对你们就没有什么益处。	
5.3 	我再向任何自愿受割损的人声明：他有遵守全部法律的义务。	
5.4 	你们这些靠法律寻求成义的人，是与基督断绝了关系，由恩宠上跌了下来。	
5.5 	至于我们，我们却是依赖圣神，由于信德，怀着能成义的希望，	
5.6 	因为在基督耶稣内，割损或不割损都算不得什么，唯有以爱德行事的信德，纔算什么。	
5.7 	以前你们跑得好！有谁拦阻了你们去追随真理呢﹖	
5.8 	这种劝诱决不是出自那召选你们的天主。	
5.9 	少许的酵母就能使整个面团发酵。	
5.10	我在主内信任你们，认为你们不会有什么别的心思；但那扰乱你们的人，不论他是谁，必要承受惩罚。	
5.11	至于我，弟兄们，如果我仍宣讲割损的需要，那我为什么还受迫害﹖若是这样，十字架的绊脚石就早已除去了。	
5.12	巴不得那些扰乱你们的人，将自己割净了!	
		
5.13t	自由是爱的表现　	
5.13	弟兄们，你们蒙召选，是为得到自由；但不要以这自由作为放纵肉欲的借口，惟要以爱德彼此服事。	
5.14	因为全部法律总括在这句话内：『爱你的近人如你自己』。	
5.15	但如果你们彼此相咬相吞，你们要小心，免得同归于尽。	
5.16	我告诉你们：你们若随圣神的引导行事，就决不会去满足本性的私欲，	
5.17	因为本性的私欲相反圣神的引导，圣神的引导相反本性的私欲：二者互相敌对，致使你们不能行你们所愿意的事。	
5.18	但如果你们随圣神的引导，就不在法律权下。	
5.19	本性私欲的作为是显而易见的：即淫乱、不洁、放荡、	
5.20	崇拜偶像、施行邪法、仇恨、竞争、嫉妒、忿怒、争吵、不睦、分党、	
5.21	妒恨、【醉酒、宴乐以及凶杀】，与这些相类似的事。我以前劝戒过你们，如今再说一次：做这种事的人，决不能承受天主的国。	
5.22	然而圣神的效果却是：仁爱、喜乐、平安、忍耐、良善、温和、忠信、	
5.23	柔和、节制：关于这样的事，并没有法律禁止。	
5.24	凡是属于耶稣基督的人，已把肉身同邪情和私欲钉在十字架上了。	
5.25	如果我们因圣神生活，就应随从圣神的引导而行事。不要贪图虚荣，不要彼此挑拨，互相嫉妒。	
		
		
6.0t	第六章	
		
6.1t	应彼此担待　	
6.1 	弟兄们，如果见一个人陷于某种过犯，你们既是属神的人，就该以柔和的心神矫正他；但你们自己要小心，免得也陷入诱惑。	
6.2 	你们应彼此协助背负重担，这样，你们就满全了基督的法律。	
6.3 	人本来不算什么，若自以为算什么，就是欺骗自己。	
6.4 	各人只该考验自己的行为，这样，对自己也许有可夸耀之处，但不是对别人夸耀，	
6.5 	因为各人要背负自己的重担。	
6.6 	学习真道的，应让教师分享自己的一切财物。	
		
6.7t	有其因必有其果　	
6.7 	你们切不要错了，天主是嘲笑不得的：人种什么，就收什么。	
6.8 	那随从肉情撒种的，必由肉情收获败坏；然而那随从圣神撒种的，必由圣神收获永生。	
6.9 	为此，我们行善不要厌倦；如果不松懈，到了适当的时节，必可收获。	
6.10	所以，我们一有机会，就应向众人行善，尤其应向有同样信德的家人。	
		
6.-1t	结论	
		
6.11t	十字架是保禄的夸耀　	
6.11	你们看，我亲手给你们写的是多么大的字！	
6.12	那些逼迫你们受割损的人，是想以外表的礼节来图人称赞，免得因基督的十字架遭受迫害；	
6.13	其实，他们虽然受了割损，却也不遵守法律；他们只是愿意你们受割损，为能因在你们的肉身上所行的礼仪而夸耀。	
6.14	至于我，我只以我们的主耶稣基督的十字架来夸耀，因为借着基督，世界于我已被钉在十字架上了；我于世界也被钉在十字架上了。	
6.15	其实，割损或不割损都算不得什么，要紧的是新受造的人。	
6.16	凡以此为规律而行的，愿平安与怜悯降在他们身上，即降在天主的新以色列身上！	
6.17	从今以后，我切愿没有人再烦扰我，因为在我身上，我带有耶稣的烙印。	
		
6.18t	祝福辞　	
6.18	弟兄们！愿我们的主耶稣基督的恩宠，常与你们的心灵同在！阿们。	
