1.-1t	献祭的礼仪(1-7)
4.28	当他一发觉自己犯了罪，就应为自己所犯的罪，奉献一只无瑕的母山羊作祭品；
4.29	先按手在赎罪祭牺牲的头上，后在宰杀全燔祭牺牲的地方，将赎罪祭牺牲宰了。
4.30	然后司祭用手指蘸些牲血，涂在全燔祭坛四角上；其余的血，都应倒在祭坛脚旁。
4.31	所有的脂肪像和平祭牺牲一样，都应取出；司祭应将这一切放在祭坛上焚烧，化为中悦上主的馨香。司祭如此为他赎了罪，他方可获得罪赦。
4.32	如果是奉献一只小绵羊做为赎罪祭牺牲，应献一只无瑕的母羊。
4.33	先按手在赎罪祭牺牲的头上，后在宰杀全燔祭牺牲的地方宰了，作为赎罪祭。
4.34	司祭用手指蘸些赎罪祭牺牲的血，涂在全燔祭坛四角上；其余的血，都应倒在祭坛脚旁。
4.35	所有的脂肪都应取出，有如由和平祭牺牲的小羊所取出的脂肪一样。司祭应将这一切放在祭坛上，与献给上主的火祭一同焚烧。司祭如此为他的罪行了赎罪礼，他方可获得罪赦。
	
5.0t	
	
5.1t	特殊赎罪祭
	
5.1	若有人听了诅咒的誓言，能为所见所知的事作证而不肯声明，就犯了罪，应负罪咎；
5.2	或有人误触了什么不洁之物，不论是不洁野兽的尸体，或是不洁家畜的尸体，或是不洁昆虫的尸体，而未发觉，以后发觉自己成为不洁的，因而有罪；
5.3	或有人误摸了人的不洁，任何能玷污人的不洁，而未发觉，以后发觉，就有了罪；
5.4	或有人出言轻易发了誓，或怀恶意，或怀善意，人无论在什么事上轻易发了誓，当时未发觉，而以后发觉自己在某些事上有了罪；
5.5	那么几时他发觉自己在上述某件事上有了罪，就该承认自己所犯的罪，
5.6	为赔补所犯的罪，应由羊群中取一只母羊或绵羊，或山羊，献给上主作赎罪祭，司祭应为他的罪行赎罪礼。
5.7	如果他的财力不足备办一只羊，为赔补所犯的罪，应献给上主两只班鸠或两只雏鸽：一只做为赎罪祭，一只做为全燔祭。
5.8	将它们交给司祭；司祭应先奉献那作赎罪祭的一只，掐住脖子扭断它的头，却不可分离；
5.9	然后取些赎罪祭牺牲的血，洒在祭坛壁上，其余的血都挤在祭坛脚旁：这是赎罪祭。
5.10	至于第二只：照全燔祭的仪式献作全蕃祭。司祭这样为他所犯的罪行赎罪礼，他方可获得罪赦。
5.11	如果他的财力连两只班鸠或两只雏鸽也不能备办，为赔补所犯的罪，应献十分之一「厄法」细面，作赎罪祭祭品，上面不可倒油，也不可放乳香，因为是赎罪祭。
5.12	将祭品交给司祭，司祭就取出一把面，放在祭坛上与献给上主的火祭一同焚烧，为获得记念：这是赎罪祭。
5.13	司祭这样为他所犯的罪过行赎罪礼，他方可获得罪赦。剩下的，如素祭一样，应归于司祭。」 
	
5.14t	赎过祭祭仪
	
5.14	上主训示梅瑟说：「
5.15	若有人有了过犯，不慎冒犯了上主的圣物，为赔补自己的过失，应从羊群中取一只无瑕的公绵羊，依照你的估价，按圣所的币制折合银子，献与上主作赎过祭。
5.16	为赔偿他对圣物所犯的过失，应还另加五分之一，交给司祭。司祭应用赎过祭的公绵羊为他行赎罪礼，他方可获得罪赦。
5.17	若有人犯了罪，不慎做了上主诫命所不许做的事，有了过犯，应负罪债，
5.18	他应照你的估价，从羊群中取一只无瑕的公绵羊，交给司祭做赎过祭。司祭这样为他不慎而误犯的过失，替他行赎罪礼，他才可获得罪赦：
5.19	这是赎过祭，是他应向上主献的赎过祭。」
5.20	上主训示梅瑟说：「
5.21	若有人犯了罪，冒犯了上主，因为在寄托物上，或抵押品上，或劫掠物上欺骗了自己的同胞，或剥削了自己的同胞，
5.22	或对拾得的遗物，加以否认，或对常人惯犯的罪发了虚誓；
5.23	如果他犯了这样的罪，而自知有过，应归还劫掠所得，或剥削所得，或人寄存之物，或拾得的遗物，
5.24	或以虚誓所占夺的任何物件，应全部偿还；此外还另加五分之一。他那一天认错，那一天应归还物主。
5.25	为赔补自己的过犯，应照你的估价，从羊群里取出一只无瑕的公绵羊，交给司祭献与上主作赎过祭。
5.26	司祭应为他在上主面前为他行赎罪礼。不论他犯的是什么过犯，他都可获得罪赦。」
	
6.0t	
	
6.1t	日夜全燔祭
	
6.1	上主训示梅瑟说：「
6.2	你吩咐亚郎和他的儿子们说：全燔祭的法律如下：全燔祭应彻夜至早晨留在祭坛的火上，火应在祭坛上常燃不熄。
6.3	司祭应穿上亚麻衣，著亚麻裤遮盖身体，除去祭坛上焚烧全燔祭的灰烬，倒在祭坛旁边；
6.4	然后脱去这些衣服，穿上别的衣服，将灰烬运到营外的清洁地方。
6.5	祭坛上的火应常燃不熄；司祭每天早晨应添柴，放上全燔祭祭品，焚烧和平祭牺牲的脂肪。
6.6	祭坛上的火应常燃不熄。 
	
6.7t	司祭对素祭的权利
	
6.7	素祭的法律如下：亚郎的儿子应将素祭带到祭坛前，献给上主；
6.8	然后由素祭祭品取出一把细面和一些油，以及所有乳香，放在祭坛上焚烧，献给上主作悦意的馨香，为获得纪念。
6.9	剩下的，亚郎和他的儿子们应该吃，应吃死面的，并且应在圣处，即在会幕庭院内吃。
6.10	烤时不可加酵。这是我由火祭祭品中，划归给他们的一份，是至圣之物，有如赎罪祭和赎过祭祭品。
6.11	亚郎的子孙中，凡是男人，都可以吃：这是他们在你们世世代代中，由上主的火祭中得享的永久权利。凡与这些祭品接触的，即成为圣。」 
	
6.12t	祝圣司祭的祭献
	
6.12	上主训示梅瑟说：「
6.13	亚郎和他的儿子们在受傅之日，应给上主献的祭品是：十分之一「厄法」细面，当作日常的素祭：早上献一半，晚上献一半；
6.14	应在铁盘上用油调制；调好后，分成块，将成块的祭品，献给上主作悦意的馨香。
6.15	亚郎的子孙中，继他位受傅为司祭的，都应奉献此祭品：这是一条永久的法令。这祭品应全焚烧，献给上主。
6.16	凡司祭自献的素祭祭品应全焚烧，决不可吃。」 
	
6.17t	司祭对赎罪祭的权利
	
6.17	上主训示梅瑟说：
6.18	「你告诉亚郎和他的儿子们说：关于赎罪祭的法律如下：赎罪祭应在宰杀全燔祭牺牲的地方，在上主面前宰杀：这是至圣之物。
6.19	奉献赎罪祭牺牲的司祭，应吃这牺牲，应在圣处，即在会幕庭院内吃。
6.20	凡与这祭肉接触的，即成为圣；若血溅在衣服上，溅有血迹的衣服，该在圣处洗净。
6.21	用为煮祭肉的陶器应打破；但若是在铜器内煮，铜器该擦光，用水洗净。
6.22	司祭家中，凡是男人都可以吃：这是至圣之物。
6.23	但是，任何赎罪祭牺牲，如果牲血带进了会幕，为在圣所内行赎罪礼，决不可吃，应在火里烧尽。
	
7.0t	
	
7.1t	司祭对赎罪祭的权利
	
7.1	赎罪祭的法律如下：这是至圣之祭。
7.2	赎过祭牺牲应在宰杀全燔祭牺牲的地方宰杀，血应洒在祭坛的四周。
7.3	携牲所有的一切脂肪都应献上，即油尾和遮盖内脏的脂肪，
7.4	两肾和两肾上靠腰部的脂肪，以及同两肾一起取出的肝叶。
7.5	司祭应将这一切放在祭坛上焚烧，献与上主当作火祭：这是赎过祭。
7.6	至于祭肉，司祭家中，凡是男人都可以吃，应在圣处吃：这是至圣之物。
7.7	关于赎过祭牺牲，像赎罪祭牺牲有同样的法律：应全归举行赎罪礼的司祭。
7.8	代人奉献全燔祭的司祭，得享献作全燔祭牺牲的皮；
7.9	凡在炉里烤的，或在锅里，或在烤盘上预备的素祭祭品，应归献此祭的司祭。
7.10	一切素祭祭品无论是调油的，或是乾制的，全归亚郎的子孙彼此平分。 
	
7.11t	司祭对和平祭的权利和义务
	
7.11	献与上主和平祭的法律如下：
7.12	若有人为感恩而祭献，除感恩祭祭品外，还应献上油调的无酵饼，抹油的无酵薄饼，以及用油和好细面做成的油饼。
7.13	除这些饼以外，还应奉献发酵的饼作祭品，与感恩的和平祭品一同奉献。
7.14	由这些祭品中，每样应取出一份，献与上主作献仪：这一份应归那洒和平祭牲血的司祭。
7.15	为感恩所献的和平祭的祭肉，应在奉献的当日吃尽；不可留到次日早晨。
7.16	如所献的牺牲是还愿祭或是自愿祭，在奉献的那天应该吃；如有剩下的，第二天也可吃；
7.17	如还有剩下的祭肉，到第三天应用火烧了。
7.18	若在第三天还吃和平祭祭肉，祭献必不被悦纳；为奉献的人，也不算作祭献，因为肉已不洁；吃的人，必负罪债。
7.19	祭肉若接触了不洁之物，不许再吃，应用火焚烧；凡洁净的人可吃祭肉；
7.20	但是染有不洁的人，若吃了献与上主和平祭肉，这人应由民间铲除。
7.21	若有人接触了任何不洁，或不洁的人，或不洁的禽兽，或任何不洁之物，而吃了献与上主和平祭的祭肉，这人应由民间铲除。」 
	
7.22t	祭牲不可吃的部份
	
7.22	上主训示梅瑟说：「
7.23	你告诉以色列子民说：凡是牛、绵羊和山羊的脂肪，你们都不可吃。
7.24	自死或被野兽撕裂的走兽的脂肪，可用作任何用途，但决不可吃。
7.25	不论谁，若吃了能献与上主作火祭的牲畜的脂肪，吃的人就应由民间铲除。
7.26	在你们任何所居之地，凡是血，不论是鸟血或兽血，决不可吃。
7.27	不论谁，若吃了什么血，这人应由民间铲除。」 
	
7.28t	司祭对和平祭的权利
	
7.28	上主训示梅瑟说：
7.29	「你告诉以色列子民说：凡向上主奉献和平祭祭品的，应由和平祭祭品取出一部份，作为献于上主的供物。
7.30	亲手带来献与上主的火祭，即带来脂肪和胸脯；胸脯应在上主前行奉献的摇礼。
7.31	司祭将脂肪放在祭坛上焚烧，胸脯归于亚郎和他的儿子。
7.32	和平祭牺牲后右腿，你们应送给司祭作献仪。
7.33	亚郎子孙中谁奉献了和平祭牺牲的血和脂肪，右后腿应归于他，是他的一分。
7.34	因为我由以色列子民所献的和平祭中，取出当摇献的胸脯和当举献的右后腿，给了亚郎司祭和他的儿子，作为他们在以色列子民中永享的权利。」
7.35	这是亚郎和他的儿子，在受命为上主尽司祭职的那一天，因受傅由献与上主火祭中应得的一分；
7.36	是上主在他们受傅的那一天，吩附以色列子民应交给他们的一分：这是他们世世代代永享的权利。
7.37	以上是关于全燔祭、素祭、赎罪祭、赎过祭、祝圣祭及和平祭的法律。
7.38	这些法律是上主在他命令以色列子民，于西乃旷野给上主奉献祭品的那天，在西乃山上向梅瑟所吩附的。
	
8.-1t	司祭受职礼(8-10)
	
8.0t	
	
8.1t	祝圣司祭礼
	
8.1	上主训示梅瑟说：「
8.2	你领亚郎和他的儿子一同前来，带著祭衣、圣油、作赎罪祭的公牛犊，两只公绵羊和一筐无酵饼；
8.3	并召集全体会众到会幕门口。」
8.4	梅瑟便依照上主所吩附的做了。当会众集合在会幕门口后，
8.5	梅瑟就对会众说：「这是上主吩附应做的事。」
8.6	梅瑟遂叫亚郎和他的儿子前来，用水洗了他们；
8.7	然后给亚郎穿上长衣，束上带子，穿上无袖长袍，套上「厄弗得」，束上「厄弗得」带子，将「厄弗得」系紧。
8.8	再给他安上胸牌，在胸牌内放上「乌陵」和「突明」。
8.9	以后将礼冠戴在他头上，在礼冠前面安上金牌，即圣牌。全照上主对梅瑟所吩附的。
8.10	以后梅瑟拿了圣油，傅了会幕和其中所有的一切，祝圣了这一切；
8.11	又将一些油七次洒在祭坛上，又傅了祭坛和祭坛的一切用具，盆和盆座，祝圣了这一切；
8.12	然后把圣油倒在亚郎头上，傅了他，祝圣了他。
8.13	此后梅瑟叫亚郎的儿子前来，给他们穿上长衣，束上带子，给他们缠上头巾：全照上主对梅瑟所吩附。
8.14	随后梅瑟把作赎罪祭的公牛犊牵来，亚郎和他的儿子按手在赎罪祭公牛犊头上，
8.15	把牛宰了，梅瑟取了血，用手指抹在祭坛四周的角上，洁净了祭坛；将剩下的血倒在祭坛脚旁：这样就祝圣了祭坛，为祭坛行了洁净礼。
8.16	此后，梅瑟将贴在内脏上所有的脂肪、肝叶、两肾和两肾上的脂肪，放在祭坛上焚烧；
8.17	牛犊的皮、肉和粪，都在营外用火烧了：全照上主对梅瑟所吩附的。
8.18	此后，梅瑟把作全燔祭的公绵羊牵来，亚郎和他的儿子按手在羊头上，
8.19	把羊宰了，梅瑟把血洒在祭坛四周；
8.20	然后把羊切成碎块，将头和碎块以及板油全焚烧，
8.21	内脏和腿，用水洗净；梅瑟将整个公绵羊放在祭坛上焚烧：这是全燔祭，是中悦上主的馨香火祭，全照上主对梅瑟所吩附的。
8.22	此后，梅瑟将第二只公绵羊，即作祝圣祭的公绵羊牵来，亚郎和他的儿子按手在羊头上。
8.23	把羊宰了，梅瑟取些血抹在亚郎的右耳垂，右手姆指和右脚大趾上。
8.24	梅瑟又叫亚郎的儿子前来，把血也抹在他们的右耳垂，右手姆指和右脚大趾上；剩下的血，梅瑟都洒在祭坛的四周。
8.25	随后取出脂肪、肥尾、贴在内脏上所有脂肪、肝叶、两肾和两肾上的脂肪，以及右后腿；
8.26	又由上主面前的无酵饼筐内，取出一块无酵饼，一块油饼和一块薄饼，放在脂肪和右后腿上；
8.27	将这一切放在亚郎和他的儿子们的手上，在上主前行奉献的摇礼。
8.28	然后梅瑟由他们手中接过来，放在祭坛的全燔祭品上焚烧：这是祝圣祭，是中悦上主的馨香火祭。
8.29	以后，梅瑟拿了牺牲的胸脯，在上主前行了奉献的摇礼，这是由祝圣祭的公绵羊中，梅瑟应得的一份，有如上主对梅瑟所吩附的。
8.30	以后，梅瑟拿了些圣油和祭坛上的血，洒在亚郎和他的衣服上，他的儿子和他儿子衣服上：这样就祝圣了亚郎和他的衣服，他的儿子和他儿子的衣服。
8.31	梅瑟又对亚郎和他的儿子说：「你们应在会幕门口煮祭肉，也在那里吃这肉和筐内放的祝圣祭的饼，有如上主会吩附我的：亚郎和他的儿子应当吃。
8.32	剩下的肉和饼，你们应用火烧了。
8.33	七天的工夫，你们不可出会幕门口，直到你们的受职礼满期的那一天，因为你们的受职礼是七天。
8.34	照今天所做的，上主还叫照样去做，好为你们赎罪。
8.35	七天七夜，你们应住在会幕门口，遵守上主的礼规，以免死亡因为上主这样吩附了我。」
8.36	凡上主藉梅瑟所吩附的事，亚郎和他的儿子都做了。
	
9.0t	
	
9.1t	司祭就职仪式
	
9.1	到了第八天，梅瑟召集亚郎和他的儿子以及以色列的长老，
9.2	然后对亚郎说：「你牵一条公牛犊来，作为赎罪祭，一只公绵羊来，作为全燔祭，都应是无瑕的，牵到上主前。」
9.3	又吩咐以色列子民说：「你们应牵一只公山羊来，作为赎罪祭；一头公牛犊和一只一岁的公羔羊来，都应是无瑕的，作为全燔祭；
9.4	再牵一头公牛和一只公绵羊来，作为和平祭，祭献在上主面前；再带些油调的素祭祭品来，因为今天上主要显现给你们。」
9.5	他们遂将梅瑟所吩附的，都带到会幕前；全会众都前来，站在上主面前。
9.6	梅瑟遂说：「这是上主命你们做的事，好使上主的荣耀显现给你们。」
9.7	以后，梅瑟对亚郎说：「你走近祭坛，奉献你的赎罪祭和全燔祭，为你自己和你的家族赎罪；然后奉献人民的祭品，为他们赎罪，如上主所吩附的。」
9.8	亚郎于是走近祭坛，宰杀了那为自己作赎罪祭的公牛犊。
9.9	亚郎的儿子将血递给他，他把手指浸在血里，抹在祭坛的四角上，剩下的血都倒在祭坛脚旁。
9.10	赎罪祭牺牲的脂肪、两肾和肝叶，都放在祭坛上焚烧，照上主对梅瑟的吩附。
9.11	至于肉和皮，都在营外用火烧了。
9.12	然后亚郎宰杀了全燔祭牺牲，亚郎的儿子将血递给他，他将血洒在祭坛四周。
9.13	以后，他们将切成块的全燔祭牺牲和头递给他，他就放在祭坛上焚烧。
9.14	内脏和腿洗净后，也放在祭坛上同全燔祭牺牲一起焚烧。
9.15	随后他奉献了人民的祭品：将那为人民作赎罪祭的公山羊牵来，宰杀了，献作赎罪祭，如前一牺牲一样。
9.16	又奉献了全燔祭，全按礼仪进行；
9.17	又奉献了素祭，由其中取了一满把，放在祭坛上焚烧，这是早晨全燔祭以外的祭献。
9.18	最后，他宰杀了为人民作和平祭的公牛和公绵羊；亚郎的儿子将血递给他，他就将血洒在祭坛四周。
9.19	至于牛羊的脂肪、肥尾、遮盖内脏的脂肪、两肾和肝叶，
9.20	他们都放在牺牲的胸脯上；亚郎遂将脂肪放在祭坛上焚烧，
9.21	胸脯和右后腿，拿来在上主前行了奉献的摇礼，照梅瑟所吩附的。
9.22	以后亚郎向人民举起手来，祝福了他们。当他献完了赎罪祭、全燔祭及和平祭以后，就由祭坛上下来了。
9.23	以后，梅瑟和亚郎走进了会幕，两人出来，祝福百姓时，上主的荣耀显现给全体百姓。
9.24	由上主前出来了火，吞噬了祭坛上的全燔祭祭品和脂肪。全体百姓见了，齐声欢呼，俯伏在地。
	
10.0t	
	
10.1t	司祭渎职的严罚
	
10.1	亚郎的儿子纳达布和阿彼胡，各自取了火盘，放上火，加上乳香，在上主面前奉献了上主所禁止的凡火。
10.2	那时由上主面前喷出火来，将他们烧死在上主面前。
10.3	梅瑟对亚郎说：「这就是上主所说：对亲近我的人，我要显我为圣；在全民众前我要以我为尊。」亚郎默不作声。
10.4	梅瑟遂叫了亚郎的叔父乌齐耳的儿子米沙耳和厄耳匝番来，对他们说：「前来，将你们的兄弟由圣所前抬到营外去!」
10.5	他们就前去，抓住死者的衣服，将死者抬到营外，照梅瑟所吩附的。
10.6	以后，梅瑟对亚郎和他的儿子厄肋阿匝尔及依塔玛尔说：「不要散开你们的头发，不要撕裂你们的衣服，免得你们死亡，也免得上主对全会众发怒；让你们的弟兄以色列全家，去为上主燃起的火哀悼。
10.7	你们也不要走出会幕门口，免得你们死亡，因为上主的傅油还在你们身上。」他们就照梅瑟说的做了。
10.8	上主训示亚郎说：「
10.9	你或你的儿子进入会幕时，清酒或醇酒都不可饮，免得你们死亡：这为你们世世代代是一条永久的法令。
10.10	因为在圣与俗，洁与不洁之间，你们应分辨清楚，
10.11	并应教训以色列子民，上主藉梅瑟吩附他们的一切法令。」 
	
10.12t	重申司祭的权利
	
10.12	以后，梅瑟对亚郎和他尚存的儿子厄肋阿匝尔及依塔玛尔说：「献与上主的火祭中所剩下的素祭祭品，你们应拿来在祭坛旁吃，应吃死面的，因为这是至圣之物，
10.13	你们在圣处吃，因为这是你和你的儿子，由献与上主的火祭中，所获得的权利；上主曾这样吩附了我。
10.14	至于摇过的胸脯和举过的后腿，你和你的儿子以及与你尚在一起的女儿，可在一清洁地方吃；这原是由以色列子民献的和平祭中，给予你和你子女的权利。
10.15	与献作火祭的脂肪一起所举过的后腿和摇过的胸脯，上上主面前行过奉献摇礼之后，都归你和与你在一起的子女：这是你们永久的权利，照上主所吩附的。」
10.16	梅瑟寻找那作赎罪祭的公山羊的时后，发现已经烧了；于是对亚郎尚存的儿子厄肋阿匝尔及依塔玛尔发怒说：
10.17	「为什么你们没有在圣处吃这赎罪祭祭肉？这原是至圣之物；上主所以给了你们，是为消除会众的罪过，在上主面前为他们赎罪。
10.18	这牺牲的血既然没有带到圣所里去，你们应照我所吩附的，在圣处吃这祭肉。」
10.19	亚郎对梅瑟说：「你看，他们今天在上主面前奉献了赎罪祭和全燔祭，竟有这样的事发生在我身上!我今天若吃赎罪祭祭肉，上主岂能满意？」
10.20	梅瑟听了这话，也颇为满意。
	
11.-1t	洁与不洁的规定(11-16)
	
11.0t	
	
11.1t	洁与不洁的动物
	
11.1	上主训示梅瑟和亚郎说：「
11.2	你们应告诉以色列子民说：地上的一切走兽中，你们可吃的兽类如下：
11.3	凡走兽中偶蹄，有趾及反刍的，你们都可以吃。
11.4	但在反刍或有偶蹄的走兽中，你们不可吃的是骆驼，因为骆驼虽反刍，但偶蹄无趾，对你们仍是不洁的；
11.5	岩狸，它虽反刍，但偶蹄无趾，对你们仍是不洁的；
11.6	兔子虽反刍，偶蹄无趾，对你们仍是不洁的；
11.7	猪，它虽有偶蹄，蹄虽有趾，却不反刍，对你们仍是不洁的。
11.8	这些走兽的肉，你们不可吃；它们的尸体，也不可触摸，因为对你们都是不洁的。
11.9	水族中你们可吃的如下：凡是水中有鳍有鳞的，不论是海里的，或河里的，都可以吃；
11.10	但凡在水中蠕动，和在水中生存的生物，若没有鳍和鳞，不论是海里，或河里的，都是你们所当憎恶的。
11.11	这些水族，都是你们所当憎恶的：它们的肉不可吃；它们的尸体，你们当视为可憎恶之物。
