1:-1t	罗马人书	
2:16	这事必要彰显在天主审判人隐秘行为的那天；依照我的福音，这审判是要借耶稣基督而执行的。	
		
2:17t	犹太人犯法比异民罪过更重　	
2:17	你既号称「犹太人」，又依仗法律，且拿天主来自夸；	
2:18	你既然认识他的旨意，又从法律中受了教训，能辨别是非，	
2:19	又深信自己是瞎子的响导，是黑暗中人的光明，	
2:20	是愚昧者的教师，是小孩子的师傅，有法律作知识和真理的标准；	
2:21	那么，你这教导别人的，就不教导你自己吗﹖为什么你宣讲不可偷盗，自己却去偷﹖	
2:22	说不可行奸淫，自己却去行奸淫﹖憎恶偶像，自己却去劫掠庙宇﹖	
2:23	以法律自夸，自己却因违反法律而使天主受侮辱﹖	
2:24	正如经上所记载的：『天主的名在异民中因你们而受了亵渎。』	
		
2:25t	论真正的割损　	
2:25	如果你遵行法律，割损才有益；但如果你违反法律，你虽受割损，仍等于未受割损。	
2:26	反之，如果未受割损的人遵守了法律的规条，他虽未受割损，岂不算是受了割损吗﹖	
2:27	并且，那生来未受割损而全守法律的人，必要裁判你这具有法典，并受了割损而违犯法律的人。	
2:28	外表上作犹太人的，并不是真犹太人；在外表上，肉身上的割损，也不是真割损；	
2:29	惟在内心作犹太人的，才是真犹太人。心中的割损，是出于神，并不是出于文字；这样的人受赞扬，不是来自人，而是来自天主。	
		
		
3:0t	第三章	
		
3:1t	选民的特恩与罪过　	
3:1 	那么，犹太人有什么优点呢﹖割损又有什么好处呢﹖	
3:2 	从各方面来说，很多：首先，天主的神谕是交托给了他们，	
3:3 	他们中纵使有些人不信，又有什么关系呢﹖难道他们的不信能使天主的忠信失效吗﹖	
3:4 	断乎不能!天主总是诚实的!众人虚诈不实，正如经上所载：『在你的言语上，你必显出正义；在你受审判时，你必获得胜利。』	
3:5 	但如果有人说：我们的不义可彰显天主的正义。那我们可说什么呢﹖难道能说天主发怒惩罚是不义吗﹖──这是我按俗见说的──	
3:6 	绝对不是!如果天主不义，他将怎样审判世界呢﹖	
3:7 	如果天主的诚实可因我的虚诈越发彰显出来，为使他获得荣耀；那么，为什么我还要被判为罪人呢﹖	
3:8 	为什么我们不去作恶，为得到善果呢﹖──有人说我们说过这样的话，为诽谤我们──这样的人被惩罚是理当的。	
		
3:9t	选民和异民在天主前都是罪人　	
3:9 	那么，我们犹太人比外邦人更好吗﹖决不是的!因为我们早先已说过：不论是犹太人，或是希腊人，都在罪恶权势之下，	
3:10	正如经上所载：『没有义人，连一个也没有；	
3:11	没有一个明智的人，没有寻觅天主的人；	
3:12	人人都离弃了正道，一同败坏了；没有一人行善，实在没有一个；	
3:13	他们的咽喉是敞开的坟墓，他们的舌头说出虚诈的言语，他们的双唇下含有蛇毒；	
3:14	他们满口是咒言与毒语；	
3:15	他们的脚急于倾流人血；	
3:16	在他们的行径上只有蹂躏与困苦；	
3:17	和平的道路，他们不认识；	
3:18	他们的眼中，没有敬畏天主之情。』	
3:19	我们知道：凡法律所说的，都是对那些属于法律的人说的，为杜塞众人的口，并使全世界都在天主前承认己罪，	
3:20	因为没有一个人能因遵守法律，而在他前成义；因为法律只能使人认识罪过。	
		
3:21t	人成义是赖耶稣救赎的功劳　	
3:21	但是如今，天主的正义，在法律之外已显示出来；法律和先知也为此作证；	
3:22	就是天主的正义，因对耶稣基督的信德，毫无区别地，赐给了凡信仰的人，	
3:23	因为所有的人都犯了罪，都失掉了天主的光荣，	
3:24	所以众人都因天主白白施给的恩宠，在耶稣基督内蒙救赎，成为义人。	
3:25	这耶稣即是天主公开立定，使他以自己的血，为信仰他的人作赎罪祭的；如此，天主显示了自己的正义，因为以前他因宽容，放过了人的罪，	
3:26	为的是在今时显示自己的正义，叫人知道他是正义的，是使信仰耶稣的人成义的天主。	
3:27	既是这样，那里还有可自夸之处﹖绝对没有!因了什么制度而没有自夸之处呢﹖是因法律上的功行吗﹖不是的!是因信德的制度，	
3:28	因为我们认为人的成义，是借信德，而不在于遵行法律。	
3:29	难道天主只是犹太人的天主吗﹖不也是外邦人的天主吗？是的，也是外邦人的天主!	
3:30	因为天主只有一个，他使受割损的由于信德而成义，也使未受割损的凭信德而成义。	
3:31	那么我们就因信德而废了法律吗﹖绝对不是!我们反使法律坚固。	
		
		
4:0t	第四章	
		
4:1t	亚巴郎因信德成义　	
4:1 	那么，我们对于按照血统作我们祖宗的亚巴郎，可以说什么呢﹖	
4:2 	如果亚巴郎是由于行为，成为义人，他就可以自夸了；但不是在天主前，	
4:3 	因为经上说：『亚巴郎信了天主，天主就以此算为他的正义。』	
4:4 	给工作的人工资，不算是恩惠，而是还债；	
4:5 	但为那没有工作，而信仰那使不虔敬的人复义之主的，这人的信德为他便算是正义，这才是恩惠。	
4:6 	正如达味也称那没有功行，而蒙天主恩赐算为正义的人，是有福的一样：	
4:7 	『罪恶蒙赦免，过犯得遮掩的人，是有福的；	
4:8 	上主不归咎于他的人，是有福的。』	
		
4:9t	割损只是因信德而获得成义的标志　	
4:9 	那么，这种福分是仅加于受割损的人呢﹖还是也加于未受割损的人呢﹖我们说过：「亚巴郎的信德为他算为正义。」	
4:10	那么，由什么时候算起呢﹖是在他受割损以后呢？还是在他未受割损的时候？	
4:11	他后来领受了割损的标记，只是作为他未受割损时，因信德获得正义的印证。如此，亚巴郎作了一切未受割损而相信的人的父亲，使他们也同样因信德而算为正义；	
4:12	同时也作受割损者的父亲，就是那些不仅受割损，而且也追随我们的祖宗亚巴郎，在未受割损时所走的信德之路的人。	
		
4:13t	天主的恩许不是借法律而是借信德得以坚固　	
4:13	因为许给亚巴郎和他的后裔的恩许，使他作世界的承继者，并不是借着法律，而是借着因信德而获得的正义，	
4:14	因为假使属于法律的人才是承继者，那么信德便是空虚的，恩许就失了效力，	
4:15	因为法律只能激起天主的义怒：那里没有法律，那里就没有违犯。	
4:16	为此，一切都是由于信德，为的是一切本着恩宠，使恩许为亚巴郎所有的一切后裔坚定不移，不仅为那属于法律的后裔，而且也为那有亚巴郎信德的后裔，	
		
4:17t	因为他是我们众人的父亲，	
4:17	正如经上所载：『我已立你为万民之父；』亚巴郎是在他所信的天主面前，就是在叫死者复活，叫那不存在的成为存在的那位面前，作我们众人的父亲。	
4:18	他在绝望中仍怀着希望而相信了，因此便成了万民之父，正如向他所预许的：『你的后裔也要这样多。』	
4:19	他虽然快一百岁，明知自己的身体已经衰老，撒辣的胎也已绝孕；但他的信心却没有衰弱，	
4:20	对于天主的恩许总没有因不信而犹疑，反而信心坚固，归光荣于天主，	
4:21	且满心相信天主所应许的，必予完成。	
4:22	天主就以此算为他的正义。	
		
4:23t	因着信德我们获得成义　	
4:23	『算为他的正义』这句话，不是单为他个人写的，	
4:24	而且也是为了我们这些将来得算为正义的人，即我们这些相信天主使我们的主耶稣，由死者中复活的人写的；	
4:25	这耶稣曾为了我们的过犯被交付，又为了使我们成义而复活。	
		
		
5:0t	第五章	
		
5:1t	成义的效果　	
5:1 	我们既因信德成义，便是借我们的主耶稣基督，与天主和好了。	
5:2 	借着耶稣我们得因信德进入了现今所站立的这恩宠中，并因希望分享天主的光荣而欢跃。	
5:3 	不但如此，我们连在磨难中也欢跃，因为我们知道：磨难生忍耐，	
5:4 	忍耐生老练，老练生望德，	
5:5 	望德不叫人蒙羞，因为天主的爱，借着所赐与我们的圣神，已倾注在我们心中了。	
5:6 	当我们还在软弱的时候，基督就在指定的时期为不虔敬的人死了。	
5:7 	为义人死，是罕有的事；为善人或许有敢死的；	
5:8 	但是，基督在我们还是罪人的时候，就为我们死了，这证明了天主怎样爱我们。	
5:9 	现在，我们既因他的血而成义，我们更要借着他脱免天主的义怒，	
5:10	因为，假如我们还在为仇敌的时候，因着他圣子的死得与天主和好了；那么，在和好之后，我们一定更要因着他的生命得救了。	
5:11	不但如此，我们现今既借着我们的主耶稣基督获得了和好，也必借着他而欢跃于天主。	
		
5:12t	亚当为基督的预像　	
5:12	故此，就如罪恶借着一人进入了世界，死亡借着罪恶也进入了世界；这样死亡就殃及了众人，因为众人都犯了罪：成义也是如此──	
5:13	没有法律之前，罪恶已经在世界上；但因没有法律，罪恶本不应算为罪恶。	
5:14	但从亚当起，直到梅瑟，死亡却作了王，连那些没有像亚当一样违法犯罪的人，也属它权下；这亚当原是那未来亚当的预像。	
		
5:15t	基督的恩赐远超过亚当的遗祸　	
5:15	但恩宠决不是过犯所能比的，因为如果因一人的过犯大众都死了；那么，天主的恩宠和那因耶稣基督一人的恩宠所施与的恩惠，更要丰富地洋溢到大众身上。	
5:16	这恩惠的效果，也不是那因一人犯罪的结果所能比的，因为审判固然是由于一人的过犯而来，被判定罪；但恩赐却使人在犯了许多过犯之后，获得成义。	
5:17	如果因一人的过犯，死亡就因那一人作了王；那么，那些丰富地蒙受了恩宠和正义恩惠的人，更要借着耶稣基督一人在生命中为王了。	
5:18	这样看来：就如因一人的过犯，众人都被定了罪；同样也一人的正义行为，众人也都获得了正义和生命。	
5:19	正如因一人的悖逆，大众都成了罪人；同样，因一人的服从，大众都成了义人。	
5:20	法律本是后加的，是为增多过犯；但是罪恶在那里越多，恩宠在那里也越格外丰富，	
5:21	以致罪恶怎样借死亡为王，恩实也怎样借正义而为王，使人借着我们的主耶稣基督获得永生。	
		
		
6:0t	第六章	
		
6:1t	基督徒已死于罪恶　	
6:1 	那么，我们可说什么呢﹖我们要常留在罪恶中，好叫恩宠洋溢吗﹖	
6:2 	断乎不可!我们这些死于罪恶的人，如何还能在罪恶中生活呢﹖	
6:3 	难道你们不知道：我们受过洗归于基督耶稣的人，就是受洗归于他的死亡吗﹖	
6:4 	我们借着洗礼已归于死亡与他同葬了，为的是基督怎样借着父的光荣，从死者中复活了，我们也要怎样在新生活中度生。	
6:5 	如果我们借着同他相似的死亡，已与他结合，也要借着同他相似的复活与他结合，	
6:6 	因为我们知道，我们的旧人已与他同钉在十字架上了，使那属罪恶的自我消逝，好叫我们不再作罪恶的奴隶，	
6:7 	因为已死的人，便脱离了罪恶。	
6:8 	所以，如果我们与基督同死，我们相信也要他同生，	
6:9 	因为我们知道：基督既从死者中复活，就不再死；死亡不再统治他了，	
6:10	因为他死，是死于罪恶，仅仅一次；他活，是活于天主。	
6:11	你们也要这样看自己是死于罪恶，在基督耶稣内活于天主的人。	
6:12	所以不要让罪恶在你们必死的身体上为王，致令你们顺从它的情欲，	
6:13	也不要把你们的肢体交与罪恶，作不义的武器；但该将你们自己献于天主，有如从死者中复活的人，将你们的肢体献于天主，当作正义的武器：	
6:14	罪恶不应再统治你们，因为你们已不再法律权下，而是在恩宠权下。	
		
6:15t	应当戒避罪恶而坚持正义　	
6:15	那么，我们因为不在法律权下，而在恩宠权下，就可以犯罪吗﹖绝对不可!	
6:16	难道你们不知道：你们将自己献给谁当奴隶，而服从他，就成了你们所服从者的奴隶，或作罪恶的奴隶，以致死亡；或作顺命的奴隶，以得正义吗﹖	
6:17	感谢天主，虽然你们曾作过罪恶的奴隶，现今你们却从心里听从那传给你们的教理规范，	
6:18	脱离罪恶，获得了自由，作了正义的奴隶。	
6:19	为了你们本性的软弱，我且按常情来说：你们从前怎样将你们的肢体当作奴隶，献于不洁和不法，行不法的事；如今也要怎样将你们的肢体当作奴隶，献于正义，行圣善的事。	
6:20	当你们作罪恶的奴隶时，不受正义的束缚；	
6:21	但那时你们得了什么效果﹖只是叫你们现在以那些事为可耻，因为其结局就是死亡；	
6:22	可是现在，你们脱离了罪恶，获得了自由，作了天主的奴隶，你们所得的效果是使你们成圣，结局就是永生。	
6:23	因为罪恶的薪俸是死亡，但是天主的恩赐是在我们的主基督耶稣内的永生。	
		
		
7:0t	第七章	
		
7:1t	基督徒已脱离梅瑟法律　	
7:1 	弟兄们!我现在是对明白法律的人说话：难道你们不知道：法律统治人，只是在人活着的时候吗﹖	
7:2 	就如有丈夫的女人，当丈夫还活着的时候，是受法律束缚的；如果丈夫死了，她就不再因丈夫而受法律的束缚。	
7:3 	所以，当丈夫活着的时候，她若依附别的男人，便称为淫妇；但如果丈夫死了，按法律她是自由的；她若依附别的男人，便不是淫妇。	
7:4 	所以，我的弟兄们!你们借着基督的身体已死于法律了，为使你们属于另一位，就是属于由死者中复活的那一位，为叫我们给天主结果实，	
7:5 	因为我们还在肉性权下的时候，那借法律而倾向于罪恶的情欲，在我们的肢体内活动，结出死亡的果实。	
7:6 	但是现在，我们已死于束缚我们的势力，脱离了法律，如此，我们不应再拘泥于旧的条文，而应以新的心神事奉天主。	
		
7:7t	法律与罪过的关系　	
7:7 	那么，我们能说法律本身有罪吗﹖绝对不能!然而借着法律，我才知道罪是什么。如果不是法律说：「不可贪恋!」我就不知道什么是贪情。	
7:8 	罪恶遂乘机借着诫命，在我内发动各种贪情；原来若没有法律，罪恶便是死的。	
7:9 	从前我没有法律时，我是活人；但诫命一来，罪恶便活了起来，	
7:10	我反而死了。那本来应叫我生活的诫命，反叫我死了，	
7:11	因为罪恶借着诫命乘机诱惑了我，也借着诫命杀害了我。	
7:12	所以法律本是圣的，诫命也是圣的，是正义和美善的。	
7:13	那么，是善事使我死了吗﹖绝对不是!而是罪恶。罪恶为显示罪恶的本性，借着善事为我产生了死亡，以致罪恶借着诫命成了极端的凶恶。	
		
7:14t	犯罪的真根苗是私欲　	
7:14	我们知道：法律是属神的，但我是属血肉的，已被卖给罪恶作奴隶。	
7:15	因为我不明白我作的是什么：我所愿意的，我偏不作；我所憎恨的，我反而去作。	
7:16	我若去作我所不愿意的，这便是承认法律是善的。	
7:17	实际上作那事的已不是我，而是在我内的罪恶。	
7:18	我也知道，善不在我内，即不在我的肉性内，因为我有心行善，但实际上却不能行善。	
7:19	因此，我所愿意的善，我不去行；而我所不愿意的恶，我却去作。	
7:20	但我所不愿意的，我若去作，那么已不是我作那事，而是在我内的罪恶。	
7:21	所以我发见这条规律：就是我愿意为善的时候，总有邪恶依附着我。	
7:22	因为照我的内心，我是喜悦天主的法律；	
7:23	可是，我发觉在我的肢体内，另有一条法律，与我理智所赞同的法律交战，并把我掳去，叫我隶属于那在我肢体内的罪恶的法律。	
7:24	我这个人真不幸呀!谁能救我脱离这该死的肉身呢﹖	
7:25	感谢天主，借着我们的主耶稣基督。这样看来，我这人是以理智去服从天主的法律，而以肉性去服从罪恶的法律。	
		
		
8:0t	第八章	
		
8:1t	基督徒在圣神内得胜罪恶和肉性　	
8:1 	今后为那些在基督耶稣内的人，已无罪可定，	
8:2 	因为在基督耶稣内赐与生命之神的法律，已使我获得自由，脱离了罪恶与死亡的法律。	
8:3 	法律因了肉性的软弱所不能行的，天主却行了：他派遣了自己的儿子，带着罪恶肉身的形状，当作赎罪祭，在这肉身上定了罪恶的罪案，	
8:4 	为使法律所要求的正义，成全在我们今后不随从肉性，而随从圣神生活的人身上。	
8:5 	因为随从肉性的人，切望肉性的事；随从圣神的人，切望圣神的事；	
8:6 	随肉性的切望，导入死亡；随圣神的切望，导入生命与平安。	
8:7 	因为随肉性的切望，是与天主为敌，决不服从，也决不能服从天主的法律；	
8:8 	反随从肉性的人，决不能得天主的欢心。	
8:9 	至于你们，你们已不属于肉性，而是属于圣神，只要天主的圣神住在你们内。谁若没有基督的圣神，谁就不属于基督。	
8:10	如果基督在你们内，身体固然因罪恶而死亡，但神魂却赖正义而生活。	
8:11	再者，如果那使耶稣从死者中复活者的圣神住在你们内，那么，那使基督从死者中复活的，也必要借那住在你们内的圣神，使你们有死的身体复活。	
		
8:12t	天主义子的福分　	
8:12	弟兄们!这样看来，我们并不欠肉性的债，以致该随从肉性生活。	
8:13	如果你们随从肉性生活，必要死亡；然而，如果你们依赖圣神，去致死肉性的妄动，必能生活。	
8:14	因为凡受天主圣神引导的，都是天主的子女。	
8:15	其实你们所领受的圣神，并非使你们作奴隶，以致仍旧恐惧；而是使你们作义子。因此，我们呼号：「阿爸，父呀!」	
8:16	圣神亲自和我们的心神一同作证：我们是天主的子女。	
8:17	我们既是子女，便是承继者，是天主的承继者，是基督的同承继者；只要我们与基督一同受苦，也必要与他一同受光荣。	
		
8:18t	现在的苦楚比不上将来的荣耀　	
8:18	我实在以为现时的苦楚，与将来在我们身上要显示的光荣，是不能较量的。	
8:19	凡受造之物都热切地等待天主子女的显扬，	
8:20	因为受造之物被屈伏在败坏的状态之下，并不是出于自愿，而是出于使它屈伏的那位的决意；但受造之物仍怀有希望，	
8:21	脱离败坏的控制，得享天主子女的光荣自由。	
8:22	因为我们知道，直到如今，一切受造之物都一同叹息，同受产痛；	
8:23	不但是万物，就是连我们这已蒙受圣神初果的，也在自己心中叹息，等待着义子期望的实现，即我们肉身的救赎。	
8:24	因为我们得救，还是在于希望。所希望的若已看见，就不是希望了；那有人还希望所见的事物呢﹖	
8:25	但我们若希望那未看见的，必须坚忍等待。	
8:26	同时，圣神也扶助我们的软弱，因为我们不知道我们如何祈求才对，而圣神却亲自以无可言喻的叹息，代我们转求。	
8:27	那洞悉心灵的天主知道圣神的意愿是什么，因为他是按照天主的旨意代圣徒转求。	
8:28	而且我们也知道：天主使一切协助那些爱他的人，就是那些按他的旨意蒙召的人，获得益处，	
8:29	因为他所预选的人，也预定他们与自己儿子的肖像相同，好使他在众多弟兄中作长子。	
8:30	天主不但召叫了他所预定的人，而且也使他所召叫的人成义，并使成义的人分享他的光荣。	
		
8:31t	基督徒的凯歌　	
8:31	面对这一切，我们可说什么呢﹖若是天主偕同我们，谁能反对我们呢﹖	
8:32	他既然没有怜惜自己的儿子，反而为我们众人把他交出来了，岂不也把一切与他一同赐给我们吗﹖	
8:33	谁能控告天主所拣选的人呢﹖是使人成义的天主吗﹖	
8:34	谁能定他们的罪﹖是那已死或更好说已复活，现今在天主右边，代我们转求的基督耶稣吗﹖	
8:35	那么，谁能使我们与基督的爱隔绝﹖是困苦吗﹖是窘迫吗﹖是迫害吗﹖是饥饿吗﹖是赤贫吗﹖是危险吗﹖是刀剑吗﹖	
8:36	正如经上所载：『为了你，我们整日被置于死地，人将我们视作待宰的群羊。』	
8:37	然而，靠着那爱我们的主，我们在这一切事上，大获全胜，	
8:38	因为我深信：无论是死亡，是生活，是天使，是掌权者，是现存的或将来的事物，是有权能者，	
8:39	是崇高或深远的势力，或其他任何受造之物，都不能使我们与天主的爱相隔绝，即是与我们的主基督耶稣之内的爱相隔绝。	
		
		
9:0t	第九章	
		
9:1t	保禄的忧苦　	
9:1 	我在基督内说实话，并不说谎，有我的良心在圣神内与我一同作证：	
9:2 	我的忧愁极大，我心中不断的痛苦；	
9:3 	为救我的弟兄，我血统的同胞，就是被诅咒，与基督隔绝，我也甘心情愿。	
9:4 	他们是以色列人：义子的名份、光荣、盟约、法律、礼仪以及恩许，都是他们的；	
9:5 	圣神也是他们的，并且基督按血统说，也是从他们来的，他是在万有之上，世世代代应受赞美的天主!阿们。	
9:6t	天主的忠信常存不替	
9:6 	这并不是说天主的话落了空，因为不是凡从以色列生的，都是真以色列人；	
9:7 	也不是凡是亚巴郎的后裔，就都是他的真子女，而是『由依撒格所生的，才称为你的后裔，』	
9:8 	即是说：不是血统上的子女，算是天主的子女，而是借恩许所生的子女，才算为真后裔。	
9:9 	原来恩许是这样说的：『到明年这时候我要来，撒辣必有一个儿子。』	
9:10	并且关于黎贝加也有相似的事。她从我们的先祖依撒格一人怀了孕；	
9:11	当时双胎还没有出生，也没有行善或作恶；但为使天主预简的计划坚定不移，	
9:12	且为显示这计划并不凭人的行为，而只凭天主的召选，遂有话给她说：『年长的要服事年幼的。』	
9:13	正如经上记载：『我爱了雅各伯，而恨了厄撒乌。』	
		
9:14t	天主有召选的自由　	
9:14	那么，我们可说什么呢﹖难道天主不公道吗﹖绝对不是!	
9:15	因为他对梅瑟说过：『我要恩待的，就恩待；我要怜悯的，就怜悯。』	
9:16	这样看来，蒙召并不在乎人愿意，也不在乎人努力，而是由于天主的仁慈，	
9:17	因为经上有话对法郎说：『我特兴起了你，是为在你身上彰显我的大能，并为使我的名传遍全世界。』	
9:18	这样看来，他愿意恩待谁，就恩待谁；他愿意使谁心硬，就使谁心硬。	
9:19	或者，你要问我说：既是这样，为什么他还要责怪人呢﹖有谁能抗拒他的意志呢﹖	
9:20	人呀!你是谁，竟敢向天主抗辩﹖制造品岂能对制造者说：你为什么这样制造了我﹖	
9:21	难道陶工不能随意用一团泥，把这一个作成贵重的器皿，把那一个作成卑贱的器皿吗﹖	
9:22	如果天主愿意显示自己的义怒，并彰显自己的威能，曾以宽宏大量，容忍了那些惹他发怒而应受毁灭的器皿；	
9:23	他如此作，是为把他那丰富的光荣，在那些他早已准备好，为进入光荣而蒙怜悯的器皿身上彰显出来，又有什么不可呢﹖	
9:24	这些器皿就是我们这些不但从犹太人中，而且也从外邦人中被天主所宠召的人。	
9:25	这正如天主在欧瑟亚书中所说的：『我要叫「非我人民」为「我的人民」，又叫「不蒙爱怜者」为「蒙爱怜者」；	
9:26	人在那里对他们说：你们不是我的人民，在同样的地方，他们要被称为永生天主的子女。』	
9:27	论到以色列，依撒意亚却呼喊说：『以色列子民的数目虽然多如海沙，唯有残存者要蒙受救恩，	
9:28	因为上主在大地上，要彻底迅速完成他的判决。』	
9:29	依撒意亚又预言过：『若非万军的上主给我们留下苖裔，我们早已如同索多玛，相似哈摩辣了。』	
		
9:30t	以色列的过犯　	
9:30	那么，我们可说什么呢﹖外邦人没有追求正义，却获得了正义，即由信仰而得的正义；	
9:31	以色列人追求使人成义的法律，却没有得到这种法律，	
9:32	这是为什么呢﹖是因为他们不凭信仰，只凭着行为追求。他们正碰在那块绊脚石上，	
9:33	正如经上所载：『看，我在熙雍按放了一块绊脚石，一块使人绊跌的盘石；相信他的人，不至蒙羞。』	
		
		
10:0t	第十章	
10:1 	弟兄们!我心里所怀的切望，向天主所恳求的，就是为使我的同胞获得救恩。	
10:2 	我可以为他们作证：他们对天主有热心，但不合乎真知超见，	
10:3 	因为他们不认识由天主而来的正义，企图建立自己的正义，而不顺从天主的正义：	
10:4 	因为法律的终向是基督，使凡信他的人获得正义。	
		
10:5t	正义由于信德　	
10:5 	关于出自法律的正义，梅瑟曾写过：『遵守法律的人，必因法律而生活。』	
10:6 	但是，出自信仰的正义却这样说：『你心里不要说：谁能升到天上去﹖』意思是说：使基督从那里下来；	
10:7 	也不要说：『谁能下到深渊里去﹖』意思是说：把基督从死者中领上来。	
10:8 	正义到底说了什么﹖她说：『天主的话离你很近，就在你的口里，就在你的心中。』这就是指我们关于信仰的宣讲。	
10:9 	如果你口里承认耶稣为主，心里相信天主使他从死者中复活起来了，你便可获得救恩，	
10:10	因为心里相信，可使人成义；口里承认，可使人获得救恩。	
10:11	经上又说：『凡相信他的人，不至于蒙羞。』	
10:12	其实，并没有犹太人与希腊人的区别，因为众人都有同一的主，他对一切呼号他的人都是富有慈惠的。	
10:13	的确，『凡呼号上主名号的人，必然获救。』	
		
10:14t	犹太人拒绝福音　	
