1:-1t	列王纪下
2:4 	厄里亚对厄里叟说：「厄里叟，请你留在这里，因为上主派我到耶里哥去。」他回答说：「我指着永生的上主和你的性命起誓：我决不离开你。」于是二人往耶里哥去了。
2:5 	在耶里哥的先知弟子们前来，对厄里叟说:「上主今天要接你的师傅离开你，你知道吗﹖」他回答说：「是的，我知道，你们不要作声。」
2:6 	厄里亚又对厄里叟说：「请你留在这里，因为上主派我到约但河去。」厄里叟回答说：「我指着永生的上主和你的性命起誓：我决不离开你。」二人于是继续前行。
2:7 	先知弟子中有五十个人同去，远远站在他们对面，他们二人立在约旦河边，
2:8 	厄里亚将自己的外衣卷起，击打河水，水即左右分开，他们二人从干地上走了过去。
2:9 	过去以后，厄里亚对厄里叟说：「在我被接去离开你以前，我应该为你作什么，你尽管求罢！」厄里叟答说：「求你把你的精神给我两分。」
2:10	厄里亚说：「你求了一件难事；不过当我被接去离开你的时候，你若能看见我，你就可以得到；否则，你就不能得到。」
2:11	他们正边走边谈的时候，忽然有一辆火马拉的火车出现，把他们二人分开；厄里亚便乘着旋风升天去了。
	
2:12t	厄里叟继承厄里亚
2:12	厄里叟一见，就呼喊说：「我父，我父！以色列的战车，以色列的骏马！」随后就再看不见他了；厄里叟遂抓住自己的衣服，撕成两半，
2:13	然后拾起厄里亚身上掉下来的外衣，回去站在约旦河边，
2:14	拿着从厄里亚身上掉下来的外衣击打河水说：「上主，厄里亚的天主在那里﹖」他一击打河水，河水就左右分开，厄里叟走了过去。
2:15	耶里哥的先知弟子们从对面看见了他，就说：「厄里亚的精神已降在厄里叟的身上了。」他们便前来迎接他，俯伏在地，叩拜他，
2:16	对他说：「你仆人中有五十个强壮的人，请让他们去寻找你的师傅，或者上主的神将他提去，丢在一座山上，或一个山谷里。」他回答说：「不必派他们去。」
2:17	但是他们迫得他不好意思，他这才说：「你们派人去罢！」他们于是派了五十个人去，寻找了三天，始终没有找到，
2:18	便回来见厄里叟，那时厄里叟还在耶里哥。厄里叟对他们说：「我不是对你们早说了，你们不必去吗﹖」
	
2:19t	厄里叟改变水土
2:19	城中的人对厄里叟说：「请看，本城的地势很好，师傅也看见了，只是水不好，以致土产不熟即落。」
2:20	厄里叟说：「给我拿一只新碗来，里面放上些盐。」他们就给他拿了来；
2:21	他遂出去到水泉旁，将盐倒在水里说：「上主这样说：我已治好了这水，从此再也不会引起死亡和不熟早落的病。」
2:22	果然，照厄里叟所说的，那水直到今日常是好水。
	
2:23t	幼童嘲笑先知受罚
2:23	厄里叟从那里上贝特耳去，当他沿路上去的时候，从城中出来一些小孩子，讥笑他说：「光头，上来！光头，上来！」
2:24	厄里叟回过头去看他们，因上主的名诅咒了他们；立即有两只狗熊从林中出来，咬死了其中四十二个孩子。
2:25	厄里叟从那里去了加尔默耳山，然后又从那里回了撒玛黎雅。
	
	
3:0t	第三章
	
3:1t	以色列王耶曷兰
3:1 	犹大王约沙法特十八年，阿哈布的儿子耶曷兰在撒玛黎雅登极作以色列王，在位凡十二年。
3:2 	他行了上主视为恶的事，不过还不像他的父亲和母亲那样坏，因为他除去了他父亲所立的巴耳神柱，
3:3 	只是对乃巴特的儿子雅洛贝罕使以色列陷于罪过的事，仍恋恋不舍，从未脱离。
	
3:4t	摩阿布人背叛
3:4 	摩阿布王默沙原是一个以畜牧为业的人，他经常以十万只羔羊和十万只公山羊毛，向以色列王进贡；
3:5 	但在阿哈布死后，摩阿布王便背叛了以色列王。
3:6 	那时，耶曷兰王从撒玛黎雅出来，检阅全以色列人，
3:7 	以后派使者去见犹大王约沙法特说：「摩阿布王背叛了我，你愿意同我一起去攻打摩阿布吗﹖」约沙法特说：「愿意去；你怎样，我也怎样；我的人民就如同是你的人民，我的马就如同是你的马。」
3:8 	约沙法特接着问说：「我们从那条路上去﹖」耶曷兰答说：「从厄东旷野那条路。」
3:9 	于是以色列王、犹大王和厄东王出发，绕道而行，七天以后，军队和随行的一大队牲畜没有水喝。
3:10	以色列王说：「哎！上主召集这三个王子，原是将他们交在摩阿布手中啊！」
3:11	约沙法特问说：「这里有没有一位上主的先知，我们可以托他求问上主﹖」以色列王的一个臣仆回答说：「这里有沙法特的儿子厄里叟，就是常在厄里亚手上倒水的那一位。」
3:12	约沙法特说：「他必有上主的话。」以色列王、约沙法特和厄东王，于是一同下去见他。
3:13	厄里叟对以色列王说：「我和你有什么关系﹖你去找你父亲和你母亲的先知罢！」以色列王说：「不要这样说！上主召集了这三个王子，原是要将他们交于摩阿布手中啊！」
3:14	厄里叟说：「我指着我所服事的永生万军的上主起誓：我如果不是为了犹大王约沙法特的情面，我决不看你，也不睬你。
3:15	现在，你们给我叫一个弹琴的人来。」原来每逢乐师弹琴的时候，上主的手就临到他身上。
3:16	厄里叟说：「上主这样说：你们在这山谷中遍挖壕沟，
3:17	因为上主这样说：你们不见风，也不见雨，这山谷中却要充满了水，使你们、你们的军队和牲畜都有水喝。
3:18	这在上主看来还是小事，他还要将摩阿布交在你们手中，
3:19	使你们攻破所有设防的城市，砍倒所有的好树，杜塞所有的水泉，用石头毁坏所有的良田。」
3:20	果然，早上正献祭的时候，从厄东方面来了大水，遍地满了水。
	
3:21t	摩阿布人惨败
3:21	全摩阿布人一听说三个王子前来进攻，就召集了所有能佩带武器的人，把守边界。
3:22	第二天早晨，日光照在水上，摩阿布人起来，看见对面的水红得象血，
3:23	遂说：「这是血！一定是那三个王子彼此混战，互相残杀。摩阿布，起来，前去夺取财物！」
3:24	及至他们到了以色列营地，以色列人即奋起迎敌，摩阿布人从他们面前逃走，他们就乘势追赶，击杀摩阿布人，
3:25	破坏了他们的城市，个个用石头拋满了他们的良田，杜塞了所有的水泉，砍倒了各种好树；只剩下克尔赫勒斯城，拋石头的人仍包围攻击那城。
3:26	摩阿布王见战事激烈，难以抵抗，就带领七百人，手持刀剑，企图突围，往投阿兰王，却没有成功；
3:27	于是将那要继承自己位的长子叫来，在城墙上祭杀了，作为全燔祭。这事使天主向以色列人大发忿怒；他们便离开摩阿布王，各自回了本地。
	
	
4:0t	第四章
	
4:1t	增油的奇迹
4:1 	有一个先知弟子的妻子，前来哀求厄里叟说：「你的仆人，我的丈夫死了，你知道你的仆人是一个敬畏上主的人；现在债主前来，要带走我的两个孩子，作他的奴隶。」
4:2 	厄里叟对她说：「我能为你做什么﹖你告诉我：你家里还有什么﹖」她答说：「你的婢女家里除一瓶油外，什么也没有。」
4:3 	厄里叟说：「你去，到外面向你所有的邻居借些空器皿，不要少借；
4:4 	然后回家，关上门，你和你的儿子在家里，将油倒在所有的那些器皿内，把装满了的，放在一边。」
4:5 	她于是辞别厄里叟，回去照办。她和她的儿子关上门，儿子给她递器皿，她只顾倒油，
4:6 	器皿都装满了，她对儿子说：「再递给我器皿！」儿子答说：「没有了。」同时油也止住了。
4:7 	妇人就去告诉天主的人。厄里叟对她说：「你去把油卖了，还你的债；剩下的，你和你的儿子可用来过活。」
	
4:8t	复活死童
4:8 	有一天，厄里叟路过叔能，那里有一个富贵的妇人，曾挽留他吃饭；因此，厄里叟每次路过那里，总到她家里吃饭。
4:9 	妇人对丈夫说：「现在我看出：这个时常路过我们这里的天主的人，是位圣者。
4:10	我们可以在房顶上，给他盖一间小房，里面放一张床，一张桌子，一把椅子和一盏灯；这样，他几时来到我们这里，可在那里休息。」
4:11	一天，厄里叟又到了那里，就进入那间小房休息。
4:12	厄里叟吩咐自己的仆人革哈齐说：「你叫这位叔能妇人来。」仆人叫了妇人来，妇人站在先知面前，
4:13	厄里叟吩咐仆人说：「现在你对她说：看，你照顾我们既然这样周到，我们可为你作什么事呢﹖要不要我们在君王或军长前为你说句话﹖」那妇人答说：「我住在我本国人民中很平安。」
4:14	厄里叟就问革哈齐：「我们究竟能为她作什么﹖」革哈齐说：「可怜她没有儿子，丈夫又老了。」
4:15	厄里叟说：「快再叫她来！」仆人又将妇人叫来，这次她却站在门口，
4:16	厄里叟对她说：「明年这时，你必怀抱着一个儿子。」妇人答说：「我主，天主的人哪！不会！你别哄骗你的婢女！」
4:17	这妇人果然怀了孕；过了一年，在厄里叟对她所说的时候，生了一个儿子。
4:18	孩子渐渐长大，一天，他出去到收割的人那里找他父亲，
4:19	孩子忽然对他父亲喊说：「我的头啊！我的头啊！」他父亲吩咐仆人说：「把孩子送到他母亲那里去！」
4:20	仆人将他抱起，送给他母亲，孩子坐在母亲膝上，到了中午，就死了。
4:21	他母亲遂上了楼，将孩子放在天主的人的床上，关上门，出来，
4:22	叫自己的丈夫来说：「请你给我派一个仆人，牵一匹驴来，我要快去见见天主的人，就回来。」
4:23	她丈夫说：「为什么今天要去见他，既不是朔日，又不是安息日﹖」妇人答说：「你放心好了！」
4:24	于是，她把驴备好，对仆人说：「你快赶着走，我若不吩咐，在路上不要停下来。」
4:25	妇人于是来到加尔默耳山见天主的人。天主的人自远处看见她，就对自己的仆人革哈齐说：「看，那是叔能妇人！
4:26	现在你跑去迎接她，向她问安说：你好吗﹖你的丈夫好吗﹖你的孩子好吗﹖」她回答说：「好。」
4:27	妇人上到山上，来到天主的人跟前，就抱住他的脚；革哈齐前来想推开她，可是天主的人说：「由她罢！因为她心中很痛苦；上主隐瞒了我，什么也没有告诉我。」
4:28	那妇人说：「我何尝向我主求过一个儿子﹖我岂不是说过：你不要哄骗我吗﹖」
4:29	厄里叟对革哈齐说：「你束上腰，手里拿着我的棍杖前去；不论遇见谁，不要向他请安；不论谁向你请安，你也不要回答。你去把我的棍杖放在孩子的脸上。」
4:30	孩子的母亲说：「我指着永生的上主及你的性命起誓：你不去，我决不离开。」厄里叟就起身跟她去了。
4:31	革哈齐在他们以先去了。将棍杖放在孩子的脸上，但是没有声音，没有反应；他便回来见厄里叟，告诉他说：「孩子没有醒来。」
4:32	厄里叟一来到她家，看见孩子死了，躺在自己的床上，
4:33	就进去，关上门，房内只有他和孩子；先知先哀求了上主，
4:34	然后上床，伏在孩子身上，自己的口对住孩子的口，自己的眼对住孩子的眼，自己的手按住孩子的手，屈身伏在孩子身上，孩子的肉身便渐渐温暖了。
4:35	然后他下来，在屋内来回走了一趟；又上去，屈身伏在孩子身上，对着孩子呵了七口气，孩子就睁开了眼睛。
4:36	厄里叟叫革哈齐来，对他说：「你叫那叔能妇人来。」他便去叫那妇人，妇人就来了。厄里叟说：「抱起你的孩子来！」
4:37	妇人一进来，就俯伏在他脚前，叩首至地；然后起来，抱起自己的孩子出去了。
	
4:38t	化毒物为食物
4:38	厄里叟又来到基耳加耳，那地方正遭受肌荒；众先知的弟子坐在他面前，他吩咐自己的仆人说：「你在火上放上一个火锅，给众先知的弟子煮些菜汤。」
4:39	有一个弟子出去到田间采菜，看见一棵野葡萄树，从上面采了一满兜野果子回来，切碎放在菜锅里，并不知道是什么东西。
4:40	以后，他们把菜汤倒出来给众人吃。众人一尝这菜汤，都喊叫说：「天主的人，锅里有致死的毒物啊！」众人都不能吃。
4:41	那时厄里叟说：「拿点面来！」他把面撒在锅里说：「倒出来给众人吃罢！」锅里就再没有什么毒了。
	
4:42t	增饼奇迹
4:42	有一个人从巴耳沙里沙来，在自己的行囊里，给天主的人带来了初熟大麦作的二十个饼和一些新麦穗。厄里叟说：「分给众人吃罢！」
4:43	仆人说：「我怎能将这一点东西摆在一百人面前呢﹖」厄里叟说：「你尽管分给众人吃，因为上主这样说：众人吃了，还有剩余。」
4:44	于是仆人将食物摆在众人面前，他们都吃了，并且还有剩余，全应验了上主的话。
	
	
5:0t	第五章
	
5:1t	纳阿曼癞病获愈
5:1 	阿兰王的军长纳阿曼在他的主上面前，是个很受尊重宠爱的人，因为上主曾藉他使阿兰人获得胜利；这人虽英勇有为，无奈患了癞病。
5:2 	阿兰人先前曾结队出外劫掠，从以色列地掳来一个少女，这少女做了服侍纳阿曼妻子的婢女；
5:3 	她对自己的主母说：「哎！如果我的主人去见撒玛黎雅的先知，他一定会治好他的癞病。」
5:4 	纳阿曼去告诉他的主上说：「以色列地的少女曾如此如此说。」
5:5 	阿兰王说：「你去！我也给以色列王写一封信。」纳阿曼于是带了十「塔冷通」银子，六千「协刻耳」金子和十套礼服去了。
5:6 	他给以色列王呈上信，信上说：「你收到这封信，就知道我打发我的臣仆纳阿曼来见你，是要你医好他的癞病。」
5:7 	以色列王一念了这信，就撕裂自己的衣服说：「难道我是天主，能使人死使人活吗﹖这人竟然给送这个人来，叫我医好他的癞病！你们只要想一想，便可看出，他是找机会来与我寻衅。」
5:8 	天主的人厄里叟听说以色列王撕裂了自己的衣服，便打发人去见君王说:「你为什么撕裂了你的衣服，叫他来见我他就会知道在以色列有先知」
5:9 	纳阿曼于是乘坐车马来到厄里叟的屋门口，就停下了。
5:10	厄里叟派了一个使者对他说：「你去，在约旦河里洗七次，你的肌肉就会复原，得到洁净。」
5:11	纳阿曼生了气，且走且说：「看，我原想他会出来见我，站在我面前，呼求上主他的天主的名，在患处挥动他的手，治好这癞病。
5:12	大马士革的阿巴纳河和帕尔帕尔河，不比以色列所有的河水都好吗﹖我不能在那里洗得洁净吗﹖」他于是转过车来，气愤愤地走了。
5:13	他的仆人们前来对他说：「我父！如果先知吩咐你作一件难事，你岂不是也要做吗﹖何况他只对你说：你去洗洗，就洁净了呢！」
5:14	纳阿曼便下去，按照天主的人的话，在约旦河里浸了七次；他的肌肉就复了原，如同婴儿的肌肉一样，完全洁净了。
5:15	纳阿曼于是同他的全体随员，再回到天主的人那里，站在他面前说：「现在我确实知道：全世界只在以色列有天主。现在，请你收下你仆人的礼物罢！」
5:16	厄里叟回答说：「我指着我所服事的永生上主起誓：我决不接受。」纳阿曼再三催促他接受，厄里叟只有拒绝。
5:17	纳阿曼遂说：「你既不接受，至少请你让你的仆人装去两个骡子所能驮的土，因为你的仆人从此不再给别的神，只给上主奉献全燔祭和祭祀；
5:18	但有一件事，愿上主宽赦你的仆人：就是当我的主上进入黎孟庙宇叩拜时，常是搀扶着我的手，这样我也得随他在黎孟庙宇参拜。当我在黎孟庙宇参拜时，愿上主在这件事上赦免你的仆人！」
5:19	先知对他说：「你放心去罢！」
	
5:20t	革哈齐贪财受罚
	
5:20	纳阿曼离开先知，已走了一段路。那时，天主的人厄里叟的仆人革哈齐心里想：「我的主人白白放过了这个阿兰人纳阿曼，没有接受他所赠送的礼物；我指着永生的上主起誓：我一定要去追上他，向他要点东西。」
5:21	革哈齐遂去追赶纳阿曼。纳阿曼见他在后面追来，便下车迎接他说「都好吗﹖」
5:22	革哈齐回答说：「都好。我主人打发我来对你说：刚才有先知的两个青年弟子，从厄弗辣因山地来看我，请你给他们一「塔冷通」银子和两套礼服。」
5:23	纳阿曼说：「好，就请拿两「塔冷通」罢！」它再三催促革哈齐，将两「塔冷通」银子，放在两个布袋里；还有两套礼服。将这些东西交给两个仆人，叫他们在革哈齐前面拿着。
5:24	当革哈齐到了一座山岗上，便从他们手中接过来，藏在家里；然后辞别他们两人，让他们回去了。
5:25	当革哈齐进去侍立在主人面前时，厄里叟问他说：「革哈齐，你从那里来！」他回答说：「你仆人那里也没有去。」
5:26	先知对他说：「那人下车转来迎接你的时候，我的心岂没有跟你去吗﹖好罢！现在你既收下银子，自然也可以买衣服、橄榄园、葡萄园、牛、羊、仆婢了。
5:27	但是，纳阿曼的癫病也要附在你身上和你的后裔身上，直到永远。」革哈齐从厄里叟面前出来，就患了癞病，像雪那样白。
	
	
6:0t	第六章
	
6:1t	使沉斧浮出
6:1 	众先知的弟子对厄里叟说：「看，我们同你住的地方太窄小了，
6:2 	请你让我们到约旦河去，每人取一根梁木，在那里建造我们的住所。」他答说：「你们去罢！」
6:3 	其中一个人说：「请你也同你的仆人一起去！」厄里叟答说：「我去。」
6:4 	先知便同他们一起去了。他们到了约旦河，就砍伐树木。
6:5 	其中一个，砍木梁时，斧头掉在水里了，就大声叫喊说：哎呦！我主，这把斧子是借来的啊！」
6:6 	天主的人问他说：「斧头掉在那里﹖」那人将那地方指给先知看。先知即砍下一块木头，丢在那里，使斧头浮了上来。
6:7 	先知对他说：「你拿上来罢！」他就伸手拿了上来。
	
6:8t	向以色列王告密
6:8 	阿兰王同以色列交战时，与自己的臣仆商议说：要在某某地方埋伏。
6:9 	但天主的人打发人去见以色列王说：「你要小心提防，不要经过某某地方，因为阿兰人已在那里设下埋伏。」
6:10	以色列王就派人去侦察天主的人警告他的地方；他就小心防备，不只一两次。
6:11	阿兰王为了此事心中颇为烦恼，遂将臣仆召来，对他们说：「难道你们不能告诉我：我们中谁支持以色列王吗﹖」
6:12	一个臣仆答说：「我主，大王！没有谁支持，只有以色列的先知厄里叟，将君王在密室里所谈的事，都告诉了以色列王。」
6:13	阿兰王说：「你们去看看他在那里，我好派人去捉拿。」有人告诉君王说：「他在多堂。」
	
6:14t	诱陷阿兰军队
6:14	阿兰王就打发马队战车和强大的部队前去，夜间到了那里，将城围住。
6:15	天主的人的仆人清早起来出门时，看见军队车马将城包围了，就对先知说：「哎！我主，我们怎么办﹖」
6:16	先知答说：「不必害怕，因为偕同我们的，比他们的还多。」
6:17	厄里叟就祈祷说：「上主，求你开启他的眼，叫他看见。」上主就开了仆人的眼，他看见遍山都是火马车，围绕着厄里叟。
6:18	敌人下到先知那里的时候，厄里叟恳求上主说：「求你打击这个民族，使他们眼目失明。」上主果然照厄里叟的话打击了他们，使他们眼目失明。
6:19	厄里叟对他们说：「不是这条路，也不是这座城；你们跟我来，我要领你们到你们寻找的人那里去。」于是先知领他们到了撒玛黎雅。
	
6:20t	善待诱陷的人
6:20	他们一进了撒玛黎雅，厄里叟就祈祷说：「上主，开启这些人的眼睛，叫他们看见。」上主果然开了他们的眼睛；他们一看，见自己竟在撒玛黎雅城内。
6:21	以色列王看见他们，就对厄里叟说：「我父，要杀死他们吗﹖」
6:22	厄里叟答说：「不要杀他们；你自己用弓剑掳来的人，你岂可杀死﹖你要为这些人预备饭和水，叫他们吃喝，然后让他们回到自己的主上那里去。」
6:23	君王就给他们预备了盛宴，叫他们吃了喝了，打发他们回到自己的主上那里去。从此，阿兰队伍再没有侵犯以色列地方。
	
6:24t	撒玛黎雅被围
6:24	这事以后，阿兰王本哈达得集合了他所有的军队，上来围困撒玛黎雅。
6:25	撒玛黎雅被围困后，陷于严重的饥荒，甚至一个驴头，值八十「协刻耳」银子，四分之一「卡步」豆荚，值五「协刻耳」银子。
6:26	当以色列王从城墙上经过时，有一个妇人呼求他说：「我主大王，救救我罢！」
6:27	君王答说：「如果上主不救你，我怎能救你﹖靠禾场﹖靠酒池﹖」
6:28	君王问那妇人说：「你有什么事﹖」妇人答说：「这个女人曾对我说：把你的儿子交出来，我们今天吃；留下我的儿子，我们明天吃。
6:29	于是我们就把我的儿子煮着吃了。第二天我对那女人说：把你的儿子交出来给我们吃，她却把自己的儿子藏了起来。」
6:30	君王听了这妇人的话，就撕裂了自己的衣服，─当他正在城墙上经过，民众都看见了他贴身穿著苦衣，─
6:31	说「如果沙法特的儿子厄里叟的头，今天还留在他身上，愿天主严厉，且加倍严厉地惩罚我！」
	
6:32t	厄里叟预言解围
6:32	那时厄里叟正坐在屋里，长老们同他坐在一起，君王派一个人在他以前去，但是这人还未来到，厄里叟就对长老们说：「你们看，这个凶手之子，竟派人来要斩我的头。你们注意，使者来到时，你们要把门关上，把他关在门外；在他后面不就是他主上的脚步声吗﹖」
6:33	先知还同他们说话的时候，君王就下到他那里说：「这灾难是由上主来的，我对上主还有什么指望﹖」
	
	
7:0t	第七章
7:1 	厄里叟说：「请听上主的话：上主这样说：明天这个时候，在撒玛黎雅城门口，一「色阿」上等面粉只值一「协刻耳」，两「色阿」大麦，只值一「协刻耳。」
7:2 	那个手扶君王的侍卫回答天主的人说：「纵使上主打开天上的闸，也不会有这样的事！」先知说：「你必亲眼看到，只是吃不上。」
	
7:3t	阿兰军队弃营逃走
7:3 	在城门口有四个癞病人，他们彼此说：「我们为什么在这里坐着等死呢﹖
7:4 	如果我们决意进城去，城里也有饥荒，我们必死在那里；如果留在这里，我们也是一样死；不如去投到阿兰人营中，假如他们让我们活着，我们就活着；假如他们要杀我们，我们就死罢。」
7:5 	他们于是在黄昏时起身，往阿兰人的营盘那里去；及至到了阿兰人的营盘边时，哦！那里一个人也没有了。
7:6 	原来上主早已使阿兰人的营盘中听到战车马队和大军的喧嚣声，他们就彼此说：「呀！以色列王雇用了赫特人王和慕兹黎人王来攻打我们了。」
7:7 	所以，他们在黄昏时，即起身逃走，丢下了他们的帐幕骡马，只顾逃命，留下营盘未动。
7:8 	这些癞病人到了营盘边，进了一个帐幕，又吃又喝，将那里的金银和衣服拿走，去收藏起来；然后又回来，进了另一帐幕，拿走了那里的东西，去收藏起来。
	
7:9t	癞病人报喜讯
7:9 	以后，癞病人彼此说：「我们这样做得不对，今天原是报喜讯的日子，我们竟然不声不响；如果等到早晨天亮，我们就有罪了。来，现在我们就去向王室报信！」
7:10	他们于是去向把守城门的人喊叫，给他们报告说：「我们曾到过阿兰人的营盘，那里一个人也没有，也没有人声，只有栓着的马，栓着的驴；帐幕一点未动。」
7:11	把守城门的人就高声喊叫，向王室传报消息。
7:12	君王夜间起来，对自己的臣仆说：「现在让我给你们解释，阿兰人对我们所做的事：他们知道我们闹饥荒，所以离开营盘，埋伏在田间，心想：以色列人必由城里出来，那时，我们可将他们活活捉住，然后开进城去。」
7:13	有个臣仆回答说：「请叫人从这里所剩下的马中，牵出五匹来，无论怎样，同别的一样要死，倒不如派人去看看。
7:14	他们于是推出两辆战车，五匹马，君王就派他们去追赶阿兰军队说：「你们去看看！」
7:15	那些人追踪阿兰人，直到约旦河，见路上满是阿兰人在仓卒逃走中，丢下的衣服和装备；使者们便回来报告了君王。
	
7:16t	先知预言的应验
7:16	人民便出来抢掠了阿兰人的营盘。于是，一「色阿」上等面粉，只值一「协刻耳，」两「色阿」大麦，只值一「协刻耳，」正应验了上主所说的话。
7:17	君王派定那手扶自己的侍卫，把守城门；但人民在城门口把他踏死了，应验了天主的人，在君王下来见他时，所说的话。
7:18	原来，天主的人对君王说过：「明天这个时候，在撒玛黎雅城门口，一『色阿』上等面粉，只值一『协刻耳，』两『色阿』大麦，只值一『协刻耳。』」
7:19	那侍卫曾回答天主的人说：「纵然上主打开天上的闸，也不会有这样的事！」先知答说：「你必亲眼看到，只是吃不上。」
7:20	这事果然发生在他身上了：人民在城门口把他踏死了。
	
	
8:0t	第八章
	
8:1t	叔能妇人求回家产
8:1 	厄里叟对自己曾复活其子的妇人说：「你和你的家人，应动身往你能居住的地方去侨居，因为上主已决定，这地快要遭受七年饥荒」
8:2 	那妇人就立即照天主的人所说的话作了；她和她的家人动身走了，在培肋舍特人的地方，侨居了七年。
8:3 	过了七年，这妇人从培肋舍特地方回来，便去求君王，要收回自己的房屋和田地。
8:4 	那时，君王正与天主的人仆人革哈齐谈话，说：「请你将厄里叟作的一切大事，讲给我听！」
8:5 	当革哈齐正向君王讲述先知如何复活死人的时候，恰好厄里叟曾复活其子的那妇人，前来求君王，要收回自己的房产和田地，革哈齐就说：「我主，大王！这就是那妇人，这就是厄里叟所复活的那儿子。」
8:6 	君王问那妇人，妇人便将那件事告诉了君王；君王于是将她的事，委托给一个宦官，吩咐他说：「凡这妇人的一切，和自从她离开此地直到今日，田地里的一切出产，都应归还给她。」
	
8:7t	厄里叟预言哈匝耳为王
8:7 	厄里叟来到大马士革时，阿兰王本哈达得正在患病，有人告诉君王说：「天主的人到这里来了。」
8:8 	君王对哈匝耳说：「你随身带些礼物，去拜见天主的人，托他求问上主，我这病还能好吗﹖」
8:9 	哈匝耳就带了四十匹骆驼，满载着大马士革出产的上等礼品，前去拜见先知；到了以后，就站在先知面前说：「你的弟子阿兰王本哈达得打发我来问你：我这病还能好吗﹖」
8:10	厄里叟对他说：「你去告诉他：一定会好；但上主指示我：他一定要死。」
8:11	厄里叟定睛凝视哈匝耳，直使哈匝耳感到惭愧。这时天主的人就哭了。
8:12	哈匝耳问说：「我主，你为什么哭﹖」先知回答说：「因为我已知道你将要加于以色列子民的恶行：你要放火焚毁他们的堡垒，用刀杀死他们的青年，摔死他们的儿童，剖开他们的孕妇。」
8:13	哈匝耳说：「你的仆人算什么﹖只不过是一条狗，他如何能作出这样的大事﹖」厄里叟回答说：「上主已指示给我，你要作阿兰王。」
8:14	哈匝耳就离开厄里叟，回去见他的主上；君王问他说：「厄里叟对你说了些什么﹖」他回答说：「他告诉我：你一定会好。」
8:15	到了第二天，哈匝耳拿了被衾浸在水中蒙在君王的脸上，君王就这样死了；哈匝耳就篡位为王。
	
8:16t	约兰为犹大王
8:16	以色列王阿哈布的儿子耶曷兰五年，犹大王约沙法特的儿子约兰登极为犹大王。
8:17	他即位时年三十二岁，在耶路撒冷为王八年。
8:18	他走了以色列王所走的道路，像阿哈布家所行的一样，因为他娶了阿哈布的女儿为妻，行了上主视为恶的事。
