1:-1t	亚毛斯		
3:6 	如在城中吹起号角，人民岂不恐怖﹖如城里发生灾祸，岂不是上主所为﹖		
3:7 	的确，吾主上主若不先将自己的计划启示给自己的先知，什么也不作。		
3:8 	狮子咆哮了，谁不害怕﹖吾主上主发了言，谁能不传他的话﹖」		
			
4:9t	撒玛黎雅的结局		
4:9 	「你们要在亚述和埃及的宫殿高处宣布说：你们应聚集在撒玛黎雅山上，观看那里的混乱和其中的残暴。		
4:10	他们不知行正直的事──上主的断语──只知在宫殿内积累强暴和欺压。		
4:11	因此，吾主上主这样说：「敌人要围困此地，推翻你的堡垒，抢掠你的宫殿。		
4:12	上主这样说：牧人怎样从样由狮子口中抢救出两条羊腿，或一块羊耳，以色列子民，即在撒玛利亚斜倚在安乐椅角上，或大马士革榻上的人，也要怎样被救出。		
4:13	你们静听，并对雅各伯家作证──吾主上主万军的天主的断语──		
4:14	在我惩罚以色列罪恶之日，我必毁坏贝特耳的祭坛，祭坛的角必被打落在地上。		
4:15	我要破坏过冬和过夏的别墅，象牙宫也必遭毁坏，高楼大厦也必荡然无存」──上主的断语。		
			
			
4:0t	第四章(13)		
			
4:1t	祸哉撒玛黎雅妇女		
4:1 	你们这些欺压弱小，虐待穷人，且对自己丈夫说：「拿酒来，我们畅饮」的撒玛黎雅山上巴商母牛，听听这话吧!		
4:2 	吾主上主指着自己的神圣起誓说：「看，对付你们的日子快到，人必用钩子把你们钩去；直到你们最后一个也必被人用鱼钩钩去。		
4:3 	你们一个一个地经过城墙的裂口，被押到赫尔孟去」──上主的断语。		
			
4:4t	以色列因非法敬礼而受罚		
4:4 	「你们去贝特耳犯罪吧!去基耳加耳罪上加罪吧!每晨奉献你们的牺牲，每三天奉献你们的什一之物，		
4:5 	焚烧有酵供物当作感恩祭，高声宣扬你们自愿献的祭献!以色列子民，你们原喜欢这样──吾主上主的断语──		
4:6 	虽然我使你们一切城市饥荒，到处缺粮，但你们还是不归向我──上主的断语──		
4:7 	收割前三个月，我就不给你们降雨，或者在这城下雨，在另一城却不降雨；这块地得了雨，而另一块地没有得雨，因而枯干了；		
4:8 	两三座城的人踉踉跄跄走到另一城里去喝水，却不能喝足；虽然如此，你们还是不归向我──上主的断语──		
4:9 	我使热风和霉烂袭击你们，使你们的田园和葡萄园干旱；蝗虫又吃光了你们的无花果树和橄榄树，但你们还是不归向我──上主的断语──		
4:10	我在你们中降下了瘟疫，如在埃及一样，用刀剑杀了你们的精兵，令人掳掠你们的战马，使你们营中腥臭扑鼻，但你们还是不归向我──上主的断语─		
4:11	我倾覆了你们，像天主倾覆了索多玛和哈摩辣，你们好似由火中抽出来的木柴，但你们还是不归向我──上主的断语──		
4:12	为此，以色列!我必要这样对待你。以色列!因我要这样对待你，你准备迎接你的天主罢!		
4:13	看，是衪形成了山岳，创造了风暴，向人宣示衪的旨意，造成黎明和黑暗，在大地高处巡行，衪的名字叫「雅威，」万军的天主。		
			
			
5:0t	第五章(27)		
			
5:1t	哀吊以色列		
5:1 	以色列家!你们应听这话，应听我为你们唱的这首哀歌!		
5:2 	「以色列处女已跌倒，不能再起；摔在地上，无人搀扶。		
5:3 	因为吾主上主这样论以色列家说：出一千兵的城只生还一百；出一百的，只生还十个。寻求上主者生，作恶者亡。		
5:4 	因为上主这样对以色列家说：你们寻求我，才可生存。		
5:5 	不可往贝特耳求助,不可往基耳加耳，不可去巴尔舍巴，因为基耳加耳必被掳掠，贝特耳必化为乌有。	
5:6 	你们寻求上主，才可生存，免得衪如火冲入若瑟家中，烧毁一切，无人能为以色列家扑灭。		
5:7 	是衪创造了昴星和参星，变昏黑为黎明，使白昼为黑夜，召海水而倾流于地面，衪名叫「雅威。」		
5:8 	衪使灭亡闪击强者，使毁灭临于城堡。		
5:9 	凡以毒害代替公正，弃正义于地的，是有祸的!		
5:10	他们憎恨在城门口主持公道的人，厌恶讲真话的人。		
5:11	为此，你们既然欺压穷人，向他们横征钱粮，你们纵然用方石建筑了房屋，却不得住在里面；栽植了美丽的葡萄园，却喝不到园中的酒。		
5:12	因为我知道你们罪恶多端，过犯重大：欺压义人，接受贿赂，在城门口冤枉穷人；		
5:13	因此明智人在此时缄默不言，因为这是邪恶的时代。		
5:14	你们应寻求善，不可寻求恶：这样你们才能生存；上主万军的天主也必与你们同在，正如你们所说的。		
5:15	你们应恶恶好善，在城门口主张正义，或许万军的天主会怜悯若瑟的遗民。」		
			
5:16t	上主亲来惩罚		
5:16	为此，万军的天主，吾主上主这样说：「人必在一切广场上哀悼，人必在各街道上说：哀哉!哀哉!并且召农人们来吊信，叫会哭的人来痛哭。		
5:17	在所有的葡萄园中，人必哀哭，因为我要在你们中间经过」──上主说。		
			
5:18t	上主的日子		
5:18	「那仰望上主日子来临的人是有祸的!上主的日子为你们有什么好处﹖那是黑暗和无光明之日，		
5:19	好似人逃避了狮子，又遇到了狗熊；进到房屋里，手扶在墙上，却被蛇咬伤。		
5:20	上主的日子岂不是黑暗而没有光明吗﹖那日实在幽暗而漆黑!		
			
5:21t	申斥不义者的祭献		
5:21	「我痛恨厌恶你们的庆节；你们的盛会，我也不喜悦；		
5:22	既使你们给我奉献全燔祭和素祭，我仍不悦纳；既使你们献上肥牲作和平祭，我也不垂顾。		
5:23	让你们喧嚷的歌声远离我；你们的琴声，我也不愿再听；		
5:24	只愿公道如水常流，正义像川流不息的江河!		
5:25	以色列家!你们在旷野中四十年，何尝给我奉献过牺牲和素祭﹖		
5:26	你们应抬着自己所造的偶像，即你们的君王撒雇特和你们的星神克汪，		
5:27	因为必使你们充军到大马士革之外，」名叫「万军的天主」的上主说。		
			
			
6:0t	第六章(14)		
			
6:1t	斥责安享快乐的人		
6:1 	那些安身熙雍，自恃撒玛黎雅山，自命为诸民之首，为以色列家所归之人，是有祸的!		
6:2 	你们去加耳乃观察一下，从那里到大哈玛特，然后下到培肋舍特人的加特，看你们是否比这些国更好﹖或者你们的疆域比他们的更广大，		
6:3 	那些想避开凶日的，却接近了残暴。		
6:4 	他们躺在象牙床上，棋横卧在软榻上，吃着羊群中的羔羊和牛栏中的牛犊，		
6:5 	伴着琴声吟咏，自比达味，发明乐器，		
6:6 	大碗喝酒，以上等的油抹身，但对若瑟的崩溃，却漠不关心。		
6:7 	为此，这些人现在就要先被掳去；放荡不羁者的狂欢，也就完了。		
			
6:8t	骄奢的悲惨结局		
6:8 	吾主上主指着自己起誓──上主万军的天主的断语──我厌恶雅各伯的骄傲，痛恨他的宫殿；我必将城和城中所有的一切交出。		
6:9 	倘若在一家中留下了十个人，也必死尽。		
6:10	幸免的少数亲友，由屋内抬出他们的骨骸，问那内室深处的人说：「还有人同你在一起吗﹖」他必说：「没有了。」继而说：「不要做声，千万不要提上主的名字!」		
6:11	看，上主一下令，高楼大厦顿成瓦砾，矮小平房荡然无存。		
6:12	马岂能在悬崖上奔驰，牛岂能在海上耕作﹖你们竟将公道变为毒药,将正义之果变为苦药!	
6:13	你们为了罗德巴尔而自鸣得意，且说：「我们岂不是靠自己的力量取得了卡尔纳殷﹖」		
6:14	然而，以色列家!看，我必要唤起一个民族来攻打你们，──上主万军的天主的断语──从哈玛特关口蹂躏你们直到阿辣巴河。		
			
			
7:0t	第七章(17)		
			
7:1t	神视一　蝗灾		
7:1 	吾主上主叫我看见这事：割完君王的青草，当晚草初生时，看,蝗虫出现了。	
7:2 	当蝗虫要吃光地上的青草时，我就说：「吾主上主，求你饶恕罢!雅各伯还怎能存在﹖他已这样弱小!」		
7:3 	上主对这事后悔了。上主说：「这事不会发生。」		
			
7:4t	神视二　旱灾		
7:4 	吾主上主叫我看见这事：看，吾主上主召来惩罚的火，烧毁了广大的深渊，又烧毁了上主的基业。		
7:5 	我就说：「吾主上主!求你罢休!雅各伯还怎能存在﹖他已这样弱小!」		
7:6 	上主对这事后悔了。吾主上主说：「这事也不会发生。」		
			
7:7t	神视三　铅垂线		
7:7 	吾主上主叫我看见这事：看，有一个人立在墙上，手中拿着一条铅垂线。		
7:8 	上主对我说：「亚毛斯，你看见了什么﹖」我答说：「一条铅垂线。」吾主说：「看，我将铅垂线安置在我民族以色列当中，我不再放过她。		
7:9 	依撒格的高丘必要荒芜，以色列的圣所必要废弃；我必起来用刀攻击雅洛贝罕家。」		
			
7:10t	先知被放逐		
7:10	那时，贝特耳司祭阿玛责雅派人向以色列王雅洛贝罕说：「亚毛斯在以色列家中图谋背叛你，国家再不能容受他的一切言论，		
7:11	因为亚毛斯这样说：雅洛贝罕必死于刀下，以色列必被掳去充军，远离本土。」		
7:12	事后，阿玛责雅又向亚毛斯说：「先见者，你走吧!赶快到犹大国去，在那里糊口，在那里讲预言。		
7:13	在贝特耳不可讲预言，因为这里是君王的圣所,王国的殿宇。」		
7:14	亚毛斯回答阿玛责雅说：「我原不是先知，也不是先知的弟子，只是一个放羊兼修剪野无花果树的人。		
7:15	但是，上主正在我赶羊时提了我来。上主对我说：你去向我的百姓以色列讲预言吧!		
7:16	现今,你且听上主说什么。你说：不要讲预言攻击以色列，不要发言反对依撒格家!		
7:17	为此，上主这样说：你的妻子必在城中卖淫，你的子女必丧身刀下，你的田地必被人以绳墨瓜分，你自己必死在不洁之地，以色列必被掳去充军，远离本土。」		
			
			
8:0t	第八章(14)		
			
8:1t	神视四　果篮		
8:1 	吾主上主叫我看见这事：看，有一篮熟果子。		
8:2 	上主说：「亚毛斯，你看见了什么﹖」我答说：「一篮熟果子。」上主又向我说：「我百姓以色列的结局已成熟，我不再放过她。		
8:3 	在那一天，王宫中的歌女必要哀号──吾主上主的断语──尸体成堆，拋在各处，鸦雀无声。」		
			
8:4t	斥责欺诈		
8:4 	压榨穷人，使世上弱小绝迹的人哪!你们应听。		
8:5 	你们说：「月朔几时才过去，好让我们卖五谷?安息日几时才过去，好让我们打开粮仓，缩小「厄法，」加重「协刻尔，」用假秤欺人﹖		
8:6 	用银钱购买穷人，以一双鞋换取贫人，连麦糠也卖掉﹖」		
8:7 	上主指着雅各伯的夸耀起誓说：「我永不会忘了你们的所作所为。		
8:8 	难道不是因此大地才震动，地上居民才悲号，全地汜滥有如尼罗，退落有如埃及大河﹖		
8:9 	在那一天──吾主上主的断语──我必使太阳在中午落下，使大地白昼变为黑暗；		
8:10	使你们的喜庆变为丧事，使你们的一切乐曲变为哀歌，使你们都腰系苦衣，头都剃光；使你们哀悼，如哀悼独生子，使那一天绐终是愁苦的日子。		
8:11	看，那日子一来临──吾主上主的断语──我必使饥饿临于此地，不是对食物的饥饿，也不是对水的饥渴，而是对听上主的话的饥渴。		
8:12	他们必由这海走到那海，由北至东，去寻求上主的话，却寻不到。		
8:13	那一天，美丽的处女和健壮的青年，必因饥渴而晕眩。		
8:14	那些指着撒玛黎雅的罪过起誓，那些说：「丹，你的神永在，」或说：「贝尔舍巴，你的护守神永在」的人，必要跌倒，再不能起来。		
			
			
9:0t	第九章(15)		
			
9:1t	神视五　上主消灭恶人无一幸免		
9:1 	我看见吾主站在祭坛旁，击打柱帽，门限震动。衪说：「我要砍下他们众人的头，剩下的要用刀杀尽；他们中一个也逃不了，一个也不能幸免生存。		
9:2 	既使钻入阴府，我的手必从那里将他们揪出；既使飞上高天，我也必从那里将他们拉下；		
9:3 	既使藏在加尔默耳山顶，我必去搜寻，从那里将他们逮回；既使避开我的眼目逃入海底，我也必令蛟龙将他们咬死；		
9:4 	既使在敌人面前被掳去充军，我必命刀剑杀死他们；我的眼注视他们，是为加害，不是为祝福。」		
9:5 	吾主万军的上主一触摸大地，大地就溶化，地上所有的居民便都哀号，全地泛滥有如尼罗，退落有如埃及大河。		
9:6 	衪在高天建造了楼阁，在地上奠定了穹苍，召海水倾流于地面，衪名叫「雅威」。		
9:7 	以色列子民!你们对我岂不是像雇士子民﹖──上主的断语──岂不是我由埃及领出了以色列，由加非托尔领出了培肋舍特人，由克尔领出了阿兰人﹖		
9:8 	看，吾主上主的眼注视这犯罪的国家，我必由此地面上将她消灭。		
			
9:9tt	复兴的预许		
			
9:9t	然而我不全然消灭雅各伯家──上主的断语──		
9:9 	看，我必下令，要在万民中如人用筛子筛以色列，不让一粒落在地上。		
9:10	我百姓中那些人说：「灾祸不会临近，不会来到我们身上」的一切罪人，都要死在刀下。		
9:11	在那一天，我必树起达味已坍塌的帐幕，修补它的缺口，重建它的废墟：使它重建有如往日，		
9:12	使他们征服厄东的遗民和属于我名下的万民──行这事的上主的断语──		
9:13	看，时日将到，──上主的断语──那时耕田的人要紧靠着收割的人，榨酒的人要紧靠着播种的人；山岭要滴下新酒，丘陵都要溶化奔流。		
9:14	我必要转变我民以色列的命运，他们必要重建已荒废的城市，再住在其中；栽植葡萄园，饮其中的美酒；耕种田园，吃其中的出产。		
9:15	我要将他们栽植在自己的地内，他们不会再从我赐与他们的地上被拔除──上主你的天主说。		
			
