1:-1t	匝加利亚		
2:16	上主必在圣地内占据犹大作为自己的产业，衪仍要拣选耶路撒冷。		
2:17	凡有血肉的，在上主面前应肃静!因为他已由他的圣所起身。		
			
			
3:0t	第三章(10)		
			
3:1t	第四个神视　撒殚控告耶叔亚大司祭		
3:1 	以后上主使我看见大司祭耶叔亚，站在上主的使者面前，同时撒殚站在耶叔亚右边控告他。		
3:2 	上主的使者对撒殚说：「惟愿上主责斥你，撒殚!惟愿拣选耶路撒冷的上主责斥你。这不是由火中抽出来的一根木柴吗﹖﹖」		
3:3 	那时耶叔亚身穿污秽的衣服，站在使者的面前。		
3:4 	使者就吩咐那些立在他面前的说：「脱去他身上污秽的衣服!」以后向他说：「看，我已脱去了你的罪过，给你穿上华丽的礼服。」		
3:5 	随后接着吩咐说：「在他头上缠上一条洁净的头巾!」他们就在他头上缠上了一条洁净的头巾，给他穿上了洁净的礼服。那时，上主的使者，站在旁边。		
3:6 	上主的使者便劝诫耶叔亚说：「		
3:7 	万军的上主这样说：如果你遵行我的道路，谨守我的法令，你便可以管理我的家，看守我的庭院；我必要使你在这些侍立者中，自由出入。」		
			
3:8t	有关默西亚的预言		
3:8 	所以，大司祭耶叔亚，你且听着：你和坐在你面前的同伴都是作预兆的人。看，我必要使我的仆人「苖芽」生出。		
3:9 	看，这是我在耶叔亚面前安置的石头，在这惟一的石头上有七只眼睛；看!我要亲自在石上刻上题名──万军上主的断语──并且要在那一天除去地上的罪恶。		
3:10	在那一天──万军上主的断语──你们必要互相邀请自己的邻里，到葡萄树和无花果树下。		
			
			
4:0t	第四章(19)		
			
4:1t	第五个神视　金灯台和两棵橄榄树		
4:1 	那与我谈话的使者又来唤醒我，如唤醒梦中人一样；		
4:2 	他问我说：「你看见了什么﹖」我回答说：「我看见，啊!一座纯金的灯台，顶上有一个油壶和七盏灯，顶端那七盏灯具有七条导管。		
4:3 	而灯台两旁有两棵橄榄树，一左一右。		
4:4 	我便问那与我谈话的使者说：「我主，这是什么意思﹖」		
4:5 	那与我谈话的使者回答我说：「你不知道这是什么意思吗﹖」我说：「我主，不知道。」		
4:6 	他向我说：「		
4:10	这七盏灯就是那遍察全地的上主的眼睛，」		
4:11	我又问他说：「这灯台左右的两棵橄榄树是什么意思﹖」		
4:12	我再问他说：「这两根经两个金管流出黄金色油的橄榄树枝，是什么意思﹖」		
4:13	他对我说：「你不知道这是什么意思吗﹖」我回答说：「我主，不知道。」		
4:14	他说：「这是侍立在全地的主宰面前的两位受傅者。」		
			
4:15t	上主藉则鲁巴贝耳的手为重建圣殿奠基		
4:15	这是上主关于则鲁巴贝耳所说的话：不是藉权势，不是藉能力，而是藉我的神能──万军的上主说。		
4:16	大山啊!你算得什么﹖在则鲁巴贝耳面前，你必化为平地!他要在「好啊!好啊!」的欢呼声中搬出角石。		
4:17	上主的话传给我说：		
4:18	则鲁巴贝耳的手奠定了这殿宇的基础，他的手也要完成这工程：这样你们便知道：是万军的上主派遣了我到你们这里来。		
4:19	因为谁敢为了事业开端的微小，就轻视这一天呢﹖当他们看到则鲁巴贝耳手中拿出笠石时，就要高兴喜乐了。		
			
			
5:0t	第五章(11)		
			
5:1t	第六个神视　飞卷		
5:1 	我又举目观望，望见有一飞卷。		
5:2 	他问我说：「你看见了什么﹖」我说：「我见一本飞卷，长二十肘，宽十肘。」		
5:3 	他对我说：「这是向全地面散发的诅咒：凡偷窃的，必要按这卷所记载的被除掉；凡起假誓的，也必要按这卷所记载的被除掉。		
5:4 	我要发出这诅咒──万军上主的断语──它必进入盗贼的家和指着我名起假誓的家，住在那人家中，将这家，连它的木枓和石头一并毁灭。」		
			
5:5t	第七个神视　坐在厄法中的女人		
5:5 	那与我谈话的使者又出来对我说：「你要举目观看这出来的是什么﹖」		
5:6 	我反问说：「那是什么﹖」他回答说：「这出来的是『厄法』。」他又说：「这表示人在全地上的罪恶。」		
5:7 	看，铅盖揭开了，在『厄法』当中坐中着一个女人。		
5:8 	他于是说：「这是罪恶。」遂把她再装在『厄法』里，把铅盖盖在『厄法』的口上。		
5:9 	我又举目观看，见有两个女人出现，有风吹动她们的翅膀──她们的翅膀好象鹤鸟的翅膀──她们的将『厄法』提到天地之间。		
5:10	我遂对那与我谈话的使者说：「她们将『厄法』带到哪里去﹖」		
5:11	他回答我说：「要往史纳尔地去，建造一座房屋；房屋一落成，就把它安置在那里。」		
			
			
6:0t	第六章(15)		
			
6:1t	第八个神视　四辆马车		
6:1 	我再举目观望，看，有四辆马车由两山间出来；这两座山都是铜山。		
6:2 	第一辆车套着栗色的马，第二辆车套着黑色的马，		
6:3 	第三辆车套着白色的马，第四辆车套着杂色的马，都很雄壮。		
6:4 	我问那我谈话的使者说：「我主，这是什么意思﹖」		
6:5 	使者答应我说：「这些是侍立在全地的主宰之前，而今向丌下四出发的：		
6:6 	那套着黑马的，向北方出发，白马则跟在后面出发，杂色的向南方出发。」		
6:7 	这些雄壮的马出来，切愿在地上往来巡逻。他于是说：「你们去，在地上巡逻吧!」它们就在地上巡逻。		
6:8 	以后，他呼唤我，对我说：「你看，向北方出发的，己在北方平息了上主的怒气。」		
			
6:9t	含有象征意义的金冠		
6:9 	上主的话又传给我说：		
6:10	「你该由归来的俘虏手中，即由赫耳特、托彼雅和耶达雅的手中取些礼物，就在今天，到巴比伦回来的责法尼雅的儿子约史雅的家里去。		
6:11	你要拿银子和金子，做一顶冠冕，戴在大司祭约匝达克的儿子耶叔亚的头上，		
6:12	然后对他说：万军的上主这样说：看，有一个人名叫「苗芽」，他自动萌芽，他要建筑上主的殿宇。		
6:13	是要建筑上主的殿，是他要承受尊荣，坐在宝座上执政；并且有一位司祭立在他右边，他们二人之间必和平相处。		
6:14	这顶冠冕要存在上主的殿内，作为赫尔待、托彼雅、耶达雅和责法尼雅的儿子约史雅的记念。		
6:15	远方的人必来共同建筑上主的殿；如此，你们便知道：是万军的上主派遗了我到你们这里来。如果你们真听从上主你们天主的声音，这事必要实现。」		
			
			
7:0t	第七章(14)		
			
7:1t	斋戒问题		
7:1 	达理阿王四年九月，即「基色娄」月四日，上主的话传给匝加利亚。		
7:2 	由贝特耳派遣了君王的官员撒辣责尔和他的侍从去向上主请示，		
7:3 	去问万军上主殿里的司祭和先知们说：我是否在五月里仍要哭泣和斋戒，像我多年以来所作的一样﹖」		
7:4 	那时万军上主的话传给我说：		
7:5 	「你向国内全体民众和司祭们说：你们在五月和七月斋戒哭泣，至今已七十年了，岂是为了我而斋戒吗﹖		
7:6 	你们几时吃喝，岂不是为你们自己吃，为你们自己喝吗﹖		
7:7 	难道你们不知道，当耶路撒冷还有人安居，她四周的城邑，南部和平原也有人居住时，上主藉古先知们所宣布的训令吗﹖」		
			
7:8t	古先知宣言的意义		
7:8 	那时，上主有话传给匝加利亚说：		
7:9 	「万军的上主这样说：你们应照公正裁判，以仁义和友爱彼此相待；		
7:10	不可欺压寡妇和孤儿，外方人和贫穷人；不可心中图谋恶事陷害人。		
7:11	但是你们不肯听从，硬着颈项，充耳不闻。		
7:12	他们使自己的心硬如金刚石，不听从法律，和万军的上主以自己的神感动古先知们所发表的训令，为此，万军的上主曾大发愤怒。		
7:13	那么，就如我呼唤时，他们不肯听；同样他们呼喊时，我也不肯听──万军的上主说──		
7:14	因此，我把他们驱散到他们所不认识的各民族中，以致在他们去后，国土荒废，无人住来；他们竟使美好的土地变成了一片荒野。」		
			
			
8:0t	第八章(23)		
			
8:1t	以民的复兴		
8:1 	又有万军上主的话：		
8:2 	万军的上主这样说：「我以极度的挚爱，爱着熙雍，为了她我发了很大的妒恨。		
8:3 	上主这样说：我要返回熙雍，住在耶路撒冷；耶路撒冷将称为『忠城』，万军上主的山将称为『圣山』。」		
			
8:4t	复兴时代的升平		
8:4 	万军的上主这样说：「将有老夫老妇坐在耶路撒冷各街市上，每人因年高老迈，手中扶着拐杖；		
8:5 	城里街市上，都要满了男女儿童，在街市上游戏。		
8:6 	万军的上主这样说：到那些时日，这事在这百姓的遗民眼中是件奇事，难道在我眼中也是件奇事吗﹖──万军上主的断语。		
8:7 	万军的上主这样说：看，我要由日出之地和日落之地救回我的百姓；		
8:8 	我要本着忠实和正义，领他们回来，住在耶路撒冷；他们要作我的百姓，我要作他们的天主」。		
			
8:9t	复兴时代的幸福		
8:9 	万军的上主这样说：「当建筑万军的上主殿，奠基的时日，你们由先知口中听见这话的人，应加强你们的手臂。		
8:10	既使在这些日子以前，人得不到工资，牲畜也没有报酬，出入的人因了仇敌都得不到平安，因为我曾使人互相攻击；		
8:11	但是现今我对待这百姓的遗民，决不像住日一样──万军上主的断语。		
8:12	因为我要散播和平；葡萄树必结果实，土地必有出产，苍天必降甘露；我必要使这百姓的遗民获得这一切。		
8:13	犹大家和以色列家，昔日你们在异民中怎样成为可诅咒的，将来我也要照样拯救你们，使你们受人祝福；你们不要害怕，应加强你们的手臂!		
8:14	因为万军的上主这样说：就如你们的祖先惹我发怒的时候，我曾决意惩罚你们──万军的上主说──而毫不动情；		
8:15	照样，在这些日子里，我也要决意善待耶路撒冷和犹大家；你们不要害怕!		
8:16	你们应该遵行的训令是：彼此谈话要诚实，在城门口应作公正与和平的裁判；		
8:17	不可心中图谋恶事，彼此相害，也不可喜欢发假誓，因为这一切都是我所憎恶的──上主的断语。」		
8:18	万军上主的话传给我说：		
8:19	「万军的上主这样说：四月的斋戒、五月的斋戒、七月的斋戒和十月的斋戒，为犹大家将变为愉快和喜乐以及欢跃的佳节；但你们应爱好忠实与和平」。		
			
8:20t	异民归依真主		
8:20	万军的上主这样说：「还有许多民族和各大城市的居民要前来；		
8:21	一城的居民到另一城去，向该城的居民说：我们快去恳求上主开恩，去寻求万军的上主!──我也同去。」		
8:22	将有许多民族和强盛的国民，来到耶路撒冷寻求万军的上主，恳求上主开恩。		
8:23	万军的上主这样说：「在那日子里，十个说异国方言的人将抓住一个犹太人的衣服说：我们要同你们一起去，因为我们听说天主与你们在一起」。		
			
			
9:0t	第九章(17)		
			
9:1t	上主审判异民		
9:1 	神谕：上主的话临于哈得辣客地，停在大马士革，因为阿兰的眼珠也像以色列的各支派一样，是属于上主的。		
9:2 	哈玛特也要属于衪的版图，还有极其明智的漆冬。		
9:3 	提洛为自己建筑了碉堡，堆积的银子多如尘土，金子像街市上的泥土。		
9:4 	看，吾主必要占据她，把她的财富拋入海中；她必为火所吞灭。		
9:5 	阿市克隆见了，必要害怕；迦萨也要极度战憟，厄刻龙也是如此，因为她依赖的，遭受了羞辱。迦萨的君王必要丧亡，阿市刻隆没有人居住。		
9:6 	阿市多得必为杂种所居住。当我这样消除了培肋舍特人的傲慢，		
9:7 	由他的口中除去带血的祭肉，从他的牙齿间除去可憎的祭物之后，他的遗民也必要归属于我们的天主，有如犹大中的一个家族；厄刻龙也必像耶步斯人。		
9:8 	我要为我的家自作营寨，防御往来的人，不再让残暴者由他们中间经过，因为如今我要亲眼防守。		
			
9:9t	预言默西亚荣进京城		
9:9 	熙雍女子，你应尽量喜乐!耶路撒冷女子，你应该欢呼！看，你的君王到你这里来，他是正义的，胜利的，谦逊的，骑在驴上，骑在驴驹上。		
9:10	他由厄弗辣因铲除战车，从耶路撒冷除掉战马，作战的弓箭也要被消灭；衪要向万民宣布和平，衪的权柄由这海到那海，从大河直到地极。		
			
9:11t	以民重归故乡		
9:11	你，熙雍女子！因了你盟约的血，我要从无水地牢中释放你的俘虏。		
9:12	怀着希望的俘虏，必要回到你这里。熙雍女子！我必双倍偿还你在充军之日所遭受的一切，		
9:13	因为我要以犹大作我张开的弓，以厄弗辣因作我弓上的箭。熙雍!我要鼓动你的子民，使你有如勇士的剑，为攻击雅汪子民。		
9:14	上主必要在他们上面出现，像闪电一般射出衪的箭；吾主上主必要吹起号角，乘着南方的旋风前来。		
9:15	万军的上主必保卫他们，使他们前进，践踏石的人；他们必要喝他们的血，有如喝酒；饱享鲜血，有如祭坛的四角。		
9:16	到那一天，上主他们的天主，必要拯救他们，要牧放他的百姓，有如牧放羊群；他们将如王冠上的宝石，在他的地上闪烁。		
9:17	那时，此地是多么幸福，多么美丽！五榖滋养少男，新酒培育处女。		
			
			
10:0t	第十章(12)		
			
10:1t	只当向上主求恩		
10:1 	到春雨的时节，你们应向上主求雨，上主必兴起雷电，降下倾盆大雨，赐人食粮，使田间生出青草，		
10:2 	因为「忒辣芬」所讲的只是谎言，占卜者所见的只是虚幻，所报告的只是幻梦，只会以空言安慰人；为此，民众流离失所，有如没有牧者的羊群。		
			
10:3t	以民必将复兴		
10:3 	我的怒火必要向牧人发作，我必要惩罚公山羊，因为万军的上主将要看顾自己的羊群──犹大家，使他们有如自己战埸上的骏马。		
10:4 	角石是出于衪，幕椿是出于衪，战弓是出于衪，而且所有的首领也是出于衪。		
10:5 	他们全如勇士，在战埸上践踏敌人，有如践踏街上的泥泞；他们必要得胜，因为上主与他们同在；骑马的人反要惭愧!		
10:6 	我要使犹大家强健盛，使若瑟家胜利；我要使他们复兴，因为我怜悯了他们，他们必好象我从未放逐过他们一样：因为我是上主他们的天主，我必要应允他们。		
10:7 	厄弗辣因人要如勇士，他们的心必像饮了酒那样喜乐；他们的子孙见了也要喜乐，他们的心必欢乐于上主。		
10:8 	我要向他们吹哨，聚集他们，因为我解救了他们；他们的人数众多，必如昔日一样。		
10:9 	我虽曾将他们分散到各异民中，但他们在远方仍怀念着我，养大自己的儿子，然后归来。		
10:10	我要从埃及地领他们回来，由亚述聚集他们，领他们到基肋阿得地和黎巴嫩，但此地为他们仍然不够。		
10:11	他们要渡过埃及海，击打海中的波浪，使河底干涸；亚述的高傲必要受挫，埃及的权仗必被夺去。		
10:12	他们的力量全在于上主，他们必以他的名号为自己的光荣──上主的断语。		
			
			
11:0t	第十一章(17)		
			
11:1t	骄傲的报应		
11:1 	黎巴嫩！打开你的门，让火来吞灭你的香柏！		
11:2 	松树，哀号吧!因为香柏已被伐倒，高大者已被摧毁；巴商的橡树，哀号吧!因为不可深入的树林全已倒下。		
11:3 	听，牧人在哀号，因为他们的的光荣己被破坏；听，幼狮在咆哮，因为约旦的豪华已遭摧毁。		
			
11:4t	牧人的比喻		
11:4 	上主，我的天主这样说：「你要牧放这待宰的羊群！		
11:5 	那些购买它们来宰杀的，以为无过；那卖出他们的的还说；上主应受赞美，因为我成了富翁!那牧放它们的，毫不怜惜它们。		
11:6 	我也决不再怜恤这地上的居民──上主的断语；看，我要将每个人交在他的的牧人手中．和他的君王手中，让他们毁灭这地，我决不由他们手中抢救。		
11:7 	这样我就代替卖羊人牧放待宰的羊群。我取了两根棍杖：一根我称它为「爱护」，一根我叫它作「联合」；我这样牧放了羊群。		
11:8 	在一个月内，我竟废除了三个牧人；终于我的心神也厌烦了羊群，而他们的心也厌恶我。		
11:9 	我于是说：我不愿再牧放你们：那要死的，就让他死去；那要丧亡的，就让他丧亡；那劓剩下的，就让他们彼此吞食。		
11:10	以后，我就拿起我的棍杖「爱护」，把它折断，藉以废除我与众百姓所结的盟约。		
11:11	盟约便在那一天废除了；于是那些注视我的羊贩子，便都知道这是上主的话。		
11:12	以后，我对他们说：如果你们看着好，就给我工资，不然，就算了。他们于是衡量了三十两银子作我的工资。		
11:13	那时上主对我说：「你把他们对我所估计的高价投入宝内!我就是拿了那三十两银子，投入上主殿内宝库里		
11:14	然后，我又折断我的另一根棍杖「联合」，藉以废除犹大与以色列间的手足情谊。		
11:15	上主又对我说：「你再为你取一套愚昧牧人的服装，		
11:16	因为．看，我将在地上兴起一个牧人：那丧失的，他不去寻找；那迷途的，他不去搜索；那受伤的，他不去医治；那病弱的，他不去扶持；却要择肥而食，并且剥去它们的蹄子。		
11:17	祸哉！那拋弃羊群的愚昧牧人!愿刀剑落在他的臂膊和他的右眼上!愿他的臂膊枯槁!愿他的右眼完全失明！		
			
			
12:0t	第十二章(14)		
			
12:1t	上主保卫耶路撒冷		
12:1 	神谕：上主论以色列的话：展开苍天，奠定大地，在人体内造化人灵的上主的断语：		
12:2 	看，我要使耶路撒冷成为四周万民的醉杯；在耶路撒冷城被围困时，犹大也必如此。		
12:3 	在那一天，我必使耶路撒冷成为一切民族的举重石；凡欲举起它的，必受重伤。地上所有的民族，都要聚集起来攻击它。		
12:4 	在那一天，──上主的断语──我要以惊慌打击一切战马，以疯狂打击骑兵；但对犹大家，我却要睁开我的双眼；我要以盲目打击万民所有的战马。		
12:5 	那时，犹大的族长心里必要说：耶路撒冷居民的力量全在乎万军的上主，他们的天主。		
12:6 	在那一天，我必要使犹大的族长好象木柴中的火盆，有如草堆中的火把；他们必左右吞灭四周所有的民族；但耶路撒冷必仍安居在自己的原处。		
12:7 	上主首先要使犹大的家族胜利，免得达味家的光荣和耶路撒冷居民的光荣超过犹大。		
12:8 	在那一天，上主必要保卫耶路撒冷的居民，使他们中的衰弱者，在那一天有如达味，而达味家在他们眼前却有如神，有如上主的使者。		
12:9 	在那一天，我必设法消灭一切来攻打耶路撒冷的异民。		
			
12:10t	哀悼殉难者		
12:10	我要对达味家和耶路撒冷的居民倾注怜悯和哀祷的神，他们要瞻望他们所刺透的那一位：哀悼他如哀悼独生子，痛哭他像痛哭长子。		
12:11	在那一天，在耶路撒冷必要大举哀悼，有如在默基多平原中的哈达得黎孟的哀悼。		
12:12	全国将要哀悼，各家各族，成一伙，达味家的家族一伙，他们的女人一伙；纳堂家的家族一伙，		
12:13	肋未家的家族一伙，他们的女人一伙；史米家族一伙，他们的女人一伙；		
12:14	其余所有的家族，各家各族合成一伙，他们的女人一伙。		
			
			
13:0t	第十三章(9)		
			
13:1t	偶像和假先知的结局		
13:1 	在那一天，为达味家和耶路撒冷的居民将开放一个水泉，为洗涤罪过和不洁。		
13:2 	在那一天──万军上主的断语──我要由地上铲除一切偶像的名号，不再为人所记念；并且我还要将假先知们和不洁的神由地上灭绝。		
13:3 	将来，如果有人还要冒充先知，生养他的父母必要对他说：你不能生存，因为你藉上主的名字说了谎话。生养他的父母就在他说妙语时，要把他刺死。		
13:4 	在那一天，每个假先知，在他说妙语时，必因自己的神视感到羞惭；他们必不再穿毛外氅，去行欺骗；		
13:5 	他反要说：我不是先知，我是一个种田的人，因为我自幼就以务农为业。		
13:6 	若有人问他说：怎么在你两手上有这些伤痕﹖他要答说：那是我在爱我的人家里所受的伤。		
			
13:7t	牧人将受打击羊群要四散		
13:7 	刀剑，起来攻击我的牧人，攻击那作我同伴的人──万军上主断语。打击牧人，羊群就要四散，然而我要向那弱小的羊伸出我的手。		
13:8 	将来在全国──上主的断语──三分之二必被铲除而死去，其中只留下三分之一。		
13:9 	我要使这三分之一经过火炼，炼净他们如同炼净银子，试验他们如同试验金子。他们必要呼号我的名字我也必要俯听他们；我要说：「这是我的百姓。」他们每人也要说：「上主是我的天主」。		
			
			
14:0t	第十四章(21)		
			
14:1t	上主的日子与耶京得救		
14:1 	看，属上主的日子要来到，那时，人们要在你们中间分取你们的掠物。		
14:2 	我要聚集众异民来与耶路撒冷交战；城池必被占领，住宅必遭洗劫，妇女必被强奸，城中半数人要被掳去；但剩下的人民必不会由城中消灭，		
14:3 	那时，上主必要出来，像他昔日在战争之日作战一样，与这些异民交战。		
14:4 	在那一天，他的脚要站在耶路撒冷对面，即东边的橄榄山上；橄榄山必由中间裂开，由东至西形成一条很大的山谷，其中一半山向北挪移，另一半即向南移动。		
14:5 	希农山谷从哥亚一直到阿匝尔必要被填平，如在犹大王乌齐亚的时日，因地震曾被填平一样；那时上主我的天主以及众圣者，必与衪一同降来。		
14:6 	在那一天，没有炎热，也没有寒冷和冰霜。		
14:7 	那将是独特的一天，只有上主知道的一天，没有白天黑夜，夜间仍有光明。		
			
14:8t	耶路撒冷将获享太平		
14:8 	在那一天，必有活水从耶路撒冷流出，一半流往东海，一半流往西海；冬夏川流不息。		
14:9 	上主必做普世的君王；在那一天，只有惟一的上主，只有衪惟一的圣名。		
14:10	到那一天，由革巴直到耶路撒冷南部的黎孟，整个地面都要变成平原，而耶路撒冷仍耸立在原处；从本雅明门到旧门，即角门，由哈纳乃耳到君王的榨酒池，		
14:11	仍有人居住；其中再没有毁灭，人们将安居在耶路撒冷。		
			
14:12t	异民的灾祸		
14:12	这是上主要用来打击那些凡进攻耶路撒冷的民族的灾难：他们的双脚还直立时，他们的肉就已经腐烂；他们的眼珠就已经在眼窝里腐烂；他们的舌头就已经在口里腐烂。		
14:13	到那一天，在他们们中必有来自上主的一场大混乱：一人抓住另一人的手，彼此动手打斗。		
14:14	连犹大也要在耶路撒冷作战，四周一切异民的财物都必被聚集起来：金子、银子、衣服，多得不可胜数。		
14:15	同样，战马、骡子、骆驼、驴和在营盘内所有的牲畜，都必遭受与这灾祸同样的灾祸。		
			
14:16t	万民前来朝圣		
14:16	凡曾来进攻耶路撒冷的民族中尚存的人民，必将年年上来朝拜君王，万军的上主，举行帐棚节。		
14:17	但是，凡地上各民族中，有不上耶路撒冷来朝拜君王，万军上主的，为他们就没有雨露。		
14:18	如果埃及民族不上来参加，那么上主打击那不上来举行帐棚节的民族的灾祸，必要落在他们身上：		
14:19	这是埃及和凡不上来举行帐棚节的民族所要遭受的惩罚。		
14:20	在那一天，马铃上也要刻着「祝圣与上主」；上主殿里的锅，也将像祭坛前的洒血盆那样神圣；		
14:21	而且在耶路撒冷和犹大所有的锅，都是祝圣与万军的上主的；凡愿献祭的人，必用这些锅来煮祭肉。到那一天，在万军的上主的殿里，必再没有一个商人。		
			
