1.-1t	上编 以色列人出离埃及(1-18)
4.3	上主说：「将棍杖扔在地上! 」他便将棍杖扔在地上，棍杖即刻变成了一条蛇；梅瑟一见，就逃避了。
4.4	上主向梅瑟说：「伸手捉著蛇的尾巴! ──他便伸手捉住，那条蛇在他手里又变成一根棍杖。──
4.5	好叫他们相信上主，他们祖先的天主，亚巴郎的天主，依撒格的天主和雅各伯的天主曾显示给你。」
4.6	上主又对他说：「将你的手插在怀里! 」他就将手插在怀里；及至抽出手来，见手上患了癞疮，像雪那样白。
4.7	天主又说：「将你的手再插进怀里! ──他就把手再插进怀里；及至从怀里抽出时，见手已经恢复原状，像别的肌肉一样。──
4.8	如果他们不肯信你，也不信服第一个奇迹，必定信服第二个奇迹。
4.9	如果连这两个奇迹也不信，也不听你的话，你就从尼罗河里取些水，倒在旱地上；你从河里取的水必在旱地上变成血。」
4.10	梅瑟对上主说：「吾主，请原谅! 我不是个有口才的人，以前不是，你向你的仆人说话以后，也不是；我原是笨口结舌的人。」
4.11	上主回答他说：「是谁给人一个嘴？是谁使人口哑耳聋，眼明眼瞎呢？不是我上主吗？
4.12	现在你去，我要帮助你说话，指教你该说什么。」
4.13	梅瑟回答说：「吾主，请原谅! 你要打发谁，就打发谁去吧! 」
4.14	上主向梅瑟发怒说：「不是有你的哥哥肋未人亚郎吗？我知道他是有口才的，他现在正前来迎接你；他见了你，心中必要快乐。
4.15	你可向他说话，将你应该说的话放在他口中。我要帮助你，也帮助他说话，指教你们应做什么。
4.16	他要代替你向百姓说话，作你的口舌；你对他是代替天主。
4.17	你手中要拿著这根棍杖，用来行奇迹。」
	
4.18t	梅瑟回埃及
	
4.18	于是梅瑟起来回到他岳父耶特洛那里，对他说：「请让我回到埃及我兄弟那里，看看他们还健在吗？」耶特洛对梅瑟说：「你平安去罢! 」
4.19	上主在米德杨对梅瑟说：「起身回埃及去! 因为那些想杀害你的人都死了。」
4.20	梅瑟遂带著妻子孩子，叫他们骑在驴上，起身回埃及国去了；梅瑟手中拿著天主的棍杖。
4.21	上主对梅瑟说：「你回到埃及，要将我交于你行的一切奇迹，行于法朗面前；但我要使他心硬，不肯放百姓走。
4.22	你要对法朗说：上主这样说：以色列是我的长子。
4.23	我命你，让我的儿子去崇拜我。你若拒绝放他们走，我必要杀你的长子。」
4.24	梅瑟在路上住宿的时候，上主遇著他，要想杀他。
4.25	漆颇辣急忙拿了一块石刀，将他儿子的包皮割下，拿包皮接触他的脚说：「你真是我的血郎。」
4.26	这样上主就放了他。当时漆颇辣说：「血郎。」是因了割损的原故。
4.27	其时上主向亚郎说：「你往旷野去迎接梅瑟! 」他就去了。在天主的山旁预见了梅瑟，口亲了他。
4.28	梅瑟把上主打发他所说的一切话和命他行的奇迹，都告诉了亚郎。
4.29	梅瑟和亚郎遂去召集了以色列子民所有的长老。
4.30	亚郎讲述了上主向梅瑟所说的一切话，也当著百姓行了那些奇迹；
4.31	百姓就都信了，也都高兴，因为上主眷顾了以色列子民，也垂念了他们的痛苦。他们遂都俯伏叩拜。
	
5.0t	
	
5.1t	梅瑟初见法朗
	
5.1	此后，梅瑟同亚郎去见法朗说：「以色列的天主雅威这样说：「你应放我的百姓走，好叫他们在旷野里过节敬拜我。」
5.2	法朗问说：「谁是雅威，我该听他的命，放以色列走？我不认识雅威，也不放以色列走。」
5.3	他们回答说：「希伯来人的天主遇见了我们。请让我们走三天的路到旷野里，向上主我们的天主献祭，免得他用瘟疫刀兵击杀我们。」
5.4	埃及王回答他们说：「梅瑟、亚郎啊! 你们为什么妨碍百姓工作呢？去服你们的劳役罢! 」
5.5	法朗又说：「现在他们比本地的人民还多，你们竟然叫他们歇工？」
5.6	那一天法朗命令那些百姓中的监工和工头说：「
5.7	你们以后不要再像往日一样，给百姓做砖用的草楷，叫他们自己去拾草。
5.8	但你们仍向他们要往日所做的同样砖数，一点也不可减少，因为他们懒惰，所以才呐喊说：我们要去向我们的天主献祭。
5.9	应给这些人加重工作，使他们只工作，而不听谎言。」
	
5.10t	苦工加重
	
5.10	百姓中的监工头遂出去向百姓说：「法朗这样吩咐：我不再给你们草楷。
5.11	你们看那里能找到草楷，就到那里去拾罢! 但应有的工作一点也不可减少。」
5.12	百姓就分散到埃及全境，拾取麦茎充当草楷。
5.13	监工催迫说：「你们每天应该完成当天的工作，像从前有草楷时一样。」
5.14	法朗的监工责打他们所派出的以色列子民的工头说：「你们昨天今天为什么没有完成像前天所做的砖数呢?」
5.15	以色列子民的工头遂去向法朗诉苦说：「你为什么这样对待你的仆人们呢？
5.16	不给你仆人们草楷，只对我们说：做砖罢! 原是你人民的错，你却来打你的仆人们。」
5.17	法朗回答说：「你们太懒惰了! 所以说：让我们去祭献上主!
5.18	现在都快去作工! 决不供给你们草楷，但是砖却该如数交上。
5.19	以色列子民的工头因所出的命令说：你们每天应做的砖数，不得减少，」便知自己更陷于困难中。
	
5.20t	梅瑟受责哀求天主
	
5.20	工头们由法朗那里出来，遇见梅瑟和亚郎正等候他们，
5.21	就对他们说：「愿上主鉴察惩罚你们! 你们使我们在法朗和他臣仆眼中成了可恨的，就好像把刀交在他们手中，宰杀我们。」
5.22	梅瑟回到上主那里说：「吾主，你为什么折磨这百姓？为什么偏偏打发我呢？
5.23	自从我到法朗那里，奉你的名讲话以来，他更加折磨这百姓，而你也没有拯救你的百姓。」
	
6.0t	
	
6.1t	启示雅威圣名
	
6.1	上主回答梅瑟说：「现在你就要看见我对法朗所要作的；在强硬的手臂下，他必放走他们；在强硬的手腕下，他必将他们逐出自己的国境。」
6.2	天主训示梅瑟说：「我是雅威。
6.3	我曾显现给亚巴郎、依撒格和雅各伯为「全能的天主，」但没有以「雅威」的名字将我启示给他们。
6.4	我也与他们立了约，许下将他们寄居而作客的客纳罕地赐给他们。
6.5	如今我听见了以色列子民因埃及人的奴役而发的哀号，想起了我的约。
6.6	为此你应该对以色列子民说：我是上主，我要使你们摆脱埃及人的虐待，拯救你们脱离他们的奴役，用伸开的手臂，藉严厉的惩罚救赎你们。
6.7	我要以你们作我的百姓，我作你们的天主。你们将承认我是上主，你们的天主，使你们摆脱埃及人的虐待。
6.8	我领你们要去的地方，就是我举手誓许给亚巴郎、依撒格和雅各伯的地方；我要把那地方赐给你们作产业。──我是上主。」
6.9	梅瑟将这些话告诉了以色列子民，但他们由于苦工丧气，不肯听梅瑟的话。
6.10	上主训示梅瑟说：「
6.11	你去告诉埃及王法朗说：」叫他将以色列子民由他国中放走。」
6.12	梅瑟当面回答上主说：「以色列子民既不肯听我，法朗又怎肯听我？况且我又是笨口结舌的人。」
6.13	上主训示梅瑟和亚郎，命令他们去见以色列子民和埃及王法朗，好领以色列子民出离埃及国。
	
6.14t	梅瑟和亚郎的族谱
	
6.14	以下是他们家族的族长：以色列的长子勒乌本的儿子：有哈诺客、帕路、赫兹龙和加尔米：以上是勒乌本的家族。
6.15	西默盎的儿子：有耶慕耳、雅明、敖哈得、雅津、祚哈尔和客纳罕女子生的儿子沙乌耳：以上是西默盎的家族。
6.16	以下是肋未的儿子和他们后代的名字：格尔雄、刻哈特和默辣黎。肋未享年一百三十七岁。
6.17	革尔雄的儿子有：里贝尼和史米以及他们的家族。
6.18	刻哈特的儿子：有阿默兰、依兹哈尔、赫贝龙、乌齐耳。刻哈特享年一百三十三岁。
6.19	默辣黎的儿子有：玛赫里和慕史：以上是勒未各家族和他们的后代。
6.20	阿默兰娶了自己的姑母约革贝得为妻，她给他生了亚郎和梅瑟。阿默兰享年一百三十七岁。
6.21	依兹哈尔的儿子有：科辣黑、乃斐格和齐革黎。
6.22	乌齐耳的儿子：有米沙耳、厄里匝番和息特黎。
6.23	亚郎娶了阿米纳达布的女儿，纳赫雄的姐妹厄里舍巴为妻，她给亚郎生了纳达布、阿彼胡、厄肋阿匝尔和依塔玛尔。
6.24	科辣黑的儿子：有阿息尔、厄耳卡纳和阿彼雅撒夫：以上是科辣黑的各家族。
6.25	亚郎的儿子厄肋阿匝尔娶了普提耳的一个女儿为妻，她给他生了丕乃哈斯：以上是肋未人各支属的族长。
6.26	天主曾向亚郎和梅瑟说过:「你们应领以色列子民一队一队地出埃及国。」
6.27	这个梅瑟和亚郎曾向埃及王法朗说过：要将以色列子民从埃及领出来。
6.28	当上主在埃及国对梅瑟说话的那一天，
6.29	上主曾对梅瑟说：「我是上主。你应该把我对你所说的一切话告诉埃及王法朗。」
6.30	梅瑟当面回答上主说：「看，我是个笨口结舌的人，法朗怎么肯听我？」
	
7.0t	
	
7.1t	梅瑟奉命再见法朗
	
7.1	上主向梅瑟说：「看，我使你在法朗前像神一样，你的哥哥亚郎将作你的代言人。
7.2	凡我吩咐你的一切，你要告诉你的哥哥亚郎，要他对法朗讲话，叫他放以色列子民离开他的国境。
7.3	我却要使法朗心硬，为此在埃及国要增多我的奇迹和异事。
7.4	但因法朗不听从你们，我要向埃及伸手，藉严厉的惩罚，将我的军队，我的百姓以色列子民，从埃及国领出来。
7.5	当我向埃及人伸手，将以色列子民从埃及人中间领出来的时候，他们要承认我是上主。」
7.6	梅瑟和亚郎就受命行事；上主怎样吩咐，他们就怎样行了。
7.7	当他们去与法朗会谈的时候，梅瑟八十岁，亚郎八十三岁。
7.8	上主对梅瑟和亚郎说：「
7.9	如果法朗要求你们说：你们显个奇迹，给你们作证罢! 你就吩咐亚郎说：将你的棍杖扔在法朗的面前，棍杖就会变成一条蛇。」
7.10	。梅瑟和亚郎就去见法朗，照上主的吩咐做了：亚郎将棍杖扔在法朗和他的臣仆面前，棍杖就变成了一条蛇。
7.11	法朗将他的智者和术士召来，这些埃及的巫士也用他们的巫术作了同样的事：
7.12	他们每人扔下自己的棍杖，也都变成了蛇，但亚郎的棍杖却吞了他们的棍杖。
7.13	法朗仍然心硬，不肯听他们的话，正如上主所说。
	
7.14t	第一灾、水变血
	
7.14	上主对梅瑟说：「法朗硬了心，拒绝释放百姓。
7.15	明天早晨你去见法朗。他去水边的时候，你要站在尼罗河边迎住他；手中拿著那根变过蛇的棍杖。
7.16	你对他说：上主，希伯来人的天主打发我来见你说：你应放我的百姓到旷野中去崇拜我；但到现在你仍没有听从。
7.17	上主这样说：看，我要用我手中拿的棍杖击打河水，水就变成血，如此你必承认，我是上主。
7.18	河中的鱼都要死，河水都要腥臭，埃及人不能再喝河中的水。」
7.19	上主对梅瑟说：「你向亚郎说：拿起你的棍杖，将手伸在埃及的水上，即伸在河、沟渠、池沼和一切水塘之上，水都要变成血；如此埃及全国，连木器石器中的水也都要变成血。」
7.20	梅瑟和亚郎就照了上主的吩咐作了：亚郎在法朗和他臣仆的面前，举起棍杖一打河水，所有的河水都变成了血；
7.21	河中的鱼都死了，河水都腥臭不堪，埃及人不能再喝河中的水；埃及遍地是血。
7.22	埃及的巫士用他们的巫术也行了同样的事，因此法朗仍旧心硬，不肯听信梅瑟和亚郎，正像上主所说的。
7.23	法朗转身回到宫中，没有把事放在心上。
7.24	因为全埃及的人不能喝河中的水，便在河的附近掘水喝。
	
7.25t	第二灾、虾蟆
	
7.25	上主击打河水后，满了七天，
7.26	上主又对梅瑟说：「你去见法朗向他说：上主这样说：你该放我的百姓走，好叫他们去崇拜我。
7.27	"你若拒绝不放, 我要用虾蟆打击你的全境。"
7.28	河中要滋生虾蟆，它们要上来进入你的宫殿和卧室，爬上你的床榻，进入你臣仆和你百姓的房屋，进入你的炉灶和搏面盆。
7.29	这些虾蟆要爬到你、你百姓、你臣仆的身上。」
	
8.0t	
	
8.1	上主对梅瑟说：「你给亚郎说：将你手中的棍杖伸在河、沟渠和池沼之上，使虾蟆上到埃及地上。」
8.2	亚郎将手一伸在埃及的水上，虾蟆就上来遮盖了埃及地。
8.3	而巫士也用巫术作了同样的事，使虾蟆上到了埃及地。
8.4	法朗召梅瑟和亚郎来说：「请你们祈求上主，使这些虾蟆离开我和我的人民，我必放这百姓去祭献天主。」
8.5	梅瑟回答法朗说：「请给我指定，叫我几时为你，为你的臣仆和你的人民祈求，使虾蟆离开你和你的宫殿，而只留在河中! 」
8.6	法朗说：「明天。」梅瑟回答说：「就照你说的话作，为叫你知道，没有谁能相似上主，我们的天主。
8.7	虾蟆必要离开你，你的宫殿，你的臣仆和你的人民，而只留在河中。」
8.8	于是梅瑟和亚郎离开法朗走了。梅瑟遂呼求上主，除去加于法朗的虾蟆。
8.9	上主就照梅瑟所求的作了；在房屋、院庭和田地中的虾蟆都死了。
8.10	人把虾蟆堆成堆，遍地发出腥臭。
8.11	法朗见灾情减轻，又硬了心，不肯听梅瑟和法郎的话，正如上主所说。
	
8.12t	第三灾、蚊子
	
8.12	上主又对梅瑟说：「你给亚郎说：伸你的棍杖击打地上的尘土，尘土要在埃及全地变成蚊子。」
8.13	他们便照样作了；亚郎伸手，用棍杖击打地上尘土，蚊子就来到人和牲畜的身上。埃及全国的尘土都变成了蚊子。
8.14	巫士也想照样用巫术产生蚊子，但没有成功。蚊子仍留在人和牲畜的身上。
8.15	巫士向法朗说：「这是天主的手指。」但是法朗还是心硬，不肯听从梅瑟和亚郎，正如上主所说的。
	
8.16t	第四灾、狗蝇
	
8.16	上主对梅瑟说：「明天早晨，法朗往水边去的时候，你要去见他对他说：上主这样说：放我的百姓去崇拜我罢!
8.17	你若不放走我的百姓，看，我要叫狗蝇到你和你臣仆，以及你人民身上，进入你的宫殿，埃及人的房屋和他们所在的地方都要充满狗蝇。
8.18	那时，我要使我百姓所住的哥笙地例外，在那里没有狗蝇，为叫你知道，在地上只有我是上主。
8.19	我要将我的百姓同你的百姓分开。明早必发生这奇事。」
8.20	上主就这样行了：成群的狗蝇进了法朗的宫殿和他臣仆的房屋，埃及全境的土地都为狗蝇毁坏。
8.21	法朗又召梅瑟和亚郎来说：「你们去，在此地祭献你们的天主! 」
8.22	梅瑟回答说：「决不能这样行，因为我们给上主我们的天主所献的祭物，是埃及人视为不可侵犯的。若是我们在埃及人前祭杀他们视为不可侵犯的东西，他们岂不用石头打死我们？
8.23	我们要走三天的路程，到旷野里给上主我们的天主献祭，全照他吩咐我们的。」
8.24	法朗回答说：「我让你们到旷野里给上主你们的天主献祭，但是不可走的太远。也请你们为我祈祷。」
8.25	梅瑟说：「我现在辞别你去祈求上主，明天狗蝇将会离开陛下，你的臣仆和你的人民，但希望陛下不再欺骗，不放百姓去给上主献祭。」
8.26	于是梅瑟离开法朗去祈求上主。
8.27	上主便照梅瑟祈求的行了，叫狗蝇离开法朗、他的臣仆和人民，一个也没有留下。
8.28	但是这一次法朗还是心硬，不肯放走百姓。
	
9.0t	
	
9.1t	第五灾、兽疫
	
9.1	上主对梅瑟说：「你去见法朗，向他说：上主希伯来人的天主这样说：你应放走我的百姓，叫他们去崇拜我。
9.2	你若拒绝不放，仍然扣留他们，
9.3	看，上主的手必用一种严厉的瘟疫加在你田野间的一切牲畜：就是马、驴、骆驼、牛、羊身上。
9.4	上主要分清以色列子民的牲畜和埃及人的牲畜，凡是以色列子民的，一个也不死。
9.5	上主规定了时间说：明天上主要在此地实行这事。」
9.6	第二天上主便作了这事。埃及人的牲畜完全死了，但以色列子民的，一个也没有死。
9.7	法朗打发人去看，果然以色列子民的牲畜，连一个也没有死。但是法朗仍然心硬，不肯放走百姓。
	
9.8t	第六灾、脓疮
	
9.8	上主又对梅瑟和亚郎说：「你们满手抓把炉灰，梅瑟要在法朗眼前向天扬起。
9.9	这灰要在埃及全国变成尘土，使全埃及国的人和牲畜身上生出红疹和脓疮。
9.10	他们就取了炉灰站在法朗面前；梅瑟将灰向天扬起，人和牲畜身上便起了红疹和脓疮。
9.11	巫士们因为生了疮，不能站在梅瑟面前，因为巫士和一切埃及人身上都生了疮。
9.12	上主使法朗心硬，法朗仍不肯听梅瑟和亚郎的话，正如上主向梅瑟说过。
	
9.13t	第七灾、冰雹
	
9.13	上主对梅瑟说：「明天早晨你去见法朗，向他说：上主，希伯来人的天主这样说：你要放走我的百姓，使他们去崇拜我。
9.14	因为这一次我要使我的一切灾祸降到你、你的臣仆和你的人民身上，为叫你知道全世界上没有相似我的。
9.15	现在如果我伸手用瘟疫打击你和你的人民，你早已从地上消灭了。
9.16	我所以保留你的原故，是为叫你看见我的能力，向全世界传扬我的名。
9.17	你若仍然固执压迫我的百姓，不放走他们，
9.18	看我明天此时要降下可怕的冰雹，是埃及建国以来直到现在所未有过的。
9.19	所以你快派人把你的牲畜和田野间的一切，带到安全地方，因为凡在田野间的人和牲畜而不聚到屋内的，冰雹必降在他们身上，将他们砸死。」
9.20	法朗的臣仆中凡害怕上主的话的，就叫自己的奴仆和牲畜逃避到家中；
9.21	那不把上主的话放在心上的，就将奴仆和牲畜舍在田间。
9.22	上主对梅瑟说：「向天伸开你的手，使冰雹降在埃及全国，降在人和牲畜身上，降在埃及国内田野间的植物上。」
9.23	梅瑟把他的棍杖向天一伸，上主便叫打雷，下雹，闪电打在地上。上主使冰雹降在埃及地时，
9.24	冰雹和冰雹中夹杂著不停的闪电，情形极其可怕，是全埃及国自从有人民以来所没有过的。
9.25	冰雹把埃及全境，田野间所有的一切，连人和牲畜都打死了，打坏了田野间的一切蔬菜，打断了郊野的一切树木；
9.26	只有以色列子民所居住的歌笙地没有冰雹。
9.27	法朗打发人召梅瑟和亚郎来，对他们说：「这次我犯了罪，上主是正义的，我和我的人民都有罪过。
9.28	请你们祈求上主! 天主的雷和冰雹已够受了；我决放走你们，你们不要再留在这里。」
9.29	梅瑟回答他说「我出城后，就向上主伸手，雷必会停止，冰雹也不再降下，为叫你知道，大地是属于上主的。
9.30	但是我知道，你和你的臣仆，仍不敬畏上主天主。」
9.31	麻和大麦都被打坏，因为大麦已经吐穗，麻也开花，
9.32	只是小麦和粗麦，因为长的迟些，没有被打坏。
9.33	梅瑟离开法朗出了城，向上主伸手，雷和雹就停止了，雨也不往地上下了。
9.34	法朗见雨、雹、雷都停止了，又再犯罪，他和他的臣仆又心硬了。
9.35	法朗更加心硬，不肯放走以色列子民，正如上主藉梅瑟所说的。
	
10.0t	
	
10.1t	第八灾、蝗虫
	
10.1	上主对梅瑟说：「你去见法朗，因为我已使他和他臣仆心硬，要在他们中显我的这些奇迹，
10.2	好叫你将我怎样戏弄了埃及人，在他们中行了什么奇迹，都讲给你的子孙听，使你们知道我是上主。」
10.3	于是梅瑟和亚郎去见法朗说：「上主，希伯来人的天主这样说：你不肯在我前低头要到几时呢？放走我的百姓去崇拜我罢!
10.4	如果你再拒绝放走我的百姓，看，明天我要使蝗虫进入你的境内。
10.5	蝗虫要遮盖地面，甚至看不见地；蝗虫要吃尽免于冰雹而给你们留下的一切，也要吃尽田野间给你们生长的一切树木。
10.6	你的宫殿，你的臣仆和所有埃及人的房屋都要充满蝗虫：这是你的祖宗和你祖宗的祖宗入世以来，直到今天所没有见过的灾祸。」梅瑟遂转身离开法朗走了。
10.7	法朗的臣仆们向法朗说：「这人陷害我们要到几时呢？释放这些人去崇拜上主他们的天主罢! 埃及已经灭亡，你还不知道吗？」
10.8	梅瑟和亚郎被召到法朗那里，法朗对他们说：「你们去崇拜上主你们的天主罢! 但那要去的是些什么人？」
10.9	梅瑟回答说：「我们要带领少年老年同去，要带领儿女，牛羊同去，因为我们要过上主的节日。」
10.10	法朗向他们说：「如果我放走你们和你们的孩子，就让上主同你们在一起罢! 显然你们不怀好意 !
10.11	绝对不成! 只是你们的男子可以去崇拜上主，这原是你们所要求的。」随后把他们从法朗前赶出去。
10.12	上主对梅瑟说：「你向埃及地伸开你的手，使蝗虫来到埃及地，吃尽冰雹从地上所剩余的一切植物。」
10.13	梅瑟向埃及地伸开他的棍杖，上主就使东风在地上刮了一整天一整夜，到了早晨，东风吹来了蝗虫。
10.14	蝗虫到了埃及国，落在埃及全境，那样多法，确是空前绝后。
10.15	蝗虫遮盖了地面，大地变黑。蝗虫吃尽了冰雹所剩下的一切植物和一切果实，这样埃及全国无论是树上或是田野间的植物上，没有留下半点青叶。
10.16	法朗急速将梅瑟和亚郎召来，说：「我得罪了上主你们的天主，也得罪了你们。
10.17	现今请你们宽赦我的罪罢! 只这一次! 求上主你们的天主，快叫这致命的灾祸离开我。」
10.18	梅瑟从法朗那里出来，祈求了上主。
10.19	上主就换了强烈的西风，将蝗虫卷去，投入红海，在埃及四境没有留下一个蝗虫。
