1.-1t	德训篇
3.32	聪明睿智的心，必戒避罪恶；在正义的工作上，必获成功。
	
3.33t	要怜悯赒济穷人
3.33	水可以消灭烈火，施舍可以补赎罪过。
3.34	天主保佑施舍的人，此后必要记念他，在他跌倒时，要使他获得扶助。
	
	
4.0t	第四章(36)
4.1	我儿，不要拒绝救济穷人生活的急需，也不要使急难人的眼目长久望着你。
4.2	不要加增饥饿人的悲苦，也不要激怒困苦中的人。
4.3	不要扰乱忧苦人的心灵，也不要迟延接济有急难的人。
4.4	不要拒绝痛苦而哀求的人，也不要转脸不顾穷困的人。
4.5	不要转眼不顾乞丐，而叫他生气，也不要让他，那有求于你的人，背后咒骂你。
4.6	因为，人心在愁苦中，若咒骂了你，他的创造者必要垂听他的哀求。
	
4.7t	如何对待各级人士
4.7	在穷人的集会前，你应表示和气；在长老前，你应谦抑你的心灵；在官长前，你应低首下心。
4.8	你要高兴倾耳垂听穷人，并归还你的债务，又要和颜悦色地向他答礼。
4.9	应从压迫者的手中，拯救被压迫的人；在宣判时，不应畏缩。
4.10	对待孤儿应如慈父，扶助他们的母亲，应如丈夫。
4.11	如此，你才算是至高者听命的儿子，他必要比你的母亲更爱你。
	
4.12t	智慧的美果
4.12	智慧举扬自己的子孙，照顾寻找自己的人。在正义的路上，她要身为前导。
4.13	爱她的，就是爱生命；欣勤寻找她的，必能充满喜乐。
4.14	占有她的，必承受荣耀；她到那里，上主就在那里赐福。
4.15	凡事奉她的，就是事奉圣者；凡爱慕她的，上主也必爱他们。
4.16	听从她的，必能统治万民；亲近她的，必能安居度日。
4.17	依赖她的，必能以她为产业；他的后裔也必占有这份产业。
4.18	因为，智慧先领他走弯曲的路，先试探他，
4.19	使他畏惧恐怖，用自己的纪律磨炼他，以自己的诫命试探他，直到对他有了信任为止。
4.20	然后，她要坚固他，再领他走直路，使他欢乐；
4.21	将自己的秘密启示给他，使他富有知识和对正义的睿智。
4.22	若是他走入歧途，智慧就离弃他，任凭他丧亡。
	
4.23t	当仁不让见义勇为
4.23	我儿，你要爱惜光阴，谨避邪恶；
4.24	不要做问心有愧的事。
4.25	有一种羞愧带来罪恶，又有一种羞愧却带来光荣和恩宠。
4.26	你不要顾全脸面，而陷害你的灵魂；也不要说谎，而害你的灵魂。
4.27	你不要因羞怯而自取丧亡。
4.28	在救助人时，不要闭口无言，也不要把你的智慧隐藏不露。
4.29	因为由言谈中，可以看出智慧；在答话上，可以现出明智；在正义的工作上，可以表示出意志的坚定。
4.30	不要出言反对真理，对你的无知，你当羞愧。
4.31	不要耻于承认你的罪过，不要阻止下流的河水。
4.32	在胡涂人前，不要屈服，也不要顾全权威者的脸面。
4.33	至死要为真理奋斗，上主天主必要助你作战。
	
4.34t	应戒避的事
4.34	不要在唇舌上夸张，不要在行事上怠慢疏忽。
4.35	你在家中，不要如同一只狮子；对你的仆役，不要任性逞强，不要压迫你的属下。
4.36	你的手不要只为领取才伸开，而在施恩时缩回。
	
	
5.0t	第五章(18)
	
5.1t	财迷与冒失的危险
5.1	不要依恃不义的财物，也不要说：为我的生活已经够了，因为在报复和灾难时，这些都无用处。
5.2	不要顺从你的偏情和你的能力，去满足你心中的欲望。
5.3	不要说：谁能宰制我﹖谁能因我的行为屈服我﹖因为上主必要报复。
5.4	不要说：我犯了罪，遭受了什么灾殃﹖因为上主是富于含忍的报复者。
5.5	关于罪的赦免，应心怀恐惧之情，免得罪上加罪。
5.6	不要说：他的仁慈宽大，我纵有许多罪过，必蒙赦免；
5.7	因为怜悯和义怒皆系于他，他的愤怒将在罪人身上得以平息。
5.8	归向上主，不要迟缓，不要一天一天地拖延；
5.9	因为，上主的义怒忽然降来，在报复的日期，将你消灭。
5.10	不要依靠不义之财，因为在义怒的日子，它们于你毫无用处。
	
5.11t	说话要诚实
5.11	不可任意随风簸扬，不可见路就走，有如一口两舌的罪人。
5.12	你当坚持你的主意；你的言语，应当前后一致。又当坚持你良心的真理和明智；如此，和平与正义的言语，便常与你相随。
5.13	听话要快，答复要慢。
5.14	你若有所知，就可答复别人；否则，就应把手按在口上；这样，你就不致说出冒失的话来，而自招羞辱。
5.15	光荣与羞辱，全在乎言语；人的唇舌，能使人招致丧亡。
5.16	不要让人说你是诽谤者，也不要用你的唇舌陷害人；
5.17	因为，做盗贼的，必受羞辱；一口两舌的人，也必受极严厉的责斥。谗言者所得的，是憎嫌、仇视和耻辱。
5.18	大小事都不要疏忽；事无论大小，都要一律做得适当。
	
	
6.0t	第六章(37)
6.1	不要因言语不慎，将友谊变成仇恨；因为，有恶名的人，必蒙羞受辱；一口两舌的罪人，也是如此。
	
6.2t	欲不可纵
6.2	不要放纵你的情欲，免得你的情欲，因了糊涂，像牛犊一样，消耗你的气力；
6.3	吃尽你的叶子，摧残你的果实，拋弃你，如同一棵旷野里的枯树。
6.4	邪恶的情欲，要灭绝怀有情欲的人，使他成为仇人的话柄，使他的命运与不虔敬者相同。
	
6.5t	真朋友与假朋友
6.5	亲切温柔的言语，能使友人增多，并能感化仇人；同情的话，能使友好的往来敦厚。
6.6	与你要好的人应多，然而作你参谋的，只千中取一。
6.7	如要交友，先要考验，不要立刻信任他。
6.8	因为有的人，只是一时的朋友；在你困难的日子，就不见了。
6.9	有的朋友，一旦变成仇人，就把你争执的事和仇恨，泄露出来，为凌辱你。
6.10	有的人是酒肉朋友，在你困难的日子，就不见了。
6.11	你幸福的时候，他和你同心，对你的仆婢，也任意使唤；
6.12	若你遭了难，他就翻脸攻击你，回避你。但对于良好的友谊，你应恒一不变。
6.13	你当远离你的仇人，慎重对待你的朋友。
6.14	忠实的朋友，是稳固的保障；谁寻得了他，就是寻得了宝藏。
6.15	忠实的朋友，是无价之宝，他的高贵无法衡量：金银也比不上他忠实的美好。
6.16	忠实的朋友，是生命和不死的妙药；惟有敬畏上主的人，才能寻得。
6.17	敬畏上主的人，才有真正的友谊，因为他怎样，他的朋友也怎样。
	
6.18t	为悦乐天主当求智慧
6.18	我儿，从你幼年时起，就应接受教训；如此，直到老年，必能寻得智慧。
6.19	你要亲近她，就如耕田和播种的人，等待她的美果；
6.20	因为，你用智慧去工作，用功不久，很快就可吃她的出产。
6.21	智慧为不肯受教的人，是酸苦的；愚昧的人，不会与智慧常久相处，
6.22	因为，智慧有如放在愚昧人身上的重石，他决不会迟延拋弃她。
6.23	原来智慧的含义，正如她的名字，许多人不明白；但认识她的人，她必与他相处，直到天主面前。
6.24	我儿，你当听取和接受我的智谋，不要拒绝我的忠告。
6.25	把她的脚镣扣在你的脚上，将她的枷锁套在你的颈上。
6.26	要放低你的肩膀，肩起她来，不要因她的束缚而烦恼。
6.27	要全心亲近她，全力遵循她的道路。
6.28	要研究她，寻求她，她必把自己显示给你；你一得了她，总不要离弃她；
6.29	因为，你终究要在她内寻着平安，她必变成你的喜乐。
6.30	于是，她的脚镣，要成为你有力的护卫，坚固的基础；她的枷锁，要成为你光荣的服饰。
6.31	她有黄金的美丽，她的束缚有如紫红的织品。在她内，有生命的美丽；她的桎梏是有益的束缚。
6.32	你要穿上她，作你美丽的服装；戴上她，作你喜乐的冠冕。
	
6.33t	求智慧的必得智慧
6.33	我儿，你若愿意，就可受教；你若专心，就会明智。
6.34	你若爱听，就必得到智慧；你若侧耳静听，必成为智慧的人。
6.35	你当常居于明智的长老之中，遇到有智慧的人，你应结识他。凡是天主的言语，你都要喜欢恭听；对明哲的格言，不要轻忽。
6.36	假使你看见一个有智慧的人，你要及早前去拜访，你的脚要磨光他的门限。
6.37	你当默想上主的诫命，时常留心他的法令；如此他必会坚固你的心，赐给你所希望的智慧。
	
	
7.0t	第七章(40)
	
7.1t	当躲避各种罪恶
7.1	不要作恶，恶便不会胜过你；
7.2	远离不义，不义也必远离你。
7.3	我儿，不要在不义的犁沟中撒种，你就不会收七倍的灾祸。
7.4	不要向上主求做大官，也不要向君王求荣位。
7.5	不要在上主面前，自以为义人，因为他认透人心；也不要在君王面前，自显为明智。
7.6	不要谋求做判官，怕你无力拔除不义，而在有权势的人前，恐惧畏缩，因而伤损你的廉洁。
7.7	不要得罪城中的民众，免得你在民间，声名扫地。
7.8	不要存心再次犯罪，因为就是一次，你都不免要受惩罚。
7.9	祈求的时候，不要胆怯；
7.10	也不要忽略施舍。
7.11	不要说：天主必垂视我这许多的礼品；当我向自高者天主奉献礼物时，他必会悦纳。
7.12	心里苦闷的人，你不要嘲笑他，因为有一位贬抑和举扬人的，鉴临万事的天主。
7.13	不要捏造谎言，陷害你的兄弟；对你的朋友，也不要有类似的行为。
7.14	任何谎话都不要说，因为惯于说谎，不会有好结果。
7.15	在权贵的集会中，不要多言；你祈祷时，言语不要重复。
7.16	不要厌恶劳力的工作，和至高者制定的农业。
7.17	不要参与罪人的集团；
7.18	应记住：义怒是不会迟延的。
7.19	你当极力谦卑你的心灵，因为，不虔敬人的罪罚，就是烈火与虫子。
	
7.20t	如何对待亲友与家人
7.20	不可为了钱财而出卖朋友，也不可为了敖非尔的金子，而离弃你最亲爱的兄弟。
7.21	不要离弃因敬畏上主所得到的，明智而有德行的妻子，因为她的可爱，贵于黄金。
7.22	不要虐待忠诚工作的仆役，和为你牺牲性命的佣工。
7.23	你当爱护明智的仆役，如你自己的性命；不可剥夺他的自由，也不可让他依然穷苦。
7.24	你有羊群么﹖就该照顾；若为你有益，就该保存。
7.25	你有儿子么﹖就该教训他们：从幼年，就该使他们的颈项屈服。
7.26	你有女儿么﹖就该保护她们的身体，不要对她们常露笑容。
7.27	叫你的女儿出嫁，你算是做了一件大事；但应把她嫁给一个明智的人。
7.28	一个妇女若合你的心意，你不要离弃她；若是一个可恼恨的，切不可信赖她。
	
7.29t	孝敬父母
7.29	你要全心孝敬你的父亲，不要忘掉你母亲的痛苦。
7.30	你要记住：没有他们便没有你；他们对你的恩惠，你如何能照样还报﹖
	
7.31t	尊敬司祭
7.31	你当全心敬畏上主，并尊敬他的司祭。
7.32	你当全力爱慕你的创造者，不要拋弃他的臣仆。
7.33	你当全灵恭敬上主，尊敬司祭，
7.34	并依照定例，给他所应得的一分：即首批成熟的出产，赎罪的祭品，平安牺牲的右腿，圣洁的祭物，和高尚的献仪。你要用少许祭品，洗净你无心的过犯。
7.35	你应将平安牺牲的一切胳臂，圣洁的祭品，与贵重的献仪，都献给上主。
	
7.36t	救助穷苦的人
7.36	应向穷人伸手施惠，好使你的祝福和怜悯，完备无缺。
7.37	对一切活人，要施与恩惠；对于死者，不要禁止哀悼。
7.38	不要终止哭吊的人，要同哀悼的人一同哀悼。
7.39	看望病人，不可怠慢；惟其如此，你才能受人爱戴。
	
7.40t	避恶善法
7.40	你在一切事上，要记得你的末日；这样，你就永远不会犯罪。
	
	
8.0t	第八章(22)
	
8.1t	与人相处要有明智
8.1	不要同有权势的人争吵，免得你落在他的手中。
8.2	不要同富贵人争执，怕他用财势来反对你；
8.3	因为金银败坏了许多人，连君王的心，也受了金银的迷惑。
8.4	不要同饶舌的人争辩，也不要在他的火上添柴。
8.5	不要同粗暴的人开玩笑，免得你的祖先受到耻辱。
8.6	人若改恶迁善，你不要嘲笑他，也不要责斥他；该记住：我们都是应受责罚的罪人。
8.7	不要轻慢老人，因为我们将来也要成为老人。
8.8	一个仇人死了，不要喜欢；该记住：我们都要死。我们也不愿别人，见我们死了而喜欢。
8.9	不要轻忽明智长老的教训，要反复玩味他们的名言；
8.10	因为从他们那里，你可以学得教训，及明智的至理，好能从容地服事王侯。
8.11	不要忽略长老的传授，因为他们也是从祖先学来的；
8.12	从他们那里，你能学得明智，在需要时，你便能自知解答。
8.13	不要点燃罪人的煤炭，申斥他们，免得你被他的火焰烧伤。
8.14	不要对傲慢人生气，免得他吹毛求疵，陷害你。
8.15	不要借钱给比你有权势的人；你若借钱给他，就等于丧失。
8.16	担保不要超过你的力量；假使你作了保，你该想你已成了债户。
8.17	不要同判官诉讼，因为人审判他时，必顾全他的面子。
8.18	不要同冒失的人一起走路，怕他加给你困难，因为他任意行动，你必因他的鲁莽，而与他一起丧亡。
8.19	不要同容易愤怒的人吵架；不要同他走入旷野，因为在他眼中，流血是不算什么的；在没有人帮助你的地方，他就要杀害你。
8.20	不要同鲁莽人商量事情，因为他不会严守秘密。事情一不称心，他就不喜爱。
8.21	在外人面前，不可作你想隐瞒的事，因为你不知道，这事会发生什么结果。
8.22	若你不愿招致祸患而受辱，就不要向人人表露你的心事。
	
	
9.0t	第九章(25)
	
9.1t	如何对待妇女
9.1	不要猜忌你怀中的妻子，怕你教给她危害你的智识。
9.2	不要任意顺从你的妻子，免得她侵占你的权柄，使你蒙羞。
9.3	不要逢迎淫妇，怕你落在她的罗网里。
9.4	不要同歌女交往，也不要听她，怕你跌在她的陷阱里。
9.5	不要注视处女，怕你爱上她，而与她同受处罚。
9.6	不要倾心于妓女，怕你荡尽了你的产业。
9.7	不要在城市的街道上，东张西望，也不要在城中无人的地方游荡。
9.8	当转移眼目，不看美丽的妇女，也不要注视别人妻子的美容；
9.9	为了妇女的美容，许多人走入迷途；从此，欲情炽燃，有如烈火。
9.10	所有的淫妇，都像路上被人践踏的粪土。
9.11	许多人因羡慕别人妻子的美貌，而变坏了；因为她的言语，炽燃有如烈火。
9.12	不要与有夫之妇同坐，也不要与她同席宴饮，饮酒时也不要同她辩论，
9.13	怕你的心转向她，因你的情欲而陷于丧亡。
	
9.14t	如何对待各级人士
9.14	不要离弃旧友，因为新知不如故交；
9.15	新友有如新酒，若成了陈酒，你才喜欢痛饮。
9.16	不要羡慕恶人的光荣和财富，因为你不知道他将来的结局怎样。
9.17	不虔敬者喜爱的事，你不要喜爱；要记住：他们到死，决免不了受惩罚。
9.18	当远离那有杀身之权的人，如此，你就没有怕死的疑虑；
9.19	即便你亲近他，也不要犯过错，怕他要害你的性命；
9.20	该知道死已临头，因为，你是在陷阱中经过，在城垛上行走。
9.21	你要尽可能同别人商议，并征求明智人的主意。
9.22	义人当是你座上的宾客，要以敬畏上主，为你的荣耀。
9.23	你当同聪明人交谈，你的一切谈论，应依照至高者的法度。
	
9.24t	民众领袖当有智慧
9.24	美术家的手工，令人赞赏；民众的领袖谈吐明智，使人喝采；老年人的智言，受人称扬；
9.25	饶舌的人在本城内，叫人恐怖；轻率人的言语，使人憎恶。
	
	
10.0t	第十章(34)
10.1	聪明的长官，必教导自己的百姓；贤明者的施政，必然有条有理。
10.2	人民的首领怎样，他的属下也怎样；市长如何，所有市民也如何。
10.3	品行不良的君王，必使人民丧亡；因首领的明智，市民必然增多。
10.4	统治大地的权柄，是在上主手里，万邦的一切不义，是可咒骂的，到了指定的时刻，天主必给大地兴起一位有才的人君。
10.5	民众的福利，是在上主手里，他必将自己的尊荣赐给立法者。
	
10.6t	可恶的骄傲
10.6	不要因任何非理之事怀恨于人，也不要作出任何强横的事。
10.7	骄傲在上主及人前是可憎恨的，不义为上主及人是可厌恶的。
10.8	因着不义、骄横和贪财，以及各种欺诈，统治权由这一民族，转移到另一民族。
10.9	没有什么比贪财的人，更可憎恶；尘埃灰土的人，有什么可骄傲的﹖
10.10	没有什么比爱钱更邪恶的，因为这样的人，出卖自己的性命，他虽然还活着，他的五脏却已逐渐腐烂。
10.11	一切政权的寿命，都是短促的。
10.12	长久的疾病，令医生生厌。今日是君王，明日即死去，就如医生治疗小病一样的快速。
10.13	人死之后，要得到的产业，是蛇、蛆、虫。
10.14	骄傲的开端，始于人背离上主，
10.15	始于人心远离自己的创造者，因为骄傲是一切罪恶的起源；固执于骄傲的人，散布可憎恶的事，有如雨点，最后必使他丧亡。
10.16	为此上主降下奇灾异祸，把他们完全消灭。
10.17	上主推翻傲慢君主的宝座，使谦逊的人坐上他们的宝座。
10.18	上主拔除傲慢民族的根苗，在他们的地方，却培植谦虚的人。
10.19	上主推翻了异民的国家，将它们毁灭，直到地基；
10.20	将他们由本国逐出，尽行消灭，并将他们的纪念，从世上除去。
10.21	天主消灭傲慢人的纪念；心地谦逊人的纪念，反被保留。
10.22	为人，不应生骄傲；妇女所生的，也不应发愤怒。
	
10.23t	敬畏天主是智慧人的真光荣
10.23	甚么种族是可尊敬的﹖是人类的种族；甚么种族是可尊敬的﹖是敬畏上主的人们；甚么种族是可轻视的﹖是人类的种族；甚么种族是可轻视的﹖是违犯诫命的人们。
10.24	在兄弟们中，自己的领袖是可敬重的；敬畏上主的人们，在天主眼中，也是如此。
10.25	富贵人、有名誉的人和贫穷人的光荣，就是在乎敬畏上主。
10.26	不可藐视有智慧的穷人，也不可称赞富有的罪人。
10.27	伟人、判官、权贵，都应受敬重；但是他们之中，没有比敬畏上主的人更伟大。
	
10.28t	应爱自己的灵魂
10.28	自由的人服事明智的奴仆，明智而有纪律的人，虽受责备，仍不出怨言；不知敬畏天主的人，决不会受人敬重。
10.29	工作时，不要投机取巧；贫穷时，不要夸张。
10.30	劳而致富的人，胜于自大，而无以果腹的人。
10.31	我儿，你要端庄，自重自爱，对自己应保持相称的尊重。
10.32	犯罪加害自己的人，谁能当他是义人﹖侮辱自己的人，谁又能尊重他﹖
10.33	贫苦人受人敬重，是因他的智慧，和敬畏天主之心；富贵人受人敬重，是因他的财富。
10.34	在穷苦中受尊敬的人，富有时，岂不更受尊敬﹖在富有时，还受轻视，在贫穷时，更将如何﹖
	
	
11.0t	第十一章(36)
11.1	谦虚人的智慧，必使他抬头，也必使他坐于伟人之中。
	
11.2t	外表与权势皆不可恃
11.2	不要因人美丽便赞美他，也不要因一个人的外表而轻视他。
11.3	飞虫中，蜜蜂是微小的，但她的产品，却是最甘饴的。
11.4	在穿衣上，不要打扮；光荣之日，不要自大；因为上主的工程，虽是惊人的，光荣的，但他的行动在人间，却是隐匿不现的。
11.5	许多暴君竟坐在地下；人不介意的人，反戴上了王冠。
11.6	许多有权势的人，遭受了极大的凌辱；许多有声望的人，陷落在外邦人的手里。
	
11.7t	凡事不可鲁莽
11.7	未询问以前，不可责斥人，先要问明白，然后公正地加以责斥。
11.8	未听以前，不可作覆；人家正在谈论中，你不要插嘴。
11.9	与你无关的事，你不要争辩，也不要参加罪人的诉讼。
11.10	我儿，你的工作不要繁多，若事情太多，难免没有过失；如果你急于进取，就什么也得不到；如你过于急进，就免不了受害。
	
11.11t	凡事皆出于天主的圣意或准许
11.11	有一个不虔敬的人劳苦，殷勤操作，忍痛耐劳，却更加贫乏。
11.12	又有一个瘦弱的人，需要援助，缺乏力量，万分可怜；
11.13	然而上主却以仁慈的眼眷顾他，从卑贱中提拔他，使他抬头，使许多人对他表示惊奇，因而尊敬天主。
11.14	幸福、灾祸、生死、贫富，都来自上主。
11.15	智慧、学识及法律的知识，来自上主；爱情与行善的工作，也是从他那里而来的。
11.16	错谬与黑暗，是为罪人而造的；以恶为荣的，越老越恶。
11.17	上主的恩惠，常是留给虔敬的人；他的恩宠使虔敬的人永远顺利。
11.18	有人因节俭而成了富翁，这算是他应得的赏报：
11.19	于是他说：「我找着了安息，现在我要享用我的财物了。」
11.20	死亡便临近了，他就该把这一切留给别人而死去。
11.21	你当遵守你与天主结的盟约，按照盟约生活，老于你的职守。
11.22	不要惊奇罪人的成就，只该信赖上主，坚持你的工作。
11.23	因为，使穷人忽然变为富翁，在上主眼中，是一件容易的事。
11.24	上主的降福，是虔敬人的赏报；上主使自己的降福倾刻之间即能开花。
11.25	不要说：我在世上还有什么用处﹖今后，我还能有什么幸?t
11.26	不要说；我所有的够用的了，今后，还能有什么不幸降到我身上﹖
11.27	在幸福的日子，人忘却了不幸；在不幸的时候，人忘却了幸福。
11.28	然而在死亡之日，依照人的行径报应人，为上主是一件容易事。
11.29	一时的忧苦，能使人忘掉已往的幸福；人一到临终，他的行为就暴露出来。
11.30	任何人未死以前，不要称他是有福的，因为从他的子女，才能认识他的为人。
	
11.31t	谨防坏人
11.31	不要引人进入你的家庭，因为欺诈人的奸计，花样百出。
11.32	骄傲人的心，像臭腐了的五脏，发泄臭气，像被诱进樊笼里的鹧鸪，像陷在罗网里的山羊，像窥探别人，使人落网的侦探。
11.33	他设法把好事变成坏事，连最好的事，他也要非难。
11.34	一星之火，可以酿成燎原之火，由于一个诡计多端的人，流血的事件增多；犯罪的人图谋倾留人血。
