1.-3t	宗徒大事录	
2.22	诸位以色列人！请听这些话：纳匝肋人耶稣是天主用德能、奇迹和征兆──即天主藉他在你们中所行的，一如你们所知道的──给你们证明了的人。	
2.23	他照天主已定的计划和预知，被交付了；你们借着不法者的手，钉他在十字架上，杀死了他；	
2.24	天主却解除了他死亡的苦痛，使他复活了，因为他不能受死亡的控制，	
2.25	因为达味指着他说：『我常将上主置于我眼前；我决不动摇，因他在我右边。	
2.26	因此，我心欢乐，我的舌愉快，连我的肉身也要安息于希望中，	
2.27	因为你决不会将我的灵魂遗弃在阴府，也不会让你的圣者见到腐朽。	
2.28	你要将生命的道路指示给我，要在你面前用喜乐充满我。』	
2.29	诸位仁人弟兄！容我坦白对你们讲论圣祖达味的事罢！他死了，也埋葬了，他的坟墓直到今天还在我们这里。	
2.30	他既是先知，也知道天主曾以誓词对他起了誓，要从他的子嗣中立一位来坐他的御座。	
2.31	他既预见了，就论及默西亚的复活说：『他没有被遗弃在阴府，他的肉身也没有见到腐朽。』	
2.32	这位耶稣，天主使他复活了，我们都是他的见证人。	
2.33	他被举扬到天主的右边，由父领受了所恩许的圣神；你们现今所见所闻的，就是他所倾注的圣神。	
2.34	达味本来没有升到天上，但是他却说：『上主对吾主说：你坐在我右边，	
2.35	等我使你的仇敌，变作你脚的踏板。』	
2.36	所以，以色列全家应确切知道：天主已把你们所钉死的这位耶稣，立为主，立为默西亚了。」	
		
2.37t	三千人归化　	
2.37	他们一听见这些话，就心中刺痛，遂向伯多禄和其它宗徒说：「诸位仁人弟兄！我们该作什么﹖」	
2.38	伯多禄便对他们说：「你们悔改罢！你们每人要以耶稣基督的名字受洗，好赦免你们的罪过，并领受圣神的恩惠。	
2.39	因为这恩许就是为了你们和你们的子女，以及一切远方的人，因为都是我们的上主天主所召叫的。」	
2.40	他还讲了很多别的作证的话，并劝他们说：「你们应救自己脱离这邪恶的世代。」	
2.41	于是，凡接受他的话的人，都受了洗；在那一天约增添了三千人。	
		
2.42t	新兴教会　	
2.42	他们专心听取宗徒的训诲，时常团聚，擘饼，祈祷。	
2.43	因为宗徒显了许多奇迹异事，每人都怀着敬畏之情。	
2.44	凡信了的人，常齐集一处，一切所有皆归公用。	
2.45	他们把产业和财物变卖，按照每人的需要分配。	
2.46	每天都成群结队地前往圣殿，也挨户擘饼，怀着欢乐和诚实的心一起进食。	
2.47	他们常赞颂天主，也获得了全民众的爱戴；上主天天使那些得救的人加入会众。	
		
		
3.0t	第三章	
		
3.1t	伯多禄治好胎生瘸子　	
3.1 	伯多禄和若望在祈祷的时辰，即第九时辰，上圣殿去。	
3.2 	有一个人从母胎中就瘸了；每天有人抬他来，放在名叫丽门的殿门前，好向进圣殿的人求施舍。	
3.3 	他看见伯多禄和若望要进圣殿，便求给他们一点施舍。	
3.4 	伯多禄和若望定睛看着他说：「你看我们！」	
3.5 	他就注目看他们，希望得点什么。	
3.6 	伯多禄却说：「银子和金子，我没有；但把我所有的给你：因纳匝肋人耶稣基督的名字，你【起来】行走罢!」	
3.7 	于是握住他的右手，拉他起来；他的脚和踝骨就立即强壮了。	
3.8 	他跳起来，能站立行走；遂同他们进入圣殿，随走随跳，赞美天主。	
3.9 	众百姓也都看见他行走赞美天主。	
3.10	他们一认出他就是那坐在圣殿丽门前求施舍的人，就对他所遇到的事，满怀惊讶诧异。	
		
3.11t	伯多禄向百姓讲道　	
3.11	当那人拉着伯多禄和若望的时候，众百姓都惊奇地跑到他们那里，即到名叫「撒罗满廊」下。	
3.12	伯多禄一见，就发言对百姓说：「诸位以色列人！你们为什么对这事惊奇﹖或者为什么注视我们，好象是我们因自己的能力或热心使他行走﹖	
3.13	亚巴郎、依撒格和雅各伯的天主，我们祖先的天主，光荣了自己的仆人耶稣，他就是你们所解送，并在比拉多前所否认的；虽然那人原判定要释放他，	
3.14	你们却否认了那圣而且义的人，竟要求把杀人犯，恩赐给你们，	
3.15	反而杀害了生命之原；天主却从死者中复活了他，我们就是这事的见证人。	
3.16	因我们信仰他的名，他的名就强壮了你们所看见，所认识的这人：即由他而来的信德，在你们众人面前赐这人完全好了。	
3.17	现今，弟兄们！我知道你们所行的，是出于无知；你们的首领也是如此。	
3.18	但天主借着众先知的口，预言他的默西亚当受难的事，也就这样应验了。	
3.19	你们悔改，并回心转意罢！好消除你们的罪过，	
3.20	为的是使安乐的时期由上主面前来到，他好给你们派遣已预定的默西亚耶稣，	
3.21	因为他必须留在天上，直到万物复兴的时候；对此，天主借着他古圣先知的口早已说过了。	
3.22	梅瑟说过：『上主，我们的天主，要从你们的弟兄们中，给你们兴起一位像我一样的先知，你们应在他吩咐的一切事上听从他。	
3.23	将来无论谁，若不听从那位先知，必从民间铲除。』	
3.24	其实，所有的先知，自撒慕尔起，及以后讲话的先知，都预言了这些日子。	
3.25	你们是先知和盟约之子，那盟约是天主与你们的祖先所订立的，因他曾向亚巴郎说：『地上万民，都要因你的后裔，获得祝福。』	
3.26	天主先给你们兴起他的仆人，派他来祝福你们，使你们个个归依，脱离你们的邪恶。」	
		
		
4.0t	第四章	
		
4.1t	伯多禄与若望被捕受审　	
4.1 	正当他们向百姓讲话的时候，司祭、圣殿警官和撒杜塞人来到他们那里，	
4.2 	大为恼怒，因为他们教训百姓，并宣讲耶稣从死者中复活，	
4.3 	遂下手拿住他们，押在拘留所里，直到第二天，因为天已晚了。	
4.4 	但听道的人中，有许多人信从了，男人的数目，大约有五千。	
4.5 	到了第二天，犹太人的首领、长老和经师都聚集在耶路撒冷，	
4.6 	还有大司祭亚纳斯和盖法、若望、亚历山大以及大司祭家族的人。	
4.7 	他们就令宗徒们站在中间，仔细考问说：「你们凭什么能力，或以谁的名义行这事﹖」	
		
4.8t	伯多禄的答辞　	
4.8 	那时，伯多禄充满圣神，向他们说：「各位百姓首领和长老!	
4.9 	如果你们今天询问我们有关向一个病人行善的事，并且他怎样痊愈了，	
4.10	我很高兴告诉你们和全以色列百姓：是凭纳匝肋人耶稣基督的名字即是你们所钉死，天主从死者中所复活的；就是凭着这人，这个站在你们面前的人好了。	
4.11	这耶稣就是为你们『匠人所弃而不用的石头，反而成了屋角基石。』	
4.12	除他以外，无论凭谁，决无救援，因为在天下人间，没有赐下别的名字，使我们赖以得救的。」	
		
4.13t	二徒被释出狱　	
4.13	他们看到伯多禄和若望的胆量，并晓得他们是没有读过书的平常人，就十分惊讶；他们既认出他们是同耶稣在一起的，	
4.14	又看见那治好了的人，同他们一起站着，都无言可对。	
4.15	遂命他们暂且离开公议会，彼此商议，	
4.16	说：「对这些人我们可以作什么呢﹖因为他们确实显了一个明显的奇迹，凡耶路撒冷的居民都知道了，我们也不能否认。	
4.17	但是，为叫这事不再在民间传播，我们当恐吓他们，叫他们不可再因这名字向任何人发言。」	
4.18	遂叫了他们来，严令他们绝对不可再因耶稣的名发言施教。	
4.19	伯多禄和若望却回答说：「听从你们而不听从天主，在天主前是否合理，你们评断罢!	
4.20	因为我们不得不说我们所见所闻的事。」	
4.21	议员们为了百姓的原故，找不到借口来处罚他们，就把他们恐吓一番，予以释放了，因为众人都为所发生的事光荣天主。	
4.22	原来那因奇迹治好了的人，已有四十多岁了。	
		
4.23t	教众的祈祷　	
4.23	他们被释放之后，来到自己的人那里，报告了大司祭和长老向他们所说的一切；	
4.24	大家一听，都同心合意地高声向天主说：「上主！『是你创造了天地海洋，和其中的一切。』	
4.25	你曾以圣神藉我们的祖先，你的仆人达味的口说过：『异民为何叛乱﹖万民为何策划妄事﹖	
4.26	世上的君王起来，首领聚集在一起，反对上主和他的受傅者。』	
4.27	实在，黑落德和般雀比拉多与异民和以色列人聚集在这座城内，反对你的圣仆人耶稣，反对你的受傅者，	
4.28	实行了你的手和计划所预定要成就的事。	
4.29	现今，上主！请注意他们的恐吓，赐你的仆人以绝大的胆量，宣讲你的真道，	
4.30	同时伸出你的手，藉你的圣仆人耶稣的名字治病，显征兆，行奇迹。」	
4.31	他们祈祷后，他们聚集的地方震动起来，众人都充满了圣神，大胆地宣讲天主的真道。	
		
4.32t	信徒的共同生活　	
4.32	众信徒都是一心一意，凡各人所有的，没有人说是自己的，都归公用。	
4.33	宗徒们以大德能，作证主耶稣的复活，在众人前大受爱戴。	
4.34	在他们中，没有一个贫乏的人，因为凡有田地和房屋的，卖了以后，都把卖得的价钱带来，	
4.35	放在宗徒们脚前，照每人所需要的分配。	
4.36	有位若瑟，宗徒称之为巴尔纳伯，解说「安慰之子，」是肋未人，生于塞浦路斯岛，	
4.37	他有田地，卖了以后，也把银钱带来，放在宗徒脚前。	
		
		
5.0t	第五章	
		
5.1t	阿纳尼雅夫妻受严罚　	
5.1 	有一个人，名叫阿纳尼雅，同他的妻子撒斐辣卖了一块田地。	
5.2 	他扣留了一部分价钱，妻子也表同意，就带了一部份去放在宗徒脚前。	
5.3 	伯多禄说道：「阿纳尼雅！为什么撒殚充满了你的心，使你欺骗圣神，扣留了田地的价钱呢﹖	
5.4 	田地留下不卖，不是还是你的吗﹖既卖了，价钱不是还属于你权下吗﹖为什么你心中打算了这事﹖你不是欺骗人，而是欺骗天主！」	
5.5 	阿纳尼雅一听这话，就跌倒断了气。凡听见的人，都十分害怕。	
5.6 	年轻人就起来，把他裹起，抬去埋葬了。	
5.7 	大约隔了三个时辰，他的妻子进来了，还不知所发生的事。	
5.8 	伯多禄问她说：「你告诉我：你们卖田地的价钱就是这么多吗﹖」她说：「是，就是这么多。」	
5.9 	伯多禄便说：「你们为什么共谋试探主的神呢﹖看，埋葬你丈夫者的脚已到门口，他们也要把你抬去。」	
5.10	她立刻跌倒在他脚前，也断了气。年轻人进来，见她死了，就抬去埋葬在她丈夫旁边。	
5.11	全教会和一切听见这些事的人，都十分害怕。	
		
5.12t	宗徒大显奇迹　	
5.12	宗徒们在百姓中行了许多征兆，显了许多奇迹。众信徒都同心合意地聚在撒罗满廊下，	
5.13	其他的人没有一个敢与他们接近的；但是百姓都夸赞他们。	
5.14	信主的人越来越增加，男女的人数极其众多。	
5.15	宗徒们行了这样多的奇迹，以致有人把病人抬到街上，放在床上或褥子上，好叫伯多禄走过的时候，至少他的影子能遮在一些人身上。	
5.16	还有许多耶路撒冷四周城市的人，抬着病人和被邪魔所缠扰的人，齐集而来，他们都得了痊愈。	
		
5.17t	天使由狱中救出宗徒　	
5.17	大司祭和他的一切同人，即撒杜塞党人，都起来，嫉恨填胸，	
5.18	下手拿住宗徒，把他们押在公共拘留所内。	
5.19	夜间，有上主的天使打开了监狱的门，领他们出来说：	
5.20	「你们去，站在圣殿里，把一切有关生命的话，讲给百姓听。」	
5.21	他们领了命，天一亮就进入圣殿施教。大司祭和他的同人来召开公议会，即以色列子民全长老议会，差人去监里把宗徒们提出来。	
5.22	差役来到，在监狱中没有找到他们，便回去报告，	
5.23	说：「我们确实看见监狱关锁的非常牢固，卫兵也站在门前，但一打开，里面没有找到一个人。」	
5.24	圣殿警官和司祭长一听这些话，十分纳闷，不知发生了什么事。	
5.25	忽有一个人来向他们报告说：「看，你们押在监狱里的人，站在圣殿里，教训百姓。」	
		
5.26t	宗徒再答辩公议会　	
5.26	圣殿警官就同差役去把他们领来，但未用武力，因为怕百姓用石头砸他们。	
5.27	他们把宗徒领来之后，叫他们站在公议会中，大司祭便审问他们，	
5.28	说：「我们曾严厉命令你们，不可用这名字施教。你们看，你们却把你们的道理传遍了耶路撒冷，你们是有意把这人的血，引到我们身上来啊！」	
5.29	伯多禄和宗徒们回答说：「听天主的命应胜过听人的命。	
5.30	我们祖先的天主复活了你们下毒手悬在木架上的耶稣。	
5.31	天主以右手举扬了他，叫他做首领和救主，为赐给以色列人悔改和罪赦。	
5.32	我们就是这些事的证人，并且天主给那些服从他的人所赏的圣神，也为此事作证。」	
5.33	他们一听这话，大发雷霆，想要杀害他们。	
		
5.34t	加玛里耳的卫护　	
5.34	有一个法利塞人，名叫加玛里耳，是众百姓敬重的法学士，他在公议会中站起来，命这些人暂时出去。	
5.35	他便向议员们说：「诸位以色列人！你们对这些人，应小心处理!	
5.36	因为在不久以前，特乌达起来，说自己是个大人物，附和他的人数约有四百；他被杀了，跟从他的人也都散了，归于乌有。	
5.37	此后，加里肋亚人犹达，当户口登记的日子，起来引诱百姓随从他；他丧亡了，跟从他的人也都四散了。	
5.38	对现今的事，我奉劝你们：不要管这些人，由他们去罢！因为，若是这计划或工作是由人来的，必要消散；	
5.39	但若是从天主来的，你们不但不能消灭他们，恐怕你们反而成了与天主作对的人。」他们都赞成他的意见。	
		
5.40t	宗徒被鞭打获释　	
5.40	他们遂把宗徒们叫来，鞭打了以后，命他们不可再因耶稣的名字讲道，遂释放了他们。	
5.41	他们喜喜欢欢地由公议会前出来，因为他们配为这名字受侮辱。	
5.42	他们每天不断在圣殿内，或挨户施教，宣讲基督耶稣的福音。	
		
		
6.0t	第六章	
		
6.1t	选立七位执事　	
6.1 	那时候，门徒们渐渐增多，希腊化的犹太人，对希伯来人发出了怨言，因为他们在日常的供应品上，疏忽了他们的寡妇。	
6.2 	于是十二宗徒召集众门徒说：「让我们放弃天主的圣言，而操管饮食，实在不相宜。	
6.3 	所以，弟兄们！当从你们中检定七位有好声望，且充满圣神和智慧的人，派他们管这要务。	
6.4 	至于我们，我们要专务祈祷，并为真道服役。」	
6.5 	这番话得了全体的悦服，就选了斯德望，他是位充满信德和圣神的人，和斐理伯、仆洛曷洛、尼加诺尔、提孟、帕尔默纳及尼苛劳，他是个归依犹太教的安提约基雅人，	
6.6 	叫他们立在宗徒面前；宗徒们祈祷以后，就给他们覆了手。	
6.7 	天主的道渐渐发扬，门徒的数目在耶路撒冷大为增加，司祭中也有许多人，服从了信仰。	
		
6.8t	斯德望的活动　	
6.8 	斯德望充满恩宠和德能，在百姓中显大奇迹，行大征兆。	
6.9 	当时，有些称为「自由人」会堂中的人，以及基勒乃和亚历山大里亚人的会堂的人，还有些属基里基雅和亚细亚会堂的人，起来，同斯德望辩论；	
6.10	但是他们敌不住他的智慧，因为他是藉圣神说话。	
		
6.11t	斯德望被捕	
6.11	于是他们便怂涌一些人，说：「我们听见他说过亵渎梅瑟和天主的话。」	
6.12	他们又煽动了百姓、长老和经师，一同跑来，捉住了他，解送到公议会。	
6.13	他们并设下假见证，说：「这人不断地说反对圣地和法律的话，	
6.14	因为我们曾听见他说：这个纳匝肋人耶稣要毁灭这个地方，并要改革梅瑟给我们传下的常例。」	
6.15	所有坐在公议会的人都注目看他，见他的面容好象天使的面容。	
		
		
7.0t	第七章	
		
7.1t	斯德望在公议会的讲辞　	
7.1 	大司祭遂问说：「真是这样吗﹖」	
7.2 	斯德望答说：「诸位仁人弟兄，诸位父老，请听！当我们的祖先亚巴郎还在美索不达米亚，还未住在哈兰以前，荣耀的天主曾显现给他，	
7.3 	向他说：『你要离开你的故乡和你的家族，往我所指示你的地方去！』	
7.4 	那时，他遂离开了加色丁人的地方，住在哈兰；他父亲死后，天主又叫他从那里迁移，来到你们现今所住的地方。	
7.5 	在此地天主并没有赐给他产业，连脚掌那么大的地方也没有给，却应许了把此地赐给他和他以后的子孙做产业，虽然当时他还没有儿子。	
7.6 	天主还这样说过：『他的子孙要侨居异地，人要奴役虐待他们，共四百年之久。』	
7.7 	天主还说：『我要惩治那奴役他们的异民。此后，他们要出来，要在这地方恭敬我。』	
7.8 	天主又赐给了他割损的盟约；这样，他生了依撒格后，第八天，给他行了割损礼。以后，依撒格生了雅各伯，雅各伯生了十二位宗祖。	
7.9 	宗祖们嫉妒若瑟，把他卖到埃及，天主却同他在一起，	
7.10	救他脱离了一切磨难，并在埃及王法郎面前使他得宠，有智慧，法郎就派他总理埃及和王家事务。	
7.11	后来在全埃及和客纳罕发生了饥馑和大难，我们的祖先找不到食物。	
7.12	雅各伯听说在埃及有粮食，就打发了我们的祖先去，这是第一次。	
7.13	第二次，若瑟被他的兄弟们认出来了。法郎也明悉了若瑟的亲族。	
7.14	若瑟遂打发人请自己的父亲和所有同族前来，共计七十五人。	
7.15	雅各伯下到了埃及，以后他和我们的祖先都死了；	
7.16	后来他们被运到舍根，埋葬在亚巴郎用银价从哈摩尔的儿子在舍根所买的坟墓中。	
7.17	天主向亚巴郎所应承的恩许的时期来近了，这民族在埃及就逐渐繁殖增多起来，	
7.18	直到另一位不认识若瑟的君王起来统治埃及，	
7.19	他就用计谋压迫我们的亲族，虐待我们的祖先，叫他们拋弃自己的婴孩，不容生存。	
7.20	就在那时期梅瑟诞生了，他为天主所喜爱；在父亲家中养育了三个月。	
7.21	他被拋弃后，法郎的女儿却将他拾去，当自己的儿子养育。	
7.22	梅瑟学习了埃及人的各种智慧；他讲话辨事，都有才干。	
7.23	当他满了四十岁的时候，他心中起了看望自己的弟兄──以色列子民的愿望。	
7.24	他看见一个人受欺压，就加以卫护，为受欺负的人报仇，打死了那个埃及人。	
7.25	他以为自己的弟兄明白天主要藉他的手拯救他们，但他们却不明白。	
7.26	第二天，他看见他们打架，就劝他们和解说：同仁！你们原是弟兄，为什么彼此伤害呢﹖	
7.27	那欺压近人的推开他说：谁立了你做我们的首领和判官﹖	
7.28	难道你愿意杀死我，就像昨天你杀死了那埃及人一样吗﹖	
7.29	梅瑟因这句话，便逃跑了，在米德杨地方作客，在那里生了两个儿子。	
7.30	过了四十年，在西乃山的旷野里，有一位使者在荆棘丛火焰中显现给他。	
7.31	梅瑟一见，就奇怪这异像；他正要前去观察，有上主的声音说：	
7.32	『我是你祖先的天主，即亚巴郎、依撒格和雅各伯的天主。』梅瑟就战慄起来，不敢前去观察。	
7.33	上主向他说：『将你脚上的鞋脱下！因为你站的地方是圣地。	
7.34	我看见了我百姓在埃及的苦楚，也听见了他们的哀叹，遂下来拯救他们。现在你来，我要打发你到埃及去。』	
7.35	这梅瑟就是他们曾否定说：『谁立了你做我们的首领和判官』的，天主却借着在荆棘中显现的使者的手，打发他做首领和救赎者。	
7.36	就是他领了他们出来，在埃及，在红海，在旷野四十年之久，行了奇迹异事。	
7.37	这人就是那给以色列子民说：『天主要从你们弟兄们中间，给你们兴起一位像我似的先知』的梅瑟。	
7.38	就是他在旷野时，在会众中，立在西乃山给他说话的使者和我们的祖先之间，领受生命的话，传授给我们。	
7.39	我们的祖先却不肯听从他，反而拒绝他；他们的心已转向埃及，	
7.40	遂向亚郎说：『请给我们制造神像，在我们面前引路，因为领我们出埃及地的这位梅瑟，我们不知道他遭遇了什么事。』	
7.41	他们就在那几天制造了一个牛犊，向那偶像奉献祭品，并因他们手中的作品而欢乐。	
7.42	于是天主转过身去，任凭他们恭敬天上的军旅，就如在先知书上所载的：『以色列家！你们四十年在旷野中，何尝向我奉献过牺牲和祭品﹖	
7.43	你们抬着摩肋客的帐幕和楞番神的星辰，为朝拜你们所制造的偶像。为此，我要把你们迁徙到巴比伦那边去。』	
7.44	我们的祖先在旷野中有一个作证的帐幕，这帐幕就是天主吩咐梅瑟，按他所指示的式样制造的。	
7.45	我们的祖先相继承受了它；当天主把异民从我们祖先的面前赶走之后，他们便同若苏厄将此帐幕运到继承为业之地，直到达味的时日。	
7.46	达味在天主面前获得了宠爱，就恳求要为雅各伯的天主寻找一个住所；	
7.47	撒罗满便为天主建筑了殿宇。	
7.48	但至高者本不住在人手所建造的殿宇中，正如先知说：	
7.49	『天是我的宝座，地是我的脚凳。你们要为我建筑什么样的殿宇﹖──上主说──或者我安息的地方是怎样的呢﹖	
7.50	这一切不是我的手所造的吗﹖』	
7.51	执坳和心耳未受割损的人啊！你们时常反抗圣神，你们的祖先怎样，你们也怎样。	
7.52	那一位先知，你们的祖先没有迫害过﹖他们杀害了那些预言义人来临的人，现在你们都成了那义人的出卖者和凶手。	
7.53	你们这些人接受了藉天使所传布的法律，却不遵守。」	
		
7.54t	斯德望死于乱石　	
7.54	他们一听这些话，怒从心起，向他咬牙切齿。	
7.55	斯德望却充满了圣神，注目向天，看见天主的光荣，并看见耶稣站在天主右边，	
7.56	遂说道：「看，我见天开了，并见人子站在天主右边。」	
7.57	他们都大声乱嚷，掩着自己的耳朵一致向他扑去，	
7.58	把他拉出城外，用石头砸死了。证人脱下自己的衣服放在名叫扫禄的青年人脚前。	
7.59	当他们用石头砸斯德望的时候，他祈求说：「主耶稣！接我的灵魂去罢！」	
7.60	遂屈膝跪下，大声呼喊说：「主，不要向他们算这罪债！」说了这话，就死了。	
		
		
8.0t	第八章	
		
8.1t	扫禄迫害教会　	
8.1 	扫禄也赞同杀死他。就在那一日，发生了严厉迫害耶路撒冷教会的事；除宗徒外，众人都逃散到犹太和撒玛黎雅乡间。	
8.2 	虔诚的人共同埋葬了斯德望，也为他大哭了一场。	
8.3 	扫禄想摧毁教会，进入各家，连男带女都拉去，押到监里。	
		
8.-1t	犹太与撒玛黎雅教会	
		
8.4t	斐理伯在撒玛黎雅传教　	
8.4 	那些逃散的人经过各处，宣讲真道的喜讯。	
8.5 	斐理伯下到撒玛黎雅城，给他们宣讲基督。	
8.6 	群众都留意斐理伯所讲的话，都同心合意地听教，并看到了他所行的奇迹。	
8.7 	因为有许多附了邪魔的人，邪魔从他们身上大声喊叫着出去了。有许多瘫痪和瘸子也被治好了。	
8.8 	为此，那城里的人皆大欢喜。	
		
8.9t	西满术士　	
8.9 	有一个人，名叫西满，曾在这城中行过邪术，使撒玛黎雅的百姓惊服，并称自己是一位大人物。	
8.10	所有的人，从上到下，都听从他，说：「这人就是那称为神的大能者。」	
8.11	他们听从他，是因为他很久以来，就用邪术使他们惊服；	
8.12	但当他们信服了那传报天主的国，和耶稣基督名字的斐理伯时，男女就都受了洗，	
8.13	连西满自己也信服了。他受洗以后，常随从斐理伯；他看到所显的奇迹和大能，称奇不止。	
		
8.14t	伯多禄与若望视察撒玛黎雅　	
8.14	当时，在耶路撒冷的宗徒，听说撒玛黎雅接受了天主的圣道，便打发伯多禄和若望往他们那里去。	
8.15	他们二人一到，就为他们祈祷，使他们领受圣神，	
8.16	因为圣神还没有降临在任何人身上，他们只因主耶稣的名受过洗。	
8.17	那时，宗徒便给他们覆手，他们就领受了圣神。	
8.18	西满看见藉宗徒们的覆手，赋给人圣神，遂献给他们银钱，	
8.19	说：「你们也把这个权柄交给我，为叫我无论给谁覆手，谁就领受圣神。」	
8.20	伯多禄却向他说：「愿你的银钱与你一起丧亡！因为你想天主的恩赐可用银钱买得。	
8.21	在这事上，你没有股，也没有分，因为你在天主前心怀不正。	
8.22	所以，你该回心转意，摆脱你这个恶念，祈求主，或者可给你赦免你心中的妄想，	
8.23	因为我明知你心怀苦毒，并在邪恶的束缚中。」	
8.24	西满回答说：「请你们为我祈求主，好叫你们所说的，一点也不要降在我身上。」	
8.25	二宗徒既作了证，并宣讲了主的圣道，就返回耶路撒冷，一路在撒玛黎雅人的许多乡村中，宣讲了福音。	
		
8.26t	厄提约丕雅的太监受洗　	
8.26	上主的使者向斐理伯说：「起来，往南行，沿着由耶路撒冷下到迦萨的路走，即旷野中的那条路。」	
