1:-1t	得撒洛尼前书
		
1:0t	第一章	
2:11	你们也同样知道：我们怎样对待了你们中每一个人，就像父亲对待自己的孩子一样：	
2:12	劝勉、鼓励、忠告你们，叫你们的行动相称于那召选你们进入衪的国和光荣的天主。	
		
2:13t	得撒洛尼人在磨难中接受了福音　	
2:13	为此，我们不断地感谢天主，因为你们由我们接受了所听的天主的言语，并没有拿它当人的言语，而实在当天主的言语领受了，这言语在你们信者身上发生了效力。	
2:14	弟兄们，你们的确像那些在耶稣基督内，在犹太的各天主教会一样了，因为你们由自己的同乡遭受了苦害，正像他们由犹太人所遭受的一样；	
2:15	那些犹太人不但杀害了主耶稣和先知们，而且也驱逐了我们；他们不但使天主不悦，而且与全人类为敌，	
2:16	阻止我们给外邦人讲道，叫人得救，以致他们的罪恶时常满盈，天主的愤怒终必来到他们身上。	
		
2:17t	切愿回得撒洛尼　	
2:17	弟兄们！我们被迫暂时离开你们，仅是面目离开，而不是心离开，我们热切愿望及早见到你们的面。	
2:18	我们曾切愿到你们那里，我保禄确实一再地愿意去，但撒殚却阻止了我们。	
2:19	当我们的主耶稣来临时，在衪面前，谁是我们的希望，或喜乐，或足以自豪的冠冕呢﹖不就是你们吗？	
2:20	你们的确是我们的光荣和喜乐。	
		
		
3:0t	第三章	
		
3:1t	派弟茂德前去　	
3:1 	为此，我们不能再等待，就决意独自留在雅典，	
3:2 	而打发我们的弟兄和在基督的福音上，作天主仆人的弟茂德前去，为在信德上坚固鼓励你们，	
3:3 	不叫任何人在这些困苦中受到动摇；你们自己原也知道：我们是注定要受苦的，	
3:4 	因为我们还在你们那里的时候，已给你们预言了，我们将遭受磨难；你们看，现在就发生了。	
3:5 	为此，我既不能再等待，遂派他去探悉你们的信德，怕那诱惑者诱惑了你们，而使我们的劳苦等于白费了。	
		
3:6t	弟茂德复命　	
3:6 	现今，弟茂德从你们那里回到我们这里，对你们的信德和爱德，给我们报告了好消息；并说你们时常想念我们，渴望见到我们，就像我们渴望见到你们一样。	
3:7 	为此，弟兄们，我们在一切磨难困苦中，因了你们的信德，由你们获得了安慰。	
3:8 	因为若是你们在主内站立稳定，我们现在就能活下去。	
3:9 	我们为了你们的原故，在我们的天主前甚为喜乐：对这一切喜乐，我们能怎样感谢，好为你们称谢天主呢﹖	
3:10	我们惟有黑夜白日恳切祈求，为能见到你们的面，为能弥补你们信德的缺陷。	
3:11	但愿天主我们的父和我们的主耶稣，铺平我们去你们那里的道路。	
3:12	愿主使你们彼此间的爱情，和对众人的爱情增长满溢，就像我们对你们所有的爱情，	
3:13	好坚固你们的心，使你们在我们的主耶稣同衪的众圣者来临时，于天主我们的父前，在圣德上无可指摘。	
		
		
4:-1t	各种劝言	
		
4:0t	第四章	
		
4:1t	劝修贞洁与成圣　	
4:1 	此外，弟兄们，我们在主耶稣内还请求和劝勉你们：你们既由我们学会了应怎样行事，为中悦天主，你们就该怎样行事，还要更向前迈进。	
4:2 	你们原来知道：我们因主耶稣给了你们什么诫命。	
4:3 	天主的旨意就是要你们成圣，要你们戒绝邪淫，	
4:4 	要你们每一个人明了，应以圣洁和敬意持守自己的肉体，	
4:5 	不要放纵邪淫之情，像那些不认识天主的外邦人一样；	
4:6 	在这样的事上，不要侵犯损害自己的弟兄，因为主对这一切是要报复的，就如我们先前已说过，已证明过的，	
4:7 	因为天主召叫我们不是为不洁，而是为成圣。	
4:8 	所以凡轻视这诫命的，不是轻视人，而是轻视那将自己的圣神赋于你们身上的天主。	
		
4:9t	劝友爱勤劳　	
4:9 	关于弟兄的友爱，不需要给你们写什么，因为你们自己由天主受了彼此相爱的教训	
4:10	你们对全马其顿的众弟兄原已实行了这事；不过，弟兄们，我们劝你们更向前迈进。	
4:11	你们要以过安定的生活，专务己业，亲手劳作为光荣，就如我们所吩咐过你们的，	
4:12	好叫你们在外人前来往时有光采，不仰仗任何人。	
		
4:13t	劝人悲哀有节　	
4:13	弟兄们，关于亡者，我们不愿意你们不知道，以免你们忧伤，像其它没有望德的人一样	
4:14	因为我们若是信耶稣死了，也复活了，同样也必信天主要领那些死于耶稣内的人同衪一起来。	
4:15	我们照主的话告诉你们这件事：我们这些活着存留到主来临时的人，决不会在已死的人以前。	
4:16	因为在发命时，在总领天使吶喊和天主的号声响时，主要亲自由天降来，那些死于基督内的人先要复活，	
4:17	然后我们这些活着还存留的人，同时与他们一起要被提到云彩上，到空中迎接主：这样，我们就时常同主在一起	
4:18	为此，你们要常用这些话彼此安慰。	
		
		
5:0t	第五章	
		
5:1t	主来临无期应时常醒寤　	
5:1 	弟兄们，至论那时候与日期，不需要给你们写什么。	
5:2 	你们原确实知道，主的日子要像夜间的盗贼一样来到。	
5:3 	几时人正说：「平安无事，」那时灭亡会猝然来到他们身上，就像痛苦来到怀孕者身上一样，决逃脱不了。	
5:4 	但是你们，弟兄们，你们不是在黑暗中，以致那日子像盗贼一样袭击你们；	
5:5 	你们众人都是光明之子和白日之子；我们不属于黑夜，也不属于黑暗。	
5:6 	所以我们不当象其它的人一样贪睡，却当醒寤清醒，	
5:7 	因为人睡觉是黑夜睡觉，喝醉的人是黑夜喝醉；	
5:8 	但是我们做白日之子的，应当清醒，穿上信德和爱德作甲，戴上得救的望德作盔，	
5:9 	因为天主没有拣定我们为泄怒，而是借我们的主耶稣基督为获得拯救，	
5:10	衪为我们死了，为叫我们不论醒寤或睡眠，都同衪一起生活。	
5:11	为此，你们应互相安慰，彼此建树，就如你们所行的。	
		
5:12t	五项劝言　	
5:12	弟兄们，我们还请求你们尊敬那些在你们中劳苦，在主内管理你们和劝戒你们的人，	
5:13	为了他们的工作，你们更应本着爱，重视他们；你们要彼此平安相处。	
5:14	弟兄们，我们还劝勉你们：要劝戒闲荡的，宽慰怯懦的，扶持软弱的，容忍一切人！	
5:15	要小心：人对人不要以恶报恶，却要时常彼此勉励，互相善待，且善待一切人。	
5:16	应常欢乐，	
5:17	不断祈祷，	
5:18	事事感谢：这就是天主在基督耶稣内对你们所有的旨意。	
5:19	不要消灭神恩，	
5:20	不要轻视先知之恩；	
5:21	但应当考验一切，好的，应保持，	
5:22	各种坏的，要远避。	
		
5:23t	祝祷信友成圣　	
5:23	愿赐平安的天主亲自完全圣化你们，将你们整个的神魂、灵魂和肉身，在我们的主耶稣基督来临时，保持的无瑕可指：	
5:24	那召你们的是忠信的，衪必实行。	
		
5:25t	致候与祝福　	
5:25	弟兄们，你们也要为我们祈祷。	
5:26	你们要以圣吻问候所有的弟兄。	
5:27	我因主誓求你们，向众弟兄朗诵这封书信。	
5:28	愿我们的主耶稣基督的恩宠与你们同在！	
