1.-2t	编年纪下		
3.11	革鲁宾的翅膀，共长二十肘：这边革鲁宾的一个翅膀长五肘，伸至这边殿墙；另一个翅膀也长五肘，与另一个革鲁宾的翅膀相接连。		
3.12	这一个革鲁宾的一个翅膀，也长五肘，伸至那边殿墙；另一个翅膀也长五肘，与前一个革鲁宾的翅膀相接连。		
3.13	两个革鲁宾的翅膀都伸开，共长二十肘；他们双足站立，面向圣殿。		
3.14	又用蓝线、紫线、朱红线和细麻，作了一帐幔，上面绣上革鲁宾。		
			
3.15t	圆柱		
3.15	他又在殿前造了两根柱子，共长三十肘；每根柱子顶上有柱帽，高五肘。		
3.16	又做了类似项链的花环，置于柱头上；又做了一百个石榴，悬在花环上。		
3.17	把这两根柱子立在殿前，一左一右：右边的叫雅津，左边的叫波阿次。		
			
			
4.0t	第四章		
			
4.1t	制造圣殿器皿		
4.1 	以后，他制了一座铜坛，长二十肘，宽二十肘，高十肘。		
4.2 	又铸了一个铜海，从这边到那边直径十肘，作圆形，高五肘，圆周三十肘。		
4.3 	铜海边缘下四周围，围绕着匏瓜形的装饰品，每肘十个，分两行，匏瓜与铜海是同时铸成的。		
4.4 	有十二只铜牛驮着铜海：三只向北，三只向西，三只向南，三只向东；铜海安放在铜牛背上，牛尾朝里。		
4.5 	铜海厚一掌，边如杯边，形似百合花，可容三千「巴特。」		
4.6 	他又制了十个铜盆：五个安置在右边，五个安置在左边，作为洗涤之用，洗涤作全燔祭的物品；但铜海只可为司祭作洗涤之用。		
4.7 	又照所规定的式样制了十个金灯台，放在殿内：右边五个，左边五个。		
4.8 	又制了十张桌子，放在殿内：右边五张，左边五张。又造了一百个金碗。		
4.9 	又造了司祭院与大院以及院门，门包上铜，		
4.10	他把铜海放在右边东南角。		
			
4.11t	胡兰所造的器具		
4.11	胡兰也制了锅、铲和盘。胡兰为撒罗满王作了一切应为上主的殿所作的工作：		
4.12	两根柱子，两个柱顶上的球形柱头，两个纲子，─遮盖柱顶上两个球形的柱头，		
4.13	两个纲子上的四百个石榴，─每个纲子有两行石榴，以遮盖柱顶上两个球形柱头，		
4.14	十个盆座及座上的十个铜盆，		
4.15	一个铜海及下面十二只铜牛，		
4.16	锅、铲、钩，以及一切用具：这一切都是胡兰阿彼用光滑的铜，给撒罗满王为上主的殿所制造的，		
4.17	是王在约但平原，于稣苛特与匝尔堂之间，用胶泥模铸成的。		
4.18	撒罗满所制的这一切器皿，实在众多；所用的铜，重量无法计算。		
			
4.19t	其它器皿		
4.19	以后，撒罗满又制造了上主殿内的一切用具：金坛和供饼的桌子，		
4.20	灯台和依照规例应在内殿前点的灯盏，都是用纯金制成的；		
4.21	还有花蕊、灯盏和烛剪，都是用金，即纯金制成的；		
4.22	还有刀、碗盘和火盘，都是纯金的。殿宇的门，即进入至圣所内里的门，以及圣殿，即正殿的门，也都是金的。		
			
			
5.0t	第五章		
			
5.1t	圣殿落成		
5.1 	撒罗满为上主的殿所作的一切工作完成了以后，遂将他父亲达味所奉献的礼品，金银和所有的器具运上来，存放在天主殿宇的府库里。		
			
5.2t	迎约柜入圣殿		
5.2 	那时，撒罗满召集以色列的长老，各支派的首领和以色列子民各家族长，到耶路撒冷，将上主的约柜从达味城，即熙雍运上来。		
5.3 	以色列人于是在七月的节日，都聚集到君王那里。		
5.4 	以色列所有的长老一来到，肋未人便抬起约柜，		
5.5 	将约柜和会幕，以及会幕内所有的圣器都抬上来；抬运的都是司祭和肋未人。		
5.6 	撒罗满王和聚集在他那里的以色列全会众，在约柜前宰杀了牛羊，多得无法计算，不可胜数。		
5.7 	司祭们将上主的约柜抬到殿的内部，即至圣所内，放在革鲁宾的翅膀下，那早已预备的地方。		
5.8 	革鲁宾伸开翅膀遮在约柜的所在之上，所以革鲁宾在上面正遮着约柜和抬柜的扛杆。		
5.9 	这扛杆很长，扛头从内殿前的圣所里可以看见，在殿外却看不见；直到今天还在那里。		
5.10	约柜内除了两块石版，没有别的东西：这是以色列子民出埃及后，上主与他们立约时，梅瑟在曷勒布山放在里面的。		
			
5.11t	上主显示荣耀		
5.11	当司祭从圣所出来时，─因为所有在场的司祭都自洁过，未分班次，		
5.12	全体歌唱的肋未人，阿撒夫、赫曼、耶杜通，和他们的儿子以及他们同族的弟兄，一律穿著细麻的衣服，站在祭坛的东面，击钹、鼓瑟、弹琴；同他们在一起的，尚有一百二十位司祭吹号筒，─		
5.13	吹号筒的和歌唱的人都同声同调赞美上主。当他们配合号筒，铙钹和各种乐器，高声赞美上主说：「因为他是圣善的，因为他的仁慈永远常存」时，云彩充满了圣殿，即上主的殿，		
5.14	致使司祭由于云彩不能继续奉职，因为上主的光荣充满了天主的殿。		
			
			
6.0t	第六章		
6.1 	当时撒罗满说：「上主曾决定：要住在幽暗之中；		
6.2 	我却为你建筑了一座居所，作为你永久的住处」。		
			
6.3t	撒罗满的训词		
6.3 	撒罗满转过脸来，祝福了以色列全会众；以色列全会众都站着，		
6.4 	撒罗满说：「上主，以色列的天主，应受赞美！他亲口对我父亲达味应许过，也亲手完成了说：		
6.5 	自从我领我的百姓出离埃及地的那天起，没有在以色列各支派中，选择一城，为建造一座作我名下的殿，也没有拣选一个人作领袖，管理我的百姓以色列。		
6.6 	可是，我选择了耶路撒冷作为安置我名之处，拣选了达味管理我的百姓以色列。		
6.7 	我父亲达味原有意为上主以色列天主的名建造一座殿，		
6.8 	但上主却对我父亲达味说：你有意为我的名建造一座殿，你这番心意固然很好，		
6.9 	但不是你要建造这殿，而是你亲生的儿子，他要为我的名建造这殿。		
6.10	现在上主实现了他所说的话，使我来继承了我父亲达味，坐上了以色列的宝座，正如上主所预许的；我也为上主以色列天主的名建造了这座殿，		
6.11	将约柜安放在里面；约柜内有上主与以色列子民所立约的约版。」		
			
6.12t	祈祷词		
6.12	以后，撒罗满当着以色列全会众的面，站在上主的祭坛前，伸开双手，─		
6.13	因为撒罗满制造了一座铜台，长五肘，宽五肘，高三肘，安置在庭院中央，他立在上面，当着以色列全会众的面，屈膝跪拜，举起双手向天，─		
6.14	说「上主，以色列的天主！上天下地，没有一个神可与你相比。你对那些一心在你面前行走的仆人，常是遵守信约，表示慈爱。		
6.15	你对你仆人，我父亲达味所应许的，你都履行了；你亲口应许的，你也亲手成就了，正如今天一样。		
6.16	上主，以色列的天主！你曾说：只要你的子孙谨守他们的道路，按照我的法律行走，如你在我面前行走一样，你决断不了在我前坐以色列王位的人；现在求你实践你对你仆人，我父亲达味所说的话罢！		
6.17	上主，以色列的天主，现在求你使你向你仆人达味所应许过的话，予以实现罢！		
6.18	天主实在与人住在地上吗﹖看，天和天上的天，尚且容不下你，何况我所建造的这座殿宇呢！		
6.19	上主，我的天主，请垂允你仆人的祈祷和恳求！俯听你仆人在你面前所发的呼号和祈祷！		
6.20	愿你的眼睛昼夜垂视这座殿，看顾你所说，你要安置你名的地方；求你垂听你仆人向这地方所行的祈祷！		
6.21	愿你垂听你仆人与你百姓以色列向这地方所发的哀祷！求你从天上，由你的居所，予以垂听，垂听和宽恕！		
6.22	若有人得罪了自己的邻人，被迫以咒词起誓，而来到这殿内，在你祭坛前起誓，		
6.23	求你由天上垂听受理，为你的仆人伸冤：惩治恶人，照他所行的，报应在他头上；宣告义人无罪，照他的正义酬报他！		
6.24	如果你的百姓以色列，因为得罪了你，在敌人面前被击败；他们如果回心转意称颂你的名，在这殿内向你祈祷恳求，		
6.25	愿你从天上予以垂听，宽恕你百姓以色列的罪，领他们回到你赐给他们并他们祖先的地方！		
6.26	几时他们犯罪得罪了你，天空闭塞不雨，你惩罚了他们；他们如果向这地方祈祷，称颂你的名，远离罪过，		
6.27	求你从天上垂听，赦免你仆人及你百姓以色列的罪，指给他们应走的正路，使雨降在你赐予你百姓作为基业的地上。		
6.28	如果此地发生饥馑、瘟疫，五谷枯萎生霉，或遭受蝗虫或蚂蚱，或有敌人犯境围困门下，或不拘遭受什么灾祸疾病，		
6.29	你的百姓以色列，个人或团体，如果感觉内疚和痛苦，而向这殿伸开双手祈祷哀求，		
6.30	愿你从天上，你的居所，予以俯听宽恕，照每人的一切行为，予以赏报，因为你认识每个人的心，─唯有你认识人子的心，		
6.31	使他们在你赐予我们祖先的地上，一生一世敬畏你，在你的道路上行走！		
6.32	至于那不属你百姓以色列的外方人，为了你的大名，你有力的手及伸开的臂，自远方来，在这殿内祈祷，		
6.33	愿你从天上，你的居所垂听，按照外方人所请求于你的去行！这样，可使地上万民都认识你的名，敬畏你，如同你的百姓以色列一样；使他们知道我所建造的这殿，是属于你的名下。		
6.34	你的人民，如果在你派遣他们走的路上与敌人交战，而他们向你所拣选的这城，向我为你的名所建造的这殿，祈求你，		
6.35	愿你从天上俯听他们的祈祷和哀求，维护他们的正义！		
6.36	如果他们犯罪得罪你，─因为没有不犯罪的人，─你向他们发怒，将他们交于仇敌，让敌人将他们掳到远方或近处。		
6.37	他们若在被掳往的地方，回心转意，在充军之地，恳求你说：我们犯了罪，我们作了恶，做了背理的事；		
6.38	如果他们在被掳充军之地，全心全意归向你，向你赐给他们祖先的地方，向你所拣选的这城，向我为你的名所建造的这殿祈祷，		
6.39	愿你从天上，你的居所，垂听他们的祈祷和恳求，维护他们的正义，宽恕得罪你的百姓！		
6.40	现在，我的天主，愿你的眼睛睁着，侧耳谛听在这地方所行的祈祷！		
6.41	现在，上主天主，愿你起来，愿你与你那大能的约柜进入你安息之所！上主天主，愿你的司祭身披救援，愿你的圣徒在幸福中欢乐！		
6.42	上主天主，求你不要摒弃你的受傅者，记念你赐予你仆人达味的慈爱！		
			
			
7.0t	第七章		
			
7.1t	祝圣圣殿		
7.1 	撒罗满祈祷完了，有火从天上降下，焚烧了全燔祭和其它的牺牲；上主的荣耀充满了圣殿。		
7.2 	由于上主的荣耀充满了上主的殿，司祭不能进入上主的殿。		
7.3 	所有的以色列子民看见有火降下，上主的荣耀充满了圣殿，便俯伏在石铺的地上，叩拜称颂上主说：「因为他是圣善的，因为他的仁慈永远常存。」		
7.4 	君王和众百姓在上主面前祭杀了牺牲。		
7.5 	撒罗满王那时祭杀了二万二千头牛，十二万只羊；这样君王和全百姓为上主的圣殿行了奉献礼。		
7.6 	司祭各站在自己的岗位上，肋未人拿着达味王所制的上主的乐器，奏「因为他的仁慈永远常存」称颂上主的歌；这赞美歌是达味令他们唱的；司祭们面对着他们吹号筒，同时全以色列人都站立不动。		
7.7 	撒罗满祝圣了上主殿前的内院，在那里，献了全燔祭与和平祭的脂油，因为他制造的铜坛容不下那么多全燔祭、素祭和脂油。		
7.8 	那时，撒罗满举行庆节七天之久，所有由哈玛特渡口到埃及小河的以色列百姓，都与他在一起，实是一大集会。		
7.9 	第八天又举行了盛大的集会，如此举行献坛礼七天，过节七天。		
7.10	七月二十三日，君王遣散了民众。他们因上主对达味、撒罗满和他的百姓以色列所施的恩惠，都满怀欢乐，回了自己的帐幕。		
			
7.11t	上主的俯允与警告		
7.11	撒罗满完成了上主的殿和王宫，凡撒罗满心中要在上主的殿和自己的宫内所作的，都顺利完成了。		
7.12	夜间上主显示给撒罗满，对他说：「我已听了你的祈祷，我也为我拣选了这地方作为祭祀的大殿。		
7.13	我如果使天闭塞不雨，或使蝗虫吞吃这地，或使瘟疫在我百姓中间流行，		
7.14	这称为我名下的百姓，如果谦逊祈祷，寻求我的面，远离自己的恶行，我必从天上俯听，宽恕他们的罪过，使他们的土地复原。		
7.15	自今以后，我必睁眼垂顾，侧耳谛听在此处发出的祈祷。		
7.16	现今我已选择这殿，予以祝圣，使我的名永远在这殿中；我的眼和我的心，也时时留在那里。		
7.17	至于你，如果你在我面前行走，像你父亲达味那样行走，遵行我吩咐你的一切，恪守我的法律和典章，		
7.18	我必巩固你的王位，一如我应许你父亲达味所说：你的子孙中，决断不了有人作以色列的统治者。		
7.19	但是，如果你们远离我，离弃我在你们前所颁布的法律和诫命，而去服侍敬拜别的神，		
7.20	我必将你们从我赐予你们的地上根除，且要拋弃这座为我名而祝圣的殿，毫不顾惜，使它成为万民的笑谈和话柄。		
7.21	这殿虽然宏大，凡经过的人必将惊愕说：上主为什么这样对待了这地方和这座殿﹖		
7.22	人必回答说：是因为他们离弃了领他们出离埃及地的上主，他们祖先的天主，而归依、崇拜、服侍了别的神；为此，上主使这一切灾祸临到他们身上。」		
			
			
8.0t	第八章		
			
8.1t	撒罗满的其它建设		
8.1 	撒罗满建造上主的殿和自己的王宫历时二十年；二十年过后，		
8.2 	撒罗满又重建了希兰还给他的城邑，令以色列子民住在那里。		
8.3 	此后，撒罗满到了哈玛特祚巴，征服了那地。		
8.4 	又修建了在旷野里的塔德摩尔，在哈玛特四周修筑了储藏城。		
8.5 	又修筑了上贝特曷龙和下贝特曷龙，作为有墙有门有闩的设防城。		
8.6 	又建筑了巴阿拉特和所属于撒罗满的储藏城，以及一切屯车城和骑兵城；凡撒罗满愿意在耶路撒冷、黎巴嫩以及他所管辖的境内所要建设的，都已建设了。		
8.7 	至于其余的人民，即那些不属以色列的赫特人、阿摩黎人、培黎齐人、希威人和耶步斯人，		
8.8 	以色列子民没有消灭，而他们凡留在此地的子孙，撒罗满都征来充作苦役，直到今天仍是如此。		
8.9 	撒罗满并没有使以色列子民为他的工作担任苦役，因为他们是他的战士、将官、战车长和骑兵长。		
8.10	撒罗满的监察官，共有二百五十人，监管百姓。		
8.11	撒罗满又将法郎的女儿，从达味城搬到为她建筑的宫中，因为他说：「连我的妻子，也不可住在以色列王达味的宫中，因为上主约柜所到的地方是圣地。」		
8.12	那时，撒罗满在上主的祭坛上，即他在门廊前所筑的祭坛上，向上主献了全燔祭；		
8.13	并按梅瑟的吩咐，在安息日、新月和每年的三个节期：无酵节、七七节和帐棚节，奉献每日应献的祭品。		
8.14	它又照他父亲达味的规定，为司祭派定了班次，各尽其职；又规定了肋未人的任务，令他们负责赞颂；照每日的定例，在司祭前服务；又派定了门丁，按照他们的班次守卫各门，因为天主的人达味是如此命令的。		
8.15	君王对司祭和肋未人所吩咐的任何职务，以及管理府库的事，他们都没有违抗。		
8.16	由上主的殿奠基之日起，以迄完成，撒罗满的一切工作完备无缺；上主的殿于是告成。		
8.17	此后，撒罗满往厄东地，到了滨海的厄兹雍革贝尔及厄拉特。		
8.18	希兰派遣自己的臣仆给他送来了船只和善于航海的人；他们与撒罗满的仆人同往敖非尔去，从那里装载了黄金四百五十「塔冷通，」运到撒罗满王那里。		
			
			
9.0t	第九章		
			
9.1t	舍巴女王来访撒罗满		
9.1 	舍巴女王听见了撒罗满的声誉，就来到耶路撒冷，考问撒罗满一些难题；陪从她的人很多，骆驼驮着许多香料、黄金和宝石；进见撒罗满时，便将所有的心思都对他说了出来。		
9.2 	撒罗满对她所问的一切难题，一一给她解答了，没有一样可难住撒罗满，而不能给她解答的。		
9.3 	舍巴女王看见了撒罗满的智慧和所建造的宫殿，		
9.4 	筵席上的肴馔，群臣的坐次，仆从的侍候和服装，酒正与酒正的服装，和在上主殿内的全燔祭，惊讶得出神，		
9.5 	遂对君王说：「关于你的作为和智慧，我在我国内所听到的，的确是真的。		
9.6 	以前我原不相信这些传闻，及至我来亲眼见了，才知人告诉我的还不及你伟大智慧的一半；你实在超越了我所听闻的。		
9.7 	你的妻妾是有福的，你的臣仆是有福的，能常侍立在你面前，聆听你的智慧。		
9.8 	上主，你的天主应受赞美！他喜爱你，使你坐在他的王位，代上主你的天主为王；因为你的天主爱慕以色列，要永远保持他们，所以使你作他们的王，来秉公行义。」		
9.9 	舍巴女王遂将一百二十「塔冷通」黄金，大批香料和宝石，赠送给君王：舍巴女王赠给撒罗满王的香料这样多，是从来未有过的。		
9.10	从敖非尔运金子的希兰的仆人和撒罗满的仆人，也运来了檀香木和宝石。		
9.11	君王用檀香木为上主的殿和王宫制造了栏杆，为歌咏员制造了琴瑟；像这样的东西，在犹大地方从来没有见过。		
9.12	凡舍巴女王所愿所求的，撒罗满都奉送给她；此外，尚有君王为酬谢她赠送的礼品；以后她和她的仆人回了本国。		
			
9.13t	撒罗满的富贵荣华		
9.13	撒罗满每年收入的金子，重量有六百六十「塔冷通，」		
9.14	商人小贩所运来的，以及阿拉伯的储王和本国太守给撒罗满所进献的金银，尚不计算在内。		
9.15	撒罗满王又用锤打的金子，作了二百个盾牌，每个用锤打的金子六百「协刻耳。」		
9.16	又用锤打的金子，作了三百小盾牌，每个用金三百「协刻耳；」君王把这些盾牌都悬在黎巴嫩林宫。		
9.17	君王又用象牙制造了一个大宝座，用纯金包镶。		
9.18	宝座有六级台阶，座背后有一只金羔羊，座位两边有扶手，扶手两旁立着两只狮子。		
9.19	六级台阶上立有十二只狮子，每级两个，一左一右；在任何国家从没有过这样的制造法。		
9.20	撒罗满王所有的饮器，都是金的；黎巴嫩林宫的器具，都是纯金的；撒罗满时代，银是不值什么的。		
9.21	原来君王的船只与希兰的仆人一同去塔尔史士；去塔尔史士的船只，每三年往返一次，运来金银象牙，猿猴和孔雀。		
9.22	这样，撒罗满王的富贵和智慧，超过了世上所有的君王。		
9.23	世上所有的君王都想见撒罗满的面，听听天主赋予他心中的智慧；		
9.24	各人带来自己的礼物：银器、金器、衣服、兵器、香料、骡马，年年都是如此。		
9.25	撒罗满有四千厩，为养马存车，有一万二千骑兵，驻扎在屯车城和耶路撒冷君王左右。		
9.26	撒罗满统辖列王，由大河到培肋舍特人领域，直到埃及边陲。		
9.27	君王在耶路撒冷有的银子，多如石头，香柏木多如平原的桑树。		
9.28	撒罗满所有的马，都是由慕兹黎和各地运来的。		
			
9.29t	撒罗满逝世		
9.29	撒罗满其余的前后事迹，都记载在先知纳堂的言行录，史罗人阿希雅的预言书和先见者依多论及乃巴特之子雅洛贝罕的启示录上。		
9.30	撒罗满在耶路撒冷作全以色列王凡四十年。		
9.31	撒罗满与他的列祖同眠，葬在他父亲达味城内；他的儿子勒哈贝罕继位为王。		
			
10.-1t	四编 列王初期的宗教改革(10-27)		
			
10.0t	第十章		
			
10.1t	南北分裂		
10.1 	勒哈贝罕去了舍根，因为全以色列人集合在舍根，要立他为王。		
10.2 	乃巴特的儿子雅络贝罕，─为躲避撒罗满王，曾逃往埃及，一听见这事，便从埃及回来，		
10.3 	有人派人去请了他来，他便和全以色列人前来对勒哈贝罕说：		
10.4 	「你的父亲使我们的负担繁重，现在请你减轻你父亲加给我们的苦役和重轭，我们才肯服事你！」		
10.5 	他回答他们说：「三天以后，你们再来见我。」人民都走了。		
10.6 	勒哈贝罕王同那些在他父亲撒罗满生时作臣仆的老年人商议，问他们说：「你们有什么主意，叫我好答复这些人民﹖」		
10.7 	他们回答说：「如果你今日善待这些百姓，使他们心悦，向他们说好话，他们必会常常服事你。」		
10.8 	但是，君王竟拒绝老年人给他出的主意，反去同那些与他一同长大，侍立在他面前的少年人商议，		
10.9 	问他们说：「这些人民对我说：请你将你父亲加给我们的负担减轻些。你们有什么主意，好使我答复他们﹖」		
10.10	那些与他一同长大的少年人答说：「这些百姓曾对你说：你父亲曾加重我们的负担，请你给我们减轻些。你要这样回答他们，这样对他们说：我的小指比我父亲的腰还粗；		
10.11	我父亲曾加给你们重担，我更要加重你们的负担；我父亲用鞭子责打你们，我却要用铁刺鞭责打你们。」		
10.12	雅洛贝罕和全人民照君王所说「你们第三天再来见我」的话，第三天来见勒哈贝罕王。		
10.13	主严厉答复了人民；勒哈贝罕王拋弃了老年人的意见，		
10.14	依照少年人的主张答复人民说：「我的父亲加重了你们的负担，我更要加重；我父亲用鞭子责打你们，我要用铁刺鞭责打你们。」		
10.15	君王始终不肯听从人民；这种转变原是出于天主，为实现上主借史罗人阿希雅论及乃巴特的儿子雅洛贝罕所说的话。		
10.16	全以色列人见王不肯依从他们，便回复君王说：「我们与达味有什么分子﹖我们与叶瑟的儿子毫无关系！以色列！回到你的帐幕去！达味现在你只顾你本家罢！于是全以色列人都回了自己的帐幕，		
10.17	只那些住在犹大城内的以色列子民，归勒哈贝罕统治。		
10.18	勒哈贝罕王派遣监管劳役的阿多兰去见以色列，以色列子民却用石头将他砸死；勒哈贝罕王急忙上车，逃回了耶路撒冷。		
10.19	这样，以色列叛离达味王朝，直到现在。		
			
			
11.0t	第十一章		
			
11.1t	上主禁止进攻以色列		
11.1 	勒哈贝罕一回到耶路撒冷，即刻召集犹大和本雅明家族中十八万善战的精兵，去攻打以色列，想把王国夺回，再归属勒哈贝罕。		
11.2 	但是，上主有话传于天主的人舍玛雅说：「		
11.3 	你去告诉撒罗满的儿子犹大王勒哈贝罕，及所有犹大和本雅明的以色列人说：		
11.4 	上主这样说：你们不可前去攻打你们的弟兄！你们各人回本家罢！因为这事是出于我。」他们便听从上主的话，都回去了，没有去攻打雅洛贝罕。		
			
11.5t	勒哈贝罕加强防御工事		
11.5 	勒哈贝罕住在耶路撒冷，在犹大修筑了各城的防御工事，		
11.6 	即修筑了白冷、厄坦、特科亚、		
11.7 	贝特族尔、索苛、阿杜蓝、		
11.8 	加特、玛勒沙、齐弗、		
11.9 	阿多兰、拉基士、阿则卡、		
11.10	祚辣、阿雅隆和赫贝龙：这些都是犹大和本雅明境内设防的城。		
11.11	他加强巩固这些城，派军驻守，储备食粮，酒、油；		
11.12	各城内又备有干戈，使之极其坚固，为统治犹大和本雅明。		
			
11.13t	圣职人员来归		
11.13	凡以色列所有的司祭和肋未人都由各地归勒哈贝罕。		
11.14	肋未人离开自己的牧场和产业，来到犹大和耶路撒冷，是因为雅洛贝罕和他的儿子们拒绝他们充当司祭，服事上主，		
11.15	而另为高丘、公山羊像和自己所制的牛犊委派了司祭。		
11.16	为此，以色列各支派中，凡专心寻求上主以色列天主的，都随那些肋未人到了耶路撒冷，向上主他们祖先的天主奉献牺牲。		
11.17	如此，这般人加强了犹大的国势，使撒罗满的儿子勒哈贝罕有了势力，凡三年之久，因为他们在三年之中，遵循了达味和撒罗满的道路。		
			
11.18t	勒哈贝罕的家室		
11.18	勒哈贝罕取了达味之子耶黎摩特的女儿，亦即叶瑟之子厄里雅布的女儿阿彼海耳的女儿玛哈拉特为妻。		
11.19	玛哈拉特给他生的儿子，即耶乌士、舍玛黎雅和匝罕。		
11.20	以后，他又娶了阿贝沙隆的外孙女玛阿加，她生了阿彼雅，阿泰、齐匝和舍罗米特。		
