1:-1t	岳厄尔		
2:23	熙雍的子女!你们应欢乐，应喜乐于上主你们的天主，因为他按公义，像昔日一样，赐给了你们时雨，且给你们降下甘霖：秋雨和春雨。		
2:24	禾埸必充满庄稼，榨池必溢出美酒和新油。		
2:25	我必要补偿你们，我对你们所派来的大军：飞蝗、冬斯、蚱蜢和蝻子，连年所吃掉的收成。		
2:26	你们必得饱食，必要颂扬上主你们的天主的名，因为他为你们行了奇妙的事。[我的百姓永不再蒙受羞辱。]		
2:27	你们将会知道：我是在以色列中间，我是上主你们的天主，此外再没有别的神；而我的百姓永不再蒙受羞辱。		
			
			
3:0t	第三章(5)		
			
3:1t	上主倾注他的神		
3:1 	此后──上主的断语──我要将我的神倾注在一切有血肉的人身上：你们的儿子们和你们的女儿们要说预言，你们的老人要看梦境，你们的青年要见神视；		
3:2 	在那些日子里，甚至在奴仆和婢女身上，我也要倾注我的神。		
3:3 	我要在上天下地显示奇异的征兆：血、火和烟柱。		
3:4 	在上主伟大可畏的日子来临以前，太阳要变为昏暗，月亮要变成血红。		
3:5 	将来，凡呼号上主名号的人，必然获救，因为如上主所说，在熙雍山，在耶路撒冷必有救援，必有上主召选的劫后余生。		
			
			
4:0t	第四章(21)		
			
4:1t	异民齐集于约沙法特山谷		
4:1 	看，在那些日子，在那个时候，当我转变犹大和耶路撒冷的命运时，		
4:2 	我必聚集万民，领他们下到约沙法特山谷，在那里我要关于我的百姓，我的基业以色列，审问他们，因为他们使我的百姓散居在异民中，且瓜分了我的土地，		
4:3 	为我的百姓抽了签，以男童换取淫妇，卖掉女童，换洒买醉。		
			
4:4t	上主报复腓尼基人		
4:4 	提洛、漆冬和培肋舍特所有的地域!你们想对我做什么﹖你们想对我施行报复吗﹖若你们向我报复，我立刻将你们的作为归在你们的头上，		
4:5 	因为你们夺去了我的金银，将我的珍宝带到你们的宫中；		
4:6 	又将犹大子民和耶路撒冷子民卖给雅汪人，使他们远离自己的祖国。		
4:7 	看，不拘你们把他们出卖到什么城邑和地方，我必要使他们从那里回来，却把你们所做的，归在你们头上：		
4:8 	将你们的儿女卖在犹大子民的手里，使他们再转卖给远方的民族舍巴人，因为上主这样说了。		
			
4:9t	末日的战争		
4:9 	你们要在异民中宣布：准备圣战，激励勇士!一切战士应前进袭击!		
4:10	将你们的犁头铸成刀剑，将你们的镰刀铸成长枪；连弱者也要说：我是个战士!		
4:11	四周的异民!你们急速前来，在这里聚合。上主，使你的勇士降临吧!		
			
4:12t	异民受审		
4:12	异民，起来，前往约沙法特山谷，因为我要在那里坐堂，审讯四周的一切异民。		
4:13	伸出镰刀，因为庄稼已成熟；前来践踏!因为洒榨已满盈，酒槽已溢出，因为他们已恶贯满盈。		
4:14	成群结队的人齐集在审判谷，因为上主的日子已临近了审判谷。		
			
4:15t	上主是选民的堡垒		
4:15	太阳和月亮昏暗了，星辰失去了光芒。		
4:16	上主从熙雍怒吼，从耶路撒冷发出自己的声音，天地为之震动；但上主却是自己百姓的避难所，是以色列子民的堡垒。		
4:17	那时，他们必要知道：我上主是你们的天主，我住在熙雍，我的圣山上。那时，耶路撒冷必要成为圣地，外人不能再从那里经过。		
			
4:18t	默西亚时代		
4:18	到了那一天，山岳必要滴下新洒，丘陵必要流下乳汁，犹大的一切河流必要涌流清水；从上主的殿里，将有一清泉流出，浇灌史庭山谷。		
4:19	埃及将变成荒地，厄东将成为旷野，因为他们虐待了犹大子民，在他们的境内倾流了无辜者的血。		
4:20	但犹大必永远有人居住，耶路撒冷也必世世代代有人居住。		
4:21	我必要追讨我尚未追讨的血债；因为上主住在熙雍。		
			
