1:-1t	伯多禄后书	
2:22	在他们身上正应验了这句恰当的俗语：「狗呕吐的，它又回来再吃；」又「母猪洗净了，又到污泥里打滚。」	
		
		
3:0t	第三章	
		
3:1t	应坚持信仰　	
3:1 	亲爱的诸位！这已是我给你们写的第二封信，在这两封信中，我都用提醒的话，来鼓励你们应有赤诚的心，	
3:2 	叫你们想起圣先知们以前说过的话，以及你们的宗徒们传授的主和救世者的诫命。	
3:3 	首先你们该知道：在末日要出现一些爱嘲笑戏弄，按照自己的私欲生活的人，	
3:4 	他们说：「那里有他所应许的来临？因为自从我们的父老长眠以来，一切照旧存在，全如创造之初一样。」	
		
3:5t	主的日子必要来临　	
3:5 	他们故意忘记了：在太古之时，因天主的话，就有了天，也有了由水中出现，并在水中而存在的地；	
3:6 	又因天主的话和水，当时的世界为水所淹没而消灭了；	
3:7 	甚至连现有的天地，还是因天主的话得以保存，直存到审判及恶人丧亡的日子，被火焚烧。	
3:8 	亲爱的诸位，惟有这一件事你们不可忘记：就是在天主前一日如千年，千年如一日。	
3:9 	主决不迟延他的应许，有如某些人所想象的；其实是他对你们含忍，不愿任何人丧亡，只愿众人回心转意。	
3:10	可是，主的日子必要如盗贼一样来到；在那一日，天要轰然过去，所有的原质都要因烈火而溶化，大地及其中所有的工程，也都要被焚毁。	
		
3:11t	应以善生等候主的来临　	
3:11	这一切既然都要这样消失，那么，你们应该怎样以圣洁和虔敬的态度生活，	
3:12	以等候并催促天主日子的来临！在这日子上，天要为火所焚毁，所有的原质也要因烈火而溶化；	
3:13	可是，我们却按照他的应许，等候正义常住在其中的新天新地。	
3:14	为此，亲爱的诸位，你们既然等候这一切，就应该勉力，使他见到你们没有玷污，没有瑕疵，安然无惧；	
3:15	并应以我们主的容忍当作得救的机会；这也是我们可爱的弟兄保禄，本着赐与他的智慧，曾给你们写过的；	
3:16	也正如他在谈论这些事时，在一切书信内所写过的。在这些书信内，有些难懂的地方，不学无术和站立不稳的人，便加以曲解，一如曲解其它经典一样，而自趋丧亡。	
		
3:17t	最后劝勉与祝福　	
3:17	所以，亲爱的诸位，你们既预先知道了这些事，就应该提防，免得为不法之徒的错谬所诱惑，而由自己的坚固立场跌下来。	
3:18	你们却要在恩宠及认识我们的主，和救世者耶稣基督上渐渐增长。愿光荣归于他，从如今直到永远之日，阿们。	
		
