1.-2t	圣咏集
7.12	天主是公义的审判者，对怙恶的人终日怒吓。
7.13	仇人虽然磨刀擦剑，开弓拉弦准备射箭；
7.14	那只是为自己预备死亡的武器，为自己制造带火的箭矢。
7.15	试看，他既孕恶怀毒，自然就要产生虚无，
7.16	他挖掘坑穴，摆布陷阱，势必落在自备的窖中。
7.17	他的凶恶必反转到自己头上，他的横暴必降落在自己顶上。
7.18	我要称谢上主的公道，歌颂至高上主的名号。
	
	
8.0t	八：[人的尊威](10)
8.1	达味诗歌，交与乐官。调寄「加特」。
8.2	上主，我们的主！你的名号在普世何其美妙！你的尊荣在天上彰显光耀。
8.3	由赤子乳儿的口中，你取得完美的赞颂；为使恨你的人受辱，为使仇敌有口无用。
8.4	当我仰望你手指创造的穹苍，和你在天上布置的星辰月亮，
8.5	世人算什么，你竟对他怀念不忘？人子算什么，你竟对他眷顾周详？
8.6	竟使他稍微逊于天神，以尊贵光荣作他冠冕，
8.7	令他统治你手的造化，将一切放在他的脚下：
8.8	所有的羊和牛，与野外的走兽，
8.9	天空的飞鸟和海里的鱼类，及种种游泳于海道的水族。
8.10	上主，我们的主！你的名号在普世何其美妙！
	
	
9.0t	九：[天主除暴安良](21)
9.1	达味诗歌，交与乐官。调寄「木特拉本」。
9.2	上主，我全心赞颂你，宣扬你的一切奇伟；
9.3	我要因你而欢欣踊跃，歌颂你至高者的名号。
9.4	因为我的仇敌已退藏，在你面前已颠仆灭亡。
9.5	你登上宝座，秉公行义，为我审断了是非曲直。
9.6	你摧毁了异民，歼灭了恶徒，你把他们的名字，永远消除。
9.7	敌人现已覆灭，永远沉沦，你荡平的城邑，全不留名。
9.8	上主却为王于永远，安置宝座秉公审判。
9.9	将以公义审讯世人，将以正直判决万民。
9.10	上主将是受迫害者的碉堡，作他困厄中及时的避难所。
9.11	凡认识你名号的人，必仰望你，上主，寻觅你的人，你必不摈弃。
9.12	你们该歌颂上主，他住在熙雍，在万民中宣扬他的一切化工：
9.13	上主追讨血债，常怀念悲苦的人民，上主绝不会忘掉他们惨痛的呼声。
9.14	上主，求你怜悯我，垂视我仇加于我的苦辱，拯救我脱离死亡的门户，
9.15	好使我在熙雍女子门口，宣扬你的美誉，欣享你的助佑。
9.16	异民都落于自己挖掘的深坑，他们的脚都掉入自设的陷阱。
9.17	上主自显于世，行了审判，恶人被自设的罗网所陷。
9.18	愿一般忘却天主的异族，愿一般恶人都归于阴府！
9.19	困苦的人绝不会被遗忘，穷人的依靠永不会丧亡。
9.20	上主，起来，莫让世人获胜，愿异民尽都在你前受审！
9.21	上主，恳请你恐吓异民，使他们自知不过是人。
	
	
10.0t	十：[求主铲除恶霸](18)
10.1	上主，你为什么站在远处！在困苦之时竟隐藏不露？
10.2	恶人蛮横地难为弱小的人，叫他陷于预设的阴谋之中。
10.3	恶人因随心所欲而自庆，匪徒因轻慢上主而自幸；
10.4	恶人心高气傲说：「他绝不会追究！也绝没有天主！」这就是他的企图。
10.5	他的道路时时弯曲错谬；常把你的惩罚抛诸脑后，对一切私仇常怒气诅咒。
10.6	心下自语：「我永远不会动摇！我永永远远不会遭受灾祸！」
10.7	他满口是欺诈与辱骂，舌下尽是恶毒与谎话。
10.8	他在村边隐密处埋伏，他暗地里要杀害无辜，他对不幸者窥伺注目，
10.9	他在暗处伺伏，有如狮子蹲在洞口，要把贫困的人，伺机刮搜，将贫困者拖入网中劫走。
10.10	他俯下身子，蹲伏在地下，不幸者便陷入他的爪牙；
10.11	心下自语：「天主忘了，他掩了面，永不再看。」
10.12	上主天主，求你起来将手举起，不要把穷苦人忘记。
10.13	为什么让恶人轻慢天主，心下自语，「他绝不会追究？」
10.14	其实你已看见欺压与暴行，正考虑如何亲手加以严惩；因此不幸的人向你投奔，唯有你是孤儿们的救星。
10.15	愿你打断罪犯与恶人的臂膊，报复他的罪孽直至不再发作。
10.16	上主为王，直至于万世无疆；野蛮人必由他领域中丧亡。
10.17	上主，你垂允了谦卑者的心愿，坚固他们的心灵，也侧耳俯听。
10.18	护卫孤儿和受压迫者的特权，使尘世的人不再施恐怖手段。
	
	
11.0t	十一：[义人依恃天主](7)
11.1	达味作，交与乐官。上主是我的避难所，你们怎么能对我说：「象只小鸟，飞往深山！
11.2	看，恶人挽弓搭箭，向心诚的人暗算。
11.3	基础既已全部崩溃，义人还能有何作为？」
11.4	上主住在自己的圣殿，上主的宝座设主于天；他的眼睛垂视下地，他的目光细察人子，
11.5	上主审察着义人与恶人；全心痛恨那爱蛮横的人，
11.6	上主使火碳硫磺降于恶人之身，干燥的热风将是他们杯中之分。
11.7	上主是正义的，他酷爱公正，心诚的人必得见他的仪容。
	
	
12.0t	十二：[求免于是非](9)
12.1	达味诗歌，交与乐官，八度低音。
12.2	上主，求你拯救，因为热心者已缺少，忠诚的人在人间也已绝迹不见了。
12.3	人们彼此言谈虚伪，嘴唇圆滑，口是心非。
12.4	愿上主将一切欺诈的口唇除去，把大言不惭的舌头剪除！
12.5	他们扬言说：「我们以口舌取胜；有口有唇护卫我们，谁能作我们的主人？」
12.6	「为了贫苦者的委屈，为了穷困者的叹息，我要立刻站起──上主说：将渴望救援的人救起。」
12.7	上主的圣言是真诚的圣言，如同纯银经过七次的锻练。
12.8	上主，恳求你护佑我们，由这一代常拯救我们。
12.9	恶人在四周往来追踪，实如令人生厌的毒虫。
	
	
13.0t	十三：[急难中的哭诉](6)
13.1	达味诗歌，交与乐官。
13.2	上主，你把我全然遗忘，要到何时？上主，你掩面而不顾我，要到何时？
13.3	我的心情终日愁怅，要到何时？我的仇敌高居我上，要到何时？
13.4	上主，我的天主！求你垂顾回答我；赐我眼目明亮，别让我沉睡而亡。
13.5	免得我的仇人说：「我已打了胜仗！」免得我跌倒之时，敌人欢欣若狂。
13.6	我今信赖你的爱怜；我心欢愉你的救援；我要向我恩主歌赞。
	
	
14.0t	十四：[愚顽者不知有天主](7)
14.1	达味作，交与乐官。愚妄的人心中说：「没有天主；」他们都丧尽天良，恣意作恶；行善的人实在找不到一个！
14.2	上主由高天俯视世人之子，察看有无寻觅天主的智者。
14.3	人人都离弃了正道，趋向邪恶：没有一人行善，实在没有一个。
14.4	那些作奸犯科的人，吞我民如食馒头；总不呼号上主的人，岂不是愚蠢糊涂？
14.5	他们必然要惊慌失措，因上主喜爱义人家族。
14.6	你们尽可鄙视贫苦者的主张，但上主却要自作他们的保障。
14.7	唯愿以色列人的救援来自圣熙雍！一旦上主将自己民族的命运变更，雅各伯必将喜庆，以色列必将欢腾。
	
	
15.0t	十五：[得常生之路](5)
15.1	达味诗歌。上主，谁能在你的帐幕里居住？上主，谁能在你的圣山上安处？
15.2	只有那行为正直，作事公平，从自己心里说诚实话的人，
15.3	他不信口非议，危害兄弟，更不会对邻里，恃势诋欺；
15.4	对作恶犯罪的人睥睨，对敬畏天主的人重视；宣誓虽损己，亦不作废，
15.5	从不放债，贪取重利，从不受贿，伤害无罪；这样行事，永定不移。
	
	
16.0t	十六：[上主是我的产业](11)
16.1	达味金诗。天主，求你保佑我，因为我只投靠你。
16.2	我对天主说：「唯有你是我的上主，唯有你是我的幸福。」
16.3	对地上所有的圣族，我心是如何地倾慕！
16.4	归依其他神祗的人们，他们的苦楚必然累增；我决不向他们行奠血之祭，他们的名号，我口决不提起。
16.5	上主，你是我的产业，是我的杯爵，我要得你的基业，有你为我守着。
16.6	绳尺正给我落在优雅的地域，我的产业实在令我称意满心。
16.7	我要赞颂引导我的上主，我心连夜间也向我督促。
16.8	我常将上主置于我的眼前，我决不动摇，因他在我右边。
16.9	因此我心高兴，我灵喜欢，连我的肉躯也无忧安眠。
16.10	因为你绝不会将我遗弃在阴府，你也绝不让你的圣者见到腐朽，
16.11	请你将生命的道路指示给我，唯有在你面前有圆满的喜悦，永远在你右边也是我的福乐。
	
	
17.0t	十七：[无辜者的恳祷](15)
17.1	达味祷词。上主，请静听我的伸诉，俯听我的呼号，请倾听我出自绝无虚伪唇舌的祈祷。
17.2	愿我的案件在你面前判决，愿你的眼睛细察何为清白！
17.3	任你考验我的心灵，夜间来视察我，以火锻练我，你总找不到我的邪恶：因我的口总未象人一样犯了罪过。
17.4	我依照你的训令，遵行法律的正道。
17.5	我的双脚紧随了你的脚印，我的脚步决不致蹒跚不定。
17.6	天主，我向你呼号，请你回答我，求你侧耳听我，俯听我的祈祷。
17.7	请你彰现你奇妙的慈爱，将投奔到你身右边的人，从敌人的危害中救出来。
17.8	求你护卫我有如眼中的瞳仁，在你双翼的庇护下叫我藏身，
17.9	使我脱离谋害我的暴民，及那企图消灭我的仇人。
17.10	他们关闭了铁石的心肠，口中语言尽是夸大狂妄，
17.11	他们的脚步现已把我紧逼，瞪着眼务要将我推倒在地。
17.12	他们好似急于掠食的猛狮，他们又如伏在暗处的壮狮。
17.13	上主，起来迎击制服我的仇敌，上主挥动利剑救我脱离恶徒。
17.14	上主，求你亲手将他们治死，杀死他们，使他们离开此世，灭绝他们，使他们不再呼吸。求你使义人享用你的财富，使他们的子女也心满意足，再把剩余的给自己的子女。
17.15	愿我因我的正义能享见你的圣面，愿我醒来能尽情欣赏你的慈颜。
	
	
18.0t	十八：[凯旋感恩歌](51)
18.1	交与乐官，上主的仆人达味作，达味在上主救他脱离一切仇敌，尤其撒乌耳的毒手时，向上主唱了这篇诗歌，
18.2	说：上主，我的力量！我爱慕你。
18.3	上主，你是我的磐石、我的保障，我的避难所；你是我的天主，我所一心依靠的磐石；你是我的护盾，我救恩的角，我的堡垒。
18.4	我一呼求应受颂扬的上主，我便会从仇敌的手中得救。
18.5	死亡的狂涛环围着我，凶恶的险波惊吓着我，
18.6	阴府的绳缰缠绕着我，丧命的罗网拘绊着我。
18.7	我在急难难当中呼求了上主，向我的天主求助；他由殿中听我祷告，我的声音进入他的耳鼓。
18.8	因为上主愤怒填胸，大地立即战栗震惊，山基连根摇撼移动。
18.9	由他的鼻孔涌车楔烟，由他的口中喷出烈炎，由他的身上射出火炭。
18.10	他使诸天低垂，亲自降临，在他的脚下面密布浓云。
18.11	他乘坐革鲁宾飞扬；借着风的翼羽翱翔。
18.12	他四周以黑暗作帷帐，以含雨的浓云为屏障。
18.13	闪电在他前辉煌，红炭发出了火光。
18.14	上主由高天发出雷鸣，至高者吼出他的呼声。
18.15	他射出羽箭，将人驱散；他发出闪电，使人逃窜。
18.16	上主的呵斥一呼，鼻孔的怒气一出，沧海的海底出现，大地的地基露绽。
18.17	他由高处伸手将我拉住，他由洪水之中将我提出；
18.18	救我脱离了我的敌手，摆脱了强于我的仇敌。
18.19	他们在我困厄之日袭击我，然而上主却作了我的城堡；
18.20	他引领我步入广阔的平原，他因喜爱我，而给了我救援。
18.21	上主照我的正义酬答了我，按我双手的清白赏报了我；
18.22	因我遵行了上主的道路，没有作恶背弃我的天主。
18.23	他的一切法令常在我的眼前，他的任何诫命我总没有弃捐；
18.24	我在他前常保持成全，我自知防范各种罪愆。
18.25	因此，上主我在他眼前的正道，并照我双手的清白给了我赏报。
18.26	仁慈的人，你待他仁慈；正直的人，你待他正直；
18.27	纯洁的人，你待他纯洁；乖戾的人，你待他乖戾。
18.28	卑微的人，你必要救起；傲慢的人，你必要轻视。
18.29	上主，是你使我的灯笼放光，我主，是你把我的黑暗照亮。
18.30	仗着你的助佑，我冲上了战场；靠着我的天主，我跳过了城墙。
18.31	天主的道路是完善的；上主的言语是精练的；凡是投奔他的人，他必作他的后盾。
18.32	除了上主以外，还有谁是天主？我们天主以外，还有谁是磐石？
18.33	是天主使我腰缠英武，使我的道路平坦无阻；
18.34	使我的双脚敏捷与鹿蹄相同，使我能稳立于高山的危峰；
18.35	是他教导我的手上阵进攻，使我伸出臂膊开张了铜弓。
18.36	你把救生的盾赐给了我，你的右手不断扶持了我，使我日渐强大因你爱我。
18.37	你为我的脚步拓展了道路，我的双脚总没有颠簸踌躇。
18.38	我追击我的仇敌，并且把他们捕捉，决不返回，直到将他们除尽灭绝。
18.39	我将他们打得一败涂地，叫他们在我的脚下倒毙。
18.40	你使我腰缠英武奋勇作战，叫敌对我的人都向我就范；
18.41	使我的敌人在我前转背逃窜，使我把一切仇恨我的人驱散。
18.42	他们呐喊，却没有人救援，呼号上主，也得不到矜怜。
18.43	我粉碎他们象风吹的灰尘，我践踏他们似道上的粪土。
18.44	你救我脱离了判乱的人民，又封立了我为列国的元勋，我不认识的民族，也都来给我服务。
18.45	外邦的子民向我谄媚奉承，一听到是我，即刻向我服膺。
18.46	突锝的子民惊惶失色，战战兢兢走出了堡垒。
18.47	上主万岁！愿我的磐石备受赞颂！救我的天主备受尊崇！
18.48	天主，是你为我伸冤复仇，求你使万民都向我屈服；
18.49	是你拯救我脱离了我的仇敌，从凌驾我者的拳下把我提起，救我免于向我施暴人的劫持。
18.50	上主，为此，我要在异民中称谢你，我要对你的圣名赞颂不已：
18.51	因为是你使你的君王大获胜利，对你的受傅者：达味和他的后裔，广施了仁爱慈惠，至于无穷之世。
	
	
19.0t	十九：[赞主颂](15)
19.1	达味诗歌，交与乐官。
19.2	高天陈述天主的光荣，穹苍宣扬他手的化工；
19.3	日与日侃侃而谈，夜与夜知识相传。
19.4	不是语，也不是言，是听不到的语言；
19.5	它们的声音传遍普世，它们的言语达于地极。天主在天为太阳设置了帷帐，
19.6	它活象新郎一样走出了洞房，又象壮士一样欣然就道奔放。
19.7	由天这边出现，往天那边旋转，没有一物可以避免它的热焰。
19.8	上主的法律是完善的，能畅快人灵；上主的约章是忠诚的，能开启愚蒙；
19.9	上主的规诫是正直的，能悦乐心情；上主的命令是光明的，能烛照眼睛；
19.10	上主的训诲是纯洁的，永远常存；上主的判断是真实的，无不公允；
19.11	比黄金，比极纯的黄金更可爱恋；比蜂蜜，比蜂巢的流汁更要甘甜。
19.12	你仆人虽留心这一切，竭尽全力遵守这一切，
19.13	但谁能认出自已的一切过犯？求你赦免我未觉察到的罪愆。
19.14	更求你使你仆人免于自负，求你不要让骄傲把我占有；如此我将成为完人，重大罪恶免污我身。
19.15	上主，我的磐石，我的救主！愿我口中的话，并愿我心中的思虑，常在你前蒙受悦纳！
	
	
20.0t	二十：[求赐君王胜利](10)
20.1	达味诗歌，交与乐官。
20.2	愿上主在忧患之日，俯允你，雅各伯天主的名，保佑你！
20.3	愿他从圣所救护你，愿他由熙雍扶助你！
20.4	愿他追念你的一切祭献，愿他悦纳你的全燔祭献！
20.5	愿他满全你心中的志愿，愿他玉成你的一切筹算！
20.6	我们要因你的胜利而欢舞，奉我们天主的名竖立旗鼓：你的一切请求，愿上主成就！
20.7	我深信上主必赏他的受傅者获胜，以无敌右手救拯，从神圣高天俯听。
20.8	他们或仗恃战车，他们或仗恃战马；我们只以上主，我们天主的名自夸。
20.9	他们必将倒地丧命。我们却将挺身立定。
20.10	上主，求你赐于君王获胜，我们求你时，请俯允我们。
	
	
21.0t	二十一：[歌颂赐胜利的天主](14)
21.1	达味诗歌，交与乐官。
21.2	上主，君王因你的威能而欣喜，因你的救助狂欢而快乐无比。
21.3	你满全了他心中的渴想，没有拒绝他口中的愿望。
21.4	因为你已赐给了他超卓的福宠，且以纯金的冠冕加在他的头上；
21.5	他虽只向你乞求确保性命，你却赐他万世无疆的永生。
21.6	你协助他获得了伟大的光荣，你加给他无比的荣耀与尊崇；
21.7	你使他成了万世的福源，使他在你面前踊跃喜欢。
21.8	君王既已全心对上主信赖，凭至高者的慈爱不再移改。
21.9	愿你的手将你的一切仇敌搜罗，愿你的右手将憎恨你的人捕捉！
21.10	当你显示你尊容的时候，处置他们有如放在火炉；愿上主以震怒消灭他们，让火焰也尽情吞灭他们！
21.11	愿你从地上灭尽他们的子女，使他们的后裔全绝迹于人世！
21.12	他们虽为陷害你而设计，策划的阴谋却无济于事；
21.13	因为你朝他们张弓搭箭，已使他们吓得转身逃窜。
21.14	上主，请起来，显示你的英勇，让我们歌颂称扬你的威能。
	
	
22.0t	二十二：[默西亚的苦难与效果](32)
22.1	达味诗歌，交与乐官，调寄「朝鹿」。
22.2	我的天主，我的天主，你为什么舍弃了我？你又为什么远离我的恳求，和我的哀号。
22.3	我的天主，我白天呼号，你不应允；我黑夜哀祷，你仍默静。
22.4	但是你居于圣所，作以色列的荣耀！
22.5	我们的先祖曾经依赖了你，你救起他们，因他们依赖你；
22.6	他们呼号了你，便得到救赎，他们信赖了你，而从未蒙羞。
22.7	至于我，成了微虫，失掉了人形；作人类的耻辱，受百姓的欺凌。
22.8	凡看见我的人都戏笑我，他们都撇着嘴摇着头说：
22.9	「他既信赖上主，上主就应救他；上主既喜爱他，就该拯救他。」
22.10	是你使我由母腹出生，使我在母怀享受安宁。
22.11	我一离开母胎，就已交托于你，尚在母怀时，你己是我的天主。
22.12	因为大难临头，求你不要远离我，求你来近，因为无人肯来扶助我。
22.13	成群的公牛围绕着我，巴商的雄牛包围着我；
22.14	都向我张开自己的嘴，活象怒吼掠食的狮子。
22.15	我好象倾泻的水一般，我全身骨骸都已脱散；我的心好象是蜡，在我内脏中溶化。
22.16	我的上颚枯干得象瓦片，我的舌头贴在咽喉上端；你竟使我于死灰中辗转。
22.17	恶犬成群地围困着我，歹徒成伙地环绕着我；他们穿透了我的手脚，
22.18	我竟能数清我的骨骼；他们却冷眼观望着我，
22.19	他们瓜分了我的衣服，为我的长衣，彼此拈阄。
22.20	上主！请不要远离我，我的勇力，速来助我。
22.21	求你由刀剑下抢救我的灵魂，由恶犬的爪牙拯救我的生命；
22.22	求你从狮子的血口救我脱身，由野牛角下救出我这苦命人。
22.23	我要向我的弟兄，宣扬你的圣名，在盛大的集会中，向你赞美歌颂：
22.24	「你们敬畏上主的人，请赞美上主，雅各伯所有的后裔，请光荣上主，以色列的一切子孙，请敬畏上主！
22.25	因为他没有轻看或蔑视卑贱人的苦痛，也没有向他掩起自己的面孔，他一呼号上主，上主即予俯听。」
22.26	我在盛大的集会中要向他颂赞，我在敬畏他的人前还我的誓愿。
22.27	贫困的人必将食而饱饫，寻求上主的人必赞颂主；愿他们的心灵生存永久！
22.28	整个大地将觉醒而归顺上主，天下万民将在他前屈膝叩首；
22.29	因为唯有上主得享王权，唯有他将万民宰治掌管。
22.30	凡安眠于黄泉的人都应朝拜他，凡返回于灰土的人都要叩拜他。我的灵魂存在生活只是为了他，
22.31	我的后裔将要事奉上主，向未来的世界传述我主，
22.32	向下代人，传扬他的正义说：「这全是上主的所作所为！」
	
	
23.0t	二十三：[上主是善牧](6)
23.1	达味诗歌。上主是我的牧者，我实在一无所缺。
23.2	他使我卧在青绿的草场，又领我走进幽静的水旁，
23.3	还使我的心灵得到舒畅。他为了自己名号的原由，领我踏上了正义的坦途。
23.4	纵使我应走过阴森的幽谷，我不怕凶险，因你与我同在。你的牧杖和短棒，是我的安慰舒畅。
23.5	在我对头面前，你为我摆设了筵席；在我的头上傅油，使我的杯爵满溢。
23.6	在我一生岁月里，幸福与慈爱常随不离：我将住在上主的殿里，直至悠远的时日。
	
	
24.0t	二十四：[上主荣进熙雍](10)
24.1	达味诗歌。大地和其中的万物，属于上主，世界和其间的居民，属于上主。
24.2	是他在海洋上奠定了大地，是他在江河上建立了全世。
24.3	谁能登上上主的圣山？谁能居留在他的圣殿？
24.4	是那手洁心清，不慕虚幻的人，是那不发假誓，不行欺骗的人。
24.5	他必获得上主的降福；和拯救者天主的报酬。
24.6	这样的人是寻求上主的苗裔，追求雅各伯天主仪容的子息。
24.7	城门，请提高你们的门楣，古老的门户，请加高门扉，因为要欢迎光荣的君王。
24.8	谁是这位光荣的君主？就是英勇大能的上主，是那有力作战的天主。
24.9	城门，请提高你们的门楣，古老的门户，请加高门扉，因为要欢迎光荣的君王，
24.10	谁是这位光荣的君主？其实这位光荣的君主，就是万军之军的上主。
	
	
25.0t	二十五：[困苦中的祈祷](22)
25.1	达味作。上主，我向你把我的心举起，
25.2	我的天主，我全心要倚靠你。恳求你不要使我蒙受羞耻，也不要容许我的仇人欢喜。
25.3	凡期望你的人绝不会蒙羞，唯冒昧失信的人才会受辱。
25.4	上主，求你使我认识你的法度，并求你教训我履行你的道路。
25.5	还求你教训我；引我进入真理之路，我终日仰望你，因你是救我的天主。
25.6	上主，求你忆及你的仁慈和恩爱，因为它们由亘古以来就常存在。
25.7	我青春的罪愆和过犯，求你不要追念；上主，求你纪念我，照你的仁慈和良善。
25.8	因为上主仁慈又正直，常领迷途者归回正路，
25.9	引导谦卑者遵守正义，教导善良者走入正途。
25.10	对待持守上主的盟约和诫命的人，上主的一切行径常是慈爱和忠诚。
25.11	上主，为了你圣名的缘故，求你赦免我重大的愆尤。
25.12	不论是谁，只要他敬畏上主，上主必指示他应选的道路，
25.13	他的心灵必要安享幸福，他的后裔必能继承乐土。
25.14	上主亲近敬畏自己的人民，也使他们认识自己的誓盟。
25.15	我的眼睛不断地向上主瞻仰，因为他使我的双脚脱离罗网。
25.16	求你回顾，求你怜悯，因为我是孤苦伶仃。
25.17	求你减轻我心的苦难，救拔我脱离我的忧患；
25.18	垂视我的劳苦和可怜，赦免我犯的一切罪愆。
25.19	请看我的仇敌如何众多，他们都凶狠地痛恨着我。
25.20	求你保护我的生命，向我施救，别叫我因投奔你而蒙受羞辱。
25.21	愿清白和正直护卫我！上主，因我唯有仰望你。
25.22	天主，求你拯救以色列，使他脱离一切的祸灾。
	
	
26.0t	二十六：[无辜者的祈祷](12)
26.1	达味作。上主，求你替我主持正义，因我行动无辜，我曾毫不犹豫地全心依赖了上主。
26.2	上主，你尽管对我试验，对我查考，你尽管对我的五内和心脏探讨；
26.3	原来你的慈爱常摆在我眼前，我常遵照你的真理行走盘桓。
26.4	我决不与虚伪的人同坐，也决不与欺诈的人合作；
26.5	我常痛恨败类的集会，我也决不与恶人同席。
26.6	上主我要洗手表明无罪，我环游在你的祭坛周围，
26.7	为能高声向你称扬赞颂，传述你的一切奇妙化工。
26.8	上主，我喜爱你所住的殿堂，就是你那荣耀寄居的地方。
26.9	求你不要把我的灵魂，和罪人们一起收去；求你不要把我的生命，与流血者一起铲除。
26.10	因为他们的手中尽是罪污，他们的右手满是贿赂；
26.11	我却一向行动无辜，求你救我，求你怜恤。
