1.-1t	卢德传
2.19	她的婆婆问她说：「你今天在那里拾麦穗，在那里工作？愿那眷顾你的人家蒙受祝福! 」她就告诉她婆婆，她在谁那里工作，并且说：「我今天在他那里工作的人，名叫波阿次。」
2.20	纳敖米对她的儿媳说：「愿那位从未忘却对生者死者施慈爱的上主祝福这人! 」纳敖米又向她说：「这人是我们的亲人，且是有至亲义务的人。」
2.21	摩阿布女子卢德接著说：「并且他还对我说过：你要常同我的仆人在一起，直到收完我的庄稼。」
2.22	纳敖米向自己的儿媳卢德说：「我女，你更好跟著他的使女去罢! 免得在别人的田里受难为。」
2.23	卢德就紧随著波阿次的使女拾麦穗，直到收完了大麦和小麦。卢德时常与自己的婆婆住在一起。
	
3.0t	第三章
	
3.1t	纳敖米劝卢德改嫁
	
3.1	卢德的婆婆纳敖米向她说：「我女，难道我不应为你找个安身之处，使你幸福吗？
3.2	如今你同他的使女常在一起的波阿次，不是我们的亲人吗？看，他今夜要在禾场上簸大麦，
3.3	你去沐浴，抹油，披上你的外衣下，到禾场上去，但不要使那人认出你来，直等他吃喝完了，
3.4	到他睡觉的时候，你要看清他睡觉的地方；然后就去掀开他脚上的外衣，卧在那里，他会告诉你，你所应作的事。」
3.5	卢德回答她说：「你所嘱咐我的，我必依照遵行。」
3.6	她便下到禾场上，作了她婆婆所吩咐她的事。 
	
3.7t	卢德夜访波阿次
	
3.7	波阿次吃了喝了，心中畅快，就走到麦堆旁躺下了。卢德暗暗地去掀开了他脚上的外衣，躺卧在那里。
3.8	到了半夜，那人惊起，往前屈身一看，见一个女人睡在他的脚旁，
3.9	便问说：「你是谁」她答说：「我是你的婢女卢德，请你伸开你的衣襟，覆在你婢女身上罢! 因为你是我的至亲。」
3.10	波阿次说：「我女，愿你蒙上主的祝福! 你行的仁爱，后者实胜于前者，以致贫富的少年，你都没有跟随。
3.11	我女，如今你不必害怕，凡你同我所说的，我都愿为你做到，因为我本城的人，都知道你是一位贤德的妇女。
3.12	的确，我是你的至亲，不过还有一位至亲，比我更近。
3.13	今夜你在这里过夜，明早若他愿意对你尽至亲的义务，就由他尽好了! 如果他不愿意，──上主永在! 我必对你尽至亲的义务。你尽管睡到天明。」 
	
3.14t	卢德回报婆母
	
3.14	她就在他的脚旁睡到天明。在人能彼此辨别以前，她就起来了；波阿次心想：「不要叫人知道有妇女来过场上。」
3.15	于是他说：「伸开你所披的外衣，双手拿住! 」她就拿著，波阿次量了六斗大麦给她，放在她肩上；她就背著回城去了。
3.16	到了婆婆那里，婆婆就问她说：「我女，事情怎样？」卢德就向她述说了那人对她所作的一切；
3.17	并说：「他还给了我这六斗大麦，因为他向我说：你不要空手回去见你的婆婆。」
3.18	纳敖米就说：「我女，你等著罢! 看这事有什么结果；因为这人除非今日把这事办成，必不安心。」
	
4.0t	第四章
	
4.1t	波阿次商讨婚事
	
4.1	波阿次走上城门口，坐在那里。可巧，波阿次所说的那位至亲，正从那里经过，他就对他说：「某兄，请过来，坐一坐! 」他就过去坐下了。
4.2	波阿次又由城内的长老中，邀请了十位，对他们说：「请你们在这里坐一坐! 」他们就都坐下。
4.3	波阿次便对那位至亲说：「从摩阿布乡间回来的纳敖米要卖我们兄弟厄里默肋客的一块田。
4.4	我认为我应在你面前说明这事，并请你当著在坐的诸位及民众的长老前，购买这块地。若你愿意尽你至亲的义务，就尽；若你不愿意尽，请告诉我知道；因为除你应尽这义务之外，没有别人了；你以后就是我。」那人答说：「我尽。」
4.5	波阿次接著说：「你从纳敖米手中购得田地的那一天，也应娶亡者之妻，即摩阿布女子卢德，好给死者在嗣业上留名。」
4.6	那位至亲答说：「那么我就不能尽这义务了，免得我的产业受害，你尽我应尽的义务罢! 我不能尽了。」
4.7	从前在以色列中间，无论对于买卖或交易，为确定一事，有这样的一个风俗：就是一方应脱下自己的鞋，交与另一方：这在以色列就算为证据。
4.8	那位至亲对波阿次说：「你购买罢! 」遂就脱下了自己的鞋。
4.9	于是波阿次对长老以及所有在坐的民众说：「今天你们作证，我从纳敖米手中购得了属于厄里默肋客及基肋雍与玛赫隆的一切产业；
4.10	同时我也取得了玛赫隆的妻，摩阿布的女子卢德为我的妻室，好给死者在嗣业上留名，不叫死者的名字，在自己的兄弟和故乡的门户中失传；今日你们为此作证! 」
4.11	在城门旁的民众和长老都回答说：「我们作证。愿上主使这走进你家中的妇女，像似那两位曾建立了以色列家的辣黑耳和肋阿! 愿你在厄弗辣大昌盛，愿你在白冷得享盛名!
4.12	愿你的家藉上主使这少妇给你所生的后裔，相似塔玛尔给犹大所生的培勒兹的家。」 
	
4.13t	波阿次娶卢德
	
4.13	波阿次遂娶了卢德，她就成了他的妻子。他走近了她，上主赐她怀孕，生了一个儿子。
4.14	妇女们就对纳敖米说：「愿上主受颂扬! 因为他没有使你今日缺乏承继者。愿他在以色列中得享盛名!
4.15	他是你心灵的安慰，是你老年的依靠，因为他是爱你的儿媳所生的；像这样的儿媳，对你实胜过七个儿子。」
4.16	纳敖米接过婴儿来，抱在怀中，做了他的保母。
4.17	邻近的妇女喊著说：「纳敖米得了个儿子! 」他们就给他起名叫敖贝得；他就是达味的父亲叶瑟的父亲。 
	
4.18t	达味族谱
	
4.18	以下是培肋兹的族谱：培勒兹生赫兹龙，
4.19	赫兹龙生兰，兰生阿米纳达布，
4.20	阿米纳达布生纳赫雄，纳赫雄生撒耳孟，
4.21	撒耳孟生波阿次，波阿次生敖贝得，
4.22	敖贝得生叶瑟，叶瑟生达味。
