1.-1t	玛加伯上
2.15t	玛塔提雅起义
2.15	君王派来强迫人民背教的官吏，也来到了摩丁城，勒令人祭神。
2.16	有些以色列人附和了，但玛塔提雅和他的儿子却一致反抗；
2.17	君王的官吏对玛塔提雅说：「你是这城的首领，有面子又有势力，还受儿子兄弟们的拥护。
2.18	如今，请你首先前来遵行王的谕令，如同各国的人、犹太居民以及留在耶路撒冷的人所作的一般；这样，你和你的儿子就算是君王的朋友，你和你的儿子可以荣获金银和各种恩赐。」
2.19	玛塔提雅高声回答说：「即便所有君王国土中的人民都听从他，背弃了自己祖先的教礼，服从王的命令，
2.20	我和我的儿子以及我的弟兄，仍然照我们祖先的盟约去行，
2.21	决不背弃法律和教规，
2.22	决不听从王的谕令，而背离我们的教规，或偏左或偏右。」
2.23	他刚说完了这些话，正有一个犹太人前来，当众在摩丁的祭坛上祭神，全照王的谕令。
2.24	玛塔提雅一见，热情勃发，五内俱焚，要照法律发泄义怒，于是冲上前去，把那人杀死在祭坛上。
2.25	同时也把迫令人民献祭的王吏杀了，并把祭坛拆毁。
2.26	他对于法律这样热诚，完全像丕乃哈斯对撒路的儿子齐默黎所作的一样。
2.27	于是玛塔提雅在城内高声喊说：「凡热心法律，拥护盟约的，请跟我来！」
2.28	接着，他和他的儿子，把所有的家产都留在城里，逃到山中去了。
2.29	那时，有许多拥护正义正道的人，也都逃到旷野里去居住，
2.30	将子女妻室牲畜也一同带了去，因为大难已临头上。
2.31	其时有人报告王吏及驻扎耶路撒冷达味城的军队说：「背叛谕令的那些人，都隐藏到旷野山洞里去了。」
2.32	于是大队人马前去追捕，到了那里，摆好阵势，在安息日那天向他们宣战，
2.33	说：「到现在为止，若你们出来遵从王命，还可以活命。」
2.34	他们回答说：「我们不出去，也不遵从王命，亵渎安息日！」
2.35	敌军立即攻击他们。
2.36	但他们不向敌人还击，也不抛石，也不堵塞藏身之处，
2.37	只说：「我们众人情愿无辜而死！有天地为我们作证：你们杀害我们，极不公平。」
2.38	王军于是在安息日那天攻击了他们，他们和他们的妇孺牲畜都被屠杀了，人数约有一千。
2.39	玛塔提雅和他的朋友一听说此事，都十分悲痛。
2.40	彼此商议说：「若大家都像我们的弟兄所行的一样，为保护自己的性命和教规，不还击外邦人，那么，人很快就要把我们从地面上消灭了。」
2.41	于是在那天大家决定：「即便人在安息日来击我们，我们也应还击抵抗，免得我们像我们的弟兄都死在洞中。」
2.42	当时，哈息待党派的人也与他们会合；这些人都是以色列的勇士，甘心为法律舍生的人。
2.43	还有逃难流亡的人都同他们联合，支持他们。
2.44	于是他们便组成军队，发奋攻打罪人，怒袭叛徒；其余的人都逃往外邦人那里，为求安全。
2.45	玛塔提雅和他的朋友便到处巡行，拆毁祭坛，
2.46	凡在以色列境内遇见未受割损的孩子，便强迫他们割损；
2.47	此外，还扫荡了暴徒，在历次战役中都很顺利。
2.48	如此，保障了法律，摆脱了外邦人及国王的控制，不让恶人得势。
	
2.49t	玛塔提雅逝世
2.49	玛塔提雅临死时，对他的儿子们说：「现在是傲慢暴横得势，也是灾难和仇恨的时候。
2.50	孩子们！现今你们对法律应热诚服膺，应为我们祖先的盟约舍生致命，
2.51	要怀念祖先当日所创的大业，这样纔可获得无上的光荣和不朽的芳名。
2.52	亚巴郎不是在受试探中显示了忠信，纔算他有义德吗？
2.53	若瑟在患难中遵守了诫命，然后纔作了埃及的主人。
2.54	我们的祖先丕乃哈斯因为热诚，纔获永为司祭的盟约。
2.55	若苏厄因满全了天主的命，纔作了以色列的民长。
2.56	加肋布因在会众前作证，纔在此地获得了产业。
2.57	达味因慈悲为怀，纔承受了永世的王位。
2.58	厄里亚因热爱法律，纔被接升天。
2.59	哈纳尼雅、阿匝黎雅、米沙耳因着信赖，纔得拯救，免受火烧。
2.60	达内尔因心中纯洁，纔蒙拯救，免于狮子的口。
2.61	你们要世世代代这样存想：凡是仰望他的，决一无所缺。
2.62	不要怕恶人的议论，因为他们的光荣要变成粪土蛆虫，
2.63	今日飞黄腾达，明日即为黄花；人一归于灰土，他的计谋也云消雾散。
2.64	孩子们！你们要刚强不屈，遵守法律，法律必使你们蒙受光荣。
2.65	你们的兄弟息孟，我晓得他是具有超见人，你们该常听从他，他该接你们父亲之位。
2.66	犹大玛加伯自幼奋勇，他该是你们的将领，作战攻打异族。
2.67	你们应召集所有遵行法律的人来跟随你们，为百姓复仇雪恨。
2.68	应反抗异族，应坚守法律的规条。」
2.69	他祝福了他们以后，就归到他亲族那里去了。
2.70	死于一四六年，他的儿子们把他葬在摩丁的祖茔里，全以色列为他举丧志哀。
	
	
	
3.-1t	22）
	
3.0t	第三章（60）
	
3.1t	民族英雄犹大玛加伯
3.1	他的儿子犹大又名玛加伯的，接了他的位。
3.2	他的众兄弟及附和他父亲的人，都来辅佐他，大家都奋勇为以色列作战。
3.3	他增加了自己百姓的光荣，身披甲胄，状似英雄，腰佩兵器，领军作战，持刀护阵，
3.4	着手行事有如壮狮，捕猎怒号好似幼狮。
3.5	把歹徒搜查追捕，将加害百姓，者以火焚烧。
3.6	于是违法歹徒，不寒而栗；作恶匪类，惊惶失措；救国大业，赖其成功。
3.7	他使许多君王苦恼，行事却使雅各布伯欢乐，因为他集合了四散的人。
3.8	他出巡犹太各城，将城中恶徒铲除，从以色列挽回圣怒。
3.9	他的声名遍传地极，他的纪念永受赞美。
	
3.10t	战胜阿颇罗尼和色龙
3.10	阿颇罗尼调集异民，又从撒玛黎雅调来一支劲旅，要进攻以色列。
3.11	犹大一听说，就出兵迎击，将阿颇罗尼杀死，敌方伤亡甚众，残敌四散逃命，
3.12	犹太人夺得了许多物资；犹大取了阿颇罗尼的宝剑，一生用来作战。
3.13	叙利亚的军长色龙，听说犹大召集了很多军民，号召一伙忠诚的犹太人，随他前往作战，
3.14	就说：「我要成名，在国内受光荣，要战胜犹大和跟随他而轻视王命的人。」
3.15	他于是出征，率领一支强大而凶横军队，来向以色列子民复仇。
3.16	当他行近贝特曷龙山坡时，犹大带着一小队兵，前去迎击。
3.17	他们一见大军迎面而来，便向犹大说：「我们人数少，怎能攻打这么众多，强大有力的敌人呢？何况我们今天还未用饭，疲乏无力呢！」
3.18	犹大回答说：「多数人困在少数人手里，是容易的事；用多数或用少数人施救为上天没有区别。
3.19	因为战争的胜利，不在乎军队的多寡，而在乎由天而来力量。
3.20	他们来攻打我们，蛮横傲慢，无法无天，原为铲除我们和我们的妻子儿女，前来洗劫抢掠。
3.21	但是，我们是为保护性命和法律而战；
3.22	因此，天主必会亲自在我们面前粉碎他们；所以千万不要害怕！」
3.23	他一说完这话，便突然出击，色龙与他的军队不支败退。
3.24	犹大从贝特龙山坡，一直追到平原。敌人阵亡的约有八百，余下的都逃到培肋舍特人的地方去了。
3.25	从此，众人对犹大和他的兄弟都害怕起来，四周的异民也都为之震惊。
3.26	犹大的名声传到了君王那里，异民都称述他的战功。
	
3.27t	安提约古下令进攻犹太
3.27	安提约古王一听这消息，心中大怒，下令调集全国军队，编成强有力的大军。
3.28	打开库房，给军队发了一年的军饷，且嘱咐他们准备应变。
3.29	当时他也发觉国库银钱短绌，又因废弃旧制，国内混乱，各地税收大减。
3.30	他怕一两次开支和劳军之后，再不能像从前那样的阔绰，原来他挥霍无度，超过以前的君王。
3.31	因此心烦意乱，便决意到波斯去向各地征收捐税，大量聚敛银钱。
3.32	遂留下王族出身的贵人里息雅，托他代理从幼发拉的河直到埃及境界的国政；
3.33	还托他抚育自己的儿子安提约古，直到自己回来。
3.34	又将一半的兵力和象队交给他，吩咐他执行自己所决定的一切，尤其是关于犹太和耶路撒冷居民的事；
3.35	即要他派遣军队攻打以色列，粉碎他们的力量，扫荡耶路撒冷剩余的居民，将他们的纪念，由那地上除去；
3.36	使外方人移居于他们的全境，将他们的土地拈阄分给那些人为产业。
3.37	然后，王自己带着其余一半军队，在一四七年，由国都安提约基雅出发，渡过幼发拉的河，向高原进发。
3.38	里息雅选派了多黎默乃的儿子仆托肋米、尼加诺尔和哥尔基雅，他们都是国王朋友中最有权势的人。
3.39	又特派步兵四万和骑兵七千，由他们率领出征犹太地，照国王的命令摧毁那地。
3.40	于是他们便率领军队出发，到达靠近厄玛乌的平原上扎了营。
3.41	那一带的商人听说他们来了，就带着许多金银和脚镣，来到营幕，准备收买以色列子民为奴；依杜默雅和培肋舍特的军队，也来参战。
	
3.42t	犹大备战
3.42	犹大和他的兄弟见形势危急，敌军已在自己境内扎营；又听说王已下令，要根除自己的百姓，
3.43	就彼此说：「我们要挽救百姓免于灭亡，要为百姓及圣所而战。」
3.44	于是集合会众，准备应战，且举行祈祷，恳求仁慈和怜悯。
3.45	这时，耶路撒冷好似无人居住的旷野，城中已没有一人出入；圣所已被人践踏，城堡已为外方人占据，成了异民的居所；雅各布伯家不再欢乐，琴瑟之声业已止息，
3.46	于是以色列人集合起来，只有来到耶路撒冷对面的米兹帕；米兹帕原是以色列人昔日祈祷的圣地。
3.47	那天人人禁食，身穿苦衣，头上撒灰，撕裂衣服，
3.48	揭开法律书寻问，如同异民寻问他们的偶像一般。
3.49	他们又带来司祭的衣服、初熟的果实和什一的献仪，并叫满期的「纳齐尔」人前来。
3.50	他们大声向上天呼号说：「我们对这些人当怎么办？要把他们带到何处？
3.51	你的圣所已被践踏污辱；你的司祭已蒙难而忧伤。
3.52	异民齐来攻击，要消灭我们！你知道他们对我们所想的是什么。
3.53	除非你援助我们，我们怎能抵抗他们？」
3.54	他们遂吹号角，大声呼喊。
3.55	此后，犹大派定率领军人的千夫长、百夫长、五十夫长和十夫长；
3.56	又向修房屋、订婚、种葡萄与胆怯的人说明，按法律他们可以各回本家。
3.57	于是他调动军队，在厄玛乌以南安营。
3.58	犹大向他们说：「你们应装备起来，作勇敢的士兵，应准备停当，明早向前来攻击我们，毁灭我们和圣所的异民作战，
3.59	因为我们在阵上，宁愿死，也不愿看见我们的民族与圣所遭遇不幸。
3.60	上天的旨意怎样，就怎样实行罢！」
	
4.0t	第四章（61）
	
4.1t	厄玛乌之战
4.1	哥尔基雅率领五千步兵，一千精骑，乘夜进军，
4.2	偷袭犹太人营幕，乘虚突击；堡垒里的人给他作向导。
4.3	犹大一听这消息，便与军队起程，去突击驻扎厄玛乌王军；
4.4	这时王军还散在营外。
4.5	哥尔基雅夜间来到犹大营里，不见一人，遂在山中搜寻说：「这些人避开我们逃走了。」
4.6	天已亮时，犹大领着三千士兵，出现在平原之上，但没有佩带所需要的甲胄和刀剑。
4.7	他们看见异民的军营防守坚固，又有马队巡逻，还都是受过军训的士兵。
4.8	犹大便对同人说：「你们不必害怕他们人数众多，也不要畏惧他们的攻击。
4.9	你们要回忆，当我们的祖先被法郎的军队追赶的时候，他们怎样在红海里获救。
4.10	现在我们要呼吁上天，希望他怜悯我们，记忆他与我们祖先立的盟约，今天在我们前粉碎这支军队，
4.11	使万民知道，有一位解救以色列的。」
4.12	外方人举目一望，见犹太人从对面来了，
4.13	便出营作战；犹大的同志们于是吹起号角。
4.14	双方交锋，异民不支溃败，向平原逃去。
4.15	落后的敌军，全丧身刀下。犹太人追击他们，直到革则尔，直到依杜默雅、阿左托及雅木尼雅平原。敌方阵亡的约三千人。
4.16	犹大和他的军队追赶敌人回来，
4.17	对军队说：「你们不要贪恋战利品，因为前面还有战争：
4.18	哥尔基雅和他的军队还在山中，离我们不远。现今要在敌人前坚定不移，与他们作战，然后纔可安心拾取战利品。」
4.19	犹大还在说话时，发现有一部分敌人从山上窥望，
4.20	这些人一见自己的军队已败退，兵营亦被焚烧，又见烟柱四起，即知发生了事故。
4.21	他们一见如此，非常震惊；又见犹大的军队在平原摆好作战的阵势，
4.22	于是全都逃往培肋舍特人的地方去了。
4.23	犹大回来拾取军营的战利品，得了很金银、紫红和珍贵的朱红色衣服，还有大量的财物。
4.24	他们回来的时候，唱歌赞美上天，「因为他是美善的，他的仁慈永远常存。」
4.25	这一天以色列得了大胜利。
	
4.26t	里息雅初次败北
4.26	逃生的外方人来到里息雅那里，向他报告一切经过。
4.27	他一听说这事，张惶失惜，因为在以色列竟发生这事，大出他意料之外，与国王所嘱托的大不相同。
4.28	次年，他调集六万精兵，五千骑兵，来攻打犹太人。
4.29	大军来到依杜默雅，在贝特族尔扎了营。犹大带领一万人迎战；
4.30	他一见敌军强大，便祈祷说：「以色列的救主，你是可赞美的！从前你借着你仆人达味的手，粉碎了巨人强力的袭击，你曾把外方人的军营，交在撒乌耳之子约纳堂，和他执戟者的手中；
4.31	请你将这支军队，困在你百姓以色列的手中罢！使他们的兵马都蒙受羞辱。
4.32	请你使他们恐怖，消散他们逞强的勇气，使他们因溃败而颤栗。
4.33	请你使他们丧身在爱你之人的刀下，使那些认识你名的人，用诗歌来赞颂你。」
4.34	随后双方交锋，里息雅的军队，约有五千人为犹太人所杀。
4.35	里息雅见自己的阵容已乱，而犹大的士气正盛，且已准备作殊死战；他一见如此便退回安提约基雅，招募客军，加强阵容，预备再攻犹太地。
	
4.36t	光复圣殿
4.36	犹大和他的兄弟们说：「看，我们的敌人业已粉碎，我们要上去清洁圣所，再行祝圣礼。」
4.37	于是全体军队集合，齐上熙雍山。
4.38	当他们看见圣所荒芜，祭坛被玷污，门户被焚毁，庭院生满小树，像在树林或山上生长的一般，厢房都已倒塌，
4.39	便撕裂了衣服，大声哀哭，头上撒灰，
4.40	俯首在地；号角一响，他们便向天哀号。
4.41	那时犹大派人去攻打那些住在堡垒里的人，直到圣所清洁了为止。
4.42	然后又选定了圣洁和热爱法律的司祭；
4.43	这些司祭便清洁圣殿，将被玷污的石头，抛到污秽的地方。
4.44	他们商议，该怎样处理被玷污的全燔祭坛；
4.45	终于想出了一个好主意，就是将祭坛毁坏，免得常存着为异民玷污的耻辱。于是就将祭坛拆毁了，
4.46	将那些石头安放在圣殿山上一个适当的地方，直到一位先知来到，再另行安排。
4.47	他们按法律用整块石头，照原先的样式，另修了一座新祭坛。
4.48	将圣所及圣殿内部都修饰好，也祝圣了庭院，
4.49	又制造了新的圣器，将灯台、香坛、供桌，搬进圣殿。
4.50	在香坛上献香，又点着了灯台上的灯，在殿里放光。
4.51	在供桌上放上饼，将帐幔挂起来；他们应作的一切工作，于是完成。
	
4.52t	祝圣祭坛
4.52	一四八年九月，即「基色娄」月，二十五日清晨，他们起来，
4.53	按照法律，在新建的全燔祭坛上献祭。
4.54	即在异民玷污祭坛的同月同日，于唱歌、弹琴、鼓瑟和鸣钹中，祝圣了祭坛。
4.55	全体百姓都俯首至地，钦崇赞美那使他们成功的上天。
4.56	八日之久，举行祭坛的祝圣典礼，都欢乐地献了全燔祭、和平祭及感恩祭。
4.57	他们又用金冠铜牌，装饰圣殿正面，又重修大门和厢房，安上门户。
4.58	民众皆大喜欢，因为异民所加于他们的耻辱，现在全除去了。
4.59	犹大和他的兄弟们，以及以色列全会众，规定年年在这节期，庆祝重新祝圣祭坛节，即由「基色娄」月二十五日起，一连八天欢乐庆祝，
4.60	那时他们也重修熙雍山，在周围建起高墙和巩固的碉楼，免得异民再来，像从前一样蹂躏。
4.61	犹大又派军队在那里护守；并在贝特族尔设防，使人民对依杜默雅有所保障。
	
5.0t	第五章（68）
	
5.1t	征服依杜默雅人及阿孟人
5.1	四邻的异民听说犹太人重建了祭坛，重新祝圣了圣所，恢复旧观，于是大怒，
5.2	决意要铲除自己中间的雅各布伯的后裔，就开始屠杀犹太人，加以清除。
5.3	那时犹大在依杜默雅的阿卡巴特乃，攻打正在包围以色列人的厄撒乌的后裔，加以痛击，予以重创；制服他们，获得了许多财物。
5.4	他又想起贝红人的恶行，这些人常作犹太人的罗网和绊脚石，埋伏在路上窥伺陷害。
5.5	犹大将他们包围在碉堡里，安营攻打，下了毁灭令，遂放火将碉堡和其中所有的人焚烧了。
5.6	以后去攻打阿孟子民时，遭遇了强悍大军，军长是提摩太，
5.7	两军交战多次，敌军终为犹大所击败，犹大追杀他们，
5.8	占据了雅则尔及所属村镇，然后回师犹太。
	
5.9t	出兵基肋阿得及加里肋亚
5.9	基肋阿得的异民聚集起来，攻击住在他们境内的以色列人，要消除他们；于是以色列人逃到达特玛堡垒里，
5.10	写信给犹大及他的兄弟们说：「我们四周的异民都聚集起来攻打我们，要铲除我们。
5.11	他们正准备来夺取我们避难的堡垒，提摩太是他们的军长；
5.12	所以现在，请你来拯救我们，脱离他们的手！我们已有许多人丧生。
5.13	住在托布的众弟兄已全被杀，妻子儿女被俘掳，财物被劫掠，在那里被杀的约有一千人。」
5.14	正在读这封信时，又有从加里肋亚来使者，他们的衣服业已撒破，报告消息说：
5.15	「仆托肋买、提洛、漆冬，以及外方人的加里肋亚，都已聚集起来，要消灭我们。」
5.16	犹大与百姓一听见这些消息，立即召集全体大会，商讨怎样拯救蒙难和被敌人攻打的弟兄们。
5.17	犹大对哥哥息孟说：「你挑选一部分人，去援救加里肋亚的弟兄；我同弟弟约纳堂，往基肋阿得去。」
5.18	留下匝加黎雅的儿子若瑟和阿匝黎雅，管理军民，派他们与其余的军队守护犹太。
5.19	又吩咐他们说：「你们只管理百姓，不要与异民交战，直到我回来。」
5.20	于是拨给息孟三千人，往加里肋亚去，犹大率领八千人，往基肋阿得去。
	
5.21t	息孟在加里肋亚获胜
5.21	息孟到了加里肋亚，与异民打了几仗，异民终不支溃败；
5.22	息孟追击他们直到仆托肋买城门外，异民阵亡的约有三千；他获得了许多财物。
5.23	然后将住在加里肋亚和阿尔巴达的犹太人，同妻子儿女，以及所有的东西带回犹太，大家都很高兴。
	
5.24t	犹大基肋阿得获胜
5.24	犹大玛加伯和弟弟约纳堂，过了约但河，在旷野里行了三天的路；
5.25	纳巴泰人遇着他们，对他们表示欢迎，并将他们的弟兄在基肋阿得地的一切遭遇，报告给他们：
5.26	「他们中有许多人，怎样被困在波索辣、波索尔、阿肋玛、加斯佛、玛刻得和卡尔纳殷，这些城池都很坚固高大。
5.27	还有被困在基肋阿得其它城中的，敌人决定明天进军攻打这些堡垒，计划在一天之内占领，并消灭其中所有的人。」
5.28	犹大领着军队，突然转变方向，经过旷野，到了波索辣，占据了那城，用刀杀尽所有的男丁，夺取了他们的一切财物，然后放火烧了那城。
5.29	从那里夜间起身，来到达特玛堡垒前，
5.30	黎明时，举目一望，看见无数军民，带着云梯与器械，攻打堡垒，正向堡垒里的人攻击。
5.31	犹大见战事已起，杀声连天，角声喊声，混成一片，
5.32	便向兵士说：「今天你们要为弟兄而战。」
5.33	遂从敌后分三队进军，同时一起吹角、呼喊、祈祷。
5.34	提摩太的军队，一认出是玛加伯，就望风而逃；玛加伯追击他们，予以重创，那一天敌方死的约有八千人。
5.35	随后犹大转往阿肋玛，攻陷了那城，杀了所有的男丁，得了许多财物，然后放火将城烧了。
5.36	由此再往前进，将加斯佛、玛刻得、波索尔和基肋阿得的其余诸城都占领了。
	
5.37t	辣丰之战
5.37	这些事以后，提摩太又集合其它军队，在辣丰对面，河的那一边扎营。
5.38	犹大差人前去侦探敌军，他们回报说：「我们四周的异民，都与他们联合，组成一支人数非常众多的军队，
5.39	还雇用阿剌伯人来协助，都在河那边扎营，准备与你作战。」犹大就前去迎敌。
5.40	当犹大和他的军队临近河旁时，提摩太向他的军官们说：「若犹大先渡到我们这边，我们就不能抵抗他，他必能制胜我们；
5.41	如果他畏惧，安营在河那边，我们就渡河到他那边去，我们必能制胜他。」
5.42	犹大一近急流水旁，便将民间经师布置在河旁，命令他们说：「不准任何人留在营里，都应上阵作战。」
5.43	犹大便先渡河到他们那边，众军人尾随在后。所有的异民一见，便立即溃散，抛下武器，逃往卡尔纳殷庙去了。
5.44	犹太人又攻陷此城，将庙宇和其中众人，放火焚毁，卡尔纳殷遂被征服，从此不敢再反抗犹大。
5.45	那时犹大将住在基肋阿得的全体以色列人，将他们及他们妻子儿女，不分老幼，集合起来，结成庞大的一群，带着他们所有的一，切返回犹太地。
5.46	当他们临近赫斐龙时，--这是一座位于要道的大城，非常巩固，人只可从城中经过，左右不能通行。--
5.47	城里的人将城门紧闭，且用石堵塞起来。
5.48	犹大打发人到他们那里，措辞和气地地向他们说：「请让我们从你们的地方经过，到我们的地方去；无人骚扰你们，我们只求步行过去。」但是也们仍不肯给以色列人开门。
5.49	犹大便传令军中：每人驻扎在原处。
5.50	士兵于是进攻，攻打了一日一夜，城便陷落在他们手里，
5.51	他们用刀剑杀尽所有男子，将城彻底毁灭，得了许多财物，踏在死尸上，穿过城市。
5.52	渡过约但，到了贝特商对面大平原。
5.53	犹大将那些迟迟在后的人集合起来，一路鼓励百姓，直至来到了犹太地。
5.54	大家兴高采烈地上熙雍山，献了全燔祭；他们中没有一个丧亡的都平安回来了。
	
5.55t	若瑟与阿匝黎雅违命战败
5.55	当犹大与约纳堂在基肋阿得，他的哥哥息孟在加里肋亚攻打仆托肋买的时日，
5.56	匝加黎雅的儿子若瑟和阿匝黎雅，这两个军长，听到他们作的大事和武功，
5.57	就说：「我们自己也要成名，去与我们四周的异民作战。」
5.58	于是命令所属部队，向雅木尼雅进军，
5.59	哥尔基雅及其属下，便出城迎击。
5.60	若瑟与阿匝黎雅败退，被追赶到犹太边境。那一天，以色列人死亡的约有两千。
5.61	百姓这次所以遭受惨败，是因为这二人自信能成英雄，没有听从犹大及其它兄弟们的话，
5.62	原来他们二人不属于解救以色列人的后裔。至于犹大本人和他的兄弟，大受全以色列及所有听到他们名声的异民所赞扬，人人都聚到他们跟前欢呼。
	
5.65t	战胜依杜默雅与培肋舍特人
