1:-2t	达尼尔		
2:29	大王你睡在床上忽然想到日后所要发生的事，启示奥秘的那位，把要发生的事已晓谕给你。		
2:30	这奥秘已启示给我，并非因为我比任何活人更有智慧，而只是为把梦兆告诉大王，叫你知道你心中的思念。」		
			
2:31t	详述梦境		
2:31	「大王!你梦见一尊巨大的立像。这尊立像异常高大，非常光辉灿烂，立在君王面前，相貌可怕。		
2:32	这尊立像，头是纯金的，胸和臂是银的，腹和股是铜的。		
2:33	胫是铁的，脚一部份是铁，一部份是泥的。		
2:34	大王，你在观望，忽有一块石头，未经手凿即滚下，击中了立像，把铁泥的脚，打得粉碎；		
2:35	同时铁、泥、铜、银和金立即完全粉碎，有如夏天禾场上的糠秕，被风吹去，无踪无影；那块击碎立像的石头却变成了一座大山，占据了全地。」		
			
2:36t	详解梦兆		
2:36	「梦是这样的，现在我们要给大王解释梦兆。		
2:37	大王!你是王中之王，上天大主赐给了你领土、势力、权威和尊荣，		
2:38	凡有人居住的地方，田野的走兽，天空的飞鸟，都交在你手中，由你统治这一切，你便是那属金的头。		
2:39	在你以后，将兴起另一个比你稍弱的国家，以后兴起第三个国家，属铜，她要统辖大地；		
2:40	相继而来的是第四个，坚强如铁的国家，就如铁能粉碎击破一切，这个国家也要如铁粉碎击破一切。		
2:41	至于你见脚和趾，一部分是泥，一部分是铁，表示这个国家必要分裂，然而国内仍有铁的坚强，正如你见铁与泥相混一样。		
2:42	脚趾一部分是铁，一部份是泥，表示这个国家一部分强，一部分弱。		
2:43	你见铁与泥混合，是说他们要与其它人种相混合，但是彼此不能相合，就如铁不能与泥相混合一样。		
2:44	在这些君王时代，上天的大主必要兴起一个永不灭亡的国家，她的王权也决不归于其它民族，她要粉碎和毁灭这一切邦国，惟独她永存弗替，		
2:45	就如你所见那块未经手凿，即从山上滚下的石头，把铁、铜、泥、银和金打得粉碎一样。伟大的天主已晓谕了大王，今后将要发生的事。这梦是真实的，梦的解释也是正确的。」		
			
2:46t	达尼尔及同伴升官		
2:46	拿步高于是俯首至地，叩拜达尼尔，下令给他奉上礼物和香品，		
2:47	然后开口对达尼尔说：「的确，你们的天主是万神的天主，万王的主宰，奥秘的启示者，因为你能启示这个奥秘。」		
2:48	王遂擢升达尼尔，赏赐他很多珍贵的礼品，派他治理巴比伦全省，做巴比伦所有智者的首领。		
2:49	达尼尔要求君王委任沙得辣客、默沙耳和阿贝得乃哥掌管巴比伦省的政务；达尼尔自己却留在朝廷内。		
			
			
3:0t	第三章(100)		
			
3:1t	拿步高竖立金像		
3:1 	拿步高王制造了一尊高六十肘，宽六肘的金像，立在巴比伦省的杜辣平原上。		
3:2 	拿步高王就派人召集总督、省长、知县、参谋、司库、法官、警官和各省官长，前来参与拿步高立像的开光典礼。		
3:3 	于是总督、省长、知县、参谋、司库、法官、警官和各省官长都聚集前来，参与拿步高王立像的开光典礼，都站在拿步高立的像前。		
3:4 	传令官高声呼喊说：「各民族、各邦国、各异语人民!这是给你们下的令：		
3:5 	你们几时听到角、笙、琴、瑟、筝、箫及各种乐器齐奏，就当俯伏朝拜拿步高王立的金像。		
3:6 	凡不俯伏朝拜的，应当立刻投在烈火窑中。」		
3:7 	因此，当在场的人听见角、笙、琴、瑟、筝、箫及各种乐器齐奏时，各民族、各邦国、各异语人民便都俯伏朝拜了拿步高王所立的金像。		
			
3:8t	三青年不叩拜金像		
3:8 	当时，有几个加色丁人前来控告犹太人，		
3:9 	对拿步高王启奏说：「大王万岁!		
3:10	大王!你发出了谕令，要所有听见角、笙、琴、瑟、筝、箫及各种乐器齐奏的人，都应立刻俯伏朝拜金像，		
3:11	谁不俯伏朝拜，就应立即把他投入烈火窑中。		
3:12	然而有几个你所委任管理巴比伦省政务的犹太人，即沙得辣客、默沙耳和阿贝得乃哥，大王!他们不尊重你的谕令，不恭敬你的神，也不朝拜你所立的金像。」		
3:13	拿步高勃然大怒，遂下令传沙得辣客、默沙耳和阿贝得乃哥来；这几个人就被带到君王前，		
3:14	拿步高便对他们说：「沙得辣客、默沙耳、阿贝得乃哥!你们是真存心不恭敬我的神，不朝拜我立的金像吗﹖		
3:15	现在你们准备好，一听见角、笙、琴、瑟、筝、箫及各种乐器齐奏，就俯伏朝拜我制造的像；若是你们不朝拜，你们就立刻被投入烈火窑中，看有什么神能由我手中将你们救出﹖」		
3:16	沙得辣客、默沙耳和阿贝得乃哥回答拿步高王说：「关于这事，我们无须回答；		
3:17	如果我们所恭敬的天主肯救我们，大王!他必会救我们脱离火窑和脱离你的手；		
3:18	如果他不肯，大王!你应当知道，我们仍然不愿意恭敬你的神，也不朝拜你所立的金像。」		
			
3:19t	三青年被投入火窑		
3:19	拿步高一听这话，怒火填胸，立刻对沙得辣客、默沙耳和阿贝得乃哥变了脸，下令要人将火窑烧得比往常更热七倍，		
3:20	又命军中的几个壮士将沙得辣客、默沙耳和阿贝得乃哥捆起来，投入烈火窑中。		
3:21	这三个人穿著外氅、长袍、头巾和其它的衣服，被捆起来，投入烈火窑中。		
3:22	由于君王的命令急迫，火窑又烧得猛烈，火焰反将投掷沙得辣客、默沙耳和阿贝得乃哥的那些人烧死了。		
3:23	至于沙得辣客、默沙耳和阿贝得乃哥三个人，被捆着落入烈火窑中。		
			
3:24t	阿匝黎雅的祈祷		
3:24	他们在火焰中来回走动，歌颂天主，赞美上主。		
3:25	阿匝黎雅立在火焰中，开口这样祈祷说：「		
3:26	上主，我们祖先的天主!你是可赞美，可称颂的!你的名应受尊荣，直到永远!		
3:27	因为你对我们所行的一切是公义的，你的一切作为是信实的，你的一切道路是正直的，你的一切审判是正确的。		
3:28	在你所加于我们和加于我们祖先的圣城耶路撒冷的一切事上，你执行了公正的审判：由于我们的罪过，你按照真理和正义使这一切事临于我们身上。		
3:29	我们犯罪作恶，离弃了你，在一切事上犯了重罪，没有听从你的诫命，		
3:30	也没有遵守，也没有执行你为我们的好处，给我们所吩咐的事。		
3:31	因此你所加于我们的一切，和你对我们所行的一切，都是按照公正的审判而行的。		
3:32	你将我们交在无法无天，邪妄无信的仇人手中，又将我们交于一位不义和全世界上最凶暴不仁的君王手中。		
3:33	现在，我们那里还敢开口!你的仆人和恭敬你的人们，只有羞愧和耻辱。		
3:34	为了你的名，求你不要永远拋弃我们，也不要废除你的盟约；		
3:35	为了你的朋友亚巴郎，你的仆人依撒格和你的圣者以色列，求你不要使你的仁爱离开我们，		
3:36	因为你曾向他们应许过，要使他们的后裔繁多，有如天上的星辰，海边的沙粒。		
3:37	恩主啊!由于我们的罪过，我们比任何民族都渺小，我们今天在全世界上成了微贱的。		
3:38	目前我们没有元首，没有先知，没有领袖，没有全燔祭，没有祭祀，没有供物，没有馨香祭，没有地方可以给你荐新，好蒙受你的仁爱。		
3:39	但愿我们能借着忏悔的心和谦虚的精神蒙你悦纳，就如献上公羊和公牛的全燔祭，又如献上了万只肥羊；		
3:40	这样也希望我们今天在你面前所行的祭献，能当作满全了我们对你应尽的义务，因为凡信赖你的，决不会蒙受羞辱。		
3:41	现在我们全心随从你，敬畏你，寻求你的慈颜，望你不要使我们羞惭。		
3:42	但愿你按照你的宽容和你无限的仁慈，善待我们，		
3:43	以你的奇能拯救我们!上主，愿光荣归于你的名!		
3:44	愿那些迫害你仆人的人们都蒙受羞辱，丧失他们的一切权势，使他们蒙受耻辱，粉碎他们的一切力量，		
3:45	好叫他们认识你是上主，惟一无二的天主，在全世界上应受光荣。」		
			
3:46t	三青年安然无恙		
3:46	那些将三青年投入火窑中的君王的仆役，仍不断用石油、沥青、麻屑和碎柴增加火势，		
3:47	以致火焰自窑内上腾，高达四十九肘；		
3:48	喷出的火焰竟将火窑周围的加色丁人，卷去烧死了。		
3:49	但是上主的天使降到窑中，来到阿匝黎雅及他同伴身旁，把窑中的火焰推出，		
3:50	使窑中彷佛吹起清凉的微风，火焰不但不能接近他们，且也不能给他们招来什么痛苦或烦恼。		
			
3:51t	三青年赞美上主歌		
3:51	于是他们三人在火窑中同声歌颂、光荣、赞美天主说：「		
3:52	上主，我们祖先的天主，你是可赞美的，应受称赞，应受颂扬，直到永远!你光荣的圣名，是可赞美的，应极受称赞，极受颂扬，直到永远。		
3:53	在你光荣的圣殿中，你是可赞美的，应极受歌颂，极受光荣，直到永远!		
3:54	在你王国的宝座上，你是可赞美的，应极受歌颂，应极受颂扬，直到永远!		
3:55	你鉴察深渊，坐于革鲁宾之上，是可赞美的，应受歌颂，应受光荣，直到永远!		
3:56	你在天空穹苍之上，是可赞美的，应受歌颂，应备受光荣，直到永远!		
3:57	上主的一切化工，请赞美上主，歌颂称扬他，直到永远!		
3:58	上主的天使，请赞美上主，歌颂称扬他，直到永远!		
3:59	层层高天，请赞美上主，歌颂称扬他，直到永远!		
3:60	天上的水，请赞美上主，歌颂称扬他，直到永远!		
3:61	上主的军旅，请赞美上主，歌颂称扬他，直到永远。		
3:62	太阳月亮，请赞美上主，歌颂称扬他，直到永远!		
3:63	天上的星辰，请赞美上主，歌颂称扬他，直到永远!		
3:64	雨和露，请赞美上主，歌颂称扬他，直到永远!		
3:65	所有的风，请赞美上主，歌颂称扬他，直到永远!		
3:66	火与热，请赞美上主，歌颂称扬他，直到永远!		
3:67	寒和暑，请赞美上主，歌颂称扬他，直到永远!		
3:68	露和霜，请赞美上主，歌颂称扬他，直到永远!		
3:69	冻和冷，请赞美上主，歌颂称扬他，直到永远!		
3:70	冰和雪，请赞美上主，歌颂称扬他，直到永远!		
3:71	夜和昼，请赞美上主，歌颂称扬他，直到永远!		
3:72	光和暗，请赞美上主，歌颂称扬他，直到永远!		
3:73	闪和云，请赞美上主，歌颂称扬他，直到永远!		
3:74	愿大地，赞美上主，歌颂称扬他，直到永远!		
3:75	山岳丘陵，请赞美上主，歌颂称扬他，直到永远!		
3:76	地上的生物，请赞美上主，歌颂称扬他，直到永远!		
3:77	水泉水源，请赞美上主，歌颂称扬他，直到永远!		
3:78	海洋江河，请赞美上主，歌颂称扬他，直到永远!		
3:79	鲸鱼和水中所有生物，请赞美上主，歌颂称扬他，直到永远!		
3:80	天空所有飞鸟，请赞美上主，歌颂称扬他，直到永远!		
3:81	野兽家畜，请赞美上主，歌颂称扬他，直到永远。		
3:82	普世人类，请赞美上主，歌颂称扬他，直到永远!		
3:83	以色列子民，请赞美上主，歌颂称扬他，直到永远!		
3:84	上主的众司祭，请赞美上主，歌颂称扬他，直到永远!		
3:85	上主的众仆人，请赞美上主，歌颂称扬他，直到永远!		
3:86	义人的心灵，请赞美上主，歌颂称扬他，直到永远!		
3:87	圣洁和心谦的人，请赞美上主，歌颂称扬他，直到永远!		
3:88	阿纳尼雅、阿匝黎雅和米沙耳，请赞美上主，歌颂称扬他，直到永远!因为他由阴府中救出了我们，从死亡的掌握中抢救了我们；由烈火窑中救出了我们，从火焰中拯救了我们。		
3:89	你们要称谢上主，因为他是美善的，因为他的仁慈，永远常存!		
3:90	凡敬拜上主的，请赞美众神之神，歌颂称扬他，因为他的仁慈，永远常存!」		
			
3:91t	承认真主		
3:91	那时拿步高王十分惊慌，急忙站起，问他的臣仆说：「我们不是把他们三个人全捆起来拋入烈火窑中了吗﹖」仆人回答君王说：「大王，实在是!」		
3:92	君王又问说：「怎么我看见有四个人无拘无束地在火中行走，丝毫没有受伤，而且那第四个人的外貌，彷佛是神的儿子。」		
3:93	于是拿步高走近烈火窑口，说道：「至高天主的仆人沙得辣客、默沙耳、和阿贝得乃哥，你们出来罢!」沙得辣客、默沙耳和阿贝得乃哥即从火中出来。		
3:94	省长、太守、总督和君王的臣仆一齐前来，查看这几个人，见烈火在他们身上一点不发生作用，连他们头上的一根头发都没有烧掉，他们的外氅也没有变色，他们身上也没有一点火的气味。		
3:95	于是拿步高说道：「沙得辣客、默沙耳和阿贝得乃哥的天主，是可赞美的!他打发了自己的天使来，救护那些信赖自己的仆人，他们敢违背王命，宁愿捐躯，除自己的天主以外，不愿事奉叩拜其它任何神祇。		
3:96	为此我今颁发诏书，无论那一个民族，那一邦国，那一个异语人民，凡对沙得辣客、默沙耳和阿贝得乃哥的天主敢出言不恭的，必被万剐凌迟，他们的住宅必成为废墟，因为没有其它的神能像他这样施行拯救。」		
3:97	然后君王在巴比伦省擢升了沙得辣客、默沙耳和阿贝得乃哥。		
			
3:98t	拿步高的诏书		
3:98	拿步高王诏告居于普世的各民族，各邦国及各异语人民说：「愿平安丰富地赐予你们!		
3:99	至高天主对我所行的神迹奇事，我以为最好宣布出来。		
3:10	他的神迹何其伟大，他的奇事何其可畏!他的王国是永远的王国，他的主权世世常存!		
			
			
4:0t	第四章(34)		
			
4:1t	详述梦境		
4:1 	我拿步高安居在家中，在宫内行乐的时候，		
4:2 	忽然做了一梦，这梦使我害怕；我当时在床上所有的幻想，脑中所有的异象，使我心慌意乱，		
4:3 	遂下了一道谕令，召巴比伦所有的智者到我面前来，给我解说那梦的意义。		
4:4 	巫师、术士、占星者、占卜者都来了，我当面给他们说出了那梦，但他们却不能给我解说那梦的意义。		
4:5 	最后，达尼尔来到我面前，－他按我神的名字，起名叫贝耳特沙匝，这人身上具有至圣神明的精神；我给他讲述梦说：「		
4:6 	巫师长贝耳特沙匝!我知道你这个人具有至圣神明的精神，没有什么奥秘可以难住你，请听我梦中所见的异象，给我一个解释：		
4:7 	我在床上脑中所有的异象是这样：我忽然看见从地中生出一棵树来，极其高大。		
4:8 	这棵树长的非常粗壮，高可摩天，大地四极都可见到；		
4:9 	树叶美丽，果实繁多，足以供养一切生灵，田野的走兽安息在它的荫下，空中的飞鸟栖息在它的枝杈上，一切生物都由它获得供养。		
4:10	我在床上，在我脑海所得的异象中，我看见有一位守卫兼圣者自天降下，		
4:11	他大声呼喊说：砍倒这棵树，砍断它的枝条，摇落它的叶子，打下它的果实，叫走兽离开它下面，叫飞鸟飞离它的枝杈，		
4:12	但在地上只留下它根上的余干，用铁索和铜链将它捆住，放在田野的青草中，让他为露水浸湿，与田野的走兽分食地上的青草，		
4:13	使他的心改变不像人心，给他一个兽心，在他身上要这样经历七段时期。		
4:14	这是守卫者宣布的定案，这是圣者所出的命令，好使众生知道：是至高者统治世人的国家，他将国权愿意给谁，就给谁；他可以将人间最卑贱的立为最高者。		
4:15	这是我拿步高王所做的梦。现在，贝耳特沙匝!请你给我说出这梦的意义，因为我国内所有的智者，都不能使我知道这梦的意义，只有你能，因为只有你具有至圣神明的精神。		
			
4:16t	达尼尔详解梦意		
4:16	名叫贝特沙匝的达尼尔，一时愕然，他想象的事，使他恐惧；君王于是说道：「贝耳特沙匝!不要为这梦和这梦的意义心乱!」贝耳特沙匝回答说：「我的主上!愿这梦应验在仇恨你的人身上，愿这梦的朕兆应验在你的敌人身上!		
4:17	你所见的那棵树，长的非常粗大，高可摩天，大地四极都可见到，		
4:18	树叶美丽，果实繁多，足以供养一切生灵，田野的走兽安息在它的荫下，空中的飞鸟栖息在它的枝条上。		
4:19	大王!那树就是你，你长得高大强壮，你的伟大高可摩天，你的权势达于地极。		
4:20	至于大王所见的那位警卫兼圣者自天降下说：砍倒、毁灭这棵树!只在地上留下它根子的余干，用铁索和铜链将它捆住，放在田野的青草中，让他为露水浸湿，与田野的走兽分食，这样在他身上直到经历了七段时期。－		
4:21	大王!这是那梦的意义，这是要临到我主，大王身上的至高者的判决：		
4:22	你将由人间被驱逐，与田野的走兽为伍，你吃草如同牛一样，为露水浸湿，要这样经历七段时期，直到你承认至高者统治世人的国度，愿意给谁，就给谁。		
4:23	至于所说在地中只留下树根的余干，是说到你承认上天统治一切时，你的国仍再归于你。		
4:24	为此，大王!望你接纳我的劝告：厉行正义，补赎罪过，怜贫济困，以抵偿不义；如此你的福乐或许可得延长。」		
			
4:25t	梦境的应验		
4:25	这一切都临在拿步高王身上：		
4:26	十二个月以后，王在巴比伦王宫的楼台上散步时，		
4:27	自言自语说：「这不是我以大能大力，为彰显我的威荣而建为王都的大巴比伦吗﹖」		
4:28	这些话君王还未说出口，便有声音从天上传来说：「拿步高王!现在有话告诉你：你的王位已被人夺去了!		
4:29	你要由人间被驱逐，与田野的走兽为伍，你要吃草如同牛一样，这样，在你身上经历七段时期，直到你承认至高者统治世人的国度，他愿意给谁，就给谁。」		
4:30	这话立即在拿步高身上应验了：他被逐离开了人群，吃草如同牛一样，他的身体为露水浸湿，直到他的头发长得有如鹰的羽翼，指甲有如鸟的爪子。		
			
4:31t	君王知过复位		
4:31	这期限过了以后，我拿步高举目望天，我的理智恢复了常态，我立刻称谢至高者，赞美颂扬永生者，因为他的主权永远常存，他的王国世世常在。		
4:32	地上的一切居民为他等于虚无，他对天上的军旅和地上的居民随意而行，没有能阻止他的，或问他说：你作什么﹖		
4:33	就在那一时刻，我的理智恢复了常态，恢复了我王国的光荣，仍享威严富贵，我的朝臣和大官仍前来求见；我的国又归我所有，并且也给我增加了极大的权势。		
4:34	现在，我拿步高要称颂、赞扬和光荣天上的君王，因为他的一切作为是真理，他的道路是正义；凡行动傲慢的，他都能压伏。」		
			
			
5:0t	第五章(30)		
			
5:1t	亵渎圣器		
5:1 	贝耳沙匝王为大员千人摆设了盛筵，并与千人宴饮。		
5:2 	贝耳沙匝乘着酒兴，命人将他父亲拿步高从耶路撒冷殿中劫掠的金银器皿取来，给君王和他的大员并自己的妻妾用来饮酒。		
5:3 	于是人把从耶路撒冷天主殿宇圣所内劫掠的金银器皿取来，给君王和他的大员并妻妾用来饮酒；		
5:4 	大家一面饮酒，一面赞扬自己用金、银、铜、铁、木、石制的神像。		
			
5:5t	怪手写字		
5:5 	正在此时，忽然出现了一个人的手指，在灯台后面王宫的粉墙上写字，君王也看见了那写字的手掌。		
5:6 	当时君王的面色立即改变，心意烦乱，两腰关节松弛，两膝互相碰击，		
5:7 	君王遂大声喊叫，命召术士、占星者和占卜者来；君王就向巴比伦的智者说：不论谁，如能阅读这些字，给我解说其中的意义，就必身被绛袍，带上金项链，位居全国第三。		
5:8 	巴比伦所有的智者都来了，却没有一个人能阅读那些文字，也不能给君王说明所含有的意义。		
5:9 	因此贝耳沙匝王极其惊慌，面色大变，他的大臣也都不知所措。		
			
5:10t	太后举荐达尼尔		
5:10	太后听到了君王和大臣们的喧哗声，遂进入坐席的大厅，启奏说：「大王万岁!你不要心慌意乱，面容也不必改变；		
5:11	你国内现有一个人，具有至圣神明的精神，你父亲在日，已发见他具有真知灼见，智慧如神。你父亲拿步高王，曾立他为所有巫师、术士、占星者和占卜者的首领，		
5:12	就因为在他身上具有一种卓越的精神、学识和聪敏，能详解梦境，释谜破惑；君王就将他达尼尔的名字改作贝耳特沙匝。现在就召达尼尔前来，他必能说出其中的意义。」		
			
5:13t	君王命召达尼尔		
5:13	于是达尼尔被引到王前，问达尼尔说：「你就是我父王昔日由犹大掳来的犹大俘虏中的达尼尔吗﹖		
5:14	我听说你有神的精神，具有真知灼见，和卓越的智慧。		
5:15	方才智者和术士被引至我前，要他们念这些文字，给我说明其中的意义，但是他们却都不能给我解释这些文字的意义。		
5:16	我听说你能解疑释难，现在你若能念这些文字，给我说明其中的意义，你就要身披绛袍，带上金项链，位居全国第三。」		
			
5:17t	达尼尔责斥君王的罪过		
5:17	达尼尔回答君王说：「你的礼物仍归你所有，你的酬报可赏给他人，至于我，我仍要给大王念这些文字，使大王得知其中的含义。		
5:18	大王!至高者天主曾将国家、威权、光荣和尊严赏赐了你的父亲拿步高；		
5:19	由于天主赏赐了他这样大的威权，各民族，各邦国，各异语人民，在他面前无不震惊害怕；他愿意杀的就杀，他愿意活的就活，他愿意升的就升，他愿意贬的就贬。		
5:20	但在他心高气傲，目空一切的时候，便从王位上被推下来，丧失了自己的光荣，		
5:21	由人间被驱逐，他的心相似兽心，与野驴为为伍，吃草如同牛一样；他的身体为露水浸湿，直到他承认至高者天主统治世人的国度，他愿意给谁统治，就给谁。		
5:22	贝耳沙匝!你是他的儿子，虽然你知道这一切，但是你仍不低首下心，		
5:23	反而自高自大，抵抗上天的大主，命人将他殿宇的器皿给你拿来，供你和你的大臣并你的妻妾用来饮酒，并且你赞美那些不能看，不能听，不能知的金、银、铜、铁、木、石制的神像，却不知尊崇那掌握你的气息，注定你一切命途的天主。		
5:24	为此，他使一只手掌出现，写了这些字。		
5:25	写出来的这些字是：「默乃，默乃，特刻耳，培勒斯。」		
5:26	这些字的含义是：「默乃：」天主数了你的国祚，使它完结；「		
5:27	特刻耳：」你在天平上被衡量了，不够分量；「		
5:28	培勒斯：」你的国被瓜分了，给了玛待人和波斯人。」		
5:29	于是贝耳沙匝下令，给达尼尔披上绛袍，带上金项链，并宣布他位居全国第三。		
5:30	当夜加色丁王贝耳沙匝即为人所杀。		
			
			
6:0t	第六章(29)		
			
6:1t	达尼尔任监察史		
6:1 	玛待人达理阿承受了王位，那时他约六十二岁。		
6:2 	他认为更好在国内设立一百二十个总督，分治全国；		
6:3 	在这些总督之上另设三位监察史－达尼尔便是其中之一－各总督应向他们述职，这样可免君王烦劳。		
6:4 	这位达尼尔，由于他具有超凡的精神，办事胜过其它监察史和总督，所以君王有意立他治理全国。		
			
6:5t	达尼尔遭受嫉视		
6:5 	因此监察史和总督，竭力在达尼尔处理国事上，寻找机会陷害他，却总不能找到任何可控告他的事实和过失，因为达尼尔忠信可靠，所以在他身上总找不到任何疏忽和过错。		
6:6 	于是这些人说道：「我们若不在他的神的法律上寻找，就找不到陷害达尼尔的任何事。」		
6:7 	这些监察史和总督，便群集到君王前，对君王说：「达理阿大王，万岁!		
6:8 	国内的众监察史、知县、总督、大臣和省长，都计议请下一道诏书，立一禁令：三十天内，凡不向你大王，而向任何神祇或任何人祈求的，应将他投入狮子圈内。		
6:9 	大王!请你现在就立刻下这道禁令，签署这项文告，人就不能再更改，因为按玛待人和波斯人的法律，那是不可更改的。」		
6:10	达理阿遂签署了这文告禁令。		
			
6:11t	被投入狮圈		
6:11	达尼尔一知道君王签署了这项文告，便回了家。他楼房的窗户是向着耶路撒冷开的－他每天仍照常三次屈膝跪拜，祈求称谢自己的天主，如往日所行的一样。		
6:12	那些人群集前来，看见达尼尔正在自己的天主前祈求哀祷，		
