0a.0t	补录甲 摩尔德开的梦(17)
1.9	同时瓦市提皇后，在薛西斯王的后宫，也摆设盛宴，款待妇女。
	
2.2t	薛西斯王废瓦市提后
2.10	至第七日，君王一时酒酣耳热，就命默胡曼、彼次达、哈波纳、彼革达、阿巴革达、则塔尔和加尔加斯，——七个侍从薛西斯王的宦官——
2.11	去召瓦市提王后，叫她头戴后冠，到君王跟前来，让众百姓与朝臣瞻仰她的美丽，因为她的容貌，娇媚可爱。
2.12	但是瓦市提王后拒绝前来，不肯遵行宦官传来的王命。于是君王勃然大怒，五内如焚，
2.13	遂与通达时务的朝臣商议说：----因为当时君王要办一事，必与精通法律民情的朝臣商议；
2.14	那时在王身旁有加尔舍纳、舍塔尔、阿德玛达、塔尔史士、默勒斯、玛色、纳默慕干，七位波斯和玛待的公卿；他们常在君王左右，分居国家的高位——
2.15	「按法律应如何处置瓦市提王后呢？因为她没有履行宦官传下的王命。」
2.16	默慕干在君王及公卿前建议说：「瓦市提王后不但得罪了君王，并且还得罪了薛西斯王各省的诸候与人民，
2.17	因为王后的这种行为，一传到所有的妇女耳中，她们必将效尤，轻视自己的丈夫，而且说薛西斯王命人召瓦市提王后到他跟前，她却没有来；
2.18	今日凡听到王后这种举动的波斯与玛待的公主贵妇，也必说同样的话，对一切王家公卿，也照样大为轻视忿怒。
2.19	陛下如果赞成，可下一道上渝，附于波斯与玛待的法典内，成为法律，禁止瓦市提后今后朝见薛西斯王；至于她的后位，王可赐与另一位比她贤淑的国妃。
2.20	当君王下的这道命令，传遍整个版图广阔的国土时，全国的妇女不拘尊卑对自己的丈夫必表示尊敬。
2.21	对这建议君王和公卿都表示赞同；王就依照默慕干的建议施行，
2.22	向全国各省，传递文告，依各省的文字和各民族的语言，敕令天下所有的丈夫应为一家之主，可随意发号施令。
	
2.0t	第二章(23)
2.1t	选立新后
2.1	这些事以后，薛西斯王的盛怒遂平息了，不再回念瓦市提和她所作的事，也不再追究对她所决定的事。
2.2	于是侍奉君王的仆役说：应为大王另选美貌的年轻处女；
2.3	大王可指派委员到全国各省，把所有美貌的年轻处女，都召集到稣撒禁城的后宫来，由管理嫔妃的王家太监赫革负责照应，供给她们美容润身的香料。
2.4	那中悦君王的处女，就得代瓦市提为后。」这建议正合了王的心，王就照样进行。
	
2.5t	艾斯德尔应召入宫
2.5	"在稣撒禁城内，有一个犹太人名叫摩尔德开,是雅依尔的儿子,史米的孙子,本雅明族人克士的曾孙，"
2.6	克士是巴比伦王拿步高由耶路撒冷将犹大王耶苛尼雅掳去时，被掳的俘虏之一。
2.7	摩尔德开抚养了他的堂妹哈达撒又名叫艾斯德尔，她自幼就丧失父母。这女孩身材标致，容貌美丽，自她父母去世后，摩尔德开就收她作自己的女儿。
2.8	不久皇帝的谕旨和诏令，传遍了全国，许多少女都被召到稣撒禁城，受赫革的监护，艾斯德尔也被带到王宫交与管理嫔妃的赫革看管。
2.9	她很讨赫革喜悦，大得他的宠爱，遂立即供给她美容润身的物品和所需食品，并选派了七个美丽的宫女服侍她，又将她和她的侍女迁移到后宫最好的宫院里。
2.10	但艾斯德尔却没有说出她自己的民族和身世，因为摩尔德开早已吩咐她不要提及此事。
2.11	此后摩尔德开天天在后宫的庭院前徘徊，好打听艾斯德尔的消息，想知道她的情形如何。
	
2.12t	蒙宠获选
2.12	在每个处女轮流去见薛西斯王以前，都该先按嫔妃的规则，度过十二个月的「润身期」：六个月应用没药汁，六个月应用香液，以及女人润身的修饰品。
2.13	有了这样的准备，少女才可去见君王；凡她所要求的都应让她由后宫带进王宫去。
2.14	她晚上进去，次日早晨回到另一座后宫，受君王管理滨妃的太监沙市加次的监护；除非君王宠爱她，提名召她，她不得再亲近君王。
2.15	一轮到摩尔德开的叔父阿彼海耳的女儿----即摩尔德开的养女----艾斯德尔去见君王的时候，除了管理嫔妃的王家太监赫革给她预备的东西以外，她什么也不要；凡看见艾斯德尔的人，没有不喜爱她的。
2.16	艾斯德尔在薛西斯为王第七年十月，「太贝特」月，被召进王宫。
2.17	王爱艾斯德尔超过所有的嫔妃。在所有的处女中，她最得君王的欢心和喜爱。王便将后冠戴在她头上，立她为王后以代瓦市提。
2.18	于是，王给众文武官员摆设盛宴，一连七天，号为艾斯德尔宴，又给全国各省颁赐大赦，并按照君王法度敕赠御品。
2.19	当二次召集处女时，摩尔德开仍在御门供职。
2.20	那时艾斯德尔按着摩尔德开事先给她吩咐了的，还没有透露自己的身世和种族：凡摩尔德开吩咐的，艾斯德尔必尽力遵守，如同昔日受他抚养时一样。
	
2.21t	控告太监
2.21	摩尔德开在御门供职的时候，王的两个守门太监，彼革堂和特勒士，因一时忿怒，就设计对薛西斯王下毒手。
2.22	但摩尔德开一发觉了那阴谋就告知艾斯德尔王后，艾斯德尔便以摩尔德开的名义转告君王。
2.23	那阴谋经过调查证实以后，就将他们二人悬在木架上，处以极刑。此事的原委，当着君王的面，记录在年鉴内。
	
	
3.0t	第三章(13)
3.1t	摩尔德开不理哈曼
3.1	此后，薛西斯王擢升阿加格人哈默大达的儿子哈曼，使他进级，位居所有同僚公卿之上。
3.2	君王下命凡在御门供职的臣仆，都应向哈曼俯首下拜，只有摩尔德开不肯向他低头，也不下拜。
3.3	于是御门供职的臣仆问摩尔德开说：为什么你违犯王命？」
3.4	他们天天这样问他，他也不听；他们便告诉了哈曼，说摩尔德开背叛王命，想观察摩尔德开的态度是否坚持到底，因为他曾给他们说自己是犹太人。
3.5	哈曼见摩尔德开不向他低头下拜，就非常忿怒，
3.6	心想只杀害摩尔德开一人，还不足泄恨，因为人向他告诉了摩尔德开的身世；于是哈曼打算把薛西斯王整个帝国内的一切犹太人，和摩尔德开一起杀尽灭绝。
	
3.7t	哈曼设计陷害犹太人
3.7	在薛西斯为王第十二年正月，即「尼散」月，有人在哈曼前抽「普尔」，就是抽签。为定一个日子和月分，好在那一天灭绝摩尔德开的种族。结果抽出了十二月即「阿达尔」月十三日。
3.8	于是哈曼对薛西斯王说：「在你全国各省内，有一个民族，散居在各民族之间，他们的法律和各民族的都不同，又不遵守王法；容留他们，于君王实在不利。
3.9	若君王赞同，可谕令把他们灭绝，我愿捐一万「塔冷通」银子，交与管理国库的人，归入王库。
3.10	于是君王由自己的手上，取下指玺，交与那迫害犹太人的阿加格人哈默大达的儿子哈曼。
3.11	接着对哈曼说：「钱仍还给你，至于这个民族你可任意处置。」
3.12	即在正月十三日召集了众御史，根据哈曼的旨意，用各省习用的文字，和各民族的方言，拟定了一道文书，颁发给各省御史大臣，各省省长，各民族族长；文书用薛西斯王的名义措辞，并盖上君王的指玺；
3.13	然后由众驿使传递至帝国各省，限令在一天内，即十二月，「阿达尔」月十三日把全国所有的犹太人，不论老幼妇孺，一律加以歼灭、屠杀、铲除，财产一律没收。
	
3b.0t	补录乙谕文
3b.1	补乙:1 谕文如下：薛西斯大王钦命印度至厄提约丕雅之一百一十七省省长及其属员事：
3b.2	补乙:2 自朕辖治各邦，管理全国以来，未尝妄用职权，而常以宽容仁慈，抚育我人民，志在庶民皆享康乐，举国共庆升平，勤苦经营，以图国泰民安，恢复人类久已渴望之和平。
3b.3	补乙:3 朕今谘询枢密，何以克遂此愿。而哈曼首相，秉赋忠贞，信智超群，
3b.4	补乙:4 上奏朕曰：有一败类，散居天下万邦，风俗律法，与天下异，且不从王法，使朕所颁政令，难奏厥功。
3b.5	补乙:5 今朕始悉其端，惟此民族与众殊异，固守已法，生活异趣，对朕天下，实存野心，致力破坏，是以国家不获安宁。
3b.6	补乙:6 因此朕令：凡当今首相----朕之亚父哈曼----在文书内所示之人物，务于本年十二月即「阿达尔」月十四日，偕其妻孥子女，应一律刀斩，歼灭九族，不得留情顾惜。
3b.7	补乙:7 务使古今败类，于一日之间，悉葬身九泉，然后国必永安，乱事方息。」
3b.8	补乙:8 [原文无此章节]
3b.9	补乙:9 [原文无此章节]
3b.10	补乙:10 [原文无此章节]
3b.11	补乙:11 [原文无此章节]
3b.12	补乙:12 [原文无此章节]
3b.13	补乙:13 [原文无此章节]
3b.14	补乙:14 谕文应在各省公布，通知天下人民，准备应付这一天。
3b.15	补乙:15 驿使因迫于君令，就迅速出发；在稣撒禁城里立即公布了这道上渝。此时君王与哈曼同席共饮；但是稣撒全城即陷于混乱。
	
	
4.0t	第四章(17)
4.1t	犹太人哀伤哭泣
4.1	摩尔德开一知道所发生的事，就撕裂了自己的衣服，披上苦衣，撒上灰土，走到京城中心，大声哀号，
4.2	一直走到御门前，因为身披苦衣的，不进准入御门。
4.3	此时在各省里，凡是谕文与敕令传到的地方，犹太人都哀号、禁食、哭泣、悲痛；许多人且身穿苦衣，躺在灰土中。
	
4.4t	摩尔德开向艾斯德尔陈情
4.4	艾斯德尔的宫女和太监跑来报告给她，王后得悉，万分悲伤，立即送衣服去，叫摩尔德开穿上，脱下苦衣；但是他没有接受。
4.5	艾斯德尔就叫王派来侍候她的太监哈塔客来，吩咐他去见摩尔德开，探听一下发生了何事，为何如此。
4.6	哈塔客遂走到御门前的广场，去见摩尔德开。
4.7	摩尔德开便将所遭遇的事，也将哈曼为消灭犹太人给王库捐献的银钱，都详细告诉了他，
4.8	并且把在稣撒已公布的灭绝犹太人的一分谕文交给他，转呈艾斯德尔披阅，并请她快去恳求君王为自己的民族求情，且叫他向艾斯德尔说「请你回忆你孤苦零了的时候，怎样在我手下长大成人。如今一人之下的哈曼已求准要处死我们。请你呼求上主，并为我们向君王求情，救我们不死！」
4.9	哈塔客回来，将摩尔德开的话回报给艾斯德尔。
4.10	艾斯德尔吩咐哈塔客去回复摩尔德开说：
4.11	「王所有的公卿与各省的百姓都知道，任何人不论男女，未奉召见，而擅入内庭往谒君王的，除非君王向他伸出金杖赐他生存，一律应依法处死。况且我已三十天未蒙召亲近君王了。」
4.12	哈塔客将艾斯德尔的话转告给摩尔德开。
4.13	摩尔德开叫他回复艾斯德尔说：「不要心想，一个犹太人在王宫里就可保全性命！
4.14	决不会。在这生死关头，你若缄默不言，犹太人也必会从别处得到救援和援助。但是，在这光景下，你和你的家族必遭灭亡。谁知你之所以得涉足朝廷，不正是为了挽救现在的危机呢！」
4.15	艾斯德尔令人转告摩尔德开说：
4.16	「去召集一切住在稣撒的犹太人，为我禁食，三天三夜不吃不喝。同时，我与我的宫女，也同样禁食；此后，我就越规去见君王，即便我死，死也情愿！
4.17	于是摩尔德开走了，进行艾斯德尔所吩咐他的一切事。
	
	
4c.0t	补录丙
4c.1t	摩尔德开的哀祷
4c.1	补丙:1 摩尔德开想起了上主所作的一切，就向上主哀求说：
4c.2	补丙:2 「上主，上主！全能的君王！万事都属你权下，若你愿意拯救以色列，谁也不能反抗。
4c.3	补丙:3 你造了天地，以及天下的千奇万妙之物；你是万有的主宰。上主，谁能抵抗你？
4c.4	补丙:4 上主！你洞察万事，知道我不叩拜蛮横的哈曼，并不是出于傲慢、自大，或任何贪求虚荣的心；反而，若为了以色列的安全，需要跪吻他的脚掌，我也在所不辞。
4c.5	补丙:5 但是，我这样做，是不愿将人的光荣，置诸天主的光荣以上；并且，我的上主，除了你以外，我决不叩拜任何人。我如此做，不是出于傲慢。
4c.6	补丙:6 上主，天主，天地的君王，亚巴郎的天主！现今求你怜悯你的民族！因为人决意要消灭我们，要摧残自始就属于你的产业。
4c.7	补丙:7 求你不要轻视你从埃及为你自己赎出的产业！
4c.8	补丙:8 愿你俯听我的祈求，怜悯你的家业，化哀伤为喜庆，使我们能生存在世界上，歌颂你的圣名。上主！求你不要让那些赞美你的口舌丧亡！」
4c.9	补丙:9 此时，全以色列都竭力呼救，因为他们已面临死亡。
	
4c.10t	艾斯德尔的哀祷
4c.10	补丙:10 艾斯德尔王后，自觉也有死的威胁，于是投奔到上主前；脱去华服，穿上悲伤哀悼的衣裳，头上撒上灰尘和粪土，以代替贵重的香膏，严厉刻苦肉身，头发散垂，毫无装饰，向上主以色列的天主祈祷说：
4c.11	补丙:11 「我的上主！只有你是我们的君王，求你援助我这孤苦无靠的人！除你以外，我没有别的救援，因为危险已迫于眉睫。
4c.12	补丙:12 我自幼在我父家，就听说是你，上主，从各民族中拣选了以色列；又从各民族的祖先中拣选了我们的祖先，作你永远的产业：凡你所预许的，无不一一给他们实践。
4c.13	补丙:13 但是现今我们犯罪得罪了你，你将我们交在敌人的手中，因为我们敬奉了他们的神抵；上主，你如此作，是公义的。
4c.14	补丙:14 我们倍受奴役惨痛的苦楚，他们尚以为不足，如今还向他们的神抵宣誓：要废除你发出的号令，消灭你的家业，杜绝颂扬你的口舌，熄灭你圣殿的光辉，折毁你的祭坛，
4c.15	补丙:15 放纵异教人的口舌，去称扬虚伪的偶像，永远崇拜一个有血肉的君王。
4c.16	补丙:16 上主！不要将你的权杖，交与那些根本是虚无的人物；不要使他们嘲笑我们的没落，反使他们的阴谋伤害自己，作为那谋害我们者的鉴戒。
4c.17	补丙:17 上主！求你记念我们，在这灾难之时，求你显现！神明的君王，全能的主宰，求增我勇气！
4c.18	补丙:18 赐我在猛狮前，口能说动听的话；求你转变他的心意，去憎恨我们的仇人，使那人和与他同谋的人，同归于尽。
4c.19	补丙:19 惟愿你亲手拯救我们！上主！求你援助我这孤苦无告的人，除你以外，我没有别的依靠。
4c.20	补丙:20 你洞悉一切，知我憎恨所有不法者的光荣，厌恶未受割损者和一切异民的床褥；
4c.21	补丙:21 你知道我是迫不得已，因为我憎恶上朝时戴在我头上的那尊贵的徽号：憎厌它象沾了不洁的亵布；在我独居时，我决不佩戴。
4c.22	补丙:22 况且，你的婢女没有吃过哈曼席上的食物，没有尝过君王的盛宴，也没有饮过奠祭的酒。
4c.23	补丙:23 从我被带到这里的那一天起，直到现在，上主，亚巴郎的天主！除你以外，你的婢女没有别的喜乐。
4c.24	补丙:24 威能超众的天主，求你俯听失望者的呼声，拯救我们脱离恶人的毒手，并救我脱离恐怖！」
	
	
4d.0t	补录丁
4d.1t	艾斯德尔越规朝见
4d.1	补丁:1 第三天，艾斯德尔祈祷完毕，脱去苦衣麻服，穿上艳丽服装，
4d.2	补丁:2 刻意装饰打扮，又呼求了鉴临万物，拯救众生的天主，就带了两个婢女：一个扶着她那弱不禁风的身体；另一个尾随于后，扯起她的长裙。
4d.3	补丁:3 她体态轻盈容貌娇艳，令人喜爱；但她此时却心惊胆战。
4d.4	补丁:4 经过几道官门来到君王前；此时君王正高坐龙椅，身着蟒袍玉带，金壁辉煌，使人一见生畏。
4d.5	补丁:5 君王抬起头来，见王后前来，龙颜大变，怒目而视；王后登时吓的昏迷，面无人色，倒在随侍她的婢女身上。
4d.6	补丁:6 但天主忽然转变了君王的心，使他的态度转为和颜悦色，急忙跑下龙椅，双手把她抱住，及至王后苏醒，王便以温和的言语抚慰她说：
4d.7	补丁:7 艾斯德尔，你有什么事？我是你哥哥，尽管放心好了！你不至于死，王法只是限于属下。请上前来！
4d.8	补丁:8 于是拿起金杖，放在她颈上，且吻她说：「向我说罢！」
4d.9	补丁:9 她答说：「我主，我见了你，好象见了天主的使者；一见你的威仪，我就心神慌乱了。
4d.10	补丁:10 我主，你实令人惊奇，仪容又和蔼可亲。」
4d.11	补丁:11 她正在说话时，又晕倒了。君王因此十分担心，众臣仆便都设法使她苏醒过来。
	
	
5.0t	第五章(14)
5.1t	请求君王与哈曼赴宴
5.1	第二天，艾斯德尔身穿王后的华服，站在王宫的内院，面向宫殿；那时君王正坐在宫殿的宝座上，面向宫门。
5.2	君王一见艾斯德尔王后在庭院内，就对她起了宠幸的心，于是向艾斯德尔伸出手中的金杖，艾斯德尔遂上前来，摸了金杖的顶端。
5.3	君王问她说：「艾斯德尔后，你有什么事？你要求什么？即使要求一半江山我也必赐给你！」
5.4	艾斯德尔答说：「若大王开恩，请大王令日与哈曼同去饮妾为陛下所预备的酒宴。」
5.5	王遂说：「快叫哈曼来，以满足艾斯德尔的心愿！」于是王和哈曼一同去赴艾斯德尔预备的酒宴。
5.6	酒兴之余，王对艾斯德尔说：「你要求什么，我必给你；不管你求什么，那怕是半壁江山，也必照办。」
5.7	艾斯德尔答说：「这即是我的恳请和要求：
5.8	如果我见宠于大王，如果大王乐意俯允我的恳请，实践我的要求，就请大王明天与哈曼，再来饮妾所设的酒宴；明天我必依照君王的命答复陛下。」
	
5.9t	哈曼自鸣得意
5.9	那一天，哈曼出去，非常高兴，满心喜乐；但是哈曼一见在御门前的犹太人摩尔德开既不起立，也不退避，就对他满怀愤恨，
5.10	却仍忍气回了家，且打发人叫他的朋友和爱妻则勒士，
5.11	来向他们夸耀自己如何富贵荣华，子女如何众多，君王如何尊崇他，如何高举他在众公卿和朝臣之上。
5.12	他又说：「甚至艾斯德尔王后，除我以外，没有请任何人与君王一同赴她设的盛宴；明天又请我再同君王到她那里去。
5.13	但每当我一见坐在御门前的犹太人摩尔德开时，这一切于我都乏味了！
5.14	他的爱妻则勒士和他的朋友便对他说：该做一个高五十尺的刑架，天一亮就对君王说：把摩尔德开悬在上面！这样你可欣然与君王同赴盛筵了。」哈曼看这主意不错，就叫人做了一个刑架。
	
	
6.0t	第六章(14)
6.1t	薛西斯王回忆救命恩人
6.1	那一夜，君王因失眠，便令人取大事录，即年鉴来，在他面前诵读。
6.2	书上这样记载：摩尔德开如何告发了君王的两个守门太监彼革堂和特勒士，企图杀害薛西斯王的事。
6.3	王问说：摩尔德开这事得到什么尊荣和地位？」服侍他的仆役答说：「他什么也没有得到。」
	
6.4t	王请教哈曼
6.4	正当君王探听摩尔德开的贤德时，恰巧哈曼在庭院里，于是王问说：「是谁在庭院里？」原来哈曼正走到了王宫的外庭，要请求君王把摩尔德开悬在他竖起的刑架上。
6.5	王的仆役答应说：「是哈曼站在庭院里。」王说：「叫他进来！」
6.6	哈曼进来，王对他说：「假如君王要显耀一个人，应该怎样对待他？」哈曼心想：除我以外，君王还能显耀谁呢？
6.7	于是哈曼对君王说：「大王对愿显耀的人，
6.8	应拿出大王穿的龙袍和大王骑的头戴「卸马冠」的骏马；
6.9	将龙袍和骏马交给大王的一个大臣，叫他给大王所要显耀的人穿上，领他骑着御马在城中的广场上游行，在他前面喊道：看，凡皇上愿意显耀的人就要这样对待他。」
	
6.10t	摩尔德开受显耀
6.10	王对哈曼说：「赶快拿龙袍和骏马来，就照你所说的，去对待坐在御门旁的那犹太人摩尔德开罢！凡你所说的，一点也不可忽略！」
6.11	哈曼就拿了龙袍和骏马来，先给摩尔德开穿上龙袍，然后扶他骑上骏马，领他在市内的广场游行，还走在他前面喊道：「凡皇上愿意显耀的人，就要这样对待他。」
6.12	事后，摩尔德开回到御门，哈曼却赶快回了家，蒙头饮泣。
6.13	哈曼将所遭遇的，都给他的爱妻则勒士和朋友述说了。他的谋士和爱妻则勒士对他说：在摩尔德开前，你既开始失败，如果他真是犹太人，你决不能得胜他，终必败于他前。
6.14	他们正同他谈论时，王的太监来催哈曼去赴艾斯德尔设的盛宴。
	
7.0t	第七章（10）
7.1t	艾斯德尔控告哈曼
7.1	君王和哈曼同来与艾斯德尔王后宴饮。
7.2	在这第二天的酒兴之馀，王又对艾斯德尔说：「艾斯德尔后！你要求什麽，我必给你；不论你要求什麽，即便是半壁江山，也必照办。」
7.3	艾斯德尔后答说：「大王！如果我获得你垂青宠爱，如果大王欢喜，请饶我一命，这是我的恳请；也饶我民族一命，这是我的要求，
7.4	因为我和我的民族，已被人出卖，快要遭受蹂躏、屠杀、毁灭。若是我们只被人卖奴婢，那麽我必不开口；但这仇人毫不顾及君王所受的灾害。」
7.5	薛西斯王问艾斯德尔后说：「这人是谁？那心内打算作这事的人在那 ？」
7.6	艾斯德尔答说：「这仇人和死敌，就是这败类哈曼。」哈曼立时在君王及王后前，惊惶万分。
7.7	於是君王勃然大怒，即刻退席，走进了御苑；哈曼遂起来恳求艾斯德尔后饶他一命，因为他看出了君王已决意要将他置於死地。
7.8t	哈曼被处吊刑
7.8	王由御苑回到餐厅，哈曼正俯伏在艾斯德尔所坐着的榻旁，王恶声吒叱说：「在王宫内，当着我的面，居然胆敢存心侮辱王后！」王的话一出口，仆人就蒙起哈曼的脸。
7.9	君王座前的一个太监哈波纳说：「正巧，在哈曼家 ，有他给那位曾一言造福大王的摩尔德开，竖立的一个五十尺高的刑架。」王说：「将他悬在上面！」
7.10	人们遂把哈曼悬在他自己为摩尔德开所做的刑架上；王的忿怒这才平息。
	
8.0t	第八章（17）
8.1t	摩尔德开荣升国卿
8.1	薛西斯王当日就将犹太人的敌人哈曼的家业，赐给了艾斯德尔王后；艾斯德尔同时也说明了摩尔德开与她自己的关系，摩尔德开就来觐见君王。
8.2	君王於是取下由哈曼 拿回来的指玺，给了摩尔德开，艾斯德尔以後叫摩尔德开管理哈曼的家业。
	
8.3t	艾斯德尔求君王保护犹太人
8.3	艾斯德尔又去向君王求情，俯伏在他足下，含泪哀求他取消阿加格人哈曼所加的祸害，和他为害犹太人所设的阴谋。
8.4	王向艾斯德尔伸出金杖，艾斯德尔就起来，站在君王前，
8.5	说：「如果大王喜欢，如果我得陛下宠幸，如果大王认为合理且喜爱我，就请写一道谕令，把大王为消灭全国各省的犹太人所颁下的文书，即阿加格人哈默大达的儿子哈曼的阴谋废除。
8.6	事实上，我怎能忍见我的民族遭受迫害？我怎能忍见我的亲属消灭？」
8.7	薛西斯王对艾斯德尔后和犹太人摩尔德开说：「我已将哈曼的家业赐给了艾斯德尔，而他本人已被悬在刑架上，因为他竟要对犹太人下毒手。
8.8	如今就照你们的意思，以君王的名义，为保护犹太人写一道文书，盖上君王的玉印。凡以君王名义所写，且盖有君王玉印的文书，决不得废除。」
8.9	就在那时候，即在叁月 「息汪」月二十叁日，召集了众御史，要依照摩尔德开为保护犹太人提示的一切，用各省的文字，各民族的语言，也给犹太人以他们的文字语言，写了一道文书，公告由印度至雇士一百二十七省的犹太人、御史大臣、各省省长及首长。
8.10	摩尔德开遂以薛西斯王的名义，写了这道文书，盖上君王的玉印，然後派遣驿使，骑着御厮的骏马，传递文书。
8.11	8:11文书上载着：君王恩准在各城市的犹太人，有团结自卫的权利，也准许他们破坏、杀害、消灭那些侵害他们的各族和各省的军民，也可杀他们的妇孺，抢夺他们的财产；
8.12	且应在十二月「阿达尔」月十叁日那一天，在薛西斯帝国各省内开始生效。
	
8e.0t	补录戊（20）
8e.1t	保护犹太人的谕文
8e.1	补戊:1 谕文如下：「薛西斯大王致候由印度至厄提约丕雅一百二十七省省长，并忠於朕之官员
8e.2	补戊:2 查有多人，恩主愈加之高官厚禄，其人反而愈妄自尊大，不仅企图危害朕之所属为满足，进而图谋推倒其恩主。
8e.3	补戊:3 彼等不惟将知恩报爱之义由人间抹杀，且更与无知之辈，骄矜自大，对常鉴临万物，嫉恶如仇至公义之天主，自以为可以逃避。
8e.4	补戊:4 彼等多居显位，屡受公卿友朋妄言之煽惑，而共谋倾流无辜者之血，因而陷於不可挽救之祸殃：
8e.5	补戊:5 彼等利用乖戾欺诈之计谋，迷惑忠贞纯良之公卿。
8e.6	补戊:6 此处无须引证留传於我侪之古籍，尔辈考察此辈恶劣掌权者所做败德恶行，即可知晓。
8e.7	补戊:7 是以为防患於未然，使帝国免於祸乱，人人得享安乐，
8e.8	补戊:8 朕不复妄听谗言，务以正义裁判，处断呈递於朕之案件。
8e.9	补戊:9 今哈默大达之子，马其顿人哈曼，实非波斯血统，本不堪朕之宽仁，然朕仍收为客卿，
8e.10	补戊:10 亲历朕各族所有之优惠，竟被尊称为父，受万民敬礼，位居帝座之次。
8e.11	补戊:11 今高官厚禄，而心犹不足，竟欲夺朕位，害朕命，
8e.12	补戊:12 更千方百计，企图将朕之救命恩主摩尔德开，并朕之无辜后妃艾斯德尔，与其全族上下，予以消灭。
8e.13	补戊:13 如此，欲乘朕之孤立，交波斯帝国於马其顿人。
8e.14	补戊:14 然据朕察知，此败类欲消灭之犹太人，原非作恶歹徒，实乃奉公守法之民，
8e.15	补戊:15 彼等乃赐朕与朕祖国昌盛之至高至大，永生天主之子民。
8e.16	补戊:16 是以尔辈不宜履行哈默大达之子哈曼颁发之文书，因其撰者与全家已悬首於稣撒门前矣！此乃主宰万物者天主使其得此报应。
8e.17	补戊:17 因此，是项文告，尔辈应四处公布，准犹太人遵守其固有之法律，且应在择定迫害彼等之日，即「阿达尔」十二月十叁日，协助彼等敌抗杀害彼等之人。
8e.18	补戊:18 盖主宰万物者天主，已将此消灭选民之日化为喜乐之日。
8e.19	补戊:19 是以於尔辈之庆节中，也应隆重庆祝此纪念日，使现今与未来皆庆祝朕与亲善波斯者之胜利，但为图谋害朕之辈，乃灭亡之纪念日。
8e.20	补戊:20 凡不履行此命令之城市或区域，应毫不留情，一律火焚刀斩，使此城区非但人迹不至，即鸟兽也视为畏途，直达永远。」
	
8.13t	犹太人庆祝胜利
8.13	这道文书应视为法律，公布在各省内，通告各民族一律遵守，好使犹太人准备在这一天，可向自己的敌人复仇。
8.14	驿使迫於君令，骑着御马，火速出发。这谕文同时也在稣撒禁城公布。
8.15	摩尔德开於是拜别君王出来，身穿紫白相间的御袍，戴着大金冠，披着纯白和朱红的氅衣。此时稣撒城欢欣雀跃。
8.16	犹太人终於得到了光明、喜乐、幸福和荣耀。
