1.-2t	耶肋米亚		
2.2 	2:2 「你去!向耶路撒冷大声疾呼说：上主这样说：我忆起你年轻时的热情，你订婚时的恋爱；那时你在旷野里，在未耕种的地上追随了我。		
2.3 	2:3 以色列成了上主的圣民，成了他收获的初果，凡吞食她的，都要有罪，灾祸必要因此降在他们身上──上主的断语。		
			
2.4t	上主待选民之恩		
2.4 	2:4 雅各伯家和以色列家的一切家族!你们听上主的话，		
2.5 	2:5 上主这样说：你们的祖先在我身上发现了什么不义，竟远离我而去追随「虚无」，自成为虚无呢﹖		
2.6 	2:6 他们也不问一问：那曾引我们由埃及地上来，那经过旷野、荒原和崎岖之地，干旱和黑暗之地，没人游历，无人居住之地，引领我们的上主现在哪里呢﹖		
2.7 	2:7 我引你们进入了肥沃的土地，吃食其中的出产和美物；但你们一进来，就玷污了我的土地，使我的产业成了可憎之物。		
			
2.8t	背离上主		
2.8 	2:8 司祭们也不问一问：「上主在哪里﹖」那些管理法律的，不认识我了；那些为人牧的，叛离了我；先知们也奉巴耳讲预言，追随无能的神祗。		
2.9 	2:9 为此，我要控诉你们──上主的断语，也要控诉你们的子孙。		
2.10	2:10 好罢!你们往基廷岛屿去观察一下，派人到刻达尔去详细调察，看看有没有与此相类似的事：		
2.11	2:11 难道有一个民族更换了自己的神祗﹖──虽然他们并非真神；但是我的人民竟以自己的光荣，换取了一个「无能的东西。」		
			
2.12t	背信的恶果		
2.12	2:12 诸天!你们对此应惊骇战慄，大为惊异──上主的断语，		
2.13	2:13 因为我的人民犯了双重的罪恶：他们离弃了我这活水的泉源，却给自己掘了蓄水池，不能蓄水的漏水池。		
2.14	2:14 以色列岂是奴隶，或是家生的奴隶﹖为什么竟成了人的掠夺物﹖		
2.15	2:15 狮子向她咆哮，高声吼叫：它们使她的地域成了荒野，使她的城市化为灰烬，无人居住。		
2.16	2:16 连诺夫和塔黑培乃斯的子民，也削去你的脑盖。		
2.17	2:17 你这不是自作自受吗﹖因为上主你的天主在路上引导你的时候，你竟离弃了他。		
2.18	2:18 现在你又为什么跑到埃及去喝尼罗河的水，跑到亚述去喝幼发拉的河水﹖		
2.19	2:19 是你的罪恶惩罚你，是你的不忠责斥你，那么你应该明白觉察：离弃上主你的天主，对我没有敬畏，是如何邪恶和痛苦的事──我主万军上主的断语。		
			
2.20t	选民的无耻		
2.20	2:20 的确，从古以来，你就折断了你的轭，挣断了你的绳索说：我不愿服从；反在一切高丘上，和一切绿树下，偃卧行淫。		
2.21	2:21 我种植你时，原是精选的葡萄，纯粹的真种子；你怎么竟给我变成了坏树，成了野葡萄﹖		
2.22	2:22 现在即使你用碱洗濯，多加卤汁，你的罪污仍留在我面前──我主上主的断语──		
2.23	2:23 你怎能说：我没有玷污我自己，我没有追随过巴耳﹖观察你在谷中的行动，便知你的行动，无异一只到处游荡，敏捷的母骆驼；		
2.24	2:24 又象一头习惯在荒野，急欲求配，呼气喘息的野母驴；谁能抑制它的性欲﹖凡寻找它的，不必费辛苦，在她春情发动的月分，就可找着。		
2.25	2:25 留心!不要使你的脚赤裸，不要使你的喉咙干渴!但是你却说：不会，不可能!我既爱异邦神祗，我要跟随他们。		
			
2.26t	背信所受之罚		
2.26	2:26 就如小偷被人发现时，感到羞愧；以色列家：他们，他们的君王和首领，他们的司祭和先知，都要同样蒙受羞辱。		
2.27	2:27 他们对木偶说：你是我的父亲；对石碣说：是你生了我。的确，他们不但向我转过脸去，而且也以背向着我；但是，在他们遭难的时候，却喊说：起来，拯救我们!		
2.28	2:28 你自己制造的神祗在哪里﹖在你遭难的时候，他们若能救你，就让他们起来!因为犹大!你神祗的数目竟等于你域邑的数目，巴耳的香坛与耶路撒冷的街道一般多。		
2.29	2:29 你们背叛了我，为什么又向我提出抗议──上主的断语──		
2.30	2:30 我打击了你们的子孙，竟是徒然，你们没有受到教训；你们的刀剑如同一只凶残的狮子，吞灭了众先知。		
2.31	2:31 你们这一代人，体会上主的话吧!难道我对以色列象一个荒野，或象一个黑暗的地方﹖为什么我的人民说：我们获得了自由，我们不再来找你﹖		
2.32	2:32 一个处女岂能忘了自己的珍饰﹖一位新娘岂能忘了自己的彩带﹖我的人民却忘了我，时日已久长，无法计算。		
2.33	2:33 你怎么会如此想尽好方法去求爱﹖你也将你的方法教给了邪恶的女人；		
2.34	2:34 连在你的衣边上也发现无辜穷人的血渍：并不是在挖掘洞穴时，你捉住他们，而是在橡树边。		
2.35	2:35 但你还说：我是无罪的，他的忿怒已离我远去。看!我要审判你，正因为你说：我没有犯罪。		
2.36	2:36 你为什么这样轻易改变你的道路﹖你必要因埃及而蒙羞，犹如曾因亚述而蒙羞一样。		
2.37	2:37 你毕竟要从那里抱头出走，因为上主摈弃了你所仗恃的，使你不能靠他们获得成功。		
			
			
3.0t	第三章(25)		
			
3.1t	以民失节		
3.1 	3:1 试问：若男人离弃了自己的妻子，她离开他而另嫁了别人，前夫岂能再回到她那里去﹖象这样的女人，岂不是已全被玷污了吗﹖你已与许多爱人行淫，你还想回到我这里来吗﹖──上主的断语──		
3.2 	3:2 你举目环顾高丘．看看在什么地方你没有受过玷污﹖你坐在各路旁等候他们，象个在旷野里的阿刺伯人，以你淫乱和邪恶玷污了这土地。		
3.3 	3:3 为此，秋雨不降，春雨不来。你具有娼妓的面孔，仍然不知羞耻。		
3.4 	3:4 从今以后，你要向我喊说：「我父，你是我青年时的良友!」		
3.5 	3:5 心想：「他岂能永远发怒，怀恨到底﹖」看，你虽如此说，却仍尽力作恶。		
			
3.6t	欺诈不实		
3.6 	3:6 在约史雅为王的时日里，上主对我说：「失节的以色列所做的，你看见了没有﹖她上到一切高山上，走到所有的绿树下，在那里行淫。		
3.7 	3:7 我以为她作了这一切以后，会回到我这里来；但是她没有回来。她失信的姊妹犹大也看见了此事：		
3.8 	3:8 虽然看见了我为了失节的以色列所犯的种种奸淫，而命她离去，给了她休书，她这失信的姊妹犹大却不害怕，竟然也去行淫。		
3.9 	3:9 由于她轻易行淫，与石碣和木偶淫乱，玷污了这土地。		
3.10	3:10 尽管这样，她失信的姊妹犹大回到我这里来，仍不是全心，只是假意──上主的断语。」		
			
3.11t	北国人民改邪归正		
3.11	3:11 上主于是对我说：「失节的以色列比失信的犹大，更显得正义。		
3.12	3:12 你去向北方宣布这些话说：失节的以色列!请你归来──上主的断语──我不会对你怒容相向，因为我是仁慈的──上主的断语──我不会永远发怒，		
3.13	3:13 只要你承认你的罪过，承认背叛了上主你的天主，在一切绿树下，与异邦神祗恣意相爱，没有听我的声音，上主的断语。		
3.14	3:14 失节的子女，你们归来──上主的断语──因为我是你们的主人，我要选取你们，每城选一人，每族选二人，领你们进入熙雍；		
3.15	3:15 在那里给你们一些随我心意的牧者，以智慧和明智牧养你们。		
3.16	3:16 你们在这地上繁衍增殖的时日里──上主的断语──人不再提「上主的约柜」，也不再思念，不再追忆，不再关怀，不再制造。		
3.17	3:17 那时，人要称耶路撒冷为「上主的御座」，万民要奉上主的名，汇集在耶路撒冷，不再随从自己邪恶而顽固的心行事。		
3.18	3:18 在那些时日内，犹大家与以色列家同行，从北方一起回到我赐给了你们祖先作基业的地内。		
3.19	3:19 我曾想过：多么愿意待你象一个儿子，赐给你赏心悦目的土地，列国中最美好的领土，我以为你会以「我父」称呼我，不会转身远离我；		
3.20	3:20 但是，你们，以色列家对待我，正如对自己良友不忠的妇女──上主的断语。		
3.21	3:21 在荒丘上可听到一片喧嚷：那是以色列子民的哀号哭泣，因为他们走入了邪途，忘却了自己的天主，上主。		
3.22	3:22 「归来!失节的子民，让我疗愈你们的失节。」「看，我们回到你这里，的确，你是上主，我们的天主。		
3.23	3:23 诚然丘岭和山上的狂欢尽是虚幻；唯在上主，我们的天主那里，有以色列的救援。		
3.24	3:24 可耻的神祗，自我们幼年就吞噬了我们祖先的收入，他们的羊群、牛群和子女。		
3.25	3:25 让我们躺卧在我们耻辱中，让我们以羞惭遮盖我们，因为我们和我们的祖先，自我们幼年直到今日，得罪了上主我们的天主，从来没有听从上主我们的天主的声音。」		
			
			
4.0t	第四章(31)		
			
4.1t	南国犹大的腐败		
4.1 	4:1 以色列，若是你归来──上主的断语──就应向我归来；若是你从我面前除去你可恶的偶象，就不应再四处游荡；		
4.2 	4:2 若是你以诚实、公平和正义指着「上主永在」起誓，那么，万民必因你而蒙受祝福，也因你而得到光荣。		
4.3 	4:3 因为上主对犹大人和耶路撒冷居民这样说：「你们要开恳荒地，不要在荆棘中播种。		
4.4 	4:4 犹大人和耶路撒冷的居民!你们应为上主自行割损，除去心上的包皮，以免因你们的恶行，我的忿怒如火发作，焚烧得无人能熄灭。」		
			
4.5t	强敌不久来犯		
4.5 	4:5 你们应该在犹大宣布，在耶路撒冷发表，在境内吹起号角，大声疾呼说：「你们应集合，我们要进攻坚城!」		
4.6 	4:6 你们应该给熙雍指出路标，赶快出逃，丝毫不可迟延，因为我要由北方招来灾祸，绝大的毁灭。		
4.7 	4:7 狮子已冲出它的丛林，毁灭万民者已起程走出了他的宫庭，前来使你的地域变为旷野，使你的城邑荒凉，再没有人居住。		
4.8 	4:8 为此，你们应身穿苦衣，涕泣哀号，因为上主尚未由我们身上撤回他的烈怒。		
4.9 	4:9 到那一天──上主的断语──君王与王侯必失去勇气，司祭必惊骇，先知必惊异；		
4.10	4:10 人必要说：「哎!吾主上主!你的确欺骗了这人民和耶路撒冷说：你们必享平安；其实，刀剑已到我们的咽喉!」		
4.11	4:11 那时人要对这人民和耶路撒冷说：「荒丘的热风由旷野向我人民吹来，不是为吹净，不是为清洁；		
4.12	4:12 有一股强烈的风应我的命吹来；现在我要去裁判他们。		
4.13	4:13 看啊!他如浓云涌上来，他的战车有如旋风，他的战马快过飞鹰!祸哉!我们算是完了!		
4.14	4:14 耶路撒冷!洗净你心内的邪恶，好使你能获救。你那不义的思念藏在你内，要到何时﹖		
4.15	4:15 因为由丹传来信息，由厄弗辣因山听到了凶信：		
4.16	4:16 你们应通知人民，转告耶路撒冷：围攻的人由远方前来，向犹大各城高声吶喊，		
4.17	4:17 象护守田地的人将她密密包围，因为她触怒了我──上主的断语。		
4.18	4:18 是你的行径和作为给你造成了这一切；是你的邪恶使你受苦，受到伤心的痛苦。		
			
4.19t	以民哀痛欲绝		
4.19	4:19 我的肺腑，我的肺腑!我痛苦欲绝，我心已破碎，我心焦燥不宁，我不能缄默!因为我亲自听到了角声，开战的喧嚷。		
4.20	4:20 真是毁灭上加毁灭，全地尽已破坏；我的帐蓬突然倒塌，我的帷帐忽然毁坏。		
4.21	4:21 我瞻望敌旗，闻听角声，要到几时﹖		
4.22	4:22 这是因为我的人民愚昧，竟不认识我，是些无知的子民，没有明悟，只知作恶，不知行善。		
			
4.23t	灾祸的惨状		
4.23	4:23 我观望大地，看，空虚混沌，我观望诸天，却毫无光亮；		
4.24	4:24 我观望山岳，看，它在战栗，		
4.25	4:25 我观望，看，一个人也没有，连天空的飞鸟都已逃循；所有的丘陵都在摇撼。		
4.26	4:26 我观望，看，农田尽变为荒野，所有的城邑尽毁于上主，毁于上主的烈怒。		
4.27	4:27 原来上主这样说：全地固然要荒芜，但我却不彻底加以毁灭。		
4.28	4:28 为此，大地要悲伤，在上诸天要昏暗；因为我说了，再不后悔；决定了，再不撤回。		
4.29	4:29 全城的人听到了骑兵和弓手的喧嚷，都四散逃命，有深入森林的，有爬上山岩的；所有的城市都被放弃，没有人居住。		
4.30	4:30 你已被蹂躏还有什么企图﹖既使你身被紫锦，佩带金饰，以铅华描划眼眉，使你漂亮，也是徒然!你的爱人蔑视你，想谋害你的性命。		
4.31	4:31 的确，我听到了彷佛产妇的叫声，彷佛首次分娩的呻吟，是熙雍女儿在伸开双手喘息哀叹：我真可怜．因为我的生命已陷在残杀者手中!		
			
			
5.0t	第五章(30)		
			
5.1t	南国犹大的邪恶		
5.1 	5:1 请你们巡行耶路撒冷的街道，观察注意，在她的广场上搜寻：若你们能找到一人，一个履行正义，追求信实的人，我就宽恕这城。		
5.2 	5:2 虽然他们起誓说：「上主永在!」其实他们起的誓仍是虚誓。		
5.3 	5:3 上主，你的眼睛难道不顾信实﹖你打击了他们，他们却毫不觉痛；你使他们挫败，他们仍拒绝受教，使自己的面孔比火石还要顽硬，不愿悔改。		
5.4 	5:4 我想：「不错，他们原是无知的平民，不认识上主的道路和他们天主的法律。		
5.5 	5:5 我要去问有权势的人，与他们谈论，因为他们知道上主的道路和他们天主的法律。」哎!连他们也都折断了轭，挣断了绳索。		
5.6 	5:6 为此，狮子由丛林出来袭击他们，旷野的豺狼出来伤害他们，豹子潜伏在他们的城旁，凡出来的人都被撕裂，因为他们罪上加罪，失节有增无已。		
5.7 	5:7 如此，我怎能宽恕你﹖你的子孙离弃了我，奉「非神」发誓。我使他们饱食，他们却去行淫，群集在妓院里；		
5.8 	5:8 他们象荒淫雄壮的牡马，各向自己近人的妻室嘶鸣。		
5.9 	5:9 这些事，我怎能不惩?t──上主的断语──象这样的民族，我怎能不亲自报复﹖		
5.10	5:10 请你们登上她的墙上头，加以毁坏，但不要完全毁灭，该除去她的枝条，因为它们不属于上主。		
5.11	5:11 以色列家和犹大家，实在对我不忠，达到极点──		
5.12	5:12 上主的断语。他们否认上主说：「他不存在!灾祸绝不会临到我们身上，我们也绝不会见到战争和饥荒；		
5.13	5:13 先知们不过是一阵风，他们并没有上主的话；他们这样只有自作自受。」		
5.14	5:14 为此，上主万军的天主这样说：「因为他们说了这话，看，我必使我的话在你的口中成为火，使这人民成为木柴，将他们吞灭。		
5.15	5:15 以色列家!看，我从远方给你们引来一个民族──上主的断语──一个所向无敌的民族，一个古老的民族，一个你们不懂她的语言，也听不出她说什么的民族		
5.16	5:16 他们的箭筒有如张开口的坟墓；他们都是善战的勇士。		
5.17	5:17 这民族必吃掉你的收获和食粮，必吃掉你的儿子和女儿，必吃掉你的羊群和牛群，必吃掉你的葡萄和无花果，必以武力蹂躝你依恃的坚城。		
5.18	5:18 即在那些时日里──上主的断语──我也不对你们加以彻底的毁灭。」		
5.19	5:19 假使有人问：「为什么上主我们的天主对我们做了这一切的事﹖」你当对他们说：「你们怎样离弃了我，在你们国内事奉了外邦的神祗，你们也该怎样在不属于你们的境内事奉外邦人。」		

5.20t	难免的惩罚		
5.20	5:20 你们将这事通知雅各伯家，转告犹大说：		
5.21	5:21 「你们愚昧无知，有目不见，有耳不闻的人民，请听听这话：		
5.22	5:22 你们不敬畏我吗﹖──上主的断语──你们在我面前不战憟吗﹖是我堆积了沙石作海的界限，作为它永不能越过的界限：海浪虽汹涌，仍无能为力；虽怒号澎湃，仍不能越过。」		
5.23	5:23 但这内心顽固忤逆的人民，竟背叛而离去，		
5.24	5:24 从不反心自省：「我们应该敬畏上主，我们的天主，因为他按时降下雨露、秋霖和春雨；又给我们保持固定的收获时节。」		
5.25	5:25 是你们的过犯混乱了这些时令，是你们的罪恶阻止了你们享这幸福。		
5.26	5:26 因为在我的人民中发现了恶人；他们象隐伏的捕鸟者在窥探，布下罗网捕捉人。		
5.27	5:27 犹如笼中满了飞鸟，他们家中也充满了欺诈，因此成了有势力，有钱财的人。		
5.28	5:28 他们肥胖红润，作奸犯科，不为孤儿辩护；只求自己享受，也不关怀穷人的权利。		
5.29	5:29 象这样的事，我怎能不惩?t──上主的断语──象这样的民族，我怎能不亲自报复﹖		
5.30	5:30 在国内发生了一件恐怖而可憎的事：先知们说假预言，司祭们争权夺利，我的人民反倒以此为乐；到了最后，你们究竟还要作什么﹖		
			
			
6.0t	第六章(30)		
			
6.1t	耶京不久难免浩劫		
6.1 	6:1 本雅明子民，请你们逃出耶路撒冷，在特科亚吹号，在贝特革楞竖立旗帜!因为有一个灾祸，即一个巨大的毁灭，已由北方隐约出现。		
6.2 	6:2 熙雍女郎彷佛美丽的草场，		
6.3 	6:3 牧童领着自己的羊群向她进发，在她四周张设帐幕，各据一方牧放。		
6.4 	6:4 「请你们备战，向她进攻；来，让我们在正午就上前进攻!我们真不幸!因为日已偏西，暮影已长!		
6.5 	6:5 不妨!就趁夜间上去，破坏她的宫阙。」		
6.6 	6:6 因为万军的上主这样说：「你们该砍伐她的树木，堆起壁垒，围攻耶路撒冷，这该受罚的城市，因为在那里充满了压榨。		
6.7 	6:7 泉源怎样涌出水，她就怎样涌出邪恶；从那里只可听到强暴和迫害，我只看见疾病和疮痍。		
6.8 	6:8 耶路撒冷!你应接受训戒，免得我的心疏远你，使你荒凉，成为没有人居住的地方。」		
6.9 	6:9 万军的上主这样说：「你应象收拾葡萄，把以色列的遗民收拾净尽；又如收割的人向枝条再伸出你的手来。」		
6.10	6:10 我应对谁说，应警告谁，使他们听信我呢﹖看，他们的耳朵迟钝不灵，不能留心细听；看，上主的话对他们已成了笑柄，一点也不感兴趣。		
6.11	6:11 为此，我满怀上主的忿怒，我已无法再控制：「只得将愤怒发泄在街上的孩童和青年的队伍身上，因为男人和女人，年长和年老的人，都要被掳去；		
6.12	6:12 他们的住宅、庄田和妻室，都要归于他人，因为我要向本地的居民伸出我的手──上主的断语。」		
			
6.13t	百姓全败坏		
6.13	6:13 实在，从最小的到最大的，都贪财图利；从先知到司祭，都欺诈行事，		
6.14	6:14 草率治疗我人民的疮痍说：「好了，好了!」其实却没有好。		
6.15	6:15 他们既行事可憎，就理当知耻；可是，他们不但毫不知耻，反而连羞愧也不知是什么；为此，他们要与倒毙者一同倒毙，在我降罚他们时，都要一蹶不振──上主说。		
6.16	6:16 上主这样说：「你们应站在交叉路口，观察探问旧路；那一条是好路，就在那路上走，你们的的心灵必获安宁。」他们却答说：「我们偏不走。」		
6.17	6:17 「我给你们派驻哨兵，你们应注意号声!」他们却答说：「我们偏不注意。」		
6.18	6:18 为此，万民!你们应该细听；群众!你们应知道他们的遭遇。		
6.19	6:19 大地注意：看，我必给这百姓带来灾祸，作他们失节的的苦果，因为他们没有听从我的言辞，拋弃了我的法律。		
6.20	6:20 那些来自舍巴的乳香，出自远方的香蒲，于我有何用﹖你们的全燔祭不受悦纳，你们的牺牲不乐我意。		
6.21	6:21 为此，上主这样说：「看，我将给这人民设下绊脚石，使父子一起绊倒，使邻居和朋友同趋灭亡。」		
			
6.22t	来犯的敌人		
6.22	6:22 上主这样说：「看，有一个民族从北方前来，有一个强大的异邦从地极兴起，		
6.23	6:23 紧握弓戈，残忍无情，象海啸一般喧嚷，骑着战马，万众一心，严阵准备向你进攻，熙雍女郎!」		
6.24	6:24 我们听到了这消息，束手无策，不胜忧虑，痛苦得有如临产的妇女。		
6.25	6:25 你们不要到田间去，不要在路上徘徊，因为敌人正在撕杀，四处令人恐怖。		
6.26	6:26 我的女儿──人民──你该穿上麻衣，辗转于灰尘，悲哀伤心痛哭，如丧独子，因为劫夺者要突然来袭击我们!		
			
6.27t	不可救药		
6.27	6:27 我立了你作我人民的考察员，原是为叫你认识并考察他们的行径。		
6.28	6:28 他们尽是极顽固的叛徒，往来播散流言，确是坏透了的破铜烂铁。		
6.29	6:29 风箱猛吹，虽有烈火，但铅仍不溶化；炼工徒然锻炼，渣滓总炼不掉。		
6.30	6:30 人都称他们为「拋弃的银渣，」因为上主已将他们拋弃。		
			
			
7.0t	第七章(34)		
			
7.1t	虚伪的信赖		
7.1 	7:1 上主有话传给耶肋米亚说：		
7.2 	7:2 「你站在上主殿宇的门口，宣布这话说：你们凡由这些门进来，朝拜上主的犹大人，请听上主的话。		
7.3 	7:3 万军的上主，以色列的天主这样说：改善你们的生活和行为，我就让你们住在这地方；		
7.4 	7:4 不要信赖虚伪的话说：这是上主的圣殿，上主的圣殿，上主的圣殿!		
7.5 	7:5 只有你们彻底改善你们的生活和行为，在人与人之间行事公道，		
7.6 	7:6 不虐待旅客、孤儿、寡妇，不在这地方倾流无辜者的血，不自招祸患去跟随外邦的神祗，		
7.7 	7:7 我才让你们住在这地方，即我从开始便永远赐给了你们祖先的土地。		
7.8 	7:8 可惜!你们竟信赖虚伪无益的话。		
7.9 	7:9 怎么﹖你们竟偷盗，凶杀，通奸，发虚誓，向巴耳献香，跟随素不相识的外方神祗，		
7.10	7:10 然后来到这座归我名下的殿里，立在我面前说：「我们有了保障!」好再去行这一切可恶的事﹖		
7.11	7:11 难道这座归我名下的殿宇，在你们眼中竟成了贼窝了吗﹖哎!我看实在是这样──上主的断语。		
			
7.12t	圣所失灵		
7.12	7:12 那么，请你们到我昔日在史罗立我名的地方去，察看我因我人民以色列的邪恶对她行了的事。		
7.13	7:13 现在因为你们做了这一切事──上主的断语──我再三恳切劝告你们，你们又不听；我呼唤你们，你们也不答应；		
7.14	7:14 为此，我要对付你们依恃的这座归我名下的殿宇，并对付我给你们及你们祖先的地域，象对付史罗一样；		
7.15	7:15 我必将你们由我面前拋弃，如同拋弃了你们所有的兄弟，厄弗辣因全体后裔一样。		
			
7.16t	不可挽回的惩罚		
7.16	7:16 至于你，你不必为这人民祈祷，不必为他们呼吁哀求，也不必向我恳求，因为我不会俯听你。		
7.17	7:17 他们在犹大各城和耶路撒冷街道上做的是什么事，难道你没有看见﹖		
7.18	7:18 儿子拾柴，父亲烧火，母女揉面给天后做饼，向外方神祗行奠祭，来触怒我。		
7.19	7:19 他们果真是触怒我吗﹖──上主的断语──岂不是触犯自己，使自己满面羞惭﹖		
7.20	7:20 为此我主上主这样说：看，我的愤恨和怒火，必要倾注在这地方的人和走兽身上，田间的树木和土地的出产上，燃烧不熄。		
			
7.21t	服从胜于祭献		
7.21	7:21 万军的上主，以色列的天主这样说：「你们献祭后，尽管再加献全燔祭，尽管饱食祭肉；		
7.22	7:22 可是，关于全燔祭和献祭的事情，我在领你们祖先出离埃及那一天，并没有对他们谈及或吩咐什么，		
7.23	7:23 只吩咐了他们这事说：你们应听从我的声音，那么我必作你们的天主，你们也必作我的人民；你们应走我吩咐你们的一切道路，好使你们获得幸福。		
7.24	7:24 他们不但不侧耳细听，反倒依照自己的计谋，随自己邪恶的心生活，顽固不化；不以面向我，却以背向我。		
7.25	7:25 从你们祖先出离埃及那一天起，直到今日，我给你们派遣了我所有的仆人先知，而且每天清早给你们派遣，		
7.26	7:26 但他们不但不侧耳听从我，反更硬起自己的颈项，比自己的祖先还要乖戾。		
7.27	7:27 纵使你将这一切话告诉他们，他们也不会听从你；任凭你怎样呼唤，他们也不会答应你。		
7.28	7:28 为此你对他们说：这个民族，不听上主自己天主的声音，不肯接受教训；忠实已丧失，已绝于他们口中。		
			
7.29t	邪行的恶报		
7.29	7:29 你该剪去你的一绺头发，把它拋掉，在高丘上唱哀歌，因为上主摈斥，且拋弃了他憎恨的时代。		
7.30	7:30 的确，犹大子民作了我视为邪恶的事──上主的断语──将他们可恶之物，安置在归我名下的殿宇里，使殿宇遭受玷污；		
7.31	7:31 又在本希农山谷的托斐特建筑了丘坛，为火焚自己的子女；这是我从没有吩咐，也从没有想到的事。		
7.32	7:32 为此，看，时日将到──上主的断语──人不再称这地方为「托斐特，」或「本希农谷」，却要称它为「屠杀谷」；由于坟地不够，连托斐特也将充作坟场。		
7.33	7:33 这人民的尸体将成为天空飞鸟和地上走兽的食物，而没有人来驱逐。		
7.34	7:34 我必使犹大城内和耶路撒冷街上，再也听不到欢愉和喜乐的声音，新郎和新娘的声音，因为这地将要变为荒野。		
			
			
8.0t	第八章(23)		
			
8.1t	犹大人民的顽固		
8.1 	8:1 到那时──上主的断语──人必从坟墓中拖出犹大君王的遗骸，公侯的遗骸，司祭的遗骸，先知的遗骸，和耶路撒冷居民的遗骸，		
8.2 	8:2 陈列在他们曾爱恋、事奉、追随、求问和朝拜过的太阳、月亮和天上群星前，再没有人收殓埋葬，任其留在地面充作肥料。		
8.3 	8:3 这可恶种族剩下的全体遗民，在我驱逐他们所到的任何地方，都愿意死，而不愿意生──万军上主的断语。		
8.4 	8:4 你应对他们说：上主这样说：人跌倒了，岂能不再起来﹖人离去了，岂能不再回来﹖		
8.5 	8:5 为什么这人民一堕落，便永久堕落，执迷不悟而不肯反悔呢﹖		
8.6	8:6 我留心细听，他们都言谈不轨，没有一个人悔恨自己的邪恶说：「可怜!我做的是什么事﹖」反倒各自一再任性奔驰，有如冲入战场的战马。		
8.7 	8:7 天空的鹤鸟也知道自己的时令；斑鸠、燕子和雁，都固守自己的归期；但是我的人民却不知道上主的法令。		
8.8 	8:8 你怎么能说：我们是智者，我们有上主的法律﹖的确，但已为书记们以荒谬的笔锋把它编成了谎言。		
8.9 	8:9 智慧的人必要蒙羞惊慌，而至被捕；的确，他们既拋弃了上主的话，还能有什么智慧﹖		
			
8.10t	司祭与先知皆应受罚		
8.10	8:10 为此，我必将他们的妻室交给外人，将他们的庄田交与别的地主，因为从最小的到最大的，都贪财图利；从先知到司祭，都欺诈行事，		
8.11	8:11 草率治疗我人民的疮痍说：「好了，好了!」其实却没有好。		
8.12	8:12 他们既行事可憎，就理当知耻；可是，他们不但不知耻，反而连羞愧也不知是什么；为此，他们要与倒毙者倒毙，在我降罚他们时，都要一蹶不振──上主说。		
			
8.13t	逃避侵略		
8.13	8:13 我要彻底消灭他们──上主的断语──葡萄树上没有葡萄，无花果树上没有无花果，树叶都已凋零；我要派人来蹂躝。		
8.14	8:14 为什么我们还坐着﹖集合起来吧!让我们进入坚城，死在那里，因为上主我们的天主要消灭我们，要我们喝苦胆，因为我们得罪了上主。		
8.15	8:15 我们原期待和平，却不见好转；原期待复兴的时机，反而只见恐怖!		
