1.-2t	撒慕尔纪上
1.28	所以我现在把他献于上主，他一生是属于上主的。」亚纳便把他留在上主那里。
	
2.0t	第二章　
	
2.1t	亚纳的颂谢词 　
	
2.1	亚纳祈祷说：「我从心里喜乐于上主，我的头因上主而高仰；我可开口嘲笑我的敌人，因为我喜乐于你的救助。
2.2	没有圣者，相似上主；除了你以外，没有另一位；没有磐石，相似我们的天主。
2.3	你们别再三说诳言，别口出豪语；上主是全知的天主，人的行为由他衡量。
2.4	壮士的弓已被折断，衰弱者反而力量倍增。
2.5	曾享饱饫的，今佣工求食；曾受饥饿的，今无须劳役；不妊的今生了七子，多产者反而生育停顿。
2.6	上主使人死，也使人活；使人降入阴府，也将人由阴府提出；
2.7	上主使人穷，也使人富；贬抑人，也举扬人；
2.8	上主由尘埃中提拔卑贱者，从粪土中高举贫穷者，使他与王侯同席，承受光荣座位；大地的支柱原属上主，支柱上奠定了世界。
2.9	他保护虔诚者的脚步，使恶人在黑暗中灭亡，因为人决不能凭己力获胜，
2.10	那与上主敌对的必被粉碎。至高者在天主鸣雷，上主要裁判地极，赐予自己的君王能力，高举受傅者的冠冕。」
2.11	以后厄耳卡纳回了辣玛本家。幼童却留在厄里大司祭前，奉事上主。
	
2.12t	厄里儿子的亵圣罪过　
	
2.12	厄里的两个儿子原是无恶不做的人，不怀念上主，
2.13	也不关心司祭对人民的义务；若有人来杀牲献祭，到煮祭肉时，司祭的僮仆便来，手持三齿叉，
2.14	插入鼎里，锅里，甑里或镬里，凡叉上来的，司祭就拿去自用；他们常这样对待所有到史罗来的以色列人。
2.15	甚或在焚化油脂以前，司祭的僮仆来对献祭的人说：「把肉给司祭去烤罢! 他不向你要熟肉，他要生肉。」
2.16	如果人答应说：「先得将油脂焚化，然后你可随意拿去。」他必答说：「不，应立刻给我；不然，我就来抢。」
2.17	这两个少年人在上主前犯的罪极重，因为轻视了献于上主的祭品。
	
2.18t	撒慕尔的母亲　
	
2.18	撒慕尔幼童穿著细麻的「厄弗得，」在上主面前供职。
2.19	他的母亲每年给他做一件小外氅，当她同丈夫上来献年祭时，就给他带来。
2.20	厄里祝福厄耳卡纳和他的妻子说：「愿上主由这妇人再赏你一个儿子，代替献给上主的这一个! 」然后他们就回了本乡。
2.21	主看顾了亚纳她怀孕生了三男二女。撒慕尔幼童在上主前渐渐长大。
	
2.22t	厄里劝戒二子　
	
2.22	厄里已经很老。他听说他的两个儿子对众以色列人所做的一切，和他们与社会幕门旁服役的妇女同睡的事，
2.23	就对他们说：「你们为什么作出像我由众百姓那里听来的这些坏事？
2.24	我儿，不要这样! 我所听见的风声实在不好，你们竟使百姓远离了上主!
2.25	若得罪人，尚有天主审断；人若得罪上主，有谁为他求情呢？」但是他们仍不听父亲的话，因为上主有意使他们丧亡。
2.26	撒慕尔幼童渐渐长大，为上主和人所喜爱。
	
2.27t	预言厄里恶运　 
	
2.27	有一位天主的人来到厄里面前对他说：「上主这样：当你祖先的家人还在埃及法郎家中当奴隶时，我不是再三显现给他们吗？
2.28	我不是从以色列众支派中，特选了他们作我的司祭，上我的祭坛焚香献祭，穿「厄弗得」到我面前来，并将以色列子民的火祭祭品全赐给了你的父家吗？
2.29	那么，你为什么还要嫉视我所规定的牺牲和素祭呢？竟重视你的儿子在我以上，用我的人民以色列所献的最好的一份，养肥了他们？
2.30	因此，请听上主以色列天主的断语：我曾许下，你的家和你的父家要在我面前永远往来，但是现在，──上主的断语──决不能如此! 只有那光荣我的，我才光荣他；那轻视我的，必受轻视。
2.31	时日快到了，那时我要砍下你的臂膊和你父家的臂膊，使你家里再没有权威的长者。
2.32	以后，你要嫉视我赐与以色列人的一切幸福，可是在你家里永不会再有权威的长者；
2.33	我也不愿将你的人由我的祭坛上尽行消灭，致使你的眼目昏花，心神忧伤；但你家中大多数的人要死在人家的刀下。
2.34	你的两个儿子曷弗尼和丕乃哈斯所要遭遇的，为你就是个先兆：他们两人要在同一天死掉。
2.35	我要为我兴起一位忠信的司祭，他要照我的心意行事，我要给他建立一个坚固的家庭，他一生要在我的受傅者前往来。
2.36	那时，凡你家中所存留的人，必要叩拜他，为得到一点钱或一片饼说：求你容我参与任何一种司祭职务，使我可以糊口。」
	
3.0t	第三章　
	
3.1t	撒慕尔蒙启示　
	
3.1	小撒慕尔在厄里面前服事上主；那时，上主的话少有，异象也罕见。
3.2	有一天，厄里睡在自己的房里，他的眼睛渐渐昏花，已看不清了，
3.3	天主的灯尚熄灭，撒慕尔睡在安放天主约柜的上主的殿内。
3.4	那时，上主召叫说：「撒慕尔! 撒慕尔! 」他回答说：「我在这里! 」
3.5	他就跑到厄里前说道：「你叫了我，我在这里。」厄里说：「我没有叫你，回去睡罢! 」他就回去睡了。
3.6	上主又叫撒慕尔；撒慕尔起来，走到厄里那里说道：「你叫了我，我在这里。」厄里对他说：「我儿，我没有叫你，回去睡罢! 」
3.7	撒慕尔不知道是上主，因为上主的话尚未启示给他。
3.8	上主第三次又叫了撒慕尔；他起来，又走到厄里那里说道：「你叫了我，我在这里。」厄里于是明白，是上主叫了幼童，
3.9	便对撒慕尔说：「去睡罢! 假使有人再叫你，你就回答说：请上主发言，你的仆人在此静听。」撒慕尔就回去，仍睡在原处。
3.10	上主走近，像前几次一样召叫说：「撒慕尔，撒慕尔! 」撒慕尔便回答说：「请上主发言! 你的仆人在此静听。」
3.11	上主遂对撒慕尔说：「看! 我要在以色列行一件事，凡听见的人，他的两耳必要嗡嗡作响。
3.12	到那一天，我必对厄里从头到尾实践我论他的家族所说的一切。
3.13	你传报给他：我要处罚他的家族直到永远，因为他原知道他的两个儿子凌辱了天主，却未责斥他们。
3.14	因此，我对厄里的家族起誓：无论牺牲或供物，永不能抹去厄里一家的罪过。
	
3.15t	撒慕尔被立为先知　
	
3.15	撒慕尔睡到早晨起来，开了上主圣殿的门；但害怕告诉厄里他所见的异象。
3.16	厄里却对撒慕尔说：「撒慕尔，我儿! 」他回答说：「我在这里。」
3.17	厄里问说：「上主给你说了什么话，请不要隐瞒我! 你若把上主给你说的话，给我隐瞒了一句，愿天主加倍惩罚你。」
3.18	撒慕尔便把那些话全告诉了他，一句也没有隐瞒。厄里说：「他是上主，他看著怎么好，就怎样行罢! 」
3.19	撒慕尔渐渐长大；上主与他同在，使他说的一切话，没有一句落空。
3.20	于是全以色列从丹直到贝尔舍巴，都知道撒慕尔被立为上主的先知。
3.21	自从上主在史罗对撒慕尔显现后，继续在史罗显现于他。
	
4.0t	第四章　
	
4.1t	以色列人惨败、约柜被夺　
	
4.1	撒慕尔的话传遍了全以色列。当时厄里已很老了，他的两个儿子的品行在上主面前，比以前更坏了。那时，培肋舍特人集合起来攻打以色列人，以色列人便出来还击他们，在厄本厄则尔旁扎了营，当时培肋舍特人已在阿费克扎了营。
4.2	培肋舍特人就摆列阵势攻打以色列人，战斗十分激烈；以色列人为培肋舍特打败，在平原阵地上被击毙的约有四千人。
4.3	军队回营后，以色列的长老说：「为什么上主今天让我们被培肋舍特人打败？我们应从史罗把上主的约柜抬来，让约柜来到我们中间，拯救我们摆脱敌人的压迫。」
4.4	于是军队就派人到史罗去，从那里把坐于革鲁宾上的万军之上主的约柜抬来；厄里的两个儿子曷弗尼和丕乃哈斯也跟天主的约柜来了。
4.5	当上主的约柜来到营内的时候，全以色列民就大声欢呼，大地也震动了。
4.6	培肋舍特人一听见这样的呼声，就说：「希伯来人在营中为什么这样大声欢呼？」后来才知道，是上主的约柜来到了他们的营中。
4.7	培肋舍特人大为震惊，遂说：「希伯来人的神来到了他们的营中! 」继而喊说：「我们有祸了! 至今从未有过这样的事!
4.8	我们有祸了! 谁能从这大能的神手中救出我们呢？用各样灾祸在旷野中打击了埃及人的，就是这个神啊!
4.9	培肋舍特人哪？你们应加强，要英勇，免得你们做希伯来人的奴才，像他们做过你们的奴才一样。你们要英勇，奋斗作战! 」
4.10	培肋舍特人就开始进攻，以色列人中阵亡的步兵有三万；
4.11	天主的约柜也被劫了去，厄里的两个儿子曷弗尼和丕乃哈斯也同时阵亡了。
	
4.12t	厄里与丕乃哈斯的妻子猝死　
	
4.12	有个本雅明人从阵地逃出，当天来到了史罗，衣服已撕破，头上满是灰尘。
4.13	他来到时，见厄里在门旁坐在椅子上，向大道观望，因为他为天主的约柜很是放心不下。那人一来到，就在城内布开这凶信，全城因此哀号起来；
4.14	厄里一听见哀号声，就问说：「这样喧嚷，是什么事？」那人就赶快前来报告给厄里，──
4.15	那时厄里已是九十八岁的人，眼睛虽然瞪著，却什么也看不见。──
4.16	对厄里说：「我是从营中来的，今天刚从战场上逃回来的。」厄里问说：「我儿，事情怎样？」
4.17	报信的答说：「以色列人在培肋舍特人面前大败，人民伤亡极大，你的两个儿子也死了，天主的约柜也被劫去了。」
4.18	他一提到天主的约柜，厄里就从椅子上往后一仰，跌在门槛上，跌断了颈项，死了，因为他已年老，且又肥胖。──他四十年之久做了以色列人的民长。
4.19	他的儿媳，丕乃哈斯的妻子，已经怀孕，快要临盆；一听说天主的约柜被劫去，他的公公和丈夫已死的消息，突然感到阵痛，就弯下身去生产了。
4.20	她临死时，侍立在旁的妇女向她说：「不必害怕，你生了一个儿子! 」她没有答应，也没有留意，
4.21	只给孩子取名叫依加波得，说：「光荣已远离了以色列。」这是指天主的约柜，她的公公和丈夫都已被劫去，
4.22	所以她说：「光荣已远离了以色列，」因为天主的约柜已被劫去。
	
5.0t	第五章　
	
5.1t	约柜加害培肋舍特人　
	
5.1	培肋舍特人劫走了天主的约柜，从厄本厄则尔运到阿市多得，
5.2	把天主的约柜抬到达贡庙内，放在达贡近旁。
5.3	第二天清早，阿市多得人起来，见达贡倾倒了，在上主的约柜面前，俯伏在地；他们把达贡竖起安置在原处。
5.4	但第二天清早人们起来，见达贡又倾倒了，仍在上主的约柜面前，俯伏在地，达贡的头和双手都断在门槛上，只留下了他的鱼身。──
5.5	因此，达贡的司祭和进达贡庙的人，都不敢踏阿市多得的庙的门槛，直到今天。
5.6	上主的手重重地压制了阿市多得人，威吓他们，使阿市多得和附近的人都生了毒疮。
5.7	阿市多得人一见这样，就说：「别让以色列天主的约柜留在我们这里，因他的手重重地压制了我们的神达贡。」
5.8	遂打发人召集了培肋舍特人所有的酋长来到他们那里，向他们说：「对以色列天主的约柜我们该怎么办？」他们就回答说：「把以色列天主的约柜送到加特去! 」他们遂把以色列天主的约柜送到加特去了。
5.9	他们把约柜送去以后，上主的手又压制那座城，使他们发生了很大的恐慌，因为上主打击了城中的人，无论老幼，都患了毒疮。
5.10	于是加特人又把天主的约柜送到厄刻龙；天主的约柜一到了厄刻龙，厄刻龙人就喊说：「人把以色列天主的约柜送到我们这里，是为杀害我们和我们的百姓! 」
5.11	遂立刻派人召集培肋舍特所有的酋长来，向他们说，「你们把以色列天主的约柜送走，送回原处，免得杀害我们和我们的百姓。」因为全城的人死的太多了，天主的手重重地压制了那地方。
5.12	凡没有死的人，都患了毒疮，因此城中哀号之声，上达于天。
	
6.0t	第六章　
	
6.1t	约柜运往贝特舍默士　
	
6.1	上主的约柜在培肋舍特地方七个月之久。
6.2	培肋舍特人召集司祭和占卜者说：「我们对上主的约柜该作什么？请告诉我们，用什么方法可将它送回原处？」
6.3	他们回答说：「你们若将以色列天主的约柜送回，不可空空的将它送回，必须奉上赎罪的礼品：这样你们才能痊愈，也会明了他的手为什么没有离开你们。」
6.4	他们问说：「我们应奉上什么赎罪的礼品？」他们回答说：「按照培肋舍特酋长的数目，奉上五个金毒疮像和五个金鼠像，因为你们所有的人和你们的酋长，都遭遇同样的灾祸。
6.5	所以你们应制造你们患的毒疮像，和损坏你们地方的老鼠的像，应归光荣于以色列的天主：这样或许他会对你们，对你们的神和你们的地方放松他的手。
6.6	你们为什么像埃及人和法郎一样心硬呢？不是上主玩弄了他们以后，埃及人才放走了他们吗？
6.7	现今，赶快制造一辆新车，牵出两头正在哺乳，还没有负过轭的母牛来，套上这辆新车，把小牛牵回棚里去；
6.8	然后把上主的约柜装在车上，把那奉上作为赎罪礼品的金器，都盛在一匣子内，放在约柜旁边，然后让它去。
6.9	但你们应留神：若是约柜取道往自己的地方去，即往贝特舍默士去，那么，这大灾难，即是上主加给我们的；若不然，我们就知道，不是他的手打击了我们，而我们所遭遇的是出于偶然。」
6.10	人们就这样作了；牵出两头正在哺乳的母牛来，套上那辆新车，将牛犊关在棚里，
6.11	把上主的约柜，以及装有金老鼠和毒疮像的匣子，都放在车上。
6.12	那对母牛直直奔向贝特舍默士的路上走去，一边走，一边叫，不偏左也不偏右；培肋舍特的酋长跟在后面，一直到了贝特舍默士的边境。
6.13	那时，贝特舍默士人正在谷中收割麦子，举目一看，见是上主的约柜，就前去欢迎。
6.14	车来到贝特舍默士人约叔亚的庄田，就在那里停住了。那里有一块大石头，人就将车辆的木头劈开，把母牛祭献给上主作全燔祭。
6.15	肋未人先把上主的约柜和旁边盛有金器的匣子搬下来，放在那块大石上。贝特舍默士人当天给上主献了全燔祭，宰杀了许多牺牲。
6.16	培肋舍特的五位酋长见事已成，当天就回了厄刻龙。
6.17	以下是培肋舍特人奉献给上主作为赎罪礼品的金毒疮像：阿市多得一个，迦萨一个，阿市刻隆一个，加特一个，厄刻龙一个。
6.18	金老鼠也是依照培肋舍特五酋长的城市数目，包括有垣墙的城市和所有的村落。那曾安放过上主约柜的大石，直到今日还在贝特舍默士人约叔亚的田内，作为见证。
	
6.19t	约柜在克黎雅特耶阿陵　
	
6.19	当贝特舍默士人看见上主的约柜时，耶苛尼雅的子孙没有与他们一起表示欢乐，所以上主击杀了他们中七十人。百姓就难受，因为上主这样严厉打击了百姓。
6.20	于是贝特舍默士人说：「在这神圣的天主上主面前，谁还能站得住？从我们这里把它送到谁那里去呢？」
6.21	他们遂派使者到克黎雅特耶阿陵的居民那里，对他们说：「培肋舍特人送回了上主的约柜，你们下来，将它抬上去，放在你们那里。」
	
7.0t	第七章　
	
7.1t	以民弃邪归正　
	
7.1	克黎雅特耶阿陵人遂下来，将上主的约柜抬上去，送到住在丘岭上的阿彼纳达布家里，并且祝圣他的儿子厄肋阿匝尔，看守上主的约柜。
7.2	自从约柜停放在克黎雅特耶阿陵的那天起，过了很长的时间，大约二十年之久，以色列全家又归向上主。
7.3	那时撒慕尔对以色列全家说：「如果你们全心归向上主，就该将外邦的神由你们中间铲除，一心归向上主，惟独事奉上主，他必由培肋舍特人手中解救你们。」
7.4	以色列子民遂铲除了巴耳和阿市托勒特，唯独事奉上主。
7.5	于是撒慕尔说：「你们把全以色列聚集在米兹帕，我要为你们恳求上主。」
7.6	他们便集在米兹帕，汲了水来，倒在上主面前，并且在那一天禁食说：「我们犯了罪，得罪了上主! 」从此撒慕尔在米兹帕治理以色列子民。
	
7.7t	击败培肋舍特人　
	
7.7	培肋舍特人一听说以色列子民聚集在米兹帕，培肋舍特的酋长就上来攻打以色列，以色列子民听说培肋舍特人前来，大为震惊，
7.8	对撒慕尔说：「你不要停止为我们哀求上主，我们的天主，好叫他救我们脱离培肋舍特人的威胁。」
7.9	撒慕尔遂拿了一只还在吃奶的羔羊献给上主，作全燔祭，为以色列呼吁上主，上主应允了他。
7.10	当撒慕尔正在奉献全燔祭时，培肋舍特人前来，要与以色列交战；但上主在那一天使雷声向著培肋舍特人大作，恐吓他们，他们就在以色列面前溃退了。
7.11	以色列人遂从米兹帕出来追击培肋舍特人，击杀他们直到贝特加尔下边。
7.12	以后，撒慕尔取了一块石头，竖立在米兹帕与耶撒纳中间，给那石起名叫厄本厄则尔，说：「直到这时上主救助了我们。」
7.13	培肋舍特人受了这次挫折以后，不敢再来侵犯以色列的边境；撒慕尔活著时，上主的手常压制了培肋舍特人。
7.14	培肋舍特人由以色列夺去的城市，自厄刻龙直到加特，都归还了以色列人；以色列人由培肋舍特人手中收复了自己的领土；在那时以色列和阿摩黎人之间平安无事。
	
7.15t	撒慕尔执行民长职　
	
7.15	撒慕尔一生做了以色列的民长。
7.16	他每年去视察贝特耳、基耳加耳和米兹帕，在这些地方治理以色列人。
7.17	以后他回到辣玛，因为他的家在那里，他也在那里治理以色列人，并在那里给上主建了一座祭坛。
	
8.0t	第八章　
	
8.1t	立君王的要求　
	
8.1	撒慕尔年老的时候，立了他的两个儿子作以色列的民长。
8.2	长子名叫约厄耳，次子名叫阿彼雅，同在贝尔舍巴作民长。
8.3	但是他这两个儿子不走他所走的路，却贪图厚利，接受贿赂，歪曲正理。
8.4	以色列众长老便联合起来，往辣玛去见撒慕尔，
8.5	对他说：「看，你已经老了，你的儿子们不走你所走的路。如今请你给我们立一位君王治理我们，如同各国一样。」
8.6	撒慕尔听到他们要求说：「请给我们立一位君王治理我们，」大为不悦，便去祈求上主。
8.7	上主对撒慕尔说：「凡民众向你所说的话，你都要听从，因为他们不是抛弃你，而是抛弃我作他们的君王。
8.8	自从我领他们出离埃及直到今日，凡他们做的，无非是抛弃我而事奉别的神；他们现在也这样来对待你。
8.9	好罢! 你就听从他们的要求，但必须清楚警告他们，要他们明了那统治他们的君王所享有的权利。」
	
8.10t	君王的权利　
	
8.10	撒慕尔把上主的一切话，转告给那向他要求君王的人民，
8.11	说：「那要统治你们的君王所享有的权利是：他要徵用你们的儿子，去充当车夫马夫，在他的车前奔走：
8.12	委派他们做千夫长、百夫长、五十夫长；令他们耕种他的田地，收割他的庄稼，替他制造作战的武器和战车的用具；
8.13	要徵用你们的女儿为他配制香料，烹调食物；
8.14	要拿你们最好的庄田、葡萄园和橄榄林，赐给他的臣仆；
8.15	徵收你们庄田和葡萄园出产的十分之一，赐给他的宦官和臣仆；
8.16	使用你们的仆婢和你们最好的牛驴，替他作工；
8.17	徵收你们的羊群十分之一；至于你们自己，还应作他的奴隶。
8.18	到那一天，你们必要因你们所选的君王发出哀号；但那一天，上主也不理你们了。」
	
8.19t	人民坚持所求　
	
8.19	但是，人民不愿听从撒慕尔的话却对他说：「不! 我们非要一位君王管理我们不可。
8.20	我们也要像一般异民一样，有我们的君王来治理我们，率领我们出征作战。」
8.21	撒慕尔听见百姓所说的这一切话，就转告给上主听。
8.22	上主对撒慕尔说：「你听从他们的话，给他们一位君王罢! 」撒慕尔就吩咐以色列人说：「你们各自暂回本城去。」
	
9.0t	第九章　
	
9.1t	撒乌耳寻驴遇撒慕尔　
	
9.1	本雅明支派有个人名叫克士，他是阿彼耳的儿子，阿彼耳是责洛尔的儿子，责洛尔是贝苛辣特的儿子，贝苛辣特是阿非亚的儿子；这本雅明人是个英勇的战士。
9.2	他有个儿子名叫撒乌耳，魁梧英俊，在以色列人中没有比他更俊美的，比所有的人高出一肩。
9.3	撒乌耳的父亲克士有几匹母驴，走迷了路，克士遂对儿子撒乌耳说：「你带一个仆人，起身去寻找那些驴。」
9.4	他们走过了厄弗辣因山地和沙里地方，却没有找著；又过了沙阿林地方，也没有找到；最后经过耶米尼地方，也不见踪影。
9.5	当他们来到族弗地方时，撒乌耳对跟随自己的仆人说：「我们回去罢! 免得我父亲不挂念驴，反而挂虑我们。」
9.6	仆人回答他说：「请看，这城里有一位天主的人，很受敬重；凡他说的，必定应验；现在我们往那里去，或许他会告诉我们应走的路。」
9.7	撒乌耳回答仆人说：「好! 我们可以去，但是给那人送什么呢？我们袋里的乾粮已经用尽，没有礼物可送给天主的人了。我们还有什么呢？」
9.8	仆人回答撒乌耳说：「看，我手里还有四分之一「协刻耳」银子，
9.9	你可把它送给天主的人，请他把我们当走的路告诉我们。」
9.10	撒乌耳对他的仆人说：「你说的对，来，我们去罢! 」他们就往天主的人所住的城里去了。
9.11	当他们上那城的山坡时，遇见一些少女出来打水，就问她们说：「先见者在这里吗？」──9.过去在以色列，如果有人去求问天主，常说：「来，我们到先见者那里去! 」现今所称的「先知，」就是从前称的「先见者。」──
9.12	她们回答说：「是。看，先见者就在你们前面，刚刚进了城，因为今天百姓要在高丘上举行祭献。
9.13	你们进了城，在他上到高丘进食以前，一定会遇见他，因为人民在他来以前，不先吃什么，因他要祝福牺牲，然后宾客才进食。你们现在上去，立刻会遇见他。」
9.14	他们于是上到那城，刚进城门，看，撒慕尔就朝著他们出来，要上高丘去。
	
9.15t	撒慕尔优待撒乌耳　
	
9.15	在撒乌耳来的前一日，上主曾启示给撒慕尔说：「
9.16	明日大约这时，我打发一个本雅明地方的人到你这里来，你要给他傅油，立他当我民以色列的首领，他要从培肋舍特人手中拯救我的百姓，因我已看到我百姓的痛苦，他们的哀号已上达于我。」
9.17	撒慕尔一看见撒乌耳，上主就提醒他说：「看，这就是我曾对你提及的那人，他要统治我的百姓。」
9.18	撒乌耳走到撒慕尔跟前，在城门洞中问他说：「请你告诉我，先见者的家在那里？」
9.19	撒慕尔回答撒乌耳说：「我就是先见者；请你在我以前上高丘去；你们今天要同我一起吃饭，明天早晨我打发你去，你心中所怀念的事，我会全告诉你。
9.20	至于三天以前你所失的母驴，不必担心，都已找著了。此外，以色列所有的至宝是谁的呢？岂不是你和你父亲全家的吗! 」
9.21	撒乌耳回答说：「我岂不是一个本雅明人，属于以色列最小的一支派吗？我的家族在本雅明家族中，不也是最小的吗？你怎能向我说出这样的话？」
9.22	以后撒慕尔将撒乌耳和他的仆人领到餐厅内，叫他们坐在宾客的首位上，宾客约有三十人。
9.23	撒慕尔对厨师说：「将我交给你的那份，即对你说：暂且留下的那一份，给我拿来。」
9.24	厨师遂把后腿和肥尾端上来，放在撒乌耳面前。撒慕尔对他说：「看，摆在你面前的，是预先特意保留的一份，请吃罢! 因为特意为你保留下的，叫你好同宾客一起吃。」撒乌耳那天就同撒慕尔一起吃了饭。
9.25	他们从高丘下到城里，有人在露台上给撒乌耳铺好了卧榻，
9.26	撒乌耳就睡在那里。天一亮，撒慕尔就叫醒在露台上的撒乌耳，对他说：「起来，让我送你走。」撒乌耳起来，他们二人，即他和撒慕尔，就往城外走；
9.27	当他们下到城边时，撒慕尔对撒乌耳说：「你吩咐仆人，叫他在我们前面先走，你暂且停留一会，我要把天主话告诉你。」
	
10.0t	第十章　
	
10.1t	傅油与预兆　
	
10.1	撒慕尔拿出油具，把油倒在他头上，口吻他说：「不是上主给你傅油，立你作他百姓以色列的首领吗？是你要统治上主的百姓，从四周的仇人手中解救百姓。这是上主给你傅油立你为自己产业首领的先兆：
10.2	今天你离开我以后，在本雅明边境辣黑耳的墓旁，正午你会遇见两个人，他们要对你说：你去找的那些母驴，已找到了。为母驴的事，你父亲早已忘怀，现在他却为你们著急说：为我的儿子我该怎么办？
10.3	你从那里再往前走，来到德波辣的橡树旁时，要遇见三个上贝特耳去敬礼天主的人：一人牵著三只小山羊，一人拿著三张饼，一人带著一皮囊酒。
10.4	他们要向你请安，给你两张饼，你要从他们手中接过来。
10.5	此后，你要往天主的基贝亚去，──在那里驻有培肋舍特人的官吏，──你一进城，就会遇见一群正从高丘下来的先知，在他们前面有弹弦的、有打鼓的、有吹笛的、有弹琴的、他们正在出神说妙语。
10.6	这时，上主的神会突然降在你身上，你也要同他们一起出神说妙语；你要变成另一个人。
10.7	当你遇见这些现象时，你应见机行事，因为天主必与你同在。
10.8	你要在我以先下到基耳加去；我要下到你那里去奉献全燔祭，宰杀和平祭牺牲。你要等候七天，直到我到了你那里，告诉你当作的事。」
	
10.9t	撒乌耳受先知灵感　
	
10.9	当他转身离开撒慕尔时，天主就改变了他的心，那一切先兆在当天都实现了。
10.10	他从那里来到基贝亚时，果然有一群先知迎面而来，天主的神突然降在他身上，他就在他们中间出神说起妙语来。
10.11	凡先前认识他的人，见他同先知们一起出神说妙语，就彼此说：「克士的儿子遭遇了什么事？怎么，连撒乌耳也列在先知之中？」
10.12	他们中有人回答说：「他们的父亲是谁？」因此有一句俗话说：「怎么，连撒乌耳也列在先知中吗？」
10.13	他说完妙语后，就回了家。
10.14	撒乌耳的一个叔父问他和他的仆人说：「你们往那里去了？」撒乌耳回答说：「找母驴去了；我们看没找著，就到了撒慕尔那里。」
10.15	撒乌耳的叔父向他说：「请你告诉我，撒慕尔给你说了些什么？」
10.16	撒乌耳回答他叔父说：「他告诉我们，母驴的确已经找到了。」但撒慕尔所说有关立君王的话，撒乌耳却没有告诉他。
	
10.17t	撒乌耳被选为王　
	
10.17	撒慕尔召集人民来到米兹帕上主面前。
10.18	对以色列子民说：「上主以色列的天主这样说：是我领以色列出离了埃及，从埃及人和一切压迫你们的国家中拯救了你们。
10.19	然而今天你们抛弃了你们的天主，虽然他从你们一切灾难和压迫中解救了你们，你们却说：不，你该给我们立一位君王! 现今你们要按照你们的支派和家族到上主面前来。」
10.20	撒慕尔就叫以色列众支派上前来，本雅明支派中了签；
