1.-1t	引论 各支派分占许地与宗教概况(1:1-3:6)
2.10	当那一代人都归于他们的祖先以后，在他们之后，兴起了另一代，他们不认识上主，也不知道上主为以色列所行的事迹。
2.11	以色列子民行了上主视为恶的事，事奉了巴耳诸神。
2.12	他们离弃了上主他们祖先的天主，即领他们出离埃及地的天主，而随从了别的神，叩拜他们四周各民族的神，因此触怒了上主。
2.13	他们背离了上主，而事奉巴耳和阿市托勒特。
2.14	于是上主对以色列大发忿怒，把他们交在强盗手中，叫强盗抢掠他们；将他们卖给四周的敌人，使他们不能抵抗他们的敌人；
2.15	他们无论去那里，上主的手总是加害他们，犹如上主所说的，犹如上主向他们所起的誓，使他们受极大的痛苦。
2.16	上主虽兴起民长，拯救他们脱离强盗的手；
2.17	但他们仍不肯听从他们的民长，反而与外邦的神行淫，顶礼叩拜，迅速地离开了他们祖先所走的服从上主命令的路，没有照样行事。
2.18	当上主给他们兴起民长时，上主与民长同在，在民长一生的岁月中，救他们脱离仇敌的手，因为上主听见了他们受压迫欺凌发出的叹息，而怜悯了他们；
2.19	可是民长一去世，他们又转而行恶，行为比他们的祖先更坏，去追随外神，事奉叩拜他们，总不放弃他们祖先的恶行和顽抗的行为。
2.20	因此上主对以色列大发忿怒说：「因为这百姓违犯了我与他们祖先缔结的盟约，没有听从我的声音；
2.21	为此，若苏厄死后所剩下的民族，我也不再由他们面前，驱逐任何一个，
2.22	为试验以色列是否谨守遵行上主的道路，有如他们的祖先所遵行的一样。」
2.23	因此，上主保留了那些民族，没有迅速驱逐他们，也没有把他们交在以色列人手中。
	
3.0t	第三章
	
3.1t	上主保留的民族
	
3.1	这是上主为考验那些不晓得客纳罕一切战事的以色列人，所留下来的民族，
3.2	叫以色列子民的后代，至少那些以前不晓得这些战事的人，知道和学习作战。
3.3	这些民族就是培勒舍特人的五个酋长，一切客纳罕人、漆冬人和住在黎巴嫩山上，即从巴耳赫尔孟山直到哈玛特关口的希威人。
3.4	他们留在那里是为考验以色列人，看他们是否听从上主藉梅瑟吩咐他们祖先的那些诫命。
3.5	以色列子民就住在客纳罕人、赫特人、阿摩黎人、培黎齐人、希威人和耶步斯人中间，
3.6	竟然娶了他们的女子为妻，也把自己的女儿嫁给他们的儿子，事奉了他们的神。
	
	
	
3.-1t	十二民长的事迹(3:7-16)
	
3.7t	敖特尼耳民长
	
3.7	以色列子民行了上主视为恶的事，忘却了上主他们的天主，而事奉了巴耳诸神和阿舍辣诸女神；
3.8	因此上主对以色列大发忿怒，将他们交在厄东王雇商黎沙塔殷手中，以色列子民遂服事了雇商黎沙塔殷八年。
3.9	当以色列子民向上主呼吁时，上主给以色列子民兴起了一个拯救他们的救星，即加肋布的弟弟刻纳次的儿子敖特尼耳。
3.10	上主的神降在他身上，他作了以色列的民长，出去作战；上主把厄东王雇商黎沙塔殷交在他手中，他的能力胜过了雇商黎沙塔殷。
3.11	于是四境平安了四十年。 
	
3.12t	厄胡得民长
	
	
	
3.12	刻纳次的儿子敖特尼耳去世后，以色列子民又行了上主视为恶的事，上主就强化摩阿布王厄革隆去打以色列，因为他们行了上主视为恶的事。
3.13	他联合了阿孟子民和阿玛肋克人，前来击败以色列，占据了棕树城；
3.14	以色列遂服事了摩阿布王厄革隆十八年。
3.15	当以色列子民向上主呼吁时，上主给他们兴起了一位拯救者，就是本雅明人革辣的儿子厄胡得，他是左右手能兼用的人；以色列子民便派他给摩阿布王厄革隆献贡物。
3.16	厄胡得预备了一把一肘长的双刃刀，插在右腿衣服底下，
3.17	来到摩阿布王厄革隆前献贡物──厄革隆原是极肥胖的人。
3.18	献完贡物以后，就把抬贡物的人打发走，
3.19	自己却由基耳加耳柱像那里退回，说：「王呀! 我有机密事要对你说。」王说：「退下! 」于是侍立左右的人都退去。
3.20	厄胡得来到他跟前，他正独自坐在凉台上的房子里；厄胡得说：「我有神谕告诉你! 」王就从自己的座位上起立；
3.21	厄胡得遂伸左手从右腿上拔出刀来，刺入他的腹部，
3.22	柄和刀都刺了进去，脂肪遂包住了刀子，他没有从肚子里把刀抽出来；
3.23	厄胡得出来到了走廊，把凉台上的门关上，上了锁。
3.24	他出去之后，王臣前来，看见凉台的房门关著，就说：「他一定在凉台上的内室里便溺。」
3.25	待他们等烦了，看见没有人来开凉台上的门，他们就拿钥匙把门开了，见他们的主子躺在地上死了。
3.26	在他们犹豫的时候，厄胡得已经逃走，绕过柱像，而逃往色依辣。
3.27	他到了那里，就在厄弗辣因山地吹号角，以色列子民就同他由山地下来，他在他们前面，
3.28	对他们说：「你们紧跟著我，因为上主把你们的仇敌摩阿布人已交于你们手中! 」他们遂跟他下去，占据了摩阿布对面的约但河渡口，不许一人渡过。
3.29	就在那个时候，他们击杀了摩阿布人约有一万，都是壮丁和兵士，没有一个人逃脱。
3.30	从那天起，摩阿布驱服于以色列手下；境内平安了十八年。 
	
3.31t	沙默加尔民长
	
3.31	在他以后，有阿纳特的儿子沙默加尔，他以赶牛棒击杀了六百培肋舍人，拯救了以色列。 
	
4.0t	第四章
	
4.1t	德波辣民长
	
4.1	厄胡得死后，以色列子民又行了上主视为恶的事。
4.2	因此上主将他们交在客纳罕王雅宾手中，他当时在哈祚尔为王，他的军长息色辣驻扎在哈洛舍特哥因。
4.3	因为雅宾王有九百辆铁甲车，极力压迫以色列子民已有二十年之久，以色列子民遂呼吁上主。
4.4	当时有一位女先知德波辣是拉丕多特的妻子，作以色列的民长。
4.5	她常坐在厄弗辣因山地、辣玛和贝特耳中间那棵德波辣棕树下，以色列子民都到她那里去听判断。
4.6	她打发人从纳斐塔里刻德士把阿彼诺罕的儿子巴辣克叫来，对他说：「这是上主以色列的天主的命令：你要从纳斐塔里和则步隆子孙中，率领一万人向大博尔山进发：
4.7	我要引领雅宾的将军息色辣和他的车辆军队到克雄河畔，到你跟前来，把他交在你手中。」
4.8	巴辣克对她说：「你若同我去，我就去；你若不同我去，我就不去。」
4.9	她回答说：「我一定同你去，但是你此行并无光荣，因为上主要把息色辣交在一个女子手中。」于是德波辣起身同巴辣克往刻德士去了。
4.10	巴辣克召集则步隆和纳斐塔里的子孙到刻德士去，跟他上去的有一万人，德波辣也同他上去了。 
	
4.11t	息色辣败北
	
4.11	那时刻尼人赫贝尔离开别的刻尼人，离开梅瑟的姻亲曷巴布的子孙，在刻德士附近的匝阿纳宁橡树旁支搭了帐幕。
4.12	有人报告息色辣；阿彼诺罕的儿子巴辣克已上了大博尔山。
4.13	息色辣遂召集了他所有的车辆，即那九百辆铁甲车，和随从他的全军，从哈洛舍特哥因出来。到了克雄河畔。
4.14	德波辣对巴辣克说：「起来! 因为今天上主已把息色辣交在你手中。上主不是走在你前面吗？」于是巴辣克从大博尔山下来，那一万人跟在他后面。
4.15	当时上主用利剑在巴辣克前面扰乱了息色辣和他的车辆以及他的军队，息色辣下车，徒步逃跑了。
4.16	巴辣克就追赶车辆和军队，直追到哈洛舍特哥因；息色辣的全军都丧身刀下，一个也没有剩下。 
	
4.17t	息色辣死
	
4.17	息色辣徒步逃到刻尼人赫贝尔的妻子雅厄耳的帐幕那里，因为哈祚尔王雅宾和刻尼人赫贝尔的家族相安无事。
4.18	雅厄耳出来迎接息色辣，向他说：「我主! 请你躲起来，躲在我这里，不必害怕! 」他就躲在她的帐幕里；雅厄耳就用毯子盖住他。
4.19	息色辣对她说：「请给我一点水喝! 因为我渴了。」她就打开皮囊给他奶喝，然后又盖住他。
4.20	息色辣又向她说：「你站在帐幕门口，若有人来问你说：这里有人吗？你就回答说：没有。」
4.21	那时赫贝尔的妻子雅厄耳取了一根帐棚上的木橛，手里拿著锤子，悄悄走到息色辣前，把木橛钉在他的太阳穴里，一直钉到地上；那时他正疲乏熟睡，就这样死去。
4.22	那时巴辣克正在追赶息色辣，雅厄耳出来迎接他，对他说：「来! 我给你看看你所追寻的人。」他来到她那里，看，息色辣已躺在那里死了! 木橛在他的太阳穴中。
4.23	这样，那一天天主在以色列子民面前制伏了客纳罕王雅宾。
4.24	以色列子民的力量日渐强大，超过了客纳罕王雅宾，直到将他消灭。
	
5.0t	第五章
	
5.1t	德波辣的凯旋歌
	
5.1	那一天德波辣和阿彼诺罕的儿子巴辣客作歌说：
5.2	「为了以色列中间有指挥的元帅，为了百姓自愿从军，你们应祝颂上主!
5.3	"诸民，请听! 君王, 请听! 诸侯，侧耳! 对上主我要歌唱，要赞颂上主以色列的天主!"
5.4	上主，当你由色依尔出征时，当你由厄东地前进时，天摇地动，密云滴雨。
5.5	山岳摇摇欲坠，在上主前，在上主以色列的天主前。 
	
5.6t	以色列受压迫
	
5.6	阿纳特之子沙默加尔年间，在为奴的当时，商队敛迹，行人转向弯曲的陌径。
5.7	威力在以色列消逝了，消逝了! 直到我德波辣崛起，直到以色列的母亲兴起。
5.8	以色列选择了新神，战争即临门下。四万以色列人中，不见一面盾牌，一支长矛。 
	
5.9t	胜利的庆祝
	
5.9	我的心灵向往以色列的首领，向往百姓中自愿从军者。请你们祝颂上主!
5.10	骑白驴的，坐华毡的，和过路行人，你们都要歌唱，
5.11	加入水泉间缭绕的歌声! 那里正在歌颂上主的胜利，歌颂他统治以色列的胜利。上主的百姓，速下到城门口!
5.12	奋发呀! 奋发，德波辣! 奋发呀! 奋发，请歌唱! 奋勇，起来，巴辣克! 阿彼诺罕的儿子! 擒住你的俘虏! 
	
5.13t	战友
	
5.13	英雄的后裔，请出征! 上主的百姓，请随勇士为我出征!
5.14	厄弗辣因盘据在山谷中，本雅明随你加入了行列；领袖由玛基尔进军，手执权杖的由则步隆出发。
5.15	依撒加尔的首领与德波辣和巴辣克相偕；巴辣克在山谷中率领自己的步兵袭敌。勒乌本境内，大有运筹帷幄之士!
5.16	为什么你坐在羊圈内，静听牧童的笛声？勒乌本境内，都是犹豫满怀的人。
5.17	基肋阿得在约但河东安居；丹人为什么寄居船上？阿协尔在海岸静坐，在港口悠闲；
5.18	则步隆是好冒死舍命的子民，纳斐塔里在高原上奋不顾身。 
	
5.19t	交战
	
5.19	君王齐来战斗，客纳罕众王鏖战，在默基多水傍──塔纳客，未曾掠去一个银钱。
5.20	星辰由天上参战，自其轨道与息色辣交锋。
5.21	克雄河的急流将仇敌冲没。我的心灵，勇敢践踏罢!
5.22	勇士急奔飞腾，马蹄挞挞作响。 
	
5.23t	雅厄耳计杀息色辣
	
5.23	诅咒默洛次，诅咒其中的居民，因他未率领勇士来协助上主!
5.24	雅厄耳，在女子中是可赞美的! 在居于帐棚的女子中是可赞美的!
5.25	他求水，她给了奶，以珍贵的杯盘呈上了乳酪。
5.26	她左手拿著橛子，右手拿著匠人的锤子，打击了息色辣，打穿了他的头颅，击穿了他的太阳穴。
5.27	在她脚前屈身仆倒，深深入睡，昏迷至死；在她脚前屈身仆倒，蜷伏在那里，僵卧在那里。
5.28	息色辣的母亲自窗口探望，在铁棂中长叹：战车为什么迟迟不来？车辆为什么缓缓而行？
5.29	聪明的宫女作了回答，自己心中亦反复思想：
5.30	或者获得掠物而在分赃，每人分得一二少女；息色辣取得彩衣为掠物，为我的颈项，获得锦绣彩衣。 
	
5.31t	结论
	
5.31	上主! 愿你的敌人如此灭亡，愿爱你的人像兴起的旭日。」境内于是平安了四十年。
	
6.0t	第六章
	
6.1t	米德杨的迫害
	
6.1	以色列的子民又行了上主视为恶的事，上主把他们交于米德杨人手中七年之久。
6.2	米德杨人的势力胜过了以色列，以色列子民为了防御米德杨人，修筑了山洞、地洞和山寨。
6.3	每逢以色列人撒种之后，米德杨人、阿玛肋克人和东方子民就上来攻打他们；
6.4	对著他们扎营，毁坏地产直到迦萨一带，没有给以色列留下一点食粮，连羊、牛、驴也没有留下；
6.5	因为他们总是带著家畜和帐棚上来，多如蝗虫；他们来的人和骆驼多得无数，踏入境内，毁坏田地。
6.6	以色列为了米德杨人的原故，很是穷困，因此以色列子民呼吁了上主。
6.7	当以色列子民为了米德杨的原故，呼吁上主时，
6.8	上主就派了一位先知到以色列子民那里，对他们说：「上主以色列的天主这样说：是我使你们由埃及上来，领你们离开了为奴之家；
6.9	是我从埃及人的手中，从一切压迫你们的人手中救出你们来；是我从你们面前把他们赶走，把他们的地赐给你们。
6.10	我曾对你们说过：我是上主你们的天主，你们在阿摩黎地方，切不可敬畏他们的神! 但是你们没有听从我的话。」 
	
6.11t	基德红被召
	
6.11	上主的使者来到，坐在敖弗辣的一棵属于阿彼厄则尔人约阿士的笃耨树下，当时他的儿子基德红正在酿酒池里打麦子，躲避米德杨人。
6.12	上主的使者显现给他，对他说：「英勇的壮士，愿上主与你同在! 」
6.13	基德红回答他说：「我主，请原谅! 如果上主与我们同在，我们怎会遭遇这些困难？我祖先给我们所讲过的那一切奇事，如今在那里? 他们曾向我们说过：看，是上主领我们出离埃及，但是现在上主抛弃了我们，将我们交在米德杨人的掌握中。」
6.14	上主注视他说：「凭你这种力量，你去拯救以色列脱离米德杨人的掌握。看，是我派遣你。」
6.15	他回答说：「我主，请原谅! 我凭什么拯救以色列？看，我家在默纳协支派中是最卑微的，我在我父亲家中又是最小的一个。」
6.16	上主对他说：「有我与你同在，你必击败米德杨人，如击一个人一样。」
6.17	基德红又向他说：「我若在你面前蒙恩，请你给我一个记号，证明与我说话的是你。
6.18	请你不要离开此地，等我回到你这里，带来礼物，摆在你前。」他答应说：「我等你回来。」
6.19	基德红就去预备了一只小公山羊，又用一「厄法」麦粉作了无酵饼，把肉放在筐里，把汤盛在罐里，带到笃耨树下献给他。
6.20	天主的使者对他说：「拿出肉和无酵饼来，放在这磐石上，把汤倒出来! 」他就照样作了。
6.21	上主的使者遂伸出手中的棍杖，杖头一触及肉和无酵饼，磐石便起火，把肉和无酵饼吞噬了；上主的使者便从他眼前隐没了。
6.22	基德红遂知道他是上主的使者说：「哎呀！我主上主，我竟然面对面地看见上主的使者！」
6.23	但上主对他说：「你放心! 不必害怕，你不会死!
6.24	基德红就在那里给上主立了一座祭坛，称为雅威沙隆；至今还在阿彼厄则耳人的敖弗辣那里。 
	
6.25t	德基红拆毁巴耳祭坛
	
6.25	当夜上主对他说：「取你父亲的一只牛，即那只七岁的肥牛，以后拆毁你父亲的巴耳祭坛，打碎旁边的阿舍辣；
6.26	给上主你的天主在这磐石顶上建一座祭坛，准备妥当，将那只肥牛献为全燔祭，用打碎的阿舍辣作木柴。」
6.27	基德红就从仆人中选出十个人，照上主吩咐他的作了；但因为害怕父亲的家人和城里的人，不敢在白天行事，就在黑夜作了。
6.28	城里的人早晨起来，看见巴耳的祭坛已毁，旁边所有的阿舍辣也被打碎，那只肥牛也献于新筑的祭坛上，
6.29	就彼此询问说：「谁作了这事？」经过考察追问之后，断定说：「必是约阿士的儿子基德红作了这事。」
6.30	因此本城的人对约阿士说：「将你的儿子交出来，将他处死! 因为他拆毁了巴耳的祭坛，打碎了旁边的阿舍辣。」
6.31	约阿士回答所有反对他的人说：「你们要为巴耳辩护么？或者你们要救助他吗？谁为他辩护，明天早晨便该处以死刑! 他如果是神，让他为自己辩护罢! 因为有人拆毁了他的祭坛。」
6.32	因此当天人就称基德红为「耶鲁巴耳，」好像说：「让巴耳与他争辩，因为基德红拆毁了他的祭坛。」 
	
6.33t	基德红求证
	
6.33	那时，米德杨、阿玛肋克和东方子民都聚集起来，过了河，在依次勒耳平原安了营。
6.34	上主的神充满了基德红，他一吹号角，阿彼厄则尔人便应召前来跟随他；
6.35	他又打发使者走遍默纳协，默纳协人也应召前来跟随他；他又打发使者往阿协尔、则步隆和纳斐塔里去，他们也都上来与他们会合。
6.36	基德红就对天主说：「如果你按你所说的，真要藉著我的手拯救以色列，
6.37	看我将剪下的一把羊毛放在禾场上，若露水单单落在羊毛上，而遍地都是乾的，那么我便晓得，如你所说的，你真要藉我的手拯救以色列。」
6.38	次日清早起来，果然如此，基德红把羊毛一拧，从羊毛里拧出一碗露水。
6.39	基德红又向天主说：「如果我再说一次，求你别对我发怒! 请让我用这羊毛再试一次：单单羊毛是乾的，而遍地都是露水。」
6.40	那一夜天主果然这样作了，单单羊毛是乾的，而遍地都是露水。
	
7.0t	第七章
	
7.1t	选拔三百战士
	
7.1	耶鲁巴耳即基德红和所有跟随他的民众一早起身，在哈洛得泉安营；米德杨的营幕就在他们北面，在摩勒山脚的平原里。
7.2	上主对基德红说：「跟随你的民众太多，我不能把米德杨交在他们手中，免得以色列对我自夸说：是自己的能力救了自己。
7.3	现在你要向民众宣告说：凡害怕恐惧的可以回去，急速离开这里。」于是民众中有二万二千回去，只剩下一万人。
7.4	上主又对基德红说：「民众还是太多；领他们下到水边去，我要在那里为你检验他们。凡我告诉你说：这人可同你去，他就与你同去；凡我告诉你说：这人不可同你去，他就不可去。」
7.5	他就引民众下到水边；上主向基德红说：「凡用舌头舔水像狗舔水似的，将他们安置在一处；同样，凡屈膝跪下饮水的，将他们安置在一处。」
7.6	用手捧到嘴边舔水的共有三百人；其余民众都是屈膝跪下喝水。
7.7	上主对基德红说：「我要用这三百舔水的人拯救你们，把米德杨交于你手中。让其余的民众各回本地去。」
7.8	基德红便留下民众的罐子和号角，打发众以色列人各回自己的帐幕，只留下三百人。米德杨的营幕就在他们下面的平原里。 
	
7.9t	基德红巧取米德杨营
	
7.9	当夜上主对他说：「起来，下去攻营! 我已将敌营交在你的手中了。
7.10	如果你一人害怕下去，可带你的随从普辣一起下到营幕，
7.11	听他们说什么；以后你的手就会坚强，敢下去攻营了。」于是他和他的随从普辣便下去，来到营中驻军的前哨。
7.12	那时米德杨、阿玛肋克和东方的子民都散布在平原里，多如蝗虫；他们的骆驼不可胜数，多如海边的沙粒。
7.13	基德红来到时，正有一个人给他的同伴讲梦说：「我作了一个梦：有一个大麦面饼滚入米德杨营内，直滚向帐幕，将帐幕撞倒：翻转朝上。」
7.14	他的同伴回答说：「这不是别的，这是以色列人约阿士的儿子基德红的刀剑；天主已把米德杨及其全营交于他手中。」
7.15	基德红一听见这梦的叙述和解释，就朝拜天主；然后回到以色列营中说：「起来! 因为上主已将米德杨的营幕交在你们手中了。」
7.16	他于是把三百人分作三队，把号角和空罐子交在每人手中，把火把放在罐子里；
7.17	然后吩咐他们说：「你们看我怎样行，你们便怎样行；一到营幕边上，我怎样作，你们也要怎样作。
7.18	当我与跟随我的人吹号角时，你们也应该在营幕四周吹号角，并且喊叫；为上主，为基德红! 」
7.19	在三更之初，当哨兵换防的时候，基德红领著他那一百人来到营幕边上，吹起号角来，打破手中的罐子。
7.20	同时三队一齐吹号角，打破罐子，左手拿著火把，右手拿著号角吹，并喊叫说：「刀剑为上主，为基德红! 」
7.21	众人都在营幕四周，各站在自己的地方。那时敌营惊醒，乱喊乱窜。
7.22	当那三百人吹号角的时候，上主使敌营互相撕杀。以后朝著责勒达逃往贝特史大，直到面对塔巴特的阿贝耳默曷拉。 
	
7.23t	米德杨惨败
	
7.23	那时以色列人从纳斐塔里、阿协尔和默纳协全地集合，追赶米德杨。
7.24	基德红又打发使者到全厄弗辣因山地说：「请下来攻打米德杨人，在他们前占据约但河的渡口，直到贝特巴辣。」全厄弗辣因人就集合，占据了约但河的渡口，一直到贝特巴辣。
7.25	他们捉住了米德杨的两个领袖，即敖勒布和则厄布，在敖勒布石上把敖勒布杀死，在则厄布□酒池里把则厄布杀死；以后继续追赶米德杨人，并把敖勒布和则厄布的头送到约但对岸基德红跟前。
	
8.0t	第八章
	
8.1t	基德红平息厄弗辣因的忿怒
	
8.1	那时厄弗辣因人对基德红说：「你去攻打米德杨时，没有召叫我们，你为什么这样对待我们？」他们激烈的与他争吵。
8.2	他回答他们说：「我所行的怎能比得上你们呢？厄弗辣因所拾的不比阿彼厄则尔所收的葡萄更好吗？
8.3	天主将米德杨的首领敖勒布和则厄布交在你们手中，我所能行的怎能与你们相比？」为了他这番话，他们对他的怒气，就平息了。 
	
8.4t	基德红乘胜追赶米德杨王
	
8.4	基德红来到约但河，就渡过河；他与跟随他的三百人，虽然都疲倦，仍继续追赶。
8.5	他向稣苛特人说：「请你们给跟随我的人几个饼吃，因为他们疲倦了，我还愿意追赶米德杨的两个王子则巴黑和匝耳慕纳。」
8.6	稣苛特人的头目回答说：「难道则巴黑和匝耳慕纳的手已在你的掌握中，我们就该把饼送给你的军队吗？」
8.7	基德红说：「好罢! 几时上主把则巴黑和匝耳慕纳交在我手中，我必要用茨条和荆棘鞭挞你们的身体。」
8.8	以后由那里上去，到了培奴耳，也向他们说了同样的话；培奴耳人回答他也像稣苛特人一样。
8.9	他也对培奴耳人说：「当我平安回来时，我必拆毁这座碉堡。」
8.10	那时则巴黑和匝耳慕纳正在卡尔科尔，他们的军队约有一万五千人，这是全部东方子民所剩下的军队，因为已有十二万持刀的被击毙了。
8.11	基德红从诺巴黑和约革波哈东面，顺著住帐棚人的路上去，当敌人自以为安全的时候，袭击了军营，
8.12	则巴黑和匝耳慕纳落荒而逃，基德红在后面追赶，捉住了那两个米德杨王子则巴黑和匝耳慕纳，并使全军覆没。
8.13	约阿士的儿子基德红，从战场沿赫勒斯斜坡回来，
8.14	捉住了稣苛特的少年人，查问他。这少年人就给他写下稣苛特的首领和长老的名字，共七十七人。
8.15	基德红遂往稣苛特人那里去说：「看! 这是则巴黑和匝耳慕纳，你们为了他们曾讥笑我说：难道则巴黑和匝耳慕纳的手已在你掌握中，我们就该把饼送给你疲倦的人吗？」
8.16	他于是捉住那城的长老，用旷野里的茨条和荆棘惩罚了稣苛特居民。
8.17	以后又把培奴耳的碉堡拆毁，杀戮了城内的居民。
8.18	然后询问则巴黑和匝耳慕纳说：「你们在大博尔山上杀戮的那些人是怎样的人呢？」他们答说：「他们像你们一样，个个都像君王的儿子。」
8.19	基德红说：「他们是我的兄弟，是我母亲的儿子：上主永在：如果你保留了他们不死，我也就不杀你们。」
8.20	他遂对自己的长子耶特尔说：「起来，杀死他们! 」但是这孩童害怕，拔不出刀来，因为年纪还小。
8.21	因此，则巴黑和匝耳慕纳说：「你亲自起来杀死我们罢! 因为人怎样，他的力量也怎样。」基德红就起来杀了则巴黑和匝耳慕纳，拿去他们骆驼颈上的月牙环。 
	
8.22t	基德红辞王位及其末年
	
8.22	事后，以色列人便对基德红说：「你既然从米德杨手中拯救了我们，请你和你的子孙作我们的君王! 」
8.23	基德红回答他们说：「我不作你的君王，我的子孙也不作你们的君王，唯有上主是你们的君王。」
8.24	基德红又向他们说：「我只向你们要求一件事：请将每人掠夺的金环给我。」原来依市玛耳人都有金环。
8.25	他们答说：「我们情愿给你。」于是铺开一件外衣，每人把所掠夺的金环掷在上面。
8.26	他所要的金环共有一千七百「协刻耳」重；此外尚有月牙环、耳环和米德杨王所穿的紫红衣，及他们骆驼颈上的项链。
8.27	基德红用这些金子造了一个「厄弗得」安置在他本城敖弗辣。以色列众人都到那里行邪淫，因此这个「厄弗得」便成了基德红及其家族的罗网。
