1.-1t	梅瑟第一篇演说(1 - 4:40)
2.4	你吩咐人民说：你们要经过你们的兄弟厄撒乌子孙所住的色依尔地区；他们必畏惧你们，但你们却应小心，
2.5	不要与他们挑战，因为他们的地，连脚掌那么大的一块地，我也没有给你们，因为我已将色依尔山地给了厄撒乌作产业。
2.6	你们应用钱向他们买粮吃，用钱向他们买水喝。
2.7	的确，上主你的天主祝福了你所作的一切，护卫你经过了这辽阔的旷野，这四十年来，上主你的天主常与你同在，使你什么也不曾缺少。」
2.8	于是我们绕过了我们的兄弟厄撒乌的子孙所住的色依尔，沿阿辣巴路到了厄拉特，和厄兹雍革贝尔，然后转向摩阿布旷野进发。
2.9	那时上主对我说：「不要扰乱摩阿布人，不要与他们挑战，他们的土地我一点也不会给你作产业，因为我已将阿尔给了罗特子孙作产业。 【
2.10	原先住在那里的，是强大众多，身材魁伟像阿纳克人的厄明民族。
2.11	他们像阿纳克人一样，也算是勒法因人，但摩阿布人却称他们为厄明人。
2.12	同样，在色依尔原先住有曷黎人；但厄撒乌的子孙侵占了他们的产业，消灭了他们，住在他们境内，就如以色列人对上主赐给他们作产业的土地所做的一样。】
2.13	你们现在起身，过则勒得溪。」我们就过了则勒得溪。
2.14	从离开卡德士巴尔乃亚到我们过了则勒得溪所用的时间，共计三十八年，直到能作战的那一代，照上主对他们所起的誓，由营中完全消灭。
2.15	实在是上主的手攻击了他们，使他们由营中完全消灭。
2.16	所有的战士由民中死尽以后，
2.17	上主吩咐我说：「
2.18	你今天路过摩阿布的领土，即阿尔，
2.19	就要面临阿孟子民；但不要扰乱他们，不要与他们挑战，阿孟子民的土地我一点也不会给你作产业，因为我已将这地给了罗特子孙作产业。 【
2.20	这地也算是勒法因人地，勒法因人先前住在那里，阿孟人称他们为「匝默组明。」
2.21	他们像阿纳克人一样，是强大众多，身材魁伟的民族；但上主却由阿孟人面前消灭了他们，使阿孟人占有他们的产业，住在他们境内，
2.22	正如上主为住在色依尔的厄撒乌子孙所做的一样：即由他们面前消灭了曷黎人，使厄撒乌的子孙占有他们的产业，住在他们的境内，直到今日。
2.23	同样，阿威人原先住在迦萨附近各村庄内，有加非托尔人由加非托尔来，将他们消灭，住在他们境内。】
2.24	你们起身出发，过阿尔农河。看，我已将阿摩黎人赫市朋王息红和他的土地交在你手中；进军占领，与他交战。
2.25	从今日起，我要使天下万民在你面前惊慌害怕，使他们一听见你的消息就战栗；一看见你的面目就发抖。」 
	
2.26t	征服息红王
	
2.26	我于是由刻德摩特旷野，派遣使者到赫市朋王息红那里，和平谈判说：
2.27	让我从你国内经过，我只走大道，不偏右也不偏左。
2.28	你按价钱卖给我粮吃，按价钱供给我水喝；只让我步行过去，──
2.29	如住在色依尔的厄撒乌子孙和住在阿尔的摩阿布人，对我所做的一样，──好使我过约但河，进入上主我们的天主赐给我们的地方。
2.30	但是赫市朋王息红，不肯让我们从他那里经过，因为上主你的天主使他顽固，使他心硬，好将他交在你手中，就如今日一样。
2.31	上主对我说：看我已将息红和他的土地交给了你，你应进军占领他的土地。」
2.32	那时息红和他所有的民众出来攻击我们，在雅哈兹与我们交战；
2.33	但上主我们的天主将他交给了我们，我们击杀了他，他的儿子和他所有的人民。
2.34	同时我们也占领了他所有的城邑，照毁灭律将全城破坏，不论男女或幼童，全都杀死，没有留下一个，
2.35	只留下了牲畜和由占领的城邑中所夺的财物，作我们的战利品。
2.36	由阿尔农谷边的阿洛厄尔和谷中的城直到基肋阿得，没有一座城不被我们攻下的，上主我们的天主将这一切全交给了我们，
2.37	只有阿孟子孙的土地，即雅波克河一带和山地的城邑，你没有进攻，全照上主我们的天主所吩咐的。
	
3.0t	第三章
	
3.1t	征服敖格王
	
3.1	然后我们转向巴商进发；巴商王敖格和他所有的民众出来攻击我们，在厄德勒与我们交战。
3.2	上主对我说：「你不要怕他，因为我已将他、他所有的民众和土地都交在你手中；你对待他，应如对待住在赫市朋的阿摩黎人王息红一样。」
3.3	上主我们的天主也将巴商王敖格，和他所有的民众交在我们的手中；我们击杀了他，一个也没有给他留下。
3.4	同时我们占领了他所有的城邑，没有一座城不为我们所占领；巴商王敖格的国土，阿尔哥布全地区共有六十座城邑，
3.5	都是些具有高阔的城墙，安门置闩，设防的城邑；此外尚有很多无围墙的村庄。
3.6	我们照毁灭律毁灭了这些城邑，有如对赫市朋王息红所做的一样，杀尽了各城中的男女和幼童，
3.7	只留下了牲畜和由占领的城中所夺的财物，作我们的战利品。
3.8	这样，我们在那时，由这两个阿摩黎人王的手中，夺得了约但河东岸的土地，自阿尔农河直到赫尔孟山。 【
3.9	漆冬人称赫尔孟为息尔翁；阿摩黎人则称之为色尼尔。】
3.10	即夺得了高原上所有的城邑，全基肋阿得和全巴商，直到撒耳加和厄德勒：这都是巴商王敖格国土内的城邑。 【
3.11	巴商王敖格是勒法因人遗族中仅存的人物；他的床是铁做的，以人肘为度，长九肘，宽四肘，尚存在阿孟子民的辣巴城里。】
3.12	我由我们那时所占领的土地中，将阿尔农河边的阿洛厄尔以北的地方，基肋阿得山地的一半和境内的城邑，给了勒乌本人和加得人；
3.13	基肋阿得其余的地方和全巴商，即敖格的国土给了默纳协半个支派。 【人称阿尔哥布全地区，即全巴商，为「勒法因人地。」
3.14	默纳协的儿子雅依尔，占领了阿尔哥布全地区，直到革叔尔人和玛阿加人的边界，遂按自己的名字称那地为「哈沃特雅依尔，」直到今日。】
3.15	我又将基肋阿得给了玛基尔。
3.16	由基肋阿得到阿尔农河，以河中心为边界，直到雅波克河，即阿孟人的边界，我将那一带地方给了勒乌本人和加得人；
3.17	还有阿辣巴荒野，以约但河为界，从基乃勒特直到阿辣巴海，即直到东面靠近丕斯加山坡的盐海一带地方。
3.18	那时我吩咐你们说：「上主你们的天主，将这地赐给了你们作产业，但你们所有战士，应武装起来，走在你们兄弟以色列子民前面，
3.19	只有你们的妇孺和牲畜，──我知道你们有很多牲畜──可留在我给你们的城内，
3.20	直到上主使你们的兄弟如你们一样有了安身之处，等他们也占领了，上主你们的天主赐给他们的约但河西的地方，那时你们各人才可回到我给你们为产业的地方。
3.21	同时我也吩咐若苏厄说：你亲眼看见了，上主你们的天主对这两个国王所做的一切；上主必同样对待你要过河去攻击的一切王国。
3.22	不要怕他们，因为上主你们的天主要替你们作战。」
3.23	那时我哀求天主说：「
3.24	我主，上主! 你已开始向你的仆人显示你的伟大和你有力的手臂，天上地下有那个神能作你所作的工作，行你所行的奇事？
3.25	求你让我过去，得见约但河西的肥美土地，那壮丽的山岭和黎巴嫩。」
3.26	但是上主为了你们的缘故对我发怒，没有俯听我，且对我说，「罢了! 不要对我再提这事。
3.27	你上丕斯加山顶去，举目向东西南北，好好观看，因为你不能过这约但河。
3.28	你应训示若苏厄，坚固他，鼓励他，因为他要率领这百姓过去，给他们分配你所观看的地方。」
3.29	那时我们住在贝特培敖尔对面的山谷中。
	
4.0t	第四章
	
4.1t	训民守法
	
4.1	以色列! 现在你要听我教训你们的法令和规律，尽力遵行：这样你们才能生活，才能进入占领，上主你们祖先的天主赐给你们的地方。
4.2	我吩咐你们的话，你们不可增删，而应全守我向你们所训示的，上主你们天主的诫命。
4.3	你们亲眼见了上主在巴耳培敖尔所做的事：凡随从巴耳培敖尔的人，上主你们的天主都由你们中间消灭了；
4.4	你们依附上主你们的天主的人，今日都还活著。
4.5	看，我授与你们法令和规律，都是上主我的天主吩咐与我的，好叫你们在你们要去占领的土地内，依照遵行。
4.6	你们要谨守遵行，因为这样，在万民眼中，才能显出你们的智慧和见识；他们一听到这一切法令说：「这实在是一个有智慧，有见识的大民族! 」
4.7	有那个大民族的神这样接近他们，如同上主我们的天主，在我们每次呼求他时，这样亲近我们呢？
4.8	又有那个大民族，有这样公正的法令和规律，如同我今天在你们面前，所颁布的这一切法律呢？
4.9	你应谨慎，加意留心，不要忘了你亲眼所见的奇事，终生日日不要让这些事远离你的心，并要将这一切传于你的子子孙孙。
4.10	当你在曷勒布，站在上主你的天主面前的那一天，上主曾对我说：「你给我召集民众，我要叫他们听清我的话，使他们在世有生之日，学习敬畏我，以此教训自己的子女。」
4.11	你们遂走上前来，站在山脚下，其时山上火焰冲天，且为黑暗和乌云笼罩著。
4.12	上主由火中对你们说话，你们听到说话的声音，却见不到什么形状，只有声音。
4.13	他将他的盟约，即那十条诫命，给你们宣布出来，吩咐你们遵守，又将这诫命写在两块石版上；
4.14	同时上主也吩咐我将法令和规律教训你们．叫你们在要去占领的土地内遵行。 
	
4.15t	禁拜偶像
	
4.15	你们应极其谨慎：因为上主你们的天主，在曷勒布由火中对你们说话的那天，你们既然没有见到什么形状，
4.16	那么，你们切不要堕落，为自己制造任何形状的神像，无论是男或者是女的形状，
4.17	或地上各种走兽的形状，或空中各类飞鸟的形状，
4.18	或地上任何爬虫的形状，或地下水里各种鱼类的形状。
4.19	当你举目望天，观看日月星辰，和天上的众星宿时，切不要为之勾引，而去敬拜事奉。那原是上主，你的天主分赐给普天下万民享用的；
4.20	至于你们，上主拣选了你们，将你们由铁炉中──埃及──领出来，作他特有的子民，就如今日一样。
4.21	可是，上主为了你们的缘故，对我发怒起誓，不让我过约但河，不许我进入，上主你的天主赐给你作产业的那肥美的土地；
4.22	我只有死在这地方，不得过约但河；你们都要过去，占领那肥美的土地为产业，
4.23	那么你们应谨慎，不要忘记上主你们的天主与你们所订立的盟约，不要制造任何形状的神像，有如上主你的天主所禁止的，
4.24	因为上主你的天主是吞噬的烈火，忌邪的天主。 
	
4.25t	警告未来
	
4.25	当你们生养了子孙，在那地住得久了，如果你们堕落下去，制造任何形状的偶像，行了上主你的天主眼中视为邪恶的事，惹他发怒，
4.26	我今天就指著上天下地对你们作证，你们必在过约但河后所占领的土地上迅速灭亡，决不会在那地长久生存，必全被消灭。
4.27	上主要将你们分散到万民之中，在上主领你们所到的外邦中，你们剩下的人，必为数不多。
4.28	在那里你们要事奉人手所制造的神，即各种看不见，听不见，不会吃，不能闻的木石神像。
4.29	你在那里必要寻求上主你的天主，只要你全心全灵寻求，你就可寻到他。
4.30	日后，当这些事都临于你，使你困恼时，你必回心归向上主你的天主，听从他的声音；
4.31	因为上主你的天主原是仁慈的天主，他不会舍弃你，不会毁灭你，也不会忘却他起誓与你祖先所立的盟约。
4.32	你且考察在你以前过去的世代，从天主在地上造了人以来，由天这边到天那边，是否有过像这样的大事，是否听过像这样的事？
4.33	是否有一民族，如同你一样，听到了天主由火中说话的声音，还仍然活著？
4.34	或者，是否有过一个神，以灾难、神迹、奇事、战争、强力的手、伸展的臂和可怕的威能，企图将某一民族由另一民族中领出来，如上主你们的天主在埃及于你们眼前，对你们所做的一切一样？
4.35	这一切只显示给你，是要你知道，只有上主是天主，除他以外再没有别的神。
4.36	他由天上使你听到他的声音，是为教训你；在地上使你见到他的烈火，叫你听到他由火中发出的言语。
4.37	他由于爱你的祖先，才拣选了他们的后裔，亲自以强力把你由埃及领出来，
4.38	由你面前赶走比你更大的民族，领你进入他们的国土，赐给你作为产业，就如今日一样。
4.39	所以今日你该知道，且要牢记在心：天上地下，只有上主是天主，再没有别的神。
4.40	你应遵守他的法令和诫命，就是我今日所训示与你的，好使你和你的后代子孙得享幸福，在上主你的天主永久赐给你的土地内，能以久住。」
	
4.-1t	梅瑟第二篇演说(4:41-26)
	
4.41t	河东三避难城
	
4.41	那时梅瑟在约但河东，向日出之地，划定了三座城，
4.42	使那素无仇恨而又无心杀死同胞的人，可逃到那里去避难；凡逃入其中的一座，就可获救。
4.43	为勒乌本人指定了位于旷野高原的贝责尔；为加得人指地了基肋阿得的辣摩特；为默纳协人指定了巴商的哥蓝。
4.44	这是梅瑟在以色列子民面前宣布的法律，
4.45	就是梅瑟在以色列子民出埃及后，对他们所发表的劝告、法令和规则。
4.46	地点是在约但河东，贝特培敖尔对面的山谷中，即在位于赫市朋的阿摩黎王息红的国土内。息红已为梅瑟和以色列子民由埃及出来后所杀，
4.47	他的土地为他们所占领，并且也占了巴商王敖格的土地。──这两个阿摩黎人王，住在约但河东，向日出之地，
4.48	从阿尔农河岸的阿洛厄尔，直到息尔翁山，即赫尔孟山，
4.49	连约但河东的全阿辣巴荒野在内，直到位于丕斯加山坡下的阿辣巴海。 
	
5.0t	第五章
	
5.1t	重申十诫
	
5.1	梅瑟召集了全以色列人，对他们说：「请听我今日向你们耳中所宣示的法令和规则，务要学习遵行。
5.2	上主我们的天主在曷勒布与我们立了约。
5.3	上主并不是与我们的祖先立了这约，而是与我们今日在这里尚生存的众人。
5.4	上主在山上，从火中面对面地与你们谈过话。
5.5	那时我站在上主和你们中间，给你们传达上主的话，因为你们一见火便害了怕，没有上到山上去。上主说：
5.6	「我是上主，你的天主，我曾领你离开埃及地，那为奴之家，
5.7	除我以外，你不可有别的神。
5.8	你不可为自己雕刻偶像，或制造任何上天下地，或地下水中所有各物的形像。
5.9	你不可叩拜，也不可事奉这样的偶像，因为我上主，你的天主是忌邪的天主。对于恨我的人，我必在子孙身上追罚他们祖先的罪恶，直到第三代，第四代；
5.10	对于爱我，守我诫命的人，我对他们施行仁慈，直到千代。
5.11	你不可妄呼上主，你天主的名，因为上主决不放过妄呼他名的人。
5.12	当照上主，你的天主吩咐的，遵守安息日，奉为圣日。
5.13	六天你当劳作，做你一切工作；
5.14	第七天是上主你天主的安息日，你和你的子女、仆婢、牛驴、你所有的牲畜，以及住在你城内的外方人，都不应做任何工作，好使你的仆婢能和你一样获得安息。
5.15	你应记得：你在埃及地也曾做过奴隶，上主你的天主以大能的手和伸展的臂，将你从那里领出来；为此，上主你的天主吩咐你守安息日。
5.16	应照上主你的天主吩咐你的，孝敬你的父母，好使你能享高寿，并在上主你的天主赐给你的土地内，获享幸福。
5.17	不可杀人。
5.18	不可奸淫。
5.19	不可偷盗。
5.20	不可作假见证害你的近人。
5.21	不可贪恋你近人的妻子；不可贪图你近人的房屋、田地、仆婢、牛驴，以及属于你近人的一切事物。」
5.22	这是上主在山上，由火中，由浓云黑暗里，大声对你们会众所说的话，再没有加添什么；并将这些话写在两块石版上，交给了我。 
	
5.23t	梅瑟作中保
	
5.23	当山上火焰四射，你们听到由黑暗中发出来的声音时，你们各支派的首领和长老，都来到我跟前，
5.24	说：「看，上主我们的天主，使我们看见了他的荣耀和伟大，我们也听见了他由火中发出的声音；今日我们见了天主与人说话，而人还能生存!
5.25	现在，我们为什么要冒死，为这大火所吞灭？如果我们继续听上主我们天主的声音，我们必死无疑。
5.26	因为凡有血肉的人，有谁如我们一样，听到永生的天主由火中说话的声音，而仍能生存呢？
5.27	请你近前去，聆听上主我们的天主所说的一切；然后你将上主我们的天主对你所说的话，转告给我们；我们必听从，也必遵行。」
5.28	你们对我所说的话，上主听见了；遂对我说：「我听见了这人民对你所说的话；他们所说的都对。
5.29	惟愿他们常存这样的心思，敬畏我，遵守我的一切诫命，好使他们和他们的子孙永享幸福。
5.30	你去对他们说：你们回到你们的帐幕内去。
5.31	但是，你应留在我这里，我要将一切诫命、法令和规则训示你，你再教训他们，好叫他们在我赐给他们作为产业的地上遵行。」
5.32	所以你们应完全照上主你们的天主所吩咐你们的行事，不可偏右偏左。
5.33	在一切事上，只应履行上主你们的天主给你们指定的道路，好使你们在你们要去占领的地方，得以生存、兴盛、长寿。
	
6.0t	第六章
	
6.1t	爱主为法律之本
	
6.1	以下是上主你们的天主吩咐我教给你们的诫命、法令和规则，叫你们在过河后去占领的地内遵行，
6.2	好使你和你的子子孙孙，终生日日敬畏上主你的天主，遵守我吩咐你的一切法令和诫命，使你获享长寿。
6.3	以色列! 你要听，且谨守遵行，好使你在流奶流蜜的地方，获得幸福，人数增多，如上主你祖先的天主所许给你的。
6.4	以色列! 你要听：上主我们的天主，是唯一的上主。
6.5	你当全心、全灵、全力，爱上主你的天主。
6.6	我今天吩咐你的这些话，你应牢记在心，
6.7	并将这些话灌输给你的子女。不论你住在家里，或在路上行走，或卧或立，常应讲论这些话；
6.8	又该系在你的手上，当作标记；悬在额上，当作徽号；
6.9	刻在你住宅的门框上和门扇上。
6.10	上主你的天主，几时领你进入他向你的祖先亚巴郎、依撒格和雅各伯起誓，要赐给你的地方，那里有高大壮观的城邑，而不是你所建造的；
6.11	有充满各样宝物的住宅，而不是你装满的；有蓄水池，而不是你挖掘的；有葡萄园和橄榄树林，而不是你栽植的；──当你吃饱时，
6.12	你应留心，不要忘了领你由埃及地，为奴之家，出来的上主。
6.13	你要敬畏上主你的天主，只事奉他，只以他的名起誓。
6.14	不可追随别的神，即你们四周民族的神，
6.15	因为在你中间的上主你的天主，是忌邪的天主，免得上主你的天主发怒，将你由地上消灭。
6.16	你们不可试探上主你们的天主，如同在玛撒试探了他一样。
6.17	应谨慎遵守上主你们天主所吩咐你的诫命、教训和法令。
6.18	应做上主眼中视为正义和美善的事，使你能获得幸福，能去占领上主誓许与你祖先的那块肥美的土地，
6.19	能由你面前驱逐你的一切仇敌，如上主所应许的。
6.20	假使日后你的儿子问你说：「上主我们的天主吩咐你们的这些教训、法令和规则，究竟有什么意思？」
6.21	你应对你的儿子说：我们曾在埃及作过法郎的奴隶，上主却以大能的手将我们由埃及领了出来。
6.22	上主在我们的眼前，对埃及，对法郎和他全家，行了轰轰烈烈的神迹和奇事；
6.23	将我们从那里领出来，领我们进入他誓许给我们的祖先，要赐给我们的土地。
6.24	那时，上主吩咐我们遵行这一切法令，为敬畏上主我们的天主，为使我们时时得享幸福，得保生命，就如今日一样。
6.25	我们在上主我们的天主面前，照他所吩咐我们的，谨慎遵行这一切诫命，就是我们的义德。
	
7.0t	第七章
	
7.1t	不可与外族同化
	
7.1	当上主你的天主领你进入你要去占领的地方，由你面前驱逐许多民族，即赫特人、基尔加士人、阿摩黎人、客纳罕人、培黎齐人、希威人和耶步斯人，那七个比你又多又强的民族时，
7.2	当上主你的天主将他们交给你，打败他们时，你应完全消灭他们，不可与他们立约，也不可恩待他们；
7.3	不可与他们通婚，不可将你的女儿嫁给他们的儿子，也不可为你的儿子娶他们的女儿；
7.4	因为他们必要使你们的子女远离我，而去事奉别的神，致使上主向你们大发忿怒，将你们迅速消灭。
7.5	你们应这样对待他们：拆毁他们的祭坛，打碎他们的石碣，砍倒他们的神柱，烧毁他们的雕像。
7.6	因为你是属于上主你天主的圣民，上主你的天主由地面上所有的民族中，拣选了你作自己特属的人民。
7.7	上主喜爱你们，拣选你们，并不是因为你们比其余的民族人数众多；其实你们在所有的民族中，是最少的一个；
7.8	而是由于上主对你们的爱，并为履行他向你们祖先所起的誓，上主才以大能的手解救你们，将你们由为奴之家，由埃及王法郎的手中救出来。
7.9	所以，你应知道，只有上主你的天主是天主，是对那爱他，遵守他诫命的人，守约施恩直到千代的忠信的天主；
7.10	但对那恨他的人，他必当面报复，将他消灭；对恨他的人，他决不迟延，必当面报复。
7.11	所以你要谨慎遵行我今天吩咐你的诫命、法令和规则。 
	
7.12t	守法的赏报
	
7.12	如果你们听从这些法令，谨守遵行，上主你的天主必照他向你祖先起的誓，对你守约施恩。
7.13	他必爱你，祝福你，增加你的人数；在向你的祖先起誓许给你的地上，祝福你身生的子女，你地内的出产、五谷、酒、油，以及牛羊的生产。
7.14	万民中你是最有福的；在你内没有不育的男女，牲畜中没有不生殖的雌雄。
7.15	上主必使一切疾病远离你；你所知道的埃及的各种恶疾，决不加在你身上，反而加在一切恨你的人身上。
7.16	凡上主你的天主交给你的民族，你都要消灭，不可怜视，也不可奉事他们的神，因为这是陷害你的罗网。
7.17	假如你心里想：这些民族比我人多，我怎能赶走他们？
7.18	你不要怕他们，只应记起上主你的天主对法郎和全埃及所做的事。
7.19	你亲眼见了上主你的天主为救你所用的大灾难、神迹、奇事、大能的手和伸展的臂；上主你的天主也必同样对待你所怕的一切民族。
7.20	此外，上主你的天主必打发黄蜂来攻击他们，直到那些残存和由你面前隐藏起来的人完全消灭为止。
7.21	在他们面前，你不应畏惧，因为在你中间有上主你的天主，大而可畏的天主。
7.22	上主你的天主必将这些民族由你面前渐渐驱逐；你不可将他们迅速消灭，免得野兽增多而于你不利。
7.23	上主你的天主必将他们交于你，使他们大起恐慌，直到他们全被消灭。
7.24	他必将他们的君王交在你手中，你必使他们的名由天下消灭；没有一人能对抗你，直到你将他们完全消灭。
7.25	你应将他们的神像，投在火中烧掉；不应贪图神像上的金银，而留为己有，免得陷于罗网，因为这于上主你的天主是可憎之物。
7.26	可憎之物，不可带进你屋内；免得你与那些东西一同毁灭；你应厌恶憎恨这一切，因为那是应毁灭之物。
	
8.0t	第八章
	
8.1t	应常怀念上主
	
8.1	我今日吩咐你的一切诫命，你们应谨守遵行，好使你们生存，人数增多，能去占领上主向你们的祖先所誓许的地方。
8.2	你当记念上主你的天主使你这四十年在旷野中所走的路程，是为磨难你，试探你，愿知道你的心怀，是否愿遵守他的诫命。
8.3	他磨难了你，使你感到饥饿，却以你和你祖先所不认识的「玛纳，」养育了你，叫你知道人生活不但靠食物，而且也靠上主口中所发的一切言语生活。
8.4	这四十年来，你身上的衣服没有穿破，你的脚也没有肿。
8.5	为此，你要明了：上主你的天主管教你，如人管教自己的儿子一样；
8.6	所以你当谨守上主你天主的诫命，遵行他的道路，敬畏他。
8.7	因为上主你的天主快要领你进入肥美的土地，那里有溪流，有泉水，有深渊之水由谷中和山中流出；
8.8	那地出产小麦、大麦、葡萄、无花果和石榴；那地出产橄榄、油和蜂蜜；
8.9	在那地你决不缺粮吃，在那里你将一无所缺；那地方的石头是铁，由山中可以采铜。
8.10	几时你吃饱了，应感谢上主你的天主，因为是他赐给你这样肥美的土地。
8.11	你应小心，别忘记上主你的天主，而不遵守我今天吩咐你的诫命、规则和法令。
8.12	当你吃饱了，建造了华美房屋居住，
8.13	牛群羊群加多，金银增加，你所有的一切都增加了，
8.14	你要小心，不要心高气傲，以致忘记了由埃及地，由为奴之家，领你出来的上主你的天主，
8.15	是他领你经过了辽阔可怖，有火蛇□子的旷野，经过了乾旱无水之地；是他使水由坚硬的磐石中为你流出，
8.16	是他在旷野内，以你祖先不认识的「玛纳」养育了你；他这样磨难你，试探你，终究是为使你获得幸福。
8.17	你心里不要想：「这是我的力量，我手臂的能力，给我造就了这样的财富。」
8.18	你应记得上主你的天主，因为是他赐给你得财富的能力，为实践他对你祖先起誓订立的盟约，就如今日一样。
8.19	如果你真忘记了上主你的天主，而随从别的神，奉事敬拜他们，我今日对你们作证：你们必要灭亡，
8.20	上主怎样由你们面前毁灭了那些民族，你们也要怎样遭受毁灭，因为你们没有听从上主你们天主的声音。
	
9.0t	第九章
	
9.1t	胜利来自上主
	
9.1	以色列，请听! 你今天就要过约但河，去征服比你强大的民族，广大的城邑和高可摩天的要塞。
9.2	那高大的民族，即阿纳克的子孙，是你所知道的，论到他们，你曾听说过：「谁能抵抗阿纳克的子孙？」
