1.-2t	玛加伯下
1.25	惟有你好施舍，惟有你是公义、全能和永恒的！是你从一切患难中拯救了以色列，是你选择了我们的祖先，圣化了他们。
1.26	求你收纳你全以色列人所奉献的祭献，保存和祝圣你的产业！
1.27	求你把我们四散漂流的人聚集起来，使那些在异民中的奴隶重获自由，眷顾那些被人轻视和憎恶的，使外方人知道你是我们的天主！
1.28	求你惩罚那些欺压和傲慢侮辱我们的人！
1.29	求你按梅瑟的话，将你的百姓栽植在你的圣地里！」
1.30	接着，司祭们轮流歌唱圣咏。
1.31	祭品焚烧完毕，乃赫米雅就下令把剩下的液体倒在大石上，
1.32	刚一倒下，便立刻发出火焰，而这火焰被祭坛上发出来的火光吸收了。
1.33	这事一传出去，就有人报告波斯王说，在被俘的司祭们藏火的地方发现了液体，乃赫米雅和他的同伴用这液体圣洁了祭品。
1.34	这事证实以后王命人将那地方修上围墙，视为圣地。
1.35	王遂与得他欢心的人彼此馈送礼物。
1.36	乃赫米雅和他的同伴称这液体为「乃弗塔尔，」即洁净之意，可是人多称之为「乃弗泰。」
	
	
2.0t	第二章(32)
	
2.1t	约柜藏匿与降火奇迹
2.1	文献上记载：耶肋米亚先知曾命令充军的人，如上面所说的，携带着圣火;
2.2	并且也记载着：先知曾给他们一部法律，使他们不要忘记天主的诫命，也不要因为看见一些金银的偶像和偶像身上的装饰，就神志昏迷；
2.3	并且还用其他类似的言词，劝勉他们不要让自己的心远离法律。
2.4	在文献上又记载着：当先知登上梅瑟为观望天主的产业所上过的山时，受天主的劝告，命他带着会幕和约柜上去。
2.5	耶肋米亚到了那里，看见一个大洞，就把会幕、约柜以及焚香坛放在里面，然后堵上洞门。
2.6	后有几个同来的伴侣折回去，沿路作上记号，可是没有再找到。
2.7	耶肋米亚知道了这事，就责斥他们说：这地方不可叫任何人知道；等到天主施行仁慈，再把百姓集合起来的时候，
2.8	天主才能指示这一些东西的所在；那时上空的荣耀和云彩将再出现，象梅瑟的时候，又象撒罗满为使圣殿受圣祈祷的时候出现的一样。
2.9	又记载这位智慧者，如何奉献了圣殿祝圣和落成的祭献。
2.10	当撒罗满祈祷时，有火降下，焚烧了全燔祭品，就如从前梅瑟祈祷上主时，有火从天降下焚烧了祭品一样。
2.11	梅瑟说：人不能吃赎罪祭品，应当把它焚毁。
2.12	撒罗满也同样举行了八天的庆祝。
	
2.13t	经书的搜集与保存
2.13	此外，在史记上和乃赫米雅的回忆录上都有同样的记载；而且还记载乃赫米雅怎样建立了图书馆，怎样搜集了列王、众先知和达味的书籍，以及诸王有关馈赠的书札等事。
2.14	同样，犹大也把因我们所遭遇的战祸，而散失了的一切文献搜集起来。这些文献现在存在我们这里。
2.15	若你们需要的话，请你们打发人来取。
2.16	因为我们正要举行洁殿礼，所以才给你们写信，请你们也好好地过这些日子。
2.17	天主既然拯救了自己的全体百姓，又把产业、国家、司祭职和祝圣礼交给了自己所有的人，
2.18	正如他在法律书上所预许的。希望天主快快怜悯我们，从天下各处把我们聚集到圣所里，因为他已从大患难中拯救了我们，洁净了圣所。」
	
2.19t	下卷序言
2.19	关于犹大玛加伯和他的兄弟所作的一切，他怎样清洁了伟大的圣殿，怎样祝圣了祭坛，
2.20	怎样与安提约古厄丕法乃及他的儿子欧帕托尔作战，
2.21	怎样天主从天显现，援助了那些勇敢为犹太教作战的人，致使少数的人能克服全境，驱逐野蛮的大军；
2.22	又怎样天主大慈大悲地怜悯了他们，使他们收回了举世闻名的圣殿，恢复了京城的自由，重整了快要废弃的法律等等事项，
2.23	基勒乃人雅松共写了五卷，我们现在要把这五卷缩为一卷。
2.24	我们有见于数字的混乱，以及有心研究历史的人因材料繁杂所遭遇的困难，
2.25	就设法缩短，使喜爱阅读的人得到愉快，使爱好背诵史事的人易于牢记，使一般手执这书的读者，获得神益。
2.26	从事这项摘要的工作，为我们并不是一件容易的事，而是一项使人流汗和失眠的工作，
2.27	并不比准备筵席的人，想使众客都称心，更容易；但我们为了为大众服务，才欣然担负起这项艰苦的工作。
2.28	让历史家对每一件事去作详细的分析，这里我们只持守撰写撮要的规律。
2.29	就如建筑新房的工程师，只注意建筑的大体，而负责镶嵌和绘壁的技师，该设法使各项装饰恰到好处；我想为我们也就是如此。
2.30	至于精研深究，详述一切史事，和苦心的考查，那是历史家的任务；
2.31	言简意赅，删除繁冗，这才是写撮要者的本意。
2.32	现在我们就开始叙述，对以上说的不再加添，因为若是写历史撮要，而在前面作冗长的序言，这未免太可笑了！
	
	
	
3.-1t	前编争取宗教自由的战争(3:1-10:9)
	
3.0t	第三章(40)
	
3.1t	没收圣殿财宝的企图
3.1	敖尼雅作大司祭的时候，因他的热诚和嫉恶的心，圣城安享太平，人民无不奉公守法，
3.2	各国君王都尊敬圣所，馈赠珍贵礼品，增添圣殿的光荣；
3.3	连亚细亚王色娄苛也以私人的进项，来供给献祭时所需要的一切费用。
3.4	但是，有一个彼耳加族的息孟，本是圣殿的管理员，为了管理市场的事，与大司祭发生了冲突。
3.5	他既不能制胜敖尼雅，便投奔到塔尔索人阿颇罗尼那里，当时他正是切肋叙利亚和腓尼基的总督。
3.6	息盂便向他述说耶路撒冷宝库的财宝富不可言，进款多得无法统计，这一切与祭献的费用毫无关系，所以可收归王有。
3.7	阿颇罗尼朝觐的时候，便把别人给他述说的这项财宝告诉了国王；王遂选派总理大臣赫略多洛，奉命去没收上述的钱财。
3.8	赫略多洛便立时起程，名义上是为视察切肋叙利亚和腓尼基的各城市，其实是为执行国王的计划。
3.9	他到了耶路撒冷，受到大司祭和全城的欢迎，以后便说明他所得到的消息，并说明来意，继而询问这些事是否属实。
3.10	大司祭声明说：库内的存款，都是寡妇孤儿所寄存的；
3.11	还有一部分是位高望重的托彼雅的后裔依尔卡诺所寄存的；至于全库的财宝，并没有象邪恶的息孟传报的那样多，只有银子四百「塔冷通」金子二百「塔冷通罢了。」
3.12	此外，使那些信赖圣所神圣的人受剥削，使这举世所敬仰的圣殿，与其神圣不可侵犯的尊严受到侮辱，是万万不可的。
3.13	但是赫略多洛因为受了王命，坚决主张应将这些财宝收归国库。
3.14	赫略多洛便于指定的日子进去清查这些宝物。这使全城大感忧伤。
3.15	众司祭都穿上司祭祭服，俯伏在祭台前呼号上天，求存款的立法者，替那些存款的人安全保护这批财宝。
3.16	凡看见大司祭面容的人，没有不心中悲伤的，因为他的神气和他面色的改变，都明显他心灵上的痛苦。
3.17	他惊惶失措与全身战栗的态度，使人见了就明了他内心的忧伤。
3.18	居民都成群结队的从房屋涌出。共同祈祷。因为圣所快要遭受污辱。
3.19	妇女都苦带束胸，塞满了街道。连深居不出的处女。也有的跑到门口，有的爬上墙头，有的从窗卢向外观望；
3.20	大家都向上天举起双手哀祷。
3.21	看见群众一起伏地哀求，与大司祭的焦心不安，委实令人可怜。
3.22	正当人民呼求全能的天主，保护存款的人所寄存的财宝绝对安全时，
3.23	赫略多洛就来执行他所决定的事。
	
3.24t	赫略多洛遭显罚
3.24	当他与卫兵走近宝库的时候，众神和全能的主忽然大显异象，使那些擅入圣殿的人受到天主威能的打击，惊惶失措，不省人事，
3.25	因为在他们眼前出现了一匹配备华丽的骏马，上面骑着一位威严可怕的骑士，疾驰冲来，前蹄乱踏赫略多洛，骑马的人身穿金黄的铠甲；
3.26	同时又出现了两位英勇的少年，光荣体面，穿戴华丽，立在赫略多洛的两旁，鞭打不停，使他身受重伤。
3.27	赫略多洛忽然倒在地上昏迷不省。人将他扶起，放在床上，
3.28	这即是方才带着大批侍从和卫士来到宝库的人，现在却无能为力，为人抬出，公然承认了这是天主的大能。
3.29	正当这人受天主大能的打击，哑口失声，绝望无救的时候，
3.30	犹太人却同声赞颂上主，因为上主光荣了自己的圣所；方才还充满着恐怖惊慌的圣殿，如今却因全能上主的显现，充满了欢欣喜乐。
3.31	赫略多洛的同僚便急忙恳请敖尼雅哀求至高者，使这奄奄待毙的人重获生命。
3.32	大司祭害怕国王怀疑犹太人对赫略多洛下了毒手，所以就为这人献祭祈求痊愈。
3.33	当大司祭奉献赎罪祭时，那两位少年又显现给赫略多洛，他们仍穿着同样的服装，站在他跟前说：「你应多谢大司祭敖尼雅，因为上主为了他才赏你活命。
3.34	你这被上天鞭打的人该向一切人宣扬天主的大能。」他们说完这话，就不见了。
3.35	于是赫略多洛向上主献了牺牲，且向保全自己生命的上主许下大愿，和颜悦色地辞别敖尼雅，以后便率领部下回到国王那里。
3.36	他并向一切人作证，他亲眼见了伟大的天主的作为。
3.37	国王问赫略多洛，下次派遣谁去耶路撒冷更相宜呢？他回答说：
3.38	「你若有仇人或叛国之徒，可以派他到那里去，即使他能逃生，也必饱受一顿毒打，才能回来见你；那里确实有天主的能力，
3.39	因为那住在天上的是那地方的看守者和保护者，故此，凡存恶意去的，必遭受痛打和杀害。」
3.40	关于赫略多洛及保护圣库的事就是如此。
	
	
4.0t	第四章(50)
	
4.1t	敖尼雅去觐见国王
4.1	上面记载的那位密告财宝，出卖祖国的息孟，今又毁谤敖尼雅，说他是陷害赫略多洛和一切凶祸的主谋。
4.2	他竟将这位造福本城，善理同胞，忠诚守法的人说成一个阴谋叛徒。
4.3	这仇恨是如此深刻，甚至有些人为息孟的心腹所杀。
4.4	敖尼雅见到这斗争的危险性，而且又见到默乃斯太的儿子即切肋叙利亚和腓尼基的总督阿颇罗尼，助长息孟为恶，
4.5	便去觐见国王；他去并不是为控告自己的同胞，而是为了人民的公私利益，
4.6	因为他看得很清楚：若没有国王的调停，要使问题和平解决，和使息孟停止妄行，是不可能的。
	
4.7t	雅松夺取大司祭职位
4.7	但是，色娄苛死后，号称厄丕法乃的安提约古继位称王。此时，敖尼雅的弟弟雅松用非法手段，夺取了大司祭的职位。
4.8	当他朝见国王时，许给国王二百六十「塔冷通」银子，和其他进项中的八十「塔冷通」；
4.9	此外，如果国王准许他用王的权势修建一座体育场和一处青年训练所，并把耶路撒冷人登记为安提约基雅的公民，他就许下另缴一百五十「塔冷通」。
4.10	国王一一应允了。雅松既然得势，立刻使本国人民希腊化，
4.11	并且把诸王因欧颇肋摩的父亲若望而赐予犹太人的特权取消，这欧颇肋摩就是日后出使与罗马人缔结友好盟约的大使----把合法的制度废除，而倡导违法的新风俗。
4.12	他故意在城堡下建筑了运动场，引领贵族少年受体育训练。
4.13	因了这邪恶而非大司祭的雅松的过度狂妄，希腊文化和外方风俗达到了极点，
4.14	以致司祭们对祭献的礼仪已不感兴趣，甚至轻慢圣殿，忽略祭献，一听到掷铁饼的讯号，就急忙跑去参加运动场上的违法运动。
4.15	他们毫不尊重本国的尊严，一心崇拜希腊的光荣。
4.16	正是为这些缘故，他们日后陷于恶劣的环境，那些推崇其生活方式和事事取法他们的人，日后反成了他们的仇敌和惩治者，
4.17	因为背弃天主的法律并不是一件小事：这由下面的事实可以证明。
4.18	在提洛举行五年一次的运动大会的时候，国王也亲自到场，
4.19	无廉耻的雅松派了几个入安提约基雅籍的人，代表耶路撒冷去作观察员，又叫他们带三百银钱去祭祀赫辣克肋神。但是带钱的人以为用这些钱购办祭物不甚相宜，所以留下作了别的费用。
4.20	虽然按主使者的意思，这钱是为祭把赫辣克肋用的，带钱的人却用来建造了三层桨的战船。
4.21	当安提约古打发默乃斯太的儿子阿颇罗尼去埃及，参与非罗默托王登极的盛典时，知道了埃及王是他的政敌，所以为自卫起见，就去了约培，然后来到了耶路撒冷。
4.22	安提约古受到雅松及全国人民的热烈欢迎，在火炬欢呼中进了城。随后他又领兵到了腓尼基。
	
4.23t	雅松被推翻
4.23	三年以后，雅松打发上述息孟的兄弟默乃劳把钱送交国王，并请王解决备忘录上的几件重要事项。
4.24	默乃劳先使人在国王跟前推荐自己，后又奉承他，自装有权势，又许给他比雅松还多的三百「塔冷通」，于是获得大司祭的职位。
4.25	他领到国王的委任状就回到耶路撒冷。但他绝不相称大司祭的职位，暴燥如虐王，狂怒似野兽。
4.26	如此，以前曾推翻自己哥哥的雅松，今也被人推翻，被迫逃到阿孟人的地方去。
4.27	默乃劳固然得到高位，但许给国王的钱却未缴纳，
4.28	城堡的司令兼主管税务的索斯塔托却不断催他缴纳，于是二人同被国王传召。
4.29	默乃劳便委托自己的兄弟里息玛苛代理大同祭的职务，索斯塔托委托塞浦路斯的军官克辣特代理。
4.30	正当此时，塔尔索和玛罗两城的人民，因为国王把他们这两座城当作礼品，送给自己的嫔妃安提约基，而群起叛乱。
4.31	国王急速去平乱，委托他的大官安多尼苛为代理。
4.32	默乃劳乘此良机，由圣殿中偷去一些金器送给安多尼苛，也把一些金器卖给提洛和其附近的城邑。
4.33	"此时隐退到安提约基雅附近的达夫乃避难所去的敖尼雅，听到这些确实消息，就责斥默乃劳,"
4.34	因此他把安多尼苛叫到一边，煽动他去杀敖尼雅。安多尼苛来到敖尼雅那里，伸出右手假装向他起誓，使他相信。敖尼雅虽然犹豫，仍相信了，遂从避难所走出。安多尼苛竟然不顾道义，就地杀了他。
4.35	为此不但犹太人，连别的许多外方人对屈杀这人，都忿忿不平，怀恨在心。
4.36	及至国王从基里基雅回来，京城的犹太人连一些同样怀恨这残暴恶行的希腊人，都来到王前，控诉敖尼雅死得冤枉。
4.37	安提约古心中也很难受，深表哀怜，回想死者的贤能端庄，不禁泪下。
4.38	国王一时怒火大起，命人即刻脱去安多尼苛的紫红袍，将他的衣服撕烂，领他游城示众，直到他对敖尼雅行凶的地方，就在那里，将这凶手从世上铲除；如此，上主使他受到应得的惩罚。
	
4.39t	默乃劳与里息玛苛的恶行
4.39	里息玛苛由于默乃劳的赞助，在城内犯了许多盗卖圣物的亵圣罪过。这事一传出去，民众都公然起来攻击里息玛苛；那时有许多金器已被盗卖给各方。
4.40	里息玛苛见群众怒形于色，起来反抗他，即武装了大约三千人，以暴力对付，并以年老而愚妄未减的奥辣诺为首领。
4.41	众人见里息玛苛派人来攻打，有的拾取石块，有的手拿棍棒，有的就地抓起灰土，一起向里息玛苛的部下乱冲过去；
4.42	"如此,他的部下有许多被打伤了，也有一些被打死，其余的都逃散了；连亵卖圣器的人也被杀死在圣库的近旁。"
4.43	关于这事人民都抱怨默乃劳。
4.44	当国王来到提洛时，长老院便派遣三人到君王跟前申诉。
4.45	默乃劳明知自己已失败，遂许给多黎默乃的儿子仆托肋米大批金银，托他向国王代为说情。
4.46	仆托肋米便引国王来到廊下，假意乘凉，乘机使他改变了心意，
4.47	于是国王释放了罪魁祸首默乃劳，撤消了一切的控诉，反而把这几个可怜的人处死。这几个人，假使向叔提雅人伸诉的话，一定会被判无罪释放。
4.48	这些保护圣城、百姓和圣器的人反倒很快的受到这样不公平的惩罚。
4.49	因此有些提洛人，为了表示痛恨这种恶行，自愿为这些牺牲者举行隆重的丧礼。
4.50	"因为有权势的人贪污，默乃劳仍能保待原位，仍然怙恶不悛,时时处处加害本国人。"
	
	
5.0t	第五章(27)
	
5.1t	雅松惨死
5.1	那时安提约古正准备第二次进攻埃及，
5.2	在全耶路撒冷城，出现了一异象近四十天之久：成队的骑兵，有些身穿金衣，手执干戈，在空中奔驰；
5.3	骑阵依次展开，双方反复冲杀，盾牌闪烁，干戈成林，刀剑挥舞箭矢横飞，金甲银盔，光辉灿烂。
5.4	众人都祝祷这是吉祥之兆。
5.5	正当此时，虚报安提约古驾崩，雅松遂率领千余人，忽然袭击圣城，城墙的守兵败退，城被占领，默乃劳便逃入城堡。
5.6	雅松遂残杀圣城的同胞，毫不顾惜；他没有想到：战胜自己的同胞，正是最大的不幸；自以为是战胜仇敌，而不是战胜亲族。
5.7	但他没有得到大权，结果，只得含羞地逃到阿孟地域去。
5.8	他的结局非常凄惨：首先被阿刺伯王阿勒达监禁，后逃窜各城，为众人所追逐；人憎恨他有如罪犯，厌恶他好象屠杀祖国和同胞的凶手；他只得跑到埃及去。
5.9	那从祖国驱逐无数民众的雅松，如今飘流到拉刻待孟人那里，希望以同族的关系，可以在那里避难安身；结果竟客死异乡。
5.10	从前他曾暴露多人的尸体，未得掩埋；如今也没有人哭悼他，也没有人举丧，也没有人将他葬在祖茔里。
	
5.11t	安提约古屠杀圣城居民
5.11	王一听到这些消息，以为是犹太人起来叛乱，一时咆哮如野兽，当下离开埃及，带领大军占领了圣城；
5.12	命军队逢人便杀，毫不留情；凡上到屋顶的，也都要搜杀净尽；
5.13	于是残杀老幼，灭绝妇孺，屠杀处女婴儿。
5.14	三日之内杀害了八万人，四万丧身刀下，其余的被卖为奴。
5.15	王还以为不足，又以背叛法律出卖祖国的默乃劳为向导，胆敢进入举世至圣的圣殿，
5.16	伸出他罪污的手攫取圣器，以他凡俗的手，夺去各国君王，为加增圣殿的光荣与尊严所献的礼品。
5.17	安提约古一时大为得意，却不想这只是上主，为了城内居民的罪恶，暂时动怒转眼不顾圣所而已。
5.18	若不是因为居民的罪恶满盈，他必定也如色娄苛王打发来视察宝库的赫略多洛一样，一来到就必立刻遭受鞭打，不得任意妄为。
5.19	"但是,上主并不是为了圣所而选择了国民，而是为了国民而选择了圣所。"
5.20	所以那分受民众所遭灾难的圣所，后来也得分享他们的幸福；那在全能者义怒下被遗弃的圣殿，与至上之主和好后，仍然要恢复以前所有的光荣。
5.21	安提约古从圣殿里攫取了一千八百「塔冷通」以后，迅速回到安提约基雅去；他心中自鸣得意，竟然妄想陆地行舟，海上步行。
5.22	他留下的官吏，与百姓为难；在耶路撒冷留下夫黎基雅人斐理伯，这人性情残暴甚于委派他的人。
5.23	"在革黎斤山地留下安多尼苛；此外还有默乃劳,这人虐待本国人比外人更凶残。安提约古王因对犹太人心怀仇恨，"
5.24	就派米息雅的军长阿颇罗尼率领二万二千人，命他杀尽了年富力强的壮丁，把妇女与幼童出卖。
5.25	阿颇罗尼到了耶路撒冷，假仁假义，等到安息圣日，明知犹太人都停工安息，便命部队武装起来，列队游行。
5.26	凡出来观望的人，都用刀砍死，然后率领武装部队，走遍全城，杀了无数的居民。
5.27	犹大玛加伯同其余九人，逃到旷野，住在山中，形同野兽，饥食野菜，免染不洁。
	
	
6.0t	第六章(31)
	
6.1t	安提约古迫害犹太教
6.1	不久以后，王派遣一位年老的雅典人，来强迫犹太人背弃祖传的规诫，不得按照天主的法律生活，
6.2	并且亵渎耶路撒冷的圣殿，将圣殿转献与奥林比亚则乌斯神，又将革黎斤山上的殿宇，依当地居民的要求，献与克色尼则乌斯神。
6.3	这种种邪恶的侵入，实在令人难以忍受。
6.4	因为圣殿内充满了外邦人的放荡和纵饮，他们与娼妓淫欢，甚至在圣殿的围墙内与女人私通，将犯禁的东西带入殿内。
6.5	祭坛上充满了法律所禁止的不洁之物，
6.6	并且不准遵守安息日，不准举行祖传的庆节，连承认自己是犹太人也不许可。
6.7	每月遇到国王诞生的那一天，他们都被胁迫参与祭祀；一到彫尼索节，应头戴长春藤冠，参与庆祝彫尼索的游行。
6.8	且因仆托肋买城内居民的唆使，王又向附近受到希腊文化影响的城邑，颁发一道命令，令人以同样的方式对待犹太人，迫使他们分食祭品。
6.9	谁若决意不采用希腊风俗，依法处以死刑。从此可知大难已临头。
6.10	有两个妇人，因为给孩子割损，就被逮捕受审，令人将孩子挂在她们乳房前，游街示众，然后将她们由城墙高处扔下去。
6.11	此外还有些人在附近的山洞里聚集，暗地里举行安息日；有人报告给斐理伯，他便下令把他们活活烧死，因他们宁愿遵守圣日，不愿自卫。
	
6.12t	苦难的真谛
6.12	至此，我劝告本书的读者，不要因了这些不幸而灰心丧志，反该相信这些灾祸并不是为消灭，而只是为惩戒我们的民族。
6.13	因为作恶的人不得任其长久放纵，反而即刻遭受惩罚，这实是大开恩的明证。
6.14	对于其他的民族，上主尽量含忍，待他们罪恶满盈，即施以惩罚，对于我们，他却不是这样：
6.15	他不等我们的罪恶到达项点，就责罚我们。
6.16	因此，他的怜悯总不离弃我们：虽然用患难来惩戒自己的百姓，却不放弃他们。
6.17	上面所说的，只是叫你们注意。说完这些话，就该言归正传。
	
6.18t	厄肋阿匝尔殉道
6.18	厄肋阿匝尔是一位杰出的经师，又是位年已古稀，仪表庄严的老人。有人用力拉开了他的口，强迫他吃猪肉；
6.19	但他宁愿光荣舍命，不愿受辱而偷生，遂自动走上刑架，
6.20	且把肉吐出。其实，凡决意拒绝吃违法食物的人，都该如此，宁死不屈。
6.21	那些监督这违法祭餐的人，因为与他有多年的交情，便把他叫到一边，再三劝他带要自己预备合法可吃的肉，假装吃王命的祭肉；
6.22	如此就可免一死，而且因他与他们多年的交情，还可获得优待。
6.23	但他立即作了一豪爽的决断，这决断相称他的高龄和声望，相称他因积劳而生的白发，和自幼至今的善行，更符合于天主所立的神圣法律。因此他说明自己的意见，告诉人快把他送到阴府里去，说：
6.24	「象我这样年龄的人，决不宜作伪，免得许多青年想年高九十的厄肋阿匝尔也接受了外教礼俗，
6.25	因我的作伪和贪恋残生，他们也都因我的缘故而误人歧途；如此，不免在我的高龄上涂上一层污点和耻辱！
6.26	况且，即使目前我能逃避人的刑罚；可是，或生或死，我总逃不出全能者的手。
6.27	所以现在，我若是勇敢舍生，我不愧有此高龄，
6.28	因为我已给青年留下了一个为可敬的神圣法律，甘愿慷慨牺牲的高尚榜样。」说完这话，就立刻走上刑架。
6.29	方才和颜悦色劝说他的人一听他说出这样的话，以为他疯了，逐一变而采取仇视的态度。
6.30	当他受刑快要断气的时候，呻吟着说：「具有圣智的上主，明知我能逃脱死亡，但是为了敬畏他，我的肉身在痛打之下，虽受到很大的疼痛，但我的心灵却喜乐忍受这一切。」
6.31	他便这样死了。他的死，不但给青年人，而且给全国大多数的人民，留下了刚勇的模范，和大德不凡的记录。
	
	
7.0t	第七章(42)
	
7.1t	母子八人壮烈殉难
7.1	事后，又有兄弟七人与他们的母亲一同被捕，国王命人用鞭子和牛筋痛打他们，强迫他们吃法律禁止的猪肉。
7.2	其中一个，代表发言说：「你想问什么？你愿由我们知道什么？我们已经准备，宁死不愿背叛我们祖先的法律。」
7.3	于是国王大怒，命人取过锅釜来，放在火上。
7.4	及至锅釜瞬息间烧红以后，就命人在其余的兄弟和母亲眼前，将那发言人的舌头割下来，剥去他的头皮，割下他的四肢，
7.5	肢体被分割后，王命人将他拉到火边，活生生地放在锅里煎熬。当锅内的蒸气往上升起时，其余的兄弟和母亲都互相劝勉作壮烈的牺牲说：
7.6	「上主天主看见，必要怜恤我们，正如梅瑟在谴责歌中所明说的：他必怜恤自己的仆人！」
7.7	第一个这样死去以后，遂领第二个来赴刑。将他的头皮与头发一起削去，以后问他说：「在你的身体一块一块地分解以前，你吃不吃猪肉？」
7.8	他用祖国的话答说：「不！」因比，他也象第一个一般受了刑罚。
7.9	他在快要断气的一刹那，高声说：「你这穷凶极恶的人！你使我失去现世的生命，但是宇宙的君王必要使我们这些为他的法律而殉难的人复活，获得永生。」
7.10	"这一个以后，轮到第三个受刑了！在命他伸舌头时他就爽快地伸出，且毅然伸开双手,"
7.11	慷慨他说：「这些肢体是从上天得来的，但是现在为了他的法律，我不吝惜这一切，希望有一天从他那里仍再得到。」
7.12	国王和他的侍从都惊异这少年人不怕受苦的精神。
7.13	他死了以后，他们用同样酷刑处罚第四个。
7.14	他临死时这样说：「深信天主使人复活许诺的人，死在人手中，是求之不得的；可是为你，却没有进入生命的复活。」
7.15	接着，人就带第五个来受刑。
7.16	他向国王瞪着眼说：「你这有死有坏的人，现今你对人有权柄为所欲为；可是不要想我们的民族已被天主摈弃。
7.17	你等着看罢！你必要看见他的大能，看他要怎样惩罚你和你的子孙！」
7.18	在他以后，带了第六个来，他快死时说：「你不要糊涂自欺！我们遭受这一切，正是因为我们得罪了我们的天主，因而遭受了这样严重的灾难。
7.19	可是，你不要想你对抗天主能侥幸免罚！」
7.20	尤当称奇，最值得光荣记念的，还是他们的母亲。她在一日之内亲见七个儿子死去，还能欣然忍受，因为她全心寄望于上主。
7.21	她心中充满高尚的情绪，以大丈夫的气概，奋发她女性柔弱的情怀，用本国话一一鼓励他们说：
7.22	「我不知道你们怎样出现在我的腹中：不是我给了你们灵魂与生命，也不是我构成了你们每一个人的身体。
7.23	世界的创造者，既然形成了人的初生，赐与万物以起源，也必仁慈偿还你们灵魂和生命，因为你们现在为爱护他的法律不顾惜自己。」
7.24	安提约古自觉受了轻慢，猜想这番话必是讽刺自己，就趁最幼的一个尚在，不断用话劝诱，且向他起誓，只要他舍弃自己祖传的一切，保证他必享富贪幸福，作自己的朋友，获得高官厚禄。
7.25	"可是,少年人对这话毫不介意，因此王就召他的母亲来，劝她给少年人出个得救的主意。"
7.26	国王再三劝了她，她才同意去劝说自己的儿子。
7.27	于是她弯身向他，嘲弄着暴君，用祖国的话这样对他说：「我儿，你怜恤我罢！我在腹中怀育你九个月，三年哺养你，又栽培提携养育你，直到现在的年纪。
7.28	我儿，我恳求你仰视天，俯视地，观察天地间形形色色的万物！你该知道这一切都是天主从无中造成的，人类也是如此造成的。
