1.-2t	依撒意亚
3.15	你们为什么压榨我的百姓，折磨穷人的脸面﹖」──吾主，万军上主的断语。
	
3.16t	妇女的命运
3.16	上主说：因为熙雍的女子趾高气扬，走路挺直颈项，媚眼惑人，行路装腔作势，脚步铃铃作响，
3.17	吾主必使熙雍女子的头顶生长毒疮，上主必揭露她们的耻辱。
3.18	那一日，吾主必要剥夺她们的装饰：踝环、圆环、月牙环、
3.19	耳环、手镯和面纱，
3.20	帽巾、脚链、领带、香盒、符藤、
3.21	戒指、鼻环、
3.22	礼服、斗蓬、披肩、手袋、
3.23	面罩、衬衫、头巾和夏衣。
3.24	必有腥臭代替馨香，绳索代替腰带，秃头代替发髻，苦衣代替胸衣，烙印代替美丽。
	
3.25t	耶京的荒凉
3.25	你的男丁要倒于刀下，你的勇士要死于战场!
3.26	熙雍的城门将恸哭哀悼，熙雍将凄凉地坐在地上。
	
	
4.0t	第四章(6)
4.1	那一日，七个女人要抓住一个男人说：「我们吃自己的食粮，穿自己的衣服，只要你容许我们归你名下，除去我们的耻辱。」
	
4.2t	新熙雍
4.2	那一日，由上主所发出的苗芽，必成为以色列遗民的光辉与荣耀；地上的果实必成为他们的夸耀与光彩。
4.3	凡留在熙雍的，遗在耶路撒冷的，即凡录在耶路撒冷的生命册上的，都必将称为圣者。
4.4	当吾主以惩治的神和毁灭的神，洗净熙雍女子的污秽，涤除耶路撒冷中间的血渍时，
4.5	上主将显现在熙雍山整个地盘与其集会之上：白日借着云烟，黑夜借光亮的火焰；因为在一切之上，有上主的荣耀，有如天盖和帐棚，
4.6	白日作荫影以免炎暑，又可作庇护，以避狂风暴雨。
	
	
5.0t	第五章(30)
	
5.1t	葡萄园寓言诗
5.1	我要为我的爱友讴唱一首论及他葡萄园的爱歌：我的爱友有一座葡萄园，位于肥沃的山冈上；
5.2	他翻掘了土地，除去了石块，栽上了精选的葡萄树，园中筑了一座守望台，又凿了一个榨酒池：原希望它结好葡萄，它反倒结了野葡萄。
5.3	耶路撒冷的居民和犹大人啊!现在请你们在我与我葡萄园之间，判别是非：
5.4	我为我的葡萄园所能做的，还有什么没有做到﹖我原希望它结好葡萄，为什么却结了野葡萄﹖
5.5	现在我要告诉你们，我将怎样对待我的葡萄园：我必撤去它的篱笆，让它被吞噬；拆毁它的围墙，让它受践踏；
5.6	我要使他变成荒地，不再修剪，不再耕锄，荆棘和蒺藜将丛丛而生；并且我要命令云彩不再在它上降下时雨。
5.7	万军上主的葡萄园就是以色列家，而犹大人即是他钟爱的幼苗。他原希望正义，看，竟是流血；他原希望公平，看，却是冤声!
	
5.8t	指责以民中的罪行
5.8	祸哉，你们这些使房屋毗连房屋，田地接连田地，而只让你们自己单独住在那地域内的人!
5.9	万军的上主在我耳边宣誓说：那许多房屋必将成为废墟；巍峨华丽的，必无人居住；
5.10	十亩葡萄园将只出一「巴特」酒，一「曷默尔」种子，只出一「厄法」谷。
5.11	祸哉，那些早晨一起来即追求烈酒，留连至深夜，饮至酒酣耳热的人!
5.12	在他们的宴会上只有琴、瑟、手鼓、管笛和酒，却没有人注视上主的作为，没有人留意他手中的工作：
5.13	因此，我的百姓必因无知而被放逐，显贵必将饿得要死，民众必将渴得要命。
5.14	为此，阴府张大了咽喉，敞开了无限的大口，显贵、群众以及那些喧哗宴乐的人，都要落在里面。
5.15	人必将屈服，人必被抑制，目空一切的人必低首下心。
5.16	万军的上主必因正义而受尊崇，至圣的天主必因公平而显为圣。
5.17	羔羊要在那里吃草，有如在自己的草场上；肥羊要在荒田里吃草。
5.18	祸哉，那些用牛犊的缰绳引来邪恶，用牛车的绳索勾出罪孽的人，
5.19	和那些说：「愿他赶快，迅速完成他的工作，好使我们看看；愿以色列圣者的决策尽速执行，好使我们知道」的人!
5.20	祸哉，那些称恶为善，称善为恶；以暗为光，以光为暗；以苦为甘，以甘为苦的人!
5.21	祸哉，那些自视为聪明和自以为通达的人!
5.22	祸哉，那些饮酒的英雄，调酒的壮士!
5.23	那些受贿释放罪人，夺取义人权利的人!
5.24	因此，他们必如卷入火舌中的禾秸，焚于烈焰中的枯草；他们的根必要糜烂，他们的嫩芽必要如尘埃般的飞扬，因为他们拋弃了万军上主的教导，藐视了以色列圣者的训诲。
5.25	为此，上主向自己的百姓大发雷霆，伸出自己的手来打击他们；其时，山岳为之震撼，他们的尸体，有如街道上的粪土。然而他的震怒并未因此而息灭，他的手仍然伸着。
	
5.26t	惩罚即将来临
5.26	上主要向远方的异民竖起一面旗帜，好由大地的四极号召他们，看，他们将疾趋前来。
5.27	他们中没有疲倦的，没有仆倒的；没有打盹的，没有睡觉的；他们的腰带没有松解，他们的鞋带也没有折断；
5.28	他们的箭矢锐利，他们的弓弩全已张开；他们的马蹄好似火石，他们的车轮有如旋风；
5.29	他们怒吼有如母狮，吼叫有如幼狮；他们咆哮攫食，携之而去，无人予以挽救。
5.30	那一日，他们必如海啸般向这民族怒号。人若注视大地，看，尽是黑暗痛苦；光明遮蔽在密云中，成了晦暗。
	
	
6.0t	第六章(13)
	
6.1t	先知受召神视
6.1	乌齐雅王逝世那年，我看见吾主坐在崇高的御座上，他的衣边拖曳满殿。
6.2	「色辣芬」侍立在他左右，各有六个翅膀：两个盖住脸，两个盖住脚，两个用来飞翔。
6.3	他们互相高呼说：「圣!圣!圣!万军的上主!他的光荣充满大地!」
6.4	由于呼喊的声音，门限的基石也震撼了；殿宇内充满了烟雾。
6.5	我遂说：「我有祸了!我完了!因为我是个唇舌不洁的人，住在唇舌不洁的人民中间，竟亲眼见了君王──万军的上主!」
6.6	当时有一个「色辣芬」飞到我面前，手中拿着钳子，从祭坛上取了一块火炭，
6.7	接触我的口说：「你看，这炭接触了你的口唇，你的邪恶已经消除，你的罪孽已获赦免!」
6.8	那时我听见吾主的声音说：「我将派遣谁呢﹖谁肯为我们去呢﹖」我回答说：「我在这里，请派遣我!」
6.9	他说：「你去对这民族说：你们听是听，但不明白；看是看，却不理解。
6.10	你要使这民族的心迟钝，使他们的耳朵沉重，使他们的眼睛迷蒙，免得他们的眼睛看见，耳朵听见，心里觉悟而悔改，获得痊愈。」
6.11	我追问说：「吾主!要到几时呢﹖」他回答说：「直到城邑变成废墟，没有居民，房屋无人居住，田地变为荒芜。」
6.12	上主必将人民迁到远方，本地区荒芜异常。
6.13	境内虽只留下十分之一，还要遭受摧残；就如松树和樟树在伐倒后，尚留有余干，圣善的苗裔将由这余干产生。
	
	
7.0t	第七章(25)
	
7.1t	先知劝王依恃上主
7.1	当乌齐雅的孙子，约堂的儿子阿哈次为犹大王时，阿兰王勒斤和以色列王勒玛里雅的儿子培卡黑，上来攻打耶路撒冷，但是不能攻陷。
7.2	有人报告达味家说：「阿兰已经驻扎在厄弗辣因!」君王与人民都胆战心惊，有如风中摇动的树木。
7.3	上主对依撒意亚说：「你和你的儿子舍阿尔雅叔布出去，到上池的水沟尽头，即漂工田间的大道上，去会见阿哈次；
7.4	对他说：你必须审慎，保持镇定，不必畏惧，不要因那两个冒烟的火把头──即勒斤、阿兰和勒玛里雅之子──的怒火而胆怯。
7.5	虽然阿兰、厄弗辣因和勒玛里雅的儿子同谋，迫害你说：
7.6	我们上犹大去，扰乱她，把她占领过来归于我们，并在那里立塔贝耳的儿子为王；
7.7	但是吾主上主却这样说：这事决不能成立，亦不能发生!
7.8	因为阿兰的首都是大马士革，大马士革的首领是勒斤；
7.9	厄弗辣因的首都是撒玛黎雅，撒玛黎雅的首领是勒玛里雅的儿子。
7.8	【六年或五年以后，阿兰将被消灭，厄弗辣因将要衰败。】
7.9	假使你们不肯相信，你们必然不能存立。」
	
7.10t	厄玛奴耳
7.10	上主又对阿哈次说：
7.11	「你向上主你的天主要求一个征兆罢!或求诸阴府深处，或求诸上天高处。」
7.12	阿哈次回答说：「我不要求，我不愿试探上主。」
7.13	依撒意亚说：「达味的家族，你们听着罢!你们使人厌恶还不够，还要使我的天主厌恶吗﹖
7.14	因此，吾主要亲自给你们一个征兆：看，有位贞女要怀孕生子，给他起名叫厄玛奴耳。
7.15	到他知道弃恶择善的时候，要吃乳酪和蜂蜜；
7.16	因为在这孩子尚未知道弃恶择善以前，你在那两个君王面前所担心的国土，必将荒废。
7.17	上主必使患难的日子临于你、你的百姓和你的父家身上；这是从厄弗辣因叛离犹大那一天所未有过的，【即亚述王加祸的日子。】
	
7.18t	预言犹大被侵
7.18	那一日，上主要唤来埃及大河尽头的蝇和亚述境内的蜂，
7.19	它们将要前来，一起落在荒谷、岩穴，以及一切荆棘丛中和一切水沟上。
7.20	那一日，吾主要用由大河那边借来的剃刀【即亚述王】剃去你的头发和耻毛，连胡须也要刮掉。
7.21	到那一日，人仅能喂养一只牛犊和两只母山羊，
7.22	因为出奶很多，人将以乳酪为食，因而境内所有的遗民，都将以乳酪和蜂蜜为食。
7.23	到那一日，先前所有种植一千棵葡萄，值一千块银子的地方，必将丛生荆棘和蒺藜。
7.24	人往那里去，必须携带弓箭，因为遍地都是荆棘和蒺藜。
7.25	先前用锄头开垦的山地，没有人敢到那里，因为害怕荆棘蒺藜。那里将成为放牛和羊群践踏的地区。
	
	
8.0t	第八章(23)
	
8.1t	联军必败
8.1	上主对我说：「你拿一块大板，用通用的字体在上面写：玛赫尔、沙拉耳、哈市、巴次」
8.2	我就叫了两个忠直的证人，即司祭乌黎雅和耶贝勒基雅的儿子则加黎雅，为我作证。
8.3	我接近了女先知，她便怀孕，生了一个儿子；上主对我说：「你给他起名叫玛赫尔沙拉耳哈市巴次，
8.4	因为在这孩子会喊「爸爸」「妈妈」以前，大马士革的财富和撒玛黎雅的赃物必要运到亚述王前。」
	
8.5t	犹大受罚与得救
8.5	上主又晓谕我说：
8.6	因为这民族厌弃了缓缓徐流的史罗亚水，因而在勒斤和勒玛里雅之子面前惊慌；
8.7	为此，看，吾主必使汹涌澎湃的河水──即亚述王和他所有的军队──上来淹没他们；他必将泻出一切河道，溢出一切河岸，
8.8	直冲入犹大，涨溢汜滥，高达人的颈项。厄玛奴耳啊!他展开的两翼，将掩盖你广阔的疆土!
8.9	众民啊!觉悟罢!你们终必丧胆!远方的一切民族啊!聆听罢!任凭你们怎样束腰，终必丧胆!任凭你们怎样束腰，终必丧胆。
8.10	你们虽然策划，必然落空；你们虽然说定，决不能实现，因为天主与我们同在。
	
8.11t	警告门徒
8.11	当上主以手握住我，警惕我不要走这民族的道路时，这样对我说：
8.12	这民族称为圣的，你们不得称之为圣!他们畏惧的，你们不必畏惧，也不必战兢!
8.13	万军的上主，你们惟应以他为圣；他是你们当敬畏的，是你们当恐惧的。
8.14	他将是以色列两家的绊脚石和失足的暗礁，是耶路撒冷居民的罗网和陷阱。
8.15	他们中间有许多人将失足跌倒而折伤，陷于圈套而被捕。
	
8.16t	专心教诲门徒
8.16	证件已绑好，训诲在我门徒中已封缄，
8.17	我只仰望那位现在转面不顾雅各伯家的上主，我要等待他。
8.18	看哪!我和上主赏给我的孩子，在以色列中成了标识和预兆：这原是出于住在熙雍山上的万军的上主!
8.19	有人或对你们说：「你们询问那些喃喃细语的巫觋和术士罢!百姓岂不能询问自己的神，为活人而询问幽魂吗﹖」
8.20	「应到训诲和证件中去寻!」谁若不照这话答复，为他便没有曙光。
	
8.21t	黑暗中的曙光
8.21	人将忍受着痛苦和饥饿，经过此地；当他由于饥饿而暴发忿怒时，必诅咒自己的君王和自己的神明；他无论仰望上天，
8.22	或注视大地，他只见苦恼和幽暗，昏黯和恐怖!但黑暗毕竟要被驱除，
8.23	因为遭受灾难的，必将免于黑暗。往昔上主曾使则步隆和纳斐塔里地域受了侮辱，但日后却使沿海之路，约但东岸，外方人的加里肋亚获得了光荣。
	
	
9.0t	第九章(20)
	
9.1t	光明与幸福
9.1	在黑暗中行走的百姓看见了一道皓光，光辉已射在那寄居在漆黑之地的人们身上。
9.2	你加强了他们的快乐，扩大了他们的欢喜；他们在你面前欢乐，有如人收割时的欢乐，又如分赃时的愉快；
9.3	因为你折断了他们所负的重轭、他们肩上的横木，以及压迫他们者的短棍，有如在米德杨那天一样；
9.4	因为战士所穿发响的军靴，和染满血迹的战袍，都要被焚毁，作为火焰的燃料。
9.5	因为有一个婴孩为我们诞生了，有一个儿子赐给了我们；他肩上担负着王权，他的名子要称为神奇的谋士、强有力的天主、永远之父、和平之王。
9.6	他的王权是伟大的，达味的御座和他王国的平安是无限的，他将以正义与公平对王国加以巩固与保持，从今时直到永远：万军上主的热诚必要完成这事。
	
9.7t	天主的惩罚与警戒
9.7	吾主发出了一句相反雅各伯的话，这话临于以色列。
9.8	整个民众，即厄弗辣因和撒玛黎雅的居民，终必领悟，因为他们曾自负，且心高气傲说：
9.9	「假使砖瓦堕毁了，我们将以方石再建；假使桑树伐倒了，我们将代以香柏!」
9.10	所以上主必兴起他的对手，怂恿他的仇敌来攻击他：
9.11	东有阿兰，西有培肋舍特，他们必张口并吞以色列；然而他的震怒并未因此而熄灭，他的手仍然伸着。
9.12	但民众仍没有归依打击他们的天主，仍不寻求万军的上主。
9.13	因此，上主要在一天之内，砍断以色列的首尾、棕枝和芦苇。
9.14	【长者和尊者是首，传授谎言的先知是尾。】
9.15	因为领导这民族的人走入了歧途，受引导的人陷入了混乱。
9.16	因此，吾主将毫不怜悯他的少年，毫不抚恤他的孤儿和寡妇，因为他们都是乖戾邪恶的，并且都是口出恶言的，然而他的震怒并未因此而熄灭，他的手仍然伸着。
9.17	罪恶犹如燃烧的火焰，焚毁荆棘和蒺藜，使丛林燎起大火，烟柱因此旋转上腾。
9.18	由于万军上主的愤怒，地域将被烧毁，百姓成为火焰的柴薪，无人抚恤自己的弟兄，
9.19	各吃自己近人的肉：向右攫食的，仍旧遭受饥饿；向左吞噬的，依然不得果腹。
9.20	默纳协吞噬厄弗辣因，厄弗辣因吞灭默纳协，二者又合力并吞犹大；然而他的震怒并未因此而熄灭，他的手仍然伸着。
	
	
10.0t	第十章(34)
	
10.1t	警戒犹大
10.1	祸哉，那些制定不义的法例，记录不义的断案，
10.2	为屈枉小民的案件，剥削我穷民的权利，攘夺寡妇和劫掠孤儿的人!
10.3	当惩罚之日，风暴由远至近的时候，你们将怎样应付﹖你们将向谁求助﹖你们的财宝将弃于何地﹖
10.4	唯有屈伏在被俘者中，倒毙在被杀者下；然而他的震怒并未因此而熄灭，他的手仍然伸着。
	
10.5t	亚述的高傲与受罚
10.5	祸哉，亚述!我义怒的木棒，我震怒的棍杖!
10.6	我派遣她是为攻击一个邪恶的百姓，我委任他是为攻击我所愤恨的民族，为掳掠劫夺，并为蹂躏他们，有如街上的粪土。
10.7	但她并没有这样想，心里也没有这样推测，只图肆意破坏，剿灭不少的民族。
10.8	因为她说：「我的首领不都是君王吗﹖
10.9	加耳诺不是与与加革米士一样吗﹖哈玛特不是与阿尔帕得一样吗﹖撒玛黎雅不是与大马士革一样吗﹖
10.10	我的手既然征服了这些偶像的王国──况且他们的偶像还多过耶路撒冷和撒玛黎雅──
10.11	难道我不能对待耶路撒冷和她的神像，有如对待了撒玛黎雅和她的偶像吗﹖」
10.12	当吾主对熙雍山和耶路撒冷完成了他的一切工作时，必要惩罚亚述王心高气傲的功绩，和他目空一切的骄傲。
10.13	因为他曾说过：「我完成了这一切，全凭我的手和我的智能，因为我是聪明的；我撤除了各民族的界限，掳掠了他们的财宝，有如强者打倒了居于高位的人。
10.14	我的手夺取了列国的财富，有如取诸窝巢；我兼并了大地，有如拾取遗卵，没有谁敢鼓翼和张口鼓噪。」
10.15	斧头岂能对用斧头砍伐的人自豪﹖锯岂能向拉锯的人自夸﹖难道棍杖能挥动那举它的人﹖木棒能举起那不是木头的人﹖
10.16	因此吾主，万军的天主，将瘦弱放在她的肥硕之中，在她的光辉之下燃起火焰，有如烈火焚烧。
10.17	以色列的光将变为火，他的圣者将变为烈焰，一日间即将她的荆棘蒺藜焚毁。
10.18	她的丛林和她田园的华丽，必将由内到外毁灭，有如为虫蚀尽一样。
10.19	她的丛林所剩余的树木不多，一个儿童就能计算。
	
10.20t	遗民获利
10.20	到那一日，以色列的遗民和雅各伯家的逃亡者，不再依恃打击他们的人，却诚心依赖上主，以色列的圣者。
10.21	遗民必将归回，雅各伯的遗民必将归依强有力的天主!
10.22	以色列啊!你的百姓虽然多如海沙，其中唯有残存者得以归回：毁灭已经决定，但是充溢着公义，
10.23	因为吾主，万军的上主必在大地上执行所决定的毁灭。
10.24	因此吾主，万军的上主这样说：我的百姓，熙雍的居民!亚述虽然用木棒痛击你，像埃及一样，举起棍杖敲打你，但你不必害怕，
10.25	因为瞬息间我的怒气即将终止，我的愤怒将转为他们的毁灭。
10.26	万军的上主将挥动刑鞭鞭打他们，有如昔日在曷勒布盘石处打击米德杨一样；高举向海上伸出的棍杖，有如在埃及一样。
10.27	到那日，她的重负将由你肩上卸下，她的重轭将由你颈上解除。
	
10.28t	亚述进军与被罚
10.28	破坏者由黎孟而来，来到阿雅特，经过米革龙，将辎重贮在米革玛斯；
10.29	又穿过要隘，夜宿革巴。辣玛惊慌了，撒乌耳的基贝亚逃走了。
10.30	巴特加林!你们应大声疾呼；拉依士!你们应该倾听；阿纳托特!你们应该回答。
10.31	玛德默纳走散了，革平的居民逃避了。
10.32	在诺布暂停一天，遂即挥手指向熙雍女儿山，耶路撒冷的山岗。
10.33	看啊!吾主，万军的上主将用斧钺砍伐枝干：高出的要削去，耸出的要砍低。
10.34	他将用铁斧砍伐丛林，黎巴嫩和她的壮丽必被伐倒。
	
	
11.0t	第十一章(16)
	
11.1t	默西亚与其王国
11.1	由叶瑟的树干将生出一个嫩枝，由它的根上将发出一个幼芽。
11.2	上主的神，智慧和聪敏的神，超见和刚毅的神，明达和敬畏上主的神将住在他内。
11.3	【他将以敬畏上主为快慰，】他必不照他眼见的施行审讯，也不按他耳闻的执行判断。
11.4	他将以正义审讯微贱者，以公理判断世上的谦卑者，以他口中的棍杖打击暴戾者，以他唇边的气息诛杀邪恶者。
11.5	正义将是他腰间的束带，忠诚将是他胁下的佩带。
11.6	豺狼将与羔羊共处，虎豹将与小山羊同宿；牛犊和幼狮一同饲养，一个幼童即可带领它们。
11.7	母牛和母熊将一起牧放，它们的幼雏将一同伏卧；狮子将与牛一样吃草。
11.8	吃奶的婴儿将游戏于蝮蛇的洞口，断奶的幼童将伸手探入毒蛇的窝穴。
11.9	在我的整个圣山上，再没有谁作恶，也没有谁害人，因为大地充满了对上主的认识，有如海洋满溢海水。
	
11.10t	预言遗民回归
11.10	那一日，叶瑟的根子将成为万民的旗帜，列邦必将寻求他；他驻节之地，将是辉煌的。
11.11	那一日，吾主将再举起自己的手，赎回他百姓的残存者，即残留于亚述、埃及、帕特洛斯、雇士、厄蓝、史纳尔、哈玛特和海岛上的人。
11.12	他将向列邦高举旗帜，召集以色列的流徙者，由大地四极聚集犹大的离散者。
11.13	厄弗辣因的嫉妒必将止息，犹大的仇视势必消灭：厄弗辣因不再忌恨犹大，犹大亦不再敌视厄弗辣因。
11.14	他们将往西扑向培勒舍特的山麓，一起掳掠东方的子民；厄东和摩阿布将属于他们的权下，阿孟子民将顺服于他们。
11.15	上主将使埃及海湾涸竭，借烈风向大海挥手把它分成七个支流，使人穿着鞋即可渡过。
11.16	为他百姓的残存者，即存留在亚述中者，将有一条大道，有如为当日由埃及地上来的以色列一样。
	
	
12.0t	第十二章(6)
	
12.1t	感恩歌
12.1	当那日，你要说：「上主!我称颂你，因为你虽向我发了怒，但你的怒气已止息，并且还安慰了我。
12.2	看哪!天主是我的救援，我依靠他，决不畏惧，因为上主是我的力量，是我的歌颂，他确是我的救援。
12.3	你们要愉快地从救援的泉源里汲水。」
12.4	那一日，你要说：「你们应称颂上主，呼号他的名!将他的作为宣告于万民，称述他的名是崇高的。
12.5	请歌颂上主，因为他行了显赫的事，这事应该遍传天下。
12.6	熙雍的居民，你们应欢呼高唱，因为以色列的圣者在你们中间是伟大的。」
	
	
13.0t	第十三章(22)
	
13.1t	预言巴比伦毁灭
13.1	阿摩兹的儿子依撒意亚所见有关巴比伦的神谕：
13.2	你们在秃山上树起旗帜，向他们高呼挥手，叫他们走进王侯的御门!
13.3	我已向我圣洁的人下令，并为了我的愤怒，召集了我的战士，我那骄矜自喜的常胜军。
13.4	听!山上有喧嚣声，好象有无数的人群。听!列国的嘈杂声，万民正在聚集；万军的上主正在检阅赴敌的部队：
13.5	他们都来自远方，来自天边。上主和他盛怒的工具，要来毁灭整个大地。
13.6	号啕罢!因为上主的日子近了，它来有如全能者实行毁灭；
13.7	为此，人手将要松懈，人心将要消融，
13.8	人人都惊慌失措，剧疼和痛苦侵袭他们，痉挛得有如临产的妇女；他们彼此惊愕相视，面容有如火焰。
13.9	看哪!上主的日子来到，必有残忍、雷霆和烈怒，为使大地变为荒凉，为歼灭地上的罪人。
13.10	那时，天上的众星与群宿不再发光，太阳一升起即变为昏黑，月亮也不再放光明。
13.11	我要惩罚世界，是为了它的罪恶；惩罚恶人，是为了他们的恶行；要抑制自负者的骄横，要屈服暴虐者的傲慢；
