1.-1t	前编 攻占许地(1-12)
3.3	吩咐百姓说：「你们一看见上主你们天主的约柜，和抬约柜的肋未人，你们便由你们所住的地方起身，跟著它走，
3.4	好使你们知道你们应走的路，因为这条路你们从来没有走过。但在你们与约柜之间，相隔二千肘，不可走近约柜。」
3.5	若苏厄对百姓说：「你们应该自洁，因为上主明天要在你们中间行神迹。
3.6	若苏厄又吩咐司祭说：「你们抬起约柜，在百姓前过河。」他们遂抬起约柜，走在百姓前面。
3.7	上主对若苏厄说：「今天我要开始在众以色列眼前显扬你，使他们知道，我要与你同在，有如过去我与梅瑟同在一样。
3.8	你吩咐抬约柜的司祭说：「你们一到约但河的水边，就停在约但河边。」
3.9	若苏厄又吩咐以色列子民说：「他们前来静听上主你们天主的话。」
3.10	若苏厄遂说：「你们由此可知道，永生的天主是在你们中间，□必由你们面前，将客纳罕人、赫特人、希威人、培黎齐人、基尔加士人、阿摩黎人和耶步斯人赶走。
3.11	看，大地主宰的约柜要在你们前面渡过约但河。
3.12	现在，你们应从以色列支派中，挑选十二人，每支派一人。
3.13	当抬大地的主宰上主约柜的司祭的脚掌，一踏入约但河的水，约但河的水就必中断，由上流下的水要停，像一道堤。 
	
3.14t	百姓渡河
	
3.14	当百姓起程离开帐幕要到约但河时，司祭抬著约柜，走在百姓的前面。
3.15	当抬约柜的司祭到了约但河，他们的脚一踏入水边，──原来约但河在整个收割期间，水常涨至河岸──
3.16	水就停住了：由上流下的水像一道堤，停在很远的地方，远至匝尔堂附近的阿当城；往下流入阿辣巴海，即盐海的水，已全退去；于是百姓在耶里哥对面过了河。
3.17	当全以色列人在旱地上渡过时，抬上主约柜的司祭稳立在约但河中的旱地上，直到全民众都渡过约但河。
	
4.0t	第四章
	
4.1t	取石为念
	
4.1	众百姓一过了约但河，上主就吩咐若苏厄说：
4.2	「你该由百姓中，挑选十二人，每支派一人，
4.3	命令他们说：你们要从这里，从约但河中，由司祭的脚站立的地方，取十二块石头，带到你们今夜住宿的地方去。」
4.4	若苏厄于是将他由以色列子民中选定的十二人，每支派一人召了来，
4.5	对他们说：「你们由上主你们天主的约柜面前走过，到约但河中心，依照以色列子民支派的数目，各取一块石头，放在肩上，
4.6	在你们中间作为记念；日后你们的子孙问起你们：这些石头有什么意思？
4.7	你们要告诉他们说：约但河的水，在上主约柜前曾一度中断，正在约柜过约但河时，约但河的水便中断了，这些石头，为以色列子民将作永远的记念。
4.8	以色列子民就照若苏厄所吩咐的作了；依上主对若苏厄所说的，按照以色列子民支派的数目，由约但河中心取了十二块石头，搬到他们扎营的地方，把石头放在那里。 
	
4.9t	渡河以后
	
4.9	若苏厄又在约但河中心，抬约柜的司祭的脚站立的地方，竖立了十二块石头，这些石头直到今天，还留在那里。
4.10	抬约柜的司祭站在约但河中央，直至上主命令若苏厄告诉百姓的一切事，全照梅瑟吩咐若苏厄的办完了，百姓才赶快过去。
4.11	众百姓过了河以后，上主的约柜和司祭才过去，仍走在百姓的前面。
4.12	勒乌本人、加得人和默纳协半支派的人，依照梅瑟对他们所吩咐的，武装起来，在以色列子民前首先过去；
4.13	约有四万武装部队由上主面前走过，向耶里哥平原进发，准备作战。
4.14	那一天，上主在众以色列面前，显扬了若苏厄；在他有生之日，百姓敬重他如敬重梅瑟一样。
4.15	上主吩咐若苏厄说：
4.16	「你命令抬约柜的司祭，由约但河里上来。」
4.17	若苏厄便吩咐司祭说：「你们由约但河里上来。」
4.18	抬上主约柜的司祭由约但河一上来，他们的脚一著旱地，约但河的水即刻流回原处，如同先前一样，涨到两岸。 
	
4.19t	在基耳加耳扎营
	
4.19	正月初十，百姓由约但河上来以后，在耶里哥东边的基耳加耳扎了营。
4.20	若苏厄将从约但河取来的那十二块石头，立在基耳加耳；
4.21	然后吩咐以色列子民说：「日后你们的子孙，若问他们的父老说：这些石头有什么意思？
4.22	你们就告诉你们的子孙说：以色列曾在这旱地上过了这约但河，
4.23	因为上主你们的天主，曾在你们的面前使约但河水乾涸，直到你们都过了河，正如上主你们的天主，在我们面前使红海乾涸，直到我们都过了海一样，
4.24	为叫地上万民认识上主的手如何强而有力，为叫你们从此时常敬畏上主，你们的天主。」
	
5.0t	第五章
	
5.1t	客纳罕人的恐惧
	
5.1	住在约但河西岸所有的阿摩黎人的王子，和所有靠近海滨的客纳罕人的王子，一听见上主使约但河水在以色列子民面前乾涸了，直到他们都过了河，无不胆战心惊，面对以色列子民，个个吓得魂不附体。
	
5.2t	百姓行割损
	
5.2	那时上主对若苏厄说：「你应制造火石刀，再给以色列子民行割损。」
5.3	若苏厄就制造了火石刀，在阿辣罗特山丘给以色列子民行了割损。
5.4	若苏厄行割损的原因，是因为由埃及出来的众百姓，所有能作战的男子，出埃及后，都死在旷野的路上。
5.5	出离埃及的百姓，都受过割损，但在离开埃及以后，生于旷野路途的百姓，都没有受过割损。
5.6	以色列子民在旷野里漂泊了四十年，直到全民众，即出离埃及能作战的男子都去了世，因为他们没有听从上主的话，所以上主曾向他们起誓，决不许他们看到上主向他们的祖先起誓，要赐给我们的那流奶流蜜的地方。
5.7	但为接替他们，上主兴起了他们的子孙，若苏厄就给他们行了割损，──他们仍有包皮，因为他们在路没有受过割损。
5.8	民众全受了割损以后，便往在营中，直到痊愈。
5.9	上主于是对若苏厄说：「今天我由你们身上割去了埃及的羞耻。」因此，那地方直到今天叫作基耳加耳。 
	
5.10t	过逾越节停降玛纳
	
5.10	以色列子民在基耳加耳扎了营；正月十四日晚上，在耶里哥平原举行了逾越节。
5.11	逾越节次日，他们吃了当地的出产，即在那一天，吃了无酵饼和烤的麦子。
5.12	他们吃了当地出产的次日，「玛纳」就停止了。以色列子民既没有了「玛纳」，那年就以客纳罕地的出产为生。 
	
5.13t	若苏厄见神视
	
5.13	当若苏厄走近耶里哥时，举目一望，看见一个人立在他前面，手持脱鞘的刀。若苏厄走到那人面前问他说：「你是我们的人，还是我们仇敌的人？」
5.14	那人回答说：「不，我是上主军旅的元帅，刚来到这里。」若苏厄便俯伏在地，向他下拜说：「我主有什么事要指示自己的仆人呢？」
5.15	上主军旅的元帅对若苏厄说：「将你脚上鞋脱下，因为你站的地方是圣地。」若苏厄便照著做了。
	
6.0t	第六章
	
6.1t	围攻耶里哥
	
6.1	耶里哥城门紧紧关闭，无人出入，以防以色列子民。
6.2	上主对若苏厄说：「看，我已将耶里哥和城中的王子，精锐的战士，都交在你手中。
6.3	你们所有的战士要围绕这城转一遭，这样转六天。
6.4	七位司祭要带著七个羊角号，在约柜前面行走；但第七天，要围绕城转七遭，并且司祭要吹号角。
6.5	当羊号角吹起长声时，你们听见了号角的响声时，众百姓应当高声喊叫；那时城墙必要坍塌，百姓个个要往前直冲。」
6.6	农的儿子若苏厄将司祭召来，对他们说：「你们应抬著约柜，七位司祭带著七个羊角号，走在上主约柜的前面。」
6.7	然后，又对百姓说：「你们要前去围著城转，先锋队要走在上主约柜的前面。」
6.8	若苏厄对百姓说完话以后，那七位带著羊角号的司祭，走在上主前面，吹著号角，上主的约柜跟在他们后面。
6.9	先锋队走在吹号角的司祭前面，后卫随著约柜，一面走，一面吹号角。
6.10	若苏厄向百姓下令说：「你们不可叫喊，不可叫人听到你们的声音，连一句话也不可出口，直到我给你们说：「叫喊」那天，你们才可叫喊。
6.11	这样上主的约柜围城转了一遭后，众人就回到营中，在营中过夜。
6.12	若苏厄清早起来，司祭又抬起上主的约柜，
6.13	七位司祭带了七个羊号角，走在上主约柜前面，一面走，一面吹号角；先锋队走在他们前面，后卫随在上主约柜后面，一面走，一面吹号角。
6.14	第二天他们围城转了一遭后，又回到营中；他们这样行了六天。
6.15	到了第七天，早晨黎明时，他们起来，照样围城转了七遭。惟独这一天围城转了七遭。
6.16	到了第七遭，他们吹起了号角，若苏厄吩咐百姓说：「你们叫喊，因为上主已将这城交给了你们。
6.17	这城和城中所有的一切，都应全完毁灭，归于上主，只有妓女辣哈布和她家中的人口可以生存，因为她隐藏了我们所派的使者。
6.18	但你们要小心，不可私自取用这些应毁灭之物，免得你们贪心，窃取应毁灭之物，使以色列全营遭受诅咒，陷于不幸。
6.19	至于所有的金银，以及铜铁的器皿，都应奉献给上主，归入上主的府库。」 
	
6.20t	烧毁全城救出辣哈布
	
6.20	百姓于是叫喊，号声四起；百姓一听到了号角声，放声大叫，城墙便坍塌了；百姓遂上了城，个个向前直冲，攻陷了那城。
6.21	将城中所有的一切，不论男女老幼，牛羊驴马，都用利剑杀尽。
6.22	若苏厄吩咐侦探这地的两个人说：「你们到那妓女家里去，照你们对她起的誓，将那女人和她所有的家人，从那里领出来。」
6.23	那两个年轻侦探就去将辣哈布和她的父母、兄弟和她所有的家人，并她所有的亲戚，都领了出来，安置在以色列营外。
6.24	此后众人将城和城中所有的一切都用火烧了；惟独把金银以及铜铁的器皿，送入上主居所的府库中。
6.25	至于妓女辣哈布与她父家，并她所有的家人，若苏厄使之生存，直到今天，她还住在以色列人中，因为她隐藏了若苏厄派去侦探耶里哥的两个使者。 
	
6.26t	若苏厄的诅咒
	
6.26	那时若苏厄起誓说：「凡著手重建这耶里哥城的人，在上主面前是可咒骂的。他奠基时必丧失长子，安门时必丧失幼儿。」
6.27	上主与若苏厄同在，他的名声传遍了那一带地方。
	
7.0t	第七章
	
7.1t	阿干犯罪
	
7.1	以色列子民在应毁灭之物上犯了罪；那是因为犹大支派中，则辣黑的曾孙，匝贝狄的孙子，加尔米的儿子阿干，取了应毁灭之物，上主对以色列子民发了大怒。
	
7.2t	因阿干之罪战败
	
7.2	若苏厄从耶里哥派人到哈依去，──这城位于贝特耳东方贝特阿文附近──吩咐他们说：「你们上去，侦察那地。」那些人便上去侦察了哈衣。
7.3	他们回来对若苏厄说：「不需要众百姓都上去，只派两三千人去攻打哈依就够了，不必劳动全体百姓，因为他们人数不多。」
7.4	这样百姓中约有三千人上去攻打哈依，不料他们由哈依人面前逃跑了。
7.5	哈依人出击，杀了他们约有三十六人，从城门前追击他们，直追到舍巴陵，在斜坡上又杀败了他们，因此百姓的勇气像水一样消散了。
7.6	若苏厄撕破自己的衣服，和以色列的长老，在上主约柜前俯伏在地，一直到晚上，各在头上撒上灰土。
7.7	若苏厄说：「唉，我主上主! 你为什么领这百姓渡过约但河，是为将我们交于阿摩黎人手中，让我们消灭吗？巴不得我们住在约但河那边倒好!
7.8	唉我主! 以色列人既然由敌人前转身逃跑，我还说什么呢？
7.9	当客纳罕人和这地方所有的居民听说这事，必来围攻我们，从地上将我们的名字抹去，那时你对你的大名要怎样办呢。」
7.10	上主对若苏厄说：「起来，为什么老是伏在地上？
7.11	以色列犯了罪，违背了我在盟约上给他们规定的，取了应毁灭之物，又偷又骗，并将应毁灭之物放在自己行囊里。
7.12	以色列所以□挡不了敌人，由敌人前转身逃跑，是因为他们成了应诅咒，除非你们将那应毁灭之物，由你们中间除掉，我不再与你们同在。
7.13	起来，叫百姓圣洁自己，吩咐他们说：你们明天要圣洁自己，因为上主以色列的天主这样说：以色列!你们中间有应毁灭之物，除非将应毁灭之物，由你们中间除掉，你们决抵挡不住敌人
7.14	所以明早你们应按支派前来。上主使那支派中签，这支派的宗族都应前来；上主使那宗族中签，这家族的宗族都应前来；上主使那家室中签，这家的男子应一个一个地前来。
7.15	若藏有应毁灭之物的人中了签，他和他所有的一切都应用火焚烧，因为他违犯了上主的约定，在以色列中间做了糊涂的事。」 
	
7.16t	砸死阿干
	
7.16	若苏厄清早起来，命以色列按著支派一一前来，犹大支派中了签。
7.17	他叫犹大支派前来，则辣黑宗族中了签；遂叫则辣黑宗族前来，匝贝狄家室中了签；
7.18	此后，又叫他的家室前来，叫男丁一个一个地前来，阿干中了签──阿干是加尔米的儿子，加尔米是匝贝狄的儿子，匝贝狄是则辣黑的儿子，属犹大支派。
7.19	若苏厄遂对阿干说：「我儿，你应归光荣于上主，以色列的天主，向□认罪。请告诉我，你作了什么事，不要隐瞒我。」
7.20	阿干回答若苏厄说：「我实在得罪了上主，以色列的天主。我是如此这般作的；
7.21	我在战利品中，见了一件美丽的史纳尔外氅，二百「协刻耳」银子，一条重五十「协刻耳」的金条，我因贪爱便拿走了，现在藏在我帐幕中的地下，银子在这些东西的下面。」
7.22	若苏厄即刻派差役跑到他帐幕里面，果然那些东西在帐幕内藏著，银子在下面。
7.23	差役便从帐幕里拿出来，带到若苏厄和所有以色列子民那里，摆在上主面前。
7.24	若苏厄和所有以色列人，将则辣黑的曾孙阿干和那银子、外氅、金条，并他的子女、牛、驴、羊、帐幕，以及他所有的一切，都带到阿苛尔山谷。
7.25	若苏厄说：「你为什么给我们招来祸患？今天上主必要叫你招祸。」以色列民众于是用石头将他砸死。众人用石头砸死以后，将一切用火烧了。
7.26	以后，又在阿干身上堆上了一大堆石头，这堆石头一直存到今日；上主于是撤回了盛怒，因此那地方直到今日叫做阿苛尔山谷。
	
8.0t	第八章
	
8.1t	二次进攻哈依
	
8.1	以后上主对若苏厄说：「你不要害怕! 不要胆怯，只管率领所有的军民，前去进攻哈依城。看，我已将哈依王，他的百姓、城池和土地，都交在你手中。
8.2	你要对待哈依城和哈依王，如同对待耶里哥和耶里哥王一样；只有城中的战利品和牲畜，你们可据为己有。你应在城后面，设下攻城的伏兵。」
8.3	若苏厄于是与所有的军民起身前去进攻哈依城。若苏厄选了三万精兵，派他们黑夜出发，
8.4	吩咐他们说：「你们要注意，在城那边，即在城后面埋伏下，不可离城太远，个个都要戒备。
8.5	我和我率领的人，向城推进；当他们像前次一样出来迎击我们时，我们就由他们面前逃走。
8.6	他们一定出来追赶我们。我们将他们诱出城来，他们必说：这些人像前次一样，又由我们面前逃走了。我们就由他们面前逃走。
8.7	那时你们应从埋伏的地方出来，占领城市，上主你们的天主必将这城交在你们手中。
8.8	你们一占领了城，就放火焚烧，全照上主的话执行。你们应注意我吩咐你们的事。」
8.9	若苏厄就打发他们去了。他们便开到埋伏的地方，停在贝特耳和哈依之间，在哈依西面。那一夜若苏厄便在百姓中间过了夜。
8.10	若苏厄清早起来，点齐军民；然后与与以色列的长老，在军人前头向哈依城进发。
8.11	跟随他的所有军人也都一齐进发，迫近城下，在哈依北面扎了营。原来在他和哈依中间隔著一个山谷。
8.12	若苏厄调了约五千人，令他们埋伏在贝特耳和哈依之间，即在哈依西面。
8.13	这样城北的军民和城西的伏兵，都严阵以待。当夜若苏厄就在谷中过了夜。
8.14	哈依王一见这情形，便和全城的人急忙起来，到了面对阿辣巴的山坡，要和以色列人交战，但他没有料到城后面还有伏兵。
8.15	若苏厄和以色列人在他们面前诈败，沿著往旷野的路奔逃，
8.16	城中的人尽被徵调，在后追赶。当他们若苏厄时，都被诱出城来；
8.17	在哈依和贝特耳没有留下一个人不出来追赶以色列人的。他们抛下敞开的城门，都去追赶以色列人。 
	
8.18t	占据哈依
	
8.18	这时上主对若苏厄说：「将你手中的短剑指向哈依城，因为我即将这城交于你手中。」若苏厄便将手中的短剑指向哈依城。
8.19	他一伸手，伏兵即由他们埋伏的地方奋起，冲进城中，将城占领，急速放火烧城。
8.20	哈依人回头，看见城内浓烟冲天，都没有了往前后逃跑的力量，因为此时向旷野奔逃的以色列人，忽然转过身来还击追赶自己的哈依人。
8.21	若苏厄和全以色列见伏兵已夺了城，城内烟气上腾，便转身回来击杀哈依人。
8.22	伏兵也由城内出来夹击，哈依人便包围在以色列人中间，前后受敌；以色列人将他们完全杀尽，没有留下一个，也没有逃走一个。
8.23	他们生□了哈依王，把他解到若苏厄面前。
8.24	以色列人在旷野的平原上，杀尽了追赶自己的一切哈依居民，哈依人全都死于刀下；以后，全以色列人又回到哈依，杀尽城中的人。
8.25	那天被杀的人，男女共计一万二千，都是哈依人。
8.26	若苏厄在没有杀尽哈依的一切居民前，一直没有收回自己手中所持的短剑。
8.27	惟有城中的牲畜和财物，以色列人依照上主吩咐若苏厄的话，据为己有。
8.28	然后若苏厄焚毁哈依城，使之永远成为废墟，时至今日，仍是一片荒凉；
8.29	又将哈依王悬在树上，直到黄昏；日落时，若苏厄令人将他的死尸从树上卸下，丢在城门口，在他身上又堆了一大堆石头，直存到今日。 
	
8.30t	重订盟约
	
8.30	那时，若苏厄在厄巴耳山，为上主以色列的天主，筑了一座祭坛；
8.31	全照上主的仆人梅瑟向以色列子民所吩咐的，全照梅瑟法律书上所记载的，用没有动过铁器的整块石头，筑了一座祭坛，在上面向上主献了全燔祭，祭杀了和平祭牺牲。
8.32	若苏厄又在那里将梅瑟当著以色列子民的面所写的法律，刻在石头上。
8.33	以色列全体民众和他们的长老、领袖、判官，连侨居的人和土生的人，一半向著革黎斤山，一半向著厄巴耳山，正如上主的仆人梅瑟，当初为祝福以色列百姓所命令的。
8.34	以后若苏厄将法律上祝福和诅咒的一切话，全照法律书上所记载的，宣读了一遍。
8.35	凡梅瑟所吩咐的一切话，若苏厄在以色列全会众前，连妇孺和寄居在他们中的外侨在内，没有一句不向他们宣读。
	
9.0t	第九章
	
9.1t	众王结盟
	
9.1	约但河西，住在山地和平原并沿大海一带直到黎巴嫩山的众王子，即赫特人、阿摩黎人、客纳罕人、培黎齐人、希威人和耶步斯人，听见了这些事，
9.2	联合起来，同心协力对抗若苏厄和以色人。 
	
9.3t	基贝红人的欺诈
	
9.3	基贝红居民听说若苏厄对耶里哥和哈依所行的事，
9.4	便设诡计带著行粮上路，将一些旧布袋和破裂缝补的旧酒囊驮在驴上；
9.5	脚上穿著补过的破鞋，身上穿著褴褛的衣服；所带的食物，又乾又碎，
9.6	来到基耳加耳营中见若苏厄；对他和以色列人说：「我们是远方来的，现在请你们与我们立约。」
9.7	以色列对这些希威人说：「你们也许是我们附近的居民，我们怎能同你们立约？」
9.8	他们回答若苏厄说：「我们是你的仆人。」若苏厄问他们说：「你们是什么人？是从那里来的？」
9.9	他们答说：「你的仆人是因为听了上主你们天主的名声，由极远的地方来的，因为我们听见人 谈及□的声望，和□在埃及所行的一切，
9.10	以及□对住在约但河东的两阿摩黎王：即赫市朋王息红和阿市塔洛特的巴商王敖格所行的一切。
9.11	为此，我们的长老和我们本地的居民，对我们说：你们手中拿些路用的食物，去迎接以色列人；对他们说：我们是你们的仆人，现在请你们与我们立约。
9.12	看，这是我们的食物，我们从家中带出来，要到你们这里来的那天还热，看，现在又乾又碎；
9.13	这就是我们的酒囊，才盛酒的时候还新，看，现在都破裂了；这是我们的衣服和鞋，为了路途遥远，都穿烂了。」
9.14	以色列的首领便取了些他们的行粮，并没有请求上主的谕示；
9.15	若苏厄便与他们修好，与他们立了约，让他们生存，会众的首领也向他们起了誓。
9.16	但是，与他们立约后过了三天，以色列人就听说，他们是住在自己附近的居民。
9.17	以色列子民于是动身，第三天便到了他们的城市：就是基贝红、革非辣、贝洛特和克黎雅特耶阿陵。
9.18	但以色列子民没有击杀他们，因为会众的首领指著上主，以色列的天主，对他们起过誓；但全会众对他们的首领不满。
9.19	众首领对全会众说：「我们既已指著上主以色列的天主对他们起誓，那么我们决不能加害他们，
9.20	只有这样做，就是让他们生存下去，免得因我们对他们所起的誓，为我们招来上主的义怒。」
9.21	首领又对民众说：「让他们生存下去，但他们应为全会众劈柴挑水。」全会众便遵照首领的话而行。
9.22	若苏厄将基贝红人召来，对他们说：「你们为什么欺骗我们说：我们离你们很远，其实你们就住在我们附近？
9.23	从此你们应受诅咒，你们中间，决不断要有人在我天主的殿内，做劈柴挑水的劳役。」
9.24	他们回答若苏厄说：「你的仆人们确实听说：上主你的天主，曾吩咐□的仆人梅瑟，要把这整块土地赐给你们，并在你们面前，将这地方上的一切居民消灭；我们见你们前来，我们实在为我们的生命担忧，所以才做了这事。
9.25	现在，我们都在你手里，你以为怎样好，怎样对，就怎样对待我们吧! 」
9.26	若苏厄就这样对待了他们：将他们由以色列人手中救出，不让人加害他们。
9.27	当天就派定他们在上主选定的地方，为会众，为上主的祭坛，劈柴挑水，直到今日。
	
10.0t	第十章
	
10.1t	五王合攻基贝红
	
10.1	当耶路撒冷王阿多尼责德克听说若苏厄攻占了哈依，完全予以毁灭，对待哈依和哈依王如对待耶里哥和耶里哥王一样；又听说基贝红居民已与以色列媾和，可住在他们中间，
10.2	大为震惊，因为基贝红是座大城，像座京城，比哈依还大，城中的人又都勇敢。
10.3	耶路撒冷王阿多尼责德克遂打发使者去见赫贝龙王曷罕、雅尔慕特王丕兰、拉基士王雅非雅和厄革隆王德彼尔说：
10.4	「请你们前来援助我，攻打基贝红，因为这城已与若苏厄和以色列人媾和。」
10.5	那五个阿摩黎王，即耶路撒冷王、赫贝龙王、雅尔慕特王、拉基士王和厄革隆王联合起来，率领他们所有的军队上去包围了基贝红，合力进攻。
10.6	基贝红即派人到基耳加耳营中见若苏厄说：「你不要袖手不顾你的仆人，请快上来援助，扶助我们，因为住在山地的众阿摩黎王都联合起来攻击我们。」
10.7	若苏厄遂亲率他的一切军民，和所有的精兵，从耳加耳上去了。 
	
10.8t	击败五王
	
10.8	上主对若苏厄说：「你不要怕他们，因为我已将他们交在你手中，没有一人能抵抗你。」
10.9	若苏厄由基耳加耳出发，整夜行军，出其不意，突然向他们进攻。
10.10	上主使他们在以色列人前大为混乱，以色列人在基贝红将他们完全击败，随后在往贝特曷龙的上坡路上追赶他们，击杀他们直到阿则卡，直到玛刻达。
10.11	当他们逃避以色列人，来到贝特曷龙下坡时，上主从天上降下冰雹，落在他们身上，直落到阿则卡，死伤无数；为冰雹砸死的人，比以色列用刀死的还多。 
	
10.12t	日月停止
	
10.12	上主将阿摩黎人交于以色列子民的那一天，若苏厄当以色列人的面对上主说：「太阳! 停在基贝红! 月亮! 停在阿雅隆谷! 」
10.13	太阳果然停住，月亮站住不动，直到百姓报复了自己的仇敌。这事岂不是记载在「义士书」上了吗？太阳停在空中，未急速下落，约有一整天。
10.14	以前或以后，从来没有一天像这天一样。上主这样俯听了人的呼声，因为是上主在为以色列人作战。
10.15	此后，若苏厄和所有跟随他的以色列人，回了基耳加耳营。 
	
10.16t	五王被擒
	
10.16	至于那五个逃脱的王子，藏在玛刻达山洞里，
10.17	有人来通知若苏厄说：「那五个王子已被发现，藏在玛刻达山洞里。」
10.18	若苏厄吩咐说：「你们把几块大石滚到洞口，派人看守。
10.19	你们不可停下来，要去追赶敌人，切断他们的后路，不容他们逃入城中，因为上主你们的天主，已将他们交在你们手中。」
10.20	若苏厄和以色列子民杀得他们惨败，几乎将他们全部消灭，只剩下一些逃脱的人进入了坚城。
10.21	军民都平安无恙地回到玛克达营见若苏厄。以后没有人再敢侮辱以色列子民。
10.22	那时若苏厄说：「你们去打开洞口，把五个王子从洞里拉出来，带到我这里来。」
10.23	人就去，将那五个王子，是耶路撒冷王、赫贝龙王、雅尔慕特王、拉基斯王和厄格隆王，从洞里拉出，带到他面前，
