1.-2t	格林多后书	
3.3 	因为明显地，你们就是我们供职所写的基督的书信：不是用墨水写的，而是以生活的天主圣神；不是写在石版上，而是在血肉的心版上。	
		
3.4t	新约的仆役　	
3.4 	我们借着基督在天主前才敢这样自信，	
3.5 	但这并不是说：我们凭自己能够承担什么事，好似出于自己一般；而是说：我们所以够资格，是出于天主，	
3.6 	并且是他使我们能够做新约的仆役：这约并不是在于文字，而是在于神，因为文字叫人死，神却叫人活。	
		
3.7t	新约与旧约职务的比较　	
3.7 	如果那以文字刻在石头上而属死的职务，尚且有过光荣──甚至以色列子民为了梅瑟面貌上易于消逝的光荣，不能注视他的面貌──	
3.8 	那么，属神的职务，岂不更该有光荣吗﹖	
3.9 	如果先前定罪的职务有过光荣，那么，成义的职务更该多么充满光荣!	
3.10	其实，那先前有过光荣的，因了这更超越的光荣，已算不得光荣了，	
3.11	因为如果那易于消逝的曾一度有过光荣，那么，这常存的更该多么有光荣!	
		
3.12t	新约的公开与自由　	
3.12	所以，我们既怀有这种希望，所以坦白行事，	
3.13	不像梅瑟一般，将帕子蒙在脸上，免得以色列子民看到那易于消逝的光荣的终结；	
3.14	但是他们的心意陷于迟钝，因为直到今天，在读旧约时，同样的帕子仍然存在，没有揭去，因为只有在基督内才得除去；	
3.15	而且直到今天，几时读梅瑟时，还有帕子盖在他们的心上；	
3.16	他们几时转向主，帕子就会除掉。	
3.17	主就是那神；主的神在那里，那里就有自由。	
3.18	我们众人以揭开的脸面反映主的光荣的，渐渐地光荣上加光荣，都变成了与主同样的肖像，正如由主，即神在我们内所完成的。	
		
		
4.0t	第四章	
		
4.1t	宗徒的忠贞　	
4.1 	为此，我们既蒙垂青，获得了这职务，我们决不胆怯；	
4.2 	反而戒绝了一切可耻的隐瞒行为，不以狡猾行事，也不变通天主的道理，只是借着显示真理，在天主前将我们自己举荐于众人的良心。	
4.3 	但如果说我们的福音也被蒙住了，那只是为丧亡的人蒙着，	
4.4 	因为今世的神已蒙蔽了这些不信者的心意，免得他们看见基督──天主的肖像──光荣福音的光明。	
4.5 	因为我们不是宣传我们自己，而是宣传耶稣基督为主，我们只是因耶稣的缘故作了你们的奴仆。	
4.6 	因为那吩咐『光从黑暗中照耀』的天主，曾经照耀在我们心中，为使我们以那在【耶稣】基督的面貌上，所闪耀的天主的光荣的知识，来光照别人。	
		
4.7t	力量来自天主　	
4.7 	但我们是在瓦器中存有这宝贝，为彰显那卓著的力量是属于天主，并非出于我们。	
4.8 	我们在各方面受了磨难，却没有被困住；绝了路，却没有绝望；	
4.9 	被迫害，却没有被弃舍；被打倒，却没有丧亡；	
4.10	身上时常带着耶稣的死状，为使耶稣的生活也彰显在我们身上。	
4.11	的确，我们这些活着的人，时常为耶稣的缘故被交于死亡，为使耶稣的生活也彰显在我们有死的肉身上。	
4.12	这样看来，死亡施展在我们身上，生活却施展在你们身上。	
		
4.13t	宗徒所注视的目标　	
4.13	但我们既然具有经上所载的：『我信了，所以我说』那同样的信心，我们也信，所以也说，	
4.14	因为我们知道那使主耶稣复活的，也要使我们与耶稣一起复活，并使我们与你们一同站在他前。	
4.15	其实，这一切都是为了你们，为使获得恩宠的人越增多，感谢也越增加，好归光荣于天主。	
4.16	为此，我们决不胆怯，纵使我们外在的人日渐损坏，但我们内在的人却日日更新，	
4.17	因为我们这现时轻微的苦难，正分外无比地给我们造就永远的光荣厚报，	
4.18	因为我们并不注目那看得见的，而只注目那看不见的；那看得见的，原是暂时的；那看不见的，才是永远的。	
		
		
5.0t	第五章	
		
5.1t	或生或死为讨主的欢心　	
5.1 	因为我们知道：如果我们这地上帐棚式的寓所拆毁了，我们必由天主获得一所房舍，一所非人手所造，而永远在天上的寓所。	
5.2 	诚然，我们在此叹息，因为我们切望套上那属天上的住所，	
5.3 	只要我们还穿著衣服，不是赤裸的。	
5.4 	我们在这帐棚里的人，苦恼叹息，是由于我们不愿脱去衣服，而就套上另一层，为使这有死的为生命所吸收。	
5.5 	但那安排我们如此的，是天主，是他给我们赐下了圣神作抵押。	
5.6 	所以不论怎样，我们时常放心大胆，因为我们知道，我们几时住在这肉身内，就是与主远离──	
5.7 	因为我们现今只是凭信德往来，并非凭目睹──	
5.8 	我们放心大胆，是为更情愿出离肉身，与主同住。	
5.9 	为此我们或住在或出离肉身，常专心以讨主的喜悦为光荣。	
5.10	因为我们众人都应出现在基督的审判台前，为使各人借他肉身所行的，或善或恶，领取相当的报应。	
		
5.11t	宗徒为自己辩护的目的　	
5.11	我们既然知道主的可畏，遂尽力使人相信我们；我们在主前是显明的，我也盼望在你们的良心前也是显明的。	
5.12	这并不是我们又向你们举荐自己，而是为给你们一个有为我们夸耀的机会，使你们有以对付那些只凭外貌，而不凭内心夸耀的人们，	
5.13	因为如果说我们是发狂，那是为了天主；如果说我们是清醒，那是为了你们。	
		
5.14t	基督的爱催迫宗徒　	
5.14	因为基督的爱催迫着我们，因我们曾如此断定：既然一个人替众人死了；	
5.15	那么众人就都死了；他替众人死，是为使活着的人不再为自己生活，而是为替他们死而复活了的那位生活。	
5.16	所以我们从今以后，不再按人的看法认识谁了；纵使我们曾按人的看法认识过基督，但如今不再这样认识他了。	
5.17	所以谁若在基督内，他就是一个新受造物，旧的已成过去，看，都成了新的。	
5.18	这一切都是出于天主，他曾借基督使我们与他自己和好，并将这和好的职务赐给了我们：	
5.19	这就是说：天主在基督内使世界与自己和好，不再追究他们的过犯，且将和好的话放在我们的口中。	
5.20	所以我们是代基督作大使了，好象是天主借着我们来劝勉世人。我们如今代基督请求你们：与天主和好罢!	
5.21	因为他曾使那不认识罪的，替我们成了罪，好叫我们在他内成为天主的正义。	
		
		
6.0t	第六章	
		
6.1t	保禄传教的表样　	
6.1 	我们与天主合作的人，也劝你们不要白受天主的恩宠──	
6.2 	因为经上说：『在悦纳的时候，我俯允了你；在救恩的时日，我帮助了你。』看！如今正是悦纳的时候；看，如今正是救恩的时日──	
6.3 	我们在任何事上，为避免这职务受诋毁，不但没有给任何人跌倒的因由，	
6.4 	反而处处表现我们自己，有如天主的仆役，就是以持久的坚忍，在艰难、贫乏、困苦之中，	
6.5 	在拷打、监禁、暴乱之中，在劳若、不寝、不食之中，	
6.6 	以清廉，以明智，以容忍，以慈惠，以圣神，以无伪的爱情，	
6.7 	以真理的言辞，以天主的德能，以左右两手中正义的武器，	
6.8 	历经光荣的凌辱，恶名和美名；像是迷惑人的，却是真诚的；	
6.9 	像是人所不知的，却是人所共知的；像是待死的，看！我们却活着；像是受惩罚的，却没有置于死地；	
6.10	像是忧苦的，却常常喜乐；像是贫困的，却使许多人富足；像是一无所有的，却无所不有。	
		
6.11t	对信友的挚爱和规劝　	
6.11	格林多人啊!我们的口向你们张开了，我们的心也敞开了。	
6.12	你们在我们心内并不窄狭，而是你们的心肠窄狭。	
6.13	为了以报还报，如今我对你们犹如对自己的孩子说：你们也敞开你们的心罢!	
6.14	你们不要与不信的人共负一轭，因为正义与不法之间，那能有什么相通﹖或者，光明之于黑暗，那能有什么联系﹖	
6.15	基督之于贝里雅耳，那能有什么协和﹖或者，信者与不信者，那能有什么股份﹖	
6.16	天主的殿与偶像，那能有什么相合﹖的确，我们就是生活的天主的殿，正如天主所说的：『我要在他们内居住，我要在他们中徘徊；我要做他们的天主，他们要做我的百姓。』	
6.17	为此，『你们应当从他们中间出来，离开他们──这是上主说的──你们不可触摸不洁之物，我要收纳你们，	
6.18	我要做你们的父亲，你们要做我的子女；这是全能的上主说的。』	
		
		
7.0t	第七章	
7.1 	所以，亲爱的！我们既有这些恩许，就当洁净自己，除去肉体和心灵上的一切玷污，以敬畏天主之情来成就圣德。	
7.2 	容纳我们罢!我们并没有侵犯过谁，没有败坏过谁，也没有占过谁的便宜。	
7.3 	我说这话，并不是为定你们罪，因为我以前曾说过：你们常在我们心中，甚至于同死同生。	
		
7.4t	追述弟铎带来的安慰　	
7.4 	我对你们大可放心，我为了你们也很可夸耀；我充满了安慰，在我们各样的苦难中，我格外充满喜乐，	
7.5 	因为自从我们到了马其顿，我们的肉身没有得到一点安宁，反而处处遭难：外有争斗，内有恐惧。	
7.6 	但那安慰谦卑人的天主，以弟铎的来临安慰了我们；	
7.7 	不但以他的来临，而且以他由你们所得的安慰，安慰了我们，因为他把你们的切望，你们的悲痛，你们对我的热忱，都给我们报告了，致令我更加喜欢。	
7.8 	虽然我曾以那封信使你们忧苦了，我并不后悔，纵然我曾经后悔过──因为我看见那封信实在使你们忧苦了，虽然只是一时──	
7.9 	如今我却喜欢，并不是因为你们忧苦了，而是你们忧苦以致于悔改，因为你们是按照天主的圣意而忧苦的，所以没有由我们受到什么损害。	
7.10	因为按照天主圣意而来的忧苦，能产生再不返悔的悔改，以致于得救；世间的忧苦却产生死亡。	
7.11	且看，这种按照天主圣意而来的忧苦，在你们中产生了多大的热情，甚而辨白，而愤慨，而恐惧，而切望，而热忱，而谴责；在各方面，你们表明自己对那事件是无罪的。	
7.12	因此，虽然我从前给你们写了信，却不是为了那侵犯人的，也不是为了那受侵犯的，而是为要把你们对我们的热情，在天主面前表彰出来；	
7.13	为此我们得到了安慰。	
		
7.14t	分享弟铎的安慰　	
7.14	在我们受安慰之外，我们尤其因弟铎的喜乐而更加喜乐，因为他的心神由你们众人得到宽慰，因为，我如果对弟铎夸耀过你们什么，我也不致于羞愧，因为我向他夸耀你们的话，成了真的，正如我们对你们所说的一切都是真的一样；	
7.15	并且，他一想起你们众人的服从，怎样以敬畏和战栗的心情来接待他，他的心肠就越发倾向你们。	
7.16	我真喜欢，因为我对你们在各方面都可以放心了！	
		
		
8.-1t	催促捐款	
		
8.0t	第八章	
		
8.1t	马其顿教会捐款的榜样　	
8.1 	弟兄们!如今我们愿意告诉你们：天主在马其顿各教会所施与的恩惠，	
8.2 	就是他们在患难频繁的试探中所充满的喜乐，和他们极度的贫困所涌出的丰厚慷慨。	
8.3 	我可以作证：他们是尽了力量，甚至超过了力量，自动的捐输，	
8.4 	再三恳求我们准他们分享供应圣徒的恩惠。	
8.5 	他们所作的，不但如我们所盼望的，而且按照天主的旨意，把自己先奉献给主也献给了我们；	
8.6 	因此，我们请求弟铎，他既然开始了这慈善的事，也在你们中予以完成。	
		
8.7t	劝教友完成捐款之事　	
8.7 	就如你们在一切事上，在信德、语言、知识和各种热情上，并在我们所交于你们的爱情上，超群出众，这样也要在这慈善事上超群出众。	
8.8 	我说这话并不是出命，而是借别人的热情来试验你们爱情的真诚。	
8.9 	因为你们知道我们的主耶稣基督的恩赐：衪本是富有的，为了你们却成了贫困的，好使你们因着他的贫困而成为富有的。	
8.10	我在这事上只给你们贡献意见，因为这样更适合于你们，因为你们从去年不但已开始实行了，而且还是出于自愿。	
8.11	所以如今，请完成你们所实行的事罢!好使你们怎样甘心情愿，也怎样照所有的予以完成，	
8.12	因为只要有甘心情愿在，蒙受悦纳是照所有的，不是照所无的。	
8.13	这不是说要使别人轻松，叫你们为难；而是说要出于均匀：	
8.14	在现今的时候，你们的富裕弥补了他们的缺乏，好使他们的富裕也弥补你们的缺乏，这样就有了均匀，	
8.15	正如所记载的：『多收的没有剩余，少收的也没有不足。』	
		
8.16t	通知教会弟铎与二随员所负的使命　	
8.16	感谢天主，把我对你们所有的同样热情赐在弟铎的心里，	
8.17	因为他接受了我们的请求，而且因他更为关心，便自动地起身往你们那里去了。	
8.18	同时，我也打发了一位弟兄和他同去，这人在宣讲福音上所受的赞美传遍了各教会──	
8.19	不但如此，而且各教会也派定了他在这恩惠上作我们的旅伴，我们经管这事是为主的光荣，并为表现我们的好心──	
8.20	我们这样防范，是为避免有人在我们所经管的这巨款上来毁谤我们，	
8.21	因为我们不但在主面前关心我们的美名，而且也在人的面前。	
8.22	我们还打发了一位弟兄与他们同去，我们在许多事上，屡次证验过他是热情的；如今因他对你们大有信心，当然更加热情了。	
8.23	论到弟铎，他是我的同伴，为你们也是我的助手；论到我们的那两位弟兄，他们是教会的使者，是基督的光荣，	
8.24	所以你们要在众教会前，向他们证实你们的爱情，和我们对你们所有的夸耀。	
		
		
9.0t	第九章	
		
9.1t	督促信友备妥款项　	
9.1 	其实，关于供应圣徒之事，我给你们写信原是多余的，	
9.2 	因为我知道你们甘心情愿做。对这事，我曾向马其顿人夸耀过你们，说阿哈雅从去年就预备好了，并且你们的热心曾激励了很多的人，	
9.3 	不过，我打发那几位弟兄去，好使我们在这方面所夸耀于你们的，不致于落空，好叫你们正如我所说过的，准备好了，	
9.4 	免得万一马其顿人与我同去，见你们没有准备好，使我们在这件事上受到羞辱，那更不用说你们了。	
9.5 	所以我认为必须请求那几位弟兄先到你们那里，把你们从前所应许的大量捐助先准备好，齐备的好象是出于大方，而不是出于小气。	
		
9.6t	大量捐助的善果　	
9.6 	再一说：小量播种的，也要小量收获；大量播种的，也要大量收获。	
9.7 	每人照心中所酌量的捐助，不要心痛，也不要勉强，因为『天主爱乐捐的人。』	
9.8 	天主能丰厚地赐与你们各种恩惠，使你们在一切事上常十分充足，能多多行各种善事，	
9.9 	正如经上记载说：『衪博施济贫，衪的仁义永世常存。』	
9.10	那供给播种者种子，而又供给食粮作吃食的，必要供给和增多你们的种子，且使你们仁义的出产增加，	
9.11	叫你们事事富足，以致十分慷慨，致使人因此借着我们而产生出感谢天主的心情，	
9.12	因为办这种供应的事，不但补助了圣徒的贫乏，而还可叫许多人多多感谢天主。	
9.13	借着这次供应的证明，他们必要因你们而明认和服从基督的福音，和你们对他们以及众人的慷慨捐助，而光荣天主；	
9.14	同时，他们也必因天主在你们身上所赐的鸿恩，而为你们祈祷，而向往你们。	
9.15	感谢天主，为他莫可名言的恩赐！	
		
		
10.-1t	护卫宗徒职权	
		
10.0t	第十章	
		
10.1t	宗徒的权威　	
10.1 	我保禄──就是那在你们中面对面时就谦卑，不在的时候就对你们胆大的──亲自借基督的温和良善劝告你们，	
10.2 	甚至求你们，不要叫我到你们那里时，因果敢而对你们大了胆──这种果敢，本来是我决意要对付那些，以我们为按照血肉行事的人的──	
10.3 	我们固然是在血肉中行事，却不是按照血肉而交战，	
10.4 	因为我们作战的武器，不是属于血肉的，而是凭天主有力的武器，足以攻破坚固的堡垒：攻破人的诡辩，	
10.5 	以及一切为反对天主的智识所树立的高寨，并掳获一切人的心意，使之服从基督；	
10.6 	并且我们已准备停留，及至你们完全服从时，来惩罚一切的不服从。	
		
10.7t	准备行使宗徒威权　	
10.7 	你们看看摆在眼前的事实罢!如果有人自信是属于基督的，他自己该再想想：他怎样属于基督，我们也怎样是；	
10.8 	因为，即便我对我们的权柄有一点过份的夸耀──这权柄原是主所赐与，为建树，而不是为破坏你们的──我也不羞愧，	
10.9 	免得有人以为我好象只会借着书信来恐吓你们。	
10.10	因为有人说：「他的书信的确严厉而又强硬，但他本人在时却软弱无能，言语又空洞可轻。」	
10.11	这样的人该想一想：我们不在的时候，写信时在言语上是怎样，我们来到的时候，在行事上也必是这样。	
		
10.12t	行使权威并未越权　	
10.12	其实，我们不敢拿自己与某些举荐自己的人同列或相比，他们是以自己来度量自己，以自己来跟自己相比，这决不是明智。	
10.13	我们夸耀却不越过范围，而只是按照天主所指给我们的界限范围，照这范围也一直达到你们那里。	
10.14	我们并没有过于伸展自己，好象从没有到达过你们那里似的，其实，是我们先带着基督的福音，到了你们那里的；	
10.15	我们并没有越过了范围，以别人的劳苦而夸耀；我们只希望因着你们信德的长进，在你们中按照指给我们的界限越发开展，	
10.16	以致将福音传到你们以外的地方，但不在别人的界限内，以别人已成的事而夸耀。	
10.17	『凡要夸耀的，应当因主而夸耀。』	
10.18	因为不是自己举荐自己的，那人是可取的，而是天主所举荐的。	
		
		
11.0t	第十一章	
		
11.1t	自夸的原因　	
11.1 	巴不得你们容忍我一点狂妄!其实，你们也应容忍我，	
11.2 	因为我是以天主的妒爱，妒爱你们。原来我已把你们许配给一个丈夫，把你们当作贞洁的童女献给了基督。	
11.3 	但我很怕你们的心意受到败坏，失去那对基督所有的赤诚和贞洁，就像那蛇以狡滑诱惑了厄娃一样。	
11.4 	如果有人来给你们宣讲另一个耶稣，不是我们所宣讲过的；或者你们领受另一神，不是你们所领受过的；或者另一福音，不是你们所接受过的，你们竟然都容忍了，真好啊!	
11.5 	真实，我以为我一点也不在那些超等的宗徒以下，	
11.6 	纵使我拙于言词，却不拙于知识，这是我们在各方面，在各事上，对你们所表显出来的。	
		
11.7t	自夸不求报酬　	
11.7 	难道我白白地给你们传报天主的福音，屈卑我自己为使你们高升，就有了不是吗﹖	
11.8 	我剥削了别的教会，取了酬资，为的是给你们服务啊!	
11.9 	当我在你们那里时，虽受了匮乏，却没有连累过你们一个人，因为有从马其顿来的弟兄们，补助了我的匮乏，我一向在各方面设法避免连累你们，将来还要如此。	
11.10	基督的真理在我内，我敢说：我这种夸耀在阿哈雅地方是不会停止的。	
11.11	为什么呢﹖因为我不爱你们吗﹖有天主知道!	
11.12	我现今作的，将来还要作，为避免给与那些找机会的人一个机会，免得人看出他们在所夸耀的事上也跟我们一样，	
11.13	因为这种人是假宗徒，是欺诈的工人，是冒充基督宗徒的。	
11.14	这并不希奇，因为连撒殚也常冒充光明的天使；	
11.15	所以倘若他的仆役也冒充正义的仆役，并不算是大事；他们的结局必与他们的行为相对等。	
		
11.16t	请原谅他的自夸　	
11.16	我再说：谁也不要以为我是狂妄的，若不然，你们就以我为狂妄看待罢!好叫我也稍微夸耀一下。	
11.17	我在这夸耀的事上所要说的，不是按照主说的，而是如同在狂妄中说的。	
11.18	既有许多人按照俗见夸耀，我也要夸耀，	
11.19	因为像你们那样明智的人，竟也甘心容忍了那些狂妄的人!	
11.20	因为，若有人奴役你们，若有人侵吞你们，若有人榨取你们，若有人对你们傲慢，若有人打你们的脸，你们竟然都容忍了!	
11.21	我惭愧的说：在这方面好象我们太软弱了!	
		
11.22t	在工作及劳苦上的自夸　	
11.22	其实，若有人在什么事上敢夸耀──我狂妄地说：我也敢。他们是希伯来人﹖我也是。他们是以色列人？我也是。他们是亚巴郎的苗裔﹖我也是。	
11.23	他们是基督的仆役﹖我疯狂地说：我更是。论劳碌，我更多；论监禁，更频繁；论拷打，过了量；冒死亡，是常事。	
11.24	被犹太人鞭打了五次，每次四十下少一下；	
11.25	受扙击三次；被石击一次；遭翻船三次；在深海里度过了一日一夜，	
11.26	又多次行路，遭遇江河的危险、盗贼的危险、由同族来的危险、由外邦人来的危险、城中的危险、旷野里的危险、海洋上的危险、假弟兄中的危险；	
11.27	劳碌辛苦，屡不得眠；忍饥受渴，屡不得食；忍受寒冷，赤身裸体；	
11.28	除了其余的事以外，还有我每日的繁务，对众教会的挂虑。	
11.29	谁软弱，我不软弱呢﹖谁跌倒，我不心焦呢﹖	
		
11.30t	特别夸耀自己的软弱　	
11.30	若必须夸耀，我就要夸耀我软弱的事。	
11.31	主耶稣的天主和父，那应受颂扬于永远的，知道我不撒谎。	
11.32	我在大马士革时，阿勒达王的总督把守了大马士革人的城，要逮捕我，	
11.33	而我竟被人用篮子从窗口，沿着城墙系下，逃脱了他的手。	
		
		
12.0t	第十二章	
		
12.1t	对神视的夸耀　	
12.1 	若必须夸耀──固然无益──我就来说说主的显现和启示。	
12.2 	我知道有一个在基督内的人，十四年前，被提到三层天上去──或在身内，我不知道，或在身外，我也不知道，惟天主知道──	
12.3 	我知道这人──或在身内，或在身外，我不知道──天主知道──	
12.4 	他被提到乐园里去，听到了不可言传的话，是人不能说出的。	
12.5 	对这样的人，我要夸耀；但为我自己，除了我的软弱外，我没有可夸耀的。	
12.6 	其实，即使我愿意夸耀，我也不算是狂妄，因为我说的是实话；但是我绝口不谈，免得有人估计我，超过了他在我身上所见到的，或由我所听到的。	
		
12.7t	对软弱的夸耀　	
12.7 	免得我因那高超的启示而过于高举自己，故此在身体上给了我一根刺，就是撒殚的使者来拳击我，免得我过于高举自己。	
12.8 	关于这事，我曾三次求主使它脱离我；	
12.9 	但主对我说：「有我的恩宠为你够了，因为我的德能在软弱中才全显出来。」所以我甘心情愿夸耀我的软弱，好叫基督的德能常在我身上。	
12.10	为此，我为基督的缘故，喜欢在软弱中，在凌辱中，在艰难中，在迫害中，在困苦中，因为我几时软弱，正是我有能力的时候。	
		
12.11t	保禄的自夸是出于不得已　	
12.11	我成了狂妄的人，那是你们逼我的。本来我该受你们的褒扬，因为纵然我不算什么，却一点也不在那些超等的宗徒以下。	
12.12	宗徒的记号，也在你们中间，以各种的坚忍，借着征兆、奇迹和异能，真正实现了；	
12.13	其实，除了我本人没有连累过你们这件事外，你们有什么不及别的教会之处呢﹖关于这个委屈，你们宽恕我罢!	
12.14	看，这已是第三次我预备好，到你们那里去，我还是不连累你们，因为我所求的不是你们的东西，而你们自己；原来不是儿女应为父母积蓄，而是父母该为儿女积蓄。	
12.15	至于我，我甘心情愿为你们的灵魂付出一切，并将我自己也完全耗尽；难道我越多爱你们，就该少得你们的爱吗﹖	
12.16	是啊!我没有连累过你们，但我是出于狡猾，以诡诈榨取了你们。	
12.17	在我所打发到你们那里去的人中，难道我曾借着其中的一位，占过你们的便宜吗﹖	
12.18	我曾请求了弟铎，并打发了一位弟兄同去；难道弟铎占过你们的便宜吗﹖我们行动来往，不是具有一样的心神，一样的步伐吗﹖	
		
12.19t	保禄申辩的目的　	
12.19	到如今你们以为我是向你们申辩罢!其实，我们是在基督内当着天主的面说话；这一切，亲爱的，都是为建树你们，	
12.20	因为我怕我来到的时候，见你们不合于我所想望的，你们也见我不合于你们所想望的：就是怕有争端、嫉妒、愤怒、分裂、毁谤、挑唆、自大、纷乱；	
12.21	又怕我到的时候，我的天主再使我在你们前受委屈，并为那许多从前犯了罪而不悔改他们所习行的不洁、淫乱和放荡的人而恸哭。	
		
		
13.0t	第十三章	
		
13.1t	凡不悔改者必不宽容　	
13.1 	这是我第三次要到你们那里去。『无论什么事，凭两个或三个见证的口供，才得成立。』	
13.2 	我第二次在你们那里时已经说过，如今不在的时候，再预先向那些以前犯了罪的和其余的众人说：我若再来，必不宽容!	
13.3 	这是因为你们愿寻求基督在我内说话的证验，基督对你们并不是软弱的，相反，衪在你们中是有能力的。	
13.4 	他虽然由于软弱而被钉在十字架上，却由于天主的德能仍然活着；我们也是一样，虽然我们在衪内也成了软弱的，但对于你们，我们却也要由于天主的德能同衪一起活着。	
13.5 	你们该考查考查自己，是否仍站在信德上，你们要考验考验自己!难道你们自己认不出耶稣基督就在你们内吗﹖若不然，你们就是禁不起考验的。	
13.6 	但我希望你们认清我们并不是经不起考验的。	
		
13.7t	劝格林多人自行悔改　	
13.7 	我们祈求天主，使你们不作什么恶事，并不是为显明我们是经得起考验的，而是为叫你们行善，使我们好似成为经不起考验的一般。	
13.8 	因为我们并不能作什么来反对真理，只能拥护真理。	
13.9 	因为几时我们软弱，而你们有能力，我们才喜欢；我们只求一件事：就是你们的成全。	
