1:-1t	撒慕尔纪下
2:18	责鲁雅的三个儿子约阿布、阿彼瑟与阿撒耳，那时都在场，阿撒耳的腿快捷像野羚羊。
2:19	阿撒耳便去追赶阿贝乃尔，不左不右，直追阿贝乃尔。
2:20	阿贝乃尔转过身来问说：「你是阿撒耳吗？」他答说：「我是。」
2:21	阿贝乃尔对他说：「你转左或转右，捉住一个青年，夺取他的装备罢！」但阿撒耳却不肯放松他。
2:22	阿贝乃尔就再对阿撒耳说：「你不要再追赶我了，为什么逼我将你击倒在地，叫我日后怎有脸再见你的兄弟约阿布？
2:23	阿撒耳仍不肯罢休。阿贝乃尔就调过枪来，击中了他的腹部，枪由背后穿出，他就倒在那里，当下死了。凡来到阿撒耳倒毙的地方的人，都站住了。
	
2:24t	双方议和收兵
	
2:24	约阿布和阿彼瑟仍在追赶阿贝乃尔，当他们来到往革巴旷野去的路上，基亚前的阿玛山岗时，太阳就快要西落。
2:25	本雅明人集结成队，跟在阿贝乃尔后边，站在一座小山头上。
2:26	阿贝乃尔向约阿布喊说：「刀剑岂能永远击杀？你岂不知结局更为不幸？几时你才命众人转身，不再追赶自己的兄弟？」
2:27	约阿布答说：「上主永在！若你不发言，众人直到早晨，连一个也不会停止追赶自己的兄弟！」
2:28	约阿布遂吹号，众人就停下，不再追赶以色列人，不再进攻。
2:29	阿贝乃尔同他的人，那一整夜走过了阿辣巴平原，过了约但河，以后，又走了一上午，终于到了玛哈纳殷。
2:30	约阿布追赶阿贝乃尔回来，召集了自己的人，达味仆人中，除阿撒耳外，少了十九人。
2:31	但阿贝乃尔所带的本雅明人中，有三百六十人，为达味的臣仆杀死。
2:32	遂将阿撒耳的尸体带回，埋在白冷他父亲的坟墓内。约阿布同他的人走了一夜，天亮时已到赫贝龙。
	
3:0t	第三章
	
3:1t	达味在赫贝龙生的儿子
	
3:1	撒乌耳家与达味家间的战争相持很久；但达味家逐渐强盛，撒乌耳家?却日趋衰弱。
3:2	达味在赫贝龙生的儿子：长子阿默农，是依次勒耳人阿希诺?罕所生；
3:3	次子基肋阿布，是曾作加尔默耳人纳巴耳妻子的阿彼盖耳所生；?
3:4	四子阿多尼雅，是哈基特所生；五子舍法提雅，是阿彼塔耳所生；
3:5	六子依特兰，是达味妻子厄革拉所生：以上是达味在赫贝龙所生的儿子。
	
3:6t	依市巴耳指摘阿贝乃尔
	
3:6	撒乌?耳家同达味家战争期间，阿贝乃尔获得操纵撒乌耳家的权柄。
3:7	撒乌耳有一?妾名叫黎兹帕，是阿雅的女儿，阿贝乃尔娶了她；依市巴耳对阿贝乃尔说：?「你为什么亲近我父亲的妾？」
3:8	为了依市巴耳这句话，阿贝乃尔勃然大怒?说：「莫非我是犹大的狗头？直到今天我怜恤你父亲撒乌耳，和他的兄弟以?及他的朋友，没有使你落在达味手里；你今天竟为了一个女人挑我的错！
3:9	若我今后不依照上主对达味所誓许的去行：
3:10	废除撒乌耳家的王位，建立?达味的宝座，使他由丹直到贝尔舍巴，统治全以色列和犹大，愿天主如此，?并加倍地惩罚我！」
3:11	依市巴耳因为怕阿贝乃尔，连一句话也不敢回答。?
	
3:12t	阿贝尔与达味协商
	
3:12	阿贝乃尔立即派使者到赫贝龙见达味说：「这地是谁的？」是说：「只?要你与我订立盟约，我必伸手援助你，使全以色列都归顺你。」
3:13	达味答?说：「好！我愿与你订立盟约，但是，我要求你一个条件：就是你来见我时?，若不把撒乌耳的女儿米加耳带来，你休想见我。」
3:14	随后，达味就派使?者到撒乌耳的儿子依市巴耳那里说：「请把我的妻米加耳归还给我，她是我?以一百培肋特舍人的包皮聘定的。」
3:15	依市巴耳就派人，从拉依士的儿子?帕耳提耳，她丈夫那里把她带来。
3:16	她的丈夫与她同行，一边走一边哭，?送她到了巴胡凌。阿贝乃尔向他说：「你回去罢！」他就回去了。
3:17	阿贝?乃尔同以色列的长老商议说：「你们早已渴望达味作你们的君王。
3:18	现在?你们就进行罢！因为上主曾论及达味说：我要藉我的仆人达味，从培肋舍特?人及一切仇敌手中，拯救我的百姓以色列。」
3:19	阿贝乃尔也游说了本雅明?人；以后阿贝乃尔去赫贝龙见达味，向他报告以色列和本雅明全家共同赞成?的事。
3:20	阿贝乃尔遂率领二十人去赫贝龙见达味。达味设宴款待了阿贝乃?尔和他的随员。
3:21	阿贝乃尔向达味说：「我要动身去号召全以色列，来拥?护我主大王，使他们与你立约：这样你能依照你的心愿来统治一切。」事后?，达味放阿贝乃尔平安走了。
	
3:22t	约阿布杀阿贝乃尔
	
3:22	达味的臣仆和约阿布出征回来，带回了很?多战利品。那时，阿贝乃尔已不在赫贝龙达味那里了，因为达味放他平安走?了。
3:23	约阿布和他率领的军队一来到，就有人告诉他说：「乃尔的儿子阿?贝乃尔曾来到君王前，君王放他平安走了。」
3:24	约阿布就去见君王说：「?你作的是什么事？阿贝乃尔到你这里来，你为什么放他平安走了？
3:25	你岂?不认识乃尔的儿子阿贝乃尔？他来是为欺骗你，愿探听你的出入，知道你的?一切行动。」
3:26	约阿布离开达味就打发差役去追赶阿贝乃尔。他们从息辣?的旱井旁，把他带回来，。达味一点也不知道。
3:27	阿贝乃尔一回到赫贝龙?，约阿布就领他到大门旁，彷佛要与他暗地交谈，就在那里一刀剌穿了他的?肚腹，他立即死了；这样替他兄弟阿撒耳报了血仇。
	
3:28t	达味痛悼阿贝乃尔
	
3:28	事后，达味一听说?这事，就说：「我和我的国家，对乃尔的儿子阿贝乃尔的血案，在上主面前?，永远是无罪的！
3:29	愿这罪归在约阿布的头上和他父的全家！愿约阿布家?中不断有患淋症，长癞病，只会纺线，丧身刀下和缺粮的人！」
3:30	约阿布?和他的兄弟阿彼瑟暗杀了阿贝乃尔，是因为他在基贝红打仗时，杀死了他们?的兄弟阿撒耳。
3:31	达味向约阿布和同他在一起的民众说：「要撕裂你们的?衣服，穿上丧服，为阿贝乃尔举哀！」达味王也跟在灵柩后送葬。
3:32	他们?在赫贝龙埋葬了阿贝乃尔；君王在阿贝乃尔墓旁放声大哭，民众也都哭了。
3:33	君王作哀歌吊阿贝乃尔说：「阿贝乃尔岂应像傻瓜一样死去？
3:34	你的?手并未束拷，你的脚也没带镣，怎么你毙命，竟如凶犯毙命一样！」为此民?众更加痛哭。
3:35	随后，众人前来劝君王进食，那时还是白天，达味却发誓?说：「若我在日落前进食，或尝什么东西，愿天主如此，并加倍地惩罚我！?」
3:36	众人见到此事，都心悦诚服，因为凡君王所行的，无不叫众人心悦诚?服。
3:37	如此，众人和全以色列当天都知道，杀乃尔的儿子阿贝乃尔，不是?出于君王的命令。
3:38	达味向他的臣仆说：「你们不知道今天在以色列丧失?了一位将领和伟人吗？
3:39	我今天虽是傅油的君王，仍年幼无力，责鲁雅的?儿子们又比我刚强；愿上主依照人所行的邪恶，来施行报复！」
	
4:0t	第四章
	
4:1t	严忝杀依市巴耳刺客
	
4:1	撒乌耳的儿子依市巴耳，一听见阿贝乃尔死在赫贝龙，就慌了手脚，?全以色列大惊。
4:2	撒乌耳的儿子依市巴耳有两个土匪头目：一个名叫巴阿纳?，一个名叫勒加布，是本雅明子孙贝洛特人黎孟的儿子，──贝洛特被认为?是本雅明族，
4:3	因为贝洛特人逃到了基塔殷，侨居在那里，直到今日。
4:4	撒乌耳的儿子约纳堂有个儿子双足跛了，当撒乌耳与约纳堂的凶信由依次勒耳?传来时，他只有五岁，他的乳母带他逃跑，在慌张逃跑中，他跌瘸了腿；他?名叫默黎巴耳。
4:5	贝洛特人黎孟的儿子勒加布和巴阿纳出去，正当中午炎热?的时候，到了依市巴耳家里，他正在床上睡午觉。
4:6	看门的女仆在筛麦子，?也打盹睡著了。此时勒加布和他兄弟巴阿纳溜进去，
4:7	到了屋内，见依市巴?耳正睡在卧室的床上，便将他打死，砍下他的头，带著头，在阿辣巴的大路?上走了一夜。
4:8	他们带著依市巴耳的头，到了赫贝龙见达味王说：「大王的?仇人撒乌耳常谋害你的性命；看，他儿子依市巴耳的头；上主今天为我主向?撒乌耳和他的后代报了仇。」
4:9	但是，达味答覆贝洛特人黎孟的儿子勒加布?和他兄弟巴阿纳说：「我指著那救我脱离了一切患难的永生上主起誓：
4:10	那告诉我说：撒乌耳死了的，自以为是报喜信，我却拿住他，在漆刻拉格杀?了，作为他报信的赏报；
4:11	那么，现在这些匪徒，偷进人屋，杀了睡在床?上的义人，我岂不更该从你们手中追讨他的血债，将你们由地上铲除？」
4:12	达味遂命自己的僮仆，杀了他们，砍去他们的手足，挂在赫贝龙的池旁；至?于依市巴耳的头，叫人拿去葬在赫贝龙，阿贝乃尔的坟墓内。
	
5:0t	第五章
	
5:1t	各支派承认达味为王
	
5:1	以色列各支派聚集到赫贝龙，来见达味说：「看，我们都是你的骨肉。
5:2	以前，连撒乌耳当我们的君王时，也是你率领以色列出入征讨；上主曾对你说过：你应牧养我的百姓以色列，作以色列的领袖。」
5:3	随后，以色列所有的长老都到赫贝龙来见君王，达味君王就在赫贝龙，当上主的面同他们立了盟约；他们便给达味傅油，立他为以色列王。
5:4	达味登极时已三十岁，做王四十年；
5:5	在赫贝龙做犹大王，七年零六个月；在耶路撒冷做全以色列和犹大王三十三年。
	
5:6t	达味占领耶路撒冷
	
5:6	以后，达味和他的人向耶路撒冷进发，攻打住在那地方的耶步斯人，有人告诉达味说：「你决攻不进去，因为瞎眼瘸腿的也会把你赶走。」这是说：「达味决攻不进去。」
5:7	但是达味却占领了熙雍山堡，即达味城。
5:8	那日达味宣布说：「凡攻打耶步斯人，从水道首先到达味所恼恨的那些瘸腿瞎眼的人那里的，他要升为军长和元帅。」责鲁雅的儿子约阿布首先上去了，因而成了元帅。但为此有句俗语说：「有瞎眼瘸腿的在此，人是进不去的！」
	
5:9t	建达味城
	
5:9	达味住在那山堡内，称之为达味城。达味又从米罗往里，四周加建了城墙。
5:10	达味日渐强盛，上主万军的天主与他同在。
5:11	提洛王希兰派使臣来见达味，给他送来了香柏木，派来了木匠石匠，为他建造宫室。
5:12	那时，达味知道上主已坚定他为以色列王，并为了自己的百姓以色列，提高了他的王位。
5:13	达味从赫贝龙迁来以后，在耶路撒冷又娶了妻妾，生了一些子女。
5:14	他在耶路撒冷所生儿子的名字如下：沙慕亚、芍巴布、纳堂、撒罗满、
5:15	依贝哈尔、厄里叔亚、乃费格、雅非亚、
5:16	厄里沙玛、厄肋雅达和厄里培肋特。
	
5:17t	两次戢胜培肋舍特
	
5:17	培肋舍特人听说：达味受傅作了以色列王，遂都上来向达味寻□；达味一听说，便下到堡垒中。
5:18	培肋舍特人来到后，散布在勒法因平原内。
5:19	那时达味求问上主说：「我可以上去攻打培肋舍特人吗？你将他们交在我手中吗？」上主回答达味说：「你上去，我必将培肋舍特人交在你手中。」
5:20	达味于是来到巴耳培辣亲，在那里击败了他们。达味因此说：「上主使我的敌人在我面前崩溃，如水破堤。」为此，后人称这地方为巴耳培辣亲。培肋舍特人把自己的神像都遗弃在那里，达味和他的人便将这些神像都带走了。培肋舍特人又上来，散布在勒法因平原内。
5:21	达味又求问上主，上主说：「不要上去，但要绕到他们后方，从桑林那边抄他们的后路。
5:22	当你听到桑树梢上有脚步声时，你就赶快行动，因为那时正是上主在你前面出击培肋舍特人的军队。」
5:23	达味就照上主所命的行了，击杀培肋舍特人，从基贝红直到革则尔。
	
	
	
6:0t	第六章
	
6:1t	约柜运往熬贝得厄东家
	
6:1	达味又调集了以色列所有的精兵，共三万人。
6:2	达味和他身边所有的人，起身到犹大巴阿拉去，要从那里将天主的约柜运上来。这约柜名叫「坐于革鲁宾上的万军的上主。」
6:3	人遂将天主的约柜，从丘陵上的阿彼纳达布家里抬出，放在一辆新车上，阿彼纳达布的两个儿子，乌匝和阿希约驾驶新车。
6:4	乌匝走在天主约柜的后面，阿希约走在前面。
6:5	达味和以色列全家在上主面前兴高彩烈地舞蹈作乐，弹琴、击弦、敲鼓、摇铃、击钹。
6:6	当他们来到纳贡的禾场时，因为牛几乎使天主的约柜倾倒，乌匝便伸手扶住。
6:7	为了他一时的冒失，上主就向乌匝发怒，将他击杀，他更死在天主的约柜旁。
6:8	达味因为上主击杀了乌匝，很觉悲伤，于是那地方名叫培勒兹乌匝，直到今日。
6:9	那天，达味对上主害了怕，心想：「上主的约柜如何能进入我那里？」
6:10	因此，达味不愿上主的约柜迁入达味城自己那里，却运往加特人敖贝得厄东家中。
6:11	上主的约柜在加特人敖贝得厄东家中，存放了三个月，上主祝福了敖贝得厄东和他的全家。
	
6:12t	迁入达味城
	
6:12	有人告诉达味，上主为了天主的约柜祝福了敖贝得厄东的家，和他所有的一切。达味就去将天主的约柜，由贝得厄东家兴高彩烈地抬上达味城来。
6:13	每当抬上主约柜的人走六步，他就祭献一头牛和一只肥羊。
6:14	同时达味束著细麻的「厄弗得，」在上主面前尽力跳舞。
6:15	这样，达味与以色列全家大声欢呼，吹起号筒，将上主的约柜迎上来。
6:16	当上主的约柜进入达味城时，撒乌耳的女儿米加耳，由窗内窥看，见达味王在上主面前跳跃舞蹈，心中就轻视他。
6:17	他们将上主的约柜抬来，安置在预备好的地方，停在达味为约柜建立的帐幕中央；达味给上主奉献了全燔祭与和平祭。
6:18	达味献完了全燔祭与和平祭后，以万军上主的名祝福了百姓。
6:19	以后，分给所有百姓，全以色列民众，不论男女，每人一块饼，一块肉，一块葡萄乾饼。然后百姓各自回了本家。
	
6:20t	米加耳与达味
	
6:20	达味回来祝福本家时，撒乌耳的女儿米加耳出来迎接达味说：「以色列的君王今天多么荣耀！他今天在臣仆的婢女前赤身露体，活像一个赤身露体的小丑。」
6:21	达味回答米加耳说：「在废弃你父他全家，而选拔了我的上主面前，在派我为上主百姓以色列首领的上主面前，我甘愿舞蹈，
6:22	甘愿加倍卑贱我自己！我在你眼中被视为卑贱，但在你所说的婢女们前，我必受到尊敬。」
6:23	从此撒乌耳的女儿米加耳，到死再没有生育。
	
	
	
7:0t	第七章
	
7:1t	达味建立圣殿
	
7:1	那时，君王住在宫殿里，上主赐他安享太平，不为四周仇敌所侵扰，
7:2	君王遂对纳堂先知说：「请看，我住在香柏木的宫殿，而天主的约柜却在帐幕内。」
7:3	纳堂回答君王说：「你心内打算的，你全可照办！因为上主与你同在。」
7:4	但是，当夜就有上主的话传于纳堂说：「
7:5	你去告诉我的仆人达味，上主这样说：你要建筑一座殿宇给我居住吗？
7:6	我自从埃及领以色列子民上来那一天起，直到今日，从没有居住过殿宇，只随帐棚和会幕漂泊。
7:7	我与去色列子民同行时，我何尝向我立为牧养我民以色列的一个民长说过：你们为什么不为我建造一座香柏木的殿宇？
	
7:8t	上主许给达味源恩
	
7:8	现在，你要对我的仆人达味说：万军的上主这样说：是我拣选你离开牧场，离开放羊的事，作我民以色列的领袖。
7:9	你不论到那里去，我总是偕同你，由你面前消灭你的一切仇敌；我要使你成名，像世上出名的大人物；
7:10	我要把我民以色列安置在一个地方，裁培他们，在那里久住，再也不受惊恐，再也不像先前受恶人的欺压，
7:11	有如自从我为我民以色列立了民长以来一样；我要赐他们安宁，不受仇敌的骚扰。上主也告诉你：他要为你建立家室。
7:12	当你的日子满期与你祖先长眠时，我必在你以后兴起一个后裔，即你所生的儿子；我必巩固他的王权。
7:13	是他要为我的名建立殿宇；我要巩固他的王位直到永远。
7:14	我要作他的父亲，他要作我的儿子；若是他犯了罪，我必用人用的鞭，世人用的棍，来惩戒他；
7:15	但我决不由他收回我的恩情，就如在你以前由撒乌耳收回我的恩情一样。
7:16	你的家室和王权，在我面前永远存在，你的王位也永远坚定不移。」
7:17	纳堂便照这一切话，将整个启示告诉了达味。
7:18	达味王就进去，端坐在上主面前说：「我主上主！我是谁？我的家族又算什么，你竟领我到了这个地步？
7:19	我主上主！这在你眼中还以为太小，而你又说明了你仆人的家族未来的远景，并将此事显示给我这个人，我主上主！
7:20	达味还对你说什么？我主上主！你认识你的仆人。
7:21	你为了你的预许，按照你的心意，成就了这些伟大的事，为叫你的仆人认识清楚。
7:22	我主上主！为此，你是伟大的，没有与你相似的；按照我耳所听的，除了你以外，没有别的神。
7:23	世上又那里有一个民族能比得上你的民族以色列？天主亲自去解救他们出来，作为自己的民族；为使他们成名，在你从埃及解救出来的人民前，行了大而可畏的奇事，驱除异民以及他们的神。
7:24	你将你民以色列永远坚定为你的民族，你，上主做了他们的天主。
7:25	我主上主！现在，求你永远坚持你论及你的仆人和他的家室所说的话，按照你所说的履行罢！
7:26	愿你的名永远受尊崇！人要说：万军的上主是以色列的天主！愿你仆人达味的家室，永远坚家在你面前！
7:27	万军的上主，以色列的天主！因为你曾启示你的仆人说：我要建立你的家室，因此，你的仆人才敢在你面前向你如此祈祷。
7:28	我主上主，惟有你是天主！你的话是真理，是你向你仆人应许了这些恩惠。
7:29	求你如今就祝福你仆人的家室，使永远你面前存立，因为是你，我主上主所预许的，因此，你仆人的家室，必因你的祝福永远获得祝福。」
	
	
	
8:0t	第八章
	
8:1t	达味的武功 
	
8:1	此后，达味攻打培肋舍特人，将他们克服，由他们手中夺得了京城的治权。
8:2	他也打败了摩阿布人，叫他们躺在地上，用绳子来量，两绳子内的人处死，一绳内的人生存；如此，摩阿布人遂臣服达味，给他纳贡。
8:3	当勒曷布的儿子，祚巴王哈达德则尔向幼发拉的河伸展自己的势力时，达味也打败了他，
8:4	掳获了他的马兵一千七百，步兵两万，割断了所有拉战车的马蹄筋，只留下了足以拉一百辆车的马。
8:5	后有大马士革的阿兰人，
8:6	达味遂在大马士革阿兰屯兵驻守，阿兰也臣服于达味，给他进贡。达味无论往那里去，上主总是辅助他。
8:7	达味夺了哈达德则尔臣仆所带的金盾牌，送到耶路撒冷。
8:8	达味王又由贝塔和贝洛泰，哈达德则尔的两座城内，夺取了大量的铜。
8:9	当哈玛特王托乌，听说达味打败了哈达德则尔，
8:10	便派自己的儿子哈多兰到达味王那里，向他致敬，祝贺他攻打了哈达德则尔，并将他打败，因为哈达德则尔原是托乌的敌人。哈多兰带来了一些金器银器和铜器。
8:11	达味也把这一切金银，和他从所征服的民族：
8:12	即阿兰、摩阿布、阿孟子民、培肋舍特人、阿玛肋克和祚尔王勒曷布之子哈达德则尔的战利品中所得，且已奉献了的金银，一同献给了上主。
8:13	达味战胜阿兰人归来时，在盐谷又击杀了一万八千厄东人，他的声誉就更大了。
8:14	他遂屯兵厄东，全厄东都臣服了达味；达味无论往那里去，上主总是辅助他。
	
8:15t	重要的官员 
	
8:15	达味统治了全以色列，对自己所有的人民秉公行义。
8:16	责鲁雅的儿子约阿布统领军队，阿希路得的儿子约沙法特为后御史。
8:17	阿希突布的儿子匝多克及阿希默肋客的儿子厄贝雅塔尔作司祭，沙委沙作秘书，
8:18	约雅达的儿子贝纳雅管理革勒提和培肋提人；达味的儿子也作司祭。
	
	
	
9:0t	第九章
	
9:1t	达味善待约纳堂之子
	
9:1	达味问说：「撒乌耳家中还有剩下的人吗？为了约纳堂，我要对他表示慈爱。」
9:2	撒乌耳家有一个仆人，名叫漆巴，有人把他带到达味前；君王又问他说：「你是漆巴吗？」他答说：「你的仆人是。」
9:3	君王又问他说：「撒乌耳家中还有什么人在吗？我好对他表示天主的慈爱。」漆巴回答君王说：「还有约纳堂的一个双脚跛瘸的儿子。」
9:4	君王向他说：「他在那里？」漆巴回答君王说：「他在罗德巴尔，阿米耳的儿子玛基尔家里。」
9:5	达味派人从罗德巴尔，阿米耳的儿子玛基尔家里把他接来。
9:6	撒乌耳的孙子、约纳堂的儿子，默黎巴耳来到达味前，就俯伏在地，叩拜君王。达味说：「默黎巴耳！」他答：「你的仆人在这里。」
9:7	达味向他说：「你不要害怕，为了你的父亲约纳堂，我要恩待你，将你祖父撒乌耳所有的土地全归还给你；你以后要享用我桌上的食物。」
9:8	他伏首至地叩拜说：「你的仆人算什么？你竟来眷顾像我这样的一个死狗。」
9:9	君王把撒乌耳的仆人漆巴召来，向他说：「撒乌耳和他全家所有的一切，我全给了你主人的儿子。
9:10	所以，你和你的儿子以及你的仆役，应为他耕种田地，将收获供给你主人的家庭作食粮；但你主人的儿子默黎巴耳要常享用我桌上的食物。」漆巴有十五个儿子，二十个仆役。
9:11	漆巴回答君王说：「凡我主大王吩咐你仆人的，你的仆人必全依照遵行。」如此，默黎巴耳享用君王桌上的食物，就如君王的一个儿子。
9:12	默黎巴耳有个小儿，名叫米加。凡住在漆巴家里的人，无不服事默黎巴耳。
9:13	默黎巴耳常住在耶路撒冷，因为他应常享用君王桌上的食物，只是他的双脚跛了。
	
	
	
10:0t	第十章
	
10:1t	达味战胜联军
	
10:1	此后，阿孟子民的君王死了，他的儿子哈农继位为王。
10:2	达味心想：「我要善待纳哈士的儿子哈农，像他父亲善待我一样。」于是达味派自己的臣仆去慰问他，追悼他的父亲。当达味的臣仆来到阿孟子民国内时，
10:3	阿孟子民的公卿，对他们的主上哈农说：「达味派人来慰问你，你想他是为尊敬你的父亲吗？达味派臣仆到你这里来，岂不是来调查、探听、破坏城池吗？」
10:4	哈农遂拿住达味的臣仆，将他们的胡须剃去一半，又将他们下半截衣服割去，直到臀部；然后放他们走了。
10:5	有人把这事告诉了达味，王遂打发人去迎接他们，因为这些人很觉羞耻；王便吩咐他们说：「你们暂且留在耶里哥，等胡须长起后再回来。」
10:6	阿孟子民见自己在达味跟前惹下仇恨，便遣人去，向贝特勒曷布和祚巴的阿兰人雇了两万步兵，向玛阿加君王雇了一千人，向托布人雇了一万二千人。
10:7	达味听说这事，便派出约阿布和全队士兵和勇士。
10:8	阿孟子民出来，在城门前摆了阵，祚巴和勒曷布的阿兰人和托布人与玛阿加人，分别在田野间摆了阵。
10:9	约阿布见自己前后受敌，就由以色列劲旅中，选一队精兵摆阵进攻阿兰人，
10:10	将其余的军队，交给自己的兄弟阿彼瑟指挥，叫他列阵进攻阿孟子民，
10:11	并对他说：「若我打不下阿兰人，你就来援助我；若你打不下阿孟子民，我就来援助你。
10:12	要勇敢奋斗，为了我们的民族，为了我们天主的城池，我们应奋斗！愿上主成就他认为好的事！」
10:13	然后约阿布和跟随他的军队，向前进攻阿兰人，阿兰人就在他们前逃走了。
10:14	阿孟子民见阿兰人逃走，他们也在阿彼瑟前逃走，退入城中。约阿布便不再进攻阿孟子民，回了耶路撒冷。
10:15	阿兰人见自己为以色列打败，便再联合起来。
10:16	哈达德则尔派人去，将大河那边的阿兰人也调来，都到了赫蓝，由哈达德则尔的元帅芍巴客率领。
10:17	达味一得了情报，就调集所有的以色列人，渡过约但河，来到赫蓝。阿兰人遂列阵进攻达味，与他交战。
10:18	阿兰人在以色列面前溃退。达味击杀了阿兰人的七百匹拉车的马，和四万马兵；又攻击了他们的元帅芍巴客，他便死在那里。
10:19	所有臣属哈达德则尔的王子，一见自己败于以色列，便与以色列讲和，臣服于他们；从此阿兰人再不敢援助阿孟子民了。
	
	
	
11:0t	第十一章
	
11:1t	达味与巴特舍巴
	
