1:-1t	上编 西乃山下起程的准备(1-10)
2:10	南方是勒乌本军团扎营的旗帜：勒乌本子孙的首领是舍德乌尔的儿子厄里族尔；
2:11	他的部队登记的，是四万六千五百。
2:12	在其傍扎营的，是西默盎支派；西默盎子孙的首领是族黎沙待的儿子舍路米耳；
2:13	他的部队登记的，是五万九千三百。
2:14	随后是加得支派；加得子孙的首领是勒乌本的儿子厄肋雅撒夫；
2:15	他的部队登记的，是四万五千六百五十。
2:16	勒乌本军团登记的，共计十五万一千四百五十；他们其次出发。
2:17	随后，会幕与肋未营在各营中心启程前行；各营怎样扎营，就怎样出发前行，各依自己的位置，各随自己的旗帜。
2:18	西方是厄弗辣因军团扎营的旗帜：厄弗辣因子孙的首领是阿米胡得的儿子厄里沙玛；
2:19	他的部队登记的，是四万五百。
2:20	在其傍是默纳协支派；默纳协子孙的首领是培达族尔的儿子加默里耳；
2:21	他的部队登记的，是三万二千二百。
2:22	随后是本雅明支派；本雅明子孙的首领是基德敖尼的儿子阿彼丹；
2:23	他的部队登记的，是三万五千四百。
2:24	厄弗辣因军团登记的，共计十万八千一百；他们作第三队出发。
2:25	北方是丹军团扎营的旗帜：丹子孙的首领是阿米沙待的儿子阿希厄则尔；
2:26	他的部队登记的，是六万二千七百。
2:27	在其傍扎营的是阿协尔支派；阿协尔子孙的首领是敖革兰的儿子帕革厄耳；
2:28	他的部队登记的，是四万一千五百。
2:29	随后是纳斐塔里支派；纳斐□里子孙的首领是厄南的儿子阿希辣；
2:30	他的部队登记的，是五万三千四百。
2:31	丹军团登记的，共计十五万七千六百；他们随著自己的旗帜，最后出发。」
2:32	这就是以色列子民依照家系登记的数目；各营的部队登记的总数，共六十万三千五百五十。
2:33	照上主对梅瑟所吩咐的，肋未人没有在以色列子民中登记。
2:34	以色列子民全照上主吩咐梅瑟的做了，都随著自己的旗帜扎营，各随宗族和家系出发进行。
	
3:0t	第三章
	
3:1t	肋未人的数目和职务
	
3:1	上主在西乃山上与梅瑟交谈的时候，亚郎和梅瑟的后裔如下：
3:2	亚郎儿子的名字是：长子纳达布、阿彼胡、厄肋阿匝尔和依塔玛尔：
3:3	这是亚郎儿子的名字，他们都是受傅的司祭，受祝圣尽司祭之职。
3:4	纳达布和阿彼胡在西乃旷野于上主面前献了凡火，立即死于上主面前，没有留下儿子；只有厄肋阿匝尔和依塔玛尔，在他们父亲亚郎面前执行司祭的职务。
3:5	上主训示梅瑟说：「
3:6	叫肋未支派前来，站在亚郎司祭面前，协助他服务。
3:7	他们应代亚郎和全会众，在会众前尽应尽的义务，在会幕内服役，
3:8	管理会幕内的一切器具，代以色列子民尽应尽之职，在会幕内服役。
3:9	你应将肋未人全交给亚郎和他的儿子，代以色列子民作亚郎的侍役；
3:10	你要委任亚郎和他的儿子执行司祭的职务；俗人擅自走近，应处死刑。」
3:11	上主训示梅瑟说：「
3:12	看，我由以色列子民中拣选了肋未人，以代替以色列子民中一切头胎的长子，所以肋未人应归于我，
3:13	因为凡首生的，都是我的；自我在埃及国击杀了一切首生之日起，凡以色列首生的，无论是人或是兽，都应祝圣归我，属于我：我是上主。」
3:14	上主在西乃旷野训示梅瑟说：「
3:15	你应依照肋未人的宗族和家系，统计肋未的子孙，由一月以上，所有的男性都应登记。」
3:16	于是梅瑟就照上主吩咐的命令，统计了他们。
3:17	肋未儿子的名字是：革尔雄、刻哈特和默辣黎。
3:18	按族系，革尔雄儿子的名字是：里贝尼和史米。
3:19	按族系，刻哈特的儿子是阿默兰和依兹哈尔，赫贝龙和乌齐耳。
3:20	按族系，默辣黎的儿子是玛赫里和慕史：这些人按他们的家族都属肋未族系。
3:21	里贝尼族和史米族出自革尔雄：这是革尔雄人的家族。
3:22	凡一月以上登记的男性，共计七千五百。
3:23	革尔雄人的家族在会幕后面西方扎营；
3:24	革尔雄人的领袖，是拉耳的儿子厄里雅撒夫。
3:25	革尔雄的子孙在会幕内的职务，是照管帐幕、幕蓬顶和会幕内的门廉，
3:26	并庭院的帷幔，围绕帐幕与祭坛的庭院的门廉，以及庭院应用的一切绳索。
3:27	阿默兰族、依兹哈尔族、赫贝龙族和乌齐耳族出自刻哈特：这是刻哈特人的家族。
3:28	凡由一月以上登记的男性，共计八千六百；他们管理圣所。
3:29	刻哈特子孙的家族在帐幕南边扎营。
3:30	刻哈特族的家族领袖，是乌齐耳的儿子厄里匝番。
3:31	他们的职务是管理约柜、桌子、灯台、两祭坛、圣所内应用的一切圣器、帷幔和为帷幔应尽的各种职务。
3:32	亚郎大司祭的儿子厄肋阿匝尔是肋未人的最高领袖，监督在圣所服务的人。
3:33	玛赫里族和慕史族出自默辣黎：这是默辣黎人的家族。
3:34	凡一月以上登记的男性，共计六千二百。
3:35	默辣黎族的家族领袖，是阿彼海耳的儿子族黎耳。他们在会幕北边扎营。
3:36	默辣黎的儿子的职务，是照管会幕的木板、横木、柱子、卯座，一切用具，并为会幕应尽的各种职务，
3:37	还管理庭院四周的柱子及其卯座、木桩及绳索。
3:38	在会幕前面东方，即在会幕前朝日出的一面扎营的，是梅瑟和亚郎其他的儿子；他们代替以色列民服务，管理圣所；俗人擅自走近，应处死刑。
3:39	梅瑟和亚郎照上主的命令，统计了所有的肋未人，按家族凡一月以上的男性都统计了，共计二万二千人。 
	
3:40t	长子应赎回
	
3:40	此后，上主又对梅瑟说：「以色列子民，凡一月以上首生的男性都要统计，登记他们的姓名；
3:41	应将肋未人献于我，我是上主，以代替以色列子民中所有的长子；又将肋未人的牲畜献于我，以代替以色列子民中一切头胎的牲畜。」
3:42	梅瑟便照上主所吩咐的，统计了以色列子民中所有的长子，
3:43	凡一月以上的头胎男儿，依名统计了，共计二万二千二百七十三人。
3:44	上主训示梅瑟说：「
3:45	你要以肋未人替代以色列子民中所有的长子，以肋未人的牲畜替代他们的头胎牲畜；肋未人应属于我：我是上主。
3:46	至于那超过肋未人数目，而应赎回的二百七十三个以色列子民的长子，
3:47	为每一个，应照圣所的「协刻耳，」徵收五个「协刻耳，」──一「协刻耳，」合二十「革辣；」──
3:48	将这钱交给亚郎和他的儿子，作为超额人数的赎价。」
3:49	梅瑟就为那超过肋未人数而应赎回的人，徵收了赎金。
3:50	由以色列民的长子所徵收的银子，依圣所的「协刻耳，」共计一千三百六十五「协刻耳。」
3:51	梅瑟依照上主的命令，将这赎金交给了亚郎和他的儿子，全照上主吩咐梅瑟的。
	
4:0t	第四章
	
4:1t	肋未人的职务
	
4:1	上主训示梅瑟和亚郎说：「
4:2	你应依照宗族和家系，统计肋未人中的刻哈特子孙，
4:3	由三十岁以上到五十岁，凡应入伍到会幕服务的都要登记。
4:4	刻哈特子孙在会幕内的任务，是管理至圣之物。
4:5	起营出发时，亚郎和他的儿子应来卸下帐幔，用来包裹约柜，
4:6	上面蒙上海豚皮盖，其上再铺上纯紫布，然后安上杠杆。
4:7	在供饼桌上，应铺上紫布，摆上盘、匙、杯和奠酒的爵；常供饼应仍在桌上。
4:8	以后，在这些物件上，盖上朱红布，再蒙上海豚皮罩，然后安上杠杆。
4:9	此后，拿一块紫布，包好灯台和灯盏、剪子、碟子，以及为灯台用的一切油具；
4:10	将灯台和所有的用具，装入海豚皮袋内，放在担架上。
4:11	在金祭坛上铺上紫布，再用海豚皮包好，然后安上杠杆。
4:12	再把圣所内使用的一切用具都拿来，放在紫布袋内，再蒙上海豚皮罩，放在担架上。
4:13	把祭坛上的灰清除，铺上紫红布，
4:14	上面放上一切用具：火盆。肉叉、铲子、盘子以及祭坛上的一切用具；其上再蒙上海豚皮罩，然后安上杠杆。
4:15	亚郎和他的儿子包装完了圣物和圣所的一切用具，起营出发时，刻哈特的子孙才来抬，免得他们触摸圣物而死亡：这是刻哈特的子孙对会幕的职务。
4:16	至于亚郎大司祭的儿子厄肋阿匝尔的任务，是管理灯油、香料、日献的素祭和为傅礼用的油，并照管全会幕与其中所有的圣物和器具。」
4:17	上主训示梅瑟和亚郎说：「
4:18	不要使刻哈特族的一支由肋未人中消灭；
4:19	为使他们接近至圣之物时，生存而不死亡，你们对他们应这样做：亚郎和他的儿子先来，给他们每人指定各人服役和搬运的工作，
4:20	免得这些人进去一时见到圣物而遭遇死亡。」
4:21	上主训示梅瑟说：「
4:22	你要依照家系和宗族统计革尔雄的子孙，
4:23	由三十岁以上到五十岁，凡应入伍到会幕服务的，都要登记。
4:24	革尔雄家族的任务是服役和搬运：
4:25	搬运帐幕的帷幔、会幕和其顶蓬，及其上面盖的海豚皮和会幕的门廉，
4:26	庭院的帷幔，围绕会幕和祭坛庭院的门廉、绳索以及一切为服役用的器具；凡交与他们应作的一切，他们都应执行。
4:27	革尔雄人所有的任务，不论是搬运或是服役，应全遵照亚郎和他儿子的吩咐；所以你们应照顾他们搬运一切：
4:28	这是革尔雄人的家族对会幕的任务；他们应在大司祭亚郎的儿子依塔玛尔指挥下服役。
4:29	对默辣黎的子孙，你要依照宗族和家系统计他们；
4:30	由三十岁以上到五十岁，凡应入伍到会幕服务的，都要登记。
4:31	依照他们在会幕内所担任的职务，应搬运的是：帐幕的木板、横木、柱子和卯座，
4:32	庭院四周的柱子、卯座、橛子和绳索，一切用具及服务所需的一切。你们应按名一一指定他们应搬运的物件：
4:33	这是默辣黎人的家族，在司祭亚郎的儿子依塔玛尔指挥下，对会幕应尽的各种职务。」 
	
4:34t	统计肋未人
	
4:34	梅瑟和亚郎及会众的首领，依照宗族和家系统计了刻哈特的子孙，
4:35	由三十岁以上到五十岁，凡应入伍到会幕服务，
4:36	依照宗族登计的，共二千七百五十人：
4:37	这是刻哈特人的家族，所有在会幕内服务登记的人数，是梅瑟和亚郎依照上主给梅瑟的命令所统计的。
4:38	革尔雄的子孙，依照宗族和家系登了记，
4:39	由三十岁以上到五十岁，凡应入伍到会幕服务，
4:40	依照宗族和家系登记的，共二千六百三十人：
4:41	这是革尔雄子孙的家族所有在会幕内服务的登记人数，是梅瑟和亚郎依上主的命令所统计的。
4:42	默辣黎子孙的家族，依照宗族和家系都登了记，
4:43	由三十岁以上到五十岁，凡应入伍到会幕服务，
4:44	依照宗族登记的，共三千二百人：
4:45	这是默辣黎子孙家族登记的人数，是梅瑟和亚郎依照上主给梅瑟的命令所统计的。
4:46	梅瑟和亚郎并以色列的首领，依照宗族和家系，统计的肋未人的总数，
4:47	由三十岁以上到五十岁，凡应入伍到会幕服务管理搬运的，
4:48	共计八千五百八十人。
4:49	依照上主藉梅瑟所发的命令，给他们每人指定了各人应尽的职务和应搬运的工作；依照上主对梅瑟所吩咐的，他们都这样登记了。
	
5:0t	第五章
	
5:1t	除污与赔偿的法令
	
5:1	上主训示梅瑟说：「
5:2	你命以色列子民把患任何癞病、任何淋病及所有为死尸沾染不洁的人送出营外，
5:3	不论男女，都应送到营外去，免得我住在他们中的营幕沾染不洁。」
5:4	以色列子民就如此做了，将他们送到营外；上主怎样吩咐了梅瑟，以色列子民就怎样做了。
5:5	上主训示梅瑟说：「
5:6	你训令以色列子民：不论男女，对近人作了什么不义的事，因此得罪上主而自觉有罪，
5:7	他该承认自己所作的不义，除赔偿全部损失外，还应另加五分之一给他所害的人。
5:8	若此人没有近亲可向他赔偿，这赔偿就归上主，属于司祭。此外尚应献一赎罪的公绵羊，为自己赎罪。
5:9	以色列子民在奉献的各种圣物中，凡是给司祭的献仪，即归于司祭。
5:10	每人所奉献的圣物，应归自己；但人给与司祭的，应归于司祭。」 
	
5:11t	解决夫妻疑忌的法令
	
5:11	上主训示梅瑟说：「
5:12	你告诉以色列子民说：若某人的妻子背离丈夫，
5:13	对他不忠，瞒著丈夫让人与她同睡交媾，在暗中玷污了自己，又没有见证，也没有被捉住，
5:14	若丈夫心生疑忌，疑忌他的妻子受了玷污；或者心生疑忌，疑忌他的妻子，但她实在没有受玷污；
5:15	丈夫就应带他的妻子到司祭前，为她献祭，献十分之一「厄法」的大麦粉，其上不可倒油，也不可加乳香，因为这是因疑忌所献的素祭，是一回忆罪过的素祭。
5:16	司祭令她前来，站在上主面前；
5:17	然后用陶器取些圣水，再由会幕地上取些尘土，放入水内。
5:18	司祭叫这女人站在上主面前，松开她的头发，将回忆的素祭品，即为疑忌所献的素祭品，放在她的掌上，司祭手内拿著给人招致咒骂的苦水，
5:19	然后司祭命那女人起誓，对她说：「若没有人与你同睡，若你没有背离丈夫受玷污，愿这招致咒骂的苦水于你无害。
5:20	但是，如果你背离了丈夫受了玷污，让丈夫以外的男人与你同睡，──
5:21	在此司祭叫那女人以诅咒的誓辞起誓，然后对她说：──愿上主使你在你民族中成为可咒骂和诅咒的人，使你大腿萎缩，使你肚腹肿胀！
5:22	愿这招致咒骂的水进入你的五脏，使你肚腹肿胀，使你大腿萎缩! 」女人答说：「阿们、阿们。」
5:23	随后司祭将这些咒文写在纸上，用苦水洗去，
5:24	令女人喝这招致咒骂的苦水。这招致咒骂的水一进入她内，就给她带来苦楚。
5:25	司祭再由这女人的手内，接过为疑忌所献的素祭祭品，在上主面前行过摇礼后，放在祭坛上；
5:26	再由这素祭祭品内取出一把来作为纪念，放在祭坛上焚烧；以后，才令女人喝这水。
5:27	司祭命她喝水以后，事必灵验：如果她受了玷污，对丈夫不忠，这招致咒骂的水一进入她内，就给她带来苦楚；她的肚腹必肿胀，大腿必萎缩；这女人在她的民族中，必成为可咒骂的人。
5:28	但是，如果这女人没有受玷污，而是贞洁的，就不致受害，反要生育子女。
5:29	这是关于疑忌事的法律：几时一个妇人，背离丈夫，受了玷污；
5:30	或是一个男人心生疑忌，疑忌自己的妻子，他应带妻子站在上主面前，司祭应对她执行这法律所规定的一切。
5:31	如此，男人可免无罪，女人应自负罪债。」
	
6:0t	第六章
	
6:1t	关于献身的规定
	
6:1	上主训示梅瑟说：「
6:2	你告诉以色列子民说：无论男女，若许了一个特愿，即「纳齐尔」愿，献身于上主，
6:3	他该戒饮清酒和烈酒，不可喝清酒和烈酒制的醋，不可喝任何葡萄汁，也不可吃新鲜或乾葡萄。
6:4	在整个献身期内，凡葡萄树所结的，甚至葡萄仁和皮，都不可吃。
6:5	在他整个守献身愿的时期内，不可剃头；他几时未满献身的愿，是祝圣于上主的，应让头发自由生长。
6:6	在他献身于上主的整个时期内，凡有死人的地方，不可走进。
6:7	连父亲母亲或兄弟姊妹死时，也不可让自己沾染不洁，因为在他头上有奉献于天主的记号。
6:8	在他整个献身期内，他是祝圣于上主的。
6:9	若有人忽然在他身旁猝死，那献身者的愿就沾染了不洁，在他取洁的那一天，应剃头，即在第七天他应剃头。
6:10	到第八天，他应带两只斑鸠和两只雏鸽，在会幕门口交给司祭。
6:11	司祭取一只献作赎罪祭，另一只献作全燔祭，为他因染死尸的不洁赎罪。他在当天应祝圣自己的头，
6:12	重新将献身的日子奉献于上主，且应献一只一岁羔羊作赎过祭；以前的日子无效，因为献身者的头沾染了不洁。
6:13	关于「纳齐尔」人的法律如下：在他献身愿期满的那一天，应引他到会幕门口，
6:14	他应献给上主的祭品是：一只无残疾的一岁公羔羊作全燔祭，一只无残疾的母羔羊作赎罪祭，一只无残疾的公绵羊作和平祭，
6:15	一篮用细面调油做的无酵饼，抹上油的无酵薄饼，以及同献的素祭及奠祭。
6:16	司祭在上主面前献上这些祭品后，就为他举行赎罪祭和全燔祭；
6:17	将公绵羊同一篮无酵饼献给上主作和平祭；然后举行素祭和奠祭。
6:18	献身者在会幕门口剃去自己祝圣的头发，把祝圣的头发，放在和平祭品的火上焚烧。
6:19	他剃去祝圣的头发以后，司祭取出煮过的公绵羊肩部，与篮中的一块无酵饼和一块无酵的薄饼，放在献身者手上。
6:20	司祭将这些祭品在上主前，行奉献的摇礼，除摇过的胸脯和举过的腿外，这些亦是属于司祭的圣物。此后，献身者方可饮酒：
6:21	这是关于许献身愿者的法律，献身者应奉献于上主的祭品；如果献身者照自己的财力许愿多献，就应照所许的愿，在献身愿所规定的以外，多作奉献。」 
	
6:22t	祝福的经文
	
6:22	上主训示梅瑟说：「
6:23	你告诉亚郎和他的儿子说：你们应这样祝福以色列子民说：『
6:24	愿上主祝福你，保护你；
6:25	愿上主的慈颜光照你，仁慈待你。
6:26	愿上主转面垂顾你，赐你平安。』
6:27	这样，他们将以色列子民归我名下，我必祝福他们。」
	
7:0t	第七章
	
7:1t	各支派领袖的献仪
	
7:1	梅瑟竖立起会幕那天，就傅油祝圣了帐幕和其中的一切器具、祭坛和附属的用具。他傅油祝圣以后，
7:2	以色列的领袖，各家族首领，即协助登记的各支派的领袖，前来奉献，
7:3	将他们的供物献于上主面前：篷车六辆，公牛十二头：每两位领袖一辆车，每位领袖一头牛。他们把这些送到会幕前时，
7:4	上主训示梅瑟说：「
7:5	你把这些收下，为会幕的事务使用，按照肋未人的职务，分给他们。」
7:6	梅瑟就收下车辆和牛，交给了肋未人。
7:7	按革尔雄子孙的职务，分给了他们两辆车及四头牛；
7:8	按默辣黎子孙的职务，分给了他们四辆车及八头牛，他们都在司祭亚郎的儿子依塔玛尔指挥下服务。
7:9	但没有分给刻哈特子孙，因为他们应用肩抬所照管的圣物。
7:10	在傅油祝圣祭坛时，众领袖也为祝圣祭坛奉献了供物。当众领袖把他们的供物送到祭坛面前时，
7:11	上主对梅瑟说：「每天应有一位领袖，奉献自己的供物，为祝圣祭坛。」
7:12	第一日奉献自己供物的，是犹大支派阿米纳达布的儿子纳赫雄。
7:13	他的供物是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:14	一个重十「协刻耳」盛满香料的金盂；
7:15	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:16	公山羊一只，为作赎罪祭；
7:17	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是阿米纳达布的儿子纳赫雄的供物。
7:18	第二日奉献供物的，是依撒加尔的领袖，族阿尔的儿子乃塔乃耳。
7:19	他奉献的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:20	一个重十「协刻耳」盛满香料的金盂；
7:21	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:22	公山羊一只，为作赎罪祭：
7:23	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是族阿尔的儿子乃塔乃耳的供物。
7:24	第三日是则步隆子孙的领袖，赫隆的儿子厄里雅布。
7:25	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:26	一个重十「协刻耳」盛满香料的金盂；
7:27	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:28	公山羊一只，为作赎罪祭；
7:29	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是赫隆的儿子厄里雅布的供物。
7:30	第四日是勒乌本子孙的领袖，舍德乌尔的儿子厄里族尔。
7:31	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:32	一个重十「协刻耳」盛满香料的金盂；
7:33	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:34	公山羊一只，为作赎罪祭；
7:35	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是舍德乌尔的儿子厄里族尔的供物。
7:36	第五日是西默盎子孙的领袖，族黎沙待的儿子舍路米耳。
7:37	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:38	一个重十「协刻耳」盛满香料的金盂；
7:39	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:40	公山羊一只，为作赎罪祭；
7:41	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是族黎沙待的儿子协路米耳的供物。
7:42	第六日是加得子孙的领袖勒乌耳的儿子厄里雅撒夫。
7:43	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:44	一个重十「协刻耳」盛满香料的金盂；
7:45	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:46	公山羊一只，为作赎罪祭；
7:47	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，作和平祭：以上是勒乌耳儿子厄里雅撒夫的供物。
7:48	第七日是厄弗辣因子孙的领袖阿米胡得的儿子厄里沙玛。
7:49	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:50	一个重十「协刻耳」盛满香料的金盂；
7:51	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:52	公山羊一只，为作赎罪祭；
7:53	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是阿米胡得的儿子厄里沙玛的供物。
7:54	第八日是默纳协子孙的领袖，培达族尔的儿子加默里耳。
7:55	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:56	一个重十「协刻耳」盛满香料的金盂；
7:57	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:58	公山羊一只，为作赎罪祭；
7:59	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是培达族尔的儿子加默里耳的供物。
7:60	第九日是本雅明子孙的领袖，基德敖尼的儿子阿彼丹。
7:61	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:62	一个重十「协刻耳」盛满香料的金盂；
7:63	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:64	公山羊一只，为作赎罪祭；
7:65	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是基德敖尼的儿子阿彼丹的供物。
7:66	第十日是丹子孙的领袖，阿米沙待的儿子阿希厄则尔。
7:67	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:68	一个重十「协刻耳」盛满香料的金盂：
7:69	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:70	公山羊一只，为作赎罪祭；
7:71	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是阿米沙待的儿子阿希厄则尔的供物。
7:72	第十一日是阿协尔子孙的领袖，敖革兰的儿子帕革厄耳。
