1:-2t	耶肋米亚哀歌
3:19t	哀求天主怜悯
3:19	我回忆着我的困厄和痛苦，尽是茹苦含辛！
3:20	我的心越回想，越觉沮丧。
3:21	但是我必要追念这事，以求获得希望：
3:22	上主的慈爱，永无止境；他的仁慈，无穷无尽。
3:23	你的仁慈，朝朝常新；你的忠信，浩大无垠!
3:24	我心中知道：上主是我的福分；因此，我必信赖他。
3:25	上主对信赖他和寻求他的人，是慈善的。
3:26	最好是静待上主的救援，
3:27	人最好是自幼背负上主的重轭，
3:28	默然独坐，因为是上主加于他的轭；
3:29	他该把自己的口贴近尘埃，这样或者还有希望；
3:30	向打他的人，送上面颊，饱受凌辱。
	
3:31t	因人犯罪天主降罚
3:31	因为上主决不会永远把人遗弃；
3:32	纵使惩罚，他必按照自己丰厚的慈爱，而加以怜悯。
3:33	因为他苛待和惩罚世人，原不是出于他的心愿。
3:34	将世上所有的俘虏，都践踏在脚下，
3:35	
3:36	与人争讼时，欺压他人：难道上主看不见﹖
3:37	若非上主有命，谁能言出即成呢﹖
3:38	吉凶祸福，难道不是出自至上者之口﹖
3:39	人生在世，为自己的罪受罚，为什么还叫苦﹖
	
3:40t	劝罪人悔改
3:40	我们应检讨考察我们的行为，回头归向上主!
3:41	应向天上的大主，双手奉上我们的心!
3:42	正因为我们犯罪背命，你才没有宽恕。
3:43	你藏在盛怒之中，追击我们，杀死我们，毫不留情。
3:44	你隐在浓云深处，哀祷不能上达。
3:45	你使我们在万民中，成了尘垢和废物。
3:46	我们所有的仇人，都向我们大张其口。
3:47	为我们只有恐怖和陷阱，破坏和灭亡。
3:48	为了我女儿──人民的灭亡，我的眼泪涌流如江河。
3:49	我的眼泪涌流不止，始终不停，
3:50	直到上主从天垂顾怜视，
3:51	因我城中的一切女儿，使我触目伤心。
	
3:52t	痛苦中的依靠
3:52	我的仇人无故追捕我，象猎取飞鸟一样；
3:53	他们将我投入坑穴之中，把石块掷在我身上；
3:54	水淹没了我的头顶，我想：「我要死了!」
3:55	上主，我从坑穴深处，呼号你的圣名；
3:56	你曾俯听过我的呼声，对我的哀祷，不要掩耳不闻。
3:57	在我呼号你的那一天，愿你走近而对我说：「不要害怕!」
3:58	上主，你辩护了我的案件，赎回我的性命。
3:59	上主，你见我遭受冤屈，你替我伸了冤，
3:60	你看见了他们对我的种种仇恨和阴谋。
3:61	上主，你听见了他们加于我的种种侮辱和阴谋，
3:62	你也听见了反对我者的诽谤，和他们终日对我的企图。
3:63	你看!他们或坐或立，我始终是他们嘲笑的对象。
3:64	上主，求你按照他们双手的作为，报复他们；
3:65	求你使他们的心思顽固，并诅咒他们。
3:66	上主，求你愤怒地追击他们，将他们由普天之下除掉。
	
	
4:0t	第四章(22)
	
4:1t	抚今追昔忧国忧民
4:1 	怎么!黄金竟暗淡无光，纯金竟变了色!圣所的石头都散乱在街头!
4:2 	熙雍的子女，原比纯金尊贵，怎么现在竟被看作瓦器，被看作陶人的出品!
4:3 	豺狼尚且露出乳房，哺养自己的幼儿；我的女儿──人民，竟然残暴不仁，好似旷野中的鸵鸟!
4:4 	婴儿的舌头，干渴得紧贴上颚；幼童饥饿求食，却无人分给他们。
4:5 	昔日饱享山珍海味，今日竟饿死街道；一向衣饰华丽，而今却满身粪土。
4:6 	我的女儿──人民的罪罚，比索多玛的还重，索多玛顷刻间倾覆了，并非假手于人。
4:7 	昔日，她的少年，比雪还洁白，比乳还皎洁；他们的皮肤，比珊瑚还红润，他们的身体好似一片青玉。
4:8 	而今，他们的容貌，比炭还黑，在街上已辨认不出，皮包骨头，枯瘦如柴；
4:9 	死于刀下的，比死于饥饿的，即因缺乏田产，日渐衰弱而死的，更为幸运。
4:10	柔情的妇女竟要亲手烹食自己的子女；在我的女儿──人民遭受浩劫时，子女竟成了母亲的食物。
4:11	上主大发震怒，倾泄了他的怒火，火烧熙雍，焚毁了他的基础。
4:12	地上的君王和世上的居民，谁也不相信：仇敌能进入耶路撒冷的城门。
	
4:13t	不义首领遭受惩罚
4:13	这是由于她先知们的罪恶，和她司祭们的过犯：他们在城中心，倾流了义人的血；
4:14	他们身染血污，象瞎子一样，徘徊街头，叫人不能触摸他们的衣服。「
4:15	不洁!退避!」人们喊说：「退避!不可接近!」如果他们逃亡，漂流异邦，异邦人又说：「不要让他们留居此地。」
4:16	上主的怒容驱散他们，不再垂顾他们；人也不再尊敬司祭，不再敬重长老。
4:17	我们还在望眼欲穿，幻想着我们的救援；我们仍在了望台上，期望着那不能施救的异邦。
4:18	敌人正在追踪我们的足迹，阻止我们在街上行走；我们的结局已近，我们的日子已满；的确，我们的终期已到。
4:19	追捕我们的人，比凌空的飞鸟还要快速；他们在山上搜索我们，在旷野里窥伺我们。
4:20	连我们的气息──上主的受傅者，也落在他们的陷阱中：我们原希望在他的福荫下，生活在异邦人中。
4:21	住在胡兹地的厄东女郎!你欢欣喜乐罢!苦爵也要轮到你喝，你将要醉倒，而赤身裸体。
4:22	熙雍女郎!你的罪债已经偿还，上主不再使你流徙；厄东女郎!他必要惩罚你的过犯，揭露你的罪恶。
	
	
5:0t	第五章(22)
	
5:1t	耶肋米亚的祈祷
5:1 	上主，求你眷念我们的遭遇，垂顾怜视我们受的耻辱。
5:2 	我们的产业，转入外人手中；我们的房舍，归属了异邦人。
5:3 	我们自己变成了无父的孤儿，我们的母亲好象寡妇一样。
5:4 	我们自己的水，必须用钱买来喝；我们自己的木柴，需要用款换来。
5:5 	重轭加在我们的颈项上，受人折磨迫害；我们困惫疲乏，不得安息。
5:6 	我们向埃及伸手，向亚述乞食充饿。
5:7 	我们的祖先犯了罪，已不存在；我们却要承担他们的罪债；
5:8 	原是奴隶的人，竟然统治我们，但没有人解救我们，脱离他们的手。
5:9 	我们面临旷野刀剑的威胁，该冒性命的危险，才能得到食粮。
5:10	我们的皮肤因饥饿而发炎，发热有如火炉。
5:11	妇女们在熙雍被人强奸，处女们在犹大遭人奸污。
5:12	王臣被人缚手吊起，长老的仪容受人凌辱，
5:13	青年人应该服役推磨，幼童倒在柴捆之下。
5:14	长老们不再安坐城门口，青年们不再奏乐高歌。
	
5:15t	灾祸中的哀鸣
5:15	我们心中已毫无乐趣，我们的歌舞反而变成悲愁。
5:16	我们头上的花冠已经堕地。我们犯罪的人，确是有祸的!
5:17	我们的心神所以彷徨，我们的眼睛所以模糊；
5:18	因为熙雍山已经荒芜，狐狸成群出没其间。
	
5:19t	祈求复兴
5:19	上主，至于你，你永远常存，你的宝座万世不替。
5:20	为什么你常忘记我们﹖为什么你常拋弃我们﹖
5:21	上主，求你叫我们归向你，我们必定回心转意；求你重整我们的时代，如同往昔一样。
5:22	你岂能完全摈弃我们，岂能向我们愤怒到底﹖
