1:-1t	箴言篇
4:12	这样，你若行走，你的脚决不会受阻碍；即便你奔驰，也决不致颠仆。
4:13	你要坚持教训，切勿把她拋弃；你应保存她，因为她是你的生命。
4:14	恶人的道路，你不要进去；坏人的途径，你不要踏入；
4:15	反应躲避，不经其上；远远离去，绕道他往。
4:16	因为他们不作恶，不能入睡；不使人跌倒，就要失眠。
4:17	他们吃的是邪恶的饼，饮的是暴虐的酒。
4:18	但是，义人的途径，象黎明的曙光，越来越明亮，直至成日中；
4:19	恶人的道路，却宛如幽暗，他们不知道，要跌在何处。
	
4:20t	智慧教人自律
4:20	我儿，你要注意我的训言，侧耳倾听我的教导；
4:21	不要让她离开你的视线，却要牢记在心中。
4:22	因为，凡找着她的，必获得生命；他整个身躯，必获得健康。
4:23	在一切之上，你要谨守你的心，因为生命是由此而生。
4:24	你应摒绝口舌的欺诈，远避唇舌的乖谬。
4:25	你的眼睛应向前直视，你的视线应向前集中。
4:26	你要修平你脚下的行径，要巩固你一切的路途。
4:27	你断不可左倾右依，务使你的脚远离邪恶。
	
	
5:0t	第五章(23)
	
5:1t	智慧教人戒避外遇
5:1	我儿，你应注意我的智慧，侧耳倾听我的见解，
5:2	为使你保持审慎的态度，使你的口唇能固守知识。
5:3	因为淫妇的口，滴流甜蜜；她的嘴唇，比油还滑；
5:4	但是，与她相处的结果，却苦若苦艾，刺心有如双刃的利剑。
5:5	她的双脚陷入死境，她的脚步直趋阴府。
5:6	她不走生命的坦途；她的脚步，踌躇不定，不知所往。
5:7	现在，我儿，你要听从我，不要拋弃我口中的教训：
5:8	你应使你的道路远离她，不要走近她的家门，
5:9	免得将你的精力，葬送给别人；将你的岁月，委弃给无赖；
5:10	免得你的财产为他人享受，你的辛劳裨益于人家；
5:11	免得终期来临，当你的肉躯和身体精力耗尽时，你只有叹息，
5:12	说：「唉!为什么我憎恶了教训，为什么我的心藐视了规劝﹖
5:13	为什么我没有听从师长的劝告，没有侧耳倾听教训我的人﹖
5:14	在集会和会众中，我几乎陷于浩劫。」
	
5:15t	智慧教人忠于内室
5:15	你当饮你自己池里的水，喝你井里的活泉。
5:16	你的泉水岂可外溢，成为街头的流水﹖
5:17	其实都应全归于你，不得让外人与你共享。
5:18	你的泉源理应受降福；你应由你少年时的妻子取乐。
5:19	她宛如可爱的母鹿，妩媚的母羚；她的酥胸应常使你畅怀，她的爱情应不断使你陶醉。
5:20	我儿，你为什么要迷恋外妇，拥抱别人妻室的胸怀﹖
5:21	上主的眼目时常监视人的道路，不断审察他的一切行径。
5:22	恶人必被自己的邪恶所缠扰，必为自己罪恶的罗网所捕获。
5:23	他必因不听教训而丧命，必因自己过度的愚昧而沦亡。
	
	
6:0t	第六章(35)
	
6:1t	慎为人作保
6:1	我儿，你如果为你的朋友作保，或为外人击掌；
6:2	你如果为你口中说的话所连累，为你口中的言词所束缚，
6:3	那么，我儿，你既然已陷在你友人的手中，你就该逃脱，该这样做：火速前去，央求你的友人，
6:4	不要合上眼睛睡觉，也不要垂下眼睑假寐，
6:5	应急速解救自己，如羚羊挣脱罗网，飞鸟逃脱猎人的圈套。
	
6:6t	勿游手好闲
6:6	懒汉，你去看看蚂蚁，观察它的作风，便可得些智识：
6:7	它没有领袖，没有监督，没有君王，
6:8	但在夏天却知准备食粮，在秋收时积贮养料。
6:9	懒汉，你要睡到几时，你几时才睡醒﹖「
6:10	再睡片刻，再假寐片刻，再抱臂躺卧片刻!」
6:11	这样贫穷就要如同窃贼，困乏也要如同武士，向你侵袭。
	
6:12t	愚狂必遭殃
6:12	无赖与恶徒，行事满口欺诈；
6:13	他以眼传神，以脚示意，以手指东画西。
6:14	他存心不良，常蓄意惹事生非。
6:15	为此，他的丧亡必突然来临，霎时间全被毁灭，无法挽救。
	
6:16t	上主厌恶的事
6:16	上主憎恨的事，共有六件，连他心里最厌恶的事，共有七件：
6:17	傲慢的眼睛，撒谎的舌头，流无辜者血的手，
6:18	策划阴谋的心，疾趋行恶的脚，
6:19	说谎的假见证，和在兄弟间搬弄事非的人。
	
6:20t	智慧教人持身守节
6:20	我儿，应坚守你父亲的命令，不要放弃你母亲的教训；
6:21	应将二者常刻在你心中，系在你的颈项上。
6:22	她们在你行路时引领你，在你躺卧时看护你；在你醒来时与你交谈。
6:23	因为父命是盏灯，母教是光明，严格的劝告是生命的道路，
6:24	使你远避恶意的女人，离开淫妇阿谀的言词，
6:25	不让你的心贪恋她的美色，不让她的秋波迷惑你，
6:26	因为娼妓所求的只是一块饼，有夫之妇却猎取宝贵的生命。
6:27	人岂能怀中藏火，而不烧毁自己的衣服﹖
6:28	人岂能在火炭上行走，而不灼伤自己的脚﹖
6:29	与他人妻子通奸的人就是这样：凡接近她的，必难免受罚。
6:30	盗贼若因饥饿行窃以果腹，人都不鄙视他；
6:31	但若被擒获了，他仍须七倍偿还，交出家中所有的财物。
6:32	与妇人通奸的人，实属愚眛，他这样做，却是毁灭自己。
6:33	他必遭受可耻的打击，并且他的耻辱，永不得拭去，
6:34	因为妒火能激怒男人，使他在报复时，决不留情；
6:35	任何的赔偿，他都不理睬；即便你多送礼品，他也不肯罢休。
	
	
7:0t	第七章(27)
	
7:1t	应远避淫妇
7:1	我儿，你要持守我的训言，把我的诫命藏在心中；
7:2	你要遵守我的诫命，好叫你得以生存；应恪守我的教训，象保护你眼中的瞳人。
7:3	应将我的诫命系在指间，刻在心上；
7:4	应对智慧说：「你是我的姊妹，」并应称睿智为你的女友，
7:5	好能保护你远避奸妇，即那甜言蜜语的淫妇。
7:6	我曾由我家的窗口，透过窗格往外观看，
7:7	分明看见在愚昧人中，在少年人中，有一个无知的少年，
7:8	沿着淫妇屋角的街道经过，向她的住宅走去，
7:9	那时正是黄昏，日已西沉，已入黝黑深夜。
7:10	看，有一个女人向他迎面而来──她身穿妓装，存心不轨；
7:11	她健谈好荡，不能停留家中：
7:12	一会在街头，一会在市场，在每个角落上兜搭──
7:13	她遂上前拥抱那少年，与他接吻，嬉皮笑脸对他说：「
7:14	我原许过愿，要献和平祭，今日才得偿还我许的愿。
7:15	所以我走了出来，好能与你相遇；我急切寻找你，可好现在我见到了你。
7:16	我的床榻已铺设了绒毯，放上了埃及的线绣卧单；
7:17	又用没药、芦荟和肉桂熏了我的睡床。
7:18	来让我们通宵达旦，饱享爱情；让我们在欢爱中尽情取乐，
7:19	因为我的丈夫现不在家，他已出外远行，
7:20	随身带了钱囊，不到月圆不归家。」
7:21	淫妇用许多花言巧语笼络他，以谄言媚语勾引他。
7:22	少年遂跟她去了，好象一只引入屠场的公牛，又象一只自陷圈套的牡鹿，
7:23	直至箭矢射穿他的心肝；他还象一只跳入罗网的小鸟，不知这与他的性命有关。
7:24	现在，孩子!你们应听从我，留意我口中的训示：
7:25	不要让你的心倾向她的道路，不要误入她的迷途，
7:26	因为她使许多人倒地身亡，连最强健的，都作了她的牺牲。
7:27	她的家是通往阴府的大道，是引入死境的斜坡。
	
	
8:0t	第八章(36)
	
8:1t	智慧邀人受教
8:1	智慧不是在呼唤，明智不是在发出她的呼声吗﹖
8:2	她站在高岗上，站在通衢大道上，
8:3	她在城门口，在城入口处大声喊说：
8:4	人呀!我在向你们呼唤，我在对人子发出呼声：
8:5	幼稚的人，你们应学习机智；愚昧的人，你们应学习聪明。
8:6	你们且听，因为我要讲论卓绝的事，开口述说正直的事。
8:7	的确，我的口只畅谈真理，我厌恶虚诈的唇舌。
8:8	凡我口述的，无不正直，毫无歪曲或乖辟。
8:9	我的话为明白的人是诚实的，为有智识的人是正确的。
8:10	你们应听取我的教训，而不要银子；应汲取智识，而不取纯金；
8:11	因为智慧胜过任何珍珠，任何可贪恋的事都不能与她伦比。
	
8:12t	智慧自述身价
8:12	我──智慧──与机智同居，拥有知识和见识。
8:13	敬畏上主，就是憎恨邪恶傲慢骄横，邪恶的行径和欺诈的口舌，我都憎恶。
8:14	机谋才智，属我所有；聪明勇敢，亦属于我。
8:15	借着我，君王执政，元首秉公行义；
8:16	借着我，统治者统治，王侯治理邦土。
8:17	我爱那爱我的人；凡寻求我的，必找着我。
8:18	富贵荣誉，恒产正义，都属我有。
8:19	我的果实，胜过黄金纯金；我的出产，比净银还要宝贵。
8:20	我走在正义的路上，走在公平的路上，
8:21	使爱我者获得产业，充满他们的宝库。
	
8:22t	智慧协助造化
8:22	上主自始即拿我作他行动的起始，作他作为的开端：
8:23	大地还没有形成以前，远自太古，从无始我已被立；
8:24	深渊还没有存在，水泉还没有涌出以前，我已受生；
8:25	山岳还没有奠定，丘陵还没有存在以前，我已受生。
8:26	那时，上主还没有创造大地、原野、和世上土壤的原质；
8:27	当他建立高天时，我已在场；当他在深渊之上划出穹苍时，
8:28	当他上使穹苍稳立，下使渊源固定时，
8:29	当他为沧海划定界限，令水不要越境，给大地奠定基础时，
8:30	我已在他身旁，充作技师。那时，我天天是他的喜悦，不断在他前欢跃，
8:31	欢跃于尘寰之间，乐与世人共处。
	
8:32t	智慧挚诚的要求
8:32	那么，我儿，你们且听我：遵循我道路的人是有福的。
8:33	你们该听从教训，做一智慧人，不要把她拋弃。
8:34	凡听从我言，天天在我门前守候，在我门框旁侍立的人，是有福的。
8:35	因为谁找到我，便是找到生命，他必由上主获得恩宠。
8:36	但是那得罪我的，等于伤害自己；凡憎恨我的，即是爱死亡。
	
	
9:0t	第九章(18)
	
9:1t	智慧邀人赴宴
9:1	智慧建造了房舍，雕琢了七根石柱，
9:2	宰杀了牲畜，配制了美酒，铺设了饭桌，
9:3	派出自己的使女，在城市高处吶喊：「
9:4	谁是无知的，请转身到这里来!」她对愚钝的人说：
9:5	「你们来，吃我的食粮，饮我配制的酒!
9:6	你们应放弃无知，好使你们得以生存，并在明智的道路上迈进。」
	
9:7t	智慧劝告世人
9:7	谁矫正轻狂的人，只有自招羞辱；谁责斥邪恶的人，只有自找凌辱。
9:8	你不要责斥轻狂的人，免得他恨你；却要责斥明智的人，他必会爱你。
9:9	你若指教明智的人，他必更明智；你若教训正义的人，他必更有见识。
9:10	敬畏上主是智慧的肇基；认识至圣者就是睿智。
9:11	借着我，你的岁月才可增多，你的寿命才可延长。
9:12	你若有智慧，你必蒙受其惠；你若是轻狂也只有自食其果。
	
9:13t	愚昧邀人赴宴
9:13	愚昧太太，浮燥愚蠢，一无所知。
9:14	她坐在自家门前，坐在城内高处的座位上，
9:15	向一往直前的路人喊说：「
9:16	谁是无知的，请转身到这里来!」她向愚钝的人说：「
9:17	偷来的水，更香甜；背地吃的饼更有味。」
9:18	他却不知冥域正在那里，她的客人都在阴府的深处。
	
	
10:0t	第十章(32)
	
10:1t	撒罗满的箴言智者和愚者
10:1	智慧的儿子使父亲喜乐；愚昧的儿子，使母亲忧愁。
10:2	不义之财，毫无益处；惟有正义，救人脱免死亡。
10:3	上主不忍义人受饥，却使恶人大失所望。
10:4	游手好闲，使人贫穷；勤奋工作，使人富有。
10:5	夏季贮蓄的，是明智的孩童；秋收酣睡的是无耻的儿子。
10:6	上主的降福在义人头上，灾祸却使恶人哑口无言。
10:7	义人受人怀念降福，恶人却必身败名裂。
10:8	心灵智慧的人，必接受命令；饶舌的愚妄的人，必自招丧亡。
10:9	走正路的，行路稳妥；走邪路的，终必败露。
10:10	暗中挤眼的人，必引人烦恼；坦然规劝的人，必促进和平。
	
10:11t	至者慎于言
10:11	义人的口，是生命的泉源；恶人的口，是残暴的渊薮。
10:12	仇恨引起争端，爱情遮掩一切过失。
10:13	有见识的口唇上，可找着智慧；棍杖只是为打缺乏智慧者的脊背。
10:14	智慧的人，隐讳自己的学问；愚昧人的口，招致逼近的丧亡。
10:15	富人的财富，是他自己的坚城；穷人的零落，却是他们的贫乏。
10:16	义人的薪金，用以维持生活；恶人的收入，却只用来犯罪。
10:17	谁遵守劝告，必走向生命之路；谁轻视规劝，必自误入迷途。
10:18	撒谎的唇舌，必暗藏仇恨；散播谣言的，必是愚昧人。
10:19	多言难免无过，明智的人必约束自己的唇舌。
10:20	义人的舌，贵若纯金；恶人的心，贱似草芥。
10:21	义人的唇舌教育群众，愚人必因缺乏心智而死亡。
	
10:22t	善恶的后果
10:22	使人致富的，是上主的降福；营营的辛劳，却无补于事。
10:23	愚昧人乐于作恶，明哲人乐于求智。
10:24	恶人畏惧的，反向他侵袭；义人的希望，终获得应允。
10:25	暴风雨一过，恶人不复存在；义人却根深蒂固。
10:26	懒汉之于派遣他的人，就如醋之于牙，烟之于目。
10:27	敬畏上主，将延年益寿；恶人的岁月，必要短缩。
10:28	义人的期待，终归是喜乐；恶人的希望，终归是失望。
10:29	上主的道路，是正人君子的保障；为作恶的人，却是灭亡。
10:30	义人永不会动摇，恶人决不会久留地上。
10:31	义人的口，散播智慧；邪恶的舌，必被铲除。
10:32	义人的唇，常吐雅言；恶人的口，只说邪恶。
	
	
11:0t	第十一章(31)
	
11:1t	应行善避恶
11:1	上主深恶假秤，却喜爱法码准确。
11:2	傲慢来到，耻辱随后而至；智慧只与谦逊人相处。
11:3	正直的人，以正义为领导；背义的人，必为邪恶所毁灭。
11:4	在上主盛怒之日，财富毫无用途；只有正义，能救人免于死亡。
11:5	完人的正义，为他修平道路；恶人必因自己的邪恶而颠仆。
11:6	正直的人，将因自己的正义而获救；奸诈的人，反为自己的恶计所连累。
11:7	恶人一死，他的希望尽成泡影；同样，奸匪的期待也全然消失。
11:8	义人得免患难，恶人反来顶替。
11:9	假善人以口舌，伤害自己的近人；义人因有知识，却得以保全。
11:10	几时义人幸运，全城欢腾；几时恶人灭亡，欢声四起。
11:11	义人的降福，使城市兴隆；恶人的口舌，使城市倾覆。
11:12	嘲弄自己朋友的人，毫无识趣；有见识的人，必沉默寡言。
11:13	往来传话的人，必泄露秘密；心地诚朴的人，方能不露实情。
11:14	人民缺乏领导，势必衰弱；人民的得救，正在于谋士众多。
11:15	为外人作保的，必自讨苦吃；厌恶作保的，必自享安全。
11:16	淑德的妇女，必为丈夫取得光荣；恼恨正义的妇女，正是一耻辱的宝座；懒散的人失落自己的财物，勤谨的人反取得财富。
	
11:17t	善恶的报应
11:17	为人慈善，是造福己身；残酷的人，反自伤己命。
11:18	恶人所赚得的工资，是空虚的；播种正义者的报酬，才是真实的。
11:19	恒行正义，必走向生命；追求邪恶，必自趋丧亡。
11:20	上主憎恶心邪的人，喜悦举止无瑕的人。
11:21	恶人始终不能逃避惩罚，义人的后裔必获得拯救。
11:22	女人美丽而不精明，犹如套在猪鼻上的金环。
11:23	义人的心愿必获善报；恶人的希望终归破灭。
	
11:24t	为人应慷慨好施
11:24	有人慷慨好施，反更富有；有人过于吝啬，反更贫穷。
11:25	慈善为怀的人，必得富裕；施惠于人的人，必蒙施惠。
11:26	屯积粮食的人，必受人民咀咒；降福却降在卖粮食者的头上。
11:27	慕求美善的，必求得恩宠；追求邪恶的，邪恶必临其身。
11:28	信赖自己财富的人，必至衰落；义人却茂盛有如绿叶。
11:29	危害自己家庭的，必承受虚幻；愚昧的人，必作心智者的奴隶。
11:30	义人的果实是生命树，智慧的人能夺取人心。
11:31	看义人在地上还遭受报复，恶人和罪人更将如何﹖
	
	
12:0t	第十二章(28)
	
12:1t	人爱受教必智慧
12:1	喜爱受教的人，必喜爱智慧；憎恨规劝的人，真是糊涂。
12:2	善心的人，必得上主喜悦；心术邪恶的人，必受降罚。
12:3	没有人作恶而能稳立，唯有义人的根基永不动摇。
12:4	贤能的妻子，是她丈夫的冠冕；无耻的妻子，宛如丈夫骨中的腐蚀。
12:5	义人思念公正，恶人计划诡谲。
12:6	恶人的言谈，是流血的陷阱；义人的口舌，设法搭救他人。
12:7	恶人一旦倾覆，便不复存在；义人的家室，却得以久存。
12:8	人凭自己的识见，获得赞美；但心地邪辟的人，必受轻视。
12:9	一个自给自足的平民，比爱排场而缺食的人，更为可贵。
12:10	义人珍惜禽兽的生命，恶人的心肠残忍刻薄。
12:11	自耕其地的人，必得饱食；追求虚幻的人，实属愚昧。
12:12	邪恶的想望，是恶人的罗网；义人的根基，却永不动摇。
	
12:13t	应出言谨慎
12:13	恶人失口，自寻苦恼；义人却能幸免受累。
12:14	人必饱尝自己口舌的果实，必按自己的行为获得报应。
12:15	愚昧的人，常以为自己的道路正直；但明智的人，却常听从劝告。
12:16	愚昧的人，立时显出自己的愤怒；机智的人，却忍辱而不外露。
12:17	吐露真情，是彰显正义；作假见证，是自欺欺人。
12:18	出言不慎，有如利刃伤人；智者的口，却常疗愈他人。
12:19	讲实话的唇舌，永垂不朽；说谎话的舌头，瞬息即逝。
12:20	图谋恶事的，心怀欺诈；策划和平的，必得喜乐。
12:21	义人常无往不利，恶人却备受灾殃。
12:22	欺诈的唇舌，为上主所深恶；行事诚实的，才为他所中悦。
12:23	机智的人，使自己的才学深藏不露；心中愚昧的人，只会彰显自己的愚蠢。
12:24	勤劳的手，必要掌权；懒慢的手，只有服役。
12:25	忧郁使人心消沉，良言使人心快活。
12:26	义人给自己的友伴指示道路，恶人的行动却引人误入歧途。
12:27	懒惰的人，无米为炊；勤劳的人，腰缠万贯。
12:28	正义的路，导向生命；邪恶的路，引人丧亡。
	
	
13:0t	第十三章(25)
	
13:1t	智慧谨口慎言
13:1	智慧之子，听从父亲的教训；轻狂的人，不听任何人规劝。
13:2	义人必饱尝自己口舌的果实，恶人的欲望只有饱食强暴。
13:3	谨口慎言，方能自保性命；信口开河，终必自取灭亡。
13:4	懒人虽常盼望，却一无所得；勤劳的人，却常如愿以偿。
13:5	义人憎恶谎言，恶人令人可憎可恶。
13:6	正义保卫行为正直的人，邪恶却使罪人灭亡。
	
13:7t	真假贫富的区别
13:7	有人自充富人，其实一贫如洗；有人佯作穷人，其实腰缠万贯。
13:8	富人的钱财只是性命的赎价，穷人却没有这样的威胁。
13:9	义人的光明，必要高升；恶人的灯火，势必熄灭。
13:10	傲慢只有引起争端，虚心受教的人才有智慧。
13:11	傥来之物，容易消逝；经久积存，日渐增多。
13:12	希望迟不兑现，令人心神烦恼；愿望获得满足，是株生命树。
	
13:13t	智者乐于受教
13:13	谁轻视法令，必遭灭亡；谁敬畏诫命，必得安全。
13:14	智慧人的教训是生命的泉源，人可赖以脱免死亡的罗网。
13:15	明哲的规劝，使人蒙恩，残暴人的举止，粗鲁蛮横。
13:16	精明的人，常按理智行事；愚昧的人，只自夸其糊涂。
13:17	奸妄的使者，使人陷于灾祸；忠诚的使者，给人带来安和。
13:18	拒绝规劝的，必遭贫苦羞辱；接受惩戒的，反要受人尊敬。
13:19	愿望获得满足，能使心灵愉快；远离邪恶，却为愚昧人所深恶。
13:20	与智慧人往来，可成智慧人；与愚昧人作伴，必受其连累。
13:21	恶运追踪罪人，义人却得善报。
13:22	善人为子子孙孙留下产业，罪人的财富是为义人积蓄。
13:23	穷人开垦的田地，生产大量食物；谁若缺乏正义，定不免于灭亡。
13:24	不肯使用棍杖的人，实是恨自己的儿子；真爱儿子的人，必时加以惩罚。
13:25	义人必得饱食，恶人无以果腹。
	
	
14:0t	第十四章(35)
	
14:1t	智愚的区分
14:1	智慧的妇女，足以兴家；愚昧的妇女，亲手将家拆毁。
14:2	履行正路的人，敬畏上主；爱走曲径的人，轻视上主。
14:3	愚昧人口中，有傲慢的根苗；智慧人的唇舌，是自己的保障。
14:4	没有耕牛，没有五谷；耕牛愈雄壮，收获愈丰富。
14:5	忠实的证人，决不说谎；虚伪的证人，谎言连篇。
14:6	轻狂人求智，只属徒然；明智人求知，却很容易。
14:7	你应远离愚昧的人，由他口中决得不到明哲。
14:8	明智人的智慧，在于审察自己的行径；愚昧人的昏愚，在于自欺欺人。
14:9	罪孽住在愚昧人中，恩爱与正直人为伍。
14:10	心头的愁苦，唯有自己知；心中的喜乐，他人无分享。
14:11	邪辟人的家庭，必遭破坏；正直人的帐幕，却要兴隆。
14:12	有些道路，看来正直；走到尽头，却是死路。
14:13	连在欢笑中，心亦有感伤；欢笑的结局，往往是痛苦。
14:14	变心的人，必自尝其果；良善的人，必得其善报。
	
14:15t	言行要谨慎
14:15	幼稚的人，有话必信；明智的人，步步谨慎。
14:16	智慧人戒避邪恶，愚昧人骄矜自负。
14:17	易怒的人，做事昏愚；慎思的人，事事含忍。
14:18	愚昧的人，以愚昧为基业；明智的人，以知识为冠冕。
14:19	歹徒将伏在善人面前，恶人将跪在义人门前。
14:20	贫穷的人，为亲朋所厌；富贵的人，则高朋满座。
14:21	藐视近人，便是犯罪；怜悯苦人，才是有福。
14:22	阴谋邪恶的人，岂非走入歧途﹖策划行善的人，必获慈惠忠诚。
14:23	一切劳苦皆有利益；只有闲谈，引人贫穷。
14:24	智慧人的冠冕，是他们的机智；愚昧人的冠冕，是他们的糊涂。
14:25	忠实的见证，救人性命；作假证的人，危害他人。
	
14:26t	智慧之于社会国家
14:26	敬畏上主，是稳固的靠山；为他的子孙，也是个避难所。
14:27	敬畏上主，是生命的泉源，使人脱免死亡的罗网。
14:28	人民众多，是君王的光荣；庶民缺少，是王侯的没落。
14:29	缓于发怒的人，必甚有见识；脾气暴躁的人，必大显愚昧。
